 (Half Day),(نصف يوم)
Stopped,توقف
Structure cost centers for budgeting.,مراكز التكلفة لهيكل الميزانية.
Structure of books of accounts.,هيكل دفاتر الحسابات.
Style,أسلوب
Style Settings,نمط الضبط
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",النمط يمثل لون الزر: النجاح - الخضراء، خطر -، معكوس الأحمر - الأسود، الابتدائية - أزرق داكن، معلومات - أزرق فاتح، تحذير - أورانج
"Sub-currency. For e.g. ""Cent""",شبه العملات. ل &quot;سنت&quot; على سبيل المثال
Sub-domain provided by erpnext.com,النطاق الفرعي المقدمة من erpnext.com
Subcontract,قام بمقاولة فرعية
Subdomain,نطاق فرعي
Subject,موضوع
Submit,عرض
Submit Salary Slip,يقدم زلة الراتب
Submit all salary slips for the above selected criteria,تقديم جميع قسائم راتب لتحديد المعايير المذكورة أعلاه
Submitted,المقدمة
Submitted Record cannot be deleted,لا يمكن حذف سجل المقدمة
Subsidiary,شركة فرعية
Success,نجاح
Successful: ,ناجح:
Suggestion,اقتراح
Suggestions,اقتراحات
Sunday,الأحد
Supplier,مزود
Supplier (Payable) Account,المورد حساب (تدفع)
Supplier (vendor) name as entered in supplier master,المورد (البائع) الاسم كما تم إدخالها في ماجستير المورد
Supplier Account Head,رئيس حساب المورد
Supplier Address,العنوان المورد
Supplier Details,تفاصيل المورد
Supplier Intro,مقدمة المورد
Supplier Invoice Date,المورد فاتورة التسجيل
Supplier Invoice No,المورد الفاتورة لا
Supplier Name,اسم المورد
Supplier Naming By,المورد تسمية بواسطة
Supplier Part Number,المورد رقم الجزء
Supplier Quotation,اقتباس المورد
Supplier Quotation Item,المورد اقتباس الإغلاق
Supplier Reference,مرجع المورد
Supplier Shipment Date,شحنة المورد والتسجيل
Supplier Shipment No,شحنة المورد لا
Supplier Type,المورد نوع
Supplier Warehouse,المورد مستودع
Supplier Warehouse mandatory subcontracted purchase receipt,مستودع المورد إلزامية إيصال الشراء من الباطن
Supplier classification.,المورد التصنيف.
Supplier database.,مزود قاعدة البيانات.
Supplier of Goods or Services.,المورد للسلع أو الخدمات.
Supplier warehouse where you have issued raw materials for sub - contracting,مستودع المورد حيث كنت قد أصدرت المواد الخام لشبه - التعاقد
Supplier's currency,المورد من العملة
Support,دعم
Support Analytics,دعم تحليلات
Support Email,دعم البريد الإلكتروني
Support Email Id,دعم البريد الإلكتروني معرف
Support Password,الدعم كلمة المرور
Support Ticket,تذكرة دعم
Support queries from customers.,دعم الاستفسارات من العملاء.
Symbol,رمز
Sync Inbox,مزامنة البريد الوارد
Sync Support Mails,مزامنة الرسائل الالكترونية الدعم
Sync with Dropbox,مزامنة مع Dropbox
Sync with Google Drive,متزامنا مع محرك جوجل
System,نظام
System Defaults,نظام الافتراضيات
System Settings,إعدادات النظام
System User,نظام المستخدم
"System User (login) ID. If set, it will become default for all HR forms.",نظام المستخدم (دخول) ID. إذا تعيين، وسوف تصبح الافتراضية لكافة أشكال HR.
System for managing Backups,نظام لإدارة النسخ الاحتياطية
System generated mails will be sent from this email id.,سيتم إرسال رسائل نظام المتولدة من هذا المعرف البريد الإلكتروني.
TL-,TL-
TLB-,TLB-
Table,جدول
Table for Item that will be shown in Web Site,جدول العناصر التي ستظهر في الموقع
Tag,بطاقة
Tag Name,علامة الاسم
Tags,به
Tahoma,تاهوما
Target,الهدف
Target  Amount,الهدف المبلغ
Target Detail,الهدف التفاصيل
Target Details,الهدف تفاصيل
Target Details1,الهدف Details1
Target Distribution,هدف التوزيع
Target Qty,الهدف الكمية
Target Warehouse,الهدف مستودع
Task,مهمة
Task Details,تفاصيل مهمة
Tax,ضريبة
Tax Calculation,ضريبة حساب
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,ضريبة الفئة لا يمكن أن يكون &#39;التقييم&#39; أو &#39;التقييم وتوتال&#39; كما كل العناصر هي العناصر غير الأسهم
Tax Master,ماستر الضرائب
Tax Rate,ضريبة
Tax Template for Purchase,قالب الضرائب للشراء
Tax Template for Sales,قالب ضريبة المبيعات لل
Tax and other salary deductions.,الضرائب والاقتطاعات من الراتب أخرى.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,جلب الضرائب من التفاصيل الجدول الرئيسي البند كسلسلة وتخزينها في هذا field.Used للضرائب والرسوم
Taxable,خاضع للضريبة
Taxes,الضرائب
Taxes and Charges,الضرائب والرسوم
Taxes and Charges Added,أضيفت الضرائب والرسوم
Taxes and Charges Added (Company Currency),الضرائب والرسوم المضافة (عملة الشركة)
Taxes and Charges Calculation,الضرائب والرسوم حساب
Taxes and Charges Deducted,خصم الضرائب والرسوم
Taxes and Charges Deducted (Company Currency),الضرائب والرسوم مقطوعة (عملة الشركة)
Taxes and Charges Total,الضرائب والتكاليف الإجمالية
Taxes and Charges Total (Company Currency),الضرائب والرسوم المشاركات (عملة الشركة)
Taxes and Charges1,الضرائب وCharges1
Team Members,أعضاء الفريق
Team Members Heading,الأعضاء فريق عنوان
Template for employee performance appraisals.,نموذج لتقييم أداء الموظفين.
Template of terms or contract.,قالب من الشروط أو العقد.
Term Details,مصطلح تفاصيل
Terms and Conditions,الشروط والأحكام
Terms and Conditions Content,الشروط والأحكام المحتوى
Terms and Conditions Details,شروط وتفاصيل الشروط
Terms and Conditions Template,الشروط والأحكام قالب
Terms and Conditions1,حيث وConditions1
Territory,إقليم
Territory Manager,مدير إقليم
Territory Name,اسم الأرض
Territory Target Variance (Item Group-Wise),الأراضي المستهدفة الفرق (البند المجموعة الحكيم)
Territory Targets,الأراضي الأهداف
Test,اختبار
Test Email Id,اختبار البريد الإلكتروني معرف
Test Runner,اختبار عداء
Test the Newsletter,اختبار النشرة الإخبارية
Text,نص
Text Align,محاذاة النص
Text Editor,النص محرر
"The ""Web Page"" that is the website home page",&quot;صفحة ويب&quot; هذا هو الصفحة الرئيسية في الموقع
The BOM which will be replaced,وBOM التي سيتم استبدالها
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",العنصر الذي يمثل الحزمة. يجب أن يكون لدى هذا البند &quot;هو المخزون السلعة&quot; ب &quot;لا&quot; و &quot;هل المبيعات السلعة&quot; ب &quot;نعم&quot;
The date at which current entry is made in system.,التاريخ الذي يتم ادخالها في النظام الحالي.
The date at which current entry will get or has actually executed.,نفذت فعليا التاريخ الذي سوف تحصل المدخل الحالي أو.
The date on which next invoice will be generated. It is generated on submit.,التاريخ الذي سيتم إنشاء فاتورة المقبل. يتم إنشاء على الحلقة.
The date on which recurring invoice will be stop,التاريخ الذي سيتم فاتورة المتكررة وقف
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ",يوم من الشهر الذي سيتم إنشاء فاتورة السيارات على سبيل المثال 05، 28 الخ
The first Leave Approver in the list will be set as the default Leave Approver,سيتم تعيين أول اترك الموافق في القائمة بوصفها الإجازة الموافق الافتراضي
The gross weight of the package. Usually net weight + packaging material weight. (for print),الوزن الكلي للحزمة. الوزن الصافي عادة + تغليف المواد الوزن. (للطباعة)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,اسم الشركة / الموقع كما تريد أن يظهر على شريط العنوان في المتصفح. وسوف يكون هذا كل الصفحات كما البادئة على اللقب.
The net weight of this package. (calculated automatically as sum of net weight of items),وزن صافي من هذه الحزمة. (تحسب تلقائيا مجموع الوزن الصافي للسلعة)
The new BOM after replacement,وBOM الجديدة بعد استبدال
The rate at which Bill Currency is converted into company's base currency,المعدل الذي يتم تحويل العملة إلى عملة بيل قاعدة الشركة
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions",ويوفر نظام أدوار محددة مسبقا، ولكن يمكنك <a href='#List/Role'>إضافة أدوار جديدة</a> لتعيين أذونات فاينر
The unique id for tracking all recurring invoices. It is generated on submit.,المعرف الفريد لتتبع جميع الفواتير المتكررة. يتم إنشاؤها على تقديم.
Then By (optional),ثم (اختياري)
These properties are Link Type fields from all Documents.,هذه الخصائص هي حقول نوع الارتباط من جميع المستندات.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>",ويمكن أيضا أن تستخدم هذه الخصائص إلى &#39;تعيين&#39; وثيقة معينة، والتي تطابق مع خاصية الخاصية المستخدم إلى المستخدم. يمكن تعيين هذه باستخدام <a href='#permission-manager'>مدير إذن</a>
These properties will appear as values in forms that contain them.,وهذه الخصائص تظهر في أشكال القيم التي تحتوي عليها.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,وسيتم تحديث هذه القيم تلقائيا في المعاملات وأيضا سوف تكون مفيدة لتقييد الأذونات لهذا المستخدم على المعاملات التي تحتوي على هذه القيم.
This Price List will be selected as default for all Customers under this Group.,وسيتم تحديد هذا السعر كافتراضي قائمة لجميع العملاء تحت هذه المجموعة.
This Time Log Batch has been billed.,وتوصف هذه الدفعة دخول الوقت.
This Time Log Batch has been cancelled.,تم إلغاء هذه الدفعة دخول الوقت.
This Time Log conflicts with,الصراعات دخول هذه المرة مع
This account will be used to maintain value of available stock,سيتم استخدام هذا الحساب للحفاظ على قيمة الأوراق المالية المتاحة
This currency will get fetched in Purchase transactions of this supplier,سوف تحصل على هذه العملة في المعاملات المنال شراء هذه الشركة
This currency will get fetched in Sales transactions of this customer,سوف تحصل على هذه العملة في المعاملات المنال مبيعات هذا العميل
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge Into"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.",وتعتبر هذه الميزة لدمج المستودعات مكررة. فإنه سيتم استبدال جميع الروابط من هذا المستودع عن طريق &quot;الاندماج في&quot; مستودع. بعد دمج يمكنك حذف هذا المستودع، ومستوى المخزون لهذا المستودع سوف يكون صفرا.
This feature is only applicable to self hosted instances,هذه الميزة لا ينطبق إلا على الحالات المستضافة ذاتيا
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,سوف تظهر هذا المجال إلا إذا كان تعريف fieldname هنا له قيمة أو قواعد صحيحة (أمثلة): <br> myfieldeval: doc.myfield == &#39;بلدي قيمة &quot; <br> يفال: doc.age 18&gt;
This goes above the slideshow.,هذا يذهب فوق عرض الشرائح.
This is PERMANENT action and you cannot undo. Continue?,هذا هو العمل الدائم ويمكنك التراجع لا. المتابعة؟
This is an auto generated Material Request.,هذه هي السيارات التي ولدت طلب المواد.
This is permanent action and you cannot undo. Continue?,هذا هو العمل الدائم ويمكنك التراجع لا. المتابعة؟
This is the number of the last created transaction with this prefix,هذا هو عدد المعاملات التي تم إنشاؤها باستخدام مشاركة هذه البادئة
This message goes away after you create your first customer.,هذه الرسالة يذهب بعيدا بعد إنشاء أول زبون لديك.
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,تساعدك هذه الأداة لتحديث أو تحديد الكمية وتقييم الأوراق المالية في النظام. وعادة ما تستخدم لمزامنة نظام القيم وما هو موجود فعلا في المخازن الخاصة بك.
This will be used for setting rule in HR module,وسوف تستخدم هذه القاعدة لإعداد وحدة في HR
Thread HTML,الموضوع HTML
Thursday,الخميس
Time,مرة
Time Log,وقت دخول
Time Log Batch,الوقت الدفعة دخول
Time Log Batch Detail,وقت دخول دفعة التفاصيل
Time Log Batch Details,وقت دخول تفاصيل الدفعة
Time Log Batch status must be 'Submitted',وقت دخول وضع دفعة يجب &#39;المقدمة&#39;
Time Log Status must be Submitted.,يجب تقديم الوقت حالة السجل.
Time Log for tasks.,وقت دخول للمهام.
Time Log is not billable,الوقت السجل غير القابلة للفوترة
Time Log must have status 'Submitted',يجب أن يكون وقت دخول وضع &#39;نشره&#39;
Time Zone,منطقة زمنية
Time Zones,من المناطق الزمنية
Time and Budget,الوقت والميزانية
Time at which items were delivered from warehouse,الوقت الذي تم تسليم العناصر من مستودع
Time at which materials were received,الوقت الذي وردت المواد
Title,لقب
Title / headline of your page,عنوان / عنوان الصفحة الخاصة بك
Title Case,عنوان القضية
Title Prefix,عنوان الاختصار
To,إلى
To Currency,إلى العملات
To Date,حتى الان
To Discuss,لمناقشة
To Do,يمكن ممارستها
To Do List,والقيام قائمة
To PR Date,لPR تاريخ
To Package No.,لحزم رقم
To Reply,لإجابة
To Time,إلى وقت
To Value,إلى القيمة
To Warehouse,لمستودع
"To add a tag, open the document and click on ""Add Tag"" on the sidebar",لإضافة علامة، افتح المستند وانقر على &quot;أضف علامة&quot; على الشريط الجانبي
"To assign this issue, use the ""Assign"" button in the sidebar.",لتعيين هذه المشكلة، استخدم &quot;تعيين&quot; الموجود في الشريط الجانبي.
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.",لإنشاء تلقائيا تذاكر الدعم الفني من البريد الوارد، قم بضبط إعدادات POP3 هنا. من الناحية المثالية يجب إنشاء معرف البريد الإلكتروني منفصلة لنظام تخطيط موارد المؤسسات بحيث تتم مزامنة جميع رسائل البريد الإلكتروني في النظام من أن معرف البريد. إذا لم تكن متأكدا، يرجى الاتصال موفر خدمة البريد الإلكتروني.
"To create an Account Head under a different company, select the company and save customer.",لإنشاء حساب تحت رئيس شركة مختلفة، حدد الشركة وانقاذ العملاء.
To enable <b>Point of Sale</b> features,لتمكين <b>نقطة من</b> الميزات <b>بيع</b>
To enable more currencies go to Setup > Currency,لتمكين مزيد من العملات انتقل إلى الإعداد&gt; العملات
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.",لجلب العناصر مرة أخرى، انقر على &quot;الحصول على عناصر &#39;زر \ الكمية أو تحديث يدويا.
"To format columns, give column labels in the query.",لتنسيق الأعمدة، وإعطاء تسميات الأعمدة في الاستعلام.
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.",لفرض مزيد من القيود أذونات استنادا إلى قيم معينة في وثيقة، استخدم &#39;حالة&#39; الإعدادات.
To get Item Group in details table,للحصول على تفاصيل المجموعة في الجدول تفاصيل
To manage multiple series please go to Setup > Manage Series,لإدارة سلسلة متعددة يرجى الدخول إلى إعداد&gt; إدارة سلسلة
To restrict a User of a particular Role to documents that are explicitly assigned to them,لتقييد المستخدم من دور خاص للوثائق التي تم تعيينها بشكل صريح لهم
To restrict a User of a particular Role to documents that are only self-created.,لتقييد المستخدم من دور خاص للوثائق التي ليست سوى الذاتي الإنشاء.
"To set reorder level, item must be Purchase Item",لضبط مستوى إعادة الطلب، يجب أن يكون بند شراء السلعة
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.",لتعيين أدوار المستخدمين، واذهبوا إلى <a href='#List/Profile'>إعداد المستخدمين&gt;</a> وانقر على المستخدم لتعيين الأدوار.
To track any installation or commissioning related work after sales,لتتبع أي تركيب أو الأعمال ذات الصلة التكليف بعد البيع
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No",لتعقب اسم العلامة التجارية في الوثائق التالية <br> ملاحظة التسليم، Enuiry، طلب المواد، المدينة، أمر الشراء، قسيمة شراء واستلام المشتري، اقتباس، فاتورة المبيعات، BOM المبيعات، ترتيب المبيعات، رقم المسلسل
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,لتتبع البند في المبيعات وثائق الشراء على أساس غ من المسلسل. ويمكن أيضا استخدام هذه المعلومات لتعقب الضمان للمنتج.
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,لتعقب العناصر في المبيعات وثائق الشراء مع NOS دفعة <br> <b>الصناعة المفضل: الكيمياء الخ</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,لتعقب العناصر باستخدام الباركود. سوف تكون قادرة على الدخول في بنود مذكرة التسليم والفاتورة المبيعات عن طريق مسح الباركود من العنصر.
ToDo,قائمة المهام
Tools,أدوات
Top,أعلى
Top Bar,مقهى الأعلى
Top Bar Background,الأعلى بار الخلفية
Top Bar Item,أفضل شريط الإغلاق
Top Bar Items,قطع الشريط العلوي
Top Bar Text,الشريط العلوي نص
Top Bar text and background is same color. Please change.,أعلى نص شريط والخلفية هي نفس اللون. الرجاء تغيير.
Total,مجموع
Total (sum of) points distribution for all goals should be 100.,مجموع (مجموع) نقاط توزيع لجميع الأهداف ينبغي أن تكون 100.
Total Advance,إجمالي المقدمة
Total Amount,المبلغ الكلي لل
Total Amount To Pay,المبلغ الكلي لدفع
Total Amount in Words,المبلغ الكلي في كلمات
Total Billing This Year: ,مجموع الفواتير هذا العام:
Total Claimed Amount,إجمالي المبلغ المطالب به
Total Commission,مجموع جنة
Total Cost,التكلفة الكلية لل
Total Credit,إجمالي الائتمان
Total Debit,مجموع الخصم
Total Deduction,مجموع الخصم
Total Earning,إجمالي الدخل
Total Experience,مجموع الخبرة
Total Hours,مجموع ساعات
Total Hours (Expected),مجموع ساعات (المتوقعة)
Total Invoiced Amount,إجمالي مبلغ بفاتورة
Total Leave Days,مجموع أيام الإجازة
Total Leaves Allocated,أوراق الإجمالية المخصصة
Total Operating Cost,إجمالي تكاليف التشغيل
Total Points,مجموع النقاط
Total Raw Material Cost,إجمالي تكلفة المواد الخام
Total SMS Sent,SMS المرسلة مجموع
Total Sanctioned Amount,المبلغ الكلي للعقوبات
Total Score (Out of 5),مجموع نقاط (من 5)
Total Tax (Company Currency),مجموع الضرائب (عملة الشركة)
Total Taxes and Charges,مجموع الضرائب والرسوم
Total Taxes and Charges (Company Currency),مجموع الضرائب والرسوم (عملة الشركة)
Total Working Days In The Month,مجموع أيام العمل في الشهر
Total amount of invoices received from suppliers during the digest period,المبلغ الإجمالي للفواتير الواردة من الموردين خلال فترة هضم
Total amount of invoices sent to the customer during the digest period,المبلغ الإجمالي للفواتير المرسلة إلى العملاء خلال الفترة دايجست
Total in words,وبعبارة مجموع
Total production order qty for item,إجمالي إنتاج الكمية نظام للبند
Totals,المجاميع
Track separate Income and Expense for product verticals or divisions.,تعقب الدخل والمصروفات للمنفصلة قطاعات المنتجات أو الانقسامات.
Track this Delivery Note against any Project,تتبع هذه ملاحظة التوصيل ضد أي مشروع
Track this Sales Invoice against any Project,تتبع هذه الفاتورة المبيعات ضد أي مشروع
Track this Sales Order against any Project,تتبع هذا الأمر ضد أي مشروع المبيعات
Transaction,صفقة
Transaction Date,تاريخ المعاملة
Transfer,نقل
Transition Rules,الانتقال قوانين
Transporter Info,نقل معلومات
Transporter Name,نقل اسم
Transporter lorry number,نقل الشاحنة رقم
Trash Reason,السبب القمامة
Tree of item classification,شجرة التصنيف البند
Trial Balance,ميزان المراجعة
Tuesday,الثلاثاء
Tweet will be shared via your user account (if specified),وسيتم تقاسم تويت عبر حساب المستخدم الخاص بك (في حالة تحديد)
Twitter Share,تويتر شارك
Twitter Share via,Twitter المشاركة عبر
Type,نوع
Type of document to rename.,نوع الوثيقة إلى إعادة تسمية.
Type of employment master.,ماجستير النوع من العمالة.
"Type of leaves like casual, sick etc.",نوع من الأوراق مثل غيرها، عارضة المرضى
Types of Expense Claim.,أنواع المطالبة حساب.
Types of activities for Time Sheets,أنواع الأنشطة لجداول زمنية
UOM,UOM
UOM Conversion Detail,UOM تحويل التفاصيل
UOM Conversion Details,تفاصيل التحويل UOM
UOM Conversion Factor,UOM تحويل عامل
UOM Conversion Factor is mandatory,UOM معامل التحويل إلزامي
UOM Details,تفاصيل UOM
UOM Name,UOM اسم
UOM Replace Utility,UOM استبدال الأداة المساعدة
UPPER CASE,حروف كبيرة
UPPERCASE,أحرف كبيرة
URL,URL
Unable to complete request: ,غير قادر على إكمال الطلب:
Under AMC,تحت AMC
Under Graduate,تحت الدراسات العليا
Under Warranty,تحت الكفالة
Unit of Measure,وحدة القياس
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).",وحدة القياس في هذا البند (مثل كجم، وحدة، لا، الزوج).
Units/Hour,وحدة / ساعة
Units/Shifts,وحدة / التحولات
Unmatched Amount,لا مثيل لها المبلغ
Unpaid,غير مدفوع
Unread Messages,رسائل غير مقروءة
Unscheduled,غير المجدولة
Unsubscribed,إلغاء اشتراكك
Upcoming Events for Today,الأحداث القادمة لهذا اليوم
Update,تحديث
Update Clearance Date,تحديث تاريخ التخليص
Update Field,تحديث الميدانية
Update PR,تحديث PR
Update Series,تحديث سلسلة
Update Series Number,تحديث سلسلة رقم
Update Stock,تحديث الأسهم
Update Stock should be checked.,وينبغي التحقق من التحديث الأوراق المالية.
Update Value,تحديث القيمة
"Update allocated amount in the above table and then click ""Allocate"" button",تحديث المبلغ المخصص في الجدول أعلاه ومن ثم انقر فوق &quot;تخصيص&quot; الزر
Update bank payment dates with journals.,تحديث البنك دفع التواريخ مع المجلات.
Update is in progress. This may take some time.,التحديث قيد التقدم. قد يستغرق هذا بعض الوقت.
Updated,تحديث
Upload Attachment,تحميل المرفقات
Upload Attendance,تحميل الحضور
Upload Backups to Dropbox,تحميل النسخ الاحتياطي إلى دروببوإكس
Upload Backups to Google Drive,تحميل النسخ الاحتياطية إلى Google Drive
Upload HTML,تحميل HTML
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,تحميل ملف CSV مع عمودين:. الاسم القديم والاسم الجديد. ماكس 500 الصفوف.
Upload a file,تحميل ملف
Upload and Import,تحميل واستيراد
Upload attendance from a .csv file,تحميل الحضور من ملف CSV.
Upload stock balance via csv.,تحميل المال عن طريق التوازن CSV.
Uploading...,تحميل ...
Upper Income,العلوي الدخل
Urgent,ملح
Use Multi-Level BOM,استخدام متعدد المستويات BOM
Use SSL,استخدام SSL
User,مستخدم
User Cannot Create,لا يمكن للمستخدم إنشاء
User Cannot Search,لا يمكن للمستخدم البحث
User ID,المستخدم ID
User Image,صورة العضو
User Name,اسم المستخدم
User Remark,ملاحظة المستخدم
User Remark will be added to Auto Remark,ملاحظة سيتم إضافة مستخدم لملاحظة السيارات
User Tags,الكلمات المستخدم
User Type,نوع المستخدم
User must always select,يجب دائما مستخدم تحديد
User not allowed entry in the Warehouse,المستخدم غير مسموح الدخول في مستودع
User not allowed to delete.,المستخدم لا يسمح لحذفه.
UserRole,UserRole
Username,اسم المستخدم
Users who can approve a specific employee's leave applications,المستخدمين الذين يمكنهم الموافقة على طلبات إجازات الموظف معينة
Users with this role are allowed to do / modify accounting entry before frozen date,ويسمح للمستخدمين القيام بهذا الدور / تعديل القيد المحاسبي قبل تاريخ المجمدة
Utilities,خدمات
Utility,فائدة
Valid For Territories,صالحة للالأقاليم
Valid Upto,صالحة لغاية
Valid for Buying or Selling?,صالحة للشراء أو البيع؟
Valid for Territories,صالحة للالأقاليم
Validate,التحقق من صحة
Valuation,تقييم
Valuation Method,تقييم الطريقة
Valuation Rate,تقييم قيم
Valuation and Total,التقييم وتوتال
Value,قيمة
Value missing for,قيمة مفقودة لل
Vehicle Dispatch Date,سيارة الإرسال التسجيل
Vehicle No,السيارة لا
Verdana,فيردانا
Verified By,التحقق من
Visit,زيارة
Visit report for maintenance call.,تقرير زيارة للدعوة الصيانة.
Voucher Detail No,تفاصيل قسيمة لا
Voucher ID,قسيمة ID
Voucher Import Tool,قسيمة استيراد أداة
Voucher No,لا قسيمة
Voucher Type,قسيمة نوع
Voucher Type and Date,نوع قسيمة والتسجيل
WIP Warehouse required before Submit,WIP النماذج المطلوبة قبل إرسال
Waiting for Customer,في انتظار الزبائن
Walk In,المشي في
Warehouse,مستودع
Warehouse Contact Info,مستودع معلومات الاتصال
Warehouse Detail,مستودع التفاصيل
Warehouse Name,مستودع اسم
Warehouse User,مستودع العضو
Warehouse Users,مستودع المستخدمين
Warehouse and Reference,مستودع والمراجع
Warehouse does not belong to company.,مستودع لا تنتمي إلى الشركة.
Warehouse where you are maintaining stock of rejected items,مستودع حيث كنت الحفاظ على المخزون من المواد رفضت
Warehouse-Wise Stock Balance,مستودع الحكيم رصيد المخزون
Warehouse-wise Item Reorder,مستودع المدينة من الحكمة إعادة ترتيب
Warehouses,المستودعات
Warn,حذر
Warning,تحذير
Warning: Leave application contains following block dates,يحتوي التطبيق اترك التواريخ الكتلة التالية: تحذير
Warranty / AMC Details,الضمان / AMC تفاصيل
Warranty / AMC Status,الضمان / AMC الحالة
Warranty Expiry Date,الضمان تاريخ الانتهاء
Warranty Period (Days),فترة الضمان (أيام)
Warranty Period (in days),فترة الضمان (بالأيام)
Web Content,محتوى الويب
Web Page,صفحة على الإنترنت
Website,الموقع
Website Description,الموقع وصف
Website Item Group,موقع السلعة المجموعة
Website Item Groups,موقع السلعة المجموعات
Website Overall Settings,إعدادات الموقع بشكل عام
Website Script,الموقع سكربت
Website Settings,موقع إعدادات
Website Slideshow,موقع عرض الشرائح
Website Slideshow Item,موقع السلعة عرض شرائح
Website User,موقع العضو
Website Warehouse,موقع مستودع
Wednesday,الأربعاء
Weekly,الأسبوعية
Weekly Off,العطلة الأسبوعية
Weight UOM,الوزن UOM
Weightage,الترجيح
Weightage (%),الترجيح (٪)
Welcome,ترحيب
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.",عند &quot;المقدمة&quot; أي من المعاملات تم، بريد الكتروني المنبثقة تلقائيا فتح لإرسال بريد الكتروني الى &quot;الاتصال&quot; المرتبطة في تلك المعاملة، مع الصفقة كمرفق. يجوز للمستخدم أو قد لا إرسال البريد الإلكتروني.
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.",عند <b>تعديل</b> وثيقة بعد إلغاء وحفظه، وسوف تحصل على عدد جديد هو نسخة من الرقم القديم.
Where items are stored.,حيث يتم تخزين العناصر.
Where manufacturing operations are carried out.,حيث تتم عمليات التصنيع بها.
Widowed,ارمل
Width,عرض
Will be calculated automatically when you enter the details,وسيتم احتساب تلقائيا عند إدخال تفاصيل
Will be fetched from Customer,وسيتم جلب من العملاء
Will be updated after Sales Invoice is Submitted.,سيتم تحديث بعد تقديم فاتورة المبيعات.
Will be updated when batched.,سيتم تحديث عندما دفعات.
Will be updated when billed.,سيتم تحديث عندما توصف.
Will be used in url (usually first name).,وسوف تستخدم في رابط (عادة الاسم الأول).
With Operations,مع عمليات
Work Details,تفاصيل العمل
Work Done,العمل المنجز
Work In Progress,التقدم في العمل
Work-in-Progress Warehouse,مستودع العمل قيد التنفيذ
Workflow,سير العمل
Workflow Action,سير العمل العمل
Workflow Action Master,سير العمل العمل ماجستير
Workflow Action Name,سير العمل اسم العمل
Workflow Document State,سير العمل الوثيقة الدولة
Workflow Document States,سير العمل الوثيقة الدول
Workflow Name,اسم سير العمل
Workflow State,الدولة سير العمل
Workflow State Field,سير العمل الميدانية الدولة
Workflow State Name,سير العمل اسم الدولة
Workflow Transition,الانتقال سير العمل
Workflow Transitions,انتقالات سير العمل
Workflow state represents the current state of a document.,الدولة سير العمل يمثل الحالة الراهنة للمستند.
Workflow will start after saving.,سوف تبدأ العمل بعد الحفظ.
Working,عامل
Workstation,محطة العمل
Workstation Name,محطة العمل اسم
Write,الكتابة
Write Off Account,شطب حساب
Write Off Amount,شطب المبلغ
Write Off Amount <=,شطب المبلغ &lt;=
Write Off Based On,شطب بناء على
Write Off Cost Center,شطب مركز التكلفة
Write Off Outstanding Amount,شطب المبلغ المستحق
Write Off Voucher,شطب قسيمة
Write a Python file in the same folder where this is saved and return column and result.,كتابة ملف بيثون في نفس المجلد حيث تم حفظ هذا العمود والعودة والنتيجة.
