 (Half Day),(Poludnevni)
Sorry. Companies cannot be merged,Žao nam je. Tvrtke ne mogu se spojiti
Sorry. Serial Nos. cannot be merged,Žao nam je. Serijski broj ne može spojiti
Sort By,Sortiraj po
Source,Izvor
Source Warehouse,Izvor galerija
Source and Target Warehouse cannot be same,Izvor i Target galerije ne mogu biti isti
Source of th,Izvor th
"Source of the lead. If via a campaign, select ""Campaign""","Izvor olova. Ako putem kampanje, odaberite &quot;kampanja&quot;"
Spartan,Spartanski
Special Page Settings,Posebni stranica Postavke
Specification Details,Specifikacija Detalji
Specify Exchange Rate to convert one currency into another,Navedite tečaju za pretvaranje jedne valute u drugu
"Specify a list of Territories, for which, this Price List is valid","Navedite popis teritorijima, za koje, ovom cjeniku vrijedi"
"Specify a list of Territories, for which, this Shipping Rule is valid","Navedite popis teritorijima, za koje, to Dostava Pravilo vrijedi"
"Specify a list of Territories, for which, this Taxes Master is valid","Navedite popis teritorijima, za koje, to Porezi Master vrijedi"
Specify conditions to calculate shipping amount,Odredite uvjete za izračun iznosa dostave
Split Delivery Note into packages.,Split otpremnici u paketima.
Standard,Standard
Standard Rate,Standardna stopa
"Standard Terms and Conditions that can be added to Sales and Purchases.Examples:1. Validity of the offer.1. Payment Terms (In Advance, On Credit, part advance etc).1. What is extra (or payable by the Customer).1. Safety / usage warning.1. Warranty if any.1. Returns Policy.1. Terms of shipping, if applicable.1. Ways of addressing disputes, indemnity, liability, etc.1. Address and Contact of your Company.","Standardni uvjeti da se može dodati prodaje i Purchases.Examples: 1. Valjanost offer.1. Uvjeti plaćanja (unaprijed, na kredit, dio unaprijed i sl) 0,1. Što je ekstra (ili plaća kupac) 0,1. Sigurnost / korištenje warning.1. Jamstvo ako any.1. Vraća Policy.1. Uvjeti shipping, ako applicable.1. Načinima rješavanja sporova, odšteta, odgovornost, etc.1. Adresu i kontakt vaše tvrtke."
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.","Standardni porez predložak koji se mogu primijeniti na sve transakcije kupnje. Ovaj predložak može sadržavati popis poreznih glavama i također ostalim troškovima glave poput &quot;brodova&quot;, &quot;osiguranje&quot;, &quot;Rukovanje&quot; itd. # # # # NoteThe porezna stopa možete definirati ovdje će biti standardna stopa poreza za sve stavke ** ** . Ako postoje ** Proizvodi ** koji imaju različite cijene, one moraju biti dodan u ** artikla porezu ** tablice u točki ** ** majstor. # # # # Opis Columns1. Obračun Tip: - To može biti na ** Neto Ukupno ** (koja je zbroj osnovnog iznosa). - ** Na prethodni redak Ukupni / Iznos ** (za kumulativne poreza ili pristojbi). Ako odaberete ovu opciju, porez će se primijeniti kao postotak prethodnog reda (u poreznom tablici) iznos ili ukupno. - ** Stvarni ** (kao što je spomenuto) 0,2. Račun Voditelj: Račun knjiga pod kojima taj porez će biti booked3. Trošak Centar: Ako pristojba / zadužen je prihod (kao shipping) ili rashod to treba biti rezervirano protiv troškova Center.4. Opis: Opis poreza (koji će se tiskati u fakturama / citati) 0,5. Ocijeni: Porezna rate.6. Iznos: Porezna amount.7. Ukupno: Kumulativna ukupno ove point.8. Unesite Row: Ako se temelji na &quot;Prethodni Row Totala&quot; možete odabrati broj retka koji će se uzeti kao osnova za ovaj izračun (default je prethodni redak) 0,9. Razmislite poreza ili pristojbi za: U ovom dijelu možete odrediti ako porez / naknada je samo za vrednovanje (nije dio od ukupnog broja) ili samo za ukupno (ne dodati vrijednost stavke) ili za both.10. Dodavanje ili oduzimamo: želite li dodati ili odbiti porez."
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Standardni porez predložak koji se mogu primijeniti na svim prodajnim transakcijama. Ovaj predložak može sadržavati popis poreznih glavama i također ostali rashodi / prihodi glave poput &quot;brodova&quot;, &quot;osiguranje&quot;, &quot;Rukovanje&quot; itd. # # # # NoteThe porezna stopa možete definirati ovdje će biti standardna stopa poreza za sve stavke ** **. Ako postoje ** Proizvodi ** koji imaju različite cijene, one moraju biti dodan u ** artikla porezu ** tablice u točki ** ** majstor. # # # # Opis Columns1. Obračun Tip: - To može biti na ** Neto Ukupno ** (koja je zbroj osnovnog iznosa). - ** Na prethodni redak Ukupni / Iznos ** (za kumulativne poreza ili pristojbi). Ako odaberete ovu opciju, porez će se primijeniti kao postotak prethodnog reda (u poreznom tablici) iznos ili ukupno. - ** Stvarni ** (kao što je spomenuto) 0,2. Račun Voditelj: Račun knjiga pod kojima taj porez će biti booked3. Trošak Centar: Ako pristojba / zadužen je prihod (kao shipping) ili rashod to treba biti rezervirano protiv troškova Center.4. Opis: Opis poreza (koji će se tiskati u fakturama / citati) 0,5. Ocijeni: Porezna rate.6. Iznos: Porezna amount.7. Ukupno: Kumulativna ukupno ove point.8. Unesite Row: Ako se temelji na &quot;Prethodni Row Totala&quot; možete odabrati broj retka koji će se uzeti kao osnova za ovaj izračun (default je prethodni redak) 0,9. Je li ovo pristojba uključena u osnovne stope:? Ako to provjerili, to znači da taj porez neće biti prikazan ispod točke tablici, ali će biti uključeni u osnovne stope u glavnom točkom tablici. To je korisno gdje želite dati flat cijenu (uključujući sve poreze) cijenu za kupce."
Start Date,Datum početka
Start Report For,Početak izvješće za
Start date of current invoice's period,Početak datum tekućeg razdoblja dostavnice
Starts on,Počinje na
Startup,Stavljanje u pogon
State,Država
States,Države
Static Parameters,Statički parametri
Status,Status
Status must be one of ,Status mora biti jedan od
Status should be Submitted,Status treba Prijavljen
Statutory info and other general information about your Supplier,Zakonska info i druge opće informacije o vašem Dobavljaču
Stock,Zaliha
Stock Adjustment Account,Stock Adjustment račun
Stock Adjustment Cost Center,Stock Adjustment troška
Stock Ageing,Kataloški Starenje
Stock Analytics,Stock Analytics
Stock Balance,Kataloški bilanca
Stock Entry,Kataloški Stupanje
Stock Entry Detail,Kataloški Stupanje Detalj
Stock Frozen Upto,Kataloški Frozen Upto
Stock In Hand Account,Stock u ruci račun
Stock Ledger,Stock Ledger
Stock Ledger Entry,Stock Ledger Stupanje
Stock Level,Kataloški Razina
Stock Qty,Kataloški Kol
Stock Queue (FIFO),Kataloški red (FIFO)
Stock Received But Not Billed,Stock primljeni Ali ne Naplaćeno
Stock Reconciliation,Kataloški pomirenje
Stock Reconciliation file not uploaded,Kataloški Pomirenje datoteka nije ustupio
Stock Settings,Stock Postavke
Stock UOM,Kataloški UOM
Stock UOM Replace Utility,Kataloški UOM Zamjena Utility
Stock Uom,Kataloški Uom
Stock Value,Stock vrijednost
Stock Value Difference,Stock Vrijednost razlika
Stop,Stop
Stop users from making Leave Applications on following days.,Prestani korisnike od izrade ostaviti aplikacija na sljedećim danima.
Stopped,Zaustavljen
Structure cost centers for budgeting.,Struktura troška za budžetiranja.
Structure of books of accounts.,Struktura knjige računa.
Style,Stil
Style Settings,Stil Postavke
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Stil predstavlja boju gumba: Uspjeh - zelena, opasnosti - Crvena, Inverzni - crna, Primarni - tamnoplava, info - svjetlo plava, upozorenje - Orange"
"Sub-currency. For e.g. ""Cent""",Sub-valuta. Za npr. &quot;centi&quot;
Sub-domain provided by erpnext.com,Pod-domene pruža erpnext.com
Subcontract,Podugovor
Subdomain,Poddomena
Subject,Predmet
Submit,Podnijeti
Submit Salary Slip,Slanje plaće Slip
Submit all salary slips for the above selected criteria,Slanje sve plaće gaćice za gore odabranih kriterija
Submitted,Prijavljen
Submitted Record cannot be deleted,Postavio Zapis se ne može izbrisati
Subsidiary,Podružnica
Success,Uspjeh
Successful: ,Uspješna:
Suggestion,Prijedlog
Suggestions,Prijedlozi
Sunday,Nedjelja
Supplier,Dobavljač
Supplier (Payable) Account,Dobavljač (Plaća) račun
Supplier (vendor) name as entered in supplier master,Dobavljač (prodavatelja) ime kao ušao u dobavljača gospodara
Supplier Account Head,Dobavljač račun Head
Supplier Address,Dobavljač Adresa
Supplier Details,Dobavljač Detalji
Supplier Intro,Dobavljač Uvod
Supplier Invoice Date,Dobavljač Datum fakture
Supplier Invoice No,Dobavljač Račun br
Supplier Name,Dobavljač Ime
Supplier Naming By,Dobavljač nazivanje
Supplier Part Number,Dobavljač Broj dijela
Supplier Quotation,Dobavljač Ponuda
Supplier Quotation Item,Dobavljač ponudu artikla
Supplier Reference,Dobavljač Referenca
Supplier Shipment Date,Dobavljač Pošiljka Datum
Supplier Shipment No,Dobavljač Pošiljka Nema
Supplier Type,Dobavljač Tip
Supplier Warehouse,Dobavljač galerija
Supplier Warehouse mandatory subcontracted purchase receipt,Dobavljač skladišta obvezni podugovorne Račun kupnje
Supplier classification.,Dobavljač klasifikacija.
Supplier database.,Dobavljač baza podataka.
Supplier of Goods or Services.,Dobavljač robe ili usluga.
Supplier warehouse where you have issued raw materials for sub - contracting,Dobavljač skladište gdje ste izdali sirovine za pod - ugovaranje
Supplier's currency,Dobavljačeva valuta
Support,Podržati
Support Analytics,Podrška Analytics
Support Email,Podrška e
Support Email Id,Podrška Email ID
Support Password,Podrška Lozinka
Support Ticket,Podrška karata
Support queries from customers.,Podrška upite od kupaca.
Symbol,Simbol
Sync Inbox,Sync inbox
Sync Support Mails,Sinkronizacija Podrška mailova
Sync with Dropbox,Sinkronizacija s Dropbox
Sync with Google Drive,Sinkronizacija s Google Drive
System,Sistem
System Defaults,Sustav Zadano
System Settings,Postavke sustava
System User,Sustav Upute
"System User (login) ID. If set, it will become default for all HR forms.","Sustav Korisničko (login) ID. Ako je postavljen, to će postati zadana za sve HR oblicima."
System for managing Backups,Sustav za upravljanje sigurnosne kopije
System generated mails will be sent from this email id.,Sustav generira mailova će biti poslan na ovaj email id.
TL-,TL-
TLB-,TLB-
Table,Stol
Table for Item that will be shown in Web Site,Tablica za predmet koji će biti prikazan u web stranice
Tag,Privjesak
Tag Name,Oznaka Ime
Tags,Oznake
Tahoma,Tahoma
Target,Meta
Target  Amount,Ciljana Iznos
Target Detail,Ciljana Detalj
Target Details,Ciljane Detalji
Target Details1,Ciljana Details1
Target Distribution,Ciljana Distribucija
Target Qty,Ciljana Kol
Target Warehouse,Ciljana galerija
Task,Zadatak
Task Details,Zadatak Detalji
Tax,Porez
Tax Calculation,Obračun poreza
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,Porezna kategorija ne može biti &quot;Procjena&quot; ili &quot;Procjena vrijednosti i Total &#39;kao i svi proizvodi bez dionica stavke
Tax Master,Porezna Master
Tax Rate,Porezna stopa
Tax Template for Purchase,Porezna Predložak za kupnju
Tax Template for Sales,Porezna Predložak za prodaju
Tax and other salary deductions.,Porez i drugih isplata plaća.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,Porezna detalj stol preuzeta iz točke majstora kao string i pohranjeni u to field.Used za poreze i pristojbe
Taxable,Oporeziva
Taxes,Porezi
Taxes and Charges,Porezi i naknade
Taxes and Charges Added,Porezi i naknade Dodano
Taxes and Charges Added (Company Currency),Porezi i naknade uvrštenja (Društvo valuta)
Taxes and Charges Calculation,Porezi i naknade Proračun
Taxes and Charges Deducted,Porezi i naknade oduzeti
Taxes and Charges Deducted (Company Currency),Porezi i naknade Umanjenja (Društvo valuta)
Taxes and Charges Total,Porezi i naknade Ukupno
Taxes and Charges Total (Company Currency),Porezi i naknade Ukupno (Društvo valuta)
Taxes and Charges1,Porezi i Charges1
Team Members,Članovi tima
Team Members Heading,Članovi tima Naslov
Template for employee performance appraisals.,Predložak za zaposlenika ocjeni rada.
Template of terms or contract.,Predložak termina ili ugovor.
Term Details,Oročeni Detalji
Terms and Conditions,Odredbe i uvjeti
Terms and Conditions Content,Uvjeti sadržaj
Terms and Conditions Details,Uvjeti Detalji
Terms and Conditions Template,Uvjeti predloška
Terms and Conditions1,Odredbe i Conditions1
Territory,Teritorija
Territory Manager,Teritorij Manager
Territory Name,Regija Ime
Territory Target Variance (Item Group-Wise),Teritorij Target varijance (točka Group-Wise)
Territory Targets,Teritorij Mete
Test,Test
Test Email Id,Test E-mail ID
Test Runner,Test Runner
Test the Newsletter,Test Newsletter
Text,Tekst
Text Align,Tekst Poravnajte
Text Editor,Tekst Editor
"The ""Web Page"" that is the website home page",&quot;Web stranica&quot; da je stranica web kući
The BOM which will be replaced,BOM koji će biti zamijenjen
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",Stavka koja predstavlja paket. Ova stavka mora imati &quot;Je kataloški Stavka&quot; kao &quot;Ne&quot; i &quot;Je li prodaja artikla&quot; kao &quot;Da&quot;
The date at which current entry is made in system.,Datum na koji tekući zapis se sastoji u sustavu.
The date at which current entry will get or has actually executed.,Datum na koji tekući zapis će dobiti ili zapravo je pogubljen.
The date on which next invoice will be generated. It is generated on submit.,Datum na koji sljedeći račun će biti generiran. To je generiran na podnijeti.
The date on which recurring invoice will be stop,Datum na koji se ponavlja faktura će se zaustaviti
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","Dan u mjesecu na koji se automatski faktura će biti generiran npr. 05, 28 itd."
The first Leave Approver in the list will be set as the default Leave Approver,Prvi dopust Odobritelj na popisu će se postaviti kao zadani Odobritelj dopust
The gross weight of the package. Usually net weight + packaging material weight. (for print),Bruto težina paketa. Obično neto težina + ambalaža težina. (Za tisak)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,Naziv tvrtke / web stranice kao što želite da se pojavi na naslovnoj traci preglednika. Sve stranice će imati to kao prefiks na naslov.
The net weight of this package. (calculated automatically as sum of net weight of items),Neto težina tog paketa. (Automatski izračunava kao zbroj neto težini predmeta)
The new BOM after replacement,Novi BOM nakon zamjene
The rate at which Bill Currency is converted into company's base currency,Stopa po kojoj Bill valuta pretvara u tvrtke bazne valute
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","Sustav pruža unaprijed definiranim ulogama, ali možete <a href='#List/Role'>dodati nove uloge</a> postaviti finije dozvole"
The unique id for tracking all recurring invoices. It is generated on submit.,Jedinstveni ID za praćenje svih ponavljajući fakture. To je izrađen podnijeti.
Then By (optional),Zatim Do (opcionalno)
These properties are Link Type fields from all Documents.,Ta svojstva su Link Tip polja iz svih dokumenata.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Ta svojstva se također može koristiti za &#39;dodijeliti&#39; određeni dokument, čija imovina utakmice s Korisničkom imovine korisniku. To se može podesiti pomoću <a href='#permission-manager'>dozvolu Manager</a>"
These properties will appear as values in forms that contain them.,Ta svojstva će se pojaviti kao vrijednosti u oblicima koji ih sadrže.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Ove vrijednosti će se automatski ažuriraju u prometu, te će također biti korisno ograničiti dozvole za ovog korisnika o transakcijama koje sadrže te vrijednosti."
This Price List will be selected as default for all Customers under this Group.,Ovaj Cjenik će biti odabran kao uobičajeni za sve kupce iz ove skupine.
This Time Log Batch has been billed.,Ovo Batch Vrijeme Log je naplaćeno.
This Time Log Batch has been cancelled.,Ovo Batch Vrijeme Log je otkazan.
This Time Log conflicts with,Ovaj put Prijavite u sukobu s
This account will be used to maintain value of available stock,Ovaj račun će se koristiti za održavanje vrijednosti zaliha na raspolaganju
This currency will get fetched in Purchase transactions of this supplier,Ova valuta će se dohvatio u Kupiti transakcija ovog dobavljača
This currency will get fetched in Sales transactions of this customer,Ova valuta će se dohvatio u prodajnim transakcijama ovog kupca
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge Into"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.","Ova značajka je za spajanje duple skladišta. Ona će zamijeniti sve linkove ovog skladišta &quot;spojiti u&quot; skladište. Nakon spajanja možete izbrisati ovu skladište, kao dioničko razina u ovoj skladište će biti nula."
This feature is only applicable to self hosted instances,Ova opcija se primjenjuje samo na sebe domaćin slučajevima
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,"Ovo polje će se pojaviti samo ako podataka, Naziv Polja definirana ovdje ima vrijednost ILI pravila su istina (primjeri): <br> myfieldeval: doc.myfield == &#39;Moj Vrijednost&#39; <br> eval: doc.age&gt; 18"
This goes above the slideshow.,To ide iznad slideshow.
This is PERMANENT action and you cannot undo. Continue?,"To je stalna akcija, a ne možete poništiti. Nastaviti?"
This is an auto generated Material Request.,Ovo je automatski generirani Materijal zahtjev.
This is permanent action and you cannot undo. Continue?,"To je stalna akcija, a ne možete poništiti. Nastaviti?"
This is the number of the last created transaction with this prefix,To je broj zadnjeg stvorio transakcije s ovim prefiksom
This message goes away after you create your first customer.,Ova poruka nestaje nakon što stvorite svoj prvi kupac.
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Ovaj alat pomaže vam da ažurirate ili popraviti količinu i vrednovanja zaliha u sustavu. To se obično koristi za sinkronizaciju sustava vrijednosti i što zapravo postoji u svojim skladištima.
This will be used for setting rule in HR module,To će se koristiti za postavljanje pravilu u HR modula
Thread HTML,Temu HTML
Thursday,Četvrtak
Time,Vrijeme
Time Log,Vrijeme Log
Time Log Batch,Vrijeme Log Hrpa
Time Log Batch Detail,Vrijeme Log Batch Detalj
Time Log Batch Details,Time Log Hrpa Brodu
Time Log Batch status must be 'Submitted',Vrijeme Log Batch status mora biti &#39;Poslao&#39;
Time Log Status must be Submitted.,Vrijeme Status dnevnika mora biti podnesen.
Time Log for tasks.,Vrijeme Prijava za zadatke.
Time Log is not billable,Vrijeme Log nije naplatnih
Time Log must have status 'Submitted',Vrijeme Prijava mora imati status &#39;Poslao&#39;
Time Zone,Time Zone
Time Zones,Vremenske zone
Time and Budget,Vrijeme i proračun
Time at which items were delivered from warehouse,Vrijeme na stavke koje su isporučena iz skladišta
Time at which materials were received,Vrijeme u kojem su materijali primili
Title,Naslov
Title / headline of your page,Naslov / naslov vaše stranice
Title Case,Naslov slučaja
Title Prefix,Naslov Prefiks
To,Na
To Currency,Valutno
To Date,Za datum
To Discuss,Za Raspravljajte
To Do,Raditi
To Do List,Da li popis
To PR Date,Za PR Datum
To Package No.,Za Paket br
To Reply,Za Odgovor
To Time,Za vrijeme
To Value,Za vrijednost
To Warehouse,Za galeriju
"To add a tag, open the document and click on ""Add Tag"" on the sidebar","Da biste dodali oznaku, otvorite dokument i kliknite na &quot;Dodaj oznaku&quot; na sidebar"
"To assign this issue, use the ""Assign"" button in the sidebar.","Za dodjelu taj problem, koristite &quot;dodijeliti&quot; gumb u sidebar."
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.","Da biste automatski stvorili podršku ulaznice iz vašeg dolaznog maila, postaviti POP3 postavke ovdje. Vi idealno mora stvoriti zasebnu e-mail ID za ERP sustava, tako da sve e-mailove će biti sinkronizirane u sustav iz tog mail id. Ako niste sigurni, obratite se davatelju usluge e."
"To create an Account Head under a different company, select the company and save customer.","Za stvaranje računa glavu pod drugom tvrtkom, odaberite tvrtku i spasiti kupca."
To enable <b>Point of Sale</b> features,Da biste omogućili <b>Point of Sale</b> značajke
To enable more currencies go to Setup > Currency,Da biste omogućili više valuta ići na Postavke&gt; Valuta
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.","Za preuzimanje stavke opet, kliknite na &quot;Get stavke&quot; gumb \ ili ažurirati Količina ručno."
"To format columns, give column labels in the query.","Za formatiranje stupaca, daju natpise stupaca u upitu."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Kako bi se dodatno ograničiti dozvole na temelju određenih vrijednosti u dokumentu, koristite &#39;stanje&#39; postavke."
To get Item Group in details table,Da biste dobili predmeta Group u tablici pojedinosti
To manage multiple series please go to Setup > Manage Series,Za upravljati s više niz molimo idite na Postavke&gt; Upravljanje serije
To restrict a User of a particular Role to documents that are explicitly assigned to them,Da biste ograničili korisnik određenu ulogu na dokumente koji su izričito dodijeljene im
To restrict a User of a particular Role to documents that are only self-created.,Da biste ograničili korisnik određenu ulogu dokumentima koji su samo self-kreirana.
"To set reorder level, item must be Purchase Item","Da biste promijenili redoslijed razinu, stavka mora biti Otkup artikla"
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Da biste postavili korisničke uloge, samo idite na <a href='#List/Profile'>Postavke&gt; Korisnici</a> i kliknite na korisnika dodijeliti uloge."
To track any installation or commissioning related work after sales,Za praćenje bilo koju instalaciju ili puštanje vezane raditi nakon prodaje
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","Za praćenje branda u sljedećim dokumentima <br> Otpremnica, Enuiry, Materijal zahtjev, točka, Narudžbenica, Otkup bon, Kupac Potvrda, citat, prodaja Račun, prodaja BOM, prodajnog naloga, Serijski br"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,Za praćenje stavke u prodaji i kupnji dokumenata na temelju njihovih serijskih br. To je također može koristiti za praćenje jamstvene podatke o proizvodu.
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,Za praćenje stavke u prodaji i kupnji dokumenata s batch br <br> <b>Prošle Industrija: Kemikalije itd</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,Za praćenje stavki pomoću barkod. Vi ćete biti u mogućnosti da unesete stavke u otpremnici i prodaje Računa skeniranjem barkod stavke.
ToDo,ToDo
Tools,Alat
Top,Vrh
Top Bar,Najbolje Bar
Top Bar Background,Najbolje Bar Pozadina
Top Bar Item,Najbolje Bar artikla
Top Bar Items,Top Bar Proizvodi
Top Bar Text,Top Bar Tekst
Top Bar text and background is same color. Please change.,Najbolje bar tekst i pozadina iste boje. Molimo promijeniti.
Total,Ukupan
Total (sum of) points distribution for all goals should be 100.,Ukupno (zbroj) boda distribucije svih ciljeva trebao biti 100.
Total Advance,Ukupno Predujam
Total Amount,Ukupan iznos
Total Amount To Pay,Ukupan iznos platiti
Total Amount in Words,Ukupan iznos u riječi
Total Billing This Year: ,Ukupno naplate Ova godina:
Total Claimed Amount,Ukupno Zatražio Iznos
Total Commission,Ukupno komisija
Total Cost,Ukupan trošak
Total Credit,Ukupna kreditna
Total Debit,Ukupno zaduženje
Total Deduction,Ukupno Odbitak
Total Earning,Ukupna zarada
Total Experience,Ukupno Iskustvo
Total Hours,Ukupno vrijeme
Total Hours (Expected),Ukupno vrijeme (Očekivani)
Total Invoiced Amount,Ukupno Iznos dostavnice
Total Leave Days,Ukupno Ostavite Dani
Total Leaves Allocated,Ukupno Lišće Dodijeljeni
Total Operating Cost,Ukupni trošak
Total Points,Ukupno bodova
Total Raw Material Cost,Ukupno troškova sirovine
Total SMS Sent,Ukupno SMS Sent
Total Sanctioned Amount,Ukupno kažnjeni Iznos
Total Score (Out of 5),Ukupna ocjena (od 5)
Total Tax (Company Currency),Ukupno poreza (Društvo valuta)
Total Taxes and Charges,Ukupno Porezi i naknade
Total Taxes and Charges (Company Currency),Ukupno Porezi i naknade (Društvo valuta)
Total Working Days In The Month,Ukupno radnih dana u mjesecu
Total amount of invoices received from suppliers during the digest period,Ukupan iznos primljenih računa od dobavljača tijekom razdoblja digest
Total amount of invoices sent to the customer during the digest period,Ukupan iznos računa šalje kupcu tijekom razdoblja digest
Total in words,Ukupno je u riječima
Total production order qty for item,Ukupna proizvodnja kako kom za stavku
Totals,Ukupan rezultat
Track separate Income and Expense for product verticals or divisions.,Pratite posebnu prihodi i rashodi za proizvode vertikalama ili podjele.
Track this Delivery Note against any Project,Prati ovu napomenu isporuke protiv bilo Projekta
Track this Sales Invoice against any Project,Prati ovu Sales fakture protiv bilo Projekta
Track this Sales Order against any Project,Prati ovu prodajni nalog protiv bilo Projekta
Transaction,Transakcija
Transaction Date,Transakcija Datum
Transfer,Prijenos
Transition Rules,Prijelazna pravila
Transporter Info,Transporter Info
Transporter Name,Transporter Ime
Transporter lorry number,Transporter kamion broj
Trash Reason,Otpad Razlog
Tree of item classification,Stablo točke klasifikaciji
Trial Balance,Pretresno bilanca
Tuesday,Utorak
Tweet will be shared via your user account (if specified),Tweet će se dijeliti putem vašeg korisničkog računa (ako je određeno)
Twitter Share,Twitter Share
Twitter Share via,Twitter Podijeli putem
Type,Vrsta
Type of document to rename.,Vrsta dokumenta za promjenu naziva.
Type of employment master.,Vrsta zaposlenja gospodara.
"Type of leaves like casual, sick etc.","Tip lišća poput casual, bolovanja i sl."
Types of Expense Claim.,Vrste Rashodi zahtjevu.
Types of activities for Time Sheets,Vrste aktivnosti za vrijeme listova
UOM,UOM
UOM Conversion Detail,UOM pretvorbe Detalj
UOM Conversion Details,UOM pretvorbe Detalji
UOM Conversion Factor,UOM konverzijski faktor
UOM Conversion Factor is mandatory,UOM pretvorbe Factor je obvezna
UOM Details,UOM Detalji
UOM Name,UOM Ime
UOM Replace Utility,UOM Zamjena Utility
UPPER CASE,Velika slova
UPPERCASE,Velikim slovima
URL,URL
Unable to complete request: ,Nije moguće dovršiti zahtjev:
Under AMC,Pod AMC
Under Graduate,Pod diplomski
Under Warranty,Pod jamstvo
Unit of Measure,Jedinica mjere
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).","Jedinica za mjerenje ove točke (npr. kg, Jedinica Ne, Par)."
Units/Hour,Jedinice / sat
Units/Shifts,Jedinice / smjene
Unmatched Amount,Nenadmašan Iznos
Unpaid,Neplaćen
Unread Messages,Nepročitane poruke
Unscheduled,Neplanski
Unsubscribed,Pretplatu
Upcoming Events for Today,Buduća događanja za danas
Update,Ažurirati
Update Clearance Date,Ažurirajte provjeri datum
Update Field,Update Field
Update PR,Update PR
Update Series,Update serija
Update Series Number,Update serije Broj
