(Half Day),(Halber Tag)
Sorry we were unable to find what you were looking for.,"Leider waren wir nicht in der Lage zu finden, was Sie suchen."
Sorry you are not permitted to view this page.,"Leider sind Sie nicht berechtigt, diese Seite anzuzeigen."
Sorry! We can only allow upto 100 rows for Stock Reconciliation.,Sorry! Wir können nur bis zu 100 Zeilen für Stock Reconciliation ermöglichen.
Sort By,Sortieren nach
Sort Order,Sortierung
Source,Quelle
Source Warehouse,Quelle Warehouse
Source and Target Warehouse cannot be same,Quelle und Ziel Warehouse kann nicht gleichzeitig
Source of th,Quelle th
"Source of the lead. If via a campaign, select ""Campaign""","Quelle der Leitung. Wenn über die Kampagne, wählen Sie ""Kampagne"""
Special Page Settings,Spezielle Einstellungen Seite
Specification Details,Ausschreibungstexte
Split Delivery Note into packages.,Aufgeteilt in Pakete Lieferschein.
Standard,Standard
Standard Rate,Standardpreis
"Standard Terms and Conditions that can be added to Sales and Purchases.Examples:1. Validity of the offer.1. Payment Terms (In Advance, On Credit, part advance etc).1. What is extra (or payable by the Customer).1. Safety / usage warning.1. Warranty if any.1. Returns Policy.1. Terms of shipping, if applicable.1. Ways of addressing disputes, indemnity, liability, etc.1. Address and Contact of your Company.","1: Standard Bedingungen, können Umsatz und Purchases.Examples hinzugefügt werden. Gültigkeit der offer.1. Zahlungsbedingungen (im voraus auf Credit, einem Teil Voraus etc) .1. Was ist extra (oder zu Lasten des Kunden) .1. Sicherheit / Nutzung warning.1. Garantie, wenn any.1. Gibt Policy.1. AGB Versand, wenn applicable.1. Möglichkeiten zu erörtern, Streitigkeiten, Schadenersatz, Haftung, etc.1. Adress-und Kontaktdaten Ihres Unternehmens."
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.","Standard Steuern Vorlage, die für alle Kauf-Transaktionen angewendet werden können. Diese Vorlage kann Liste der Steuerhinterziehung und auch andere Kosten Köpfe wie ""Versand"", ""Insurance"", ""Handling"" etc. # # # # AnmerkungDie Steuersatz, den Sie hier definieren, wird die Standard-Steuersatz für alle ** Artikel ** . Wenn es ** Artikel **, die unterschiedliche Preise haben, müssen sie in der ** Artikel Tax ** Tabelle in der ** Artikel werden ** Master. # # # # Beschreibung der Columns1 aufgenommen. Berechnungsart: - Dies kann auf ** Net Total sein ** (dh die Summe der Grundbetrag ist). - ** Auf Previous Row Total / Betrag ** (für kumulative Steuern oder Abgaben). Wenn Sie diese Option wählen, wird die Steuer als Prozentsatz der vorherigen Reihe (in der Steuer-Tabelle) oder Gesamtmenge angewendet werden. - ** Tatsächliche ** (wie erwähnt) 0,2. Konto Head: Der Account Ledger unter denen diese Steuer booked3 sein wird. Kostenstelle: Wenn die Steuer / Gebühr ist ein Einkommen (wie Versand) oder Kosten es braucht, um gegen eine Cost Center.4 gebucht werden. Beschreibung: Beschreibung der Steuer (das wird in den Rechnungen / quotes gedruckt werden) .5. Rate: Tax rate.6. Betrag: Tax amount.7. Total: Kumulierte insgesamt zu dieser point.8. Geben Row: Wenn Sie auf ""Previous Row Total"" Basis können Sie die Nummer der Zeile, die als Grundlage für diese Berechnung (voreingestellt ist die vorherige Zeile) .9 ergriffen werden wählen. Betrachten Sie Steuern oder Gebühren für: In diesem Bereich können Sie festlegen, ob die Steuer / Gebühr ist nur für die Bewertung (nicht ein Teil der Gesamtsumme) oder nur für die gesamte (nicht erhöhen den Wert der Position) oder für both.10. Hinzufügen oder abziehen: Ob Sie zum Hinzufügen oder entrichtete Mehrwertsteuer abziehen wollen."
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Standard Steuern Vorlage, die für alle Verkaufsvorgänge angewendet werden können. Diese Vorlage kann Liste der Steuerhinterziehung und auch andere Aufwendungen / Erträge Köpfe wie ""Versand"", ""Insurance"", ""Handling"" etc. # # # # AnmerkungDie Steuersatz, den Sie hier definieren, wird der Steuersatz für alle ** Artikel werden **. Wenn es ** Artikel **, die unterschiedliche Preise haben, müssen sie in der ** Artikel Tax ** Tabelle in der ** Artikel werden ** Master. # # # # Beschreibung der Columns1 aufgenommen. Berechnungsart: - Dies kann auf ** Net Total sein ** (dh die Summe der Grundbetrag ist). - ** Auf Previous Row Total / Betrag ** (für kumulative Steuern oder Abgaben). Wenn Sie diese Option wählen, wird die Steuer als Prozentsatz der vorherigen Reihe (in der Steuer-Tabelle) oder Gesamtmenge angewendet werden. - ** Tatsächliche ** (wie erwähnt) 0,2. Konto Head: Der Account Ledger unter denen diese Steuer booked3 sein wird. Kostenstelle: Wenn die Steuer / Gebühr ist ein Einkommen (wie Versand) oder Kosten es braucht, um gegen eine Cost Center.4 gebucht werden. Beschreibung: Beschreibung der Steuer (das wird in den Rechnungen / quotes gedruckt werden) .5. Rate: Tax rate.6. Betrag: Tax amount.7. Total: Kumulierte insgesamt zu dieser point.8. Geben Row: Wenn Sie auf ""Previous Row Total"" Basis können Sie die Nummer der Zeile, die als Grundlage für diese Berechnung (voreingestellt ist die vorherige Zeile) .9 ergriffen werden wählen. Wird diese Steuer in Basic Rate enthalten: Wenn Sie diese Option, bedeutet dies, dass diese Steuer nicht unterhalb des Artikels Tabelle dargestellt werden, wird aber in der Basic Rate in Ihrem Hauptsache Tabelle aufgenommen. Dies ist nützlich, wenn Sie geben einen Pauschalpreis (inklusive aller Steuern) Preise für die Kunden wollen."
Start Date,Startdatum
Start Report For,Starten des Berichts für
Start date of current invoice's period,Startdatum der laufenden Rechnung der Zeit
Starts on,Beginnt am
Startup,Startup
State,Zustand
State Name,State Name
States,Staaten
Static Parameters,Statische Parameter
Status,Status
Status must be one of,Status muss einer der folgenden sein
Statutory info and other general information about your Supplier,Gesetzliche Informationen und andere allgemeine Informationen über Ihr Lieferant
Stock,Lager
Stock Ageing,Lager Ageing
Stock Analytics,Lager Analytics
Stock Balance,Bestandsliste
Stock Entry,Lager Eintrag
Stock Entry Detail,Lager Eintrag Details
Stock Frozen Upto,Lager Bis gefroren
Stock Home,Lager Home
Stock Ledger,Lager Ledger
Stock Ledger Entry,Lager Ledger Eintrag
Stock Level,Stock Level
Stock Qty,Lieferbar Menge
Stock Queue (FIFO),Lager Queue (FIFO)
Stock Reconciliation,Lager Versöhnung
Stock Reconciliation file not uploaded,Lager Versöhnung Datei nicht hochgeladen
Stock UOM,Lager UOM
Stock UOM Replace Utility,Lager UOM ersetzen Dienstprogramm
Stock Uom,Lager ME
Stock Value,Bestandswert
"Stock level frozen up to this date, nobody can do / modify entry except authorized person","Bestand bis zu diesem Zeitpunkt eingefroren, kann niemand / nicht ändern Eintrag außer autorisierten Person"
Stop,Stoppen
Stop users from making Leave Applications on following days.,Stoppen Sie den Nutzer von Leave Anwendungen auf folgenden Tagen.
Stopped,Gestoppt
Structure cost centers for budgeting.,Structure Kostenstellen für die Budgetierung.
Structure of books of accounts.,Struktur der Bücher von Konten.
Style,Stil
Style Settings,Style Einstellungen
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Stil repräsentiert die Farbe der Schaltfläche: Success - Grün, Gefahr - Rot, Inverse - Schwarz, Primary - Dunkelblau, Info - Light Blue, Warnung - Orange"
"Sub-currency. For e.g. ""Cent""","Sub-Währung. Für z.B. ""Cent"""
Sub-domain provided by erpnext.com,Sub-Domain durch erpnext.com vorgesehen
Subcontract,Vergeben
Subdomain,Subdomain
Subject,Thema
Submit,Einreichen
Submit Salary Slip,Senden Gehaltsabrechnung
Submit all salary slips for the above selected criteria,Reichen Sie alle Gehaltsabrechnungen für die oben ausgewählten Kriterien
Submitted,Eingereicht
Success,Erfolg
Suggestion,Vorschlag
Suggestions,Vorschläge
Sunday,Sonntag
Sunny,Sonnig
Supplier,Lieferant
Supplier (vendor) name as entered in supplier master,Lieferant (Kreditor) Namen wie im Lieferantenstamm eingetragen
Supplier Address,Lieferant Adresse
Supplier Details,Supplier Details
Supplier Intro,Lieferant Intro
Supplier Master created by,Lieferant Meister erstellt von
Supplier Name,Name des Anbieters
Supplier Part Number,Lieferant Teilenummer
Supplier Quotation,Lieferant Angebot
Supplier Quotation Item,Lieferant Angebotsposition
Supplier Reference,Lieferant Reference
Supplier Type,Lieferant Typ
Supplier Warehouse,Lieferant Warehouse
Supplier classification.,Lieferant Klassifizierung.
Supplier database.,Lieferanten-Datenbank.
Supplier of Goods or Services.,Lieferant von Waren oder Dienstleistungen.
Supplier warehouse where you have issued raw materials for sub - contracting,Lieferantenlager wo Sie Rohstoffe ausgegeben haben - Zulieferer
Supplier's currency,Lieferant Währung
Support,Unterstützen
Support Analytics,Unterstützung Analytics
Support Email,Unterstützung per E-Mail
Support Email Id,Unterstützt E-Mail-Id
Support Home,Support Home
Support Password,Support Passwort
Support Ticket,Support Ticket
Support Ticket Mail Settings,Support-Ticket-Mail-Einstellungen
Support queries from customers via email or website.,Support-Anfragen von Kunden via E-Mail oder Website.
Symbol,Symbol
Sync Inbox,Sync Posteingang
Sync Support Mails,Sync Unterstützung Mails
System,System
System Console,System Console
System Defaults,System Defaults
System User,System User
"System User (login) ID. If set, it will become default for all HR forms.","System User (login) ID. Wenn gesetzt, wird es standardmäßig für alle HR-Formulare werden."
System generated mails will be sent from this email id.,System generierten E-Mails werden von dieser E-Mail-ID gesendet werden.
Table,Tabelle
Table Field,Tabelle Feld
Table Mapper Detail,Tabelle Mapper Details
Table Mapper Details,Tabelle Mapper Einzelheiten
Table for Item that will be shown in Web Site,"Tabelle für Artikel, die in Web-Site angezeigt werden"
Tag,Anhänger
Tag Name,Tag Name
Tags,Tags
Tahoma,Tahoma
Target,Ziel
Target  Amount,Zielbetrag
Target Detail,Ziel Detailansicht
Target Details,Zieldetails
Target Details1,Ziel Details1
Target Distribution,Target Distribution
Target Qty,Ziel Menge
Target Warehouse,Ziel Warehouse
Task,Aufgabe
Task Details,Task Details
Task Id,Task-Id
Task Name,Task-Name
Tasks,Aufgaben
Tasks belonging to this Project.,Aufgaben gehören zu diesem Projekt.
Tax,Steuer
Tax Amount,Steuerbetrag
Tax Calculation,Steuerberechnung
Tax Rate,Tax Rate
Tax Template for Purchase,MwSt. Vorlage für Kauf
Tax Template for Sales,MwSt. Template für Vertrieb
Tax and other salary deductions.,Steuer-und sonstige Lohnabzüge.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,MwSt. Detailtabelle holte aus Artikelstammdaten als String und in diesem field.Used für Steuern und Abgaben
Taxable,Steuerpflichtig
Taxes,Steuern
Taxes and Charges,Steuern und Abgaben
Taxes and Charges Added,Steuern und Abgaben am
Taxes and Charges Added (Import),Steuern und Gebühren Added (Import)
Taxes and Charges Calculation,Steuern und Gebühren Berechnung
Taxes and Charges Deducted,Steuern und Gebühren Abgezogen
Taxes and Charges Deducted (Import),Steuern und Gebühren abgezogen (Import)
Taxes and Charges Total,Steuern und Gebühren gesamt
Taxes and Charges Total*,Steuern und Gebühren Total *
Taxes and Charges1,Steuern und Kosten1
Team Members,Teammitglieder
Team Members Heading,Teammitglieder Überschrift
Template for employee performance appraisals.,Vorlage für Mitarbeiter Leistungsbeurteilungen.
Template of terms or contract.,Vorlage von Begriffen oder Vertrag.
Term Details,Begriff Einzelheiten
Terms and Conditions,AGB
Terms and Conditions Content,AGB Inhalt
Terms and Conditions Details,AGB Einzelheiten
Terms and Conditions HTML,AGB HTML
Terms and Conditions Template,AGB Template
Terms and Conditions1,Allgemeine Bedingungen1
Territory,Gebiet
Territory Manager,Territory Manager
Territory Name,Territory Namen
Territory Targets,Territory Targets
TerritoryHelp,TerritoryHelp
Test,Test
Test Data,Test Data
Test Date,Test Datum
Test Email Id,Test Email Id
Test Link,Testlink
Test Runner,Test Runner
Test Select,Testen Sie Wählen
Test Text,Test Text
Test the Newsletter,Testen Sie den Newsletter
Text,Text
Text Align,Text ausrichten
Text Editor,Text Editor
"The ""Web Page"" that is the website home page","Die ""Web Page"", die Homepage der Website ist"
The BOM which will be replaced,"Die Stückliste, die ersetzt werden"
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""","Das Element, das das Paket darstellt. Dieser Artikel muss ""Ist Stock Item"" als ""Nein"" und ""Ist Vertrieb Item"" als ""Ja"""
The account to which you will pay (have paid) the money to.,"Das Konto, auf die Sie bezahlen (bezahlt) das Geld."
The date at which current entry is corrected in the system.,"Der Zeitpunkt, zu dem aktuellen Eintrag in dem System korrigiert."
The date at which current entry is made in system.,"Das Datum, an dem aktuellen Eintrag im System hergestellt wird."
The date at which current entry will get or has actually executed.,"Das Datum, an dem aktuellen Eintrag zu erhalten oder wird tatsächlich ausgeführt."
The date on which next invoice will be generated. It is generated on submit.,"Der Tag, an dem nächsten Rechnung generiert werden. Es basiert auf einzureichen generiert."
The date on which recurring invoice will be stop,"Der Tag, an dem wiederkehrende Rechnung werden aufhören wird"
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","Der Tag des Monats, an dem auto Rechnung generiert zB werden 05, 28 etc"
The gross weight of the package. Usually net weight + packaging material weight. (for print),Das Bruttogewicht des Pakets. Normalerweise Eigengewicht + Verpackungsmaterial Gewicht. (Zum Drucken)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,"Der Name Ihrer Firma / Website, wie Sie auf Titelleiste des Browsers angezeigt werden soll. Alle Seiten werden diese als Präfix für den Titel haben."
The net weight of this package. (calculated automatically as sum of net weight of items),Das Nettogewicht dieses Pakets. (Automatisch als Summe der Netto-Gewicht der Sendungen berechnet)
The new BOM after replacement,Der neue BOM nach dem Austausch
The rate at which Bill Currency is converted into company's base currency,"Die Rate, mit der Bill Währung in Unternehmen Basiswährung umgewandelt wird"
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","Das System bietet vordefinierte Rollen, aber Sie können <a href='#List/Role'> neue Rollen </ a>, um feinere Berechtigungen festlegen"
The unique id for tracking all recurring invoices.åÊIt is generated on submit.,Die eindeutige ID für das Tracking aller wiederkehrenden invoices.åÊIt auf einzureichen generiert.
Theme,Thema
Then By (optional),Dann nach (optional)
These properties are Link Type fields from all Documents.,Diese Eigenschaften sind Link-Typ Felder aus allen Dokumenten.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Diese Eigenschaften können auch verwendet werden, um 'assign' ein bestimmtes Dokument, dessen Eigenschaft übereinstimmt mit der Benutzer-Eigenschaft auf einen Benutzer werden. Dies kann mit dem <a href='#permission-manager'> Permission Manager </ a> werden"
These properties will appear as values in forms that contain them.,"Diese Eigenschaften werden als Werte in Formen, die sie enthalten, erscheinen."
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Diese Werte werden automatisch in Transaktionen aktualisiert werden und wird auch nützlich sein, um Berechtigungen für diesen Benutzer auf Transaktionen mit diesen Werten zu beschränken."
"This Item Group represents ""products.html""","Dieser Artikel Gruppe stellt ""products.html"""
This Price List will be selected as default for all Customers under this Group.,Diese Preisliste wird als Standard für alle Kunden unter dieser Gruppe ausgewählt werden.
This currency will get fetched in Purchase transactions of this supplier,Diese Währung wird in Kauf Transaktionen dieser Lieferanten bekommen geholt
This currency will get fetched in Sales transactions of this customer,Diese Währung wird in Sales Transaktionen dieser Kunden erhalten geholt
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge With"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.","Diese Funktion ist für das Zusammenführen von doppelten Lagern. Es werden alle Links dieses Lagerhaus Warehouse ""Mit Merge"" zu ersetzen. Nach dem Zusammenführen löschen Sie dieses Warehouse als Bestand für dieses Lager wird gleich Null sein."
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,"Dieses Feld wird nur angezeigt, wenn der Feldname hier definierten Wert hat oder die Regeln wahr sind (Beispiele): <br> myfieldeval: doc.myfield == 'My Value' <br> eval: doc.age> 18"
This goes above the slideshow.,Dies geht über die Diashow.
This is PERMANENT action and you cannot undo. Continue?,Dies ist PERMANENT Aktion und können nicht rückgängig gemacht werden. Weiter?
This is permanent action and you cannot undo. Continue?,Dies ist ständige Aktion und können nicht rückgängig gemacht werden. Weiter?
This is the number of the last created transaction with this prefix,Dies ist die Nummer des zuletzt erzeugte Transaktion mit diesem Präfix
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,"Dieses Tool hilft Ihnen zu aktualisieren oder zu beheben die Menge und die Bewertung der Aktie im System. Es wird normalerweise verwendet, um das System abzugleichen und was tatsächlich existiert in Ihrem Lager."
This will be used for setting rule in HR module,Dies wird für die Einstellung der Regel im HR-Modul verwendet werden
Thread HTML,Themen HTML
Thumbnail Image,Minibild
Thursday,Donnerstag
Time,Zeit
Time Zone,Zeitzone
Time Zones,Time Zones
Time and Budget,Zeit und Budget
Time at which items were delivered from warehouse,"Zeit, mit dem Gegenstände wurden aus dem Lager geliefert"
Time at which materials were received,"Zeitpunkt, an dem Materialien wurden erhalten"
Timesheet,Timesheet
Timesheet By,Timesheet By
Timesheet Date,Timesheet Datum
Timesheet Detail,Timesheet Details
Timesheet Details,Timesheet Einzelheiten
Timesheet for tasks.,Timesheet für Aufgaben.
Title,Titel
Title / headline of your page,Titel / Überschrift Ihrer Seite
Title Case,Titel Case
Title Prefix,Title Prefix
To,Auf
To Date,To Date
To Discuss,Zu diskutieren
To Do,To Do
To Do List,To Do List
To DocType,Um doctype
To Field,Zu Feld
To PR Date,Um PR Datum
To Package No.,Um Nr. Paket
To Reply,Um Antworten
To Table,Tabelle
To Warehouse,Um Warehouse
"To add a tag, open the document and click on ""Add Tag"" on the sidebar","Um einen Tag hinzuzufügen, öffnen Sie das Dokument und klicken Sie auf ""Add Tag"" in der Seitenleiste"
"To assign this issue, use the ""Assign"" button in the sidebar.","Um dieses Problem zu zuzuweisen, verwenden Sie die Schaltfläche ""Zuordnen"" in der Seitenleiste."
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.","Um automatisch Support Tickets von Ihrem Posteingang, stellen Sie Ihren POP3-Einstellungen hier. Sie müssen im Idealfall eine separate E-Mail-ID für das ERP-System, so dass alle E-Mails in das System von diesem Mail-ID synchronisiert werden. Wenn Sie nicht sicher sind, wenden Sie sich bitte EMail Provider."
"To create Quotation against Opportunity, Select Opportunity No. and click on 'Pull Opportunity Details' ","Um Quotation gegen Gelegenheit schaffen, auswählen Chance No und klicken Sie auf ""Pull Opportunity-Details '"
"To create an Account Head under a different company, select the company and save customer.","Um ein Konto Kopf unter einem anderen Unternehmen zu erstellen, wählen das Unternehmen und sparen Kunden."
To enable <b>Point of Sale</b> features,Zum <b> Point of Sale </ b> Funktionen ermöglichen
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.","Um Elemente wieder zu holen, auf 'Get Items' Taste \ oder aktualisieren Sie die Menge manuell auf."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Um weiter einschränken Berechtigungen für bestimmte Werte in einem Dokument basiert, verwenden Sie die 'Bedingung' Einstellungen."
To get Item Group in details table,Zu Artikelnummer Gruppe im Detail Tisch zu bekommen
"To import attendance data, click on ""Add"" button, select the saved CSV file and click on ""Upload"".Select the date format as attendance date format in CSV file.Click on ""Import"".","Um die Teilnahme Daten zu importieren, auf ""Hinzufügen"" klicken, wählen Sie die gespeicherte CSV-Datei und klicken Sie auf ""Upload"". Wählen Sie das Datum Format wie die Teilnahme Datumsformat in CSV file.Click auf ""Importieren""."
To manage multiple series please go to Setup > Manage Series,Um mehrere Reihen zu verwalten gehen Sie bitte auf Setup> Verwalten Series
To restrict a User of a particular Role to documents that are explicitly assigned to them,"Um einen Benutzer einer bestimmten Rolle zu Dokumenten, die ihnen ausdrücklich zugeordnet beschränken"
To restrict a User of a particular Role to documents that are only self-created.,"Um einen Benutzer einer bestimmten Rolle zu Dokumenten, die nur selbst erstellte sind zu beschränken."
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Benutzerrollen, nur um <a gehen href='#List/Profile'> Setup> Benutzer </ a> und klicken Sie auf den Benutzer Rollen zuweisen."
To track any installation or commissioning related work after sales,Um jegliche Installation oder Inbetriebnahme verwandte Arbeiten After Sales verfolgen
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","Um Markennamen in den folgenden Dokumenten zu verfolgen <br> Lieferschein, Enuiry, Material anfordern, Artikel, Bestellung, Kauf Voucher, Käufer Receipt, Angebot, Sales Invoice, Sales BOM, Sales Order, Serial No"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,"Um Artikel in Vertrieb und Einkauf Dokumente auf ihrem Werknummern Basis zu verfolgen. Dies wird auch verwendet, um Details zum Thema Gewährleistung des Produktes zu verfolgen."
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,Um Elemente in An-und Verkauf von Dokumenten mit Batch-nos <br> <b> Preferred Industry verfolgen: Chemicals etc </ b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,"Um Objekte mit Barcode verfolgen. Sie werden in der Lage sein, um Elemente in Lieferschein und Sales Invoice durch Scannen Barcode einzusteigen."
"To update your HTML from attachment, click here","Um Ihre HTML von Anhaftung zu aktualisieren, klicken Sie hier"
ToDo,ToDo
Tools,Werkzeuge
Top Bar,Top Bar
Top Bar Background,Top Bar Hintergrund
Top Bar Item,Top Bar Artikel
Top Bar Items,Top Bar Artikel
Total,Gesamt
Total (sum of) points distribution for all goals should be 100.,Total (Summe) Punkte Verteilung für alle Ziele sollten 100 sein.
Total +Tax,Total + MwSt.
Total Advance,Insgesamt Geleistete
Total Amount,Gesamtbetrag
Total Amount To Pay,Insgesamt zu zahlenden Betrag
Total Amount in Words,Insgesamt Betrag in Worten
Total Claimed Amount,Insgesamt geforderten Betrag
Total Commission,Gesamt Kommission
Total Cost,Total Cost
Total Credit,Insgesamt Kredit
Total Debit,Insgesamt Debit
Total Deduction,Insgesamt Abzug
Total Earning,Insgesamt Earning
Total Experience,Total Experience
Total Hours (Actual),Total Hours (Actual)
Total Hours (Expected),Total Hours (Erwartete)
Total Invoiced Amount,Insgesamt Rechnungsbetrag
Total Leave Days,Insgesamt Leave Tage
Total Leaves Allocated,Insgesamt Leaves Allocated
Total Operating Cost,Gesamten Betriebskosten
Total Points,Total Points
Total Raw Material Cost,Insgesamt Rohstoffkosten
Total SMS Sent,Insgesamt SMS gesendet
Total Sanctioned Amount,Insgesamt Sanctioned Betrag
Total Score (Out of 5),Gesamtpunktzahl (von 5)
Total Tax,Total Tax
Total Tax Amount,Total Tax Amount
Total Tax*,Total Tax *
Total Taxes and Charges,Insgesamt Steuern und Abgaben
Total days in month,Insgesamt Tage im Monat
Total in words,Total in Worten
Totals,Totals
Track Quotations received from Suppliers.,Verfolgen Sie Angebote von Lieferanten erhalten.
Track separate Income and Expense for product verticals or divisions.,Verfolgen separaten Erträge und Aufwendungen für die Produktentwicklung Branchen oder Geschäftsbereichen.
Track this Delivery Note against any Project,Verfolgen Sie diesen Lieferschein gegen Projekt
Track this Sales Invoice against any Project,Verfolgen Sie diesen Sales Invoice gegen Projekt
Track this Sales Order against any Project,Verfolgen Sie diesen Kundenauftrag gegen Projekt
Transaction,Transaktion
Transaction Date,Transaction Datum
Transfer,Übertragen
Transfer stock from one warehouse to another.,Übertragen Lager von einem Lager zum anderen.
Transition Rules,Übergangsregeln
Transporter Info,Transporter Info
Transporter Name,Transporter Namen
Transporter lorry number,Transporter Lkw-Zahl
Trash,Trash
Trash Control,Trash Steuerung
Trash Reason,Trash Reason
Tree of item classification,Tree of Artikelzugehörigkeit
Trend Analyzer,Trend Analyzer
Trend Analyzer Control,Trend Analyzer Steuerung
Trial Balance,Rohbilanz
Tropic,Wendekreis
Tuesday,Dienstag
Type,Typ
Type of employment master.,Art der Beschäftigung Master.
"Type of leaves like casual, sick etc.","Art der Blätter wie beiläufig, krank usw."
Types of Expense Claim.,Arten von Expense Anspruch.
Types of activities for Time Sheets,Arten von Aktivitäten für Time Sheets
Types of warehouse,Arten von Lagersystemen
UOM,UOM
UOM Conversion Detail,UOM Conversion Details
UOM Conversion Details,UOM Conversion Einzelheiten
UOM Conversion Factor,UOM Umrechnungsfaktor
UOM Details,UOM Einzelheiten
UOM Name,UOM Namen
UOM Replace Utility,UOM ersetzen Dienstprogramm
UPPER CASE,UPPER CASE
URL,URL
Unable to complete request:,Konnte die Anforderung nicht ausführen:
Under AMC,Unter AMC
Under Graduate,Unter Graduate
Under Section,Gemäß §
Under Warranty,Unter Garantie
Unit of Measure,Maßeinheit
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).","Maßeinheit für diesen Artikel (zB kg, Einheit, Nein, Pair)."
Units/Hour,Einheiten / Stunde
Units/Shifts,Units / Shifts
Unmatched Amount,Unübertroffene Betrag
Unread Messages,Ungelesene Nachrichten
Unscheduled,Außerplanmäßig
Unsubscribe,Abmelden
Unsubscribed,Unsubscribed
Update,Aktualisieren
Update Clearance Date,Aktualisieren Restposten Datum
Update Delivery Date,Aktualisieren Lieferdatum
Update Field,Felder aktualisieren
Update PR,Update PR
Update Sales Order,Aktualisieren Sie Sales Order
Update Series,Update Series
Update Series Number,Update Series Number
Update Stock,Aktualisieren Lager
Update Value,Aktualisieren Wert
"Update allocated amount in the above table and then click ""Allocate"" button","Aktualisieren Zuteilungsbetrag in der obigen Tabelle und klicken Sie dann auf ""Allocate""-Taste"
Update bank payment dates with journals.,Update Bank Zahlungstermine mit Zeitschriften.
Updates,Updates
Updates HTML,Updates HTML
