 (Half Day),(ครึ่งวัน)
"Selecting ""Yes"" will allow you to make a Production Order for this item.",เลือก &quot;ใช่&quot; จะช่วยให้คุณที่จะทำให้การสั่งซื้อการผลิตสำหรับรายการนี​​้
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",เลือก &quot;Yes&quot; จะให้เอกลักษณ์เฉพาะของแต่ละองค์กรเพื่อรายการนี​​้ซึ่งสามารถดูได้ในหลักหมายเลขเครื่อง
Selling,ขาย
Selling Settings,การขายการตั้งค่า
Send,ส่ง
Send Autoreply,ส่ง autoreply
Send Email,ส่งอีเมล์
Send From,ส่งเริ่มต้นที่
Send Invite Email,ส่งอีเมลคำเชิญ
Send Me A Copy,ส่งสำเนา
Send Notifications To,ส่งการแจ้งเตือนไป
Send Print in Body and Attachment,พิมพ์ในร่างกายและสิ่งที่แนบมา
Send SMS,ส่ง SMS
Send To,ส่งให้
Send To Type,ส่งถึงพิมพ์
Send an email reminder in the morning,ส่งอีเมลเตือนในตอนเช้า
Send automatic emails to Contacts on Submitting transactions.,ส่งอีเมลโดยอัตโนมัติไปยังรายชื่อติดต่อบนส่งธุรกรรม
Send mass SMS to your contacts,ส่ง SMS มวลการติดต่อของคุณ
Send regular summary reports via Email.,ส่งรายงานสรุปปกติผ่านทางอีเมล์
Send to this list,ส่งมาที่รายการนี​​้
Sender,ผู้ส่ง
Sender Name,ชื่อผู้ส่ง
"Sending newsletters is not allowed for Trial users, \				to prevent abuse of this feature.","การส่งจดหมายข่าวไม่อนุญาตให้ผู้ใช้ทดลอง, \ เพื่อป้องกันการละเมิดคุณลักษณะนี้"
Sent Mail,จดหมายที่ส่ง
Sent On,ส่ง
Sent Quotation,ใบเสนอราคาส่ง
Separate production order will be created for each finished good item.,เพื่อผลิตแยกจะถูกสร้างขึ้นสำหรับรายการที่ดีในแต่ละสำเร็จรูป
Serial No,อนุกรมไม่มี
Serial No Details,รายละเอียดหมายเลขเครื่อง
Serial No Service Contract Expiry,อนุกรมไม่มีหมดอายุสัญญาบริการ
Serial No Status,สถานะหมายเลขเครื่อง
Serial No Warranty Expiry,อนุกรมหมดอายุไม่มีการรับประกัน
Serialized Item: ',รายการต่อเนื่อง: &#39;
Series List for this Transaction,รายชื่อชุดสำหรับการทำธุรกรรมนี้
Server,เซิร์ฟเวอร์
Service Address,ที่อยู่บริการ
Services,การบริการ
Session Expired. Logging you out,เซสชันหมดอายุ คุณออกจากระบบ
Session Expires in (time),เซสชั่นจะหมดอายุใน (เวลา)
Session Expiry,หมดอายุเซสชั่น
Session Expiry in Hours e.g. 06:00,หมดอายุในเซสชั่นชั่วโมงเช่น 06:00
Set Banner from Image,ตั้งป้ายโฆษณาจากภาพ
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,กำหนดงบประมาณกลุ่มฉลาดรายการในมณฑลนี้ คุณยังสามารถรวมฤดูกาลโดยการตั้งค่าการกระจาย
Set Login and Password if authentication is required.,ตั้งเข้าสู่ระบบและรหัสผ่านหากตร​​วจสอบจะต้อง
Set New Password,ตั้งค่ารหัสผ่านใหม่
Set Value,ตั้งค่า
"Set a new password and ""Save""",ตั้งรหัสผ่านใหม่และ &quot;บันทึก&quot;
Set prefix for numbering series on your transactions,กำหนดคำนำหน้าสำหรับหมายเลขชุดทำธุรกรรมของคุณ
Set targets Item Group-wise for this Sales Person.,ตั้งเป้ากลุ่มสินค้าที่ชาญฉลาดสำหรับการนี​​้คนขาย
"Set your background color, font and image (tiled)",ตั้งค่าพื้นหลังสีแบบอักษรของคุณและภาพ (กระเบื้อง)
"Set your outgoing mail SMTP settings here. All system generated notifications, emails will go from this mail server. If you are not sure, leave this blank to use ERPNext servers (emails will still be sent from your email id) or contact your email provider.",ตั้งค่าของคุณอีเมล SMTP ขาออกที่นี่ ระบบทั้งหมดที่สร้างการแจ้งเตือนอีเมลจะไปจากที่เซิร์ฟเวอร์อีเมลนี้ หากคุณไม่แน่ใจว่าเว้นว่างไว้เพื่อใช้เซิร์ฟเวอร์ ERPNext (อีเมลจะยังคงถูกส่งจาก id อีเมลของคุณ) หรือติดต่อผู้ให้บริการอีเมลของคุณ
Setting Account Type helps in selecting this Account in transactions.,ประเภทบัญชีการตั้งค่าช่วยในการเลือกบัญชีนี้ในการทำธุรกรรม
Settings,การตั้งค่า
Settings for About Us Page.,การตั้งค่าสำหรับหน้าเกี่ยวกับเรา
Settings for Accounts,การตั้งค่าสำหรับบัญชี
Settings for Buying Module,การตั้งค่าสำหรับการซื้อโมดูล
Settings for Contact Us Page,การตั้งค่าสำหรับหน้าติดต่อเรา
Settings for Contact Us Page.,การตั้งค่าสำหรับหน้าติดต่อเรา
Settings for Selling Module,การตั้งค่าสำหรับการขายโมดูล
Settings for the About Us Page,การตั้งค่าสำหรับหน้าเกี่ยวกับเรา
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",การตั้งค่าที่จะดึงผู้สมัครงานจากกล่องจดหมายเช่น &quot;jobs@example.com&quot;
Setup,การติดตั้ง
Setup Control,ควบคุมการติดตั้ง
Setup Series,ชุดติดตั้ง
Setup of Shopping Cart.,การติดตั้งของรถเข็นช้อปปิ้ง
Setup of fonts and background.,การติดตั้งแบบอักษรและพื้นหลัง
"Setup of top navigation bar, footer and logo.",การติดตั้งจากด้านบนแถบนำทางท้ายและโลโก้
Setup to pull emails from support email account,ติดตั้งเพื่อดึงอีเมลจากบัญชีอีเมลสนับสนุน
Share,หุ้น
Share With,ร่วมกับ
Shipments to customers.,จัดส่งให้กับลูกค้า
Shipping,การส่งสินค้า
Shipping Account,บัญชีการจัดส่งสินค้า
Shipping Address,ที่อยู่จัดส่ง
Shipping Address Name,ชื่อที่อยู่จัดส่ง
Shipping Amount,จำนวนการจัดส่งสินค้า
Shipping Rule,กฎการจัดส่งสินค้า
Shipping Rule Condition,สภาพกฎการจัดส่งสินค้า
Shipping Rule Conditions,เงื่อนไขกฎการจัดส่งสินค้า
Shipping Rule Label,ป้ายกฎการจัดส่งสินค้า
Shipping Rules,กฎการจัดส่งสินค้า
Shop,ร้านค้า
Shopping Cart,รถเข็นช้อปปิ้ง
Shopping Cart Price List,รายการสินค้าราคาสินค้าในรถเข็น
Shopping Cart Price Lists,ช้อปปิ้งสินค้าราคา Lists
Shopping Cart Settings,การตั้งค่ารถเข็น
Shopping Cart Shipping Rule,ช้อปปิ้งรถเข็นกฎการจัดส่งสินค้า
Shopping Cart Shipping Rules,รถเข็นกฎการจัดส่งสินค้า
Shopping Cart Taxes and Charges Master,ภาษีรถเข็นและปริญญาโทค่าใช้จ่าย
Shopping Cart Taxes and Charges Masters,ภาษีรถเข็นช้อปปิ้งและปริญญาโทค่าใช้จ่าย
Short Bio,ประวัติย่อ
Short Name,ชื่อสั้น
Short biography for website and other publications.,ชีวประวัติสั้นสำหรับเว็บไซต์และสิ่งพิมพ์อื่น ๆ
Shortcut,ทางลัด
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",แสดง &quot;ในสต็อก&quot; หรือ &quot;ไม่อยู่ในสต็อก&quot; บนพื้นฐานของหุ้นที่มีอยู่ในคลังสินค้านี้
Show Details,แสดงรายละเอียด
Show In Website,แสดงในเว็บไซต์
Show Print First,แสดงพิมพ์ครั้งแรก
Show a slideshow at the top of the page,สไลด์โชว์ที่ด้านบนของหน้า
Show in Website,แสดงในเว็บไซต์
Show rows with zero values,แสดงแถวที่มีค่าศูนย์
Show this slideshow at the top of the page,แสดงภาพสไลด์นี้ที่ด้านบนของหน้า
Showing only for,แสดงเฉพาะสำหรับ
Signature,ลายเซ็น
Signature to be appended at the end of every email,ลายเซ็นที่จะต่อท้ายของอีเมลทุก
Single,เดียว
Single Post (article).,คำตอบเดียว (บทความ)
Single unit of an Item.,หน่วยเดียวของรายการ
Sitemap Domain,โดเมนแผนผังเว็บไซต์
Slideshow,สไลด์โชว์
Slideshow Items,รายการสไลด์โชว์
Slideshow Name,ชื่อสไลด์โชว์
Slideshow like display for the website,สไลด์โชว์เหมือนการแสดงผลสำหรับเว็บไซต์
Small Text,ข้อความขนาดเล็ก
Solid background color (default light gray),สีพื้นหลังที่เป็นของแข็ง (สีเทาอ่อนค่าเริ่มต้น)
Sorry we were unable to find what you were looking for.,ขออภัยเราไม่สามารถที่จะหาสิ่งที่คุณกำลังมองหา
Sorry you are not permitted to view this page.,ขออภัยคุณไม่ได้รับอนุญาตให้ดูหน้านี้
Sorry! We can only allow upto 100 rows for Stock Reconciliation.,ขออภัย! เราสามารถให้ไม่เกิน 100 แถวสำหรับการกระทบยอดสต็อก
"Sorry! You cannot change company's default currency, because there are existing transactions against it. You will need to cancel those transactions if you want to change the default currency.",ขออภัย! คุณไม่สามารถเปลี่ยนสกุลเงินเริ่มต้นของ บริษัท เนื่องจากมีการทำธุรกรรมที่มีอยู่กับมัน คุณจะต้องยกเลิกการทำธุรกรรมเหล่านั้นถ้าคุณต้องการที่จะเปลี่ยนสกุลเงินเริ่มต้น
Sorry. Companies cannot be merged,ขอโทษ บริษัท ไม่สามารถรวม
Sorry. Serial Nos. cannot be merged,ขอโทษ อนุกรมเลขที่ไม่สามารถรวม
Sort By,เรียงลำดับตาม
Source,แหล่ง
Source Warehouse,คลังสินค้าที่มา
Source and Target Warehouse cannot be same,แหล่งที่มาและเป้าหมายคลังสินค้าไม่สามารถเดียวกัน
Source of th,แหล่งที่มาของ th
"Source of the lead. If via a campaign, select ""Campaign""",แหล่งที่มาของสารตะกั่ว ถ้าผ่านแคมเปญเลือก &quot;แคมเปญ&quot;
Spartan,สปาร์ตัน
Special Page Settings,การตั้งค่าหน้าพิเศษ
Specification Details,รายละเอียดสเปค
Specify Exchange Rate to convert one currency into another,ระบุอัตราแลกเปลี่ยนการแปลงสกุลเงินที่ลงในอีก
"Specify a list of Territories, for which, this Price List is valid",ระบุรายการของดินแดนซึ่งรายการนี​​้เป็นราคาที่ถูกต้อง
"Specify a list of Territories, for which, this Shipping Rule is valid",ระบุรายการของดินแดนซึ่งกฎข้อนี้การจัดส่งสินค้าที่ถูกต้อง
"Specify a list of Territories, for which, this Taxes Master is valid",ระบุรายการของดินแดนซึ่งนี้โทภาษีถูกต้อง
Specify conditions to calculate shipping amount,ระบุเงื่อนไขในการคำนวณปริมาณการจัดส่งสินค้า
Split Delivery Note into packages.,แยกหมายเหตุจัดส่งสินค้าเข้าไปในแพคเกจ
Standard,มาตรฐาน
Standard Rate,อัตรามาตรฐาน
"Standard Terms and Conditions that can be added to Sales and Purchases.Examples:1. Validity of the offer.1. Payment Terms (In Advance, On Credit, part advance etc).1. What is extra (or payable by the Customer).1. Safety / usage warning.1. Warranty if any.1. Returns Policy.1. Terms of shipping, if applicable.1. Ways of addressing disputes, indemnity, liability, etc.1. Address and Contact of your Company.","ข้อตกลงและเงื่อนไขมาตรฐานและเงื่อนไขที่สามารถเพิ่มยอดขายและ Purchases.Examples: 1 ความถูกต้องของ offer.1 ข้อตกลงและเงื่อนไขการชำระเงิน (ล่วงหน้าบนบัตรเครดิต ฯลฯ ล่วงหน้าบางส่วน) 0.1 เป็นพิเศษ (หรือจ่ายโดยลูกค้า) คืออะไร 0.1 ความปลอดภัย / warning.1 การใช้งาน รับประกันถ้า any.1 ผลตอบแทนที่ Policy.1 ข้อตกลงและเงื่อนไขในการจัดส่งถ้า applicable.1 วิธีการแก้ไขปัญหาความขัดแย้งที่อยู่, ประกันความรับผิด etc.1 ที่อยู่และติดต่อจาก บริษัท ของคุณ"
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.","แม่ภาษีมาตรฐานที่สามารถนำไปใช้กับการทำธุรกรรมทั้งหมดซื้อ แม่แบบนี้สามารถมีรายชื่อของหัวภาษีและค่าใช้จ่ายยังหัวอื่น ๆ เช่น &quot;จัดส่ง&quot;, &quot;ประกันภัย&quot;, &quot;จัดการ&quot; ฯลฯ อัตราภาษี # # # # หมายเหตุ: คุณกำหนดที่นี่จะเป็นอัตราภาษีมาตรฐานสำหรับทุกรายการ ** ** . ถ้ามีรายการ ** ** ที่มีอัตราที่แตกต่างพวกเขาจะต้องถูกเพิ่มในส่วนของภาษีสินค้า ** ** ตารางในรายการ ** ** คำอธิบายหลัก. # # # # จาก Columns1 ประเภทการคำนวณ: - นี้อาจเป็นบนสุทธิ ** ** (นั่นคือผลรวมของจำนวนเงินขั้นพื้นฐาน) - ** แถวก่อนหน้ารวม / ** จำนวนเงิน (ภาษีหรือค่าใช้จ่ายสะสม) หากคุณเลือกตัวเลือกนี้ภาษีจะถูกนำมาใช้เป็นเปอร์เซ็นต์ของแถวก่อนหน้า (ในตารางภาษี) จำนวนรวม - ** จริง ** (ดังกล่าว) 0.2 หัวหน้าบัญชี: บัญชีแยกประเภทบัญชีตามที่ภาษีนี้จะ booked3 ศูนย์ต้นทุน: ถ้าภาษี / ค่าเป็นรายได้ (เช่นค่าจัดส่ง) หรือค่าใช้จ่ายที่จะต้องจองกับ Center.4 ต้นทุน คำอธิบาย: คำอธิบายของภาษี (ที่จะถูกพิมพ์ในใบแจ้งหนี้ / ราคา) 0.5 ให้คะแนน: rate.6 ภาษี จำนวนเงิน: amount.7 ภาษี รวมสะสมนี้ point.8: Total ใส่แถว: ถ้าบนพื้นฐานของ &quot;รวมแถวก่อนหน้านี้&quot; คุณสามารถเลือกจำนวนแถวที่จะถูกนำมาเป็นฐานในการคำนวณนี้ (ค่าปกติคือแถวก่อนหน้า) 0.9 พิจารณาภาษีหรือคิดค่าบริการสำหรับ: ในส่วนนี้คุณสามารถระบุหากภาษี / ค่าเป็นเพียงการประเมินมูลค่า (ไม่ใช่ส่วนหนึ่งจากทั้งหมด) หรือเฉพาะสำหรับรวม (ไม่เพิ่มมูลค่าให้กับสินค้า) หรือ both.10 เพิ่มหรือหักไม่ว่าคุณต้องการที่จะเพิ่มหรือหักภาษี"
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","แม่ภาษีมาตรฐานที่สามารถนำไปใช้กับการทำธุรกรรมการขาย แม่แบบนี้สามารถมีรายชื่อของหัวภาษีและค่าใช้จ่ายยังหัว / รายได้อื่น ๆ เช่น &quot;จัดส่ง&quot;, &quot;ประกันภัย&quot;, &quot;จัดการ&quot; ฯลฯ อัตราภาษี # # # # หมายเหตุ: คุณกำหนดที่นี่จะเป็นอัตราภาษีมาตรฐานสำหรับทุกรายการ ** ** ถ้ามีรายการ ** ** ที่มีอัตราที่แตกต่างพวกเขาจะต้องถูกเพิ่มในส่วนของภาษีสินค้า ** ** ตารางในรายการ ** ** คำอธิบายหลัก. # # # # จาก Columns1 ประเภทการคำนวณ: - นี้อาจเป็นบนสุทธิ ** ** (นั่นคือผลรวมของจำนวนเงินขั้นพื้นฐาน) - ** แถวก่อนหน้ารวม / ** จำนวนเงิน (ภาษีหรือค่าใช้จ่ายสะสม) หากคุณเลือกตัวเลือกนี้ภาษีจะถูกนำมาใช้เป็นเปอร์เซ็นต์ของแถวก่อนหน้า (ในตารางภาษี) จำนวนรวม - ** จริง ** (ดังกล่าว) 0.2 หัวหน้าบัญชี: บัญชีแยกประเภทบัญชีตามที่ภาษีนี้จะ booked3 ศูนย์ต้นทุน: ถ้าภาษี / ค่าเป็นรายได้ (เช่นค่าจัดส่ง) หรือค่าใช้จ่ายที่จะต้องจองกับ Center.4 ต้นทุน คำอธิบาย: คำอธิบายของภาษี (ที่จะถูกพิมพ์ในใบแจ้งหนี้ / ราคา) 0.5 ให้คะแนน: rate.6 ภาษี จำนวนเงิน: amount.7 ภาษี รวมสะสมนี้ point.8: Total ใส่แถว: ถ้าบนพื้นฐานของ &quot;รวมแถวก่อนหน้านี้&quot; คุณสามารถเลือกจำนวนแถวที่จะถูกนำมาเป็นฐานในการคำนวณนี้ (ค่าปกติคือแถวก่อนหน้า) 0.9 คือภาษีนี้รวมอยู่ในอัตราขั้นพื้นฐาน: ถ้าคุณตรวจสอบนี้ก็หมายความว่าภาษีนี้จะไม่แสดงด้านล่างของตารางรายการ แต่จะรวมอยู่ในอัตราขั้นพื้นฐานในตารางรายการหลักของคุณ นี้จะเป็นประโยชน์ที่คุณต้องการให้ราคาแบน (รวมภาษีทั้งหมด) ราคาให้กับลูกค้า"
Start Date,วันที่เริ่มต้น
Start Report For,เริ่มรายงานสำหรับ
Start date of current invoice's period,วันที่เริ่มต้นของระยะเวลาการออกใบแจ้งหนี้ปัจจุบัน
Starts on,เริ่มเมื่อ
Startup,เริ่มต้น
State,รัฐ
States,รัฐ
Static Parameters,พารามิเตอร์คง
Status,สถานะ
Status must be one of ,สถานะต้องเป็นหนึ่งใน
Status should be Submitted,สถานะควรจะ Submitted
Statutory info and other general information about your Supplier,ข้อมูลตามกฎหมายและข้อมูลทั่วไปอื่น ๆ เกี่ยวกับผู้จำหน่ายของคุณ
Stock,คลังสินค้า
Stock Adjustment Account,การปรับบัญชีสินค้า
Stock Adjustment Cost Center,ศูนย์ต้นทุนสินค้าปรับ
Stock Ageing,เอจจิ้งสต็อก
Stock Analytics,สต็อก Analytics
Stock Balance,ยอดคงเหลือสต็อก
Stock Entry,รายการสินค้า
Stock Entry Detail,รายละเอียดราย​​การสินค้า
Stock Frozen Upto,สต็อกไม่เกิน Frozen
Stock In Hand Account,หุ้นในบัญชีมือ
Stock Ledger,บัญชีแยกประเภทสินค้า
Stock Ledger Entry,รายการสินค้าบัญชีแยกประเภท
Stock Level,ระดับสต็อก
Stock Qty,จำนวนหุ้น
Stock Queue (FIFO),สต็อกคิว (FIFO)
Stock Received But Not Billed,สินค้าที่ได้รับ แต่ไม่ได้เรียกเก็บ
Stock Reconciliation,สมานฉันท์สต็อก
Stock Reconciliation file not uploaded,ไฟล์สมานฉันท์สต็อกไม่ได้อัปโหลด
Stock Settings,การตั้งค่าหุ้น
Stock UOM,UOM สต็อก
Stock UOM Replace Utility,สต็อกยูทิลิตี้แทนที่ UOM
Stock Uom,UOM สต็อก
Stock Value,มูลค่าหุ้น
Stock Value Difference,ความแตกต่างมูลค่าหุ้น
Stop,หยุด
Stop users from making Leave Applications on following days.,หยุดผู้ใช้จากการทำแอพพลิเคที่เดินทางในวันที่ดังต่อไปนี้
Stopped,หยุด
Structure cost centers for budgeting.,ศูนย์ต้นทุนโครงสร้างสำหรับการจัดทำงบประมาณ
Structure of books of accounts.,โครงสร้างของหนังสือของบัญชี
Style,สไตล์
Style Settings,การตั้งค่าลักษณะ
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","สไตล์เป็นสีของปุ่ม: ความสำเร็จ - สีเขียว, อันตราย - แดง, Inverse - ดำ, ประถม - มืดข้อมูล, บลู - Light Blue, คำเตือน - ออเรนจ์"
"Sub-currency. For e.g. ""Cent""",ย่อยสกุลเงิน สำหรับ &quot;ร้อย&quot; เช่น
Sub-domain provided by erpnext.com,โดเมนย่อยโดย erpnext.com
Subcontract,สัญญารับช่วง
Subdomain,subdomain
Subject,เรื่อง
Submit,เสนอ
Submit Salary Slip,ส่งสลิปเงินเดือน
Submit all salary slips for the above selected criteria,ส่งบิลเงินเดือนทั้งหมดสำหรับเกณฑ์ที่เลือกข้างต้น
Submitted,Submitted
Submitted Record cannot be deleted,บันทึก Submitted ไม่สามารถลบได้
Subsidiary,บริษัท สาขา
Success,ความสำเร็จ
Successful: ,ที่ประสบความสำเร็จ:
Suggestion,ข้อเสนอแนะ
Suggestions,ข้อเสนอแนะ
Sunday,วันอาทิตย์
Supplier,ผู้จัดจำหน่าย
Supplier (Payable) Account,ผู้จัดจำหน่ายบัญชี (เจ้าหนี้)
Supplier (vendor) name as entered in supplier master,ผู้จัดจำหน่ายชื่อ (ผู้ขาย) ป้อนเป็นผู้จัดจำหน่ายในต้นแบบ
Supplier Account Head,หัวหน้าฝ่ายบัญชีของผู้จัดจำหน่าย
Supplier Address,ที่อยู่ผู้ผลิต
Supplier Details,รายละเอียดผู้จัดจำหน่าย
Supplier Intro,แนะนำผู้ผลิต
Supplier Invoice Date,วันที่ใบแจ้งหนี้ผู้จัดจำหน่าย
Supplier Invoice No,ใบแจ้งหนี้ที่ผู้ผลิตไม่มี
Supplier Name,ชื่อผู้จัดจำหน่าย
Supplier Naming By,ซัพพลายเออร์ที่ตั้งชื่อตาม
Supplier Part Number,หมายเลขชิ้นส่วนของผู้ผลิต
Supplier Quotation,ใบเสนอราคาของผู้ผลิต
Supplier Quotation Item,รายการใบเสนอราคาของผู้ผลิต
Supplier Reference,อ้างอิงจำหน่าย
Supplier Shipment Date,วันที่จัดส่งสินค้า
Supplier Shipment No,การจัดส่งสินค้าไม่มี
Supplier Type,ประเภทผู้ผลิต
Supplier Warehouse,คลังสินค้าผู้จัดจำหน่าย
Supplier Warehouse mandatory subcontracted purchase receipt,ผู้จัดจำหน่ายคลังสินค้าใบเสร็จรับเงินบังคับเหมา
Supplier classification.,การจัดหมวดหมู่จัดจำหน่าย
Supplier database.,ฐานข้อมูลผู้ผลิต
Supplier of Goods or Services.,ผู้ผลิตสินค้าหรือบริการ
Supplier warehouse where you have issued raw materials for sub - contracting,คลังสินค้าผู้จัดจำหน่ายที่คุณได้ออกวัตถ​​ุดิบสำหรับ sub - สัญญา
Supplier's currency,สกุลเงินของซัพพลายเออร์
Support,สนับสนุน
Support Analytics,Analytics สนับสนุน
Support Email,การสนับสนุนทางอีเมล
Support Email Id,สนับสนุน ID อีเมล์
Support Password,รหัสผ่านสนับสนุน
Support Ticket,ตั๋วสนับสนุน
Support queries from customers.,คำสั่งการสนับสนุนจากลูกค้า
Symbol,สัญญลักษณ์
Sync Inbox,กล่องขาเข้าซิงค์
Sync Support Mails,ซิงค์อีเมลที่สนับสนุน
Sync with Dropbox,ซิงค์กับ Dropbox
Sync with Google Drive,ซิงค์กับ Google ไดรฟ์
System,ระบบ
System Defaults,เริ่มต้นของระบบ
System Settings,การตั้งค่าระบบ
System User,ผู้ใช้ระบบ
"System User (login) ID. If set, it will become default for all HR forms.",ผู้ใช้ระบบ (login) ID ถ้าชุดก็จะกลายเป็นค่าเริ่มต้นสำหรับทุกรูปแบบทรัพยากรบุคคล
System for managing Backups,ระบบการจัดการการสำรองข้อมูล
System generated mails will be sent from this email id.,อีเมลที่สร้างระบบจะถูกส่งมาจาก id อีเมลนี้
TL-,TL-
TLB-,TLB-
Table,ตาราง
Table for Item that will be shown in Web Site,ตารางสำหรับรายการที่จะแสดงในเว็บไซต์
Tag,แท็ก
Tag Name,ชื่อแท็ก
Tags,แท็ก
Tahoma,Tahoma
Target,เป้า
Target  Amount,จำนวนเป้าหมาย
Target Detail,รายละเอียดเป้าหมาย
Target Details,รายละเอียดเป้าหมาย
Target Details1,Details1 เป้าหมาย
Target Distribution,การกระจายเป้าหมาย
Target Qty,จำนวนเป้าหมาย
Target Warehouse,คลังสินค้าเป้าหมาย
Task,งาน
Task Details,รายละเอียดงาน
Tax,ภาษี
Tax Calculation,การคำนวณภาษี
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,หมวดหมู่ภาษีไม่สามารถเป็น &#39;ประเมิน&#39; หรือ &#39;การประเมินและรวมเป็นรายการทั้งหมดที่มีรายการที่ไม่หุ้น
Tax Master,ปริญญาโทภาษี
Tax Rate,อัตราภาษี
Tax Template for Purchase,แม่แบบภาษีซื้อ
Tax Template for Sales,แม่แบบภาษีสำหรับการขาย
Tax and other salary deductions.,ภาษีและอื่น ๆ หักเงินเดือน
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,ตารางรายละเอียดภาษีที่เรียกจากต้นแบบรายการเป็นสตริงและเก็บไว้ใน field.Used นี้สำหรับภาษีและค่าธรรมเนียม
Taxable,ต้องเสียภาษี
Taxes,ภาษี
Taxes and Charges,ภาษีและค่าบริการ
Taxes and Charges Added,ภาษีและค่าบริการเพิ่ม
Taxes and Charges Added (Company Currency),ภาษีและค่าใช้จ่ายเพิ่ม (สกุลเงิน บริษัท )
Taxes and Charges Calculation,ภาษีและการคำนวณค่าใช้จ่าย
Taxes and Charges Deducted,ภาษีและค่าบริการหัก
Taxes and Charges Deducted (Company Currency),ภาษีและค่าใช้จ่ายหัก (สกุลเงิน บริษัท )
Taxes and Charges Total,ภาษีและค่าใช้จ่ายทั้งหมด
Taxes and Charges Total (Company Currency),ภาษีและค่าใช้จ่ายรวม (สกุลเงิน บริษัท )
Taxes and Charges1,ภาษีและ Charges1
Team Members,สมาชิกในทีม
Team Members Heading,สมาชิกในทีมหัวเรื่อง
Template for employee performance appraisals.,แม่แบบสำหรับการประเมินผลการปฏิบัติงานของพนักงาน
Template of terms or contract.,แม่ของข้อตกลงหรือสัญญา
Term Details,รายละเอียดคำ
Terms and Conditions,ข้อตกลงและเงื่อนไข
Terms and Conditions Content,ข้อตกลงและเงื่อนไขเนื้อหา
Terms and Conditions Details,ข้อตกลงและเงื่อนไขรายละเอียด
Terms and Conditions Template,ข้อตกลงและเงื่อนไขของแม่แบบ
Terms and Conditions1,ข้อตกลงและ Conditions1
Territory,อาณาเขต
Territory Manager,ผู้จัดการดินแดน
Territory Name,ชื่อดินแดน
Territory Target Variance (Item Group-Wise),ความแปรปรวนของดินแดนเป้าหมาย (กลุ่มสินค้า-ฉลาด)
Territory Targets,เป้าหมายดินแดน
Test,ทดสอบ
Test Email Id,Email รหัสการทดสอบ
Test Runner,วิ่งทดสอบ
Test the Newsletter,ทดสอบเกี่ยวกับ
Text,ข้อความ
Text Align,ข้อความตําแหน่ง
Text Editor,แก้ไขข้อความ
"The ""Web Page"" that is the website home page",&quot;Web Page&quot; นั่นคือหน้าแรกของเว็บไซต์
The BOM which will be replaced,BOM ซึ่งจะถูกแทนที่
