 (Half Day),(Demi-journée)
Settings for Accounts,Réglages pour les comptes
Settings for Buying Module,Réglages pour le module d&#39;achat
Settings for Contact Us Page,Paramètres de la page Contactez-nous
Settings for Contact Us Page.,Paramètres de la page Contactez-nous.
Settings for Selling Module,Réglages pour la vente Module
Settings for the About Us Page,Paramètres de la page A propos de nous
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",Paramètres pour extraire demandeurs d&#39;emploi à partir d&#39;une boîte aux lettres par exemple &quot;jobs@example.com&quot;
Setup,Installation
Setup Control,Configuration à l&#39;aide
Setup Series,Série de configuration
Setup of Shopping Cart.,Configuration de votre panier.
Setup of fonts and background.,Configuration des polices et le fond.
"Setup of top navigation bar, footer and logo.","Configuration de la barre de navigation en haut, pied de page et logo."
Setup to pull emails from support email account,Configuration pour tirer des courriels de compte de messagerie soutien
Share,Partager
Share With,Partager avec
Shipments to customers.,Les livraisons aux clients.
Shipping,Livraison
Shipping Account,Compte de livraison
Shipping Address,Adresse de livraison
Shipping Address Name,Adresse de livraison Nom
Shipping Amount,Montant de livraison
Shipping Rule,Livraison règle
Shipping Rule Condition,Livraison Condition de règle
Shipping Rule Conditions,Règle expédition Conditions
Shipping Rule Label,Livraison règle étiquette
Shipping Rules,Règles d&#39;expédition
Shop,Magasiner
Shopping Cart,Panier
Shopping Cart Price List,Panier Liste des prix
Shopping Cart Price Lists,Panier Liste des prix
Shopping Cart Settings,Panier Paramètres
Shopping Cart Shipping Rule,Panier Livraison règle
Shopping Cart Shipping Rules,Panier Règles d&#39;expédition
Shopping Cart Taxes and Charges Master,Panier taxes et redevances Maître
Shopping Cart Taxes and Charges Masters,Panier Taxes et frais de maîtrise
Short Bio,Courte biographie
Short Name,Nom court
Short biography for website and other publications.,Courte biographie pour le site Web et d&#39;autres publications.
Shortcut,Raccourci
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",Voir &quot;En stock&quot; ou &quot;Pas en stock» basée sur le stock disponible dans cet entrepôt.
Show Details,Afficher les détails
Show In Website,Afficher dans un site Web
Show Print First,Montrer Imprimer Première
Show a slideshow at the top of the page,Afficher un diaporama en haut de la page
Show in Website,Afficher dans Site Web
Show rows with zero values,Afficher lignes avec des valeurs nulles
Show this slideshow at the top of the page,Voir ce diaporama en haut de la page
Showing only for,Affichage seulement pour
Signature,Signature
Signature to be appended at the end of every email,Signature d&#39;être ajouté à la fin de chaque e-mail
Single,Unique
Single Post (article).,Simple Post (article).
Single unit of an Item.,Une seule unité d&#39;un élément.
Sitemap Domain,Plan du site Domain
Slideshow,Diaporama
Slideshow Items,Articles Diaporama
Slideshow Name,Nom Diaporama
Slideshow like display for the website,Diaporama comme l&#39;affichage du site Web
Small Text,Petit texte
Solid background color (default light gray),Couleur de fond solide (gris clair par défaut)
Sorry we were unable to find what you were looking for.,"Désolé, nous n&#39;avons pas pu trouver ce que vous recherchez."
Sorry you are not permitted to view this page.,"Désolé, vous n&#39;êtes pas autorisé à afficher cette page."
Sorry! We can only allow upto 100 rows for Stock Reconciliation.,Désolé! Nous ne pouvons permettre jusqu&#39;à 100 lignes pour la réconciliation Droits.
"Sorry! You cannot change company's default currency, because there are existing transactions against it. You will need to cancel those transactions if you want to change the default currency.","Désolé! Vous ne pouvez pas changer la devise par défaut de la société, parce qu&#39;il ya des transactions en cours à son encontre. Vous aurez besoin d&#39;annuler ces opérations si vous voulez changer la devise par défaut."
Sorry. Companies cannot be merged,Désolé. Les entreprises ne peuvent pas être fusionnés
Sorry. Serial Nos. cannot be merged,Désolé. Numéros de série ne peut pas être fusionnée
Sort By,Trier par
Source,Source
Source Warehouse,Source d&#39;entrepôt
Source and Target Warehouse cannot be same,Source et une cible d&#39;entrepôt ne peut pas être la même
Source of th,Source d&#39;e
"Source of the lead. If via a campaign, select ""Campaign""","La source de la sonde. Si par le biais d&#39;une campagne, sélectionnez &quot;campagne&quot;"
Spartan,Spartan
Special Page Settings,Réglages Page spéciale
Specification Details,Détails Spécifications
Specify Exchange Rate to convert one currency into another,Spécifiez taux de change pour convertir une monnaie en une autre
"Specify a list of Territories, for which, this Price List is valid","Spécifiez une liste des territoires, pour qui, cette liste de prix est valable"
"Specify a list of Territories, for which, this Shipping Rule is valid","Spécifiez une liste des territoires, pour qui, cette règle d&#39;expédition est valide"
"Specify a list of Territories, for which, this Taxes Master is valid","Spécifiez une liste des territoires, pour qui, cette Taxes Master est valide"
Specify conditions to calculate shipping amount,Préciser les conditions pour calculer le montant de l&#39;expédition
Split Delivery Note into packages.,Séparer le bon de livraison dans des packages.
Standard,Standard
Standard Rate,Prix ​​Standard
"Standard Terms and Conditions that can be added to Sales and Purchases.Examples:1. Validity of the offer.1. Payment Terms (In Advance, On Credit, part advance etc).1. What is extra (or payable by the Customer).1. Safety / usage warning.1. Warranty if any.1. Returns Policy.1. Terms of shipping, if applicable.1. Ways of addressing disputes, indemnity, liability, etc.1. Address and Contact of your Company.","Conditions Générales de Vente qui peut être ajouté aux ventes et Purchases.Examples: 1. Validité de la offer.1. Conditions de paiement (à l&#39;avance, de crédit, etc avance une partie) .1. Quel est extra (ou payable par le client) .1. Sécurité / usage warning.1. Garantie si any.1. Retourne Policy.1. Conditions d&#39;expédition, le cas applicable.1. Les moyens de régler les différends, indemnisation, responsabilité, etc.1. Adresse et coordonnées de votre entreprise."
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.","Modèle normal de l&#39;impôt qui peut être appliquée à toutes les transactions d&#39;achat. Ce modèle peut contenir une liste des chefs d&#39;impôts et autres charges aussi des têtes comme &quot;Livraison&quot;, &quot;assurance&quot;, &quot;Manipulation&quot;, etc taux d&#39;imposition # # # # RemarqueLe que vous définissez ici sera le taux normal de l&#39;impôt pour tous les articles ** ** . S&#39;il ya ** ** Articles qui ont des taux différents, ils doivent être ajoutés à l&#39;impôt sur le point ** ** table dans l&#39;élément ** ** maître. # # # # Description des Columns1. Type de calcul: - Cela peut être sur ** Total net ** (qui est la somme du montant de base). - ** Sur la ligne précédente total / Montant ** (pour les impôts ou les frais cumulatifs). Si vous sélectionnez cette option, la taxe sera appliquée en tant que pourcentage de la rangée précédente (dans la table d&#39;impôt) le montant ou total. - ** Réelles ** (comme indiqué) .2. Chef du compte: Le grand livre des comptes en vertu de laquelle cette taxe sera booked3. Un centre de coûts: Si la taxe / redevance est un revenu (comme le transport) ou des frais dont elle a besoin pour être comptabilisées au titre des coûts Center.4. Description: Description de l&#39;impôt (qui sera imprimé sur les factures / devis) .5. Tarif: rate.6 impôt. Montant: Taxe amount.7. Total: Total cumulatif à ce point.8. Entrez Row: S&#39;il est basé sur «Total ligne précédente&quot;, vous pouvez sélectionner le nombre de lignes qui seront pris comme base pour le calcul (par défaut la ligne précédente) .9. Prenons l&#39;impôt ou charge pour: Dans cette section, vous pouvez spécifier si la taxe / redevance est seulement pour l&#39;évaluation (et non une partie du total) ou seulement pour le total (ne pas ajouter de la valeur à l&#39;élément) ou pour both.10. Ajouter ou déduire: Si vous voulez ajouter ou déduire la taxe."
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Modèle normal de l&#39;impôt qui peut être appliqué à toutes les opérations de vente. Ce modèle peut contenir une liste des chefs d&#39;impôt et aussi d&#39;autres dépenses / revenus des têtes comme &quot;Livraison&quot;, &quot;assurance&quot;, &quot;Manipulation&quot;, etc taux d&#39;imposition # # # # RemarqueLe que vous définissez ici sera le taux normal de l&#39;impôt pour tous les articles ** **. S&#39;il ya ** ** Articles qui ont des taux différents, ils doivent être ajoutés à l&#39;impôt sur le point ** ** table dans l&#39;élément ** ** maître. # # # # Description des Columns1. Type de calcul: - Cela peut être sur ** Total net ** (qui est la somme du montant de base). - ** Sur la ligne précédente total / Montant ** (pour les impôts ou les frais cumulatifs). Si vous sélectionnez cette option, la taxe sera appliquée en tant que pourcentage de la rangée précédente (dans la table d&#39;impôt) le montant ou total. - ** Réelles ** (comme indiqué) .2. Chef du compte: Le grand livre des comptes en vertu de laquelle cette taxe sera booked3. Un centre de coûts: Si la taxe / redevance est un revenu (comme le transport) ou des frais dont elle a besoin pour être comptabilisées au titre des coûts Center.4. Description: Description de l&#39;impôt (qui sera imprimé sur les factures / devis) .5. Tarif: rate.6 impôt. Montant: Taxe amount.7. Total: Total cumulatif à ce point.8. Entrez Row: S&#39;il est basé sur «Total ligne précédente&quot;, vous pouvez sélectionner le nombre de lignes qui seront pris comme base pour le calcul (par défaut la ligne précédente) .9. Est-ce Taxes incluses dans le taux de base: Si vous cochez cette page, c&#39;est que cette taxe ne sera pas montré ci-dessous la table article, mais il sera inclus dans le tarif de base dans votre tableau principal point. Ceci est utile lorsque vous voulez donner un prix forfaitaire (toutes taxes comprises) prix à ses clients."
Start Date,Date de début
Start Report For,Démarrer Rapport pour
Start date of current invoice's period,Date de début de la période de facturation en cours
Starts on,Commence le
Startup,Démarrage
State,État
States,Etats-
Static Parameters,Paramètres statiques
Status,Statut
Status must be one of ,Le statut doit être l&#39;un des
Status should be Submitted,Statut doit être soumis
Statutory info and other general information about your Supplier,Informations légales et autres informations générales au sujet de votre Fournisseur
Stock,Stock
Stock Adjustment Account,Compte d&#39;ajustement de stock
Stock Adjustment Cost Center,Stock centre de coûts d&#39;ajustement
Stock Ageing,Stock vieillissement
Stock Analytics,Analytics stock
Stock Balance,Solde Stock
Stock Entry,Entrée Stock
Stock Entry Detail,Détail d&#39;entrée Stock
Stock Frozen Upto,Stock Frozen Jusqu&#39;à
Stock In Hand Account,Stock Compte de main
Stock Ledger,Stock Ledger
Stock Ledger Entry,Stock Ledger Entry
Stock Level,Niveau de stock
Stock Qty,Stock Qté
Stock Queue (FIFO),Stock file d&#39;attente (FIFO)
Stock Received But Not Billed,Stock reçus mais non facturés
Stock Reconciliation,Stock réconciliation
Stock Reconciliation file not uploaded,Fichier de rapprochement Stock pas transféré
Stock Settings,Paramètres de stock
Stock UOM,Stock UDM
Stock UOM Replace Utility,Utilitaire Stock Remplacer Emballage
Stock Uom,Stock UDM
Stock Value,Valeur de l&#39;action
Stock Value Difference,Stock Value Différence
Stop,Stop
Stop users from making Leave Applications on following days.,"Empêcher les utilisateurs de faire des demandes d&#39;autorisation, les jours suivants."
Stopped,Arrêté
Structure cost centers for budgeting.,Centres de coûts de structure pour la budgétisation.
Structure of books of accounts.,Structure des livres de comptes.
Style,Style
Style Settings,Paramètres de style
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Style représente la couleur du bouton: Succès - Vert, Danger - Rouge, Inverse - Noir, primaire - Bleu foncé, Info - Bleu clair, Avertissement - Orange"
"Sub-currency. For e.g. ""Cent""",Sous-monnaie. Pour exemple: &quot;Cent&quot;
Sub-domain provided by erpnext.com,Sous-domaine fourni par erpnext.com
Subcontract,Sous-traiter
Subdomain,Sous-domaine
Subject,Sujet
Submit,Soumettre
Submit Salary Slip,Envoyer le bulletin de salaire
Submit all salary slips for the above selected criteria,Soumettre tous les bulletins de salaire pour les critères sélectionnés ci-dessus
Submitted,Soumis
Submitted Record cannot be deleted,Soumis enregistrement ne peut pas être supprimé
Subsidiary,Filiale
Success,Succès
Successful: ,Succès:
Suggestion,Suggestion
Suggestions,Suggestions
Sunday,Dimanche
Supplier,Fournisseur
Supplier (Payable) Account,Fournisseur compte (à payer)
Supplier (vendor) name as entered in supplier master,Fournisseur (vendeur) le nom saisi dans master fournisseur
Supplier Account Head,Fournisseur compte Head
Supplier Address,Adresse du fournisseur
Supplier Details,Détails de produit
Supplier Intro,Intro Fournisseur
Supplier Invoice Date,Date de la facture fournisseur
Supplier Invoice No,Fournisseur facture n
Supplier Name,Nom du fournisseur
Supplier Naming By,Fournisseur de nommage par
Supplier Part Number,Numéro de pièce fournisseur
Supplier Quotation,Devis Fournisseur
Supplier Quotation Item,Article Devis Fournisseur
Supplier Reference,Référence fournisseur
Supplier Shipment Date,Fournisseur Date d&#39;expédition
Supplier Shipment No,Fournisseur expédition No
Supplier Type,Type de fournisseur
Supplier Warehouse,Entrepôt Fournisseur
Supplier Warehouse mandatory subcontracted purchase receipt,Entrepôt obligatoire facture d&#39;achat sous-traitance des fournisseurs
Supplier classification.,Fournisseur de classification.
Supplier database.,Base de données fournisseurs.
Supplier of Goods or Services.,Fournisseur de biens ou services.
Supplier warehouse where you have issued raw materials for sub - contracting,Fournisseur entrepôt où vous avez émis des matières premières pour la sous - traitance
Supplier's currency,Fournisseur de monnaie
Support,Soutenir
Support Analytics,Analytics soutien
Support Email,Soutien Email
Support Email Id,Soutien Id Email
Support Password,Mot de passe soutien
Support Ticket,Support Ticket
Support queries from customers.,En charge les requêtes des clients.
Symbol,Symbole
Sync Inbox,Sync boîte de réception
Sync Support Mails,Synchroniser mails de soutien
Sync with Dropbox,Synchroniser avec Dropbox
Sync with Google Drive,Synchronisation avec Google Drive
System,Système
System Defaults,Par défaut du système
System Settings,Paramètres système
System User,L&#39;utilisateur du système
"System User (login) ID. If set, it will become default for all HR forms.","L&#39;utilisateur du système (login) ID. S&#39;il est défini, il sera par défaut pour toutes les formes de ressources humaines."
System for managing Backups,Système de gestion des sauvegardes
System generated mails will be sent from this email id.,Mails générés par le système seront envoyés à cette id e-mail.
TL-,BA-
TLB-,TLB-
Table,Table
Table for Item that will be shown in Web Site,Tableau pour le point qui sera affiché dans le site Web
Tag,Balise
Tag Name,Nom de la balise
Tags,Balises
Tahoma,Tahoma
Target,Cible
Target  Amount,Montant Cible
Target Detail,Détail cible
Target Details,Détails cibles
Target Details1,Cible Details1
Target Distribution,Distribution cible
Target Qty,Qté cible
Target Warehouse,Cible d&#39;entrepôt
Task,Tâche
Task Details,Détails de la tâche
Tax,Impôt
Tax Calculation,Calcul de la taxe
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,Catégorie de l&#39;impôt ne peut être «évaluation» ou «Valorisation et totale» que tous les articles sont des articles hors stock
Tax Master,Maître d&#39;impôt
Tax Rate,Taux d&#39;imposition
Tax Template for Purchase,Modèle d&#39;impôt pour l&#39;achat
Tax Template for Sales,Modèle d&#39;impôt pour les ventes
Tax and other salary deductions.,De l&#39;impôt et autres déductions salariales.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,Table de détail impôt extraites de maître élément comme une chaîne et stockée dans ce field.Used de taxes et de frais
Taxable,Imposable
Taxes,Impôts
Taxes and Charges,Impôts et taxes
Taxes and Charges Added,Taxes et redevances Ajouté
Taxes and Charges Added (Company Currency),Les impôts et les frais supplémentaires (Société Monnaie)
Taxes and Charges Calculation,Taxes et frais de calcul
Taxes and Charges Deducted,Taxes et frais déduits
Taxes and Charges Deducted (Company Currency),Impôts et Charges déduites (Société Monnaie)
Taxes and Charges Total,Taxes et frais total
Taxes and Charges Total (Company Currency),Les impôts et les frais totaux (Société Monnaie)
Taxes and Charges1,Les impôts et Charges1
Team Members,Membres de l&#39;équipe
Team Members Heading,Membres de l&#39;équipe Cap
Template for employee performance appraisals.,Gabarit pour l&#39;évaluation du rendement des employés.
Template of terms or contract.,Modèle de termes ou d&#39;un contrat.
Term Details,Détails terme
Terms and Conditions,Termes et Conditions
Terms and Conditions Content,Termes et Conditions de contenu
Terms and Conditions Details,Termes et Conditions Détails
Terms and Conditions Template,Termes et Conditions modèle
Terms and Conditions1,Termes et conditions1
Territory,Territoire
Territory Manager,Territory Manager
Territory Name,Nom du territoire
Territory Target Variance (Item Group-Wise),Territoire Variance cible (Point Group-Wise)
Territory Targets,Les objectifs du Territoire
Test,Test
Test Email Id,Id Test Email
Test Runner,Test Runner
Test the Newsletter,Testez la Newsletter
Text,Texte
Text Align,Aligner du texte
Text Editor,Éditeur de texte
"The ""Web Page"" that is the website home page",La «page Web» qui est la page d&#39;accueil du site
The BOM which will be replaced,La nomenclature qui sera remplacé
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",L&#39;article qui représente le package. Cet article doit avoir «Est Produit en stock&quot; comme &quot;No&quot; et &quot;Est Point de vente&quot; que &quot;Oui&quot;
The date at which current entry is made in system.,La date à laquelle l&#39;entrée courante est faite dans le système.
The date at which current entry will get or has actually executed.,La date à laquelle l&#39;entrée actuelle permet de lire ou a réellement exécuté.
The date on which next invoice will be generated. It is generated on submit.,La date à laquelle la facture suivante sera généré. Il est généré sur soumettre.
The date on which recurring invoice will be stop,La date à laquelle la facture récurrente sera arrêter
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","Le jour du mois au cours duquel la facture automatique sera généré, par exemple 05, 28, etc"
The first Leave Approver in the list will be set as the default Leave Approver,Le premier congé approbateur dans la liste sera définie comme le congé approbateur de défaut
The gross weight of the package. Usually net weight + packaging material weight. (for print),Le poids brut du colis. Habituellement poids net + poids du matériau d&#39;emballage. (Pour l&#39;impression)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,Le nom de votre entreprise / site que vous souhaitez voir apparaître sur la barre de titre du navigateur. Toutes les pages auront ce que le préfixe du titre.
The net weight of this package. (calculated automatically as sum of net weight of items),Le poids net de ce paquet. (Calculé automatiquement comme la somme du poids net des articles)
The new BOM after replacement,La nouvelle nomenclature après le remplacement
The rate at which Bill Currency is converted into company's base currency,La vitesse à laquelle le projet de loi Monnaie est convertie en monnaie de base entreprise
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","Le système fournit des rôles prédéfinis, mais vous pouvez <a href='#List/Role'>ajouter de nouveaux rôles</a> pour définir des autorisations plus fines"
The unique id for tracking all recurring invoices. It is generated on submit.,L&#39;identifiant unique pour le suivi de toutes les factures récurrentes. Il est généré lors de la soumission.
Then By (optional),Puis par (facultatif)
These properties are Link Type fields from all Documents.,Ces propriétés sont des champs de type de lien de tous les documents.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Ces propriétés peuvent également être utilisés pour «attribuer» un document particulier, dont la propriété correspond à la propriété de l&#39;utilisateur à un utilisateur. Ceux-ci peuvent être définies à l&#39;aide du <a href='#permission-manager'>Gestionnaire d&#39;autorisation</a>"
These properties will appear as values in forms that contain them.,Ces propriétés apparaissent comme des valeurs dans les formes qui les contiennent.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Ces valeurs seront automatiquement mis à jour dans les transactions et sera également utile pour restreindre les autorisations pour cet utilisateur sur les transactions contenant ces valeurs.
This Price List will be selected as default for all Customers under this Group.,Cette liste de prix sera sélectionné par défaut pour tous les clients dans ce groupe.
This Time Log Batch has been billed.,This Time Connexion lot a été facturé.
This Time Log Batch has been cancelled.,This Time Connexion lot a été annulé.
This Time Log conflicts with,Cette fois-Log conflits avec
This account will be used to maintain value of available stock,Ce compte sera utilisé pour maintenir la valeur des stocks disponibles
This currency will get fetched in Purchase transactions of this supplier,Cette monnaie obtiendrez récupérées dans des opérations d&#39;achat de ce fournisseur
This currency will get fetched in Sales transactions of this customer,Cette monnaie obtiendrez récupérés dans les transactions de vente de ce client
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge Into"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.","Cette fonction est pour la fusion des entrepôts en double. Elle remplacera tous les liens de cet entrepôt de fusion &quot;dans&quot; l&#39;entrepôt. Après la fusion, vous pouvez supprimer cet entrepôt, que le niveau de stock pour cette entrepôt sera zéro."
This feature is only applicable to self hosted instances,Cette fonctionnalité est uniquement applicable aux instances auto organisé
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,Ce champ n&#39;apparaît que si le nom du champ défini ici a de la valeur ou les règles sont vraies (exemples): <br> myfieldeval: doc.myfield == &#39;Mon Value&#39; <br> eval: doc.age&gt; 18
This goes above the slideshow.,Cela va au-dessus du diaporama.
This is PERMANENT action and you cannot undo. Continue?,Il s&#39;agit d&#39;une action permanente et vous ne pouvez pas annuler. Continuer?
This is an auto generated Material Request.,Il s&#39;agit d&#39;une auto matières générées demande.
This is permanent action and you cannot undo. Continue?,Il s&#39;agit d&#39;une action permanente et vous ne pouvez pas annuler. Continuer?
This is the number of the last created transaction with this prefix,Il s&#39;agit du numéro de la dernière transaction créée par ce préfixe
This message goes away after you create your first customer.,Ce message disparaît après la création de votre premier client.
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Cet outil vous permet de mettre à jour ou corriger la quantité et la valorisation de stock dans le système. Il est généralement utilisé pour synchroniser les valeurs du système et ce qui existe réellement dans vos entrepôts.
This will be used for setting rule in HR module,Il sera utilisé pour la règle de réglage dans le module RH
Thread HTML,Discussion HTML
Thursday,Jeudi
Time,Temps
Time Log,Temps Connexion
Time Log Batch,Temps connecter Batch
Time Log Batch Detail,Temps connecter Détail du lot
Time Log Batch Details,Le journal du temps les détails du lot
Time Log Batch status must be 'Submitted',Temps connecter statut de lot doit être «soumis»
Time Log Status must be Submitted.,Temps connecter État doit être soumis.
Time Log for tasks.,Le journal du temps pour les tâches.
Time Log is not billable,Le journal du temps n&#39;est pas facturable
Time Log must have status 'Submitted',Temps journal doit avoir un statut «Soumis»
Time Zone,Fuseau horaire
Time Zones,Fuseaux horaires
Time and Budget,Temps et budget
Time at which items were delivered from warehouse,Heure à laquelle les articles ont été livrés à partir de l&#39;entrepôt
Time at which materials were received,Heure à laquelle les matériaux ont été reçues
Title,Titre
Title / headline of your page,Titre / titre de votre page
Title Case,Case Titre
Title Prefix,Title Prefix
To,À
To Currency,Pour Devise
To Date,À ce jour
To Discuss,Pour discuter
To Do,To Do
To Do List,To Do List
To PR Date,Date de PR
To Package No.,Pour Emballer n °
To Reply,Pour Répondre
To Time,To Time
To Value,To Value
To Warehouse,Pour Entrepôt
"To add a tag, open the document and click on ""Add Tag"" on the sidebar","Pour ajouter une balise, ouvrez le document et cliquez sur &quot;Ajouter une balise&quot; sur la barre latérale"
"To assign this issue, use the ""Assign"" button in the sidebar.","Pour attribuer ce problème, utilisez le bouton &quot;Affecter&quot; dans la barre latérale."
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.","Pour créer automatiquement des tickets de support à partir de votre courrier entrant, définissez vos paramètres POP3 ici. Vous devez idéalement créer un id e-mail séparé pour le système erp afin que tous les e-mails seront synchronisés dans le système à partir de ce mail id. Si vous n&#39;êtes pas sûr, s&#39;il vous plaît contactez votre fournisseur de messagerie."
"To create an Account Head under a different company, select the company and save customer.","Pour créer un compte Head en vertu d&#39;une autre entreprise, sélectionnez l&#39;entreprise et sauver client."
To enable <b>Point of Sale</b> features,Pour permettre <b>Point de Vente</b> fonctionnalités
To enable more currencies go to Setup > Currency,Pour permettre plus de devises allez dans Réglages&gt; Monnaie
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.","Pour récupérer des éléments à nouveau, cliquez sur «Obtenir les éléments&quot; bouton \ ou mettre à jour la quantité manuellement."
"To format columns, give column labels in the query.","Pour formater colonnes, donner des étiquettes de colonne dans la requête."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Afin de restreindre les autorisations sur la base de certaines valeurs dans un document, utilisez la «condition» des paramètres."
To get Item Group in details table,Pour obtenir Groupe d&#39;éléments dans le tableau de détails
To manage multiple series please go to Setup > Manage Series,Pour gérer plusieurs séries s&#39;il vous plaît allez dans Réglages&gt; Gérer Série
To restrict a User of a particular Role to documents that are explicitly assigned to them,Pour limiter un utilisateur d&#39;un rôle particulier aux documents qui sont explicitement affectés à leur
To restrict a User of a particular Role to documents that are only self-created.,Pour limiter un utilisateur d&#39;un rôle particulier aux documents qui ne sont auto-créé.
"To set reorder level, item must be Purchase Item","Pour définir réorganiser niveau, item doit être acheter l&#39;article"
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Pour définir les rôles des utilisateurs, allez à <a href='#List/Profile'>Configuration&gt; Utilisateurs</a> et cliquez sur l&#39;utilisateur d&#39;attribuer des rôles."
To track any installation or commissioning related work after sales,Pour suivre toute installation ou mise en service après-vente des travaux connexes
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","Pour suivre la marque dans les documents suivants <br> Remarque livraison, Enuiry, Demande de Matériel, article, bon de commande, bon d&#39;achat, facture de l&#39;acheteur, devis, facture de vente, BOM des ventes, des commandes clients, N ° de série"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,Pour suivre pièce documents de vente et d&#39;achat en fonction de leurs numéros de série. Ce n&#39;est peut également être utilisé pour suivre les détails de la garantie du produit.
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,"Pour suivre les articles de chiffre d&#39;affaires et des documents d&#39;achat avec nos lots <br> <b>Industrie préféré: produits chimiques, etc</b>"
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,Pour suivre les éléments à l&#39;aide de code à barres. Vous serez en mesure d&#39;entrer dans les articles bon de livraison et la facture de vente par balayage de code à barres de l&#39;article.
ToDo,ToDo
Tools,Outils
Top,Supérieur
Top Bar,Top Bar
Top Bar Background,Contexte Top Bar
Top Bar Item,Point Bar Top
Top Bar Items,Articles Top Bar
Top Bar Text,Top Bar texte
Top Bar text and background is same color. Please change.,Top texte de Bar et le fond est la même couleur. S&#39;il vous plaît changer.
Total,Total
Total (sum of) points distribution for all goals should be 100.,Total (somme des) points de distribution pour tous les objectifs devrait être de 100.
Total Advance,Advance totale
Total Amount,Montant total
Total Amount To Pay,Montant total à payer
Total Amount in Words,Montant total en mots
