 (Half Day),（半天）
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.",可應用於所有銷售交易稅的標準模板。這個模板可以包含稅元首列表，還像“送貨”其他支出/收入的頭，“保險”，“處理”等你在這裡定義＃＃＃＃NoteThe稅率將標準稅率對所有項目** **。如果有**項目**有不同的利率，他們必須在**產品稅加**表中**項目**大師。＃＃＃＃Columns1的說明。計算類型： - 這可以是在**網**總（即基本量的總和）。 -  **在上一行合計/金額**（對於累計稅收或費用）。如果選擇此選項，稅收將作為前行的百分比（在稅率表）量或總被應用。 -  **實際**（見上文）.2。賬戶頭：總賬下，這項稅收將被booked3。成本中心：如果稅/費這項收入（如運費）或支出它需要對成本Center.4預訂。說明：稅收的說明（將要在發票/報價印刷）.5。率：稅務rate.6。金額：稅務amount.7。總計：累計總該point.8。輸入行：如果根據“上一行共”，您可以選擇將被視為對本計算（默認值是前行）0.9基本的行數。這是含稅的基本價格：？如果您檢查這一點，就意味著這個稅不會顯示在項目表中，但在你的主項表將被納入基本速率。你想要給一個單位價格（包括所有稅費）的價格為顧客這是有用的。
Start,開始
Start Date,開始日期
Start Report For,啟動年報
Start date of current invoice's period,啟動電流發票的日期內
Starting up...,啟動...
Starts on,開始於
Startup,啟動
State,態
States,國家
Static Parameters,靜態參數
Status,狀態
Status must be one of ,狀態必須為之一
Status should be Submitted,狀態應提交
Statutory info and other general information about your Supplier,法定的信息和你的供應商等一般資料
Stock,股票
Stock Adjustment Account,庫存調整賬戶
Stock Ageing,股票老齡化
Stock Analytics,股票分析
Stock Balance,庫存餘額
Stock Entries already created for Production Order ,庫存項目已為生產訂單創建
Stock Entry,股票入門
Stock Entry Detail,股票入門詳情
Stock Frozen Upto,股票凍結到...為止
Stock Ledger,庫存總帳
Stock Ledger Entry,庫存總帳條目
Stock Level,庫存水平
Stock Qty,庫存數量
Stock Queue (FIFO),股票隊列（FIFO）
Stock Received But Not Billed,庫存接收，但不標榜
Stock Reconcilation Data,股票Reconcilation數據
Stock Reconcilation Template,股票Reconcilation模板
Stock Reconciliation,庫存對賬
"Stock Reconciliation can be used to update the stock on a particular date, ",庫存調節可用於更新在某一特定日期的股票，
Stock Settings,股票設置
Stock UOM,庫存計量單位
Stock UOM Replace Utility,庫存計量單位更換工具
Stock Uom,庫存計量單位
Stock Value,股票價值
Stock Value Difference,股票價值差異
Stock transactions exist against warehouse ,股票交易針對倉庫存在
Stop,停止
Stop Birthday Reminders,停止生日提醒
Stop Material Request,停止材料要求
Stop users from making Leave Applications on following days.,作出許可申請在隨後的日子裡阻止用戶。
Stop!,住手！
Stopped,停止
Structure cost centers for budgeting.,對預算編制結構成本中心。
Structure of books of accounts.,的會計賬簿結構。
Style,風格
Style Settings,樣式設置
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",風格代表按鈕的顏色：成功 - 綠色，危險 - 紅，逆 - 黑色，而小學 - 深藍色，信息 - 淺藍，警告 - 橙
"Sub-currency. For e.g. ""Cent""",子貨幣。對於如“美分”
Sub-domain provided by erpnext.com,由erpnext.com提供的子域
Subcontract,轉包
Subdomain,子域名
Subject,主題
Submit,提交
Submit Salary Slip,提交工資單
Submit all salary slips for the above selected criteria,提交所有工資單的上面選擇標準
Submit this Production Order for further processing.,提交此生產訂單進行進一步的處理。
Submitted,提交
Submitted Record cannot be deleted,提交記錄無法刪除
Subsidiary,副
Success,成功
Successful: ,成功：
Suggestion,建議
Suggestions,建議
Sunday,星期天
Supplier,提供者
Supplier (Payable) Account,供應商（應付）帳
Supplier (vendor) name as entered in supplier master,供應商（供應商）的名稱在供應商主進入
Supplier Account,供應商帳戶
Supplier Account Head,供應商帳戶頭
Supplier Address,供應商地址
Supplier Addresses And Contacts,供應商的地址和聯繫方式
Supplier Addresses and Contacts,供應商的地址和聯繫方式
Supplier Details,供應商詳細信息
Supplier Intro,供應商介紹
Supplier Invoice Date,供應商發票日期
Supplier Invoice No,供應商發票號碼
Supplier Name,供應商名稱
Supplier Naming By,供應商通過命名
Supplier Part Number,供應商零件編號
Supplier Quotation,供應商報價
Supplier Quotation Item,供應商報價項目
Supplier Reference,信用參考
Supplier Shipment Date,供應商出貨日期
Supplier Shipment No,供應商出貨無
Supplier Type,供應商類型
Supplier Type / Supplier,供應商類型/供應商
Supplier Warehouse,供應商倉庫
Supplier Warehouse mandatory subcontracted purchase receipt,供應商倉庫強制性分包購買收據
Supplier classification.,供應商分類。
Supplier database.,供應商數據庫。
Supplier of Goods or Services.,供應商的商品或服務。
Supplier warehouse where you have issued raw materials for sub - contracting,供應商的倉庫，你已發出原材料子 - 承包
Support,支持
Support Analtyics,支持Analtyics
Support Analytics,支持Analytics（分析）
Support Email,電子郵件支持
Support Email Id,支持電子郵件Id
Support Email Settings,支持電子郵件設置
Support Password,支持密碼
Support Ticket,支持票
Support queries from customers.,客戶支持查詢。
Symbol,符號
Sync Inbox,同步收件箱
Sync Support Mails,同步支持郵件
Sync with Dropbox,同步與Dropbox
Sync with Google Drive,同步與谷歌驅動器
System,系統
System Administration,系統管理
System Defaults,系統默認值
System Scheduler Errors,系統調度錯誤
System Settings,系統設置
System User,系統用戶
"System User (login) ID. If set, it will become default for all HR forms.",系統用戶（登錄）的標識。如果設置，這將成為默認的所有人力資源的形式。
System for managing Backups,系統管理備份
System generated mails will be sent from this email id.,系統生成的郵件將被從這個電子郵件ID發送。
TL-,TL-
TLB-,TLB-
Table,表
Table for Item that will be shown in Web Site,表將在網站被顯示項目
Table of Contents,目錄
Tag,標籤
Tag Name,標籤名稱
Tags,標籤
Tahoma,宋體
Target,目標
Target  Amount,目標金額
Target Detail,目標詳細信息
Target Details,目標詳細信息
Target Details1,目標點評詳情
Target Distribution,目標分佈
Target On,目標在
Target Qty,目標數量
Target Warehouse,目標倉庫
Task,任務
Task Details,任務詳細信息
Tax,稅
Tax Accounts,稅收佔
Tax Calculation,計稅
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,稅務類別不能為&#39;估值&#39;或&#39;估值及總，因為所有的項目都是非庫存產品
Tax Master,稅務碩士
Tax Rate,稅率
Tax Template for Purchase,對於購置稅模板
Tax Template for Sales,對於銷售稅模板
Tax and other salary deductions.,稅務及其他薪金中扣除。
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,從項目主稅的細節表讀取為字符串，並存儲在這個field.Used的稅費和費用
Taxable,應課稅
Taxes,稅
Taxes and Charges,稅收和收費
Taxes and Charges Added,稅費上架
Taxes and Charges Added (Company Currency),稅收和收費上架（公司貨幣）
Taxes and Charges Calculation,稅費計算
Taxes and Charges Deducted,稅收和費用扣除
Taxes and Charges Deducted (Company Currency),稅收和扣除（公司貨幣）
Taxes and Charges Total,稅費總計
Taxes and Charges Total (Company Currency),營業稅金及費用合計（公司貨幣）
Team Members,團隊成員
Team Members Heading,小組成員標題
Template Path,模板路徑
Template for employee performance appraisals.,模板員工績效考核。
Template of terms or contract.,模板條款或合同。
Term Details,長期詳情
Terms,條款
Terms and Conditions,條款和條件
Terms and Conditions Content,條款及細則內容
Terms and Conditions Details,條款及細則詳情
Terms and Conditions Template,條款及細則範本
Terms and Conditions1,條款及條件1
Terretory,Terretory
Territory,領土
Territory / Customer,區域/客戶
Territory Manager,區域經理
Territory Name,地區名稱
Territory Target Variance (Item Group-Wise),境內目標方差（項目組明智）
Territory Target Variance Item Group-Wise,境內目標差異項目組，智者
Territory Targets,境內目標
Test,測試
Test Email Id,測試電子郵件Id
Test Runner,測試運行
Test the Newsletter,測試通訊
Text,文本
Text Align,文本對齊
Text Editor,文本編輯器
"The ""Web Page"" that is the website home page",在“網頁”，也就是在網站首頁
The BOM which will be replaced,這將被替換的物料清單
The First User: You,第一個用戶：您
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",代表包裝的項目。該項目必須有“是股票項目”為“否”和“是銷售項目”為“是”
The Organization,本組織
"The account head under Liability, in which Profit/Loss will be booked",根據責任賬號頭，其中利潤/虧損將被黃牌警告
The date on which next invoice will be generated. It is generated on submit.,在其旁邊的發票將生成的日期。它是在提交生成的。
The date on which recurring invoice will be stop,在其經常性發票將被停止日期
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ",這個月的日子，汽車發票將會產生如05，28等
The first Leave Approver in the list will be set as the default Leave Approver,該列表中的第一個休假審批將被設置為默認請假審批
The first user will become the System Manager (you can change that later).,第一個用戶將成為系統管理器（您可以在以後更改）。
The gross weight of the package. Usually net weight + packaging material weight. (for print),包的總重量。通常淨重+包裝材料的重量。 （用於打印）
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,您的公司/網站的，你想要顯示在瀏覽器標題欄中的名稱。所有頁面都會有這樣的前綴稱號。
The name of your company for which you are setting up this system.,您的公司要為其設立這個系統的名稱。
The net weight of this package. (calculated automatically as sum of net weight of items),淨重這個包。 （當項目的淨重量總和自動計算）
The new BOM after replacement,更換後的新物料清單
The rate at which Bill Currency is converted into company's base currency,在該條例草案的貨幣轉換成公司的基礎貨幣的比率
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions",該系統提供了預先定義的角色，但你可以<a href='#List/Role'>添加新角色</a>設定更精細的權限
The unique id for tracking all recurring invoices. It is generated on submit.,唯一ID來跟踪所有的經常性發票。它是在提交生成的。
Then By (optional),再由（可選）
There was an error. One probable reason could be that you haven't saved the form. Please contact support@erpnext.com if the problem persists.,有一個錯誤。一個可能的原因可能是因為您沒有保存的形式。請聯繫support@erpnext.com如果問題仍然存在。
There were errors.,有錯誤。
These properties are Link Type fields from all Documents.,這些屬性是由所有文件鏈接類型字段。
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>",這些屬性也可以用來&#39;分配&#39;一個特定的文件，其屬性與用戶的屬性相匹配的用戶。這些可以通過設置<a href='#permission-manager'>權限管理</a>
These properties will appear as values in forms that contain them.,這些屬性將顯示為包含這些形式的值。
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,這些值將在交易中自動更新，也將是有益的權限限制在含有這些值交易這個用戶。
This ERPNext subscription,這ERPNext訂閱
This Leave Application is pending approval. Only the Leave Apporver can update status.,這個假期申請正在等待批准。只有離開Apporver可以更新狀態。
This Time Log Batch has been billed.,此時日誌批量一直標榜。
This Time Log Batch has been cancelled.,此時日誌批次已被取消。
This Time Log conflicts with,這個時間日誌與衝突
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,此字段將顯示只有這裡定義的字段名有值或規則是真實的（例子）： <br> myfieldeval：doc.myfield ==&#39;我的價值“ <br> EVAL：doc.age&gt; 18
This goes above the slideshow.,這正好幻燈片上面。
This is PERMANENT action and you cannot undo. Continue?,這是永久性的行動，你不能撤消。要繼續嗎？
This is a root account and cannot be edited.,這是一個root帳戶，不能被編輯。
This is permanent action and you cannot undo. Continue?,這是永久的行動，你不能撤消。要繼續嗎？
This is the number of the last created transaction with this prefix,這就是以這個前綴的最後一個創建的事務數
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,此工具可幫助您更新或修復系統的數量和股票估值。它通常被用於同步系統值和實際存在於您的倉庫。
This will be used for setting rule in HR module,這將用於在人力資源模塊的設置規則
Thread HTML,主題HTML
Thursday,星期四
Time,時間
Time Log,時間日誌
Time Log Batch,時間日誌批
Time Log Batch Detail,時間日誌批量詳情
Time Log Batch Details,時間日誌批量詳情
Time Log Batch status must be 'Submitted',時間日誌批次狀態必須是&#39;提交&#39;
Time Log Status must be Submitted.,時間日誌狀態必須被提交。
Time Log for tasks.,時間日誌中的任務。
Time Log is not billable,時間日誌是不計費
Time Log must have status 'Submitted',時間日誌的狀態必須為“已提交”
Time Zone,時區
Time Zones,時區
Time and Budget,時間和預算
Time at which items were delivered from warehouse,時間在哪個項目是從倉庫運送
Time at which materials were received,收到材料在哪個時間
Title,標題
Title / headline of your page,你的頁面標題/標題
Title Case,標題案例
Title Prefix,標題前綴
To,至
To Currency,以貨幣
To Date,至今
To Date should be same as From Date for Half Day leave,日期應該是一樣的起始日期為半天假
To Discuss,為了討論
To Do,要不要
To Do List,待辦事項列表
To Package No.,以包號
To Pay,支付方式
To Produce,以生產
To Time,要時間
To Value,To值
To Warehouse,到倉庫
"To add child nodes, explore tree and click on the node under which you want to add more nodes.",要添加子節點，探索樹，然後單擊要在其中添加更多節點的節點上。
"To assign this issue, use the ""Assign"" button in the sidebar.",要分配這個問題，請使用“分配”按鈕，在側邊欄。
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.",從您的接收郵件自動創建支持票，在此設置您的POP3設置。你必須非常創建一個單獨的電子郵件ID為ERP系統，使所有電子郵件都將來自該郵件ID被同步到系統中。如果您不能確定，請聯繫您的電子郵件提供商。
"To create / edit transactions against this account, you need role",要禁止該帳戶創建/編輯事務，你需要角色
To create a Bank Account:,要創建一個銀行帳號：
To create a Tax Account:,要創建一個納稅帳戶：
"To create an Account Head under a different company, select the company and save customer.",要創建一個帳戶頭在不同的公司，選擇該公司，並保存客戶。
To enable <b>Point of Sale</b> features,為了使<b>銷售點</b>功能
To enable <b>Point of Sale</b> view,為了使<b>銷售點</b>看法
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.",再取物品，點擊“獲取信息”按鈕\或手動更新的數量。
"To format columns, give column labels in the query.",要格式化列，給列標籤在查詢中。
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.",為了進一步限制基於文檔中的某些價值觀的權限，使用&#39;條件&#39;的設置。
To get Item Group in details table,為了讓項目組在詳細信息表
"To merge, following properties must be same for both items",若要合併，以下屬性必須為這兩個項目是相同的
"To report an issue, go to ",要報告問題，請至
To restrict a User of a particular Role to documents that are explicitly assigned to them,要限制某一特定角色的用戶來顯式分配給他們的文件
To restrict a User of a particular Role to documents that are only self-created.,要限制某一特定角色的用戶到只有自己創建的文檔。
"To set this Fiscal Year as Default, click on 'Set as Default'",要設置這個財政年度為默認值，點擊“設為默認”
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.",要設置用戶角色，只要進入<a href='#List/Profile'>設置&gt;用戶</a> ，然後單擊分配角色的用戶。
To track any installation or commissioning related work after sales,跟踪銷售後的任何安裝或調試相關工作
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No",在以下文件跟踪品牌<br>送貨單，Enuiry，材料要求，項目，採購訂單，購買憑證，買方收據，報價單，銷售發票，銷售物料，銷售訂單，序列號
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,在基於其序列號的銷售和採購文件跟踪的項目。這也可以用來跟踪商品的保修細節。
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,為了跟踪與批次號在銷售和採購文件的項目<br> <b>首選行業：化工等</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,要使用條形碼跟踪項目。您將能夠通過掃描物品條碼，進入交貨單和銷售發票的項目。
ToDo,待辦事項
Tools,工具
Top,頂部
Top Bar,頂欄
Top Bar Background,頂欄背景
Top Bar Item,頂欄項目
Top Bar Items,頂欄項目
Top Bar Text,頂欄文本
Total,總
Total (sum of) points distribution for all goals should be 100.,總計（總和）點的分佈對所有的目標應該是100。
Total Advance,總墊款
Total Amount,總金額
Total Amount To Pay,支付總計
Total Amount in Words,總金額詞
Total Billing This Year: ,總帳單今年：
Total Claimed Amount,總索賠額
Total Commission,總委員會
Total Cost,總成本
Total Credit,總積分
Total Debit,總借記
Total Deduction,扣除總額
Total Earning,總盈利
Total Experience,總經驗
Total Hours,總時數
Total Hours (Expected),總時數（預期）
Total Invoiced Amount,發票總金額
Total Leave Days,總休假天數
Total Leaves Allocated,分配的總葉
Total Manufactured Qty can not be greater than Planned qty to manufacture,總計製造數量不能大於計劃數量製造
Total Operating Cost,總營運成本
Total Points,總得分
Total Raw Material Cost,原材料成本總額
Total SMS Sent,共發送短信
Total Sanctioned Amount,總被制裁金額
Total Score (Out of 5),總分（滿分5分）
Total Tax (Company Currency),總稅（公司貨幣）
Total Taxes and Charges,總營業稅金及費用
Total Taxes and Charges (Company Currency),總稅費和費用（公司貨幣）
Total Working Days In The Month,總工作日的月份
Total amount of invoices received from suppliers during the digest period,的過程中消化期間向供應商收取的發票總金額
Total amount of invoices sent to the customer during the digest period,的過程中消化期間發送給客戶的發票總金額
Total in words,總字
Total production order qty for item,總生產量的項目
Totals,總計
Track separate Income and Expense for product verticals or divisions.,跟踪單獨的收入和支出進行產品垂直或部門。
Track this Delivery Note against any Project,跟踪此送貨單反對任何項目
Track this Sales Order against any Project,跟踪對任何項目這個銷售訂單
Transaction,交易
Transaction Date,交易日期
Transaction not allowed against stopped Production Order,交易不反對停止生產訂單允許
Transfer,轉讓
Transfer Material,轉印材料
Transfer Raw Materials,轉移原材料
Transferred Qty,轉讓數量
Transition Rules,過渡規則
Transporter Info,轉運信息
Transporter Name,轉運名稱
Transporter lorry number,轉運貨車數量
Trash Reason,垃圾桶原因
Tree Type,樹類型
Tree of item classification,項目分類樹
Trial Balance,試算表
Tuesday,星期二
Tweet will be shared via your user account (if specified),推文將通過您的用戶帳戶共享（如果指定）
Twitter Share,Twitter分享
Twitter Share via,Twitter分享通過
Type,類型
Type of document to rename.,的文件類型進行重命名。
Type of employment master.,就業主人的類型。
"Type of leaves like casual, sick etc.",葉似漫不經心，生病等類型
Types of Expense Claim.,報銷的類型。
Types of activities for Time Sheets,活動的考勤表類型
UOM,計量單位
UOM Conversion Detail,計量單位換算詳細
UOM Conversion Details,計量單位換算詳情
UOM Conversion Factor,計量單位換算係數
UOM Conversion Factor is mandatory,計量單位換算係數是強制性的
UOM Name,計量單位名稱
UOM Replace Utility,計量單位更換工具
UPPER CASE,大寫
UPPERCASE,大寫
URL,網址
Unable to complete request: ,無法完成請求：
Unable to load,無法加載
Under AMC,在AMC
Under Graduate,根據研究生
Under Warranty,在保修期
Unit of Measure,計量單位
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).",這資料（如公斤，單位，不，一對）的測量單位。
Units/Hour,單位/小時
Units/Shifts,單位/位移
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",未知文件編碼。嘗試UTF-8，windows-1250訪問，windows-1252訪問。
Unmatched Amount,無與倫比的金額
Unpaid,未付
Unread Messages,未讀消息
Unscheduled,計劃外
Unstop,Unstop
Unstop Material Request,Unstop材料要求
Unsubscribed,退訂
Upcoming Events for Today,近期活動今日
Update,更新
Update Clearance Date,更新日期間隙
Update Cost,更新成本
Update Field,更新域
Update Finished Goods,更新成品
Update Landed Cost,更新到岸成本
Update Numbering Series,更新編號系列
Update Series,更新系列
Update Series Number,更新序列號
Update Stock,庫存更新
Update Stock should be checked.,更新庫存應該進行檢查。
Update Value,更新值
"Update allocated amount in the above table and then click ""Allocate"" button",更新量分配在上表中，然後單擊“分配”按鈕
Update bank payment dates with journals.,更新與期刊銀行付款日期。
Updated,更新
Updated Birthday Reminders,更新生日提醒
Upload,上載
Upload Attachment,上傳附件
Upload Attendance,上傳出席
Upload Backups to Dropbox,上傳備份到Dropbox
Upload Backups to Google Drive,上傳備份到谷歌驅動器
Upload HTML,上傳HTML
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,上傳一個csv文件有兩列：舊名稱和新名稱。最大500行。
Upload a file,上傳文件
Upload and Import,上傳和導入
Upload attendance from a .csv file,從。csv文件上傳考勤
Upload stock balance via csv.,通過CSV上傳庫存餘額。
Upload your letter head and logo - you can edit them later.,上傳你的信頭和標誌 - 你可以在以後對其進行編輯。
Uploaded File Attachments,上傳文件附件
Uploading...,上載...
Upper Income,高收入
Urgent,急
Use Multi-Level BOM,採用多級物料清單
Use SSL,使用SSL
Use TLS,使用TLS
User,用戶
User Cannot Create,用戶無法創建
User Cannot Search,用戶不能搜索
User ID,用戶ID
User Image,用戶圖片
User Name,用戶名
User Properties,用戶屬性
User Remark,用戶備註
User Remark will be added to Auto Remark,用戶備註將被添加到自動注
User Tags,用戶標籤
User Type,用戶類型
User must always select,用戶必須始終選擇
User not allowed to delete.,用戶不允許刪除。
User settings for Point-of-sale (POS),用戶設置的銷售點終端（POS）
UserRole,的UserRole
Username,用戶名
Users and Permissions,用戶和權限
Users who can approve a specific employee's leave applications,用戶誰可以批准特定員工的休假申請
Users with this role are allowed to create / modify accounting entry before frozen date,具有此角色的用戶可以創建/修改凍結日期前會計分錄
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,具有此角色的用戶可以設置凍結帳戶，並創建/修改對凍結賬戶的會計分錄
Utilities,公用事業
Utility,效用
Valid For Territories,適用於新界
Valid Upto,到...為止有效
Valid for Buying or Selling?,有效的買入或賣出？
Valid for Territories,適用於新界
Validate,驗證
Valuation,計價
Valuation Method,估值方法
Valuation Rate,估值率
Valuation and Total,估值與總
Value,值
Value missing for,缺少值
Value or Qty,價值或數量
Vehicle Dispatch Date,車輛調度日期
Vehicle No,車輛無
Verdana,宋體
Verified By,認證機構
View,視圖
View Ledger,查看總帳
View Now,立即觀看
Visit,訪問
Visit report for maintenance call.,訪問報告維修電話。
Voucher Detail No,券詳細說明暫無
Voucher ID,優惠券編號
Voucher No,無憑證
Voucher Type,憑證類型
Voucher Type and Date,憑證類型和日期
WIP Warehouse required before Submit,提交所需WIP倉庫前
Walk In,走在
Warehouse,倉庫
Warehouse Contact Info,倉庫聯繫方式
Warehouse Detail,倉庫的詳細信息
Warehouse Name,倉庫名稱
Warehouse Type,倉庫類型
Warehouse User,倉庫用戶
Warehouse Users,倉庫用戶
Warehouse and Reference,倉庫及參考
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,倉庫只能通過股票輸入/送貨單/外購入庫單變
Warehouse cannot be changed for Serial No.,倉庫不能為序列號改變
Warehouse does not belong to company.,倉庫不屬於公司。
Warehouse is missing in Purchase Order,倉庫在採購訂單失踪
Warehouse where you are maintaining stock of rejected items,倉庫你在哪裡維護拒絕的項目庫存
Warehouse-Wise Stock Balance,倉庫明智的股票結餘
Warehouse-wise Item Reorder,倉庫明智的項目重新排序
Warehouses,倉庫
Warn,警告
Warning,警告
Warning: Leave application contains following block dates,警告：離開應用程序包含以下模塊日期
Warning: Material Requested Qty is less than Minimum Order Qty,警告：材料要求的數量低於最低起訂量
Warranty / AMC Details,保修/ AMC詳情
Warranty / AMC Status,保修/ AMC狀態
Warranty Expiry Date,保證期到期日
Warranty Period (Days),保修期限（天數）
Warranty Period (in days),保修期限（天數）
Warranty expiry date and maintenance status mismatched,保修期滿日期及維護狀態不匹配
Web Page,網頁
Website,網站
Website Description,網站簡介
Website Item Group,網站項目組
Website Item Groups,網站項目組
Website Script,網站腳本
Website Settings,網站設置
Website Sitemap,網站地圖
Website Sitemap Config,網站地圖配置
Website Slideshow,網站連續播放
Website Slideshow Item,網站幻燈片項目
Website User,網站用戶
Website Warehouse,網站倉庫
Wednesday,星期三
Weekly,周刊
Weekly Off,每週關閉
Weight UOM,重量計量單位
"Weight is mentioned,\nPlease mention ""Weight UOM"" too",重被提及，\ n請別說“重量計量單位”太
Weightage,權重
Weightage (%),權重（％）
Welcome Email Sent,歡迎發送電子郵件
Welcome to ERPNext. Over the next few minutes we will help you setup your ERPNext account. Try and fill in as much information as you have even if it takes a bit longer. It will save you a lot of time later. Good Luck!,歡迎來到ERPNext。在接下來的幾分鐘裡，我們將幫助您設置您的ERPNext帳戶。嘗試並填寫盡可能多的信息，你有，即使它需要多一點的時間。這將節省您大量的時間。祝你好運！
What does it do?,它有什麼作用？
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.",當任何選中的交易都是“已提交”，郵件彈出窗口自動打開，在該事務發送電子郵件到相關的“聯繫”，與交易作為附件。用戶可能會或可能不會發送電子郵件。
"When submitted, the system creates difference entries ",提交時，系統會創建差異的條目
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.",當您<b>修改</b>一個文件後，取消和保存，它會得到一個新的數字，是一個版本的舊號碼。
Where items are stored.,項目的存儲位置。
Where manufacturing operations are carried out.,凡製造業務進行。
Widowed,寡
Width,寬度
Will be calculated automatically when you enter the details,當你輸入詳細信息將自動計算
Will be updated after Sales Invoice is Submitted.,之後銷售發票已提交將被更新。
Will be updated when batched.,批處理時將被更新。
Will be updated when billed.,計費時將被更新。
Will be used in url (usually first name).,在URL（通常是第一個名字）將被使用。
With Operations,隨著運營
With period closing entry,隨著期末入門
Work Details,作品詳細信息
Work Done,工作完成
Work In Progress,工作進展
Work-in-Progress Warehouse,工作在建倉庫
Workflow,工作流程
Workflow Action,工作流操作
Workflow Action Master,工作流操作主
Workflow Action Name,工作流操作名稱
Workflow Document State,工作流文檔狀態
Workflow Document States,工作流文檔國
Workflow Name,工作流名稱
Workflow State,工作流狀態
Workflow State Field,工作流狀態字段
Workflow Transition,工作流程轉換
Workflow Transitions,工作流程轉換
Workflow state represents the current state of a document.,工作流狀態表示文檔的當前狀態。
Workflow will start after saving.,保存後的工作流程將啟動。
Working,工作的
Workstation,工作站
Workstation Name,工作站名稱
Write,寫
Write Off Account,核銷帳戶
Write Off Amount,核銷金額
Write Off Amount <=,核銷金額&lt;=
Write Off Based On,核銷的基礎上
Write Off Cost Center,沖銷成本中心
Write Off Outstanding Amount,核銷額（億元）
Write Off Voucher,核銷券
Write a Python file in the same folder where this is saved and return column and result.,寫一個Python文件，在這個被保存在同一文件夾中，並返回列和結果。
Write a SELECT query. Note result is not paged (all data is sent in one go).,寫一個SELECT查詢。注結果不分頁（所有數據都一氣呵成發送）。
Write sitemap.xml,寫的sitemap.xml
Writers Introduction,作家簡介
Wrong Template: Unable to find head row.,錯誤的模板：找不到頭排。
Year,年
Year Closed,年度關閉
Year End Date,年結日
Year Name,今年名稱
Year Start Date,今年開始日期
Year Start Date and Year End Date are already \						set in Fiscal Year: ,年開學日期及年結日已\在財政年度設定：
Year Start Date and Year End Date are not within Fiscal Year.,今年開始日期和年份結束日期是不是在會計年度。
Year Start Date should not be greater than Year End Date,今年開始日期不應大於年度日期
Year of Passing,路過的一年
Yearly,每年
Yes,是的
Yesterday,昨天
You are not allowed to reply to this ticket.,你不允許回复此票。
You are not authorized to do/modify back dated entries before ,您無權做/修改之前追溯項目
You are not authorized to set Frozen value,您無權設定值凍結
