 (Half Day),(आधे दिन)
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note","चयन इस आइटम बिक्री आदेश में निकालने के लिए, डिलिवरी नोट &quot;हाँ&quot; की अनुमति देगा"
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.",&quot;हाँ&quot; का चयन आप कच्चे माल और संचालन करने के लिए इस मद के निर्माण के लिए खर्च दिखा सामग्री के बिल बनाने के लिए अनुमति देगा.
"Selecting ""Yes"" will allow you to make a Production Order for this item.",&quot;हाँ&quot; का चयन आप इस मद के लिए उत्पादन का आदेश करने की अनुमति होगी.
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",&quot;हाँ&quot; का चयन जो कोई मास्टर सीरियल में देखा जा सकता है इस मद की प्रत्येक इकाई के लिए एक अद्वितीय पहचान दे देंगे.
Selling,विक्रय
Selling Settings,सेटिंग्स बेचना
Send,भेजें
Send Autoreply,स्वतः भेजें
Send Email,ईमेल भेजें
Send From,से भेजें
Send Invite Email,निमंत्रण ईमेल भेजें
Send Me A Copy,मुझे एक कॉपी भेज
Send Notifications To,करने के लिए सूचनाएं भेजें
Send Print in Body and Attachment,शारीरिक और अनुलग्नक में प्रिंट भेजें
Send SMS,एसएमएस भेजें
Send To,इन्हें भेजें
Send To Type,टाइप करने के लिए भेजें
Send an email reminder in the morning,सुबह में एक ईमेल अनुस्मारक भेजें
Send automatic emails to Contacts on Submitting transactions.,लेनदेन भेजने पर संपर्क करने के लिए स्वत: ईमेल भेजें.
Send mass SMS to your contacts,अपने संपर्कों के लिए बड़े पैमाने पर एसएमएस भेजें
Send regular summary reports via Email.,ईमेल के माध्यम से नियमित रूप से सारांश रिपोर्ट भेजें.
Send to this list,इस सूची को भेजें
Sender,प्रेषक
Sender Name,प्रेषक का नाम
"Sending newsletters is not allowed for Trial users, \				to prevent abuse of this feature.","न्यूज़लेटर भेजा जा रहा है परीक्षण उपयोगकर्ताओं के लिए अनुमति नहीं है, \ इस सुविधा का दुरुपयोग रोकने के लिए."
Sent Mail,भेजी गई मेल
Sent On,पर भेजा
Sent Quotation,भेजे गए कोटेशन
Separate production order will be created for each finished good item.,अलग उत्पादन का आदेश प्रत्येक समाप्त अच्छा आइटम के लिए बनाया जाएगा.
Serial No,नहीं सीरियल
Serial No Details,धारावाहिक नहीं विवरण
Serial No Service Contract Expiry,सीरियल कोई सेवा अनुबंध समाप्ति
Serial No Status,सीरियल कोई स्थिति
Serial No Warranty Expiry,सीरियल कोई वारंटी समाप्ति
Serialized Item: ',श्रृंखलाबद्ध आइटम: &#39;
Series List for this Transaction,इस लेन - देन के लिए सीरीज सूची
Server,सेवक
Service Address,सेवा पता
Services,सेवाएं
Session Expired. Logging you out,सत्र समाप्त हो गया. आप लॉग आउट
Session Expires in (time),सत्र में समाप्त (समय)
Session Expiry,सत्र समाप्ति
Session Expiry in Hours e.g. 06:00,घंटे में सत्र समाप्ति जैसे 06:00
Set Banner from Image,छवि से बैनर सेट
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,इस क्षेत्र पर आइटम ग्रुप - वाईस बजट निर्धारित करें. तुम भी वितरण की स्थापना द्वारा मौसमी शामिल कर सकते हैं.
Set Login and Password if authentication is required.,लॉगिन और पासवर्ड सेट अगर प्रमाणीकरण की आवश्यकता है.
Set New Password,नया पासवर्ड सेट
Set Value,मूल्य सेट
"Set a new password and ""Save""",एक नया पासवर्ड और &quot;सहेजें&quot; सेट
Set prefix for numbering series on your transactions,अपने लेनदेन पर श्रृंखला नंबरिंग के लिए उपसर्ग सेट
Set targets Item Group-wise for this Sales Person.,सेट आइटम इस बिक्री व्यक्ति के लिए समूह - वार लक्ष्य.
"Set your background color, font and image (tiled)","अपनी पृष्ठभूमि रंग, फ़ॉन्ट और छवि (टाइलों) सेट"
"Set your outgoing mail SMTP settings here. All system generated notifications, emails will go from this mail server. If you are not sure, leave this blank to use ERPNext servers (emails will still be sent from your email id) or contact your email provider.","अपने निवर्तमान मेल SMTP सेटिंग्स यहाँ सेट. सभी प्रणाली सूचनाएं उत्पन्न, ईमेल इस मेल सर्वर से जाना जाएगा. यदि आप सुनिश्चित नहीं कर रहे हैं, इस लिए ERPNext सर्वर (ईमेल अभी भी अपनी ईमेल आईडी से भेजा जाएगा) का उपयोग करने के लिए या अपने ईमेल प्रदाता से संपर्क करने के लिए खाली छोड़ दें."
Setting Account Type helps in selecting this Account in transactions.,की स्थापना खाता प्रकार के लेनदेन में इस खाते का चयन करने में मदद करता है.
Settings,सेटिंग्स
Settings for About Us Page.,हमारे बारे में पृष्ठ के लिए सेटिंग्स.
Settings for Accounts,लेखा के लिए सेटिंग्स
Settings for Buying Module,मॉड्यूल खरीदने के लिए सेटिंग्स
Settings for Contact Us Page,हमसे संपर्क करें पृष्ठ के लिए सेटिंग्स
Settings for Contact Us Page.,के लिए सेटिंग्स हमसे संपर्क पृष्ठ.
Settings for Selling Module,मॉड्यूल बेचने के लिए सेटिंग्स
Settings for the About Us Page,हमारे बारे में पृष्ठ के लिए सेटिंग्स
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",एक मेलबॉक्स जैसे &quot;jobs@example.com से नौकरी के आवेदकों को निकालने सेटिंग्स
Setup,व्यवस्था
Setup Control,नियंत्रण सेटअप
Setup Series,सेटअप सीरीज
Setup of Shopping Cart.,शॉपिंग कार्ट का सेटअप.
Setup of fonts and background.,फ़ॉन्ट और पृष्ठभूमि का सेटअप.
"Setup of top navigation bar, footer and logo.","शीर्ष नेविगेशन पट्टी, पाद लेख, और लोगो का सेटअप."
Setup to pull emails from support email account,समर्थन ईमेल खाते से ईमेल खींचने सेटअप
Share,शेयर
Share With,के साथ शेयर करें
Shipments to customers.,ग्राहकों के लिए लदान.
Shipping,शिपिंग
Shipping Account,नौवहन खाता
Shipping Address,शिपिंग पता
Shipping Address Name,शिपिंग पता नाम
Shipping Amount,नौवहन राशि
Shipping Rule,नौवहन नियम
Shipping Rule Condition,नौवहन नियम हालत
Shipping Rule Conditions,नौवहन नियम शर्तें
Shipping Rule Label,नौवहन नियम लेबल
Shipping Rules,नौवहन नियम
Shop,दुकान
Shopping Cart,खरीदारी की टोकरी
Shopping Cart Price List,शॉपिंग कार्ट मूल्य सूची
Shopping Cart Price Lists,शॉपिंग कार्ट मूल्य सूचियां
Shopping Cart Settings,शॉपिंग कार्ट सेटिंग्स
Shopping Cart Shipping Rule,शॉपिंग कार्ट नौवहन नियम
Shopping Cart Shipping Rules,शॉपिंग कार्ट नौवहन नियम
Shopping Cart Taxes and Charges Master,शॉपिंग कार्ट में करों और शुल्कों मास्टर
Shopping Cart Taxes and Charges Masters,शॉपिंग कार्ट में करों और शुल्कों मास्टर्स
Short Bio,लघु जैव
Short Name,संक्षिप्त नाम
Short biography for website and other publications.,वेबसाइट और अन्य प्रकाशनों के लिए लघु जीवनी.
Shortcut,शॉर्टकट
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",स्टॉक में दिखाएँ &quot;&quot; या &quot;नहीं&quot; स्टॉक में इस गोदाम में उपलब्ध स्टॉक के आधार पर.
Show Details,विवरण दिखाएं
Show In Website,वेबसाइट में दिखाएँ
Show Print First,शो के पहले प्रिंट
Show a slideshow at the top of the page,पृष्ठ के शीर्ष पर एक स्लाइड शो दिखाएँ
Show in Website,वेबसाइट में दिखाने
Show rows with zero values,शून्य मान के साथ पंक्तियों दिखाएं
Show this slideshow at the top of the page,पृष्ठ के शीर्ष पर इस स्लाइड शो दिखाएँ
Showing only for,के लिए ही दिखा रहा है
Signature,हस्ताक्षर
Signature to be appended at the end of every email,हर ईमेल के अंत में संलग्न किया हस्ताक्षर
Single,एक
Single Post (article).,सिंगल पोस्ट (लेख).
Single unit of an Item.,एक आइटम के एकल इकाई.
Sitemap Domain,साइटमैप डोमेन
Slideshow,स्लाइड शो
Slideshow Items,स्लाइड शो आइटम
Slideshow Name,स्लाइड शो नाम
Slideshow like display for the website,वेबसाइट के लिए प्रदर्शन की तरह स्लाइड शो
Small Text,छोटे पाठ
Solid background color (default light gray),ठोस पृष्ठभूमि रंग (डिफ़ॉल्ट हल्के भूरे रंग)
Sorry we were unable to find what you were looking for.,खेद है कि हम खोजने के लिए आप क्या देख रहे थे करने में असमर्थ थे.
Sorry you are not permitted to view this page.,खेद है कि आपको इस पृष्ठ को देखने की अनुमति नहीं है.
Sorry! We can only allow upto 100 rows for Stock Reconciliation.,क्षमा करें! हम केवल स्टॉक सुलह के लिए 100 पंक्तियों तक अनुमति दे सकते हैं.
"Sorry! You cannot change company's default currency, because there are existing transactions against it. You will need to cancel those transactions if you want to change the default currency.","क्षमा करें! इसके खिलाफ मौजूदा लेनदेन कर रहे हैं, क्योंकि आप कंपनी की डिफ़ॉल्ट मुद्रा बदल नहीं सकते. आप डिफ़ॉल्ट मुद्रा में परिवर्तन करना चाहते हैं तो आप उन लेनदेन को रद्द करने की आवश्यकता होगी."
Sorry. Companies cannot be merged,माफ़ कीजिए. कंपनियों का विलय कर दिया नहीं किया जा सकता
Sorry. Serial Nos. cannot be merged,माफ़ कीजिए. सीरियल नंबर मिला दिया नहीं जा सकता
Sort By,द्वारा क्रमबद्ध करें
Source,स्रोत
Source Warehouse,स्रोत वेअरहाउस
Source and Target Warehouse cannot be same,स्रोत और लक्ष्य वेअरहाउस समान नहीं हो सकते
Source of th,वें के स्रोत
"Source of the lead. If via a campaign, select ""Campaign""","नेतृत्व के स्रोत. यदि एक अभियान के माध्यम से, &quot;अभियान&quot; का चयन करें"
Spartan,संयमी
Special Page Settings,विशेष पृष्ठ सेटिंग
Specification Details,विशिष्टता विवरण
Specify Exchange Rate to convert one currency into another,दूसरे में एक मुद्रा में परिवर्तित करने के लिए विनिमय दर को निर्दिष्ट
"Specify a list of Territories, for which, this Price List is valid","शासित प्रदेशों की सूची निर्दिष्ट करें, जिसके लिए, यह मूल्य सूची मान्य है"
"Specify a list of Territories, for which, this Shipping Rule is valid","शासित प्रदेशों की सूची निर्दिष्ट करें, जिसके लिए, यह नौवहन नियम मान्य है"
"Specify a list of Territories, for which, this Taxes Master is valid","शासित प्रदेशों की सूची निर्दिष्ट करें, जिसके लिए, यह कर मास्टर मान्य है"
Specify conditions to calculate shipping amount,शिपिंग राशि की गणना करने की स्थिति निर्दिष्ट करें
Split Delivery Note into packages.,संकुल में डिलिवरी नोट भाजित.
Standard,मानक
Standard Rate,मानक दर
"Standard Terms and Conditions that can be added to Sales and Purchases.Examples:1. Validity of the offer.1. Payment Terms (In Advance, On Credit, part advance etc).1. What is extra (or payable by the Customer).1. Safety / usage warning.1. Warranty if any.1. Returns Policy.1. Terms of shipping, if applicable.1. Ways of addressing disputes, indemnity, liability, etc.1. Address and Contact of your Company.","1: मानक नियमों और शर्तों कि बिक्री और Purchases.Examples के लिए जोड़ा जा सकता है. Offer.1 की वैधता. भुगतान (एडवांस में, क्रेडिट, भाग अग्रिम आदि) शर्तें .1. क्या (या ग्राहक द्वारा देय) अतिरिक्त .1 है. / सुरक्षा warning.1 उपयोग. वारंटी अगर any.1. Policy.1 देता है. शिपिंग के applicable.1 अगर शर्तें. विवादों को संबोधित करने के तरीके, क्षतिपूर्ति, दायित्व, etc.1. पता है और अपनी कंपनी के संपर्क करें."
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.","मानक कर टेम्पलेट है कि सभी खरीद लेनदेन के लिए लागू किया जा सकता है. इस टेम्पलेट के &quot;नौवहन&quot; की तरह कर भी सिर और अन्य खर्च सिर सूची, &quot;बीमा&quot;, &quot;हैंडलिंग&quot; होते हैं आदि # # # # NoteThe कर तुम यहाँ को परिभाषित करने के लिए मानक दर कर की दर सभी ** आइटम के लिए करेंगे कर सकते हैं . अगर वहाँ ** ** आइटम है कि अलग दरों कर रहे हैं, वे आइटम ** में आइटम ** तालिका ** टैक्स में जोड़ा जाना चाहिए Columns1 का विवरण ** मास्टर. # # # #. गणना के प्रकार: - यह ** नेट कुल पर हो सकता है (कि मूल राशि का योग है). - ** / पिछला पंक्ति पर कुल ** राशि (संचयी करों या शुल्कों के लिए). यदि आप इस विकल्प का चयन करते हैं, कर पिछले पंक्ति के एक प्रतिशत (कर तालिका में) या कुल राशि के रूप में लागू किया जाएगा. - ** समाचा (के रूप में उल्लेख किया है) ** .2. खाता सिर: खाता बही खाता है जिसके तहत यह कर booked3 होगा. लागत केंद्र: यदि कर प्रभारी / एक शिपिंग जैसे आय या खर्च है यह एक Center.4 लागत के खिलाफ आरक्षण की जरूरत है. विवरण: कर का विवरण (कि चालान / उद्धरण में मुद्रित किया जाएगा) 0.5. दर: rate.6 कर. राशि: amount.7 कर. कुल: point.8 इस संचयी कुल. पंक्ति दर्ज करें: यदि &quot;पिछली पंक्ति कुल&quot; के आधार पर आप पंक्ति संख्या है जो इस गणना (पिछली पंक्ति मूलभूत है) .9 के लिए एक आधार के रूप में ले जाया जाएगा का चयन कर सकते हैं. के लिए टैक्स या शुल्क पर विचार करें: इस अनुभाग में आप अगर कर प्रभारी / मूल्यांकन (कुल का एक हिस्सा नहीं) के लिए केवल एक या केवल कुल के लिए निर्दिष्ट कर सकते हैं (आइटम को जोड़ नहीं मान) या both.10 के लिए. जोड़ें या घटा: चाहे आप जोड़ सकते हैं या घटा कर करना चाहते हैं."
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","मानक कर टेम्पलेट है कि सभी बिक्री लेनदेन के लिए लागू किया जा सकता है. इस टेम्पलेट कर प्रमुखों की सूची में और भी तरह &quot;नौवहन&quot; अन्य व्यय / आय सिर, &quot;बीमा&quot;, &quot;हैंडलिंग&quot; आदि # # # # NoteThe कर दर तुम यहाँ को परिभाषित मानक सभी ** आइटम के लिए कर की दर होगा शामिल कर सकते हैं **. अगर वहाँ ** ** आइटम है कि अलग दरों कर रहे हैं, वे आइटम ** में आइटम ** तालिका ** टैक्स में जोड़ा जाना चाहिए Columns1 का विवरण ** मास्टर. # # # #. गणना के प्रकार: - यह ** नेट कुल पर हो सकता है (कि मूल राशि का योग है). - ** / पिछला पंक्ति पर कुल ** राशि (संचयी करों या शुल्कों के लिए). यदि आप इस विकल्प का चयन करते हैं, कर पिछले पंक्ति के एक प्रतिशत (कर तालिका में) या कुल राशि के रूप में लागू किया जाएगा. - ** समाचा (के रूप में उल्लेख किया है) ** .2. खाता सिर: खाता बही खाता है जिसके तहत यह कर booked3 होगा. लागत केंद्र: यदि कर प्रभारी / एक शिपिंग जैसे आय या खर्च है यह एक Center.4 लागत के खिलाफ आरक्षण की जरूरत है. विवरण: कर का विवरण (कि चालान / उद्धरण में मुद्रित किया जाएगा) 0.5. दर: rate.6 कर. राशि: amount.7 कर. कुल: point.8 इस संचयी कुल. पंक्ति दर्ज करें: यदि &quot;पिछली पंक्ति कुल&quot; के आधार पर आप पंक्ति संख्या है जो इस गणना (पिछली पंक्ति मूलभूत है) .9 के लिए एक आधार के रूप में ले जाया जाएगा का चयन कर सकते हैं. इस टैक्स मूल दर में शामिल: यदि आप इस चेक, इसका मतलब है कि इस कर आइटम मेज के नीचे नहीं दिखाया जाएगा, लेकिन अपने मुख्य आइटम तालिका में मूल दर में शामिल किया जाएगा. यह उपयोगी है, जहां आप एक फ्लैट की कीमत दे (सभी करों सहित) ग्राहकों के लिए कीमत चाहते हैं."
Start Date,प्रारंभ दिनांक
Start Report For,प्रारंभ लिए रिपोर्ट
Start date of current invoice's period,वर्तमान चालान की अवधि के आरंभ तिथि
Starts on,पर शुरू होता है
Startup,स्टार्टअप
State,राज्य
States,राज्य अमेरिका
Static Parameters,स्टेटिक पैरामीटर
Status,हैसियत
Status must be one of ,स्थिति का एक होना चाहिए
Status should be Submitted,स्थिति प्रस्तुत किया जाना चाहिए
Statutory info and other general information about your Supplier,वैधानिक अपने सप्लायर के बारे में जानकारी और अन्य सामान्य जानकारी
Stock,स्टॉक
Stock Adjustment Account,स्टॉक समायोजन खाता
Stock Adjustment Cost Center,शेयर समायोजन लागत केंद्र
Stock Ageing,स्टॉक बूढ़े
Stock Analytics,स्टॉक विश्लेषिकी
Stock Balance,बाकी स्टाक
Stock Entry,स्टॉक एंट्री
Stock Entry Detail,शेयर एंट्री विस्तार
Stock Frozen Upto,स्टॉक तक जमे हुए
Stock In Hand Account,हाथ खाते में स्टॉक
Stock Ledger,स्टॉक लेजर
Stock Ledger Entry,स्टॉक खाता प्रविष्टि
Stock Level,स्टॉक स्तर
Stock Qty,स्टॉक मात्रा
Stock Queue (FIFO),स्टॉक कतार (फीफो)
Stock Received But Not Billed,स्टॉक प्राप्त लेकिन बिल नहीं
Stock Reconciliation,स्टॉक सुलह
Stock Reconciliation file not uploaded,स्टॉक सुलह नहीं अपलोड की गई फ़ाइल
Stock Settings,स्टॉक सेटिंग्स
Stock UOM,स्टॉक UOM
Stock UOM Replace Utility,स्टॉक UOM बदलें उपयोगिता
Stock Uom,स्टॉक Uom
Stock Value,शेयर मूल्य
Stock Value Difference,स्टॉक मूल्य अंतर
Stop,रोक
Stop users from making Leave Applications on following days.,निम्नलिखित दिन पर छुट्टी अनुप्रयोग बनाने से उपयोगकर्ताओं को बंद करो.
Stopped,रोक
Structure cost centers for budgeting.,बजट के लिए संरचना लागत केन्द्रों.
Structure of books of accounts.,खातों की पुस्तकों की संरचना.
Style,शैली
Style Settings,शैली सेटिंग्स
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","- ग्रीन, खतरा - लाल, उलटा - काले, प्राथमिक - डार्क ब्लू जानकारी, लाइट ब्लू, चेतावनी - ऑरेंज सफलता: शैली बटन रंग का प्रतिनिधित्व करता है"
"Sub-currency. For e.g. ""Cent""",उप - मुद्रा. उदाहरण के लिए &quot;प्रतिशत&quot;
Sub-domain provided by erpnext.com,Erpnext.com द्वारा प्रदान की उप - डोमेन
Subcontract,उपपट्टा
Subdomain,उपडोमेन
Subject,विषय
Submit,प्रस्तुत करना
Submit Salary Slip,वेतनपर्ची सबमिट करें
Submit all salary slips for the above selected criteria,ऊपर चयनित मानदंड के लिए सभी वेतन निकल जाता है भेजें
Submitted,पेश
Submitted Record cannot be deleted,प्रस्तुत रिकार्ड नष्ट नहीं किया जा सकता है
Subsidiary,सहायक
Success,सफलता
Successful: ,सफल:
Suggestion,सुझाव
Suggestions,सुझाव
Sunday,रविवार
Supplier,प्रदायक
Supplier (Payable) Account,प्रदायक (देय) खाता
Supplier (vendor) name as entered in supplier master,प्रदायक नाम (विक्रेता) के रूप में आपूर्तिकर्ता मास्टर में प्रवेश
Supplier Account Head,प्रदायक खाता हेड
Supplier Address,प्रदायक पता
Supplier Details,आपूर्तिकर्ता विवरण
Supplier Intro,प्रदायक पहचान
Supplier Invoice Date,प्रदायक चालान तिथि
Supplier Invoice No,प्रदायक चालान नहीं
Supplier Name,प्रदायक नाम
Supplier Naming By,द्वारा नामकरण प्रदायक
Supplier Part Number,प्रदायक भाग संख्या
Supplier Quotation,प्रदायक कोटेशन
Supplier Quotation Item,प्रदायक कोटेशन आइटम
Supplier Reference,प्रदायक संदर्भ
Supplier Shipment Date,प्रदायक शिपमेंट तिथि
Supplier Shipment No,प्रदायक शिपमेंट नहीं
Supplier Type,प्रदायक प्रकार
Supplier Warehouse,प्रदायक वेअरहाउस
Supplier Warehouse mandatory subcontracted purchase receipt,प्रदायक गोदाम अनिवार्य subcontracted खरीद रसीद
Supplier classification.,प्रदायक वर्गीकरण.
Supplier database.,प्रदायक डेटाबेस.
Supplier of Goods or Services.,सामान या सेवाओं की प्रदायक.
Supplier warehouse where you have issued raw materials for sub - contracting,प्रदायक गोदाम जहाँ आप उप के लिए कच्चे माल के जारी किए गए हैं - करार
Supplier's currency,प्रदायक मुद्रा
Support,समर्थन
Support Analytics,समर्थन विश्लेषिकी
Support Email,ईमेल समर्थन
Support Email Id,ईमेल आईडी का समर्थन
Support Password,सहायता पासवर्ड
Support Ticket,समर्थन टिकट
Support queries from customers.,ग्राहकों से प्रश्नों का समर्थन करें.
Symbol,प्रतीक
Sync Inbox,सिंक इनबॉक्स
Sync Support Mails,समर्थन मेल समन्वयित
Sync with Dropbox,ड्रॉपबॉक्स के साथ सिंक
Sync with Google Drive,गूगल ड्राइव के साथ सिंक
System,प्रणाली
System Defaults,सिस्टम मूलभूत
System Settings,सिस्टम सेटिंग्स
System User,सिस्टम उपयोगकर्ता को
"System User (login) ID. If set, it will become default for all HR forms.","सिस्टम प्रयोक्ता आईडी (प्रवेश). अगर सेट किया जाता है, यह सभी मानव संसाधन रूपों के लिए डिफ़ॉल्ट बन जाएगा."
System for managing Backups,बैकअप के प्रबंधन के लिए सिस्टम
System generated mails will be sent from this email id.,सिस्टम उत्पन्न मेल इस ईमेल आईडी से भेजा जाएगा.
TL-,टीएल-
TLB-,TLB-
Table,तालिका
Table for Item that will be shown in Web Site,टेबल आइटम के लिए है कि वेब साइट में दिखाया जाएगा
Tag,टैग
Tag Name,टैग का नाम
Tags,टैग
Tahoma,Tahoma
Target,लक्ष्य
Target  Amount,लक्ष्य की राशि
Target Detail,लक्ष्य विस्तार
Target Details,लक्ष्य विवरण
Target Details1,Details1 लक्ष्य
Target Distribution,लक्ष्य वितरण
Target Qty,लक्ष्य मात्रा
Target Warehouse,लक्ष्य वेअरहाउस
Task,कार्य
Task Details,कार्य विवरण
Tax,कर
Tax Calculation,कर गणना
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,सभी आइटम गैर स्टॉक वस्तुओं रहे हैं के रूप में कर श्रेणी &#39;मूल्यांकन&#39; या &#39;मूल्यांकन और कुल&#39; नहीं हो सकता
Tax Master,टैक्स मास्टर
Tax Rate,कर की दर
Tax Template for Purchase,खरीद के लिए कर टेम्पलेट
Tax Template for Sales,बिक्री के लिए टैक्स टेम्पलेट
Tax and other salary deductions.,टैक्स और अन्य वेतन कटौती.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,टैक्स विस्तार तालिका में एक स्ट्रिंग के रूप में आइटम मास्टर से दिलवाया और करों और प्रभार के लिए इस field.Used में संग्रहीत
Taxable,कर योग्य
Taxes,कर
Taxes and Charges,करों और प्रभार
Taxes and Charges Added,कर और शुल्क जोड़ा
Taxes and Charges Added (Company Currency),करों और शुल्कों जोड़ा (कंपनी मुद्रा)
Taxes and Charges Calculation,कर और शुल्क गणना
Taxes and Charges Deducted,कर और शुल्क कटौती
Taxes and Charges Deducted (Company Currency),कर और शुल्क कटौती (कंपनी मुद्रा)
Taxes and Charges Total,कर और शुल्क कुल
Taxes and Charges Total (Company Currency),करों और शुल्कों कुल (कंपनी मुद्रा)
Taxes and Charges1,करों और Charges1
Team Members,टीम के सदस्यों को
Team Members Heading,टीम के सदस्यों शीर्षक
Template for employee performance appraisals.,कर्मचारी प्रदर्शन appraisals के लिए खाका.
Template of terms or contract.,शब्दों या अनुबंध के टेम्पलेट.
Term Details,अवधि विवरण
Terms and Conditions,नियम और शर्तें
Terms and Conditions Content,नियम और शर्तें सामग्री
Terms and Conditions Details,नियमों और शर्तों के विवरण
Terms and Conditions Template,नियमों और शर्तों टेम्पलेट
Terms and Conditions1,नियम और Conditions1
Territory,क्षेत्र
Territory Manager,क्षेत्र प्रबंधक
Territory Name,टेरिटरी नाम
Territory Target Variance (Item Group-Wise),टेरिटरी लक्ष्य विचरण (आइटम समूह वार)
Territory Targets,टेरिटरी लक्ष्य
Test,परीक्षण
Test Email Id,टेस्ट ईमेल आईडी
Test Runner,परीक्षण धावक
Test the Newsletter,न्यूज़लैटर टेस्ट
Text,पाठ
Text Align,पाठ संरेखित
Text Editor,पाठ संपादक
"The ""Web Page"" that is the website home page",&quot;वेब पेज&quot; कि वेबसाइट के होम पेज
The BOM which will be replaced,बीओएम जो प्रतिस्थापित किया जाएगा
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",आइटम है कि पैकेज का प्रतिनिधित्व करता है. इस मद &quot;स्टॉक आइटम&quot; &quot;नहीं&quot; के रूप में और के रूप में &quot;हाँ&quot; &quot;बिक्री आइटम है&quot;
The date at which current entry is made in system.,"तारीख, जिस पर वर्तमान प्रविष्टि प्रणाली में किया जाता है."
The date at which current entry will get or has actually executed.,"तारीख, जिस पर वर्तमान प्रविष्टि पाने के लिए या वास्तव में मार डाला गया है."
The date on which next invoice will be generated. It is generated on submit.,"तारीख, जिस पर अगले चालान उत्पन्न हो जाएगा. यह प्रस्तुत करने पर उत्पन्न होता है."
The date on which recurring invoice will be stop,"तारीख, जिस पर आवर्ती चालान रोकने के लिए किया जाएगा"
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","ऑटो चालान जैसे 05, 28 आदि उत्पन्न हो जाएगा, जिस पर इस महीने के दिन"
The first Leave Approver in the list will be set as the default Leave Approver,सूची में पहले छोड़ अनुमोदक डिफ़ॉल्ट छोड़ दो अनुमोदक के रूप में स्थापित किया जाएगा
The gross weight of the package. Usually net weight + packaging material weight. (for print),पैकेज के कुल वजन. आमतौर पर शुद्ध + वजन पैकेजिंग सामग्री के वजन. (प्रिंट के लिए)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,/ अपनी कंपनी की वेबसाइट के नाम के रूप में आप ब्राउज़र शीर्षक पट्टी पर प्रकट करना चाहते हैं. सभी पृष्ठों शीर्षक उपसर्ग के रूप में होगा.
The net weight of this package. (calculated automatically as sum of net weight of items),इस पैकेज के शुद्ध वजन. (वस्तुओं का शुद्ध वजन की राशि के रूप में स्वतः गणना)
The new BOM after replacement,बदलने के बाद नए बीओएम
The rate at which Bill Currency is converted into company's base currency,जिस दर पर विधेयक मुद्रा कंपनी के बेस मुद्रा में परिवर्तित किया जाता है
