 (Half Day),(Meio Dia)
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.","Modelo imposto padrão que pode ser aplicado a todas as operações de compra. Este modelo pode conter lista de cabeças de impostos e também chefes de despesas outras como &quot;Frete&quot;, &quot;Seguro&quot;, &quot;Manipulação&quot;, etc taxa de imposto # # # # ObservaçãoO você definir aqui será a taxa normal do IVA para todos os itens ** ** . Se houver ** ** Itens que têm taxas diferentes, eles devem ser adicionados no Imposto item ** ** tabela no item ** ** mestre. # # # # Descrição do Columns1. Tipo de Cálculo: - Isto pode ser em ** Total Líquida ** (que é a soma do valor de base). - ** Na linha anterior Total / Montante ** (para impostos cumulativos ou encargos). Se você selecionar esta opção, o imposto será aplicado como um percentual da linha anterior (na tabela do imposto) ou montante total. - ** Real ** (como mencionado) .2. Chefe da conta: O livro conta em que este imposto será booked3. Custo Center: Se o imposto / carga é uma renda (como o transporte) ou despesa que precisa ser contabilizadas a um Custo Center.4. Descrição: Descrição do imposto (que será impresso nas faturas / cotações) .5. Taxa: Imposto rate.6. Quantidade: Imposto amount.7. Total: total acumulado a este point.8. Digite Row: Se com base em &quot;Total linha anterior&quot; você pode escolher o número da linha que será tomado como base para este cálculo (o padrão é a linha anterior) .9. Considere imposto ou encargo para: Nesta seção, você pode especificar se o imposto / carga é apenas para avaliação (não uma parte do total) ou apenas para total (não adiciona valor ao produto) ou para both.10. Adicionar ou Deduzir: Se você quiser adicionar ou deduzir o imposto."
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Modelo imposto padrão que pode ser aplicado a todas as suas vendas. Este modelo pode conter lista de cabeças de impostos e também outras despesas / receitas cabeças como &quot;Frete&quot;, &quot;Seguro&quot;, &quot;Manipulação&quot;, etc taxa de imposto # # # # ObservaçãoO você definir aqui será a taxa normal do IVA para todos os itens ** . ** Se houver ** ** Itens que têm taxas diferentes, eles devem ser adicionados no Imposto item ** ** tabela no item ** ** mestre. # # # # Descrição do Columns1. Tipo de Cálculo: - Isto pode ser em ** Total Líquida ** (que é a soma do valor de base). - ** Na linha anterior Total / Montante ** (para impostos cumulativos ou encargos). Se você selecionar esta opção, o imposto será aplicado como um percentual da linha anterior (na tabela do imposto) ou montante total. - ** Real ** (como mencionado) .2. Chefe da conta: O livro conta em que este imposto será booked3. Custo Center: Se o imposto / carga é uma renda (como o transporte) ou despesa que precisa ser contabilizadas a um Custo Center.4. Descrição: Descrição do imposto (que será impresso nas faturas / cotações) .5. Taxa: Imposto rate.6. Quantidade: Imposto amount.7. Total: total acumulado a este point.8. Digite Row: Se com base em &quot;Total linha anterior&quot; você pode escolher o número da linha que será tomado como base para este cálculo (o padrão é a linha anterior) .9. É este imposto incluído na tarifa básica:? Se você verificar isso, significa que este imposto não será mostrado abaixo da tabela item, mas será incluída na taxa básica em sua mesa principal item. Isso é útil quando você quer dar um preço fixo (incluindo todos os impostos) preço aos clientes."
Start Date,Data de Início
Start Report For,Começar Relatório para
Start date of current invoice's period,Data de início do período de fatura atual
Starts on,Inicia em
Startup,Startup
State,Estado
State Name,Nome do Estado
States,Estados
Static Parameters,Parâmetros estáticos
Status,Estado
Status must be one of ,Estado deve ser um dos
Statutory info and other general information about your Supplier,Informações estatutárias e outras informações gerais sobre o seu Fornecedor
Stock,Estoque
Stock Ageing,Envelhecimento do Estoque
Stock Analytics,Análise do Estoque
Stock Balance,Balanço de Estoque
Stock Entry,Lançamento no Estoque
Stock Entry Detail,Detalhe do lançamento no Estoque
Stock Frozen Upto,Estoque congelado até
Stock Home,Início de Estoque
Stock Ledger,Livro de Inventário
Stock Ledger Entry,Lançamento do Livro de Inventário
Stock Level,Nível de Estoque
Stock Qty,Qtde. em Estoque
Stock Queue (FIFO),Fila do estoque (PEPS)
Stock Reconciliation,Reconciliação de Estoque
Stock Reconciliation file not uploaded,Arquivo da Reconciliação de Estoque não carregado
Stock UOM,UDM do Estoque
Stock UOM Replace Utility,Utilitário para Substituir UDM do Estoque
Stock Uom,UDM do Estoque
Stock Value,Valor do Estoque
"Stock level frozen up to this date, nobody can do / modify entry except authorized person","Nível de estoque congelado até a presente data, ninguém pode fazer / modificar um lançamento, exceto pessoal autorizado"
Stop,Pare
Stop users from making Leave Applications on following days.,Pare de usuários de fazer aplicações deixam nos dias seguintes.
Stopped,Parado
Structure cost centers for budgeting.,Estrutura dos centros de custo para orçamentação.
Structure of books of accounts.,Estrutura de livros de contas.
Style,Estilo
Style Settings,Configurações de Estilo
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Estilo representa a cor do botão: Sucesso - Verde, Perigo - Vermelho, Inverso - Preto, Primário - Azul Escuro, Informação - Azul Claro, Aviso - Laranja"
"Sub-currency. For e.g. ""Cent""",Sub-moeda. Por exemplo &quot;Centavo&quot;
Sub-domain provided by erpnext.com,Sub-domínio fornecido pelo erpnext.com
Subcontract,Subcontratar
Subdomain,Subdomínio
Subject,Assunto
Submit,Enviar
Submit Salary Slip,Enviar folha de pagamento
Submit all salary slips for the above selected criteria,Enviar todas as folhas de pagamento para os critérios acima selecionados
Submitted,Enviado
Success,Sucesso
Suggestion,Sugestão
Suggestions,Sugestões
Sunday,Domingo
Sunny,Ensolarado
Supplier,Fornecedor
Supplier (vendor) name as entered in supplier master,"Nome do fornecedor (vendedor), como inscritos no cadastro de fornecedores"
Supplier Address,Endereço do Fornecedor
Supplier Details,Detalhes do Fornecedor
Supplier Intro,Introdução do Fornecedor
Supplier Master created by ,Cadastro de Fornecedor criado por
Supplier Name,Nome do Fornecedor
Supplier Part Number,Número da peça do Fornecedor
Supplier Quotation,Cotação do Fornecedor
Supplier Quotation Item,Item da Cotação do Fornecedor
Supplier Reference,Referência do Fornecedor
Supplier Type,Tipo de Fornecedor
Supplier Warehouse,Almoxarifado do Fornecedor
Supplier classification.,Classificação do Fornecedor.
Supplier database.,Banco de dados do Fornecedor.
Supplier of Goods or Services.,Fornecedor de Bens ou Serviços.
Supplier warehouse where you have issued raw materials for sub - contracting,Almoxarifado do fornecedor onde você emitiu matérias-primas para a subcontratação
Supplier's currency,Moeda do Fornecedor
Support,Suporte
Support Analytics,Análise do Suporte
Support Email,E-mail de Suporte
Support Email Id,Endereço de E-mail de Suporte
Support Home,Início de Suporte
Support Password,Senha do Suporte
Support Ticket,Ticket de Suporte
Support Ticket Mail Settings,Configurações do E-mail de Tickets de Suporte
Support queries from customers via email or website.,Consultas ao Suporte de clientes via e-mail ou site.
Symbol,Símbolo
Sync Inbox,Sincronizar Caixa de Entrada
Sync Support Mails,Sincronizar E-mails de Suporte
System,Sistema
System Console,Console do Sistema
System Defaults,Padrões do Sistema
System User,Usuário do Sistema
"System User (login) ID. If set, it will become default for all HR forms.","Identificação do usuário do sistema (login). Se for marcado, ele vai se tornar padrão para todos os formulários de RH."
System generated mails will be sent from this email id.,E-mails gerados pelo sistema serão enviados a partir deste endereço de e-mail.
Table,Tabela
Table Field,Campo da Tabela
Table Mapper Detail,Detalhe do mapeamento da tabela
Table Mapper Details,Detalhes do mapeamento da tabela
Table for Item that will be shown in Web Site,Tabela para Item que será mostrado no site
Tag,Etiqueta
Tag Name,Nome da etiqueta
Tags,Etiquetas
Tahoma,Tahoma
Target,Meta
Target  Amount,Valor da meta
Target Detail,Detalhe da meta
Target Details,Detalhes da meta
Target Details1,Detalhes da meta
Target Distribution,Distribuição de metas
Target Qty,Qtde. de metas
Target Warehouse,Almoxarifado de destino
Task,Tarefa
Task Details,Detalhes da Tarefa
Task Id,ID da Tarefa
Task Name,Nome da Tarefa
Tasks,Tarefas
Tasks belonging to this Project.,Tarefas pertencentes a este projeto.
Tax,Imposto
Tax Amount,Valor do Imposto
Tax Calculation,Cálculo do Imposto
Tax Rate,Taxa de Imposto
Tax Template for Purchase,Modelo de Impostos para compra
Tax Template for Sales,Modelo de Impostos para vendas
Tax and other salary deductions.,Impostos e outras deduções salariais.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,Tabela de detalhes fiscal obtido a partir do cadastro de itens como uma string e armazenada neste field.Used dos Impostos e Encargos
Taxable,Tributável
Taxes,Impostos
Taxes and Charges,Impostos e Encargos
Taxes and Charges Added,Impostos e Encargos Adicionados
Taxes and Charges Added (Import),Impostos e Encargos Adicionados (Importação)
Taxes and Charges Calculation,Cálculo de Impostos e Encargos
Taxes and Charges Deducted,Impostos e Encargos Deduzidos
Taxes and Charges Deducted (Import),Impostos e Encargos Deduzidos (Importação)
Taxes and Charges Total,Total de Impostos e Encargos
Taxes and Charges Total*,Total de Impostos e Encargos*
Taxes and Charges1,Impostos e Encargos
Team Members,Membros da Equipe
Team Members Heading,Título da página Membros da Equipe
Template for employee performance appraisals.,Modelo para avaliação do desempenho dos funcionários.
Template of terms or contract.,Modelo de termos ou contratos.
Term Details,Detalhes dos Termos
Terms and Conditions,Termos e Condições
Terms and Conditions Content,Conteúdos dos Termos e Condições
Terms and Conditions Details,Detalhes dos Termos e Condições
Terms and Conditions HTML,Termos e Condições HTML
Terms and Conditions Template,Modelo de Termos e Condições
Terms and Conditions1,Termos e Condições
Territory,Território
Territory Manager,Gerenciador de Territórios
Territory Name,Nome do Território
Territory Targets,Metas do Território
TerritoryHelp,Ajuda do Território
Test,Teste
Test Data,Dados de Teste
Test Date,Data do Teste
Test Email Id,Endereço de Email de Teste
Test Link,Testar Link
Test Runner,Test Runner
Test Select,Selecione o Teste
Test Text,Texto de Teste
Test the Newsletter,Newsletter de Teste
Text,Texto
Text Align,Alinhar Texto
Text Editor,Editor de Texto
"The ""Web Page"" that is the website home page",A &quot;Página Web&quot; que é a página inicial do site
The BOM which will be replaced,A LDM que será substituída
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",O item que representa o pacote. Este item deve ter &quot;É Item de Estoque&quot; como &quot;Não&quot; e &quot;É Item de Venda&quot; como &quot;Sim&quot;
The account to which you will pay (have paid) the money to.,A conta para a qual você vai pagar (ou paguou) o dinheiro.
The date at which current entry is corrected in the system.,A data em que o lançamento atual é corrigido no sistema.
The date at which current entry is made in system.,A data em que o lançamento atual é feito no sistema.
The date at which current entry will get or has actually executed.,A data em que o lançamento atual vai ser ou foi realmente executado.
The date on which next invoice will be generated. It is generated on submit.,A data em que próxima fatura será gerada. Ele é gerado em enviar.
The date on which recurring invoice will be stop,A data em que fatura recorrente será interrompida
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","O dia do mês em que a fatura automática será gerada por exemplo, 05, 28, etc"
The gross weight of the package. Usually net weight + packaging material weight. (for print),O peso bruto do pacote. Normalmente peso líquido + peso do material de embalagem. (Para impressão)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,O nome da sua empresa / site da forma que você quer que apareça na barra de título do navegador. Todas as páginas vão ter isso como o prefixo para o título.
The net weight of this package. (calculated automatically as sum of net weight of items),O peso líquido do pacote. (Calculado automaticamente como soma do peso líquido dos itens)
The new BOM after replacement,A nova LDM após substituição
The rate at which Bill Currency is converted into company's base currency,A taxa na qual a moeda de faturamento é convertida na moeda base da empresa
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","O sistema fornece funções pré-definidas, mas você pode <a href='#List/Role'>adicionar novas funções</a> para estabelecer as permissões mais precisas"
The unique id for tracking all recurring invoices. It is generated on submit.,O ID único para acompanhar todas as faturas recorrentes. Ele é gerado ao enviar.
Theme,Tema
Then By (optional),"Em seguida, por (opcional)"
These properties are Link Type fields from all Documents.,Estas propriedades são campos do tipo ligação de todos os documentos.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Essas propriedades também podem ser usados ​​para &quot;atribuir&quot; um documento específico, cuja propriedade coincide com a propriedade do usuário para um usuário. Estas podem ser definidas usando o <a href='#permission-manager'>Gerenciador de Permissão</a>"
These properties will appear as values in forms that contain them.,Estas propriedades aparecerão como valores em formulários que as contêm.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Esses valores serão atualizados automaticamente em transações e também serão úteis para restringir as permissões para este usuário em operações que contenham esses valores.
"This Item Group represents ""products.html""",Este Grupo de Itens representa &quot;produtos.html&quot;
This Price List will be selected as default for all Customers under this Group.,Esta lista de preços será selecionado como padrão para todos os clientes sob este grupo.
This currency will get fetched in Purchase transactions of this supplier,Essa moeda vai ser buscada em transações de compra deste fornecedor
This currency will get fetched in Sales transactions of this customer,Essa moeda vai ser buscada em transações de vendas deste cliente
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge With"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.","Este recurso é para a fusão almoxarifados duplicados. Ele irá substituir todos os links deste almoxarifado pelos do almoxarifado &quot;Mesclar Com&quot;. Após a fusão você pode excluir este almoxarifado, pois o nível de estoque para este almoxarifado vai ser zero."
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,Este campo só aparece se o nome do campo definido aqui tem valor ou as regras são verdadeiras (exemplos): <br> myfieldeval: doc.myfield == &#39;o meu valor&#39; <br> eval: doc.age&gt; 18
This goes above the slideshow.,Isto vai acima do slideshow.
This is PERMANENT action and you cannot undo. Continue?,Esta é uma ação PERMANENTE e não pode ser desfeita. Continuar?
This is an auto generated Material Request.,Este é um auto solicitar material gerado.
This is permanent action and you cannot undo. Continue?,Esta é uma ação PERMANENTE e não pode ser desfeita. Continuar?
This is the number of the last created transaction with this prefix,Este é o número da última transação criada com este prefixo
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Esta ferramenta ajuda a atualizar ou corrigir a quantidade e a valorização do estoque no sistema. Ela é geralmente usada para sincronizar os valores do sistema e o que realmente existe em seus almoxarifados.
This will be used for setting rule in HR module,Isso será usado para a definição de regras no módulo RH
Thread HTML,Tópico HTML
Thursday,Quinta-feira
Time,Tempo
Time Zone,Fuso horário
Time Zones,Fusos horários
Time and Budget,Tempo e Orçamento
Time at which items were delivered from warehouse,Horário em que os itens foram entregues do almoxarifado
Time at which materials were received,Horário em que os materiais foram recebidos
Timesheet,Quadro de Horários
Timesheet By,Quadro de Horários Por
Timesheet Date,Data do Quadro de Horários
Timesheet Detail,Detalhe do Quadro de Horários
Timesheet Details,Detalhes do Quadro de Horários
Timesheet for tasks.,Quadro de Horários para as tarefas.
Title,Título
Title / headline of your page,Título / chamada da sua página
Title Case,Caixa do Título
Title Prefix,Prefixo do Título
To,Para
To Date,Até a Data
To Discuss,Para Discutir
To Do,Lista de Tarefas
To Do List,Para fazer a lista
To DocType,Para DocType
To Field,Para Campo
To PR Date,Data de PR
To Package No.,Para Pacote Nº.
To Reply,Para Responder
To Table,Para Tabela
To Warehouse,Para Almoxarifado
"To add a tag, open the document and click on ""Add Tag"" on the sidebar","Para adicionar uma etiqueta, abra o documento e clique em &quot;Adicionar Etiqueta&quot; na barra lateral"
"To assign this issue, use the ""Assign"" button in the sidebar.","Para atribuir esse problema a alguém, use o botão &quot;Atribuir&quot; na barra lateral."
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.","Para criar automaticamente Tickets de Suporte a partir da sua caixa de entrada, defina as configurações de POP3 aqui. Você deve, idealmente, criar um E-mail separado para o Sistema ERP para que todas as mensagens sejam sincronizadas com o sistema a partir daquele E-mail. Se você não tiver certeza, entre em contato com seu provedor de e-mail."
"To create Quotation against Opportunity, Select Opportunity No. and click on 'Pull Opportunity Details' ","Para criar uma Cotação para uma Oportunidade, selecione o Nº da Oportunidade e clique em &#39;Obter Detalhes da Oportunidade&quot;"
"To create an Account Head under a different company, select the company and save customer.","Para criar uma Conta, sob uma empresa diferente, selecione a empresa e salve o Cliente."
To enable <b>Point of Sale</b> features,Para habilitar as características de <b>Ponto de Venda</b> 
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.","Para buscar itens novamente, clique em &quot;Obter itens &#39;botão \ ou atualizar a quantidade manualmente."
"To format columns, give column labels in the query.","Para formatar colunas, dar rótulos de coluna na consulta."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Para restringir ainda mais as permissões com base em determinados valores em um documento, use as definições de &#39;Condição&#39;."
To get Item Group in details table,Para obter Grupo de Itens na tabela de detalhes
"To import attendance data, click on ""Add"" button, select the saved CSV file and click on ""Upload"".Select the date format as attendance date format in CSV file.Click on ""Import"".","Para importar dados de atendimento, clique no botão &quot;Adicionar&quot;, selecione o arquivo CSV salvo e clique em &quot;Upload&quot;. Selecione o formato de data no formato de data em atendimento CSV file.Click em &quot;Importar&quot;."
To manage multiple series please go to Setup > Manage Series,"Para gerenciar várias séries por favor, vá para Configuração &gt; Gerenciar Séries"
To restrict a User of a particular Role to documents that are explicitly assigned to them,Para restringir um usuário de uma função a documentos que são explicitamente atribuídos a ele
To restrict a User of a particular Role to documents that are only self-created.,Para restringir um usuário de uma função a apenas documentos que ele próprio criou.
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Para definir funções ao usuário, basta ir a <a href='#List/Profile'>Configuração&gt; Usuários</a> e clicar sobre o usuário para atribuir funções."
To track any installation or commissioning related work after sales,Para rastrear qualquer trabalho relacionado à instalação ou colocação em funcionamento após a venda
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","Para acompanhar marca nos seguintes documentos <br> Nota de Entrega, Enuiry, solicitar material, Item, Ordem de Compra, comprovante de compra, recebimento Comprador, cotação, nota fiscal de venda, BOM Vendas, Ordem de Vendas, N º de Série"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,Para acompanhar o item em documentos de vendas e de compras com base em seus números de série. Isso também pode ser usado para rastrear detalhes sobre a garantia do produto.
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,"Para controlar os itens de vendas e documentos de compra pelo nº do lote<br> <b>Por Ex.: Indústria Química, etc</b>"
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,Para rastrear itens usando código de barras. Você será capaz de inserir itens na Guia de Remessa e Nota Fiscal de Venda através do escaneamento do código de barras do item.
"To update your HTML from attachment, click here","Para atualizar seu código HTML a partir do anexo, clique aqui"
ToDo,Lista de Tarefas
Tools,Ferramentas
Top Bar,Barra Superior
Top Bar Background,Fundo da barra superior
Top Bar Item,Item da barra superior
Top Bar Items,Itens da barra superior
Total,Total
Total (sum of) points distribution for all goals should be 100.,Total (soma) da distribuição de pontos para todos os objetivos deve ser 100.
Total +Tax,Total + Impostos
Total Advance,Antecipação Total
Total Amount,Valor Total
Total Amount To Pay,Valor total a pagar
Total Amount in Words,Valor Total por extenso
Total Claimed Amount,Montante Total Requerido
Total Commission,Total da Comissão
Total Cost,Custo Total
Total Credit,Crédito Total
Total Debit,Débito Total
Total Deduction,Dedução Total
Total Earning,Total de Ganhos
Total Experience,Experiência total
Total Hours (Actual),Total de Horas (Real)
Total Hours (Expected),Total de Horas (Esperado)
Total Invoiced Amount,Valor Total Faturado
Total Leave Days,Total de dias de licença
Total Leaves Allocated,Total de licenças alocadas
Total Operating Cost,Custo de Operacional Total
Total Points,Total de pontos
Total Raw Material Cost,Custo Total das matérias-primas
Total SMS Sent,Total de SMS enviados
Total Sanctioned Amount,Valor Total Sancionado
Total Score (Out of 5),Pontuação total (sobre 5)
Total Tax,Total de Impostos
Total Tax Amount,Valor Total do Imposto
Total Tax*,Total de Impostos*
Total Taxes and Charges,Total de Impostos e Encargos
Total days in month,Total de dias no mês
Total in words,Total por extenso
Totals,Totais
Track Quotations received from Suppliers.,Acompanhar cotações recebidos dos fornecedores.
Track separate Income and Expense for product verticals or divisions.,Acompanhar Receitas e Gastos separados para produtos verticais ou divisões.
Track this Delivery Note against any Project,Acompanhar este Guia de Remessa contra qualquer projeto
Track this Sales Invoice against any Project,Acompanhar esta Nota Fiscal de Venda contra qualquer projeto
Track this Sales Order against any Project,Acompanhar este Ordem de Venda contra qualquer projeto
Transaction,Transação
Transaction Date,Data da Transação
Transfer,Transferir
Transfer stock from one warehouse to another.,Transferir o estoque de um almoxarifado para outro.
Transition Rules,Regras de transição
Transporter Info,Informações da Transportadora
Transporter Name,Nome da Transportadora
Transporter lorry number,Número do caminhão da Transportadora
Trash,Lixo
Trash Control,Controle de lixo
Trash Reason,Razão de pôr no lixo
Tree of item classification,Árvore de classificação de itens
Trend Analyzer,Analisador de tendência
Trend Analyzer Control,Controle do Analisador de tendência
Trial Balance,Balancete
Tropic,Trópico
Tuesday,Terça-feira
Tweet will be shared via your user account (if specified),Tweet serão compartilhados através da sua conta de usuário (se especificado)
Twitter Share,Compartilhar Twitter
Twitter Share via,Twitter Partilhar através do
Type,Tipo
Type of employment master.,Tipo de cadastro de emprego.
"Type of leaves like casual, sick etc.","Tipo de licenças como casual, doença, etc."
Types of Expense Claim.,Tipos de reembolso de despesas.
Types of activities for Time Sheets,Tipos de atividades para quadro de horários
Types of warehouse,Tipos de almoxarifado
UOM,UDM
UOM Conversion Detail,Detalhe da Conversão de UDM
UOM Conversion Details,Detalhes da Conversão de UDM
UOM Conversion Factor,Fator de Conversão da UDM
UOM Details,Detalhes da UDM
UOM Name,Nome da UDM
UOM Replace Utility,Utilitário para Substituir UDM
UPPER CASE,MAIÚSCULAS
URL,URL
Unable to complete request: ,Não foi possível concluir pedido:
Under AMC,Sob CAM
Under Graduate,Em Graduação
Under Section,Segundo a Seção
Under Warranty,Sob Garantia
Unit of Measure,Unidade de Medida
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).","Unidade de medida do item (por exemplo: kg, unidade, nº, par)."
Units/Hour,Unidades/hora
Units/Shifts,Unidades/Turnos
Unmatched Amount,Quantidade incomparável
Unread Messages,Mensagens não lidas
Unscheduled,Sem agendamento
Unsubscribe,Cancelar Inscrição
Unsubscribed,Inscrição Cancelada
Update,Atualizar
Update Clearance Date,Atualizar Data Liquidação
Update Delivery Date,Atualizar Data de Entrega
Update Field,Atualizar Campo
Update PR,Atualizar PR
Update Sales Order,Atualizar Ordem de Venda
Update Series,Atualizar Séries
Update Series Number,Atualizar Números de Séries
Update Stock,Atualizar Estoque
Update Value,Atualizar Valor
"Update allocated amount in the above table and then click ""Allocate"" button",Atualize o montante atribuído na tabela acima e clique no botão &quot;Alocar&quot;
Update bank payment dates with journals.,Atualizar datas de pagamento bancário com livro Diário.
Updates,Atualizações
Updates HTML,Atualizações HTML
Upload Attachment,Carregar anexos
Upload Attendance Data,Carregar dados de comparecimento
Upload HTML,Carregar HTML
Upload a file,Carregar um arquivo
Upload attendance,Carregar comparecimento
Upload attendance from a .csv file,Carregar comparecimento a partir de um arquivo CSV.
Upload stock balance via csv.,Carregar saldo de estoque a partir de um arquivo CSV.
Upper Income,Renda superior
Urgent,Urgente
Use Multi-Level BOM,Utilize LDM de Vários Níveis
Use SSL,Use SSL
User,Usuário
User Cannot Create,O Usuário não pode criar
User Cannot Search,O Usuário não pode pesquisar
User ID,ID de Usuário
User Image,Imagem do Usuário
User Name,Nome de Usuário
User Properties,Propriedades do Usuário
User Remark,Observação do Usuário
User Remark will be added to Auto Remark,Observação do usuário será adicionado à observação automática
User Tags,Etiquetas de Usuários
User Type,Tipo de Usuário
User must always select,O Usuário deve sempre selecionar
User not allowed entry in the Warehouse,Entrada do usuário não é permitido no Armazém
UserRole,Função do Usuário
Username,Nome do Usuário
Users,Usuários
Users Voted,Votos de usuários
Users with this role are allowed to do / modify accounting entry before frozen date,Usuários com esta função estão autorizados a fazer / modificar lançamentos de contabilidade antes da data de congelamento
Users with this role are allowed to do / modify stock entry before frozen date,Usuários com esta função estão autorizados a fazer / modificar lançamentos de material no estoque antes da data de congelamento
Utilities,Utilitários
Utility,Utilitário
Valid Upto,Válido até
Validation Logic,Lógica de Validação
Valuation,Avaliação
Valuation Control,Controle de Avaliação
Valuation Method,Método de Avaliação
Valuation Rate,Taxa de Avaliação
Valuation and Total,Avaliação e Total
Value,Valor
Verdana,Verdana
Verified By,Verificado Por
Visit,Visita
Visit report for maintenance call.,Relatório da visita da chamada de manutenção.
Voucher Detail No,Nº do Detalhe do comprovante
Voucher ID,ID do Comprovante
Voucher Import Tool,Ferramenta de Importação de comprovantes
Voucher No,Nº do comprovante
Voucher Type,Tipo de comprovante
WIP Monitor,Monitor do WIP
Waiting for Customer,À espera de Cliente
Walk In,Walk In
Warehouse,Almoxarifado
Warehouse Contact Info,Informações de Contato do Almoxarifado
Warehouse Detail,Detalhe do Almoxarifado
Warehouse Name,Nome do Almoxarifado
Warehouse Type,Tipo de Almoxarifado
Warehouse User,Usuário Armazém
Warehouse Users,Usuários do Warehouse
Warehouse where you are maintaining stock of rejected items,Almoxarifado onde você está mantendo estoque de itens rejeitados
Warehouse-wise Item Reorder,Armazém-sábio item Reordenar
Warn,Avisar
Warning,Aviso
Warning: Leave application contains following block dates,Aviso: pedido de férias contém as datas de blocos seguintes
Warranty / AMC Details,Garantia / Detalhes do CAM
Warranty / AMC Status,Garantia / Estado do CAM
Warranty Expiry Date,Data de validade da garantia
Warranty Period (Days),Período de Garantia (Dias)
Warranty Period (in days),Período de Garantia (em dias)
Web Content,Conteúdo da Web
Web Page,Página Web
Webforms,Formulários Web
Website,Site
Website Description,Descrição do site
Website Home,Página Inicial do Site
Website Item Group,Grupo de Itens do site
Website Item Groups,Grupos de Itens do site
Website Overall Settings,Configurações gerais do site
Website Price List,Lista de Preços do site
Website Product Categories,Categorias de Produto do site
Website Product Category,Categoria de Produto do site
Website Script,Script do site
