 (Half Day),(Полудневни)
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Стандардна пореска шаблон који се може применити на све продајне трансакције. Овај шаблон могу да садрже списак пореских глава и осталих трошковима / приход главе попут &quot;бродарства&quot;, &quot;осигурање&quot;, &quot;руковање&quot; итд # # # # НотеТхе пореска стопа сте овде дефинишете ће бити стандардна стопа пореза за све јединице ** **. Ако постоје ** ** Ставке које имају различите цене, морају се додати у ** ** артикла порезу табеле у ** ** мастер тачке # # # #. Опис Цолумнс1. Обрачун Тип: - Ово може да буде на ** Нето Укупно ** (која је збир основног износа). - ** На претходни ред Укупно / Износ ** (за кумулативног пореза или такси). Ако изаберете ову опцију, порез ће бити примењен као проценат претходни ред (у пореском табели) износ или тотална. - ** ** Сунце (као што је поменуто) .2. Рачун Шеф: Рачун главне књиге под којим је овај порез ће бити боокед3. Цост Центар: Ако порески / задужење приход (као испоруку) или расход треба да буде резервисана против Цост Центер.4. Опис: Опис пореза (који ће бити штампан у фактурама / котације) .5. Рате: Пореска рате.6. Износ: Пореска амоунт.7. Укупно: Кумулативна укупна овом поинт.8. Унесите ред: Ако заснована на &quot;Претходни ред Укупно&quot; можете изабрати број редова који ће бити узети као основа за овај обрачун (дефаулт је претходни ред) .9. Да ли је то такса у Основном Рате: Ако проверите ово, то значи да ова такса неће бити приказан испод ставке табеле, али ће бити укључени у Основном стопе у вашем главном тачком табели. Ово је корисно којој желите дати раван цену (укључујући све таксе) цену купцима."
Start Date,Датум почетка
Start Report For,Почетак ИЗВЕШТАЈ ЗА
Start date of current invoice's period,Почетак датум периода текуће фактуре за
Starts on,Почиње на
Startup,Покретање
State,Држава
States,Државе
Static Parameters,Статички параметри
Status,Статус
Status must be one of ,Стање мора бити један од
Status should be Submitted,Статус треба да се поднесе
Statutory info and other general information about your Supplier,Статутарна инфо и друге опште информације о вашем добављачу
Stock,Залиха
Stock Adjustment Account,Стоцк Подешавање налога
Stock Adjustment Cost Center,Залиха Подешавање трошковних центара
Stock Ageing,Берза Старење
Stock Analytics,Стоцк Аналитика
Stock Balance,Берза Биланс
Stock Entry,Берза Ступање
Stock Entry Detail,Берза Унос Детаљ
Stock Frozen Upto,Берза Фрозен Упто
Stock In Hand Account,Залиха Ин Ханд налог
Stock Ledger,Берза Леџер
Stock Ledger Entry,Берза Леџер Ентри
Stock Level,Берза Ниво
Stock Qty,Берза Кол
Stock Queue (FIFO),Берза Куеуе (ФИФО)
Stock Received But Not Billed,Залиха примљена Али не наплати
Stock Reconciliation,Берза помирење
Stock Reconciliation file not uploaded,Берза Помирење фајл не уплоадед
Stock Settings,Стоцк Подешавања
Stock UOM,Берза УОМ
Stock UOM Replace Utility,Берза УОМ Замени комунално
Stock Uom,Берза УОМ
Stock Value,Вредност акције
Stock Value Difference,Вредност акције Разлика
Stop,Стоп
Stop users from making Leave Applications on following days.,Стоп кориснике од доношења Леаве апликација на наредним данима.
Stopped,Заустављен
Structure cost centers for budgeting.,Структура трошкова центара за буџетирање.
Structure of books of accounts.,Структура књигама.
Style,Стил
Style Settings,Стиле Подешавања
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Стил представља дугме боју: Успех - зелени, опасности - Црвена, Инверсе - црна, Примарни - Тамно Плава, Инфо - светло плава, Упозорење - Оранге"
"Sub-currency. For e.g. ""Cent""",Под-валута. За пример &quot;цент&quot;
Sub-domain provided by erpnext.com,Под-домена пружају ерпнект.цом
Subcontract,Подуговор
Subdomain,Поддомен
Subject,Предмет
Submit,Поднети
Submit Salary Slip,Пошаљи Слип платама
Submit all salary slips for the above selected criteria,Доставе све рачуне плата за горе наведене изабраним критеријумима
Submitted,Поднет
Submitted Record cannot be deleted,Послао Снимање не може да се избрише
Subsidiary,Подружница
Success,Успех
Successful: ,Успешно:
Suggestion,Сугестија
Suggestions,Предлози
Sunday,Недеља
Supplier,Добављач
Supplier (Payable) Account,Добављач (наплаћује се) налог
Supplier (vendor) name as entered in supplier master,"Добављач (продавац), име као ушао у добављача мастер"
Supplier Account Head,Снабдевач рачуна Хеад
Supplier Address,Снабдевач Адреса
Supplier Details,Добављачи Детаљи
Supplier Intro,Снабдевач Интро
Supplier Invoice Date,Датум фактуре добављача
Supplier Invoice No,Снабдевач фактура бр
Supplier Name,Снабдевач Име
Supplier Naming By,Добављач назив под
Supplier Part Number,Снабдевач Број дела
Supplier Quotation,Снабдевач Понуда
Supplier Quotation Item,Снабдевач Понуда шифра
Supplier Reference,Снабдевач Референтна
Supplier Shipment Date,Снабдевач датума пошиљке
Supplier Shipment No,Снабдевач пошиљке Нема
Supplier Type,Снабдевач Тип
Supplier Warehouse,Снабдевач Магацин
Supplier Warehouse mandatory subcontracted purchase receipt,Добављач Магацин обавезно подизвођење рачуном
Supplier classification.,Снабдевач класификација.
Supplier database.,Снабдевач базе података.
Supplier of Goods or Services.,Добављач робе или услуга.
Supplier warehouse where you have issued raw materials for sub - contracting,Добављач складиште где сте издали сировине за под - уговарање
Supplier's currency,Добављача валута
Support,Подршка
Support Analytics,Подршка Аналитика
Support Email,Подршка Емаил
Support Email Id,Подршка Ид Емаил
Support Password,Подршка Лозинка
Support Ticket,Подршка улазница
Support queries from customers.,Подршка упите од купаца.
Symbol,Симбол
Sync Inbox,Синц инбок
Sync Support Mails,Синхронизација маилова подршке
Sync with Dropbox,Синхронизација са Дропбок
Sync with Google Drive,Синхронизација са Гоогле Дриве
System,Систем
System Defaults,Системски Дефаултс
System Settings,Систем Сеттингс
System User,Систем Корисник
"System User (login) ID. If set, it will become default for all HR forms.","Систем Корисник (пријављивање) ИД. Ако се постави, она ће постати стандардна за све ХР облицима."
System for managing Backups,Систем за управљање копије
System generated mails will be sent from this email id.,Систем генерише маилове ће бити послата из овог Емаил ИД.
TL-,ТЛ-
TLB-,ТЛБ-
Table,Табела
Table for Item that will be shown in Web Site,Табела за тачке које ће бити приказане у Веб Сите
Tag,Надимак
Tag Name,Ознака Назив
Tags,Тагс:
Tahoma,Тахома
Target,Мета
Target  Amount,Циљна Износ
Target Detail,Циљна Детаљ
Target Details,Циљне Детаљи
Target Details1,Циљна Детаилс1
Target Distribution,Циљна Дистрибуција
Target Qty,Циљна Кол
Target Warehouse,Циљна Магацин
Task,Задатак
Task Details,Задатак Детаљи
Tax,Порез
Tax Calculation,Обрачун пореза
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,Пореска категорија не може бити &quot;Вредновање&quot; или &quot;Процена и Тотал&quot; и сви производи без залихама
Tax Master,Пореска Мастер
Tax Rate,Пореска стопа
Tax Template for Purchase,Пореска Шаблон за куповину
Tax Template for Sales,Пореска Шаблон за продају
Tax and other salary deductions.,Порески и други плата одбитака.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,Пореска детаљ сто добављају тачка мајстора као стринг и складишти у овом фиелд.Усед за порезе и таксе
Taxable,Опорезиви
Taxes,Порези
Taxes and Charges,Порези и накнаде
Taxes and Charges Added,Порези и накнаде додавања
Taxes and Charges Added (Company Currency),Порези и накнаде додавања (Друштво валута)
Taxes and Charges Calculation,Порези и накнаде израчунавање
Taxes and Charges Deducted,Порези и накнаде одузима
Taxes and Charges Deducted (Company Currency),Порези и накнаде одузима (Друштво валута)
Taxes and Charges Total,Порези и накнаде Тотал
Taxes and Charges Total (Company Currency),Порези и накнаде Укупно (Друштво валута)
Taxes and Charges1,Порези и Цхаргес1
Team Members,Чланови тима
Team Members Heading,Чланови тима Хеадинг
Template for employee performance appraisals.,Шаблон за процене запослених перформансама.
Template of terms or contract.,Предложак термина или уговору.
Term Details,Орочена Детаљи
Terms and Conditions,Услови
Terms and Conditions Content,Услови коришћења садржаја
Terms and Conditions Details,Услови Детаљи
Terms and Conditions Template,Услови коришћења шаблона
Terms and Conditions1,Услови и Цондитионс1
Territory,Територија
Territory Manager,Територија Менаџер
Territory Name,Територија Име
Territory Target Variance (Item Group-Wise),Територија Циљна Варијанса (тачка група-Висе)
Territory Targets,Територија Мете
Test,Тест
Test Email Id,Тест маил Ид
Test Runner,Тест Руннер
Test the Newsletter,Тестирајте билтен
Text,Текст
Text Align,Текст Поравнај
Text Editor,Текст Уредник
"The ""Web Page"" that is the website home page",&quot;Веб страница&quot; који је сајт хоме паге
The BOM which will be replaced,БОМ који ће бити замењен
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",Ставка која представља пакет. Ова тачка мора да &quot;Зар берза Ставка&quot; као &quot;не&quot; и &quot;Да ли је продаје тачка&quot; као &quot;Да&quot;
The date at which current entry is made in system.,Датум на који је тренутни унос направљен у систему.
The date at which current entry will get or has actually executed.,Датум на који тренутна ставка ће добити или је стварно извршена.
The date on which next invoice will be generated. It is generated on submit.,Датум када ће следећи рачун бити генерисан. Генерише се на субмит.
The date on which recurring invoice will be stop,Датум на који се понавља фактура ће бити зауставити
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","Дан у месецу за који ће аутоматски бити генерисан фактура нпр 05, 28 итд"
The first Leave Approver in the list will be set as the default Leave Approver,Први одсуство одобраватељ на листи ће бити постављен као подразумевани Аппровер Леаве
The gross weight of the package. Usually net weight + packaging material weight. (for print),Бруто тежина пакета. Обично нето тежина + амбалаже тежина. (За штампу)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,"Име ваше компаније / сајту, као да желите да се појави на траци прегледача насловној. Све странице ће имати ово као префикс за титулу."
The net weight of this package. (calculated automatically as sum of net weight of items),Нето тежина овог пакета. (Израчунава аутоматски као збир нето тежине предмета)
The new BOM after replacement,Нови БОМ након замене
The rate at which Bill Currency is converted into company's base currency,Стопа по којој је Бил валута претвара у основну валуту компаније
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","Систем обезбеђује унапред дефинисане улоге, али можете <a href='#List/Role'>додати нове улоге</a> да поставите дозволе финијим"
The unique id for tracking all recurring invoices. It is generated on submit.,Стеам ИД за праћење свих понавља фактуре. Генерише се на субмит.
Then By (optional),Затим (опционо)
These properties are Link Type fields from all Documents.,Ове особине су Линк Тип поља из свих докумената.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Ове особине могу се користити за &quot;доделили&quot; посебан документ, чија имовина поклапа са имовином Корисника кориснику. Ово се може подесити помоћу <a href='#permission-manager'>Дозвола Манагер</a>"
These properties will appear as values in forms that contain them.,Ове особине ће се појавити као вредности у облицима који их садрже.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Ове вредности ће бити аутоматски ажурирају у трансакцијама и такође ће бити корисно да ограничите дозволе за овог корисника о трансакцијама садрже ове вредности.
This Price List will be selected as default for all Customers under this Group.,Овај Ценовник ће бити изабран као подразумевани за све купце из ове групе.
This Time Log Batch has been billed.,Ово време Пријава Групно је наплаћена.
This Time Log Batch has been cancelled.,Ово време Пријава серија је отказана.
This Time Log conflicts with,Овај пут Лог сукоби са
This account will be used to maintain value of available stock,Овај налог ће се користити за одржавање вредности расположивих залиха
This currency will get fetched in Purchase transactions of this supplier,Ова валута ће се преузета у куповних трансакција овог добављача
This currency will get fetched in Sales transactions of this customer,Ова валута ће се преузета у купопродајним трансакцијама овог корисника
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge Into"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.","Ова функција је за спајање дупликате складишта. Он ће заменити све везе овог магацина по &quot;обједињене у&quot; складиште. Након спајања можете да избришете ово складиште, као што ће ниво залиха овог складишта бити нула."
This feature is only applicable to self hosted instances,Ова функција је само за себе хостује случајевима
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,Ово поље ће се појавити само ако имепоља дефинисан овде има вредност ИЛИ правила су истина (примери): <br> мифиелдевал: доц.мифиелд == &#39;Мој Вредност&#39; <br> евал: доц.аге&gt; 18
This goes above the slideshow.,Ово иде изнад слајдова.
This is PERMANENT action and you cannot undo. Continue?,То је стална акција и не можете да опозовете. Наставити?
This is an auto generated Material Request.,Ово је аутоматски генерисан Материјал захтев.
This is permanent action and you cannot undo. Continue?,То је стална акција и не можете да опозовете. Наставити?
This is the number of the last created transaction with this prefix,То је број последње створеног трансакције са овим префиксом
This message goes away after you create your first customer.,Ова порука нестаје након што креирате свој први купац.
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Ова алатка вам помаже да ажурирате или поправити количину и вредновање залиха у систему. Обично се користи за синхронизацију вредности система и шта се заправо постоји у вашим складиштима.
This will be used for setting rule in HR module,Ово ће се користити за постављање правила у ХР модулу
Thread HTML,Тема ХТМЛ
Thursday,Четвртак
Time,Време
Time Log,Време Лог
Time Log Batch,Време Лог Групно
Time Log Batch Detail,Време Лог Групно Детаљ
Time Log Batch Details,Тиме Лог Батцх Детаљније
Time Log Batch status must be 'Submitted',Време Пријава Групно статус мора &#39;Поднет&#39;
Time Log Status must be Submitted.,Време Пријава статус мора да се поднесе.
Time Log for tasks.,Време Пријава за задатке.
Time Log is not billable,Време Пријава није Наплативо
Time Log must have status 'Submitted',Време Пријава мора имати статус &#39;Послао&#39;
Time Zone,Временска зона
Time Zones,Тиме зоне
Time and Budget,Време и буџет
Time at which items were delivered from warehouse,Време у коме су ставке испоручено из магацина
Time at which materials were received,Време у коме су примљене материјали
Title,Наслов
Title / headline of your page,Наслов / наслов странице
Title Case,Наслов Случај
Title Prefix,Наслов Префикс
To,До
To Currency,Валутном
To Date,За датум
To Discuss,Да Дисцусс
To Do,Да ли
To Do List,То до лист
To PR Date,За ПР Дате
To Package No.,За Пакет број
To Reply,Да Одговор
To Time,За време
To Value,Да вредност
To Warehouse,Да Варехоусе
"To add a tag, open the document and click on ""Add Tag"" on the sidebar","Да бисте додали ознаку, отворите документ и кликните на &quot;Додај ознаку&quot; на сидебар"
"To assign this issue, use the ""Assign"" button in the sidebar.","Да бисте доделили овај проблем, користите &quot;Ассигн&quot; дугме у сидебар."
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.","Да бисте аутоматски креирали Улазнице за подршку из долазне поште, подесите овде своје ПОП3 поставке. Ви идеално да направите посебан ИД емаил за ЕРП систем, тако да се сви емаил-ови ће бити синхронизован на систем из тог маил ид. Ако нисте сигурни, обратите се свом Провидер ЕМаил."
"To create an Account Head under a different company, select the company and save customer.","Да бисте направили шефа налога под различитим компаније, изаберите компанију и сачувајте купца."
To enable <b>Point of Sale</b> features,Да бисте омогућили <b>Поинт оф Сале</b> функција
To enable more currencies go to Setup > Currency,Да бисте омогућили још валуте идите на Подешавања&gt; Валуте
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.","Да донесе ставке поново, кликните на &quot;Гет ставке&quot; дугме \ или ажурирате ручно количину."
"To format columns, give column labels in the query.","Да бисте обликовали колоне, дај ознаке колона у упиту."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Да би се даље ограничавају дозволе на основу одређених вредности у документу, користите &quot;Стање&quot; подешавања."
To get Item Group in details table,Да бисте добили групу ставка у табели детаљније
To manage multiple series please go to Setup > Manage Series,Да бисте управљали више серију идите на Сетуп&gt; Управљање Сериес
To restrict a User of a particular Role to documents that are explicitly assigned to them,Да бисте ограничили корисник посебну улогу у документима који су експлицитно додељене на њих
To restrict a User of a particular Role to documents that are only self-created.,Да бисте ограничили корисник посебну улогу у документима које су само себи створио.
"To set reorder level, item must be Purchase Item","Да бисте променили редослед ниво, јединица мора бити Куповина шифра"
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Да бисте поставили улоге корисника, само идите на <a href='#List/Profile'>Подешавање корисника&gt;</a> и кликните на корисника да доделите улоге."
To track any installation or commissioning related work after sales,Да бисте пратили сваку инсталацију или пуштање у вези рада након продаје
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","Да бисте пратили име бренда у следећим документима <br> Испорука Напомена, Енуири, Материјал захтев, тачка, наруџбенице, куповина ваучера, Купац пријем, понуде, продаје Рачун, продаје БОМ, Продаја Наручите, Серијски бр"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,Да бисте пратили ставку у продаји и куповини докумената на основу њихових серијских бр. Ово се такође може користити за праћење детаље гаранције производа.
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,Да бисте пратили ставке у продаји и куповини докумената са батцх бр <br> <b>Жељена индустрија: хемикалије итд</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,Да бисте пратили ставки помоћу баркод. Моћи ћете да унесете ставке у испоруци напомени и продаје фактуру за скенирање баркода на ставке.
ToDo,ТоДо
Tools,Алат
Top,Топ
Top Bar,Топ Бар
Top Bar Background,Топ Бар Позадина
Top Bar Item,Топ Бар шифра
Top Bar Items,Топ Бар Артикли
Top Bar Text,Топ Бар Текст
Top Bar text and background is same color. Please change.,Топ Бар текста и позадине је иста боја. Молимо Вас да промените.
Total,Укупан
Total (sum of) points distribution for all goals should be 100.,Укупно (збир) поена дистрибуције за све циљеве треба да буде 100.
Total Advance,Укупно Адванце
Total Amount,Укупан износ
Total Amount To Pay,Укупан износ за исплату
Total Amount in Words,Укупан износ у речи
Total Billing This Year: ,Укупна наплата ове године:
Total Claimed Amount,Укупан износ полаже
Total Commission,Укупно Комисија
Total Cost,Укупни трошкови
Total Credit,Укупна кредитна
Total Debit,Укупно задуживање
Total Deduction,Укупно Одбитак
Total Earning,Укупна Зарада
Total Experience,Укупно Искуство
Total Hours,Укупно време
Total Hours (Expected),Укупно часова (очекивано)
Total Invoiced Amount,Укупан износ Фактурисани
Total Leave Days,Укупно ЛЕАВЕ Дана
Total Leaves Allocated,Укупно Лишће Издвојена
Total Operating Cost,Укупни оперативни трошкови
Total Points,Тотал Поинтс
Total Raw Material Cost,Укупни трошкови сировине
Total SMS Sent,Укупно СМС Сент
Total Sanctioned Amount,Укупан износ санкционисан
Total Score (Out of 5),Укупна оцена (Оут оф 5)
Total Tax (Company Currency),Укупан порески (Друштво валута)
Total Taxes and Charges,Укупно Порези и накнаде
Total Taxes and Charges (Company Currency),Укупни порези и таксе (Друштво валута)
Total Working Days In The Month,Укупно радних дана у месецу
Total amount of invoices received from suppliers during the digest period,Укупан износ примљених рачуна од добављача током периода дигест
Total amount of invoices sent to the customer during the digest period,Укупан износ фактура шаље купцу у току периода дигест
Total in words,Укупно у речима
Total production order qty for item,Укупна производња поручивање за ставку
Totals,Укупно
Track separate Income and Expense for product verticals or divisions.,Пратите посебан приходи и расходи за производ вертикала или подела.
Track this Delivery Note against any Project,Прати ову напомену Испорука против било ког пројекта
Track this Sales Invoice against any Project,Прати ову продаје фактуру против било ког пројекта
Track this Sales Order against any Project,Прати овај продајни налог против било ког пројекта
Transaction,Трансакција
Transaction Date,Трансакција Датум
Transfer,Пренос
Transition Rules,Транзициони Правила
Transporter Info,Транспортер Инфо
Transporter Name,Транспортер Име
Transporter lorry number,Транспортер камиона број
Trash Reason,Смеће Разлог
Tree of item classification,Дрво тачка класификације
Trial Balance,Пробни биланс
Tuesday,Уторак
Tweet will be shared via your user account (if specified),Твеет ће се делити преко вашег корисничког налога (ако је наведено)
Twitter Share,Твиттер Подели
Twitter Share via,Твиттер Подели путем
Type,Тип
Type of document to rename.,Врста документа да преименујете.
Type of employment master.,Врста запослења мајстора.
"Type of leaves like casual, sick etc.","Тип листова као што су повремене, болесне итд"
Types of Expense Claim.,Врсте расхода потраживања.
Types of activities for Time Sheets,Врсте активности за време Схеетс
UOM,УОМ
UOM Conversion Detail,УОМ Конверзија Детаљ
UOM Conversion Details,УОМ конверзије Детаљи
UOM Conversion Factor,УОМ конверзије фактор
UOM Conversion Factor is mandatory,УОМ фактор конверзије је обавезно
UOM Details,УОМ Детаљи
UOM Name,УОМ Име
UOM Replace Utility,УОМ Замени Утилити
UPPER CASE,Велика слова
UPPERCASE,Велика слова
URL,УРЛ адреса
Unable to complete request: ,Није могуће довршити захтев:
Under AMC,Под АМЦ
Under Graduate,Под Дипломац
Under Warranty,Под гаранцијом
Unit of Measure,Јединица мере
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).","Јединица за мерење ове тачке (нпр. кг, Јединица, Не Паир)."
Units/Hour,Јединице / сат
Units/Shifts,Јединице / Смене
Unmatched Amount,Ненадмашна Износ
Unpaid,Неплаћен
Unread Messages,Непрочитаних порука
Unscheduled,Неплански
Unsubscribed,Отказали
Upcoming Events for Today,Предстојећи догађаји за данас
Update,Ажурирање
Update Clearance Date,Упдате Дате клиренс
Update Field,Упдате Фиелд
Update PR,Упдате ПР
Update Series,Упдате
Update Series Number,Упдате Број
Update Stock,Упдате Стоцк
Update Stock should be checked.,Упдате берза треба проверити.
Update Value,Ажурирање вредности
"Update allocated amount in the above table and then click ""Allocate"" button","Ажурирајте додељен износ у табели, а затим кликните на &quot;издвоји&quot; дугме"
Update bank payment dates with journals.,Ажурирање банка плаћање датира са часописима.
Update is in progress. This may take some time.,Упдате је у току. Ово може да потраје неко време.
Updated,Ажурирано
Upload Attachment,Уплоад прилог
Upload Attendance,Уплоад присуствовање
Upload Backups to Dropbox,Уплоад копије на Дропбок
Upload Backups to Google Drive,Уплоад копије на Гоогле Дриве
Upload HTML,Уплоад ХТМЛ
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,Постави ЦСВ датотеку са две колоне:. Стари назив и ново име. Мак 500 редова.
Upload a file,Уплоад фајл
Upload and Import,Уплоад и увоз
Upload attendance from a .csv file,Постави присуство из ЦСВ датотеке.
Upload stock balance via csv.,Уплоад равнотежу берзе преко ЦСВ.
Uploading...,Отпремање ...
Upper Income,Горња прихода
Urgent,Хитан
Use Multi-Level BOM,Користите Мулти-Левел бом
Use SSL,Користи ССЛ
User,Корисник
User Cannot Create,Корисник не може створити
User Cannot Search,Корисник не можете претраживати
User ID,Кориснички ИД
User Image,Корисник Слика
User Name,Корисничко име
User Remark,Корисник Напомена
User Remark will be added to Auto Remark,Корисник Напомена ће бити додат Ауто Напомена
User Tags,Корисник Тагс:
User Type,Тип корисника
User must always select,Корисник мора увек изабрати
User not allowed entry in the Warehouse,Корисник није дозвољен улаз у складиште
User not allowed to delete.,Корисник не сме избрисати.
UserRole,УсерРоле
Username,Корисничко име
Users who can approve a specific employee's leave applications,Корисници који могу да одобравају захтеве одређеног запосленог одсуство
Users with this role are allowed to do / modify accounting entry before frozen date,Корисници са овом улогом могу да раде / измени унос рачуноводствену пре замрзнуте датума
Utilities,Комуналне услуге
Utility,Корисност
Valid For Territories,Важи за територије
Valid Upto,Важи Упто
Valid for Buying or Selling?,Важи за куповину или продају?
Valid for Territories,Важи за територије
Validate,Потврдити
Valuation,Вредност
Valuation Method,Процена Метод
Valuation Rate,Процена Стопа
Valuation and Total,Процена и Тотал
Value,Вредност
Value missing for,Вредност недостаје за
Vehicle Dispatch Date,Отпрема Возила Датум
Vehicle No,Нема возила
Verdana,Вердана
Verified By,Верифиед би
Visit,Посетити
Visit report for maintenance call.,Посетите извештаја за одржавање разговора.
Voucher Detail No,Ваучер Детаљ Нема
Voucher ID,Ваучер ИД
Voucher Import Tool,Ваучер Увоз Алат
Voucher No,Ваучер Нема
Voucher Type,Ваучер Тип
Voucher Type and Date,Ваучер врсту и датум
WIP Warehouse required before Submit,ВИП Магацин потребно пре него што предлог
Waiting for Customer,Чекајући клијенту
Walk In,Шетња у
Warehouse,Магацин
Warehouse Contact Info,Магацин Контакт Инфо
Warehouse Detail,Магацин Детаљ
Warehouse Name,Магацин Име
Warehouse User,Магацин корисника
Warehouse Users,Корисници Варехоусе
Warehouse and Reference,Магацин и Референтни
Warehouse does not belong to company.,Складиште не припада компанији.
Warehouse where you are maintaining stock of rejected items,Магацин где се одржава залихе одбачених предмета
Warehouse-Wise Stock Balance,Магацин-Висе салда залиха
Warehouse-wise Item Reorder,Магацин у питању шифра Реордер
Warehouses,Складишта
Warn,Упозорити
Warning,Упозорење
Warning: Leave application contains following block dates,Упозорење: Оставите пријава садржи следеће датуме блок
Warranty / AMC Details,Гаранција / АМЦ Детаљи
Warranty / AMC Status,Гаранција / АМЦ статус
Warranty Expiry Date,Гаранција Датум истека
Warranty Period (Days),Гарантни период (дани)
Warranty Period (in days),Гарантни период (у данима)
Web Content,Веб садржај
Web Page,Веб страна
Website,Вебсајт
Website Description,Сајт Опис
Website Item Group,Сајт тачка Група
Website Item Groups,Сајт Итем Групе
Website Overall Settings,Сајт Овералл Подешавања
Website Script,Сајт скрипте
Website Settings,Сајт Подешавања
Website Slideshow,Сајт Слидесхов
Website Slideshow Item,Сајт Слидесхов шифра
Website User,Сајт корисника
Website Warehouse,Сајт Магацин
Wednesday,Среда
Weekly,Недељни
Weekly Off,Недељни Искључено
Weight UOM,Тежина УОМ
Weightage,Веигхтаге
Weightage (%),Веигхтаге (%)
Welcome,Добродошао
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","Када неки од селектираних трансакција &quot;Послао&quot;, е поп-уп аутоматски отворила послати емаил на вези &quot;Контакт&quot; у тој трансакцији, са трансакцијом као прилог. Корисник може или не може да пошаље поруку."
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.","Када <b>допуну</b> исправу после отказали и сачували га, он ће добити нови број који је верзија старог броја."
Where items are stored.,Где ставке су ускладиштене.
Where manufacturing operations are carried out.,Где производне операције се спроводе.
Widowed,Удовички
Width,Ширина
Will be calculated automatically when you enter the details,Ће бити аутоматски израчунава када уђете у детаље
Will be fetched from Customer,Биће преузета из клијента
Will be updated after Sales Invoice is Submitted.,Да ли ће бити ажурирани након продаје Рачун се подноси.
Will be updated when batched.,Да ли ће се ажурирати када дозирају.
