Pension Funds,Pensionifondid
Duplicate Serial No entered for Item {0},Punktile {0} sisestatud korduv seerianumber
Packing Unit,Pakkimisüksus
International,Rahvusvaheline
Item Tax Template Detail,Üksuse maksu malli detail
New BOM,Uus BOM
Is Internal Supplier,Kas sisetarnija
Reject,Keeldu
net pay info,netopalk info
Duties and Taxes,Kohustused ja maksud
Score Earned,Teenitud tulemus
Dependent Tasks,Sõltuvad ülesanded
Shipping Zipcode,Kohaletoimetamine Postiindeks
Update Series,Uuenda seeria
"e.g. ""Build tools for builders""",nt &quot;Ehitiste tööriistad&quot;
Prospecting,Uurimine
Bank Statement,Panga väljavõte
Default Duration,Vaikimisi kestus
Default settings for buying transactions.,Tehingute ostmise vaikesätted.
Actual Time and Cost,Tegelik aeg ja maksumus
Evaluation,Hindamine
Account: {0} with currency: {1} can not be selected,Konto: {0} valuutaga: {1} ei saa valida
Lifecycle,Eluring
Studying in Same Institute,Õppimine samas instituudis
Course Code: ,Kursuse kood:
Contribution %,Panus%
Credit Note,Krediidi märkus
Parent Batch,Vanema partii
Get Unreconciled Entries,Saage ühildumatud kirjed
Please set the Company,Palun määrake ettevõte
Lead Type,Plii tüüp
Difference Amount (Company Currency),Erinevuse summa (ettevõtte valuuta)
Sanctioned,Karistatud
Course Enrollment,Kursuse registreerimine
Supplier Items,Tarnijate elemendid
Not Applicable,Ei ole kohaldatav
Response Options,Vastuse valikud
{0} should be a value between 0 and 100,{0} peaks olema väärtus vahemikus 0 kuni 100
Sales Person,Müügipersonal
Packing Slip,Pakkematerjal
Global settings for all manufacturing processes.,Kõigi tootmisprotsesside üldised seaded.
Customer Group will set to selected group while syncing customers from Shopify,"Kliendirühm seab valitud gruppi, kui sünkroonib kliente Shopify&#39;st"
Apply Now,Rakenda kohe
Credit Controller,Krediidikontroller
Exploded_items,Exploded_items
Done,Valmis
Manufacturing Quantity is mandatory,Tootmine Kogus on kohustuslik
Bypass credit check at Sales Order ,Ümbersõidu krediidi kontroll müügitellimusel
Stock Value,Varude väärtus
Tax template for item tax rates.,Maksu mall elemendi maksumäärade jaoks.
{0} {1} is not active,{0} {1} ei ole aktiivne
O Positive,O Positiivne
Training Program,Treeningprogramm
Cashier Closing Payments,Kassa sulgemise maksed
The 'From Package No.' field must neither be empty nor it's value less than 1.,Paketi number väli ei tohi olla tühi ega selle väärtus alla 1.
Purchase Order Trends,Ostutellimuse suundumused
Please enter parent cost center,Palun sisestage vanemakulude keskus
Supplier Delivery Note,Tarnija tarneteatis
Please select Drug,Valige Drug
Post Route Key,Marsruudi võti
Student Admissions,Üliõpilaste sisseastumine
Memebership Details,Memebership üksikasjad
Probation,Kriminaalhooldus
Inactive Sales Items,Mitteaktiivsed müügiesemed
AU,AU
Abdomen,Kõht
Employee Settings,Töötajate seaded
Arrear,Arrear
Supplier Group master.,Tarnijagrupi kapten.
A customer with the same name already exists,Sama nimega klient on juba olemas
Program Enrollment,Programmi registreerimine
"Job Openings for designation {0} already open \
					or hiring completed as per Staffing Plan {1}",Tööpakkumised avamiseks {0} juba avatud või tööle võetud personali plaani {1} järgi
Authorized Signatory,Volitatud allakirjutaja
Discount on Other Item,Allahindlus muudel elementidel
Quot Count,Quot Count
No students Found,Ühtegi õpilast ei leitud
Bank Entry,Panga sisenemine
Antibiotic,Antibiootikum
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,"Protsent, mida teil on lubatud tellitud koguse vastu rohkem vastu võtta või tarnida. Näiteks: kui olete tellinud 100 ühikut. ja teie toetus on 10%, siis on teil lubatud saada 110 ühikut."
Support queries from customers.,Toetage klientide päringuid.
Actual,Tegelik
Please enter Material Requests in the above table,Palun sisesta ülaltoodud tabelisse olulised päringud
Item Reorder,Üksuse ümberkorraldamine
Stock Settings,Varude seaded
Row # {0}: Serial No is mandatory,Rida # {0}: seerianumber on kohustuslik
Number of columns for this section. 3 cards will be shown per row if you select 3 columns.,"Selle jaotise veergude arv. Kui valite 3 veergu, kuvatakse rea kohta 3 kaarti."
Consultations,Konsultatsioonid
Claim Benefit For,Hüvitise saamise nõue
Year Name,Aasta nimi
Reconciled Transactions,Ühtlustatud tehingud
Opening Balance,Avanev saldo
'From Date' must be after 'To Date',&quot;Alates kuupäevast&quot; peab olema pärast kuupäeva &quot;kuupäev&quot;
Total Amount {0},Kogusumma {0}
Evaluation Date,Hindamise kuupäev
"""Customer Provided Item"" cannot be Purchase Item also",&quot;Kliendi pakutavat toodet&quot; ei saa ka osta
Grand Total,Kogusumma
New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},Uus krediidilimiit on väiksem kui kliendi jooksev tasumata summa. Krediidilimiit peab olema vähemalt {0}
Only {0} in stock for item {1},Ainult {0} on toode {1}
Bank / Cash Account,Panga / sularaha konto
Task weight cannot be negative,Ülesande kaal ei saa olla negatiivne
Creation Date,Loomise kuupäev
Finished Good,Valmis
Manage Sample Collection,Proovide kogumise haldamine
Unable to find DocType {0},DocType {0} ei leitud
Item Weight Details,Üksuse kaalu üksikasjad
Modes of Payment,Makseviisid
Series List for this Transaction,Selle tehingu seeriate loend
Produce,Tooda
API consumer key,API tarbijaklahv
Reading 2,Lugemine 2
Driving License Categories,Juhilubade kategooriad
Asset Repair,Varade remont
Exchange Rate Revaluation,Vahetuskursi ümberhindamine
Warehouse Contact Info,Lao kontaktandmed
Request for Quotation Supplier,Hinnapakkumise tarnija
Costing,Hindamine
Fixed Assets,Põhivara
Ref SQ,Ref SQ
Total Earning,Kokku teenimine
From No,Alates nr
Payment Reconciliation Invoice,Maksekorralduse arve
Taxes and Charges Added,Lisatud on maksud ja tasud
Consider Tax or Charge for,Mõtle maksule või tasule
Authorized Value,Volitatud väärtus
Received From,Saadud
Warehouse {0} does not exist,Ladu {0} ei eksisteeri
Sales Team,Müügimeeskond
Stock UOM,Stock UOM
Installation Date,Installimise kuupäev
New Quotations,Uued pakkumised
Ordered Qty,Tellitud kogus
Minutes to First Response for Issues,Protokolli esmakordne vastus probleemidele
Refuelling Details,Tankimise üksikasjad
Targets,Eesmärgid
Settings for Buying Module,Mooduli ostmise seaded
Purchase Order {0} is not submitted,Ostutellimust {0} ei esitata
Material Request {0} submitted.,Esitati materjali taotlus {0}.
Posting date and posting time is mandatory,Postitamise kuupäev ja postitusaeg on kohustuslikud
{} of {},{} of {}
Lab Routine,Lab rutiinne
Payment Failed. Please check your GoCardless Account for more details,Makse ebaõnnestus. Täpsema teabe saamiseks kontrollige oma GoCardless&#39;i kontot
Row {0}:Start Date must be before End Date,Rida {0}: alguskuupäev peab olema enne lõppkuupäeva
LMS Activity,LMS-i tegevus
Next Depreciation Date,Järgmine amortisatsiooni kuupäev
Appointment Reminder,Kohtumise meeldetuletus
Cost Center Name,Kulukeskuse nimi
Margin Rate or Amount,Marginaali määr või summa
Clinical Procedure Consumable Item,Kliinilise protseduuri kulumaterjal
Manual,Käsitsi
Raw Materials cannot be blank.,Tooraine ei saa olla tühi.
Please enter Cost Center,Palun sisestage kulude keskus
Source DocType,Allikas DocType
Parent Assessment Group,Vanemate hindamise rühm
Accepted Warehouse,Aktsepteeritud ladu
Discount and Margin,Soodus ja marginaal
Student and Guardian Contact Details,Student and Guardian kontaktandmed
Buying,Ostmine
Present,Olema
Member Since,Liige alates
Use for Shopping Cart,Kasutage ostukorvi
Loan Account,Laenukonto
All the mandatory Task for employee creation hasn't been done yet.,Kogu kohustuslik ülesanne töötajate loomiseks pole veel tehtud.
The minimum length between each plant in the field for optimum growth,Minimaalne pikkus põllu iga taime vahel optimaalse kasvu saavutamiseks
Applicable on Purchase Order,Kohaldatakse ostutellimusele
Receive at Warehouse,Vastuvõtmine laos
Is Income Tax Expense,Kas tulumaksukulu
Make Difference Entry,Tehke vahetegur
Total (Credit),Kokku (krediit)
The Brand,Bränd
Item 3,Punkt 3
Deferred Expense Account,Edasilükkunud kulu konto
Accumulated Depreciation Amount,Kumuleeritud kulum
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: kulu keskus on kohustuslik elementi {2} jaoks
No accounting entries for the following warehouses,Järgmiste ladude raamatupidamisarvestust ei ole
Please save first,Palun salvestage esimene
Extra Small,Eriti väike
Assessment Group,Hindamisrühm
UOM,UOM
Bills raised by Suppliers.,Tarnijate esitatud arveid.
HR User,HR kasutaja
Profit for the year,Aasta kasum
Medical Code,Meditsiiniline kood
Update bank payment dates with journals.,Uuenda pangakontode kuupäevad ajakirjadega.
Current Assets,Käibevara
Row #{0}: Asset {1} does not belong to company {2},Rida # {0}: vara {1} ei kuulu ettevõttesse {2}
Contact Person,Kontaktisik
{0} - {1} is not enrolled in the Batch {2},{0} - {1} ei registreerita partii {2}
Holiday List Name,Puhkuste nimekirja nimi
Collection Temperature ,Kogumise temperatuur
Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Halda arve esitamist ja tühistage automaatselt patsiendi kohtumine
Claim Date,Nõude kuupäev
Leave blank if the Supplier is blocked indefinitely,"Kui tarnija on lõputult blokeeritud, jätke see tühjaks"
Attendance From Date and Attendance To Date is mandatory,Osalemine kuupäeva ja kohaloleku kuupäeva vahel on kohustuslik
Out of Warranty,garantii ei kehti
Same item cannot be entered multiple times.,Sama üksust ei saa mitu korda sisestada.
Select students manually for the Activity based Group,Valige õpilaste käsitsi tegevuspõhise grupi jaoks
Series Updated,Sari uuendatud
Date Of Retirement,Pensionile jäämise kuupäev
Please select Patient,Valige patsient
Straight Line,Sirgjoon
No of Sent SMS,Saadetud SMS-i number
GST Itemised Sales Register,GST detailiseeritud müügiregister
Total advance amount cannot be greater than total sanctioned amount,Ettemakse kogusumma ei tohi olla suurem kui kogu sanktsioonisumma
Test Name,Testinimi
Total Billing Amount (via Time Sheet),Arvelduse kogusumma (ajalehe kaudu)
Quotation {0} is cancelled,Tsitaat {0} tühistatakse
Clear values,Selged väärtused
Traceability,Jälgitavus
Same Company is entered more than once,Sama ettevõte sisestatakse rohkem kui üks kord
Contact Name,kontaktisiku nimi
Is Internal Customer,Kas sisemine klient
Account Head,Konto juht
Lower Income,Madalamad tulud
Start date should be less than end date for task {0},Alguskuupäev peaks olema väiksem kui ülesande {0} lõppkuupäev
Customer Service,Kasutajatugi
Fee,Tasu
BOM {0} does not belong to Item {1},BOM {0} ei kuulu elemendile {1}
Daily Work Summary Group,Igapäevane töörühma kokkuvõte
Customizing Forms,Vormide kohandamine
Cancel Material Visit {0} before cancelling this Warranty Claim,Enne garantiinõude tühistamist tühistage materjali visiit {0}
Ignore Pricing Rule,Ignoreeri hinnakujunduse reeglit
Food,Toit
Lost Reason Detail,Kaotatud põhjus Detail
Customer Feedback,Kliendi tagasiside
Warranty / AMC Details,Garantii / AMC üksikasjad
Opening Time,Avamisaeg
View a list of all the help videos,Vaadake kõigi abivideote loendit
Party Account Currency,Partei konto valuuta
Please select a field to edit from numpad,"Valige number, mida soovite numpadist muuta"
Assessment Plan Criteria,Hindamiskava kriteeriumid
Item Fields,Üksuse väljad
Manage Sales Partners.,Müügipartnerite haldamine.
"Cannot declare as lost, because Quotation has been made.","Ei saa kuulutada kadunud, sest tsitaat on tehtud."
"Here you can maintain family details like name and occupation of parent, spouse and children","Siin saate säilitada perekonna üksikasjad, nagu vanema, abikaasa ja laste nimi ja amet"
Shipping City,Shipping City
Update Items,Uuenda üksusi
Customer Ledger Summary,Kliendi pearaamatu kokkuvõte
B Positive,B Positiivne
Accounting journal entries.,Raamatupidamise päevikukirjed.
Purchase Order Required,Nõutav ostutellimus
New Student Batch,Uus õpilaste partii
Account Type,Konto tüüp
Fuel Type,Kütuse tüüp
Email sent to {0},E-post on saadetud aadressile {0}
Change Release Date,Muuda avaldamise kuupäeva
Default BOM for {0} not found,Vaikimisi BOM {0} jaoks ei leitud
HSN-wise-summary of outward supplies,HSN-välised tarnete kokkuvõte
Appointments and Encounters,Kohtumised ja kohtumised
Tax Withholding Category,Maksu kinnipidamise kategooria
Linked Doctype,Seotud Doctype
Cost of Goods Sold,Müüdud kaupade maksumus
Reading 3,Lugemine 3
Group by Voucher,Grupi maksekviitung
Delivered Items To Be Billed,"Saadetavad esemed, mida tuleb arveldada"
Employee Transfer Details,Töötajate ülekande üksikasjad
Company registration numbers for your reference. Tax numbers etc.,Ettevõtte registreerimisnumbrid. Maksu numbrid jne
Serial No {0} does not belong to Warehouse {1},Seerianumber {0} ei kuulu lao {1}
Del,Del
on,edasi
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Siin saate määrata kõik ülesanded, mida selle põllukultuuri jaoks tuleb teha. Päevavälja kasutatakse selleks, et nimetada päev, millal ülesanne tuleb täita, 1 on 1. päev jne."
Task,Ülesanne
Help HTML,Abi HTML
Dosage by time interval,Annustamine ajaintervalliga
Batch Description,Partii kirjeldus
Please set associated account in Tax Withholding Category {0} against Company {1},Palun määrake ettevõtte {1} maksukinnituse kategoorias {0} seotud konto
Needs Analysis,Vajaduste analüüs
Allocated Leaves,Eraldatud lehed
Transaction Details,Tehingu üksikasjad
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Avalda &quot;Laos&quot; või &quot;Laos mitte laos&quot; selle laos olevate varude alusel.
Company name not same,Ettevõtte nimi ei ole sama
Employee Promotion cannot be submitted before Promotion Date ,Töötajate edutamist ei saa esitada enne reklaami kuupäeva
Not allowed to update stock transactions older than {0},Ei tohi uuendada {0} vanemate varude tehinguid
Start date should be less than end date for Item {0},Alguskuupäev peab olema vähem kui lõpp-kuupäev {0}
Create customer quotes,Loo kliendi hinnapakkumisi
Buying Settings,Seadete ostmine
Restaurant Menu Item,Restoranimenüü
Calculate Total Score,Arvuta kokku skoor
Issue Type,Probleemi tüüp
Start date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Ülesande <b>{0}</b> alguskuupäev ei tohi olla suurem kui <b>{1}</b> eeldatav lõppkuupäev <b>{2}</b>
Balance Value,Bilansiväärtus
Groups,Grupid
Target warehouse in row {0} must be same as Work Order,"Sihtlaos reas {0} peab olema sama, mis töökorraldus"
Serial Number: {0} is already referenced in Sales Invoice: {1},Seerianumber: {0} on juba seotud müügiarvel: {1}
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Kui Shopify ei sisalda tellimuses klienti, siis arvab süsteem tellimuste sünkroonimisel tellimuse puhul vaikimisi klienti"
Shopify Tax Account,Ostke maksukontot
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,"Veenduge, et soovite tõesti selle ettevõtte kõik tehingud kustutada. Teie põhiandmed jäävad samaks. Seda toimingut ei saa tagasi võtta."
Auto Repeat Detail,Automaatne kordamine
Please supply the specified items at the best possible rates,Palun esitage kindlaksmääratud üksused parimate võimalike hindadega
{0} in row {1},{0} reas {1}
Job Card Time Log,Töökaardi aeg
Patient Demographics,Patsiendi demograafia
To Folio No,To Folio No
Cash Flow from Operations,Rahavoog toimingutest
Allow Negative Stock,Lubage negatiivne varu
None of the items have any change in quantity or value.,Ühelgi üksusel ei ole koguse või väärtuse muutusi.
Purchase Date,Ostu kuupäev
Bank Statement Transaction Settings Item,Panga väljavõtte tehingute seadete kirje
BOM Stock Report,BOMi varude aruanne
Write Off,Maha kirjutama
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Rida {0}: eeldatav väärtus pärast kasulikku eluiga peab olema väiksem kui brutosumma
Personal Bio,Isiklik Bio
Duplicate Entry. Please check Authorization Rule {0},Dubleeriv kirje. Palun kontrollige autoriseerimise reeglit {0}
Employee {0} has already applied for {1} on {2} : ,Töötaja {0} on juba taotlenud {1} {2}:
Standard Selling,Standardmüük
Invoiced,Arve esitamine
User {0} already exists,Kasutaja {0} on juba olemas
Profit and Loss,Kasum ja kahjum
Diff Qty,Erinev kogus
Written Down Value,Kirjutatud alla väärtus
Opening Balance Equity,Tasakaalu avamine
April,Aprill
Credit Limit,Krediidilimiit
Distribution,Jaotus
debit_note_amt,debit_note_amt
Inspected By,Kontrollitud
Get Items from Product Bundle,Saage tooted tootepaketist
Employee Benefit Claim,Töötajate hüvitise nõue
Clearance Date not mentioned,Kliirens Kuupäev ei ole mainitud
Default Receivable Account,Vaikimisi saadaolev konto
Check if it is a hydroponic unit,"Kontrollige, kas see on hüdropooniline seade"
Others,Teised
Patient Appointment,Patsiendi määramine
AB Positive,AB Positiivne
Depreciation Date,Amortisatsiooni kuupäev
Upcoming Calendar Events,Eelseisvad kalendri sündmused
"Appraisals, Expense Claims and Loans","Hinnangud, kulutaotlused ja laenud"
Create Student Batch,Loo õpilase partii
Travel Advance Required,Nõutav on reisimine
Orders released for production.,Tootmisele lastud tellimused.
Collection Rules,Kogumise reeglid
Disable CWIP Accounting,Keela CWIP raamatupidamine
Item Code &gt; Item Group &gt; Brand,Üksuse kood&gt; Punktirühm&gt; Bränd
Section Based On,Jaotis põhineb
{0} already allocated for Employee {1} for period {2} to {3},{0} juba eraldatud töötajale {1} perioodiks {2} kuni {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Rida {0}: kellaajast ja kellaajast {1} kattub {2}
Very Hyper,Väga hüper
Select the nature of your business.,Valige oma ettevõtte olemus.
Please select month and year,Palun valige kuu ja aasta
Student Log,Õpilaste logi
Enable Checkout,Luba Checkout
Human Resources,Inimressursid
Total Value Difference (Out - In),Väärtuse vahe (Out-In)
Actual End Time,Tegelik lõpuaeg
Setting up Taxes,Maksude seadmine
Net Cash from Investing,Netoraha investeerimisest
Accounting Ledger,Raamatupidamise pearaamat
Item Group Tree,Üksuse grupp
'Total',„Kokku“
Item 1,Punkt 1
Student Batches,Üliõpilaste partiid
"Attach .csv file with two columns, one for the old name and one for the new name","Lisage .csv-fail kahe veeruga, üks vana nimi ja teine uue nime jaoks"
outstanding_amount,täitmata summa
Susceptible,Tundlik
Total (Company Currency),Kokku (ettevõtte valuuta)
Website Content,Veebisaidi sisu
Driving License Category,Juhiloa kategooria
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Rida # {0}: eeldatav tarnekuupäev ei saa olla enne ostutellimuse kuupäeva
Make Payment,Tee makse
Party Type is mandatory,Partei tüüp on kohustuslik
The fields From Shareholder and To Shareholder cannot be blank,Aktsionäri ja aktsionäri väljad ei saa olla tühjad
Quality Management,Kvaliteedijuhtimine
Transfer Material Against,Materjali ülekandmine vastu
Temporarily on Hold,Ajutiselt ootel
Connect Shopify with ERPNext,Ühendage Shopify ERPNext-ga
Subtitle,Subtiitrid
Loam,Loam
Scrap Material Cost(Company Currency),Vanametalli maksumus (ettevõtte valuuta)
Delivery Note {0} must not be submitted,Edastamise märkust {0} ei tohi esitada
Actual Start Date (via Time Sheet),Tegelik alguskuupäev (ajalehe kaudu)
Delivery Date,Kohaletoomiskuupäev
Item Shortage Report,Üksuse puuduse aruanne
Price Determination,Hinnakujundus
Retail & Wholesale,Jaemüük ja hulgimüük
Twice Daily,Kaks korda päevas
Integrated Tax,Integreeritud maks
Deductions or Loss,Mahaarvamised või kahjum
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Fiskaalrežiim on kohustuslik, määrake fiskaalrežiim ettevõttes {0}"
Time slots added,Lisatakse ajapilud
Leaves must be allocated in multiples of 0.5,"Lehed tuleb jaotada 0,5 korda"
Amount {0} {1} deducted against {2},{2} {1} mahaarvatud {2}
Payment Reconciliation Payment,Maksekorralduse makse
Template of terms or contract.,Tingimuste või lepingu vorm.
Barcodes,Triipkoodid
Enrollment Date,Registreerimise kuupäev
Clear Table,Selge tabel
Setting up company,Ettevõtte asutamine
Free item code is not selected,Vaba üksuse koodi ei ole valitud
Total Unpaid: {0},Tasumata kokku: {0}
Balance must be,Tasakaal peab olema
Default Bank Account,Panga vaikekonto
Creating Fees,Tasude loomine
Please select Qty against item {0},Palun valige Kogus punkti {0} vastu
Do not confirm if appointment is created for the same day,"Ärge kinnitage, kas kohtumine on loodud samal päeval"
Repaid/Closed,Tagastatud / suletud
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Rida {0}: {1} Punkti {2} jaoks vajalikud seerianumbrid. Olete andnud {3}.
Gain/Loss,Kasum / kahjum
Sales Invoice Payment,Müügiarve maksmine
Payslip,Payslip
HSN,HSN
Request for quotation.,Hinnapakkumine.
Procurement Tracker,Hanke jälgija
Type of Proof,Tõenduse liik
Vehicle Date,Sõiduki kuupäev
Dispatch Settings,Saatja seaded
Dependencies,Sõltuvus
Lost,Kadunud
Replace BOM,Asenda BOM
Marital Status,Perekonnaseis
Enter retirement age in years,Sisestage pensioniiga aastate jooksul
No items listed,Ühtegi üksust pole loetletud
No data to export,Andmeid eksportimiseks ei ole
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,"Palun valige Carry Forward, kui soovite ka sellesse eelarveaastasse lisada eelmise eelarveaasta saldo"
Opening Stock Balance,Laovarude avamine
Leave Blocked,Jäta blokeeritud
Asset Category is mandatory for Fixed Asset item,Varakategooria on fikseeritud varaobjekti puhul kohustuslik
Required By,Nõutav
Add to Details,Lisage andmed
Inactive Customers,Mitteaktiivsed kliendid
Dosage,Annustamine
Starting position from top edge,Alguspunkt ülemisest servast
Appointment Duration (mins),Kohtumise kestus (min)
Disable,Keela
Purchase Orders to Receive,Ostu tellimuste ostmine
Productions Orders cannot be raised for:,Productions Tellimusi ei saa esitada:
Ignore Employee Time Overlap,Ignoreeri töötajate aja kattumist
Trainings,Koolitused
Lost Reasons,Kadunud põhjused
A Positive,Positiivne
Reading 7,Lugemine 7
Serial No,Seerianumber
Required Quantity,Nõutav kogus
Parent Location,Vanem Asukoht
Material Requests,Materiaalsed taotlused
Material Transferred for Subcontract,Alltöövõtuks edastatud materjal
Timing Detail,Ajastuse üksikasjad
Required On,Nõutav On
Importing {0} of {1},{0} {1} importimine
Job Offer Term,Tööpakkumise tähtaeg
All Contact,Kõik kontaktid
Project Task,Projekti ülesanne
Item Barcode,Üksuse vöötkood
Stock Levels,Varude tase
Height (In Meter),Kõrgus (meetrites)
Order Value,Tellimuse väärtus
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Kõiki müügitehinguid saab märgistada mitme ** müügiesindaja ** vastu, et saaksite seada ja jälgida sihtmärke."
You have already selected items from {0} {1},Olete juba valinud elemendid {0} {1}
Get Suppliers,Hankige tarnijad
Contribution (%),Panus (%)
Cannot set a received RFQ to No Quote,Vastuvõetud RFQ-d ei saa määrata tsitaadiks
Create Sales Order,Loo müügitellimus
Account: {0} can only be updated via Stock Transactions,Konto: {0} saab värskendada ainult väärtpaberitehingute kaudu
{0} Request for {1},{0} {1} taotlus
Please select a value for {0} quotation_to {1},Valige väärtus {0} tsitaat_to {1}
Opportunity Date,Võimaluse kuupäev
Next Steps,Järgmised sammud
Training Feedback,Koolituse tagasiside
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Pühad kokku
Fertilizer Name,Väetise nimi
House rented dates required for exemption calculation,Maksuvabastuse arvutamiseks nõutavad maja üürimise kuupäevad
Expiring Memberships,Liikmelisuse lõppemine
Supplier(s),Tarnija (d)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Palun seadistage nummerdamise seeria osalemiseks seadistamise&gt; Nummerdamise seeria kaudu
To Rename,Nimeta ümber
Contact Us,Võta meiega ühendust
Cashier,Kassapidaja
Hour,Tund
Show Latest Forum Posts,Näita viimaseid foorumi postitusi
Distributor,Edasimüüja
"Please add the remaining benefits {0} to the application as \
				pro-rata component",Lisage ülejäänud rakenduse {0} eelised rata komponendina
Short Term Loan Account,Lühiajaline laenukonto
Section Subtotal,Jaotise vahesumma
Material Request to Purchase Order,Materiaalne ostutellimuse taotlus
CESS Amount,CESS summa
Not authorized to edit frozen Account {0},Ei ole lubatud külmutatud konto muutmiseks {0}
Expected Amount,Oodatav summa
Default Price List,Vaikimisi hinnakiri
No Items selected for transfer,Edastamiseks pole valitud üksusi
Payment Amount,Makse summa
Assessment  Manager,Hindamiskorraldaja
Chemical,Keemiline
Assessment Reports,Hindamisaruanded
IV,IV
Academic,Akadeemiline
Item {0} is not setup for Serial Nos. Check Item master,Üksus {0} ei ole seadistatud seerianumbrite kontrollimiseks
From State,Riik
Maximum Continuous Days Applicable,Maksimaalsed pidevad päevad
Support Team.,Tugirühm.
Please enter company name first,Sisestage kõigepealt ettevõtte nimi
Import Successful,Importimine on edukas
Alternate Number,Alternatiivne number
All Departments,Kõik osakonnad
Make project from a template.,Tee projekt mallist.
Inter Company Order Reference,Ettevõtte tellimuse viide
Work Order {0} must be cancelled before cancelling this Sales Order,Töörežiim {0} tuleb tühistada enne selle müügitellimuse tühistamist
Employee Number,Töötaja number
Avg. Buying Rate,Keskmine Ostumäär
Capacity Planning For (Days),Võimsuse planeerimine (päevad)
From value must be less than to value in row {0},Väärtusest peab olema väiksem väärtus kui väärtus {0}
Select BOM and Qty for Production,Valige BOM ja Qty for Production
Price List Country,Hinnakiri Riik
Create Tax Template,Loo maksumall
Numeric Values,Numbrilised väärtused
Instructions,Juhised
Blanket Order Item,Tekkide tellimuse element
Commission rate cannot be greater than 100,Komisjoni määr ei tohi olla suurem kui 100%. \ T
Course Topic,Kursuse teema
This will restrict user access to other employee records,See piirab kasutaja juurdepääsu teistele töötajate dokumentidele
Please create Customer from Lead {0},Palun looge klient Lead&#39;ist {0}
Company Settings,Ettevõtte seaded
Vegetarian,Vegetarian
"An item exists with same name ({0}), please change the item group name or rename the item","Üksus on sama nimega ({0}), palun muutke üksuse grupi nime või nimetage see ümber"
Hotel Room Type,Hotelli toa tüüp
Cash Flow,Rahavool
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Makse {0} {1} vastu ei saa olla suurem kui tasumata summa {2}
Achievement,Saavutus
Add Multiple Tasks,Lisage mitu ülesannet
Item Variant {0} already exists with same attributes,Üksus Variant {0} on juba olemas samade atribuutidega
Invoice {0} no longer exists,Arve {0} ei ole enam olemas
Will also apply for variants unless overrridden,"Taotleb ka variante, välja arvatud juhul, kui need on ületatud"
Account,Konto
To Deliver,Edastamiseks
Customers Without Any Sales Transactions,Kliendid ilma müügitehinguteta
Against Document No,Dokumendi nr
Content Masters,Sisu meistrid
Subscription Management,Tellimuse haldamine
Get customers from,Hankige kliente
{0} Digest,{0} Digest
Reports to,Aruanded
Party Account,Pidu konto
Schedule,Ajakava
Please enter ,Palun sisesta
Channel Partner,Kanali partner
Invoiced Amount,Arve summa
From Template,Mallist
Subscriptions,Tellimused
Quantity to Make,Teostatav kogus
Achieved,Saavutatud
Contribution Amount,Panuse summa
Fiscal Year,Eelarveaasta
Prevent RFQs,Vältige RFQ-sid
Discount Received Account,Soodustuse saamise konto
 (Half Day),(Pool päeva)
Email Digest,E-posti digest
Crop,Kärbi
Profit & Loss,Kasumi kaotus
Section Order,Jaotise järjekord
Result Printed,Tulemus trükitud
Student Group,Student Group
