DocType: Accounting Period,Period Name,Nom de période
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note_list.js,Cannot create a Delivery Trip from Draft documents.,Impossible de créer un voyage de livraison à partir de documents brouillons.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Website Listing,Liste du site Web
apps/erpnext/erpnext/config/buying.py,All Products or Services.,Tous les Produits ou Services.
DocType: Email Digest,Open Quotations,Citations ouvertes
apps/erpnext/erpnext/www/all-products/item_row.html,More Details,Plus de Détails
DocType: Supplier Quotation,Supplier Address,Adresse du Fournisseur
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} le Budget du Compte {1} pour {2} {3} est de {4}. Il dépassera de {5}
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,This feature is under development...,Cette fonctionnalité est en cours de développement ...
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Creating bank entries...,Création d&#39;entrées bancaires ...
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Out Qty,Qté Sortante
apps/erpnext/erpnext/buying/doctype/supplier/supplier.py,Series is mandatory,Série est obligatoire
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Financial Services,Services Financiers
DocType: Student Sibling,Student ID,Carte d'Étudiant
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be greater than zero,Pour que la quantité soit supérieure à zéro
apps/erpnext/erpnext/config/projects.py,Types of activities for Time Logs,Types d'activités pour Journaux de Temps
DocType: Opening Invoice Creation Tool,Sales,Ventes
DocType: Stock Entry Detail,Basic Amount,Montant de Base
DocType: Training Event,Exam,Examen
DocType: Email Campaign,Email Campaign,Campagne Email
apps/erpnext/erpnext/public/js/hub/hub_call.js,Marketplace Error,Erreur du marché
DocType: Complaint,Complaint,Plainte
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Warehouse required for stock Item {0},L’entrepôt est obligatoire pour l'article du stock {0}
DocType: Leave Allocation,Unused leaves,Congés non utilisés
apps/erpnext/erpnext/patches/v11_0/create_department_records_for_each_company.py,All Departments,Tous les départements
DocType: Healthcare Service Unit,Vacant,Vacant
DocType: Patient,Alcohol Past Use,Consommation Passée d'Alcool
DocType: Fertilizer Content,Fertilizer Content,Contenu d&#39;engrais
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,No description,Pas de description
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Cr,Cr
DocType: Tax Rule,Billing State,État de la Facturation
DocType: Quality Goal,Monitoring Frequency,Fréquence de surveillance
DocType: Share Transfer,Transfer,Transférer
DocType: Quality Action,Quality Feedback,Commentaires sur la qualité
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Work Order {0} must be cancelled before cancelling this Sales Order,L'ordre de travail {0} doit être annulé avant d'annuler cette commande client
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Fetch exploded BOM (including sub-assemblies),Récupérer la LDM éclatée (y compris les sous-ensembles)
DocType: Authorization Rule,Applicable To (Employee),Applicable À (Employé)
apps/erpnext/erpnext/controllers/accounts_controller.py,Due Date is mandatory,La Date d’Échéance est obligatoire
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than received quantity,Impossible de définir une quantité inférieure à la quantité reçue
apps/erpnext/erpnext/controllers/item_variant.py,Increment for Attribute {0} cannot be 0,Incrément pour l'Attribut {0} ne peut pas être 0
DocType: Employee Benefit Claim,Benefit Type and Amount,Type de prestation et montant
DocType: Delivery Stop,Visited,Visité
apps/erpnext/erpnext/hotels/report/hotel_room_occupancy/hotel_room_occupancy.py,Rooms Booked,Chambres réservées
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Ends On date cannot be before Next Contact Date.,La date de fin ne peut pas être avant la prochaine date de contact
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Batch Entries,Entrées de lot
DocType: Journal Entry,Pay To / Recd From,Payé À / Reçu De
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Unpublish Item,Annuler la publication
DocType: Naming Series,Setup Series,Configuration des Séries
DocType: Payment Reconciliation,To Invoice Date,Date de Facture Finale
DocType: Bank Account,Contact HTML,HTML du Contact
DocType: Support Settings,Support Portal,Portail du support
apps/erpnext/erpnext/healthcare/doctype/healthcare_settings/healthcare_settings.py,Registration fee can not be Zero,Les frais d'inscription ne peuvent pas être égal à zéro
DocType: Disease,Treatment Period,Période de traitement
DocType: Travel Itinerary,Travel Itinerary,Itinéraire du déplacement
apps/erpnext/erpnext/education/api.py,Result already Submitted,Résultat déjà soumis
apps/erpnext/erpnext/controllers/buying_controller.py,Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,L&#39;entrepôt réservé est obligatoire pour l&#39;article {0} dans les matières premières fournies
,Inactive Customers,Clients Inactifs
DocType: Student Admission Program,Maximum Age,Âge Maximum
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Please wait 3 days before resending the reminder.,Veuillez patienter 3 jours avant d'envoyer un autre rappel.
DocType: Landed Cost Voucher,Purchase Receipts,Reçus d'Achats
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,"Upload a bank statement, link or reconcile a bank account","Télécharger un relevé bancaire, un lien ou un rapprochement d&#39;un compte bancaire"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,How Pricing Rule is applied?,Comment la Règle de Prix doit-elle être appliquée ?
DocType: Stock Entry,Delivery Note No,Bon de Livraison N°
DocType: Cheque Print Template,Message to show,Message à afficher
apps/erpnext/erpnext/public/js/setup_wizard.js,Retail,Vente de Détail
DocType: Student Attendance,Absent,Absent
DocType: Staffing Plan,Staffing Plan Detail,Détail du plan de dotation
DocType: Employee Promotion,Promotion Date,Date de promotion
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Leave allocation %s is linked with leave application %s,L&#39;allocation de congé% s est liée à l&#39;application de congé% s
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Product Bundle,Ensemble de Produits
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard.py,Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,Impossible de trouver un score démarrant à {0}. Vous devez avoir des scores couvrant 0 à 100
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Invalid reference {1},Ligne {0} : Référence {1} non valide
apps/erpnext/erpnext/assets/doctype/location/location_tree.js,New Location,Nouveau lieu
DocType: Purchase Invoice,Purchase Taxes and Charges Template,Modèle de Taxe et Frais d'Achat
DocType: Additional Salary,Date on which this component is applied,Date à laquelle ce composant est appliqué
DocType: Subscription,Current Invoice Start Date,Date de début de la facture en cours
DocType: Designation Skill,Designation Skill,Compétence de désignation
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Import of goods,Importation de marchandises
DocType: Timesheet,TS-,TS-
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Either debit or credit amount is required for {2},{0} {1} : Un montant est requis au débit ou au crédit pour {2}
DocType: GL Entry,Remarks,Remarques
DocType: Support Settings,Track Service Level Agreement,Suivi du contrat de niveau de service
DocType: Hotel Room Amenity,Hotel Room Amenity,Équipement de la chambre d'hôtel
DocType: Budget,Action if Annual Budget Exceeded on MR,Action si le budget annuel est dépassé avec les requêtes de matériel
DocType: Course Enrollment,Course Enrollment,Inscription au cours
DocType: Payment Entry,Account Paid From,Compte Payé Du
DocType: Purchase Order Item Supplied,Raw Material Item Code,Code d’Article de Matière Première
DocType: Task,Parent Task,Tâche Parente
DocType: Project,From Template,À partir du modèle
DocType: Journal Entry,Write Off Based On,Reprise Basée Sur
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Print and Stationery,Impression et Papeterie
DocType: Stock Settings,Show Barcode Field,Afficher Champ Code Barre
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Send Supplier Emails,Envoyer des Emails au Fournisseur
DocType: Asset Movement,ACC-ASM-.YYYY.-,ACC-ASM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Salaire déjà traité pour la période entre {0} et {1}, La période de demande de congé ne peut pas être entre cette plage de dates."
DocType: Fiscal Year,Auto Created,Créé automatiquement
apps/erpnext/erpnext/hr/doctype/employee_onboarding/employee_onboarding.py,Submit this to create the Employee record,Soumettre pour créer la fiche employé
DocType: Item Default,Item Default,Paramètre par défaut de l'article
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Intra-State Supplies,Fournitures intra-étatiques
DocType: Chapter Member,Leave Reason,Raison du départ
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,IBAN is not valid,IBAN n&#39;est pas valide
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Invoice {0} no longer exists,La facture {0} n&#39;existe plus
DocType: Guardian Interest,Guardian Interest,Part du Tuteur
DocType: Volunteer,Availability,Disponibilité
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.py,Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,La demande de congé est liée aux allocations de congé {0}. Demande de congé ne peut pas être défini comme congé sans solde
apps/erpnext/erpnext/config/retail.py,Setup default values for POS Invoices,Configurer les valeurs par défaut pour les factures de point de vente
DocType: Employee Training,Training,Formation
DocType: Project,Time to send,Heure d'envoi
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,This page keeps track of your items in which buyers have showed some interest.,Cette page conserve une trace de vos articles pour lesquels les acheteurs ont manifesté un certain intérêt.
DocType: Timesheet,Employee Detail,Détail Employé
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.py,Set warehouse for Procedure {0} ,Définir l&#39;entrepôt pour la procédure {0}
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,ID Email du Tuteur1
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Error: {0} is mandatory field,Erreur: {0} est un champ obligatoire
DocType: Lab Prescription,Test Code,Code de Test
apps/erpnext/erpnext/config/website.py,Settings for website homepage,Paramètres de la page d'accueil du site
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} is on hold till {1},{0} est en attente jusqu&#39;à {1}
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,RFQs are not allowed for {0} due to a scorecard standing of {1},Les Appels d'Offres ne sont pas autorisés pour {0} en raison d'une note de {1} sur la fiche d'évaluation
apps/erpnext/erpnext/templates/pages/order.html,Make Purchase Invoice,Faire la facture d'achat
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Used Leaves,Congés utilisés
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,{0} Coupon used are {1}. Allowed quantity is exhausted,Le {0} coupon utilisé est {1}. La quantité autorisée est épuisée
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Do you want to submit the material request,Voulez-vous soumettre la demande de matériel
DocType: Job Offer,Awaiting Response,Attente de Réponse
DocType: Course Schedule,EDU-CSH-.YYYY.-,EDU-CSH-.AAAA.-
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Above,Au-dessus
DocType: Support Search Source,Link Options,Options du lien
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Total Amount {0},Montant Total {0}
apps/erpnext/erpnext/controllers/item_variant.py,Invalid attribute {0} {1},Attribut invalide {0} {1}
DocType: Supplier,Mention if non-standard payable account,Veuillez mentionner s'il s'agit d'un compte créditeur non standard
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.py,Please select the assessment group other than 'All Assessment Groups',Sélectionnez un groupe d'évaluation autre que «Tous les Groupes d'Évaluation»
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Row {0}: Cost center is required for an item {1},Ligne {0}: le Centre de Coûts est requis pour un article {1}
DocType: Training Event Employee,Optional,Optionnel
DocType: Salary Slip,Earning & Deduction,Revenus et Déduction
DocType: Agriculture Analysis Criteria,Water Analysis,Analyse de l&#39;eau
DocType: Sales Order,Skip Delivery Note,Ignorer le bon de livraison
DocType: Price List,Price Not UOM Dependent,Prix non dépendant de l&#39;UOM
apps/erpnext/erpnext/stock/doctype/item/item.js,{0} variants created.,{0} variantes créées.
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,A Default Service Level Agreement already exists.,Un accord de niveau de service par défaut existe déjà.
DocType: Quality Objective,Quality Objective,Objectif de qualité
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Optional. This setting will be used to filter in various transactions.,Facultatif. Ce paramètre sera utilisé pour filtrer différentes transactions.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Valuation Rate is not allowed,Taux de Valorisation Négatif n'est pas autorisé
DocType: Holiday List,Weekly Off,Jours de Congé Hebdomadaire
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.js,Reload Linked Analysis,Recharger l&#39;analyse liée
DocType: Fiscal Year,"For e.g. 2012, 2012-13","Par exemple: 2012, 2012-13"
DocType: Purchase Order,Purchase Order Pricing Rule,Règle de tarification des bons de commande
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Provisional Profit / Loss (Credit),Gain / Perte (Crédit) Provisoire
DocType: Sales Invoice,Return Against Sales Invoice,Retour contre Facture de Vente
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 5,Article 5
DocType: Serial No,Creation Time,Date de Création
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Total Revenue,Revenu Total
DocType: Patient,Other Risk Factors,Autres facteurs de risque
DocType: Sales Invoice,Product Bundle Help,Aide pour les Ensembles de Produits
,Monthly Attendance Sheet,Feuille de Présence Mensuelle
DocType: Homepage Section Card,Subtitle,Sous-titre
apps/erpnext/erpnext/hr/report/employee_advance_summary/employee_advance_summary.py,No record found,Aucun enregistrement trouvé
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of Scrapped Asset,Coût des Immobilisations Mises au Rebut
DocType: Employee Checkin,OUT,EN DEHORS
apps/erpnext/erpnext/controllers/stock_controller.py,{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Centre de Coûts est obligatoire pour l’Article {2}
DocType: Vehicle,Policy No,Politique N°
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get Items from Product Bundle,Obtenir les Articles du Produit Groupé
DocType: Asset,Straight Line,Linéaire
DocType: Project User,Project User,Utilisateur du Projet
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,Fractionner
DocType: Tally Migration,Master Data,Données de base
DocType: Employee Transfer,Re-allocate Leaves,Réallouer les congés
DocType: GL Entry,Is Advance,Est Accompte
apps/erpnext/erpnext/config/hr.py,Employee Lifecycle,Cycle de vie des employés
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Attendance From Date and Attendance To Date is mandatory,La Date de Présence Depuis et la Date de Présence Jusqu'à sont obligatoires
apps/erpnext/erpnext/controllers/buying_controller.py,Please enter 'Is Subcontracted' as Yes or No,Veuillez entrer Oui ou Non pour 'Est sous-traitée'
DocType: Item,Default Purchase Unit of Measure,Unité de Mesure par défaut à l'Achat
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Date de la Dernière Communication
DocType: Clinical Procedure Item,Clinical Procedure Item,Article de procédure clinique
DocType: Sales Team,Contact No.,N° du Contact
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Billing Address is same as Shipping Address,L&#39;adresse de facturation est identique à l&#39;adresse de livraison
DocType: Bank Reconciliation,Payment Entries,Écritures de Paiement
DocType: Location,Latitude,Latitude
DocType: Work Order,Scrap Warehouse,Entrepôt de Rebut
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}",Entrepôt requis à la ligne n ° {0}. Veuillez définir un entrepôt par défaut pour l'article {1} et la société {2}
DocType: Work Order,Check if material transfer entry is not required,Vérifiez si une un transfert de matériel n'est pas requis
DocType: Program Enrollment Tool,Get Students From,Obtenir les Étudiants De
apps/erpnext/erpnext/config/help.py,Publish Items on Website,Publier les Articles sur le Site Web
apps/erpnext/erpnext/utilities/activation.py,Group your students in batches,Regrouper vos étudiants en lots
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be greater than unadjusted amount,Le montant alloué ne peut être supérieur au montant non ajusté
DocType: Authorization Rule,Authorization Rule,Règle d'Autorisation
apps/erpnext/erpnext/projects/doctype/project/project.py,Status must be Cancelled or Completed,Le statut doit être annulé ou complété
DocType: Sales Invoice,Terms and Conditions Details,Détails des Termes et Conditions
DocType: Sales Invoice,Sales Taxes and Charges Template,Modèle de Taxes et Frais de Vente
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Total (Credit),Total (Crédit)
DocType: Repayment Schedule,Payment Date,Date de Paiement
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch Qty,Nouvelle Qté de Lot
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Apparel & Accessories,Vêtements & Accessoires
apps/erpnext/erpnext/controllers/accounts_controller.py,Item quantity can not be zero,La quantité d&#39;article ne peut être nulle
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve weighted score function. Make sure the formula is valid.,Impossible de résoudre la fonction de score pondéré. Assurez-vous que la formule est valide.
DocType: Invoice Discounting,Loan Period (Days),Période de prêt (jours)
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Purchase Order Items not received on time,Articles de commande d&#39;achat non reçus à temps
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Number of Order,Nombre de Commandes
DocType: Item Group,HTML / Banner that will show on the top of product list.,HTML / bannière qui apparaîtra sur le haut de la liste des produits.
DocType: Shipping Rule,Specify conditions to calculate shipping amount,Spécifier les conditions pour calculer le montant de la livraison
DocType: Program Enrollment,Institute's Bus,Bus de l&#39;Institut
DocType: Accounts Settings,Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Rôle Autorisé à Geler des Comptes & à Éditer des Écritures Gelées
DocType: Supplier Scorecard Scoring Variable,Path,Chemin
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Cannot convert Cost Center to ledger as it has child nodes,Conversion impossible du Centre de Coûts en livre car il possède des nœuds enfants
DocType: Production Plan,Total Planned Qty,Quantité totale prévue
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Transactions already retreived from the statement,Transactions déjà extraites de la déclaration
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Opening Value,Valeur d'Ouverture
DocType: Salary Component,Formula,Formule
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Serial #,Série #
DocType: Material Request Plan Item,Required Quantity,Quantité requise
DocType: Lab Test Template,Lab Test Template,Modèle de test de laboratoire
apps/erpnext/erpnext/accounts/doctype/accounting_period/accounting_period.py,Accounting Period overlaps with {0},La période comptable chevauche avec {0}
apps/erpnext/erpnext/setup/doctype/company/company.py,Sales Account,Compte de vente
DocType: Purchase Invoice Item,Total Weight,Poids total
DocType: Pick List Item,Pick List Item,Élément de la liste de choix
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Commission on Sales,Commission sur les Ventes
DocType: Job Offer Term,Value / Description,Valeur / Description
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Ligne #{0} : L’Actif {1} ne peut pas être soumis, il est déjà {2}"
DocType: Tax Rule,Billing Country,Pays de Facturation
DocType: Purchase Order Item,Expected Delivery Date,Date de Livraison Prévue
DocType: Restaurant Order Entry,Restaurant Order Entry,Entrée de commande de restaurant
apps/erpnext/erpnext/accounts/general_ledger.py,Debit and Credit not equal for {0} #{1}. Difference is {2}.,Débit et Crédit non égaux pour {0} # {1}. La différence est de {2}.
DocType: Clinical Procedure Item,Invoice Separately as Consumables,Facturer séparément en tant que consommables
DocType: Budget,Control Action,Action de contrôle
DocType: Asset Maintenance Task,Assign To Name,Attribuer au nom
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Entertainment Expenses,Charges de Représentation
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open Item {0},Ouvrir l'Article {0}
DocType: Asset Finance Book,Written Down Value,Valeur comptable nette
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Sales Invoice {0} must be cancelled before cancelling this Sales Order,Facture de Vente {0} doit être annulée avant l'annulation de cette Commande Client
DocType: Clinical Procedure,Age,Âge
DocType: Sales Invoice Timesheet,Billing Amount,Montant de Facturation
DocType: Cash Flow Mapping,Select Maximum Of 1,Sélectionnez un maximum de 1
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,Invalid quantity specified for item {0}. Quantity should be greater than 0.,Quantité spécifiée invalide pour l'élément {0}. Quantité doit être supérieur à 0.
DocType: Company,Default Employee Advance Account,Compte d'avances versées aux employés par défaut
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Search Item (Ctrl + i),Rechercher un élément (Ctrl + i)
DocType: C-Form,ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be deleted,Un compte contenant une transaction ne peut pas être supprimé
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Why do think this Item should be removed?,Pourquoi pensez-vous que cet élément devrait être supprimé?
DocType: Vehicle,Last Carbon Check,Dernière Vérification Carbone
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Legal Expenses,Frais Juridiques
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select quantity on row ,Veuillez sélectionner la quantité sur la ligne
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Work Order {0}: job card not found for the operation {1},Bon de travail {0}: carte de travail non trouvée pour l&#39;opération {1}
DocType: Purchase Invoice,Posting Time,Heure de Publication
DocType: Timesheet,% Amount Billed,% Montant Facturé
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Telephone Expenses,Frais Téléphoniques
DocType: Sales Partner,Logo,Logo
DocType: Naming Series,Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Cochez cette case si vous voulez forcer l'utilisateur à sélectionner une série avant de l'enregistrer. Il n'y aura pas de série par défaut si vous cochez cette case.
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Serial No {0},Aucun Article avec le N° de Série {0}
DocType: Email Digest,Open Notifications,Notifications ouvertes
DocType: Payment Entry,Difference Amount (Company Currency),Écart de Montant (Devise de la Société)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Direct Expenses,Charges Directes
DocType: Pricing Rule Detail,Child Docname,Nom de l&#39;enfant
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,New Customer Revenue,Nouveaux Revenus de Clientèle
apps/erpnext/erpnext/config/support.py,Service Level.,Niveau de service.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Travel Expenses,Frais de Déplacement
DocType: Maintenance Visit,Breakdown,Panne
DocType: Travel Itinerary,Vegetarian,Végétarien
DocType: Patient Encounter,Encounter Date,Date de consultation
DocType: Work Order,Update Consumed Material Cost In Project,Mettre à jour le coût des matières consommées dans le projet
apps/erpnext/erpnext/controllers/accounts_controller.py,Account: {0} with currency: {1} can not be selected,Compte : {0} avec la devise : {1} ne peut pas être sélectionné
DocType: Bank Statement Transaction Settings Item,Bank Data,Données bancaires
DocType: Purchase Receipt Item,Sample Quantity,Quantité d&#39;échantillon
DocType: Bank Guarantee,Name of Beneficiary,Nom du bénéficiaire
DocType: Manufacturing Settings,"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Mettre à jour le coût de la LDM automatiquement via le Planificateur, en fonction du dernier taux de valorisation / tarif de la liste de prix / dernier prix d'achat des matières premières."
DocType: Supplier,SUP-.YYYY.-,SUP-.YYYY.-
,BOM Items and Scraps,Articles de BOM et Scraps
DocType: Bank Reconciliation Detail,Cheque Date,Date du Chèque
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} does not belong to company: {2},Compte {0}: Le Compte parent {1} n'appartient pas à l'entreprise: {2}
apps/erpnext/erpnext/setup/doctype/company/company.js,Successfully deleted all transactions related to this company!,Suppression de toutes les transactions liées à cette société avec succès !
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,As on Date,Comme à la date
DocType: Additional Salary,HR,RH
DocType: Course Enrollment,Enrollment Date,Date de l'Inscription
DocType: Healthcare Settings,Out Patient SMS Alerts,Alertes SMS pour Patients
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Probation,Essai
DocType: Company,Sales Settings,Paramètres de vente
DocType: Program Enrollment Tool,New Academic Year,Nouvelle Année Académique
DocType: Supplier Scorecard,Load All Criteria,Charger tous les critères
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Return / Credit Note,Retour / Note de Crédit
DocType: Stock Settings,Auto insert Price List rate if missing,Insertion automatique du taux de la Liste de Prix si manquante
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Paid Amount,Montant Total Payé
DocType: GST Settings,B2C Limit,Limite B2C
DocType: Job Card,Transferred Qty,Quantité Transférée
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,The selected payment entry should be linked with a creditor bank transaction,L&#39;entrée de paiement sélectionnée doit être liée à une transaction bancaire créditrice
DocType: POS Closing Voucher,Amount in Custody,Montant en détention
apps/erpnext/erpnext/config/help.py,Navigating,Naviguer
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.js,Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,La politique de mot de passe ne peut pas contenir d&#39;espaces ni de traits d&#39;union simultanés. Le format sera restructuré automatiquement
DocType: Quotation Item,Planning,Planification
DocType: Salary Component,Depends on Payment Days,Dépend des jours de paiement
DocType: Contract,Signee,Signataire
DocType: Share Balance,Issued,Publié
DocType: Loan,Repayment Start Date,Date de début du remboursement
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Student Activity,Activité Étudiante
apps/erpnext/erpnext/accounts/report/purchase_register/purchase_register.py,Supplier Id,ID du Fournisseur
DocType: Payment Request,Payment Gateway Details,Détails de la Passerelle de Paiement
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Quantity should be greater than 0,Quantité doit être supérieure à 0
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,Price or product discount slabs are required,Des dalles de prix ou de remise de produit sont requises
DocType: Journal Entry,Cash Entry,Écriture de Caisse
