DocType: Accounting Period,Period Name,Időszak neve
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,Successfully Reconciled,Sikeresen Egyeztetett
DocType: Request for Quotation Supplier,Download PDF,PDF letöltése
DocType: Work Order,Planned End Date,Tervezett befejezési dátum
DocType: Shareholder,Hidden list maintaining the list of contacts linked to Shareholder,"Rejtett lista, amely fenntartja a Részvény tulajdonoshoz kapcsolódó kapcsolatok listáját"
DocType: Exchange Rate Revaluation Account,Current Exchange Rate,Aktuális árfolyam
DocType: Item,"Sales, Purchase, Accounting Defaults","Értékesítés, vásárlás, számvitel alapértékei"
DocType: Accounting Dimension Detail,Accounting Dimension Detail,Számviteli dimenzió részlete
apps/erpnext/erpnext/config/non_profit.py,Donor Type information.,Adományozó típusának információi.
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} on Leave on {1},{0} Távolléten ekkor {1}
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Available for use date is required,Rendelkezésre állási dátum szükséges
DocType: Request for Quotation,Supplier Detail,Beszállító adatai
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Error in formula or condition: {0},Hiba az űrlapban vagy feltételben: {0}
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Invoiced Amount,Számlázott összeg
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Criteria weights must add up to 100%,A kritériumok súlyai egészen 100%-ig
apps/erpnext/erpnext/education/doctype/course_schedule/course_schedule.js,Attendance,Részvétel
apps/erpnext/erpnext/public/js/pos/pos.html,Stock Items,Raktári tételek
DocType: Sales Invoice,Update Billed Amount in Sales Order,Kiszámlázott összeg frissítése a Vevői rendelésen
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Contact Seller,Kapcsolatfelvétel az eladóval
DocType: BOM,Materials,Anyagok
DocType: Leave Block List,"If not checked, the list will have to be added to each Department where it has to be applied.","Ha nincs bejelölve, akkor a listát meg kell adni minden egyes részleghez, ahol alkalmazni kell."
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Posting date and posting time is mandatory,Postára adás dátuma és a kiküldetés ideje kötelező
apps/erpnext/erpnext/config/buying.py,Tax template for buying transactions.,Adó sablon a beszerzési tranzakciókra.
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Please login as a Marketplace User to report this item.,"Kérjük, jelentkezzen be egy Marketplace-felhasználóként, hogy jelentse ezt az elemet."
,Sales Partner Commission Summary,Értékesítési partnerbizottsági összefoglaló
,Item Prices,Tétel árak
DocType: Purchase Order,In Words will be visible once you save the Purchase Order.,"A szavakkal mező lesz látható, miután mentette a Beszerzési megrendelést."
DocType: Holiday List,Add to Holidays,Add hozzá az ünnepekhez
DocType: Woocommerce Settings,Endpoint,Végpont
DocType: Period Closing Voucher,Period Closing Voucher,Utalvány lejárati Időszaka
DocType: Patient Encounter,Review Details,Részletek megtekintése
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shareholder does not belong to this company,A részvényes nem tartozik ehhez a vállalkozáshoz
DocType: Dosage Form,Dosage Form,Adagolási dózisforma
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,Please set up the Campaign Schedule in the Campaign {0},"Kérjük, állítsa be a kampány ütemezését a (z) {0} kampányban"
apps/erpnext/erpnext/config/buying.py,Price List master.,Árlista törzsadat.
DocType: Task,Review Date,Megtekintés dátuma
DocType: BOM,Allow Alternative Item,Alternatív tétel engedélyezése
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,"A beszerzési nyugtán nincs olyan elem, amelyre a minta megőrzése engedélyezve van."
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Invoice Grand Total,Összesen számla
DocType: Company,Series for Asset Depreciation Entry (Journal Entry),Vagyontárgy értékcsökkenési tételsorozat (Naplóbejegyzés)
DocType: Membership,Member Since,Tag ekkortól
DocType: Purchase Invoice,Advance Payments,Előleg kifizetések
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Time logs are required for job card {0},Időnaplók szükségesek a munkaállomáshoz {0}
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Please select Healthcare Service,"Kérjük, válassza az Egészségügyi szolgáltatás lehetőséget"
DocType: Purchase Taxes and Charges,On Net Total,Nettó összeshez
apps/erpnext/erpnext/controllers/item_variant.py,Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},"Érték erre a Jellemzőre: {0} ezen a tartományon belül kell lennie: {1} - {2} azzel az emelkedéssel: {3} ,erre a tételre:{4}"
DocType: Pricing Rule,Product Discount Scheme,Termékkedvezmény rendszer
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No issue has been raised by the caller.,A hívó nem vetett fel kérdést.
DocType: Restaurant Reservation,Waitlisted,Várólistás
DocType: Employee Tax Exemption Declaration Category,Exemption Category,Mentesség kategóriája
apps/erpnext/erpnext/accounts/doctype/account/account.py,Currency can not be changed after making entries using some other currency,"Pénznemen nem lehet változtatni, miután bejegyzéseket tett  más pénznem segítségével"
DocType: Shipping Rule,Fixed,Rögzített
DocType: Vehicle Service,Clutch Plate,Tengelykapcsoló lemez
DocType: Tally Migration,Round Off Account,Gyüjtő számla
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Administrative Expenses,Igazgatási költségek
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consulting,Tanácsadó
DocType: Subscription Plan,Based on price list,Árlista alapján
DocType: Customer Group,Parent Customer Group,Fő Vevő csoport
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from Sales Invoice,Az e-Way Bill JSON csak az értékesítési számlából generálható
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Maximum attempts for this quiz reached!,Elérte a kvíz maximális kísérleteit!
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Subscription,Előfizetés
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Creation Pending,Díj létrehozása függőben van
DocType: Project Template Task,Duration (Days),Időtartam (nap)
DocType: Appraisal Goal,Score Earned,Pontszám Szerzett
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Notice Period,Felmondási idő
DocType: Asset Category,Asset Category Name,Vagyontárgy Kategória neve
apps/erpnext/erpnext/setup/doctype/territory/territory.js,This is a root territory and cannot be edited.,"Ez egy forrás tartomány, és nem lehet szerkeszteni."
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,New Sales Person Name,Új értékesítési személy neve
DocType: Packing Slip,Gross Weight UOM,Bruttó tömeg mértékegysége
DocType: Employee Transfer,Create New Employee Id,Új alkalmazotti azonosító létrehozása
apps/erpnext/erpnext/public/js/hub/components/item_publish_dialog.js,Set Details,Állítsa be a részleteket
apps/erpnext/erpnext/templates/pages/home.html,By {0},Írta: {0}
DocType: Travel Itinerary,Travel From,Utazás innen
DocType: Asset Maintenance Task,Preventive Maintenance,Megelőző karbantartás
DocType: Delivery Note Item,Against Sales Invoice,Értékesítési ellenszámlák
DocType: Purchase Invoice,07-Others,07-Egyebek
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please enter serial numbers for serialized item ,"Kérjük, adjaon sorozatszámokat a sorbarendezett tételekhez"
DocType: Bin,Reserved Qty for Production,Lefoglalt mennyiség a termeléshez
DocType: Student Group Creation Tool,Leave unchecked if you don't want to consider batch while making course based groups. ,"Hagyja bejelöletlenül, ha nem szeretné, kötegelni miközben kurzus alapú csoportokat hoz létre."
DocType: Asset,Frequency of Depreciation (Months),Az értékcsökkenés elszámolásának gyakorisága (hónapok)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Credit Account,Követelésszámla
DocType: Landed Cost Item,Landed Cost Item,Beszerzési költség tétel
apps/erpnext/erpnext/accounts/report/profitability_analysis/profitability_analysis.js,Show zero values,Jelenítse meg a nulla értékeket
DocType: BOM,Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,"Mennyiség amit ebből a tételből kapott a  gyártás / visszacsomagolás után, a megadott alapanyagok mennyiségének felhasználásával."
DocType: Lab Test,Test Group,Tesztcsoport
DocType: Service Level Agreement,Entity,Entity
DocType: Payment Reconciliation,Receivable / Payable Account,Bevételek / Fizetendő számla
DocType: Delivery Note Item,Against Sales Order Item,Vevői rendelési tétel ellen
DocType: Company,Company Logo,Vállalati logó
DocType: QuickBooks Migrator,Default Warehouse,Alapértelmezett raktár
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Budget cannot be assigned against Group Account {0},Költségvetést nem lehet hozzárendelni ehhez a Csoport számlához {0}
DocType: Shopping Cart Settings,Show Price,Árak megjelenítése
DocType: Healthcare Settings,Patient Registration,Beteg regisztráció
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Please enter parent cost center,"Kérjük, adjon meg szülő költséghelyet"
DocType: Delivery Note,Print Without Amount,Nyomtatás érték nélkül
apps/erpnext/erpnext/accounts/report/asset_depreciation_ledger/asset_depreciation_ledger.py,Depreciation Date,Értékcsökkentés dátuma
,Work Orders in Progress,Folyamatban lévő munka megrendelések
DocType: Customer Credit Limit,Bypass Credit Limit Check,A hitelkeret megkerülése
DocType: Issue,Support Team,Támogató csoport
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,Expiry (In Days),Érvényességi idő (napokban)
DocType: Appraisal,Total Score (Out of 5),Összes pontszám (5–ből)
DocType: Student Attendance Tool,Batch,Köteg
DocType: Support Search Source,Query Route String,Lekérdezés útvonal lánc
DocType: Tally Migration,Day Book Data,Napi könyv adatai
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Update rate as per last purchase,Utolsó beszerzés alapján az ár frissítése
DocType: Donor,Donor Type,Adományozó típusa
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Auto repeat document updated,Az automatikus ismétlődő dokumentum frissítve
apps/erpnext/erpnext/stock/doctype/item/item.js,Balance,Mérleg
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please select the Company,"Kérjük, válassza ki a Vállalkozást"
DocType: Employee Checkin,Skip Auto Attendance,Ugrás az automatikus jelenlétre
DocType: BOM,Job Card,Job kártya
DocType: Room,Seating Capacity,Ülőhely kapacitás
DocType: Issue,ISS-,PROBL-
DocType: Item,Is Non GST,Nem GST
DocType: Lab Test Groups,Lab Test Groups,Labor Teszt csoportok
apps/erpnext/erpnext/config/accounting.py,Profitability,Jövedelmezőség
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,Party Type and Party is mandatory for {0} account,Ügyfél típus és Ügyfél kötelező a {0} főkönyvi számlára
DocType: Project,Total Expense Claim (via Expense Claims),Teljes Költség Követelés (költségtérítési igényekkel)
DocType: GST Settings,GST Summary,GST Összefoglaló
apps/erpnext/erpnext/hr/doctype/daily_work_summary_group/daily_work_summary_group.py,Please enable default incoming account before creating Daily Work Summary Group,"Kérjük, engedélyezze az alapértelmezett bejövő fiókot a Napi munkák összefoglaló csoport létrehozása előtt"
DocType: Assessment Result,Total Score,Összesített pontszám
DocType: Crop Cycle,ISO 8601 standard,ISO 8601 szabvány szerint
DocType: Journal Entry,Debit Note,Tartozás értesítő
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,You can only redeem max {0} points in this order.,Ebben a sorrendben csak max {0} pontot vehetsz ki.
DocType: Expense Claim,HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,Please enter API Consumer Secret,"Kérjük, adja meg az API fogyasztói titkosítót"
DocType: Stock Entry,As per Stock UOM,Készlet mértékegysége szerint
apps/erpnext/erpnext/stock/doctype/batch/batch_list.js,Not Expired,Nem járt le
DocType: Student Log,Achievement,Elért eredmény
DocType: Asset,Insurer,Biztosító társaság
DocType: Batch,Source Document Type,Forrás dokument típusa
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,Following course schedules were created,A következő kurzus ütemezések készültek el
DocType: Employee Onboarding,Employee Onboarding,Employee Onboarding
DocType: Journal Entry,Total Debit,Tartozás összesen
DocType: Travel Request Costing,Sponsored Amount,Szponzorált összeg
DocType: Manufacturing Settings,Default Finished Goods Warehouse,Alapértelmezett készáru raktár
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient,"Kérem, válassza a Beteg"
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Sales Person,Értékesítő
DocType: Hotel Room Package,Amenities,Felszerelések
DocType: Accounts Settings,Automatically Fetch Payment Terms,A fizetési feltételek automatikus lehívása
DocType: QuickBooks Migrator,Undeposited Funds Account,Nem támogatott alapok számlája
DocType: Coupon Code,Uses,felhasználások
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Multiple default mode of payment is not allowed,Több alapértelmezett fizetési mód nem engedélyezett
DocType: Sales Invoice,Loyalty Points Redemption,Hűségpontok visszaváltása
,Appointment Analytics,Vizit időpontok elemzései
DocType: Lead,Blog Subscriber,Blog Követők
DocType: Guardian,Alternate Number,Alternatív száma
DocType: Assessment Plan Criteria,Maximum Score,Maximális pontszám
apps/erpnext/erpnext/config/settings.py,Create rules to restrict transactions based on values.,Készítsen szabályokat az ügyletek korlátozására az értékek alapján.
DocType: Cash Flow Mapping Accounts,Cash Flow Mapping Accounts,Pénzforgalom térképezés számla
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py, Group Roll No,Csoport beiratkozási sz.:
DocType: Quality Goal,Revision and Revised On,Felülvizsgálva és felülvizsgálva
DocType: Batch,Manufacturing Date,Gyártás időpontja
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Creation Failed,Díj létrehozása sikertelen
DocType: Opening Invoice Creation Tool,Create Missing Party,Hiányzó fél létrehozása
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Budget,Teljes költségvetés
DocType: Student Group Creation Tool,Leave blank if you make students groups per year,"Hagyja üresen, ha diák csoportokat évente hozza létre"
DocType: HR Settings,"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Ha be van jelölve, a munkanapok száma tartalmazni fogja az ünnepeket, és ez csökkenti a napi bér összegét"
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to add Domain,Nem sikerült hozzáadni a tartományt
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the Item.",A túllépés / kézbesítés engedélyezéséhez frissítse a &quot;Túlérvényesítési / szállítási támogatás&quot; elemet a Készletbeállításokban vagy az elemben.
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,"Apps using current key won't be able to access, are you sure?","Az aktuális kulcsot használó alkalmazások nem fognak hozzáférni, biztos ebben?"
DocType: Subscription Settings,Prorate,Megosztási
DocType: Purchase Invoice,Total Advance,Összes előleg
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Template Code,Sablon kód módosítása
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,"A kifejezés végső dátuma nem lehet korábbi, mint a kifejezés kezdete. Kérjük javítsa ki a dátumot, és próbálja újra."
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot Count,Áraj számláló
DocType: Bank Statement Transaction Entry,Bank Statement,Bankszámla kivonat
DocType: Employee Benefit Claim,Max Amount Eligible,Maximális összeg jogosult
,BOM Stock Report,Anyagjegyzék készlet jelentés
DocType: Communication Medium,"If there is no assigned timeslot, then communication will be handled by this group","Ha nincs hozzárendelt időrés, akkor a kommunikációt ez a csoport kezeli"
DocType: Stock Reconciliation Item,Quantity Difference,Mennyiség különbség
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Supplier &gt; Supplier Type,Szállító&gt; Beszállító típusa
DocType: Opportunity Item,Basic Rate,Alapár
DocType: GL Entry,Credit Amount,Követelés összege
,Electronic Invoice Register,Elektronikus számlanyilvántartás
DocType: Cheque Print Template,Signatory Position,Az aláíró pozíció
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Set as Lost,Elveszetté állít
DocType: Timesheet,Total Billable Hours,Összesen számlázható órák
DocType: Subscription,Number of days that the subscriber has to pay invoices generated by this subscription,Ehhez az előfizetéshez létrehozott számlán az előfizetők által fizetendő napok száma
DocType: Employee Benefit Application Detail,Employee Benefit Application Detail,Munkavállalói juttatási alkalmazás részletei
apps/erpnext/erpnext/accounts/print_format/payment_receipt_voucher/payment_receipt_voucher.html,Payment Receipt Note,Fizetési átvételi Megjegyzés
apps/erpnext/erpnext/selling/doctype/customer/customer_dashboard.py,This is based on transactions against this Customer. See timeline below for details,Ennek alapja az ezzel a Vevővel történt tranzakciók. Lásd alábbi idővonalat a részletekért
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Create Material Request,Anyagkérés létrehozása
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,"Start and end dates not in a valid Payroll Period, cannot calculate {0}","A kezdési és a befejezési dátum nem érvényes érvényes béridőszakban van, nem tudja kiszámítani a (z) {0} -ot"
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},"Sor {0}: Lekötött összeg {1} kisebbnek kell lennie, vagy egyenlő fizetés Entry összeg {2}"
DocType: Program Enrollment Tool,New Academic Term,Új akadémiai ciklus
,Course wise Assessment Report,Tanfolyamonkéni értékelő jelentés
DocType: Customer Feedback Template,Customer Feedback Template,Ügyfél-visszajelző sablon
DocType: Purchase Invoice,Availed ITC State/UT Tax,Az ITC állami / UT adót vette igénybe
DocType: Tax Rule,Tax Rule,Adójogszabály
DocType: Selling Settings,Maintain Same Rate Throughout Sales Cycle,Ugyanazt az árat tartani az egész értékesítési ciklusban
apps/erpnext/erpnext/hub_node/api.py,Please login as another user to register on Marketplace,"Kérjük, jelentkezzen be másik felhasználónévvel a Marketplace-en való regisztráláshoz"
DocType: Manufacturing Settings,Plan time logs outside Workstation Working Hours.,Tervezési idő naplók a Munkaállomés  munkaidején kívül.
apps/erpnext/erpnext/public/js/pos/pos.html,Customers in Queue,Vevők sorban
DocType: Driver,Issuing Date,Kibocsátási dátum
DocType: Procedure Prescription,Appointment Booked,A vizit foglalása
DocType: Student,Nationality,Állampolgárság
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Configure,Beállítás
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Submit this Work Order for further processing.,Küldje el ezt a munka megrendelést további feldolgozás céljából.
,Items To Be Requested,Tételek kell kérni
DocType: Company,Allow Account Creation Against Child Company,A fiók létrehozásának engedélyezése a gyermekvállalkozások ellen
DocType: Company,Company Info,Vállakozás adatai
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select or add new customer,Válasszon ki vagy adjon hozzá új vevőt
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Cost center is required to book an expense claim,Költséghely szükséges költségtérítési igény könyveléséhez
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Application of Funds (Assets),Vagyon tárgyak alkalmazás (tárgyi eszközök)
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,This is based on the attendance of this Employee,Ez az Alkalmazott jelenlétén alapszik
DocType: Payment Request,Payment Request Type,Fizetési kérelem típusa
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,Mark Attendance,Megjelölés a részvételre
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Debit Account,Tartozás Számla
DocType: Fiscal Year,Year Start Date,Év kezdő dátuma
DocType: Additional Salary,Employee Name,Alkalmazott neve
DocType: Restaurant Order Entry Item,Restaurant Order Entry Item,Éttermi rendelési bejegyzés tétele
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,{0} bank transaction(s) created and {1} errors,{0} banki tranzakció létrehozva és {1} hiba történt
DocType: Purchase Invoice,Rounded Total (Company Currency),Kerekített összeg (a cég pénznemében)
apps/erpnext/erpnext/accounts/doctype/account/account.py,Cannot covert to Group because Account Type is selected.,"Nem lehet csoporttá alakítani, mert a számla típus ki van választva."
DocType: Quiz,Max Attempts,Max. Kísérletek
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has been modified. Please refresh.,"{0} {1} módosításra került. Kérjük, frissítse."
DocType: Leave Block List,Stop users from making Leave Applications on following days.,"Tiltsa a felhasználóknak, hogy eltávozást igényelhessenek a következő napokra."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","Ha a Loyalty Pontok korlátlan lejárati ideje lejárt, akkor tartsa az Expiry Duration (lejárati időtartam) üresen vagy 0 értéken."
DocType: Asset Maintenance Team,Maintenance Team Members,Karbantartó csoporttagok
DocType: Loyalty Point Entry,Purchase Amount,Beszerzés összege
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved \
											to fullfill Sales Order {2}","Az {1} tétel {0} sorszáma nem adható meg, mivel fenntartva \ teljesítési megbízás {2}"
DocType: Quotation,SAL-QTN-.YYYY.-,ÉRT-ÁRAJ-.YYYY.-
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,Supplier Quotation {0} created,Beszállító árajánlata :{0} létrehozva
apps/erpnext/erpnext/accounts/report/financial_statements.py,End Year cannot be before Start Year,Befejező év nem lehet a kezdés évnél korábbi
DocType: Employee Benefit Application,Employee Benefits,Alkalmazotti juttatások
apps/erpnext/erpnext/projects/report/billing_summary.py,Employee ID,munkavállalói azonosító
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packed quantity must equal quantity for Item {0} in row {1},Csomagolt mennyiségeknek egyezniük kell a  {1} sorban lévő {0} tétel mennyiségével
DocType: Work Order,Manufactured Qty,Gyártott menny.
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares don't exist with the {0},A részvények nem léteznek ezzel {0}
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Select Difference Account,Válassza a Különbség fiókot
DocType: Sales Partner Type,Sales Partner Type,Vevői partner típusa
DocType: Shopify Webhook Detail,Webhook ID,Webes hívatkozás ID
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Invoice Created,Számla kelte
DocType: Asset,Out of Order,Üzemen kívül
DocType: Purchase Receipt Item,Accepted Quantity,Elfogadott mennyiség
DocType: Projects Settings,Ignore Workstation Time Overlap,Munkaállomás időátfedésének figyelmen kívül hagyása
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set a default Holiday List for Employee {0} or Company {1},"Kérjük, állítsa be az alapértelmezett Ünnepet erre az Alkalmazottra: {0} vagy Vállalkozásra: {1}"
apps/erpnext/erpnext/accounts/party.py,{0}: {1} does not exists,{0}: {1} nem létezik
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Batch Numbers,Válasszon köteg számokat
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To GSTIN,A GSTIN-hez
apps/erpnext/erpnext/config/accounting.py,Bills raised to Customers.,Vevők számlái
DocType: Healthcare Settings,Invoice Appointments Automatically,Számlázási automatikus naptár
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Project Id,Projekt téma azonosító
DocType: Salary Component,Variable Based On Taxable Salary,Adóköteles fizetésen alapuló változó
DocType: Company,Basic Component,Alapkomponens
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},"Sor {0}: Az összeg nem lehet nagyobb, mint a függőben lévő összege ezzel a költségtérítéssel szemben:  {1}. Függőben lévő összeg: {2}"
DocType: Patient Service Unit,Medical Administrator,Orvosi ügyintéző
DocType: Assessment Plan,Schedule,Ütemezés
DocType: Account,Parent Account,Fő számla
apps/erpnext/erpnext/hr/doctype/salary_structure_assignment/salary_structure_assignment.py,Salary Structure Assignment for Employee already exists,A munkavállalói fizetésszerkezet-hozzárendelés már létezik
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Available,Elérhető
DocType: Quality Inspection Reading,Reading 3,Olvasás 3
DocType: Stock Entry,Source Warehouse Address,Forrás raktárkészlet címe
DocType: GL Entry,Voucher Type,Bizonylat típusa
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Future Payments,Jövőbeli kifizetések
DocType: Amazon MWS Settings,Max Retry Limit,Max Retry Limit
apps/erpnext/erpnext/accounts/page/pos/pos.js,Price List not found or disabled,"Árlista nem található, vagy letiltva"
DocType: Content Activity,Last Activity ,"utolsó bejelentkezés, utolsó használat"
DocType: Student Applicant,Approved,Jóváhagyott
DocType: Pricing Rule,Price,Árazás
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Employee relieved on {0} must be set as 'Left',"Elengedett alkalmazott: {0} , be kell állítani mint 'Távol'"
DocType: Guardian,Guardian,"Gyám, helyettesítő"
apps/erpnext/erpnext/support/doctype/issue/issue.js,All communications including and above this shall be moved into the new Issue,"Minden kommunikációt, beleértve a fentieket is, át kell helyezni az új garanciális ügybe"
DocType: Salary Detail,Tax on additional salary,Adóbevallás
DocType: Item Alternative,Item Alternative,Elem alternatívája
DocType: Healthcare Settings,Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,"Az alapértelmezett jövedelem számlákat kell használni, ha nem az egészségügyi szakemberen van beállítva  a találkozó költségeinek  könyvelése."
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Total contribution percentage should be equal to 100,A teljes hozzájárulás százalékának 100-nak kell lennie
DocType: Opening Invoice Creation Tool,Create missing customer or supplier.,Hozzon létre egy hiányzó vevőt vagy beszállítót.
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Appraisal {0} created for Employee {1} in the given date range,Értékelés: {0} létrehozva a(z)  {1} alkalmazottra a megadott dátum tartományban
DocType: Academic Term,Education,Oktatás
DocType: Payroll Entry,Salary Slips Created,Fizetési csúszkák létrehozva
DocType: Inpatient Record,Expected Discharge,Várható felmentés
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Del,Töröl
DocType: Selling Settings,Campaign Naming By,Kampányt elnevezte
DocType: Employee,Current Address Is,Aktuális cím
apps/erpnext/erpnext/utilities/user_progress.py,Monthly Sales Target (,Havi eladási cél (
apps/erpnext/erpnext/templates/includes/projects/project_tasks.html,modified,módosított
DocType: Travel Request,Identification Document Number,Személy Igazolvány Szám
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Optional. Sets company's default currency, if not specified.","Választható. Megadja cég alapértelmezett pénznemét, ha nincs meghatározva."
DocType: Sales Invoice,Customer GSTIN,Vevő GSTIN
DocType: Crop Cycle,List of diseases detected on the field. When selected it'll automatically add a list of tasks to deal with the disease ,A területen észlelt kórokozók listája. Kiválasztáskor automatikusan felveszi a kórokozók kezelésére szolgáló feladatok listáját
