Pension Funds,Fons de pensions
Sales Team,Equip de vendes
Stock UOM,Stock UOM
Installation Date,Data d&#39;instal·lació
New Quotations,Noves cites
Ordered Qty,Quantitat ordenada
Minutes to First Response for Issues,Minuts de la primera resposta per a problemes
Refuelling Details,Detalls del proveïment
Targets,Objectius
Settings for Buying Module,Configuració del mòdul de compra
Purchase Order {0} is not submitted,L’ordre de compra {0} no s’envia
Material Request {0} submitted.,S&#39;ha enviat la sol·licitud de material {0}.
Posting date and posting time is mandatory,La data de publicació i el temps de publicació són obligatoris
{} of {},{} de {}
Lab Routine,Rutina de laboratori
Payment Failed. Please check your GoCardless Account for more details,Ha fallat el pagament. Consulteu el vostre compte de GoCardless per obtenir més informació
Row {0}:Start Date must be before End Date,La fila {0}: la data d&#39;inici ha de ser abans de la data de finalització
LMS Activity,Activitat LMS
Next Depreciation Date,Data de depreciació següent
Appointment Reminder,Recordatori de cita
Cost Center Name,Nom del centre de costos
Margin Rate or Amount,Taxa de marge o import
Clinical Procedure Consumable Item,Article consumible del procediment clínic
Manual,Manual
Raw Materials cannot be blank.,Les matèries primeres no poden estar en blanc.
Please enter Cost Center,Introduïu el Centre de costos
Source DocType,Tipus de document font
Parent Assessment Group,Grup d’avaluació dels pares
Accepted Warehouse,Magatzem acceptat
Discount and Margin,Descompte i marge
Student and Guardian Contact Details,Detalls de contacte d&#39;estudiants i guardians
Buying,Compra
Present,Present
Member Since,Membre des de
Use for Shopping Cart,Ús per a la cistella de la compra
Loan Account,Compte de préstec
All the mandatory Task for employee creation hasn't been done yet.,No s’ha realitzat encara la tasca obligatòria per a la creació d’empleats.
The minimum length between each plant in the field for optimum growth,La longitud mínima entre cada planta del camp per obtenir un creixement òptim
Applicable on Purchase Order,Aplicable per ordre de compra
Receive at Warehouse,Rebre al Magatzem
Is Income Tax Expense,És l’impost sobre la renda
Make Difference Entry,Feu l&#39;entrada de diferència
Total (Credit),Total (crèdit)
The Brand,La marca
Item 3,Tema 3
Deferred Expense Account,Compte de despeses diferides
Accumulated Depreciation Amount,Import d’amortització acumulat
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: el centre de costos és obligatori per a l&#39;article {2}
No accounting entries for the following warehouses,No hi ha entrades comptables per als següents magatzems
Please save first,Deseu el primer
Extra Small,Extra petita
Assessment Group,Grup d’avaluació
UOM,UOM
Bills raised by Suppliers.,Factures recaptades pels proveïdors.
HR User,Usuari HR
Profit for the year,Benefici de l’any
Medical Code,Codi mèdic
Update bank payment dates with journals.,Actualitzeu les dates de pagament bancari amb revistes.
Current Assets,Actius corrents
Row #{0}: Asset {1} does not belong to company {2},Línia # {0}: l’actiu {1} no pertany a l&#39;empresa {2}
Contact Person,Persona de contacte
{0} - {1} is not enrolled in the Batch {2},{0} - {1} no està inscrit al lot {2}
Holiday List Name,Nom de la llista de vacances
Collection Temperature ,Temperatura de recollida
Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Gestiona la factura de cites i envieu-la automàticament per a Trobada de pacients
Claim Date,Data de reclamació
Leave blank if the Supplier is blocked indefinitely,Deixeu en blanc si el proveïdor està bloquejat indefinidament
Attendance From Date and Attendance To Date is mandatory,L&#39;assistència des de la data i l&#39;assistència fins a la data és obligatòria
Out of Warranty,fora de garantia
Same item cannot be entered multiple times.,No es pot introduir el mateix document diverses vegades.
Select students manually for the Activity based Group,Seleccioneu els estudiants manualment per al grup basat en l&#39;activitat
Series Updated,Sèrie actualitzada
Date Of Retirement,Data de jubilació
Please select Patient,Seleccioneu el pacient
Straight Line,Línia recta
No of Sent SMS,No de SMS enviats
GST Itemised Sales Register,Registre de vendes detallat de GST
Total advance amount cannot be greater than total sanctioned amount,L’import de l’avanç total no pot superar l’import total sancionat
Test Name,Nom de la prova
Total Billing Amount (via Time Sheet),Import total de facturació (a través del full de temps)
Quotation {0} is cancelled,La cita {0} es cancel·la
Clear values,Esborreu valors
Traceability,Traçabilitat
Same Company is entered more than once,La mateixa empresa s&#39;introdueix més d&#39;una vegada
Contact Name,Nom de contacte
Is Internal Customer,És client intern
Account Head,Cap de compte
Lower Income,Ingressos menors
Start date should be less than end date for task {0},La data d&#39;inici ha de ser inferior a la data final per a la tasca {0}
Customer Service,Servei d&#39;atenció al client
Fee,Taxa
BOM {0} does not belong to Item {1},El BOM {0} no pertany a l’article {1}
Daily Work Summary Group,Grup de resum diari del treball
Customizing Forms,Personalització de formularis
Cancel Material Visit {0} before cancelling this Warranty Claim,Cancel·la el material. Visiteu {0} abans de cancel·lar aquesta reclamació de garantia
Ignore Pricing Rule,Ignora la regla de preus
Food,Aliments
Lost Reason Detail,Detall de la raó perduda
Customer Feedback,Comentaris dels clients
Warranty / AMC Details,Detalls de la garantia / AMC
Opening Time,Horari d&#39;obertura
View a list of all the help videos,Veure una llista de tots els vídeos d’ajuda
Party Account Currency,Divisa del compte del partit
Please select a field to edit from numpad,Seleccioneu un camp per editar des del teclat numèric
Assessment Plan Criteria,Criteris del pla d&#39;avaluació
Item Fields,Camps d&#39;element
Manage Sales Partners.,Administrar socis comercials.
"Cannot declare as lost, because Quotation has been made.","No es pot declarar com a perdut, perquè s&#39;ha realitzat el pressupost."
"Here you can maintain family details like name and occupation of parent, spouse and children","Aquí podeu mantenir les dades de la família com el nom i l’ocupació dels pares, cònjuges i fills"
Shipping City,Envia la ciutat
Update Items,Actualitza els elements
Customer Ledger Summary,Resum del llibre de clients
B Positive,B positiu
Accounting journal entries.,Entrades de diari de comptabilitat.
Purchase Order Required,Ordre de compra necessari
New Student Batch,Nou lot de estudiants
Account Type,Tipus de compte
Fuel Type,Tipus de combustible
Email sent to {0},Correu electrònic enviat a {0}
Change Release Date,Canvia la data de publicació
Default BOM for {0} not found,No s&#39;ha trobat la llista de materials per defecte de {0}
HSN-wise-summary of outward supplies,Resum de subministraments externs per HSN
Appointments and Encounters,Cites i trobades
Tax Withholding Category,Categoria retenció fiscal
Linked Doctype,Tipus de document enllaçat
Cost of Goods Sold,Cost dels bens venuts
Reading 3,Lectura 3
Group by Voucher,Agrupar per bo
Delivered Items To Be Billed,Articles lliurats a facturar
Employee Transfer Details,Detalls de transferència d&#39;empleats
Company registration numbers for your reference. Tax numbers etc.,"Els números de registre de l&#39;empresa per a la vostra referència. Números d’impostos, etc."
Serial No {0} does not belong to Warehouse {1},El número de sèrie {0} no pertany a Magatzem {1}
Del,Del
on,endavant
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Podeu definir totes les tasques que cal dur a terme per a aquest cultiu aquí. El camp de dia s’utilitza per esmentar el dia en què cal dur a terme la tasca, 1 sent el primer dia, etc."
Task,Tasca
Help HTML,Ajuda HTML
Dosage by time interval,Dosi per interval de temps
Batch Description,Descripció del lot
Please set associated account in Tax Withholding Category {0} against Company {1},"Si us plau, establiu el compte associat a la categoria de retenció d&#39;impostos {0} contra l&#39;empresa {1}"
Needs Analysis,Anàlisi de necessitats
Allocated Leaves,Fulles assignades
Transaction Details,Detalls de la transacció
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Publiqueu &quot;En estoc&quot; o &quot;No en estoc&quot; al concentrador basat en les accions disponibles en aquest magatzem.
Company name not same,El nom de l&#39;empresa no és el mateix
Employee Promotion cannot be submitted before Promotion Date ,La promoció dels empleats no es pot enviar abans de la data de promoció
Not allowed to update stock transactions older than {0},No es permet actualitzar les transaccions de valors més grans que {0}
Start date should be less than end date for Item {0},La data d&#39;inici ha de ser inferior a la data de finalització de l&#39;element {0}
Create customer quotes,Creeu pressupostos de clients
Buying Settings,Configuració de la compra
Restaurant Menu Item,Element del menú del restaurant
Calculate Total Score,Calcula la puntuació total
Issue Type,Tipus d&#39;emissió
Start date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,La data d&#39;inici de la tasca <b>{0}</b> no pot ser superior a <b>{1}</b> data de finalització prevista <b>{2}</b>
Balance Value,Valor del saldo
Groups,Grups
Target warehouse in row {0} must be same as Work Order,El magatzem objectiu de la fila {0} ha de ser el mateix que l&#39;Ordre de treball
Serial Number: {0} is already referenced in Sales Invoice: {1},Número de sèrie: {0} ja es fa referència a la factura de vendes: {1}
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Si Shopify no conté cap client en ordre, al mateix temps que sincronitzeu les comandes, el sistema considerarà el client predeterminat per a la comanda"
Shopify Tax Account,Compte fiscal Shopify
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Assegureu-vos que voleu suprimir totes les transaccions d’aquesta empresa. Les vostres dades mestres romandran tal com està. Aquesta acció no es pot desfer.
Auto Repeat Detail,Repetir automàticament el detall
Please supply the specified items at the best possible rates,Proporcioneu els articles especificats a les millors tarifes possibles
{0} in row {1},{0} a la fila {1}
Job Card Time Log,Registre del temps de la targeta de treball
Patient Demographics,Demografia del pacient
To Folio No,A Folio núm
Cash Flow from Operations,Flux de caixa procedent d’operacions
Allow Negative Stock,Permet estoc negatiu
None of the items have any change in quantity or value.,Cap dels ítems té cap canvi en quantitat o valor.
Purchase Date,Data de compra
Bank Statement Transaction Settings Item,Element de configuració de la transacció de l’enunciat bancari
BOM Stock Report,Informe d’estoc BOM
Write Off,Demanar-ho per escrit
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,La fila {0}: valor esperat després de la vida útil ha de ser inferior a la quantitat de compra bruta
Personal Bio,Bio personal
Duplicate Entry. Please check Authorization Rule {0},Entrada duplicada. Comproveu la regla d’autorització {0}
Employee {0} has already applied for {1} on {2} : ,L&#39;empleat {0} ja ha sol·licitat {1} a {2}:
Standard Selling,Venda estàndard
Invoiced,Facturats
User {0} already exists,L&#39;usuari {0} ja existeix
Profit and Loss,Benefici i pèrdua
Diff Qty,Qt de dif
Written Down Value,Valor per escrit escrit
Opening Balance Equity,Obrir el saldo del saldo
April,Abril
Credit Limit,Límit de crèdit
Distribution,Distribució
debit_note_amt,deute_note_amt
Inspected By,inspeccionat per
Get Items from Product Bundle,Obteniu elements del paquet de productes
Employee Benefit Claim,Reclamació de beneficis per a empleats
Clearance Date not mentioned,Liquidació Data no esmentada
Default Receivable Account,Compte de cobrament predeterminat
Check if it is a hydroponic unit,Comproveu si és una unitat hidropònica
Others,Altres
Patient Appointment,Cita amb el pacient
AB Positive,AB positiu
Depreciation Date,Data d’amortització
Upcoming Calendar Events,Propers esdeveniments del calendari
"Appraisals, Expense Claims and Loans","Taxacions, reclamacions i préstecs"
Create Student Batch,Crea un lot d&#39;estudiants
Travel Advance Required,Requereix avançament de viatge
Orders released for production.,Ordres lliurades per a producció.
Collection Rules,Normes de col·lecció
Disable CWIP Accounting,Inhabiliteu la comptabilitat de CWIP
Item Code &gt; Item Group &gt; Brand,Codi d&#39;ítem&gt; Grup d&#39;articles&gt; Marca
Section Based On,Secció basada en
{0} already allocated for Employee {1} for period {2} to {3},{0} ja assignats per a l&#39;empleat {1} per al període {2} a {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},La fila {0}: de temps i de temps de {1} se superposa amb {2}
Very Hyper,Molt hiper
Select the nature of your business.,Seleccioneu la naturalesa del vostre negoci.
Please select month and year,Seleccioneu el mes i l’any
Student Log,Registre d&#39;estudiants
Enable Checkout,Activa la comprovació
Human Resources,Recursos humans
Total Value Difference (Out - In),Diferència de valor total (fora d&#39;entrada)
Actual End Time,Hora de finalització real
Setting up Taxes,Configuració de impostos
Net Cash from Investing,Efectiu net de la inversió
Accounting Ledger,Comptabilitat Ledger
Item Group Tree,Arbre del grup d&#39;elements
'Total',&#39;Total&#39;
Item 1,Tema 1
Student Batches,Lots dels estudiants
"Attach .csv file with two columns, one for the old name and one for the new name","Adjunta el fitxer .csv amb dues columnes, una per al nom antic i una altra per al nom nou"
outstanding_amount,outstanding_amount
Susceptible,Susceptible
Total (Company Currency),Total (moneda de la companyia)
Website Content,Contingut del lloc web
Driving License Category,Categoria de permisos de conducció
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Fila # {0}: la data de lliurament esperada no pot ser abans de la data de compra
Make Payment,Fer pagament
Party Type is mandatory,El tipus de festa és obligatori
The fields From Shareholder and To Shareholder cannot be blank,Els camps De l’accionista i l’Accionista no poden quedar en blanc
Quality Management,Gestió de la qualitat
Transfer Material Against,Transferiu el material contra
Temporarily on Hold,Temporalment en espera
Connect Shopify with ERPNext,Connect Shopify amb ERPNext
Subtitle,Subtítol
Loam,Loam
Scrap Material Cost(Company Currency),Cost del material de ferralla (moneda de la companyia)
Delivery Note {0} must not be submitted,No s’ha d’enviar la nota de lliurament {0}
Actual Start Date (via Time Sheet),Data d&#39;inici real (a través del full de temps)
Delivery Date,Data de lliurament
Item Shortage Report,Informe d&#39;escassetat d&#39;articles
Price Determination,Determinació de preus
Retail & Wholesale,Venda al detall i majorista
Twice Daily,Dos vegades al dia
Integrated Tax,Impost integrat
Deductions or Loss,Deduccions o pèrdues
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","El règim fiscal és obligatori, establiu el règim fiscal a l&#39;empresa {0}"
Time slots added,Afegeix les franges horàries
Leaves must be allocated in multiples of 0.5,"Les fulles s&#39;han d&#39;assignar en múltiples de 0,5"
Amount {0} {1} deducted against {2},Import {0} {1} deduït contra {2}
Payment Reconciliation Payment,Pagament de reconciliació de pagaments
Template of terms or contract.,Plantilla de termes o contracte.
Barcodes,Codis de barres
Enrollment Date,Data d&#39;inscripció
Clear Table,Esborra la taula
Setting up company,Configuració de l&#39;empresa
Free item code is not selected,No s’ha seleccionat el codi de l’article gratuït
Total Unpaid: {0},Total pendent de pagament: {0}
Balance must be,L’equilibri ha de ser
Default Bank Account,Compte bancari predeterminat
Creating Fees,Creació de taxes
Please select Qty against item {0},Seleccioneu Qty contra l’article {0}
Do not confirm if appointment is created for the same day,No confirmeu si es crea la cita per al mateix dia
Repaid/Closed,Reemborsat / tancat
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Fila {0}: {1} Números de sèrie necessaris per a l’article {2}. Heu proporcionat {3}.
Gain/Loss,Guany / pèrdua
Sales Invoice Payment,Pagament de factures de vendes
Payslip,Payslip
HSN,HSN
Request for quotation.,Sol · licitud de pressupost.
Procurement Tracker,Seguiment de contractació
Type of Proof,Tipus de prova
Vehicle Date,Data del vehicle
Dispatch Settings,Configuració de l’enviament
Dependencies,Dependències
Lost,Perdut
Replace BOM,Substituïu la llista de materials
Marital Status,Estat civil
Enter retirement age in years,Introduïu l&#39;edat de jubilació en anys
No items listed,No hi ha cap element llistat
No data to export,No hi ha dades per exportar
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Seleccioneu Carry Forward si voleu incloure el saldo de l’exercici fiscal anterior a l’exercici
Opening Stock Balance,Saldo de valors d’obertura
Leave Blocked,Sortiu bloquejat
Asset Category is mandatory for Fixed Asset item,La categoria d’actius és obligatòria per a l’ítem d’actiu fix
Required By,Obligatori per
Add to Details,Afegir als detalls
Inactive Customers,Clients inactius
Dosage,Dosi
Starting position from top edge,Posició inicial des de la vora superior
Appointment Duration (mins),Durada de la cita (minuts)
Disable,Inhabilitar
Purchase Orders to Receive,Ordres de compra per rebre
Productions Orders cannot be raised for:,Produccions Les comandes no es poden recopilar per:
Ignore Employee Time Overlap,Ignora la superposició de temps per a empleats
Trainings,Entrenaments
Lost Reasons,Motius perduts
A Positive,Un positiu
Reading 7,Lectura 7
Serial No,Número de sèrie
Required Quantity,Quantitat necessària
Parent Location,Ubicació dels pares
Material Requests,Sol·licituds de material
Material Transferred for Subcontract,Material transferit per subcontractació
Timing Detail,Detall de sincronització
Required On,Obligatori activat
Importing {0} of {1},Importació de {0} de {1}
Job Offer Term,Termini de l’oferta de feina
All Contact,Tots els contactes
Project Task,Tasca del projecte
Item Barcode,Codi de barres d&#39;elements
Stock Levels,Nivells d’estoc
Height (In Meter),Alçada (en metro)
Order Value,Valor de la comanda
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Es poden etiquetar totes les transaccions de vendes contra múltiples ** Vendes Persones ** perquè pugueu establir i controlar els objectius.
You have already selected items from {0} {1},Ja heu seleccionat elements de {0} {1}
Get Suppliers,Obteniu proveïdors
Contribution (%),Contribució (%)
Cannot set a received RFQ to No Quote,No es pot establir una sol·licitud RFQ rebuda a cap pressupost
Create Sales Order,Crea una comanda de venda
Account: {0} can only be updated via Stock Transactions,El compte: {0} només es pot actualitzar mitjançant transaccions en accions
{0} Request for {1},{0} Sol·licitud de {1}
Please select a value for {0} quotation_to {1},Seleccioneu un valor per a {0} cotització a {1}
Opportunity Date,Data d’oportunitat
Next Steps,Propers passos
Training Feedback,Feedback de formació
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Total de vacances
Fertilizer Name,Nom del fertilitzant
House rented dates required for exemption calculation,Les dates de lloguer de la casa requerides per al càlcul de l&#39;exempció
Expiring Memberships,Membres de venciment
Supplier(s),Proveïdor (s)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,"Si us plau, configureu les sèries de numeració per assistència mitjançant la configuració&gt; Sèries de numeració"
To Rename,Per canviar el nom
Contact Us,Contacti amb nosaltres
Cashier,Caixer
Hour,Hores
Show Latest Forum Posts,Mostra els darrers missatges del fòrum
Distributor,Distribuïdor
"Please add the remaining benefits {0} to the application as \
				pro-rata component","Si us plau, afegiu els beneficis restants {0} a l’aplicació com a component de la taxa"
Short Term Loan Account,Compte de préstecs a curt termini
Section Subtotal,Secció subtotal
Material Request to Purchase Order,Sol·licitud de material per a la comanda de compra
CESS Amount,Quantitat CESS
Not authorized to edit frozen Account {0},No està autoritzat per editar el compte congelat {0}
Expected Amount,Quantitat esperada
Default Price List,Llista de preus per defecte
No Items selected for transfer,No hi ha elements seleccionats per a la transferència
Payment Amount,Import del pagament
Assessment  Manager,Gestor d&#39;avaluació
Chemical,Química
Assessment Reports,Informes d&#39;avaluació
IV,IV
Academic,Acadèmic
Item {0} is not setup for Serial Nos. Check Item master,L’element {0} no s’ha configurat per als números de sèrie. Check Item master
From State,De l&#39;Estat
Maximum Continuous Days Applicable,Dies màxims continus aplicables
Support Team.,Equip de suport.
Please enter company name first,Introduïu primer el nom de l’empresa
Import Successful,Importa amb èxit
Alternate Number,Número alternatiu
All Departments,Tots els departaments
Make project from a template.,Feu un projecte des d&#39;una plantilla.
Inter Company Order Reference,Referència de comandes interempresarials
Work Order {0} must be cancelled before cancelling this Sales Order,L&#39;ordre de treball {0} s&#39;ha de cancel·lar abans de cancel·lar aquesta comanda de venda
Employee Number,Número d&#39;empleat
Avg. Buying Rate,Mitjana Taxa de compra
Capacity Planning For (Days),Planificació de la capacitat (dies)
From value must be less than to value in row {0},El valor ha de ser inferior al valor de la fila {0}
Select BOM and Qty for Production,Seleccioneu BOM i Qty per a producció
Price List Country,Llista de preus País
Create Tax Template,Crea una plantilla d’impostos
Numeric Values,Valors numèrics
Instructions,Instruccions
Blanket Order Item,Blanket Order Item
Commission rate cannot be greater than 100,La taxa de comissió no pot ser superior a 100
Course Topic,Tema del curs
This will restrict user access to other employee records,Això restringirà l’accés dels usuaris a altres registres dels empleats
Please create Customer from Lead {0},"Si us plau, creeu el client de Lead {0}"
Company Settings,Configuració de l&#39;empresa
Vegetarian,Vegetarià
"An item exists with same name ({0}), please change the item group name or rename the item","Existeix un element amb el mateix nom ({0}), canvieu el nom del grup d&#39;ítems o canvieu-ne el nom"
Hotel Room Type,Tipus d&#39;habitació de l&#39;hotel
Cash Flow,Flux de caixa
Payment against {0} {1} cannot be greater than Outstanding Amount {2},El pagament contra {0} {1} no pot ser superior a l&#39;import pendent {2}
Achievement,Assoliment
Add Multiple Tasks,Afegiu diverses tasques
Item Variant {0} already exists with same attributes,L’article Variant {0} ja existeix amb els mateixos atributs
Invoice {0} no longer exists,La factura {0} ja no existeix
Will also apply for variants unless overrridden,"També s’aplicarà per a variants, tret que s’hagi sobreescrit"
Account,Compte
To Deliver,Per lliurar
Customers Without Any Sales Transactions,Clients sense cap operació de venda
Against Document No,Contra el document núm
Content Masters,Màsters de contingut
Subscription Management,Gestió de subscripcions
Get customers from,Obteniu clients de
{0} Digest,{0} Digest
Reports to,Informes a
Party Account,Compte de festa
Schedule,Horari
Please enter ,"Si us plau, entra"
Channel Partner,Soci de canal
Invoiced Amount,Import facturat
From Template,Des de plantilla
Subscriptions,Subscripcions
Quantity to Make,Quantitat per fer
Achieved,Assolit
Contribution Amount,Quantitat de cotització
Fiscal Year,Any fiscal
Prevent RFQs,Eviteu les RFQ
Discount Received Account,Compte rebut de descompte
 (Half Day),(Mig dia)
Email Digest,Resum del correu electrònic
Crop,Recol·lecció
Profit & Loss,Pèrdues de guanys
Section Order,Ordre de secció
Result Printed,Resultat imprès
Student Group,Grup d&#39;estudiants
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Plantilla d’impostos estàndard que es pot aplicar a totes les transaccions de compra. Aquesta plantilla pot contenir un llistat de caps d’impostos i altres capçaleres de despeses com ara &quot;Despeses d’enviament&quot;, &quot;Assegurança&quot;, &quot;Gestió&quot;, etc. #### Nota El tipus d’impostos que definiu aquí serà el tipus impositiu estàndard per a tots els ** articles * *. Si hi ha ** articles ** que tenen taxes diferents, s’han d’afegir a la taula ** Impost sobre articles ** del ** article ** master. #### Descripció de les columnes 1. Tipus de càlcul: - Això pot estar en ** Total net ** (és a dir, la suma de l&#39;import bàsic). - ** Línia anterior Total / Import ** (per impostos o càrregues acumulats). Si seleccioneu aquesta opció, l’impost s’aplicarà com a percentatge de la fila anterior (a la taula d’impostos) quantitat o total. - ** ** real (com es va esmentar). 2. Cap de compte: el llibre de comptes en el qual s’ha reservat aquest impost. 3. Centre de costos: si l’impost / càrrega és un ingrés (com l’enviament) o la despesa, s’ha de reservar amb un centre de costos. 4. Descripció: descripció de l’impost (que s’imprimirà en factures / pressupostos). 5. Taxa: Taxa. 6. Import: import de l&#39;impost. 7. Total: total acumulat fins a aquest punt. 8. Introduïu fila: si es basa en &quot;Total de fila anterior&quot; podeu seleccionar el número de fila que es prendrà com a base per a aquest càlcul (per defecte és la fila anterior). 9. Penseu en l&#39;impost o càrrec per: En aquesta secció podeu especificar si l’impost / càrrec només és per a la valoració (no una part del total) o només per al total (no afegeix valor a l’article) ni per a tots dos. 10. Afegeix o dedueix: si voleu afegir o deduir l’impost."
Connect to Quickbooks,Connecteu-vos a Quickbooks
Root cannot be edited.,No es pot editar l&#39;arrel.
Engineer,Enginyer
Row #{0}: Item added,Fila # {0}: article afegit
Eligibility and Details,Elegibilitat i detalls
Staffing Plan Detail,Detall del pla de personal
Annual Income,Renda anual
Subscription Section,Secció de subscripció
Payment Days,Dies de pagament
Volunteer information.,Informació de voluntariat.
`Freeze Stocks Older Than` should be smaller than %d days.,`Congelació d’estades més antigues que` ha de ser inferior a% d dies.
Select Fiscal Year,Seleccioneu l’exercici fiscal
Total Amount,Suma total
Non Profit,Sense ànim de lucre
Cancel Invoice After Grace Period,Cancel·la la factura després del període de gràcia
Loyalty Points,Punts de fidelitat
Set Target Warehouse,Estableix el magatzem objectiu
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} té actualment una {1} posició del Quadre de Comandament del Proveïdor i les sol·licituds d’autorització a aquest proveïdor s&#39;han de publicar amb precaució.
Check-in Date,Data de registre
Round Off Account,Compte rodó fora
Warranty Period (Days),Període de garantia (dies)
Expense Claim Detail,Detall de reclamació de despeses
Program: ,Programa:
Patient Medical Record,Registre mèdic del pacient
Action Description,Descripció de l’acció
Variant Based On,Basat en variants
Brake Oil,Oli de fre
Create User,Crea un usuari
Codification Table,Taula de codificació
Optional,Opcional
Show Leaves Of All Department Members In Calendar,Mostra les fulles de tots els membres del departament al calendari
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","No he trobat l’element transferit {0} a l&#39;Ordre de Treball {1}, l’element no s’ha afegit a la Entrada de Valors"
See all open tickets,Veure totes les entrades obertes
Operations cannot be left blank,Les operacions no es poden deixar en blanc
At least one mode of payment is required for POS invoice.,Es requereix almenys un mode de pagament per a la factura del TPV.
Guardian1 Email ID,Identificador de correu electrònic de Guardian1
Supplier delivers to Customer,El proveïdor es lliura al client
Appointment Booked,Cita reservada
Target Warehouse,Magatzem objectiu
Stale Days,Dies ranci
Row {0}: Credit entry can not be linked with a {1},Fila {0}: l’entrada de crèdit no es pot enllaçar amb un {1}
Healthcare Practitioner {0} not available on {1},El metge de la salut {0} no està disponible a {1}
All Customer Contact,Tot el contacte amb el client
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Mantenir la mostra es basa en un lot, si us plau, comprova Si no té el lot per conservar la mostra de l’element"
Disc,Disc
Make Accounting Entry For Every Stock Movement,Feu una entrada comptable per a cada moviment de valors
Check-out Date,Data de sortida
Fertilizer,Fertilitzant
Default Tax Withholding Config,Retenció de retencions per defecte
Total Produced Qty,Quantitat total produïda
Leave Period,Abandona el període
Payment request {0} created,S&#39;ha creat la sol·licitud de pagament {0}
UOM Conversion in Hours,Conversió UOM en hores
Avg. Selling Price List Rate,Mitjana Preus de venda de preus de venda
Generate Material Requests (MRP) and Work Orders.,Generar sol·licituds de material (MRP) i comandes de treball.
Account Balance,Saldo del compte
Periodicity,Periodicitat
Medical Record,Registre mèdic
Execution,Execució
Valuation Method,Mètode de valoració
{0} against Sales Invoice {1},{0} contra la factura de vendes {1}
Pass,Passar
Sales Partner Target,Objectiu del soci de vendes
Referring Practitioner,Practicant de referència
Expenses Included In Asset Valuation,Despeses incloses en la valoració d’actius
Publishing,Publicació
Sales Orders Detail,Detall de comandes de vendes
Total Deduction,Deducció total
EMI,EMI
Set prefix for numbering series on your transactions,Establiu el prefix per a la sèrie de numeració de les vostres transaccions
Journal Entries {0} are un-linked,Les entrades del diari {0} no estan enllaçades
Other Reports,Altres informes
All items have already been invoiced,Tots els articles ja s’han facturat
Asset scrapped via Journal Entry {0},Actiu desballestat a través de l&#39;entrada de diari {0}
Prefered Email,Correu electrònic preferit
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","No es pot canviar el mètode de valoració, ja que hi ha transaccions contra alguns elements que no tenen el seu propi mètode de valoració"
Section Name,Nom de la secció
Packed Item,Article envasat
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: s’exigeix un import de dèbit o de crèdit per a {2}
Submitting Salary Slips...,S&#39;està enviant fulls de pagament ...
No Action,Sense acció
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","El pressupost no es pot assignar a {0}, ja que no és un compte d’ingressos o despeses"
Masters and Accounts,Màsters i comptes
Responsible Individual,Persona responsable
Total Weightage of all Assessment Criteria must be 100%,La ponderació total de tots els criteris d’avaluació ha de ser del 100%
