Pension Funds,Pensiju fondi
Shopify Tax Account,Veikt nodokļu kontu
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,"Lūdzu, pārliecinieties, ka tiešām vēlaties dzēst visus šī uzņēmuma darījumus. Jūsu galvenie dati paliks tādi, kādi tie ir. Šo darbību nevar atsaukt."
Auto Repeat Detail,Automātiska atkārtošanas informācija
Please supply the specified items at the best possible rates,"Lūdzu, norādiet norādītos vienumus par labāko iespējamo cenu"
{0} in row {1},{0} rindā {1}
Job Card Time Log,Darba kartes laika žurnāls
Patient Demographics,Pacientu demogrāfija
To Folio No,Uz Folio Nr
Cash Flow from Operations,Naudas plūsma no operācijām
Allow Negative Stock,Atļaut negatīvo krājumu
None of the items have any change in quantity or value.,Nevienam vienumam nav nekādas izmaiņas daudzumā vai vērtībā.
Purchase Date,Pirkuma datums
Bank Statement Transaction Settings Item,Bankas izraksta darījumu iestatījumu postenis
BOM Stock Report,BOM krājumu pārskats
Write Off,Norakstīt
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Rinda {0}: paredzamajai vērtībai pēc lietderīgās lietošanas laika jābūt mazākai par bruto iepirkuma summu
Personal Bio,Personīgā Bio
Duplicate Entry. Please check Authorization Rule {0},"Dublikāta ievade. Lūdzu, pārbaudiet autorizācijas noteikumu {0}"
Employee {0} has already applied for {1} on {2} : ,Darbinieks {0} jau ir pieteicies {1} {2}:
Standard Selling,Standarta pārdošana
Invoiced,Rēķins
User {0} already exists,Lietotājs {0} jau pastāv
Profit and Loss,Peļņa un zaudējumi
Diff Qty,Dif. Daudzums
Written Down Value,Norakstīta vērtība
Opening Balance Equity,Atvēruma bilances akcija
April,Aprīlis
Credit Limit,Kredīta limits
Distribution,Izplatīšana
debit_note_amt,debit_note_amt
Inspected By,Pārbaudīts līdz
Get Items from Product Bundle,Saņemiet preces no produkta komplekta
Employee Benefit Claim,Darbinieku pabalsta prasība
Clearance Date not mentioned,Klīrensa datums nav minēts
Default Receivable Account,Noklusējuma saņēmēja konts
Check if it is a hydroponic unit,"Pārbaudiet, vai tā ir hidroponiska vienība"
Others,Citi
Patient Appointment,Pacienta iecelšana
AB Positive,AB Pozitīvs
Depreciation Date,Nolietojuma datums
Upcoming Calendar Events,Gaidāmie kalendāra notikumi
"Appraisals, Expense Claims and Loans","Vērtējumi, prasības par izdevumiem un aizdevumi"
Create Student Batch,Izveidot studentu partiju
Travel Advance Required,Nepieciešams ceļojums
Orders released for production.,"Rīkojumi, kas izlaisti ražošanai."
Collection Rules,Kolekcijas noteikumi
Disable CWIP Accounting,Atspējot CWIP grāmatvedību
Item Code &gt; Item Group &gt; Brand,Preces kods&gt; Vienuma grupa&gt; Zīmols
Section Based On,Sadaļa balstīta uz
{0} already allocated for Employee {1} for period {2} to {3},{0} jau piešķirts darbiniekam {1} laika posmam {2} līdz {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},{0} rinda: no {1} laika līdz laikam pārklājas ar {2}
Very Hyper,Ļoti hiper
Select the nature of your business.,Izvēlieties sava uzņēmuma raksturu.
Please select month and year,"Lūdzu, atlasiet mēnesi un gadu"
Student Log,Studentu žurnāls
Enable Checkout,Iespējot Checkout
Human Resources,Cilvēku resursi
Total Value Difference (Out - In),Kopējās vērtības atšķirība (Out-In)
Actual End Time,Faktiskais beigu laiks
Setting up Taxes,Nodokļu iestatīšana
Net Cash from Investing,Neto naudas ieguldījumi
Accounting Ledger,Grāmatvedības grāmata
Item Group Tree,Vienuma grupa
'Total',&#39;Kopā&#39;
Item 1,1. punkts
Student Batches,Studentu partijas
"Attach .csv file with two columns, one for the old name and one for the new name","Pievienojiet .csv failu ar divām kolonnām, vienu vecajam nosaukumam un vienu jaunajam nosaukumam"
outstanding_amount,izcilu summu
Susceptible,Jutīgi
Total (Company Currency),Kopā (uzņēmuma valūta)
Website Content,Tīmekļa vietnes saturs
Driving License Category,Vadītāja licences kategorija
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Rinda # {0}: paredzamais piegādes datums nevar būt pirms pasūtījuma datuma
Make Payment,Samaksāt
Party Type is mandatory,Partijas veids ir obligāts
The fields From Shareholder and To Shareholder cannot be blank,Lauki no akcionāra un akcionāra nevar būt tukši
Quality Management,Kvalitātes vadība
Transfer Material Against,Pārsūtīt materiālu pret
Temporarily on Hold,Uz laiku tiek aizturēts
Connect Shopify with ERPNext,Pievienojiet Shopify ar ERPNext
Subtitle,Apakšvirsraksts
Loam,Loam
Scrap Material Cost(Company Currency),Metāllūžņu materiālu izmaksas (uzņēmuma valūta)
Delivery Note {0} must not be submitted,Piegādes piezīmi {0} nedrīkst iesniegt
Actual Start Date (via Time Sheet),Faktiskais sākuma datums (ar laika lapu)
Delivery Date,Piegādes datums
Item Shortage Report,Ziņojuma par trūkumu ziņojums
Price Determination,Cenu noteikšana
Retail & Wholesale,Mazumtirdzniecība un vairumtirdzniecība
Twice Daily,Divreiz dienā
Integrated Tax,Integrētais nodoklis
Deductions or Loss,Atskaitījumi vai zaudējumi
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Fiskālais režīms ir obligāts, lūdzu, nosakiet nodokļu režīmu uzņēmumā {0}"
Time slots added,Pievienotas laika nišas
Leaves must be allocated in multiples of 0.5,"Lapas ir jāpiešķir 0,5 reizes"
Amount {0} {1} deducted against {2},Summa {0} {1} atskaitīta no {2}
Payment Reconciliation Payment,Maksājuma saskaņošanas maksājums
Template of terms or contract.,Noteikumu vai līguma veidne.
Barcodes,Svītrkodi
Enrollment Date,Reģistrācijas datums
Clear Table,Notīrīt tabulu
Setting up company,Uzņēmuma izveide
Free item code is not selected,Bezmaksas vienuma kods nav atlasīts
Total Unpaid: {0},Kopā neapmaksātā summa: {0}
Balance must be,Jābūt līdzsvaram
Default Bank Account,Noklusējuma bankas konts
Creating Fees,Maksu izveidošana
Please select Qty against item {0},"Lūdzu, atlasiet kvantitāti pret vienumu {0}"
Do not confirm if appointment is created for the same day,"Neapstipriniet, vai tikšanās ir izveidota tajā pašā dienā"
Repaid/Closed,Atmaksāts / slēgts
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,"Rinda {0}: {1} Sērijas numuri, kas nepieciešami vienumam {2}. Jūs esat sniedzis {3}."
Gain/Loss,Peļņa / zaudējumi
Sales Invoice Payment,Pārdošanas rēķina apmaksa
Payslip,Payslip
HSN,HSN
Request for quotation.,Cenu pieprasījums.
Procurement Tracker,Iepirkuma izsekotājs
Type of Proof,Pierādījuma veids
Vehicle Date,Transportlīdzekļa datums
Dispatch Settings,Nosūtīšanas iestatījumi
Dependencies,Atkarības
Lost,Zaudēts
Replace BOM,Aizstāt BOM
Marital Status,Ģimenes stāvoklis
Enter retirement age in years,Ievadiet pensionēšanās vecumu gados
No items listed,Nav uzskaitīti vienumi
No data to export,Nav datu eksportēšanai
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,"Lūdzu, atlasiet Carry Forward, ja vēlaties, lai iepriekšējā finanšu gada bilance tiktu iekļauta arī šajā finanšu gadā"
Opening Stock Balance,Krājumu atlikuma atvēršana
Leave Blocked,Atstājiet bloķētu
Asset Category is mandatory for Fixed Asset item,Aktīvu kategorija ir obligāta aktīva postenim
Required By,Nepieciešams
Add to Details,Pievienot datiem
Inactive Customers,Neaktīvie klienti
Dosage,Devas
Starting position from top edge,Sākuma pozīcija no augšējās malas
Appointment Duration (mins),Iecelšanas ilgums (min)
Disable,Atspējot
Purchase Orders to Receive,"Iegādāties pasūtījumus, lai saņemtu"
Productions Orders cannot be raised for:,Productions Rīkojumus nevar izvirzīt:
Ignore Employee Time Overlap,Ignorēt darbinieku laika pārklāšanos
Trainings,Apmācības
Lost Reasons,Pazaudēti iemesli
A Positive,Pozitīvs
Reading 7,Lasīšana 7
Serial No,Sērijas Nr
Required Quantity,Nepieciešamais daudzums
Parent Location,Vecāku atrašanās vieta
Material Requests,Materiālie pieprasījumi
Material Transferred for Subcontract,Apakšlīgumam nodotais materiāls
Timing Detail,Laika detaļas
Required On,Nepieciešams
Importing {0} of {1},{0} importēšana no {1}
Job Offer Term,Darba piedāvājuma termiņš
All Contact,Visi kontakti
Project Task,Projekta uzdevums
Item Barcode,Vienuma Svītrkods
Stock Levels,Krājumu līmeņi
Height (In Meter),Augstums (metros)
Order Value,Pasūtījuma vērtība
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Visi pārdošanas darījumi var tikt atzīmēti pret vairākiem ** pārdošanas darbiniekiem **, lai jūs varētu iestatīt un uzraudzīt mērķus."
You have already selected items from {0} {1},Jūs jau esat atlasījis vienumus no {0} {1}
Get Suppliers,Iegūstiet piegādātājus
Contribution (%),Ieguldījums (%)
Cannot set a received RFQ to No Quote,Nevar iestatīt saņemto RFQ uz Nr
Create Sales Order,Izveidot pārdošanas pasūtījumu
Account: {0} can only be updated via Stock Transactions,Kontu: {0} var atjaunināt tikai ar akciju darījumiem
{0} Request for {1},{0} Pieprasījums {1}
Please select a value for {0} quotation_to {1},"Lūdzu, atlasiet vērtību {0} quotation_to {1}"
Opportunity Date,Iespējas datums
Next Steps,Nākamie soļi
Training Feedback,Apmācības atsauksmes
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Kopējais brīvdienu skaits
Fertilizer Name,Mēslojuma nosaukums
House rented dates required for exemption calculation,"Māju īres datumi, kas nepieciešami atbrīvojuma aprēķināšanai"
Expiring Memberships,Beidzoties dalībai
Supplier(s),Piegādātāji)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,"Lūdzu, iestatiet numerācijas sērijas apmeklējumam, izmantojot iestatījumu&gt; Numerācijas sērija"
To Rename,Lai pārdēvētu
Contact Us,Sazinies ar mums
Cashier,Kasieris
Hour,Stunda
Show Latest Forum Posts,Rādīt jaunākās foruma ziņas
Distributor,Izplatītājs
"Please add the remaining benefits {0} to the application as \
				pro-rata component","Lūdzu, pievienojiet atlikušos pabalstus {0} kā \ t"
Short Term Loan Account,Īstermiņa kredīta konts
Section Subtotal,Starpsumma
Material Request to Purchase Order,Materiāls pirkuma pasūtījuma pieprasījums
CESS Amount,CESS summa
Not authorized to edit frozen Account {0},Nav atļauts rediģēt iesaldēto kontu {0}
Expected Amount,Paredzamā summa
Default Price List,Noklusējuma cenu saraksts
No Items selected for transfer,Pārsūtīšanai nav atlasīti vienumi
Payment Amount,Maksājuma summa
Assessment  Manager,Novērtēšanas pārvaldnieks
Chemical,Ķīmiskā viela
Assessment Reports,Novērtējuma ziņojumi
IV,IV
Academic,Akadēmiskais
Item {0} is not setup for Serial Nos. Check Item master,{0} vienums nav iestatīts sērijas Nr
From State,No valsts
Maximum Continuous Days Applicable,Piemēro maksimālās nepārtrauktās dienas
Support Team.,Atbalsta komanda.
Please enter company name first,"Lūdzu, vispirms ievadiet uzņēmuma nosaukumu"
Import Successful,Importēt veiksmīgu
Alternate Number,Alternatīvais numurs
All Departments,Visas nodaļas
Make project from a template.,Izveidojiet projektu no veidnes.
Inter Company Order Reference,Uzņēmuma rīkojumu atsauce
Work Order {0} must be cancelled before cancelling this Sales Order,Darba pasūtījums {0} ir jāatceļ pirms šī pasūtījuma atcelšanas
Employee Number,Darbinieka numurs
Avg. Buying Rate,Vid. Pirkšanas likme
Capacity Planning For (Days),Jaudas plānošana (dienas)
From value must be less than to value in row {0},No vērtības jābūt mazākai nekā vērtībai rindā {0}
Select BOM and Qty for Production,Izvēlieties BOM un Qty produkcijai
Price List Country,Cenu saraksta valsts
Create Tax Template,Izveidot nodokļu veidni
Numeric Values,Skaitliskās vērtības
Instructions,Instrukcijas
Blanket Order Item,Segas pasūtījuma postenis
Commission rate cannot be greater than 100,Komisijas likme nevar būt lielāka par 100. \ T
Course Topic,Kursa tēma
This will restrict user access to other employee records,Tas ierobežos lietotāju piekļuvi citiem darbinieku ierakstiem
Please create Customer from Lead {0},"Lūdzu, izveidojiet klientu no Sv. {0}"
Company Settings,Uzņēmuma iestatījumi
Vegetarian,Veģetārie
"An item exists with same name ({0}), please change the item group name or rename the item","Vienums ir ar tādu pašu nosaukumu ({0}), lūdzu, nomainiet vienumu grupas nosaukumu vai pārdēvējiet vienumu"
Hotel Room Type,Viesnīcas numura veids
Cash Flow,Naudas plūsma
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Maksājums pret {0} {1} nevar būt lielāks par neizpildīto summu {2}
Achievement,Sasniegums
Add Multiple Tasks,Pievienot vairākus uzdevumus
Item Variant {0} already exists with same attributes,Elements Variant {0} jau eksistē ar tiem pašiem atribūtiem
Invoice {0} no longer exists,Rēķins {0} vairs nepastāv
Will also apply for variants unless overrridden,"Tiks piemēroti arī varianti, ja tie netiks pārsniegti"
Account,Konts
To Deliver,Piegādāt
Customers Without Any Sales Transactions,Klienti bez pārdošanas darījumiem
Against Document No,Pret dokumentu Nr
Content Masters,Satura meistari
Subscription Management,Abonēšanas pārvaldība
Get customers from,Iegūstiet klientus no
{0} Digest,{0} Digest
Reports to,Ziņojumi
Party Account,Partijas konts
Schedule,Grafiks
Please enter ,"Lūdzu, ievadiet"
Channel Partner,Kanāla partneris
Invoiced Amount,Rēķinā norādītā summa
From Template,No veidnes
Subscriptions,Abonementi
Quantity to Make,"Daudzums, kas jāveic"
Achieved,Sasniegts
Contribution Amount,Iemaksas summa
Fiscal Year,Fiskālais gads
Prevent RFQs,Novērst RFQ
Discount Received Account,Atlaide saņemts konts
 (Half Day),(Pusdienas)
Email Digest,E-pasta vēstule
Crop,Apgriezt
Profit & Loss,Peļņa un zaudējumi
Section Order,Sadaļas kārtība
Result Printed,Rezultāts drukāts
Student Group,Studentu grupa
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standarta nodokļu veidne, ko var piemērot visiem pirkuma darījumiem. Šajā veidnē var būt iekļauts nodokļu vadītāju saraksts, kā arī citi izdevumi, piemēram, &quot;Piegāde&quot;, &quot;Apdrošināšana&quot;, &quot;Pārkraušana&quot; utt. #### Piezīme. Šeit noteiktā nodokļu likme būs standarta nodokļa likme visiem ** vienumiem * *. Ja ir ** vienumi **, kuriem ir atšķirīgas likmes, tie jāpievieno ** postenis ** ** tabulā ** postenis ** kapteinis. #### Kolonnu apraksts 1. Aprēķina veids: - Tas var būt ** Net Total ** (tas ir pamatsummas summa). - ** Iepriekšējā rindā Kopā / summa ** (kumulatīvajiem nodokļiem vai maksājumiem). Ja izvēlaties šo opciju, nodoklis tiks piemērots procentos no iepriekšējās rindas (nodokļu tabulā) vai kopsummā. - ** Faktiskais ** (kā minēts). 2. Konta vadītājs: Konta virsgrāmata, saskaņā ar kuru tiks iekasēts šis nodoklis. 4. Apraksts: Nodokļa apraksts (kas tiks izdrukāts rēķinos / citatos). 5. Likme: Nodokļu likme. 6. Summa: nodokļa summa. 7. Kopā: Kopējais līdz šim punktam. 8. Ievadiet rindu: ja, pamatojoties uz &quot;Iepriekšējo rindu kopsummu&quot;, varat izvēlēties rindas numuru, kas tiks ņemts par pamatu šim aprēķinam (noklusējums ir iepriekšējā rinda). 9. Apsveriet nodokli vai maksu par: Šajā sadaļā jūs varat norādīt, vai nodoklis / maksa ir tikai vērtēšanai (nevis kopējai summai) vai tikai par kopējo summu (nav pievienota vērtība) vai abiem. 10. Pievienot vai atņemt: vai vēlaties pievienot vai atskaitīt nodokli."
Connect to Quickbooks,Pievienojieties Quickbooks
Root cannot be edited.,Sakni nevar rediģēt.
Engineer,Inženieris
Row #{0}: Item added,Rinda # {0}: pievienots vienums
Eligibility and Details,Atbilstība un informācija
Staffing Plan Detail,Personāla plāns
Annual Income,Gada ienākumi
Subscription Section,Abonēšanas sadaļa
Payment Days,Maksājumu dienas
Volunteer information.,Brīvprātīgo informācija.
`Freeze Stocks Older Than` should be smaller than %d days.,“Saldēt krājumus vecākiem par” ir jābūt mazākam par% d dienām.
Select Fiscal Year,Atlasiet fiskālos gadus
Total Amount,Kopā summa
Non Profit,Bezpeļņas
Cancel Invoice After Grace Period,Atcelt rēķinu pēc žēlastības perioda
Loyalty Points,Lojalitātes punkti
Set Target Warehouse,Iestatiet mērķa noliktavu
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.","Pašlaik {0} ir {1} piegādātāju rādītāju kartiņa, un RFQs šim piegādātājam būtu jāizsniedz piesardzīgi."
Check-in Date,Reģistrēšanās datums
Round Off Account,Noapaļot kontu
Warranty Period (Days),Garantijas periods (dienas)
Expense Claim Detail,Detalizēta informācija par izdevumu pieprasījumu
Program: ,Programma:
Patient Medical Record,Pacienta medicīniskais ieraksts
Action Description,Darbības apraksts
Variant Based On,Variant Pamatojoties
Brake Oil,Bremžu eļļa
Create User,Izveidot lietotāju
Codification Table,Kodifikācijas tabula
Optional,Neobligāti
Show Leaves Of All Department Members In Calendar,Rādīt visu departamenta locekļu lapas kalendārā
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Darba secībā {1} nav atrasts pārskaitītais postenis {0}, kas nav pievienots krājumu ierakstam"
See all open tickets,Skatīt visas atvērtās biļetes
Operations cannot be left blank,Darbības nevar atstāt tukšas
At least one mode of payment is required for POS invoice.,POS rēķinam ir nepieciešams vismaz viens maksājuma veids.
Guardian1 Email ID,Guardian1 e-pasta ID
Supplier delivers to Customer,Piegādātājs piegādā Klientam
Appointment Booked,Iecelšana rezervēta
Target Warehouse,Mērķa noliktava
Stale Days,Stale dienas
Row {0}: Credit entry can not be linked with a {1},Rinda {0}: kredīta ierakstu nevar saistīt ar {1}
Healthcare Practitioner {0} not available on {1},Veselības aprūpes speciālists {0} nav pieejams {1}
All Customer Contact,Visi klientu kontakti
Disc,Disku
Make Accounting Entry For Every Stock Movement,Veikt grāmatvedības ierakstu katrai krājumu kustībai
Check-out Date,Izrakstīšanās datums
Fertilizer,Mēslojums
Default Tax Withholding Config,Noklusējuma nodokļa ieturēšanas konfig
Total Produced Qty,Kopējais saražotais daudzums
Leave Period,Atvaļinājuma periods
Payment request {0} created,Izveidots maksājuma pieprasījums {0}
UOM Conversion in Hours,UOM konversija stundās
Avg. Selling Price List Rate,Vid. Pārdošanas cenu saraksta likme
Generate Material Requests (MRP) and Work Orders.,Izveidot materiālus pieprasījumus (MRP) un darba rīkojumus.
Account Balance,Konta atlikums
Periodicity,Periodiskums
Medical Record,Medicīniskais ieraksts
Execution,Izpilde
Valuation Method,Vērtēšanas metode
{0} against Sales Invoice {1},{0} pret pārdošanas rēķinu {1}
Pass,Pāriet
Sales Partner Target,Pārdošanas partneru mērķis
Referring Practitioner,Iesniedzējs
Expenses Included In Asset Valuation,"Izdevumi, kas iekļauti aktīvu vērtējumā"
Publishing,Izdevniecība
Sales Orders Detail,Informācija par pārdošanas pasūtījumiem
Total Deduction,Kopā atskaitīšana
EMI,EMI
Set prefix for numbering series on your transactions,Iestatiet savu darījumu numurēšanas sērijas prefiksu
Journal Entries {0} are un-linked,Žurnāla ieraksti {0} ir nesaistīti
Other Reports,Citi ziņojumi
All items have already been invoiced,Visi vienumi jau ir izrakstīti rēķinā
Asset scrapped via Journal Entry {0},"Aktīvi nodoti metāllūžņos, izmantojot žurnāla ierakstu {0}"
Prefered Email,Vēlamais e-pasts
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Vērtēšanas metodi nevar mainīt, jo ir darījumi pret dažiem posteņiem, kuriem nav savas vērtēšanas metodes"
Section Name,Sadaļas nosaukums
Packed Item,Iepakots vienums
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: {2} obligāta debeta vai kredīta summa
Submitting Salary Slips...,Algu saspraudes iesniegšana ...
No Action,Nekāda darbība
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Budžetu nevar piešķirt, izmantojot {0}, jo tas nav ienākumu vai izdevumu konts"
Masters and Accounts,Meistari un konti
Responsible Individual,Atbildīgā persona
Total Weightage of all Assessment Criteria must be 100%,Visu vērtēšanas kritēriju kopējam svaram jābūt 100%
An error occurred during the update process,Atjaunināšanas procesa laikā radās kļūda
Customer Name,Klienta vārds
Amount should not be less than zero.,Summa nedrīkst būt mazāka par nulli.
Average Age,Vidējais vecums
Show Price,Rādīt cenu
Program Enrollment Tool Student,Programmas uzņemšanas rīka students
Shipping State,Kuģniecības valsts
Please set Company,"Lūdzu, iestatiet uzņēmumu"
Balance (Dr - Cr),Bilance (Dr - Cr)
Supply Type,Piegādes veids
Create documents for sample collection,Izveidojiet dokumentus paraugu ņemšanai
Close Opportunity After Days,Aizvērt iespēju pēc dienām
Ref Code,Atsauces kods
Widowed,Atraitnis
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,"Lai izmantotu standarta piegādes piezīmes formātu, atstājiet tukšu"
Accepted Qty,Pieņemts Daudzums
Apply Rule On Brand,Lietot Noteikumus par zīmolu
Show Availability Status,Rādīt pieejamības statusu
Import Successfull,Importēt veiksmīgu
Soil Texture,Augsnes faktūra
No of Visits,Apmeklējumu skaits
Qualitative Feedback,Kvalitatīva atgriezeniskā saite
Response and Resoution Time,Atbilde un atjaunošanas laiks
Expiring On,Beidzas iestatījums
Scorecard Actions,Scorecard darbības
Stock Adjustment,Krājumu korekcija
Health Care,Veselības aprūpe
No of Seats,Vietu skaits
Delete all the Transactions for this Company,Dzēst visus šī uzņēmuma darījumus
Lead Details,Svina detaļas
Default Service Level Agreement,Noklusējuma pakalpojuma līmeņa līgums
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Filtru lauki # {0} rinda: lauka nosaukumam <b>{1}</b> jābūt tipa &quot;Link&quot; vai &quot;Table MultiSelect&quot; tipam
Suggestions,Ieteikumi
Get from,Nokļūt no
Tax Rule,Nodokļu noteikums
Payment Order Status,Maksājuma rīkojuma statuss
Duplicate entry,Dublikāts
Example: Masters in Computer Science,Piemērs: maģistri datorzinātnēs
Purchase Invoice Item,Pirkuma rēķina postenis
Non Profit Manager,Bezpeļņas pārvaldnieks
For Warehouse is required before Submit,Noliktavai ir nepieciešams pirms Iesniegt
Applicable To (User),Piemērojams (lietotājam)
Appraisal Goal,Novērtēšanas mērķis
Warn for new Purchase Orders,Brīdiniet par jauniem pasūtījumiem
View Chart of Accounts,Skatīt kontu sarakstu
Quotations: ,Citāti:
To Discuss,Apspriest
Reading 9,Lasīšana 9
Applicable To (Role),Piemērojams (lomai)
Additional Notes,papildu piezīmes
{0} can not be negative,{0} nevar būt negatīvs
Create Purchase Orders,Izveidot pasūtījumu pasūtījumus
Estimated Cost Per Position,Paredzamās izmaksas par atrašanās vietu
Loan Name,Aizdevuma nosaukums
Set default mode of payment,Iestatiet noklusējuma maksājuma veidu
Revision,Pārskatīšana
Service Unit Type,Servisa vienības tips
Return Against Purchase Invoice,Atgriezties pret pirkuma rēķinu
Generate Secret,Izveidot noslēpumu
Loyalty Program Collection,Lojalitātes programmu kolekcija
Send mass SMS to your contacts,Sūtiet īsziņas uz saviem kontaktiem
Create Fee Schedule,Izveidot maksas grafiku
File to Rename,Failu pārdēvēt
Timer exceeded the given hours.,Taimeris pārsniedza noteiktās stundas.
ERPNext Account,ERPNext konts
Item Supplier,Vienības piegādātājs
Price List {0} is disabled or does not exist,Cenrādis {0} ir atspējots vai nepastāv
Deferred Revenue Account,Atliktais ieņēmumu konts
Soil compositions do not add up to 100,Augsnes sastāvs nepievieno līdz 100%
Salary Slip Timesheet,Algu slīdēšanas laika kontrolsaraksts
Warn,Brīdināt
Email Notification Sent,E-pasta paziņojums nosūtīts
Planned End Date,Plānotais beigu datums
Quickbooks Company ID,Quickbooks uzņēmuma ID
Warehouse cannot be changed for Serial No.,Noliktavu nevar mainīt pēc sērijas numura
Rate of Interest (%) Yearly,Procentu likme (%) Gadā
Cost of Scrapped Asset,Izņemto aktīvu izmaksas
Please set an Address on the Company '%s',"Lūdzu, iestatiet adresi uzņēmumā &#39;% s&#39;"
Encounter Date,Tikšanās datums
Webhooks,Webhooks
Memebership Type Details,Memebership Type informācija
Resistant,Izturīgs
Hotel Room Package,Viesnīcas numura pakete
Contribution to Net Total,Ieguldījums neto kopsummā
"Reselect, if the chosen contact is edited after save","Atlasiet vēlreiz, ja izvēlētais kontakts tiek rediģēts pēc saglabāšanas"
Employee Tax Exemption Sub Category,Darbinieku nodokļu atbrīvojuma apakškategorija
Row {0}# Paid Amount cannot be greater than requested advance amount,Rinda {0} # Apmaksātā summa nevar būt lielāka par pieprasīto avansa summu
This value is used for pro-rata temporis calculation,Šo vērtību izmanto pro-rata temporis aprēķinam
Change Abbreviation,Mainīt saīsinājumu
Total Consumed Material Cost  (via Stock Entry),Kopējā patērēto materiālu cena (izmantojot akciju ierakstu)
Raw Materials Supplied,Izejmateriāli tiek piegādāti
Condition and Formula Help,Stāvoklis un Formula palīdzība
Balance ({0}),Bilance ({0})
Student ID: ,Studenta ID:
New Leaves Allocated (In Days),Jaunas lapas iedalītas (dienās)
To Datetime,Datetime
Lab result datetime cannot be before testing datetime,Laboratorijas rezultāts datetime nevar būt pirms datetime testēšanas
Please re-type company name to confirm,"Lūdzu, atkārtoti ierakstiet uzņēmuma nosaukumu, lai apstiprinātu"
Subscription Period,Abonēšanas periods
Position,Pozīcija
Sibling Details,Sibling Details
Is Finance Cost Adjustment,Vai finanšu izmaksu korekcija
Encounter Impression,Encounter Impression
N/A,N / A
Lab Technician,Lab tehniķis
"Item {0} is a template, please select one of its variants","{0} postenis ir veidne, lūdzu, izvēlieties vienu no tā variantiem"
How Pricing Rule is applied?,Kā tiek piemērots cenu noteikšanas noteikums?
Email Digest Settings,E-pasta Digest iestatījumi
Inter Company Journal Entry,Inter Company Journal Entry
Create Delivery Trip,Izveidot piegādes braucienu
Row # {0}: Serial No {1} does not match with {2} {3},Rinda Nr. {0}: sērijas Nr. {1} neatbilst {2} {3}
Sales Order required for Item {0},"Pārdošanas pasūtījums, kas nepieciešams {0} vienumam"
Get Details From Declaration,Iegūt informāciju no deklarācijas
Support Hour Distribution,Atbalstīt stundu sadalījumu
Allow Account Creation Against Child Company,Atļaut konta izveidošanu pret bērnu uzņēmumu
Company Bank Account,Uzņēmuma bankas konts
UK,Apvienotā Karaliste
Procedure Steps,Procedūras soļi
Normal Test Items,Parastie pārbaudes priekšmeti
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,{0}: pasūtītais daudzums {1} nevar būt mazāks par minimālo pasūtījuma daudzumu {2} (definēts pozīcijā).
Not in Stock,Nav noliktavā
Cart,Grozs
Course Activity,Kursa aktivitāte
Thank you for your business!,Paldies par jūsu biznesu!
Against Journal Entry {0} is already adjusted against some other voucher,Pret žurnāla ierakstu {0} jau ir koriģēts kāds cits kupons
Bill Date,Rēķina datums
Please enter Write Off Account,"Lūdzu, ievadiet norakstīšanas kontu"
