DocType: Accounting Period,Period Name,Nama Tempoh
apps/erpnext/erpnext/utilities/activation.py,Create Users,Buat Pengguna
apps/erpnext/erpnext/utilities/user_progress.py,Gram,Gram
DocType: Employee Tax Exemption Category,Max Exemption Amount,Jumlah Pengecualian Maksima
apps/erpnext/erpnext/selling/doctype/customer/customer_dashboard.py,Subscriptions,Langganan
DocType: Quality Review Table,Objective,Objektif
DocType: Supplier Scorecard,Per Month,Sebulan
DocType: Education Settings,Make Academic Term Mandatory,Buat Mandat Berlaku Akademik
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Quantity to Manufacture must be greater than 0.,Kuantiti untuk pembuatan mesti lebih besar daripada 0.
apps/erpnext/erpnext/config/crm.py,Visit report for maintenance call.,Lawati laporan untuk panggilan penyelenggaraan.
DocType: Stock Entry,Update Rate and Availability,Kadar Update dan Ketersediaan
DocType: Stock Settings,Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,Peratus anda dibenarkan untuk menerima atau menyampaikan lebih daripada kuantiti yang ditempah. Sebagai contoh: Jika anda telah menempah 100 unit. dan Elaun anda adalah 10% maka anda dibenarkan untuk menerima 110 unit.
DocType: Shopping Cart Settings,Show Contact Us Button,Tunjukkan Butang Hubungi Kami
DocType: Loyalty Program,Customer Group,Kumpulan pelanggan
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch ID (Optional),New Batch ID (Pilihan)
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch ID (Optional),New Batch ID (Pilihan)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Expense account is mandatory for item {0},Akaun perbelanjaan adalah wajib bagi item {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Release date must be in the future,Tarikh pelepasan mestilah pada masa akan datang
DocType: BOM,Website Description,Laman Web Penerangan
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Equity,Perubahan Bersih dalam Ekuiti
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit_type/healthcare_service_unit_type.py,Not permitted. Please disable the Service Unit Type,Tidak dibenarkan. Sila nyahaktifkan Jenis Unit Perkhidmatan
apps/erpnext/erpnext/crm/doctype/lead/lead.py,"Email Address must be unique, already exists for {0}","Alamat e-mel mesti menjadi unik, sudah wujud untuk {0}"
DocType: Serial No,AMC Expiry Date,AMC Tarikh Tamat
DocType: Asset,Receipt,resit
,Sales Register,Jualan Daftar
DocType: Daily Work Summary Group,Send Emails At,Menghantar e-mel di
DocType: Quotation Lost Reason,Quotation Lost Reason,Sebut Harga Hilang Akal
apps/erpnext/erpnext/accounts/doctype/sales_invoice/regional/india_list.js,Generate e-Way Bill JSON,Menjana JSON e-Way JSON
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Transaction reference no {0} dated {1},rujukan transaksi tidak {0} bertarikh {1}
apps/erpnext/erpnext/setup/doctype/supplier_group/supplier_group.js,There is nothing to edit.,Ada apa-apa untuk mengedit.
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Form View,Lihat Borang
DocType: HR Settings,Expense Approver Mandatory In Expense Claim,Pendakwa Perbelanjaan Mandatori Dalam Tuntutan Perbelanjaan
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Summary for this month and pending activities,Ringkasan untuk bulan ini dan aktiviti-aktiviti yang belum selesai
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,Please set Unrealized Exchange Gain/Loss Account in Company {0},Sila tetapkan Akaun Keuntungan / Kerugian Pertukaran di Perusahaan {0}
apps/erpnext/erpnext/utilities/user_progress.py,"Add users to your organization, other than yourself.","Tambah pengguna ke organisasi anda, selain diri anda."
DocType: Customer Group,Customer Group Name,Nama Kumpulan Pelanggan
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: Quantity not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),Baris {0}: Kuantiti tidak tersedia untuk {4} dalam gudang {1} pada masa penyertaan entri ({2} {3})
apps/erpnext/erpnext/public/js/pos/pos.html,No Customers yet!,No Pelanggan lagi!
DocType: Quality Procedure Process,Link existing Quality Procedure.,Pautan Prosedur Kualiti yang sedia ada.
apps/erpnext/erpnext/config/hr.py,Loans,Pinjaman
DocType: Healthcare Service Unit,Healthcare Service Unit,Unit Perkhidmatan Penjagaan Kesihatan
,Customer-wise Item Price,Harga item pelanggan-bijak
apps/erpnext/erpnext/public/js/financial_statements.js,Cash Flow Statement,Penyata aliran tunai
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,No material request created,Tiada permintaan bahan dibuat
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.py,Loan Amount cannot exceed Maximum Loan Amount of {0},Jumlah Pinjaman tidak boleh melebihi Jumlah Pinjaman maksimum {0}
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,License,lesen
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please remove this Invoice {0} from C-Form {1},Sila mengeluarkan Invois ini {0} dari C-Borang {1}
DocType: Leave Control Panel,Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Sila pilih Carry Forward jika anda juga mahu termasuk baki tahun fiskal yang lalu daun untuk tahun fiskal ini
DocType: GL Entry,Against Voucher Type,Terhadap Jenis Baucar
DocType: Healthcare Practitioner,Phone (R),Telefon (R)
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Invalid {0} for Inter Company Transaction.,Tidak sah {0} untuk Transaksi Syarikat Antara.
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Time slots added,Slot masa ditambah
DocType: Products Settings,Attributes,Sifat-sifat
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Enable Template,Dayakan Templat
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Please enter Write Off Account,Sila masukkan Tulis Off Akaun
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Last Order Date,Lepas Tarikh Perintah
DocType: Accounts Settings,Unlink Advance Payment on Cancelation of Order,Unlink Payment Advance pada Pembatalan Pesanan
DocType: Salary Component,Is Payable,Adalah Dibayar
DocType: Inpatient Record,B Negative,B Negatif
DocType: Pricing Rule,Price Discount Scheme,Skim diskaun harga
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Maintenance Status has to be Cancelled or Completed to Submit,Status Penyelenggaraan perlu Dibatalkan atau Diselesaikan untuk Kirim
DocType: Amazon MWS Settings,US,AS
DocType: Holiday List,Add Weekly Holidays,Tambah Cuti Mingguan
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Report Item,Laporkan Perkara
DocType: Staffing Plan Detail,Vacancies,Kekosongan
DocType: Hotel Room,Hotel Room,Bilik hotel
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Account {0} does not belongs to company {1},Akaun {0} tidak dimiliki oleh syarikat {1}
DocType: Homepage Section,Use this field to render any custom HTML in the section.,Gunakan medan ini untuk memberikan HTML tersuai dalam bahagian.
DocType: Leave Type,Rounding,Pusingan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Numbers in row {0} does not match with Delivery Note,Nombor siri berturut-turut {0} tidak sepadan dengan penghantaran Nota
DocType: Employee Benefit Application,Dispensed Amount (Pro-rated),Jumlah yang diberikan (Pro-rated)
DocType: Student,Guardian Details,Guardian Butiran
DocType: C-Form,C-Form,C-Borang
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,GSTIN tidak sah! 2 digit pertama GSTIN sepadan dengan nombor Negeri {0}.
DocType: Agriculture Task,Start Day,Mula Hari
DocType: Vehicle,Chassis No,Chassis Tiada
DocType: Payment Entry,Initiated,Dimulakan
DocType: Production Plan Item,Planned Start Date,Dirancang Tarikh Mula
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select a BOM,Sila pilih BOM
DocType: Purchase Invoice,Availed ITC Integrated Tax,Mengagumkan ITC Integrated Tax
apps/erpnext/erpnext/hr/doctype/loan/loan.js,Create Repayment Entry,Buat Entri Pembayaran Balik
DocType: Purchase Order Item,Blanket Order Rate,Kadar Perintah Selimut
,Customer Ledger Summary,Ringkasan Ledger Pelanggan
apps/erpnext/erpnext/hooks.py,Certification,Pensijilan
DocType: Bank Guarantee,Clauses and Conditions,Fasal dan Syarat
DocType: Serial No,Creation Document Type,Penciptaan Dokumen Jenis
DocType: Amazon MWS Settings,ES,ES
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Get Invoices,Dapatkan Invois
DocType: Leave Allocation,New Leaves Allocated,Daun baru Diperuntukkan
apps/erpnext/erpnext/controllers/trends.py,Project-wise data is not available for Quotation,Data projek-bijak tidak tersedia untuk Sebutharga
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,End on,Akhirnya
DocType: Project,Expected End Date,Tarikh Jangkaan Tamat
DocType: Budget Account,Budget Amount,Amaun belanjawan
DocType: Donor,Donor Name,Nama Donor
DocType: Journal Entry,Inter Company Journal Entry Reference,Rujukan Kemasukan Jurnal Syarikat Antara
DocType: Course,Topics,Topik
DocType: Tally Migration,Is Day Book Data Processed,Adakah Data Buku Hari Diproses
DocType: Appraisal Template,Appraisal Template Title,Penilaian Templat Tajuk
apps/erpnext/erpnext/utilities/user_progress_utils.py,Commercial,Perdagangan
DocType: Patient,Alcohol Current Use,Penggunaan Semasa Alkohol
DocType: Employee Tax Exemption Proof Submission,House Rent Payment Amount,Jumlah Bayaran Sewa Rumah
DocType: Student Admission Program,Student Admission Program,Program Kemasukan Pelajar
DocType: Employee Tax Exemption Sub Category,Tax Exemption Category,Kategori Pengecualian Cukai
DocType: Payment Entry,Account Paid To,Akaun Dibayar Kepada
DocType: Subscription Settings,Grace Period,Tempoh penangguhan
DocType: Item Alternative,Alternative Item Name,Nama Item Alternatif
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Parent Item {0} must not be a Stock Item,Ibu Bapa Perkara {0} tidak perlu menjadi item Saham
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note_list.js,Cannot create a Delivery Trip from Draft documents.,Tidak dapat membuat Lawatan Pengiriman dari dokumen Draf.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Website Listing,Penyenaraian Laman Web
apps/erpnext/erpnext/config/buying.py,All Products or Services.,Semua Produk atau Perkhidmatan.
DocType: Email Digest,Open Quotations,Buka Sebut Harga
apps/erpnext/erpnext/www/all-products/item_row.html,More Details,Maklumat lanjut
DocType: Supplier Quotation,Supplier Address,Alamat Pembekal
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} Bajet akaun {1} daripada {2} {3} adalah {4}. Ia akan melebihi oleh {5}
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,This feature is under development...,Ciri ini sedang dibangun ...
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Creating bank entries...,Mewujudkan penyertaan bank ...
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Out Qty,Keluar Qty
apps/erpnext/erpnext/buying/doctype/supplier/supplier.py,Series is mandatory,Siri adalah wajib
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Financial Services,Perkhidmatan Kewangan
DocType: Student Sibling,Student ID,ID pelajar
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be greater than zero,Untuk Kuantiti mestilah lebih besar dari sifar
apps/erpnext/erpnext/config/projects.py,Types of activities for Time Logs,Jenis aktiviti untuk Masa Balak
DocType: Opening Invoice Creation Tool,Sales,Jualan
DocType: Stock Entry Detail,Basic Amount,Jumlah Asas
DocType: Training Event,Exam,peperiksaan
DocType: Email Campaign,Email Campaign,Kempen E-mel
apps/erpnext/erpnext/public/js/hub/hub_call.js,Marketplace Error,Ralat Pasaran
DocType: Complaint,Complaint,Aduan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Warehouse required for stock Item {0},Gudang diperlukan untuk saham Perkara {0}
DocType: Leave Allocation,Unused leaves,Daun yang tidak digunakan
apps/erpnext/erpnext/patches/v11_0/create_department_records_for_each_company.py,All Departments,Semua Jabatan
DocType: Healthcare Service Unit,Vacant,Kosong
DocType: Patient,Alcohol Past Use,Penggunaan Pasti Alkohol
DocType: Fertilizer Content,Fertilizer Content,Kandungan Baja
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,No description,Tiada deskripsi
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Cr,Cr
DocType: Tax Rule,Billing State,Negeri Bil
DocType: Quality Goal,Monitoring Frequency,Kekerapan Pemantauan
DocType: Share Transfer,Transfer,Pemindahan
DocType: Quality Action,Quality Feedback,Maklum balas Kualiti
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Work Order {0} must be cancelled before cancelling this Sales Order,Perintah Kerja {0} mesti dibatalkan sebelum membatalkan Perintah Jualan ini
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Fetch exploded BOM (including sub-assemblies),Kutip BOM meletup (termasuk sub-pemasangan)
DocType: Authorization Rule,Applicable To (Employee),Terpakai Untuk (Pekerja)
apps/erpnext/erpnext/controllers/accounts_controller.py,Due Date is mandatory,Tarikh Akhir adalah wajib
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than received quantity,Tidak boleh menetapkan kuantiti kurang daripada kuantiti yang diterima
apps/erpnext/erpnext/controllers/item_variant.py,Increment for Attribute {0} cannot be 0,Kenaikan untuk Atribut {0} tidak boleh 0
DocType: Employee Benefit Claim,Benefit Type and Amount,Jenis dan Amaun Manfaat
DocType: Delivery Stop,Visited,Dikunjungi
apps/erpnext/erpnext/hotels/report/hotel_room_occupancy/hotel_room_occupancy.py,Rooms Booked,Bilik yang dipesan
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Ends On date cannot be before Next Contact Date.,Berakhir Pada tarikh tidak boleh sebelum Tarikh Urusan Seterusnya.
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Batch Entries,Penyertaan Batch
DocType: Journal Entry,Pay To / Recd From,Bayar Untuk / Recd Dari
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Unpublish Item,Tidak mengeluarkan item
DocType: Naming Series,Setup Series,Persediaan Siri
DocType: Payment Reconciliation,To Invoice Date,Untuk invois Tarikh
DocType: Bank Account,Contact HTML,Hubungi HTML
DocType: Support Settings,Support Portal,Portal Sokongan
apps/erpnext/erpnext/healthcare/doctype/healthcare_settings/healthcare_settings.py,Registration fee can not be Zero,Yuran pendaftaran tidak boleh Sifar
DocType: Disease,Treatment Period,Tempoh Rawatan
DocType: Travel Itinerary,Travel Itinerary,Perjalanan Perjalanan
apps/erpnext/erpnext/education/api.py,Result already Submitted,Keputusan sudah Dihantar
apps/erpnext/erpnext/controllers/buying_controller.py,Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Gudang Reserved adalah wajib untuk Item {0} dalam Bahan Baku yang dibekalkan
,Inactive Customers,Pelanggan aktif
DocType: Student Admission Program,Maximum Age,Umur Maksimum
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Please wait 3 days before resending the reminder.,Sila tunggu 3 hari sebelum mengingatkan peringatan.
DocType: Landed Cost Voucher,Purchase Receipts,Resit Pembelian
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,"Upload a bank statement, link or reconcile a bank account","Muat naik penyata bank, pautan atau mendamaikan akaun bank"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,How Pricing Rule is applied?,Bagaimana Harga Peraturan digunakan?
DocType: Stock Entry,Delivery Note No,Penghantaran Nota Tiada
DocType: Cheque Print Template,Message to show,Mesej untuk menunjukkan
apps/erpnext/erpnext/public/js/setup_wizard.js,Retail,Runcit
DocType: Student Attendance,Absent,Tidak hadir
DocType: Staffing Plan,Staffing Plan Detail,Detail Pelan Kakitangan
DocType: Employee Promotion,Promotion Date,Tarikh Promosi
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Leave allocation %s is linked with leave application %s,Tinggalkan peruntukan% s dikaitkan dengan permohonan cuti% s
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Product Bundle,Bundle Produk
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard.py,Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,Tidak dapat mencari skor bermula pada {0}. Anda perlu mempunyai skor tetap yang meliputi 0 hingga 100
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Invalid reference {1},Row {0}: rujukan tidak sah {1}
apps/erpnext/erpnext/assets/doctype/location/location_tree.js,New Location,Lokasi Baru
DocType: Purchase Invoice,Purchase Taxes and Charges Template,Membeli Cukai dan Caj Template
DocType: Additional Salary,Date on which this component is applied,Tarikh di mana komponen ini digunakan
DocType: Subscription,Current Invoice Start Date,Tarikh Mula Invois Semasa
DocType: Designation Skill,Designation Skill,Kemahiran Penetapan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Import of goods,Import barangan
DocType: Timesheet,TS-,TS
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Sama ada debit atau jumlah kredit diperlukan untuk {2}
DocType: GL Entry,Remarks,Catatan
DocType: Support Settings,Track Service Level Agreement,Perjanjian Tahap Perkhidmatan Track
DocType: Hotel Room Amenity,Hotel Room Amenity,Kemudahan Bilik Hotel
DocType: Budget,Action if Annual Budget Exceeded on MR,Tindakan jika Bajet Tahunan Melebihi MR
DocType: Course Enrollment,Course Enrollment,Pendaftaran Kursus
DocType: Payment Entry,Account Paid From,Akaun Dibayar Dari
DocType: Purchase Order Item Supplied,Raw Material Item Code,Bahan mentah Item Code
DocType: Task,Parent Task,Tugas Ibu Bapa
DocType: Project,From Template,Daripada Templat
DocType: Journal Entry,Write Off Based On,Tulis Off Based On
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Print and Stationery,Cetak dan Alat Tulis
DocType: Stock Settings,Show Barcode Field,Show Barcode Field
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Send Supplier Emails,Hantar Email Pembekal
DocType: Asset Movement,ACC-ASM-.YYYY.-,ACC-ASM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Gaji sudah diproses untuk tempoh antara {0} dan {1}, Tinggalkan tempoh permohonan tidak boleh di antara julat tarikh ini."
DocType: Fiscal Year,Auto Created,Dicipta Auto
apps/erpnext/erpnext/hr/doctype/employee_onboarding/employee_onboarding.py,Submit this to create the Employee record,Hantar ini untuk mencipta rekod Kakitangan
DocType: Item Default,Item Default,Default Item
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Intra-State Supplies,Bekalan Intra-Negeri
DocType: Chapter Member,Leave Reason,Tinggalkan Sebab
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,IBAN is not valid,IBAN tidak sah
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Invoice {0} no longer exists,Invois {0} tidak wujud lagi
DocType: Guardian Interest,Guardian Interest,Guardian Faedah
DocType: Volunteer,Availability,Ketersediaan
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.py,Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Tinggalkan aplikasi dikaitkan dengan peruntukan cuti {0}. Cuti permohonan tidak boleh ditetapkan sebagai cuti tanpa gaji
apps/erpnext/erpnext/config/retail.py,Setup default values for POS Invoices,Tetapkan nilai lalai untuk Invois POS
DocType: Employee Training,Training,Latihan
DocType: Project,Time to send,Masa untuk dihantar
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,This page keeps track of your items in which buyers have showed some interest.,Halaman ini menjejaki item anda di mana pembeli menunjukkan minat.
DocType: Timesheet,Employee Detail,Detail pekerja
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.py,Set warehouse for Procedure {0} ,Tetapkan gudang untuk Prosedur {0}
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,Guardian1 ID E-mel
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,Guardian1 ID E-mel
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Error: {0} is mandatory field,Ralat: {0} adalah medan wajib
DocType: Lab Prescription,Test Code,Kod Ujian
apps/erpnext/erpnext/config/website.py,Settings for website homepage,Tetapan untuk laman web laman utama
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} is on hold till {1},{0} ditangguhkan sehingga {1}
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,RFQs are not allowed for {0} due to a scorecard standing of {1},RFQ tidak dibenarkan untuk {0} kerana kedudukan kad skor {1}
apps/erpnext/erpnext/templates/pages/order.html,Make Purchase Invoice,Buat Invois Belian
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Used Leaves,Daun yang digunakan
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,{0} Coupon used are {1}. Allowed quantity is exhausted,{0} Kupon yang digunakan adalah {1}. Kuantiti dibiarkan habis
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Do you want to submit the material request,Adakah anda ingin mengemukakan permintaan bahan
DocType: Job Offer,Awaiting Response,Menunggu Response
DocType: Course Schedule,EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Above,Di atas
DocType: Support Search Source,Link Options,Pilihan Pautan
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Total Amount {0},Jumlah Jumlah {0}
apps/erpnext/erpnext/controllers/item_variant.py,Invalid attribute {0} {1},sifat yang tidak sah {0} {1}
DocType: Supplier,Mention if non-standard payable account,Menyebut jika tidak standard akaun yang perlu dibayar
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.py,Please select the assessment group other than 'All Assessment Groups',Sila pilih kumpulan penilaian selain daripada &#39;Semua Kumpulan Penilaian&#39;
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Row {0}: Cost center is required for an item {1},Baris {0}: Pusat kos diperlukan untuk item {1}
DocType: Training Event Employee,Optional,Pilihan
DocType: Salary Slip,Earning & Deduction,Pendapatan &amp; Potongan
DocType: Agriculture Analysis Criteria,Water Analysis,Analisis Air
DocType: Sales Order,Skip Delivery Note,Langkau Nota Penghantaran
DocType: Price List,Price Not UOM Dependent,Harga tidak bergantung kepada UOM
apps/erpnext/erpnext/stock/doctype/item/item.js,{0} variants created.,{0} varian dibuat.
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,A Default Service Level Agreement already exists.,Perjanjian Tahap Perkhidmatan Lalai telah wujud.
DocType: Quality Objective,Quality Objective,Objektif Kualiti
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Optional. This setting will be used to filter in various transactions.,Pilihan. Tetapan ini akan digunakan untuk menapis dalam pelbagai transaksi.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Valuation Rate is not allowed,Kadar Penilaian negatif tidak dibenarkan
DocType: Holiday List,Weekly Off,Mingguan Off
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.js,Reload Linked Analysis,Muat semula Analisis Berkaitan
DocType: Fiscal Year,"For e.g. 2012, 2012-13","Untuk contoh: 2012, 2012-13"
DocType: Purchase Order,Purchase Order Pricing Rule,Peraturan Harga Pesanan Pembelian
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Provisional Profit / Loss (Credit),Sementara Untung / Rugi (Kredit)
DocType: Sales Invoice,Return Against Sales Invoice,Kembali Terhadap Jualan Invois
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 5,Perkara 5
DocType: Serial No,Creation Time,Penciptaan Masa
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Total Revenue,Jumlah Pendapatan
DocType: Patient,Other Risk Factors,Faktor Risiko Lain
DocType: Sales Invoice,Product Bundle Help,Produk Bantuan Bundle
,Monthly Attendance Sheet,Lembaran Kehadiran Bulanan
DocType: Homepage Section Card,Subtitle,Sarikata
apps/erpnext/erpnext/hr/report/employee_advance_summary/employee_advance_summary.py,No record found,Rekod tidak dijumpai
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of Scrapped Asset,Kos Aset Dihapuskan
DocType: Employee Checkin,OUT,KELUAR
apps/erpnext/erpnext/controllers/stock_controller.py,{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Pusat Kos adalah wajib bagi Perkara {2}
DocType: Vehicle,Policy No,Polisi Tiada
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get Items from Product Bundle,Dapatkan Item daripada Fail Produk
DocType: Asset,Straight Line,Garis lurus
DocType: Project User,Project User,projek Pengguna
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,Split
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,Split
DocType: Tally Migration,Master Data,Data induk
DocType: Employee Transfer,Re-allocate Leaves,Alihkan semula Daun
DocType: GL Entry,Is Advance,Adalah Advance
apps/erpnext/erpnext/config/hr.py,Employee Lifecycle,Kitar Hayat Pekerja
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Attendance From Date and Attendance To Date is mandatory,Kehadiran Dari Tarikh dan Kehadiran Untuk Tarikh adalah wajib
apps/erpnext/erpnext/controllers/buying_controller.py,Please enter 'Is Subcontracted' as Yes or No,Sila masukkan &#39;Apakah Subkontrak&#39; seperti Ya atau Tidak
DocType: Item,Default Purchase Unit of Measure,Unit Pembelian Lalai Ukuran
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Tarikh Komunikasi lalu
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Tarikh Komunikasi lalu
DocType: Clinical Procedure Item,Clinical Procedure Item,Perkara Prosedur Klinikal
DocType: Sales Team,Contact No.,Hubungi No.
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Billing Address is same as Shipping Address,Alamat Penagihan sama dengan Alamat Perkapalan
DocType: Bank Reconciliation,Payment Entries,Penyertaan pembayaran
DocType: Location,Latitude,Latitud
DocType: Work Order,Scrap Warehouse,Scrap Warehouse
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Gudang diperlukan di Row No {0}, sila tetapkan gudang lalai untuk item {1} untuk syarikat {2}"
DocType: Work Order,Check if material transfer entry is not required,Periksa sama ada kemasukan pemindahan bahan tidak diperlukan
DocType: Work Order,Check if material transfer entry is not required,Periksa sama ada kemasukan pemindahan bahan tidak diperlukan
