DocType: Accounting Period,Period Name,Jina la Kipindi
DocType: Pricing Rule,Coupon Code Based,Msimbo wa Coupon
DocType: Company,HRA Settings,Mipangilio ya HRA
DocType: Homepage,Hero Section,Sehemu ya shujaa
DocType: Employee Transfer,Transfer Date,Tarehe ya Uhamisho
DocType: Lab Test,Approved Date,Tarehe iliyoidhinishwa
apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py,Standard Selling,Uuzaji wa kawaida
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Atleast one warehouse is mandatory,Atleast ghala moja ni lazima
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit_type/healthcare_service_unit_type.py,"Configure Item Fields like UOM, Item Group, Description and No of Hours.","Sanidi Mashamba ya Bidhaa kama UOM, Kikundi cha Maelezo, Maelezo na Hakuna Masaa."
DocType: Certification Application,Certification Status,Hali ya vyeti
apps/erpnext/erpnext/public/js/hub/marketplace.js,Marketplace,Hifadhi ya Soko
DocType: Travel Itinerary,Travel Advance Required,Safari ya Safari inahitajika
DocType: Subscriber,Subscriber Name,Jina la Msajili
DocType: Serial No,Out of Warranty,Nje ya udhamini
DocType: Bank Statement Transaction Settings Item,Mapped Data Type,Aina ya Data Mapped
DocType: BOM Update Tool,Replace,Badilisha
apps/erpnext/erpnext/templates/includes/product_list.js,No products found.,Hakuna bidhaa zilizopatikana.
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,Publish More Items,Chapisha Vitu Zaidi
apps/erpnext/erpnext/support/doctype/issue/issue.py,This Service Level Agreement is specific to Customer {0},Mkataba huu wa Kiwango cha Huduma ni maalum kwa Wateja {0}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Invoice {1},{0} dhidi ya ankara ya mauzo {1}
DocType: Antibiotic,Laboratory User,Mtumiaji wa Maabara
DocType: Request for Quotation Item,Project Name,Jina la Mradi
apps/erpnext/erpnext/regional/italy/utils.py,Please set the Customer Address,Tafadhali weka Anwani ya Wateja
DocType: Customer,Mention if non-standard receivable account,Eleza kama akaunti isiyo ya kawaida ya kupokea
DocType: Bank,Plaid Access Token,Ishara ya Upataji wa Paa
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,Please add the remaining benefits {0} to any of the existing component,Tafadhali ongeza faida zilizobaki {0} kwa sehemu yoyote iliyopo
DocType: Journal Entry Account,If Income or Expense,Kama Mapato au Gharama
DocType: Course Topic,Course Topic,Mada ya kozi
apps/erpnext/erpnext/selling/doctype/pos_closing_voucher/pos_closing_voucher.py,POS Closing Voucher alreday exists for {0} between date {1} and {2},Ushirikiano wa vocha ya kufunga POS inapatikana kwa {0} kati ya tarehe {1} na {2}
DocType: Bank Statement Transaction Entry,Matching Invoices,Invoices zinazofanana
DocType: Work Order,Required Items,Vitu vinavyotakiwa
DocType: Stock Ledger Entry,Stock Value Difference,Thamani ya Thamani ya Hifadhi
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Item Row {0}: {1} {2} does not exist in above '{1}' table,Row Row {0}: {1} {2} haipo katika meza ya juu &#39;{1}&#39;
apps/erpnext/erpnext/config/help.py,Human Resource,Rasilimali watu
DocType: Payment Reconciliation Payment,Payment Reconciliation Payment,Malipo ya Upatanisho wa Malipo
DocType: Disease,Treatment Task,Kazi ya Matibabu
DocType: Payment Order Reference,Bank Account Details,Maelezo ya Akaunti ya Benki
DocType: Purchase Order Item,Blanket Order,Mpangilio wa kikapu
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.py,Repayment Amount must be greater than ,Kiasi cha Ulipaji lazima iwe kubwa kuliko
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Tax Assets,Mali ya Kodi
DocType: BOM Item,BOM No,BOM Hapana
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Journal Entry {0} does not have account {1} or already matched against other voucher,Uingiaji wa Vitambulisho {0} hauna akaunti {1} au tayari imefananishwa dhidi ya vyeti vingine
DocType: Item,Moving Average,Kusonga Wastani
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Benefit,Faida
DocType: BOM Update Tool,The BOM which will be replaced,BOM ambayo itabadilishwa
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Electronic Equipments,Vifaa vya umeme
DocType: Asset,Maintenance Required,Matengenezo Inahitajika
DocType: Account,Debit,Debit
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leaves must be allocated in multiples of 0.5,Majani yanapaswa kuwekwa kwa mara nyingi ya 0.5
DocType: Work Order,Operation Cost,Gharama za Uendeshaji
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Identifying Decision Makers,Kutambua Waamuzi wa Uamuzi
apps/erpnext/erpnext/selling/report/customer_credit_balance/customer_credit_balance.py,Outstanding Amt,Amt bora
DocType: Sales Person,Set targets Item Group-wise for this Sales Person.,Weka malengo Makala ya busara ya Kikundi kwa Mtu wa Mauzo.
DocType: Stock Settings,Freeze Stocks Older Than [Days],Zifungia Hifadhi za Kale kuliko [Siku]
DocType: Payment Entry,Payment Ordered,Malipo amri
DocType: Asset Maintenance Team,Maintenance Team Name,Jina la Timu ya Matengenezo
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Ikiwa Kanuni mbili za bei za bei zinapatikana kulingana na hali zilizo hapo juu, Kipaumbele kinatumika. Kipaumbele ni nambari kati ya 0 hadi 20 wakati thamani ya msingi ni sifuri (tupu). Nambari ya juu ina maana itatangulia kama kuna Kanuni nyingi za bei na hali sawa."
apps/erpnext/erpnext/controllers/trends.py,Fiscal Year: {0} does not exists,Mwaka wa Fedha: {0} haipo
DocType: Currency Exchange,To Currency,Ili Fedha
DocType: Leave Block List,Allow the following users to approve Leave Applications for block days.,Ruhusu watumiaji wafuatayo kupitisha Maombi ya Kuacha kwa siku za kuzuia.
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Lifecycle,Uhai wa Maisha
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Payment Document Type,Aina ya Hati ya malipo
apps/erpnext/erpnext/controllers/selling_controller.py,Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},Kiwango cha kuuza kwa kipengee {0} ni cha chini kuliko {1} yake. Kiwango cha uuzaji kinapaswa kuwa salama {2}
DocType: Designation Skill,Skill,Ujuzi
DocType: Subscription,Taxes,Kodi
DocType: Purchase Invoice Item,Weight Per Unit,Uzito Kwa Kitengo
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Paid and Not Delivered,Ilipwa na Haijaokolewa
DocType: QuickBooks Migrator,Default Cost Center,Kituo cha Ghali cha Default
apps/erpnext/erpnext/www/all-products/index.html,Toggle Filters,Badilisha vichungi
apps/erpnext/erpnext/config/stock.py,Stock Transactions,Ushirikiano wa hisa
DocType: Budget,Budget Accounts,Hesabu za Bajeti
DocType: Employee,Internal Work History,Historia ya Kazi ya Kazi
DocType: Bank Statement Transaction Entry,New Transactions,Shughuli mpya
DocType: Depreciation Schedule,Accumulated Depreciation Amount,Kukusanya kiasi cha kushuka kwa thamani
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Private Equity,Private Equity
DocType: Supplier Scorecard Variable,Supplier Scorecard Variable,Scorecard ya Wafanyabiashara Inaweza kubadilika
DocType: Shift Type,Working Hours Threshold for Half Day,Kufanya Kazi Kizingiti cha Siku ya nusu
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Please create purchase receipt or purchase invoice for the item {0},Tafadhali tengeneza risiti ya ununuzi au ankara ya ununuzi kwa kipengee {0}
DocType: Job Card,Material Transferred,Nyenzo Inahamishwa
DocType: Employee Advance,Due Advance Amount,Kutokana na Kiwango cha Mapema
DocType: Maintenance Visit,Customer Feedback,Maoni ya Wateja
DocType: Account,Expense,Gharama
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.js,Score cannot be greater than Maximum Score,Alama haiwezi kuwa kubwa zaidi kuliko alama ya Maximum
DocType: Support Search Source,Source Type,Aina ya Chanzo
DocType: Course Content,Course Content,Yaliyomo ya kozi
apps/erpnext/erpnext/utilities/user_progress.py,Customers and Suppliers,Wateja na Wauzaji
DocType: Item Attribute,From Range,Kutoka Mbalimbali
DocType: BOM,Set rate of sub-assembly item based on BOM,Weka kiwango cha kipengee kidogo cha mkutano kulingana na BOM
DocType: Inpatient Occupancy,Invoiced,Imesajiliwa
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,Bidhaa za WooCommerce
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Syntax error in formula or condition: {0},Hitilafu ya Syntax katika fomu au hali: {0}
apps/erpnext/erpnext/stock/utils.py,Item {0} ignored since it is not a stock item,Kipengee {0} kinachunguzwa kwani si kitu cha hisa
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.","Ili kuomba Sheria ya bei katika shughuli fulani, Sheria zote za Bei lazima zimezimwa."
DocType: Payment Term,Day(s) after the end of the invoice month,Siku (s) baada ya mwisho wa mwezi wa ankara
DocType: Assessment Group,Parent Assessment Group,Kundi la Tathmini ya Mzazi
DocType: Employee Checkin,Shift Actual End,Mwisho wa Shift
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py,Jobs,Kazi
,Sales Order Trends,Mwelekeo wa Utaratibu wa Mauzo
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,The 'From Package No.' field must neither be empty nor it's value less than 1.,Ya &#39;Kutoka Pakiti&#39; shamba haipaswi kuwa tupu wala ni thamani chini ya 1.
DocType: Employee,Held On,Imewekwa
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order_calendar.js,Production Item,Bidhaa ya Uzalishaji
,Employee Information,Taarifa ya Waajiriwa
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},Mtaalamu wa Afya haipatikani kwa {0}
DocType: Stock Entry Detail,Additional Cost,Gharama za ziada
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"Can not filter based on Voucher No, if grouped by Voucher","Haiwezi kuchuja kulingana na Voucher No, ikiwa imewekwa na Voucher"
DocType: Quality Inspection,Incoming,Inakuja
apps/erpnext/erpnext/setup/doctype/company/company.js,Default tax templates for sales and purchase are created.,Vidokezo vya kodi za kutosha kwa mauzo na ununuzi vinaloundwa.
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.py,Assessment Result record {0} already exists.,Tathmini ya Matokeo ya Tathmini {0} tayari imepo.
DocType: Item,"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","Mfano: ABCD. #####. Ikiwa mfululizo umewekwa na Batch No haijajwajwa katika shughuli, basi nambari ya kundi la moja kwa moja litaundwa kulingana na mfululizo huu. Ikiwa daima unataka kueleza wazi Kundi Hakuna kwa kipengee hiki, chagua hii tupu. Kumbuka: mipangilio hii itachukua kipaumbele juu ya Kiambatisho cha Msaada wa Naming katika Mipangilio ya Hifadhi"
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Outward taxable supplies(zero rated),Vifaa vya ushuru vya nje (vimekadiriwa zero)
DocType: BOM,Materials Required (Exploded),Vifaa vinavyotakiwa (Imelipuka)
apps/erpnext/erpnext/buying/report/purchase_analytics/purchase_analytics.js,based_on,kulingana na
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Submit Review,Wasilisha Ukaguzi
DocType: Contract,Party User,Mtumiaji wa Chama
apps/erpnext/erpnext/stock/report/total_stock_summary/total_stock_summary.py,Please set Company filter blank if Group By is 'Company',Tafadhali weka Chujio cha Kampuni kikiwa tupu ikiwa Kundi Na &#39;Kampuni&#39;
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,Posting Date cannot be future date,Tarehe ya Kuchapisha haiwezi kuwa tarehe ya baadaye
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Serial No {1} does not match with {2} {3},Row # {0}: Serial No {1} hailingani na {2} {3}
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py,Please setup numbering series for Attendance via Setup &gt; Numbering Series,Tafadhali sasisha safu za nambari za Kuhudhuria kupitia Usanidi&gt; Mfululizo wa hesabu
DocType: Stock Entry,Target Warehouse Address,Anwani ya Wakala ya Ghala
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Casual Leave,Kuondoka kwa kawaida
DocType: Shift Type,The time before the shift start time during which Employee Check-in is considered for attendance.,Wakati kabla ya kuanza kwa wakati ambapo Kuingia kwa Wafanyakazi kunazingatiwa kwa mahudhurio.
DocType: Agriculture Task,End Day,Siku ya Mwisho
DocType: Batch,Batch ID,Kitambulisho cha Bundi
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Note: {0},Kumbuka: {0}
DocType: Stock Settings,Action if Quality inspection is not submitted,Kitendo ikiwa ukaguzi wa Ubora haujawasilishwa
,Delivery Note Trends,Mwelekeo wa Kumbuka Utoaji
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Week's Summary,Muhtasari wa wiki hii
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,In Stock Qty,Katika Stock
,Daily Work Summary Replies,Muhtasari wa Kazi ya Kila siku
DocType: Delivery Trip,Calculate Estimated Arrival Times,Tumia Hesabu ya Kufika Iliyohesabiwa
apps/erpnext/erpnext/accounts/general_ledger.py,Account: {0} can only be updated via Stock Transactions,Akaunti: {0} inaweza kurekebishwa tu kupitia Ushirikiano wa Hifadhi
DocType: Student Group Creation Tool,Get Courses,Pata Mafunzo
DocType: Tally Migration,ERPNext Company,Kampuni ya ERPNext
DocType: Shopify Settings,Webhooks,Mtandao wa wavuti
DocType: Bank Account,Party,Chama
DocType: Healthcare Settings,Patient Name,Jina la subira
DocType: Variant Field,Variant Field,Field Variant
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Target Location,Mahali Mahali
DocType: Sales Order,Delivery Date,Tarehe ya Utoaji
DocType: Opportunity,Opportunity Date,Tarehe ya fursa
DocType: Employee,Health Insurance Provider,Mtoa Bima ya Afya
DocType: Service Level,Holiday List (ignored during SLA calculation),Orodha ya likizo (kupuuzwa wakati wa hesabu ya SLA)
DocType: Products Settings,Show Availability Status,Onyesha Hali ya Upatikanaji
DocType: Purchase Receipt,Return Against Purchase Receipt,Kurudi dhidi ya Receipt ya Ununuzi
DocType: Water Analysis,Person Responsible,Mtu anajibika
DocType: Request for Quotation Item,Request for Quotation Item,Ombi la Bidhaa ya Nukuu
DocType: Purchase Order,To Bill,Kwa Bill
DocType: Material Request,% Ordered,Aliamriwa
DocType: Education Settings,"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.","Kwa Kundi la Wanafunzi la msingi, Kozi itastahikiwa kwa kila Mwanafunzi kutoka Kozi zilizosajiliwa katika Uandikishaji wa Programu."
DocType: Employee Grade,Employee Grade,Wafanyakazi wa darasa
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Piecework,Piecework
DocType: GSTR 3B Report,June,Juni
DocType: Share Balance,From No,Kutoka Hapana
DocType: Shift Type,Early Exit Grace Period,Tarehe ya mapema ya Neema
DocType: Task,Actual Time (in Hours),Muda halisi (katika Masaa)
DocType: Employee,History In Company,Historia Katika Kampuni
DocType: Customer,Customer Primary Address,Anwani ya Msingi ya Wateja
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Connected,Simu Imeunganishwa
apps/erpnext/erpnext/config/crm.py,Newsletters,Majarida
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Reference No.,Nambari ya kumbukumbu.
DocType: Drug Prescription,Description/Strength,Maelezo / Nguvu
apps/erpnext/erpnext/config/hr.py,Energy Point Leaderboard,Bodi ya Uongozi wa Nishati
DocType: Bank Statement Transaction Entry,Create New Payment/Journal Entry,Unda Malipo Mpya / Uingiaji wa Machapisho
DocType: Certification Application,Certification Application,Programu ya Vyeti
DocType: Leave Type,Is Optional Leave,Ni Chaguo La Kuondoka
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Declare Lost,Tangaza waliopotea
DocType: Share Balance,Is Company,Ni Kampuni
DocType: Pricing Rule,Same Item,Jambo moja
DocType: Stock Ledger Entry,Stock Ledger Entry,Kuingia kwa Ledger Entry
DocType: Quality Action Resolution,Quality Action Resolution,Azimio la Utendaji Bora
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} on Half day Leave on {1},{0} kwenye siku ya nusu Acha {1}
DocType: Department,Leave Block List,Acha orodha ya kuzuia
DocType: Purchase Invoice,Tax ID,Kitambulisho cha Ushuru
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item {0} is not setup for Serial Nos. Column must be blank,Kipengee {0} sio kuanzisha kwa Nakala Zetu. Sawa lazima iwe tupu
apps/erpnext/erpnext/regional/india/utils.py,Either GST Transporter ID or Vehicle No is required if Mode of Transport is Road,Kitambulisho cha Transporter ya GST au gari La Hakuna inahitajika ikiwa Njia ya Usafiri ni Barabara
DocType: Accounts Settings,Accounts Settings,Mipangilio ya Akaunti
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Approve,Thibitisha
DocType: Loyalty Program,Customer Territory,Eneo la Wateja
DocType: Email Digest,Sales Orders to Deliver,Maagizo ya Mauzo ya Kutoa
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Number of new Account, it will be included in the account name as a prefix","Idadi ya Akaunti mpya, itaingizwa katika jina la akaunti kama kiambishi"
DocType: Maintenance Team Member,Team Member,Mwanachama wa Timu
DocType: GSTR 3B Report,Invoices with no Place Of Supply,Ankara bila Mahali pa Ugavi
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,No Result to submit,Hakuna matokeo ya kuwasilisha
DocType: Customer,Sales Partner and Commission,Mshirika wa Mauzo na Tume
DocType: Loan,Rate of Interest (%) / Year,Kiwango cha Maslahi (%) / Mwaka
,Project Quantity,Mradi wa Wingi
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","Jumla ya {0} kwa vitu vyote ni sifuri, huenda unapaswa kubadilisha &#39;Kusambaza mishahara ya msingi&#39;"
apps/erpnext/erpnext/hr/utils.py,To date can not be less than from date,Hadi sasa haiwezi kuwa chini ya tarehe
DocType: Opportunity,To Discuss,Kujadili
DocType: Loan Type,Rate of Interest (%) Yearly,Kiwango cha Maslahi (%) Kila mwaka
apps/erpnext/erpnext/config/quality_management.py,Quality Goal.,Lengo la ubora.
DocType: Support Settings,Forum URL,URL ya kikao
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Temporary Accounts,Akaunti ya Muda
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Source Location is required for the asset {0},Eneo la Chanzo linahitajika kwa mali {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Black,Nyeusi
DocType: BOM Explosion Item,BOM Explosion Item,BOM Bidhaa ya Mlipuko
DocType: Shareholder,Contact List,Orodha ya Mawasiliano
DocType: Account,Auditor,Mkaguzi
DocType: Project,Frequency To Collect Progress,Upepo wa Kukusanya Maendeleo
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items produced,{0} vitu vilivyotengenezwa
apps/erpnext/erpnext/utilities/user_progress.py,Learn More,Jifunze zaidi
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,{0} is not added in the table,{0} haijaongezwa kwenye jedwali
DocType: Payment Entry,Party Bank Account,Akaunti ya Benki ya Chama
DocType: Cheque Print Template,Distance from top edge,Umbali kutoka makali ya juu
DocType: POS Closing Voucher Invoices,Quantity of Items,Wingi wa Vitu
apps/erpnext/erpnext/stock/get_item_details.py,Price List {0} is disabled or does not exist,Orodha ya Bei {0} imezimwa au haipo
DocType: Purchase Invoice,Return,Rudi
DocType: Account,Disable,Zima
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Mode of payment is required to make a payment,Njia ya kulipa inahitajika kufanya malipo
DocType: Task,Pending Review,Mapitio Yasubiri
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,"Edit in full page for more options like assets, serial nos, batches etc.","Badilisha katika ukurasa kamili kwa chaguo zaidi kama vile mali, serial nos, batches nk"
DocType: Leave Type,Maximum Continuous Days Applicable,Siku Zilizozidi Kuendelea zinazohitajika
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 4,Umri wa kuzeeka 4
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is not enrolled in the Batch {2},{0} - {1} haijasajiliwa katika Batch {2}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,"Asset {0} cannot be scrapped, as it is already {1}","Malipo {0} hayawezi kupigwa, kama tayari {1}"
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Cheques Required,Cheki Inahitajika
DocType: Task,Total Expense Claim (via Expense Claim),Madai ya jumla ya gharama (kupitia madai ya gharama)
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Absent,Weka alama
DocType: Job Applicant Source,Job Applicant Source,Chanzo cha Msaidizi wa Kazi
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,IGST Amount,IGST Kiasi
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to setup company,Imeshindwa kuanzisha kampuni
DocType: Asset Repair,Asset Repair,Ukarabati wa Mali
DocType: Warehouse,Warehouse Type,Aina ya ghala
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},Row {0}: Fedha ya BOM # {1} inapaswa kuwa sawa na sarafu iliyochaguliwa {2}
DocType: Journal Entry Account,Exchange Rate,Kiwango cha Exchange
DocType: Patient,Additional information regarding the patient,Maelezo ya ziada kuhusu mgonjwa
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Sales Order {0} is not submitted,Sheria ya Mauzo {0} haijawasilishwa
DocType: Homepage,Tag Line,Mstari wa Tag
DocType: Fee Component,Fee Component,Fomu ya Malipo
apps/erpnext/erpnext/config/hr.py,Fleet Management,Usimamizi wa Fleet
apps/erpnext/erpnext/config/agriculture.py,Crops & Lands,Mazao na Nchi
DocType: Shift Type,Enable Exit Grace Period,Washa Tarehe ya Neema
DocType: Cheque Print Template,Regular,Mara kwa mara
DocType: Fertilizer,Density (if liquid),Uzito wiani (kama kioevu)
apps/erpnext/erpnext/education/doctype/course/course.py,Total Weightage of all Assessment Criteria must be 100%,Jumla ya uzito wa Vigezo vyote vya Tathmini lazima iwe 100%
DocType: Purchase Order Item,Last Purchase Rate,Kiwango cha Mwisho cha Ununuzi
DocType: GSTR 3B Report,August,Agosti
DocType: Account,Asset,Mali
DocType: Quality Goal,Revised On,Iliyorekebishwa On
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock cannot exist for Item {0} since has variants,Hifadhi haipatikani kwa Item {0} tangu ina tofauti
DocType: Healthcare Practitioner,Mobile,Rununu
DocType: Issue,Reset Service Level Agreement,Rudisha Mkataba wa Kiwango cha Huduma
,Sales Person-wise Transaction Summary,Muhtasari wa Shughuli za Wafanyabiashara wa Mauzo
DocType: Training Event,Contact Number,Namba ya mawasiliano
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouse {0} does not exist,Ghala {0} haipo
DocType: Cashier Closing,Custody,Usimamizi
DocType: Employee Tax Exemption Proof Submission Detail,Employee Tax Exemption Proof Submission Detail,Ushuru wa Wafanyakazi wa Ushuru Uthibitisho wa Uwasilishaji wa Maelezo
DocType: Monthly Distribution,Monthly Distribution Percentages,Asilimia ya Usambazaji wa Kila mwezi
apps/erpnext/erpnext/stock/doctype/batch/batch.py,The selected item cannot have Batch,Bidhaa iliyochaguliwa haiwezi kuwa na Batch
DocType: Delivery Note,% of materials delivered against this Delivery Note,% ya vifaa vinavyotolewa dhidi ya Kumbuka Utoaji huu
DocType: Asset Maintenance Log,Has Certificate,Ina Cheti
DocType: Project,Customer Details,Maelezo ya Wateja
apps/erpnext/erpnext/regional/report/irs_1099/irs_1099.js,Print IRS 1099 Forms,Chapisha Fomu za IRS 1099
DocType: Asset,Check if Asset requires Preventive Maintenance or Calibration,Angalia kama Mali inahitaji Maintenance ya Uzuiaji au Calibration
apps/erpnext/erpnext/public/js/setup_wizard.js,Company Abbreviation cannot have more than 5 characters,Hali ya Kampuni haiwezi kuwa na wahusika zaidi ya 5
DocType: Employee,Reports to,Ripoti kwa
,Unpaid Expense Claim,Madai ya gharama ya kulipwa
DocType: Payment Entry,Paid Amount,Kiwango kilicholipwa
apps/erpnext/erpnext/utilities/user_progress.py,Explore Sales Cycle,Pitia Mzunguko wa Mauzo
DocType: Assessment Plan,Supervisor,Msimamizi
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Retention Stock Entry,Kuhifadhi Usajili wa hisa
,Available Stock for Packing Items,Inapatikana Stock kwa Vipuri vya Ufungashaji
DocType: Item Variant,Item Variant,Tofauti ya Tofauti
DocType: Employee Skill Map,Trainings,Mafunzo
,Work Order Stock Report,Ripoti ya Kazi ya Kazi ya Kazi
DocType: Purchase Receipt,Auto Repeat Detail,Fanya maelezo ya kurudi
DocType: Assessment Result Tool,Assessment Result Tool,Kitabu cha Matokeo ya Tathmini
apps/erpnext/erpnext/education/doctype/instructor/instructor.js,As Supervisor,Kama Msimamizi
DocType: Leave Policy Detail,Leave Policy Detail,Acha Sera ya Ufafanuzi
DocType: BOM Scrap Item,BOM Scrap Item,BOM Kipengee cha Bidhaa
apps/erpnext/erpnext/accounts/page/pos/pos.js,Submitted orders can not be deleted,Maagizo yaliyowasilishwa hayawezi kufutwa
DocType: Leave Control Panel,Department (optional),Idara (hiari)
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Usawa wa Akaunti tayari katika Debit, huruhusiwi kuweka &#39;Mizani lazima iwe&#39; kama &#39;Mikopo&#39;"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","Ikiwa {0} {1} ya thamani ya bidhaa <b>{2}</b> , mpango <b>{3}</b> utatumika kwenye bidhaa hiyo."
DocType: Customer Feedback,Quality Management,Usimamizi wa Ubora
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Item {0} has been disabled,Item {0} imezimwa
DocType: Project,Total Billable Amount (via Timesheets),Kiwango cha Jumla cha Billable (kupitia Timesheets)
DocType: Agriculture Task,Previous Business Day,Siku ya Biashara ya awali
DocType: Loan,Repay Fixed Amount per Period,Rejesha Kiasi kilichopangwa kwa Kipindi
DocType: Employee,Health Insurance No,Bima ya Afya Bila
