Pension Funds,ஓய்வூதிய நிதி
Program Fee,நிரல் கட்டணம்
Delay between Delivery Stops,டெலிவரி ஸ்டோப்புகளுக்கு இடையில் தாமதம்
Freeze Stocks Older Than [Days],[தினங்கள்]
Promotional Scheme Product Discount,ஊக்குவிப்பு திட்டம் தயாரிப்பு தள்ளுபடி
Asset Received But Not Billed,சொத்து பெறப்பட்டது ஆனால் கட்டணம் இல்லை
Total Collected Amount,மொத்த சேகரிப்பு தொகை
Default Grading Scale,இயல்புநிலை தரமதிப்பீட்டு அளவுகோல்
Allow user to edit Discount,தள்ளுபடி திருத்த பயனர் அனுமதி
Linked Invoices,இணைக்கப்பட்ட பற்றுச்சீட்டுகள்
Weekends,வார இறுதிநாட்கள்
Health Details,சுகாதார விவரங்கள்
Graduate,பட்டதாரி
Asset Maintenance Task,சொத்து பராமரிப்பு பணி
Restaurant Table,உணவக அட்டவணை
CN,சிஎன்
Order Entry,ஆர்டர் நுழைவு
Download PDF,PDF ஐ பதிவிறக்கவும்
Unallocated Amount,ஒதுக்கப்படாத தொகை
Rented Car,வாடகைக்கு கார்
On Hold,பிடி
Sales Invoice Timesheet,விற்பனை விலைப்பட்டியல் டைம்ஸ்பீட்
Plans,திட்டங்கள்
Landed Cost Voucher Amount,விலை வவுச்சர் தொகை வழங்கப்பட்டது
Medical,மருத்துவ
Account {0} is frozen,கணக்கு {0} உறைநிலையில் உள்ளது
First Email,முதல் மின்னஞ்சல்
Criteria Setup,நிபந்தனை அமைப்பு
Yield UOM,மகசூல் UOM
Lab Test Prescriptions,லேப் டெஸ்ட் பரிந்துரைப்புகள்
Service Expense,சேவை செலவினம்
Reference No & Reference Date is required for {0},குறிப்பு 0 &amp; {0} க்கான குறிப்பு தேதி தேவை
Leave Encashment Amount Per Day,நாளொன்றுக்கு Encashment தொகை விட்டு
Naming Series (for Student Applicant),பெயரிடும் தொடர் (மாணவர் விண்ணப்பதாரருக்கு)
As per section 17(5),பிரிவு 17 (5)
{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,இந்த பரிவர்த்தனை முடிக்க {5} {5} க்கான {0} {4} {2} அலகுகள் {1} தேவை.
Credit Days cannot be a negative number,கடன் நாட்கள் ஒரு எதிர்ம எண் அல்ல
Same supplier has been entered multiple times,அதே சப்ளையர் பல முறை உள்ளிடப்பட்டுள்ளது
Tariff Number,கட்டண எண்
Maximum Permissible Value,அதிகபட்ச அனுமதிக்கப்பட்ட மதிப்பு
Received Stock Entries,பங்கு பதிவுகள் பெறப்பட்டது
Opportunity Amount,வாய்ப்பு தொகை
Purchase Order Amount,வாங்க ஆர்டர் ஆர்டர் தொகை
III,மூன்றாம்
Fulfilment Terms,நிறைவேற்று விதிமுறைகள்
Non-Group to Group,குரூப் அல்லாத குழு
Mother,தாய்
Deduct Tax For Unclaimed Employee Benefits,உரிமை கோரப்படாத பணியாளர்களுக்கு நன்மதிப்பு வரி விதிக்க
Travel Funding,சுற்றுலா நிதி
Fixed,நிலையான
{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0} ({1}) பணி வரிசையில் திட்டமிடப்பட்ட அளவுக்கு ({2}) அதிகமாக இருக்க முடியாது {3}
Additional Information,கூடுதல் தகவல்
Reschedule,மீண்டும் திட்டமிட
Please select Existing Company for creating Chart of Accounts,கணக்குகளின் வரைபடத்தை உருவாக்கும் நிறுவனத்தைத் தேர்ந்தெடுக்கவும்
Active Leads / Customers,செயலில் வழிகாட்டிகள் / வாடிக்கையாளர்கள்
1 exact match.,1 சரியான போட்டி.
Sports,விளையாட்டு
Claimed Amount,உரிமைகோரப்பட்ட தொகை
Plant Analysis Criteria,தாவர பகுப்பாய்வு அளவுகோல்
Send Payment Request Email,கட்டணம் கோரிக்கை மின்னஞ்சல் அனுப்பு
In Words will be visible once you save the Sales Invoice.,"நீங்கள் Sales Invoice ஐ சேமித்தபின், வார்த்தைகளில் தெரியும்."
Sales Team1,விற்பனை குழு 1
Required Items,தேவையான பொருட்கள்
"Special Characters except ""-"", ""#"", ""."" and ""/"" not allowed in naming series","&quot;-&quot; தவிர சிறப்பு எழுத்துக்கள், &quot;#&quot;, &quot;.&quot; மற்றும் &quot;/&quot; தொடரை பெயரிடுவதில் அனுமதி இல்லை"
Read the ERPNext Manual,ERPNext கையேட்டைப் படியுங்கள்
Check Supplier Invoice Number Uniqueness,சப்ளையர் விலைப்பட்டியல் இலக்கம் சரிபார்க்கவும்
Search Sub Assemblies,சப் அசெம்பிளிகளைத் தேடு
Type of document to rename.,மறுபெயரிட ஆவணத்தின் வகை.
"Leads help you get business, add all your contacts and more as your leads","லீட்ஸ் உங்களுக்கு வியாபாரத்தைப் பெற உதவுகிறது, மேலும் உங்கள் தொடர்புகளையும் மேலும் உங்கள் வழிகளையும் சேர்க்கலாம்"
Indirect Expenses,மறைமுக செலவுகள்
Internet Publishing,இணைய வெளியீடு
Account Manager,கணக்கு மேலாளர்
BR,பி.ஆர்
Warranty Period (in days),உத்தரவாதத்தை காலம் (நாட்களில்)
No items found.,உருப்படிகள் எதுவும் இல்லை.
From Range,ரேஞ்சில் இருந்து
Consumables,நுகர்பொருள்கள்
Reference Row #,குறிப்பு வரிசை #
Please set 'Asset Depreciation Cost Center' in Company {0},நிறுவனத்தில் {0} சொத்து மதிப்பீட்டு விலை மையத்தை அமைக்கவும்
Row #{0}: Payment document is required to complete the trasaction,வரிசை # {0}: trasaction ஐ முடிக்க கட்டணம் ஆவணம் தேவை
Click this button to pull your Sales Order data from Amazon MWS.,அமேசான் MWS இலிருந்து உங்கள் விற்பனை ஆணை தரவுகளை இழுக்க இந்த பொத்தானை கிளிக் செய்யவும்.
Assessment Plan Status,மதிப்பீட்டு திட்டம் நிலை
Please select {0} first,முதலில் {0} என்பதைத் தேர்ந்தெடுக்கவும்
Submit this to create the Employee record,பணியாளர் பதிவை உருவாக்க இதைச் சமர்ப்பிக்கவும்
"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""","இது மாறுபாட்டின் உருப்படிக் கோடையில் சேர்க்கப்படும். எடுத்துக்காட்டுக்கு, உங்கள் சுருக்கமானது &quot;எஸ்எம்&quot; மற்றும் உருப்படி குறியீடானது &quot;T-SHIRT&quot; எனில், மாறுபாட்டின் உருப்படி குறியீடு &quot;T-SHIRT-SM&quot;"
Please enter Delivery Date,டெலிவரி தேதி உள்ளிடுக
Quality Inspection,தரம் ஆய்வு
Root Type,ரூட் டைப்
Write Off Based On,அடிப்படையில் எழுதுங்கள்
Report Preference,முன்னுரிமை அறிக்கை
Products Settings,தயாரிப்புகள் அமைப்புகள்
Synch Taxes and Charges,ஒத்த வரிகள் மற்றும் கட்டணங்கள்
Total cannot be zero,மொத்தம் பூஜ்யமாக இருக்க முடியாது
Opening (Cr),திறக்கிறது (Cr)
Company Email,நிறுவனத்தின் மின்னஞ்சல்
Show Stock Quantity,பங்கு அளவு காட்டு
A-,ஏ
Account {0} is added in the child company {1},குழந்தை நிறுவனத்தில் {0} கணக்கு சேர்க்கப்பட்டுள்ளது {1}
Date Of Retirement must be greater than Date of Joining,ஓய்வூதியம் நாள் சேரும் தேதி விட அதிகமாக இருக்க வேண்டும்
Add Item,பொருள் சேர்
Sick Leave,சீக் விடுப்பு
Lab Test,ஆய்வக சோதனை
Accumulated Depreciation,திரட்டப்பட்ட தேய்மானம்
Source Type,மூல வகை
Department Approver,துறை மதிப்பீடு
Qty per BOM Line,BOM வரியைக் குறிக்கும்
Accepted + Rejected Qty must be equal to Received quantity for Item {0},ஏற்றுக்கொள்ளப்பட்டது + நிராகரிக்கப்பட்டது Qty பொருள் பெறப்பட்ட அளவு சமமாக இருக்க வேண்டும் {0}
Expense Claims,செலவுகள் கோரல்கள்
Address HTML,முகவரி HTML
Stock Projected Qty,பங்கு மதிப்பீடு Qty
Job Offer,வேலை வாய்ப்பு
No Remarks,இல்லை குறிப்புகள்
Change Amount,தொகை மாற்றவும்
Write Off Amount,தொகை தள்ளுபடி
No Items available for transfer,இடமாற்றத்திற்கான பொருட்கள் எதுவும் கிடைக்கவில்லை
Actual End Date,உண்மையான முடிவு தேதி
Loyalty Point Entry,லாயல்டி பாயிண்ட் நுழைவு
Train,ரயில்
BOM Explosion Item,BOM வெடிப்பு பொருள்
Inward Supplies(liable to reverse charge,உள்வழி சப்ளைஸ்
{0}: {1} not found in Invoice Details table,{0}: {1} விலைப்பட்டியல் விவரங்கள் அட்டவணையில் இல்லை
Total Incoming Value,மொத்த உள்வரும் மதிப்பு
Select Warehouse...,கிடங்கு ...
Type of Business,வணிக வகை
All Addresses.,அனைத்து முகவரிகளும்.
"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart","வணிக வண்டிக்கான பயன்பாட்டை இயக்குவதன் மூலம், வண்டியை இயக்கவும், வணிக வண்டியில் குறைந்தது ஒரு வரி விதிப்பு இருக்க வேண்டும்"
Please select Course,நிச்சயமாக தேர்வு செய்யவும்
Percent Deduction,சதவீதம் துப்பறியும்
Quantity to Produce can not be less than Zero,உற்பத்திக்கான அளவு ஜீரோ விட குறைவாக இருக்க முடியாது
To No,இல்லை
Allocate Leaves,ஒதுக்கீடு இலைகள்
Last Attempt,கடைசி முயற்சி
Student Name,மாணவன் பெயர்
Plan for maintenance visits.,பராமரிப்பு வருகைக்கான திட்டம்.
Following Material Requests have been raised automatically based on Item's re-order level,பொருள் கோரிக்கைகளை தொடர்ந்து தானாக உருப்படியின் மறு ஒழுங்கு நிலை அடிப்படையிலேயே எழுப்பப்பட்டிருக்கின்றன
Action if Accumulated Monthly Budget Exceeded on PO,"மாதாந்திர பட்ஜெட் திரட்டப்பட்டிருந்தால், பா.ஒ."
Full-time,முழு நேரம்
Vehicle/Bus Number,வாகன / பேருந்து எண்
Purchase Tax Template,கொள்முதல் வரி டெம்ப்ளேட்
Material Request Planning,பொருள் கோரிக்கை திட்டமிடல்
Check this to disallow fractions. (for Nos),பின்னங்களை அனுமதிக்காதபடி இதைச் சரிபார்க்கவும். (நொஸ்)
Bonus Payment Date,போனஸ் கொடுப்பனவு தேதி
Operating Cost,இயக்க செலவு
Select Items based on Delivery Date,டெலிவரி தேதி அடிப்படையில் தேர்ந்தெடுக்கப்பட்ட விடயங்கள்
Tag Line,குறி வரி
From Lead,முன்னணி
Unclosed Fiscal Years Profit / Loss (Credit),விலக்கப்படாத நிதி ஆண்டுகள் இலாப / இழப்பு (கடன்)
Agriculture,விவசாயம்
Parent Procedure,பெற்றோர் செயல்முறை
Set Open,திறந்த அமை
Toggle Filters,வடிகட்டிகளை மாற்று
Material Request Detail,பொருள் கோரிக்கை விரிவாக
Quantity and Warehouse,அளவு மற்றும் கிடங்கு
Go to Programs,நிகழ்ச்சிகளுக்கு செல்க
Row #{0}: Duplicate entry in References {1} {2},வரிசை # {0}: பிரதிகளில் {1} {2}
Loyalty Program,விசுவாசம் திட்டம்
Opportunity Lost Reason,வாய்ப்பு இழந்தது
Applicable if the company is a limited liability company,நிறுவனம் ஒரு வரையறுக்கப்பட்ட பொறுப்பு நிறுவனம் என்றால் பொருந்தும்
"Allergies, Medical and Surgical History","ஒவ்வாமை, மருத்துவம் மற்றும் அறுவை சிகிச்சை வரலாறு"
Capital Stock,மூலதன பங்கு
From Folio No,ஃபோலியோ இலிருந்து
Pay Remaining,மீதமுள்ள பணம்
Search Item,பொருள் தேடு
Total Leaves,மொத்த இலைகள்
Update rate as per last purchase,கடைசி வாங்குதலுக்கான விகிதம் புதுப்பிக்கவும்
Please select a table,ஒரு அட்டவணையைத் தேர்ந்தெடுக்கவும்
{0} is blocked so this transaction cannot proceed,"{0} தடுக்கப்பட்டுள்ளது, எனவே இந்த பரிவர்த்தனை தொடர முடியாது"
Get Items From,இருந்து பொருட்கள் கிடைக்கும்
"Loyalty Points will be calculated from the spent done (via the Sales Invoice), based on collection factor mentioned.",நம்பகத்தன்மை புள்ளிகள் குறிப்பிடப்பட்ட சேகரிப்பு காரணியை அடிப்படையாகக் கொண்டு (விற்பனை விலைப்பட்டியல் வழியாக) கணக்கிடப்படும்.
Min Doc Count,Min Doc Count
Item {0} must be a non-stock item,பொருள் {0} ஒரு அல்லாத பங்கு உருப்படி இருக்க வேண்டும்
Merge Account,கணக்கு இணைக்க
Convert to Group,குழுவிற்கு மாற்றவும்
"Already set default in pos profile {0} for user {1}, kindly disabled default","பயனர் {1} க்கான பேஸ்புக் சுயவிவரத்தில் {0} முன்னிருப்பாக அமைத்து, தயவுசெய்து இயல்புநிலையாக இயல்புநிலையை அமைக்கவும்"
Companies,நிறுவனங்கள்
Minutes to First Response for Opportunity,வாய்ப்புக்கான முதல் பதிலுக்கு நிமிடங்கள்
Hotel Room Amenity,ஹோட்டல் அறை ஆமென்
Invoices for Costumers.,Costumers இன் விலைகள்.
No Staffing Plans found for this Designation,இந்த பதவிக்கு எந்த பணியாளர் திட்டமும் இல்லை
Current BOM,தற்போதைய BOM
Casual Leave,சாதாரண விடுப்பு
Cost Updated,செலவு புதுப்பிக்கப்பட்டது
One customer can be part of only single Loyalty Program.,ஒரு வாடிக்கையாளர் ஒரே ஒரு லாய்லிட்டி திட்டத்தின் பகுதியாக இருக்க முடியும்.
Cannot cancel transaction for Completed Work Order.,முழுமையான வேலை ஆணைக்கான பரிவர்த்தனை ரத்து செய்ய முடியாது.
Grant Application Details ,விண்ணப்பப் படிவங்களை வழங்குதல்
Apply Additional Discount On,கூடுதல் தள்ளுபடி விண்ணப்பிக்கவும்
Sales Partner Commission Summary,விற்பனை கூட்டாளர் கமிஷன் சுருக்கம்
Order Type must be one of {0},ஆர்டர் வகை {0}
Payment Entry already exists,கட்டணம் நுழைவு ஏற்கனவே உள்ளது
No Work Orders created,வேலை ஆணைகளை உருவாக்கவில்லை
Grading Scale,அளவீடு அளவிடுதல்
Marketing Expenses,மார்க்கெட்டிங் செலவுகள்
Next Contact Date cannot be in the past,அடுத்த தொடர்பு தேதி கடந்த காலத்தில் இருக்க முடியாது
Webhooks Details,Webhooks விபரங்கள்
Authorization Rule,அங்கீகாரம் விதி
Volunteer Type information.,தொண்டர் வகை தகவல்.
This is the number of the last created transaction with this prefix,இந்த முன்னுடனோடு கடைசியாக உருவாக்கப்பட்ட பரிவர்த்தனைகளின் எண்ணிக்கை இது
Indicator Color,காட்டி வண்ணம்
Copy Fields to Variant,மாறுபாடுகளுக்கு புலங்களை நகலெடுக்கவும்
Sandy Loam,சாண்டி லோம்
From date can not be less than employee's joining date,தேதி முதல் ஊழியர் சேரும் தேதிக்கு குறைவாக இருக்க முடியாது
Allow multiple Sales Orders against a Customer's Purchase Order,வாடிக்கையாளர் கொள்முதல் ஆணைக்கு எதிராக பல விற்பனை ஆணைகளை அனுமதிக்கவும்
PDC/LC,PDC / LC
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","சரிபார்க்கப்பட்டால், வரி அளவு ஏற்கனவே அச்சிடப்பட்ட விகிதம் / அச்சு தொகை உள்ளிட்டதாக கருதப்படும்"
Date is repeated,தேதி மீண்டும் வருகிறது
Party Information,கட்சி தகவல்
Debtors ({0}),கடன்கள் ({0})
To date can not greater than employee's relieving date,பணியாளரின் நிவாரண தேதியை விட இன்றுவரை அதிகமானதாக முடியாது
Employees Email Id,ஊழியர்கள் மின்னஞ்சல் ஐடி
Update Price from Shopify To ERPNext Price List,ERPNext விலை பட்டியல் Shopify இருந்து விலை புதுப்பிக்கவும்
Default Medical Code Standard,இயல்புநிலை மருத்துவ குறியீடு தரநிலை
Tax Account,வரி கணக்கு
Total Paid Amt,மொத்த பணம் அட்
Website Specifications,வலைத்தள விவரங்கள்
"From a supplier under composition scheme, Exempt and Nil rated","கலவை திட்டத்தின் கீழ் சப்ளையர் இருந்து, விலக்கு மற்றும் NIL மதிப்பிடப்பட்டது"
"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",நீங்கள் வருகை மேம்படுத்த விரும்புகிறீர்களா? <br> தற்போது: {0} \ <br> இன்றியமையாதது: {1}
Employee (optional),ஊழியர் (விருப்பம்)
Supplier Invoice Details,சப்ளையர் விலைப்பட்டியல் விவரங்கள்
Customer {0} is created.,வாடிக்கையாளர் {0} உருவாக்கப்பட்டது.
Default Cost of Goods Sold Account,பொருட்களின் Default Cost Cost Account
{0} Number {1} already used in account {2},{0} எண் {1} கணக்கில் ஏற்கனவே பயன்படுத்தப்பட்டது {2}
Default Account,இயல்புநிலை கணக்கு
Disable Rounded Total,வட்டமான மொத்த முடக்கவும்
Signee,Signee
End Date cannot be before Start Date.,தொடக்க தேதி தொடங்குவதற்கு முன் இருக்க முடியாது.
Warehouses with existing transaction can not be converted to group.,ஏற்கனவே இருக்கும் பரிவர்த்தனைகளுடன் கூடிய களஞ்சியங்களை குழுமத்திற்கு மாற்ற முடியாது.
Both Warehouse must belong to same Company,இரு கிடங்குகளும் அதே நிறுவனத்திற்கு சொந்தமானவை
Against Document Detail No,ஆவண விரிவாக இல்லை
Please set {0},தயவுசெய்து {0}
Please select prefix first,முதலில் முன்னொட்டைத் தேர்ந்தெடுக்கவும்
Managing Subcontracting,துணை ஒப்பந்தத்தை நிர்வகித்தல்
Projects User,திட்டங்கள் பயனர்
Supplier Scorecard Variable,சப்ளையர் ஸ்கோர் கார்ட் மாறி
Item Group Name,பொருள் குழு பெயர்
Applicable on Material Request,பொருள் கோரிக்கைக்கு பொருந்தும்
Search APIs,தேடல் API கள்
Overproduction Percentage For Sales Order,விற்பனை ஆணைக்கான அதிக உற்பத்தி சதவீதம்
Specifications,விவரக்குறிப்புகள்
Supplied Items,வழங்கப்பட்ட பொருட்கள்
Select Employees,பணியாளர்களைத் தேர்ந்தெடுக்கவும்
Select interest income account in loan {0},கடனுக்கான வட்டி வருமானக் கணக்கைத் தேர்ந்தெடுத்து {0}
All items have already been transferred for this Work Order.,இந்த பணிக்கான அனைத்து பொருட்களும் ஏற்கெனவே மாற்றப்பட்டுள்ளன.
Payment Details,கட்டணம் விவரங்கள்
Printing and Branding,அச்சிடுதல் மற்றும் பிராண்டிங்
HTML / Banner that will show on the top of product list.,HTML / பதாகை தயாரிப்பு பட்டியலில் மேலே காண்பிக்கும்.
Sales Payment Summary,விற்பனை கட்டணம் சுருக்கம்
Is Flexible Benefit,நெகிழ்வான நன்மை
IGST Account,IGST கணக்கு
Checkout Settings,வெளியேறுதல் அமைப்புகள்
Please set Fiscal Code for the customer '%s',வாடிக்கையாளர் &#39;% s&#39; என்ற வாடிக்கையாளர் குறியீட்டை அமைக்கவும்
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** மாதாந்த விநியோகம் ** உங்கள் வியாபாரத்தில் பருவகாலத்தன்மை இருந்தால் மாதங்களுக்குள் பட்ஜெட் / இலக்கை விநியோகிக்க உதவுகிறது.
Students,மாணவர்கள்
Expense Claim {0} already exists for the Vehicle Log,வாகன பதிவுக்காக ஏற்கனவே செலவினம் கோரிக்கை {0} உள்ளது
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","தேர்ந்தெடுக்கப்பட்டால், இந்த கூறு குறிப்பிடப்பட்ட அல்லது கணக்கிடப்பட்ட மதிப்பு வருவாய் அல்லது கழிப்பறைக்கு பங்களிக்காது. எனினும், அது மதிப்பு அல்லது கழிக்க முடியும் மற்ற கூறுகள் மூலம் குறிப்பிடப்படுகிறது."
Please enter repayment Amount,திருப்பிச் செலுத்தும் அளவு உள்ளிடவும்
Is Opening Entry,திறக்கும் நுழைவு
Set New Release Date,புதிய வெளியீட்டு தேதி அமைக்கவும்
Expenses Included In Valuation,செலவுகள் மதிப்பில் சேர்க்கப்பட்டுள்ளது
Serial Numbers,சீரியல் எண்கள்
Deductions,விலக்கிற்கு
Supplier-Wise Sales Analytics,சப்ளையர்-வைஸ் விற்பனை அனலிட்டிக்ஸ்
February,பிப்ரவரி
For Employee,பணியாளருக்கு
Actual Delivery Date,உண்மையான டெலிவரி தேதி
Sales Partner Name,விற்பனை கூட்டாளர் பெயர்
Depreciation Row {0}: Depreciation Start Date is entered as past date,தேய்மானம் வரிசை {0}: தேதியற்ற தொடக்க தேதி கடந்த தேதியன்று உள்ளிடப்பட்டுள்ளது
Regional,பிராந்திய
Lead is an Organization,முன்னணி ஒரு அமைப்பு
Please select Charge Type first,தயவுசெய்து முதலில் கட்டணம் செலுத்தும் வகை தேர்ந்தெடுக்கவும்
Accepted Quantity,ஏற்றுக்கொள்ளப்பட்ட அளவு
DE,DE
Search Results,தேடல் முடிவுகள்
Default Buying Cost Center,இயல்பு வாங்குதல் செலவு மையம்
Include Non Stock Items,அல்லாத பங்கு பொருட்கள் அடங்கும்
AB+,AB +
Upload Attendance,வருகை பதிவேற்றவும்
Drug Code,மருந்துக் குறியீடு
Please enable Applicable on Booking Actual Expenses,முன்பதிவுக்கான உண்மையான செலவினங்களைப் பொருத்தவும்
Chargeble,Chargeble
Supply Raw Materials,வழங்கல் மூலப்பொருட்கள்
Item-wise Price List Rate,பொருள் வாரியான விலை பட்டியல் விகிதம்
BOM,BOM
Readings,அளவீடுகளும்
Error while processing deferred accounting for {0},{0} க்கான ஒத்திவைக்கப்பட்ட கணக்கியலை செயலாக்கும்போது பிழை
Please set either the Tax ID or Fiscal Code on Company '%s',நிறுவனத்தின் &#39;% s&#39; மீது வரி ஐடி அல்லது நிதி கோட் ஒன்றை அமை
Add Serial No,தொடர் எண் சேர்க்கவும்
Avg. Selling Rate,சரா. விலை விற்பனை
payment_url,payment_url
Excise Page Number,எக்சைஸ் பக்கம் எண்
Sales Partner Target Variance based on Item Group,பொருள் குழு அடிப்படையிலான விற்பனை கூட்டாளர் இலக்கு மாறுபாடு
Naming Series Prefix,பெயரிடும் தொடர் முன்னொட்டு
Workstation,வர்க்ஸ்டேஷன்
Task Weight,பணி எடை
Annual Billing: {0},ஆண்டு பில்லிங்: {0}
No Customers yet!,இதுவரை வாடிக்கையாளர்கள் இல்லை!
Enable Perpetual Inventory,நிரந்தர சரக்கு செயல்படுத்த
Potential Sales Deal,சாத்தியமான விற்பனை ஒப்பந்தம்
Excise Invoice,எக்ஸைஸ் விலைப்பட்டியல்
Supplier Scorecard,சப்ளையர் ஸ்கோர் கார்டு
Travel To,சுற்றுலா பயணம்
Mark Attendance,மார்க் கூட்டம்
Difference,வேறுபாடு
Small,சிறிய
Work Order Item,வேலை ஆணைப் பொருள்
Sales and Returns,விற்பனை மற்றும் வருவாய்
Monthly Distribution,மாதாந்த விநியோகம்
Quality Action,தரமான நடவடிக்கை
Work-in-Progress Warehouse,வேலை-முன்னேற்றம் கிடங்கு
Dividends Paid,கட்டணம் செலுத்துபவர்
New Academic Year,புதிய கல்வி ஆண்டு
Name and Employee ID,பெயர் மற்றும் பணியாளர் ஐடி
Generate Invoice At Beginning Of Period,காலம் தொடங்கி விலைப்பட்டியல் உருவாக்க
Minimum Order Qty,குறைந்தபட்ச ஆணை Qty
Block Holidays on important days.,முக்கியமான நாட்களில் தடை விடுமுறைகள்.
Documentation,ஆவணப்படுத்தல்
Alternative Item Code,மாற்று பொருள் கோட்
Partner website,கூட்டாளர் வலைத்தளம்
Applicant,விண்ணப்பதாரர்
"Single for results which require only a single input, result UOM and normal value 
<br>
Compound for results which require multiple input fields with corresponding event names, result UOMs and normal values
<br>
Descriptive for tests which have multiple result components and corresponding result entry fields. 
<br>
Grouped for test templates which are a group of other test templates.
<br>
No Result for tests with no results. Also, no Lab Test is created. e.g.. Sub Tests for Grouped results.","ஒற்றை உள்ளீடு தேவைப்படும் முடிவுகளுக்கு ஒற்றை, UOM மற்றும் சாதாரண மதிப்பை விளைவிக்கும் <br> தொடர்புடைய நிகழ்வு பெயர்கள், UOM கள் மற்றும் சாதாரண மதிப்புகளுடன் பல உள்ளீட்டு துறைகள் தேவைப்படும் முடிவுகளுக்கான கூட்டு <br> பல விளைவாக கூறுகள் மற்றும் தொடர்புடைய முடிவு உள்ளீடு துறைகள் கொண்ட சோதனைகள் விவரிக்க. <br> மற்ற டெஸ்ட் வார்ப்புருக்களின் ஒரு குழுவாக இருக்கும் சோதனை வார்ப்புருக்கள் குழுவாக. <br> முடிவுகள் இல்லாத சோதனைகளுக்கான முடிவு இல்லை. மேலும், லேப் டெஸ்ட் உருவாக்கப்படவில்லை. எ.கா.. தொகுக்கப்பட்ட முடிவுகளுக்கான துணை டெஸ்ட்."
Please mention Round Off Cost Center in Company,கம்பெனி ரவுண்ட் ஆஃப் காஸ்ட் சென்டரைக் குறிப்பிடவும்
Delivery Notes {0} must be cancelled before cancelling this Sales Order,இந்த விற்பனை ஆர்டர் ரத்து செய்யப்படுவதற்கு முன் டெலிவரி குறிப்புகள் {0} ரத்து செய்யப்பட வேண்டும்
Show on Website,இணையத்தளத்தில் காட்டு
Shipping Address Name,கப்பல் முகவரி பெயர்
Drug,மருந்து
{0} {1} is closed,{0} {1} மூடப்பட்டது
Medical History,மருத்துவ வரலாறு
Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,சந்தாவை ரத்து செய்வதற்கு முன்பாக விலைப்பட்டியல் தேதி முடிவடைந்த நாட்களின் எண்ணிக்கை அல்லது செலுத்தப்படாமலே சந்தா சந்திப்பு
Installation Note {0} has already been submitted,நிறுவல் குறிப்பு {0} ஏற்கனவே சமர்ப்பிக்கப்பட்டுள்ளது
Family,குடும்ப
Updated via 'Time Log',&#39;நேரம் பதிவு&#39; வழியாக புதுப்பிக்கப்பட்டது
Sample Size,மாதிரி அளவு
Reference Number,குறிப்பு எண்
UOM Conversion Detail,UOM மாற்ற விரிவாக
Opening Accumulated Depreciation must be less than equal to {0},குவிக்கப்பட்ட தேய்மானத்தைத் திறப்பது {0}
Antibiotic Name,ஆண்டிபயாடிக் பெயர்
"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",&quot;அங்கீகரிக்கப்பட்ட&quot; நிலையைக் கொண்ட மாணவர் விண்ணப்பதாரர் மட்டுமே கீழே உள்ள அட்டவணையில் தேர்ந்தெடுக்கப்படுவார்.
% Progress,முன்னேற்றம்
UOM Category,UOM வகை
Publish Items on Website,இணையத்தளத்தில் உருப்படிகளை வெளியிடவும்
Meetup Embed HTML,சந்திப்பு HTML ஐ உட்பொதிக்கவும்
Please select Party Type first,முதலில் கட்சி வகை தேர்ந்தெடுக்கவும்
Repayment Start Date,திருப்பித் தொடங்கும் தேதி
Procedure Created,செயல்முறை உருவாக்கப்பட்டது
Serial No Warranty Expiry,சீரியல் இல்லை உத்தரவாதத்தை காலாவதியாகும்
Against Supplier Invoice {0} dated {1},சப்ளையர் விலைப்பட்டியல் {0} {1}
Change POS Profile,POS சுயவிவரத்தை மாற்றுக
Create Lead,முன்னணி உருவாக்குங்கள்
Default Customer,இயல்புநிலை வாடிக்கையாளர்
Supplier Invoice No,சப்ளையர் விலைப்பட்டியல் இல்லை
Mixed Conditions,கலப்பு நிபந்தனைகள்
"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".",இது பொருட்கள் மற்றும் விற்பனை ஆர்டர்களுக்கு பயன்படுத்தப்படும் இயல்புநிலை UOM ஆகும். குறைவடையும் UOM என்பது &quot;NOS&quot;.
Mute Email,மின்னஞ்சல் முடக்கவும்
Item 2,பொருள் 2
Tax Withholding rates to be applied on transactions.,வரி விலக்கு விகிதங்கள் பரிவர்த்தனைகளில் பயன்படுத்தப்பட வேண்டும்.
Strength,வலிமை
{0} units of {1} needed in {2} to complete this transaction.,இந்த பரிவர்த்தனை முடிக்க {0} {1} தேவைப்படும் {0} அலகுகள்.
Backflush Raw Materials of Subcontract Based On,உபகாரம் சார்ந்த Backflush மூல பொருட்கள்
