Pension Funds,Пенсійні фонди
Current BOM,Поточна специфікація
Casual Leave,Випадковий відпустку
Cost Updated,Вартість оновлено
One customer can be part of only single Loyalty Program.,Один клієнт може бути частиною єдиної програми лояльності.
Cannot cancel transaction for Completed Work Order.,Не вдається скасувати транзакцію для завершеного робочого замовлення.
Grant Application Details ,Докладна інформація про грант
Apply Additional Discount On,Застосувати додаткову знижку на
Sales Partner Commission Summary,Резюме Комісії з продажу партнерів
Order Type must be one of {0},Тип замовлення має бути однією з {0}
Payment Entry already exists,Введення платежу вже існує
No Work Orders created,Не створено жодних робочих замовлень
Grading Scale,Шкала оцінювання
Marketing Expenses,Витрати на маркетинг
Next Contact Date cannot be in the past,Наступна дата контакту не може бути в минулому
Webhooks Details,Деталі веб-кнопок
Authorization Rule,Правило авторизації
Volunteer Type information.,Інформація про тип волонтера.
This is the number of the last created transaction with this prefix,Це номер останньої створеної транзакції з цим префіксом
Indicator Color,Колір індикатора
Copy Fields to Variant,Скопіюйте поля до варіанта
Sandy Loam,Сенді Лоам
From date can not be less than employee's joining date,Від дати не може бути менше дати приєднання працівника
Allow multiple Sales Orders against a Customer's Purchase Order,Дозволити кілька замовлень на купівлю на замовлення клієнта
PDC/LC,PDC / LC
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Якщо буде позначено цей пункт, сума податку буде розглядатися як така, що вже включена до суми швидкості друку / друку"
Date is repeated,Дата повторюється
Party Information,Інформація про партію
Debtors ({0}),Боржники ({0})
To date can not greater than employee's relieving date,На сьогоднішній день не може перевищувати дату звільнення працівника
Employees Email Id,ID співробітників
Update Price from Shopify To ERPNext Price List,Оновлення ціни від Shopify To ERPNext прайс-лист
Default Medical Code Standard,Стандартний медичний код за замовчуванням
Tax Account,Податковий рахунок
Total Paid Amt,Загальна сума оплати
Website Specifications,Технічні характеристики веб-сайту
"From a supplier under composition scheme, Exempt and Nil rated","Від постачальника за схемою складу, звільнено і Nil оцінено"
"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Оновити відвідуваність? <br> Присутні: {0} <br> Відсутній: {1}
Employee (optional),Співробітник (необов’язково)
Supplier Invoice Details,Деталі рахунка-фактури постачальника
Customer {0} is created.,Клієнт {0} створено.
Default Cost of Goods Sold Account,Продається по замовчуванню вартість товару
{0} Number {1} already used in account {2},{0} Номер {1} вже використовується в обліковому записі {2}
Default Account,Стандартний обліковий запис
Disable Rounded Total,Вимкнути округлене загальне число
Signee,Сигні
End Date cannot be before Start Date.,Дата завершення не може бути до дати початку.
Warehouses with existing transaction can not be converted to group.,Склади з існуючою транзакцією не можуть бути перетворені в групу.
Both Warehouse must belong to same Company,Обидва склади повинні належати одній компанії
Against Document Detail No,Протокол документа №
Please set {0},Введіть {0}
Please select prefix first,Спочатку виберіть префікс
Managing Subcontracting,Управління субпідряду
Projects User,Проекти користувачів
Supplier Scorecard Variable,Змінна карта показників постачальника
Item Group Name,Назва групи елементів
Applicable on Material Request,Застосовується на запит на матеріал
Search APIs,API пошуку
Overproduction Percentage For Sales Order,Відсоток перевиробництва для замовлення на купівлю
Specifications,Технічні характеристики
Supplied Items,Постачаються товари
Select Employees,Виберіть співробітників
Select interest income account in loan {0},Виберіть обліковий запис про прибутковий відсоток {0}
All items have already been transferred for this Work Order.,Всі елементи вже передані для цього робочого наказу.
Payment Details,Платіжні реквізити
Printing and Branding,Друк і брендинг
HTML / Banner that will show on the top of product list.,"HTML / Банер, який відображатиметься у верхній частині списку продуктів."
Sales Payment Summary,Резюме платежів з продажу
Is Flexible Benefit,Гнучка вигода
IGST Account,Обліковий запис IGST
Checkout Settings,Параметри Checkout
Please set Fiscal Code for the customer '%s',Установіть фіскальний код для клієнта &quot;% s&quot;
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Щомісячне розповсюдження ** допоможе вам розподілити бюджет / ціль через кілька місяців, якщо у вас є сезонність у вашому бізнесі."
Students,Студенти
Expense Claim {0} already exists for the Vehicle Log,Витратна вимога {0} вже існує для журналу транспортних засобів
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Якщо вибрано, значення, вказане або обчислене в цьому компоненті, не сприятиме прибуткам або відрахуванням. Однак на нього можна посилатися іншими компонентами, які можна додати або відняти."
Please enter repayment Amount,Введіть суму погашення
Is Opening Entry,Відкриває запис
Set New Release Date,Встановіть нову дату релізу
Expenses Included In Valuation,"Витрати, включені в оцінку"
Serial Numbers,Серійні номери
Deductions,Відрахування
Supplier-Wise Sales Analytics,Аналітика продажів для постачальників
February,Лютий
For Employee,Для працівника
Actual Delivery Date,Фактична дата доставки
Sales Partner Name,Назва партнера по продажах
Depreciation Row {0}: Depreciation Start Date is entered as past date,Рядок амортизації {0}: початкова дата амортизації введена як минула дата
Regional,Регіональні
Lead is an Organization,Свинець - це організація
Please select Charge Type first,Спочатку виберіть Тип заряду
Accepted Quantity,Прийнято кількість
DE,DE
Search Results,Результати пошуку
Default Buying Cost Center,Центр витрат за умовчанням
Include Non Stock Items,Включіть непозиційні товари
AB+,AB +
Upload Attendance,Завантажити відвідуваність
Drug Code,Кодекс ліків
Please enable Applicable on Booking Actual Expenses,"Будь ласка, увімкніть Застосовується для фактичних витрат на бронювання"
Chargeble,Chargeble
Supply Raw Materials,Постачання сировини
Item-wise Price List Rate,Пункт-ставка Прайс-лист ставка
BOM,BOM
Readings,Читання
Error while processing deferred accounting for {0},Помилка під час обробки відкладеного обліку для {0}
Please set either the Tax ID or Fiscal Code on Company '%s',"Будь ласка, встановіть податковий ідентифікатор або податковий код компанії &quot;% s&quot;"
Add Serial No,Додати серійний номер
Avg. Selling Rate,Сер. Ціна продажу
payment_url,payment_url
Excise Page Number,Номер акцизного номера
Sales Partner Target Variance based on Item Group,Дисперсія цільового партнера на основі групи товарів
Naming Series Prefix,Префікс серії імен
Workstation,Робоча станція
Task Weight,Вага завдання
Annual Billing: {0},Щорічний платіж: {0}
You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,Ви не можете видалити фінансовий рік {0}. Фінансовий рік {0} встановлено як стандартний у глобальних налаштуваннях
No Customers yet!,Ще немає клієнтів!
Enable Perpetual Inventory,Увімкнути вічний реєстр
Potential Sales Deal,Потенційна угода з продажу
Excise Invoice,Акцизний рахунок
Supplier Scorecard,Таблиця показників постачальника
Travel To,Подорожувати до
Mark Attendance,Марк Відвідування
Difference,Різниця
Small,Малий
Work Order Item,Елемент робочого замовлення
Sales and Returns,Продажі та повернення
Monthly Distribution,Щомісячне розповсюдження
Quality Action,Дія якості
Work-in-Progress Warehouse,Склад «Робота в прогрес»
Dividends Paid,Виплачені дивіденди
New Academic Year,Новий навчальний рік
Name and Employee ID,Ім&#39;я та ідентифікатор працівника
Generate Invoice At Beginning Of Period,Створення рахунку-фактури на початку періоду
Minimum Order Qty,Мінімальна кількість замовлень
Block Holidays on important days.,Блок Відпочинок у важливі дні.
Documentation,Документація
Alternative Item Code,Альтернативний код товару
Partner website,Веб-сайт партнера
Applicant,Заявник
"Single for results which require only a single input, result UOM and normal value 
<br>
Compound for results which require multiple input fields with corresponding event names, result UOMs and normal values
<br>
Descriptive for tests which have multiple result components and corresponding result entry fields. 
<br>
Grouped for test templates which are a group of other test templates.
<br>
No Result for tests with no results. Also, no Lab Test is created. e.g.. Sub Tests for Grouped results.","Одинарний для результатів, які вимагають лише одного входу, результату UOM і нормального значення <br> Складається для результатів, які вимагають декількох полів введення з відповідними іменами подій, результатів UOM і нормальних значень <br> Описова для тестів, які мають декілька компонентів результатів і відповідні поля введення результату. <br> Згруповано для тестових шаблонів, які є групою інших тестових шаблонів. <br> Немає Результат для тестів без результатів. Також не створено лабораторного тесту. напр. Підтести для результатів групування."
Please mention Round Off Cost Center in Company,"Будь ласка, згадайте Центр Компанії «Завершення Винищення Витрат»"
Delivery Notes {0} must be cancelled before cancelling this Sales Order,Примітки щодо доставки {0} повинні бути скасовані перед скасуванням цього замовлення
Show on Website,Показати на сайті
Shipping Address Name,Ім&#39;я адреси доставки
Drug,Препарат
{0} {1} is closed,{0} {1} закрито
Medical History,Медична історія
Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,Кількість днів після закінчення дати рахунку-фактури перед скасуванням підписки або позначення підписки як неоплачуваної
Installation Note {0} has already been submitted,Примітка щодо встановлення {0} вже надіслана
Family,Сім&#39;я
Updated via 'Time Log',Оновлено через &quot;Журнал часу&quot;
Sample Size,Обсяг вибірки
Reference Number,Номер для посилань
UOM Conversion Detail,Деталі конверсії UOM
Opening Accumulated Depreciation must be less than equal to {0},"Відкрита накопичена амортизація повинна бути меншою, ніж {0}"
Antibiotic Name,Назва антибіотиків
"Only the Student Applicant with the status ""Approved"" will be selected in the table below.","У таблиці нижче буде обрано лише Заявника, який має статус &quot;Затверджений&quot;."
% Progress,Прогрес
UOM Category,Категорія UOM
Publish Items on Website,Публікувати елементи на веб-сайті
Meetup Embed HTML,Meetup Вставляти HTML
Please select Party Type first,Спочатку виберіть Тип партії
Repayment Start Date,Дата початку платежу
Not authroized since {0} exceeds limits,"Не авторизовано, оскільки {0} перевищує ліміти"
Procedure Created,Процедура створена
Serial No Warranty Expiry,Гарантія серійного терміну дії
Against Supplier Invoice {0} dated {1},Про рахунки-фактури постачальника {0} від {1}
Change POS Profile,Змінити профіль POS
Create Lead,Створити лідер
Default Customer,Замовник за умовчанням
Supplier Invoice No,Рахунок-фактура постачальника №
Mixed Conditions,Змішані умови
"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".","Це стандартна UOM, яка використовується для елементів і замовлень на продаж. Запасний UOM - це &quot;Nos&quot;."
Mute Email,Відключення електронної пошти
Item 2,Пункт 2
Tax Withholding rates to be applied on transactions.,"Ставки податку на утримання податків, що застосовуються до операцій."
Strength,Сила
Backflush Raw Materials of Subcontract Based On,Backflush сировини субконтракта на основі
Customer,Клієнт
"If enabled, field Academic Term will be Mandatory in Program Enrollment Tool.","Якщо цей параметр увімкнено, поле Академічний термін буде обов&#39;язковим у програмі реєстрації програми."
"For Batch based Student Group, the Student Batch will be validated for every Student from the Program Enrollment.","Для студентської групи, що базується на партіях, студентська партія буде перевірена для кожного студента з програми зарахування до програми."
Topics,Теми
Row #{0}: Please set reorder quantity,Рядок # {0}: встановіть кількість повторного замовлення
Linked Location,Пов&#39;язане місце розташування
Batch number is mandatory for Item {0},Номер партії є обов&#39;язковим для елемента {0}
Not permitted for {0},Не дозволено для {0}
{0} {1} is fully billed,Виставляється рахунок {0} {1}
Inward,Всередину
See All Articles,Див. Усі статті
Payment Entry,Введення платежу
Recipient Message And Payment Details,Повідомлення одержувача та відомості про оплату
Payment Terms Template Detail,Деталі способу оплати
Select Quantity,Виберіть Кількість
Student Attendance,Відвідуваність студентів
Automatically Set Serial Nos based on FIFO,Автоматичне встановлення серійних номерів на основі FIFO
Available Qty,Доступний кількість
Get Invoices based on Filters,Отримати рахунки на основі фільтрів
Default Workstation,Робоча станція за замовчуванням
Salary Structure,Структура заробітної плати
Enable Attribute Filters,Увімкнути фільтри атрибутів
Non Profit Member,Неприбутковий член
Material Request Plan Item,Планова позиція матеріалу
Add to Holidays,Додати до свята
Limit Crossed,Перехрещений ліміт
Transactions Annual History,Річна історія операцій
Delete Company Transactions,Видалити операції компанії
To State,У стан
Department Stores,Універмаги
Inpatient Occupancy,Стаціонарне проживання
Row {0}: Due Date cannot be before posting date,Рядок {0}: Дата завершення не може бути до дати публікації
Please set default customer in Restaurant Settings,У налаштуваннях ресторану встановіть замовника за умовчанням
 Group Roll No,Рол групи немає
Please specify a valid Row ID for row {0} in table {1},Укажіть дійсний ідентифікатор рядка для рядка {0} у таблиці {1}
To Employee,До працівника
End of Life,Кінець життя
Sensitivity,Чутливість
Territory Targets,Територіальні цілі
"Skipping Leave Allocation for the following employees, as Leave Allocation records already exists against them. {0}","Пропущення виділення для наступних працівників, оскільки вже існує запис про відпустку. {0}"
Delivered By Supplier,Поставляється Постачальником
Plant Analysis,Аналіз рослин
Expense account is mandatory for item {0},Рахунок витрат є обов&#39;язковим для елемента {0}
Subcontracted Raw Materials To Be Transferred,"Сировина для субпідряду, яку необхідно передати"
Cashier Closing,Закриття каси
Item {0} has already been returned,Елемент {0} вже повернуто
Child warehouse exists for this warehouse. You can not delete this warehouse.,Для цього складу існує дитячий склад. Ви не можете видалити цей склад.
Diagnosis,Діагностика
There is no leave period in between {0} and {1},Немає періоду відпусток між {0} і {1}
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} Бюджет для облікового запису {1} у порівнянні з {2} {3} становить {4}. Він буде перевищувати {5}
Asset Location,Місцезнаходження активу
Please enter Difference Account,Введіть обліковий запис &quot;Відмінності&quot;
Total Credit,Загальна сума кредиту
Name of Consultant,Ім&#39;я консультанта
License Number,Номер ліцензії
Program Enrollment Tool,Інструмент реєстрації програми
US,НАС
Track this Sales Order against any Project,Відстежуйте цей замовлення клієнта на будь-який проект
Authorization Settings,Налаштування авторизації
Products,Продукти
Profit and Loss Statement,Звіт про прибутки та збитки
Rooms Booked,Бронювання номерів
EAN,EAN
Total Weight,Загальна вага
Travel,Подорожі
Stock Ledger,Фондова книга
Volunteer Name,Ім&#39;я волонтера
Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,Недійсний GSTIN! Перші 2 цифри GSTIN повинні збігатися з номером стану {0}.
Report Date,Дата звіту
Create Inter Company Journal Entry,Створення запису журналу між компаніями
Enough Parts to Build,Достатньо деталей для побудови
NPO-MEM-.YYYY.-,NPO-MEM-.YYYY.-
Cost of Issued Items,Вартість випущених товарів
Treshold {0}% appears more than once,Поріг {0}% з&#39;являється більше одного разу
Chapter Members,Члени глави
Service Address,Адреса служби
Remark,Примітка
Encounter Time,Час зустрічі
Invoice Details,Деталі рахунка-фактури
"Further accounts can be made under Groups, but entries can be made against non-Groups","Додаткові облікові записи можуть бути створені під групами, але записи можуть бути зроблені проти не-груп"
Stock Items,Акції
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},"Рядок {0} # Виділена сума {1} не може бути більшою, ніж сума, на яку не претендує {2}"
Reqd Qty,Необхідна кількість
Body Temperature,Температура тіла
Customer Group Name,Назва групи клієнтів
Total allocated leaves are more than days in the period,"Всього виділені листя більше, ніж днів у період"
Section Cards,Розділ Карти
Rules for adding shipping costs.,Правила додавання витрат на доставку.
Valid From,Діє з
Preferred Area for Lodging,Бажана зона для розміщення
Absent,Відсутній
Hide Currency Symbol,Приховати символ валюти
Overwrite Salary Structure Amount,Перезаписати суму заробітної плати
Is Subcontracted,Здійснюється субпідряд
Loan Amount cannot exceed Maximum Loan Amount of {0},Сума кредиту не може перевищувати максимальну суму кредиту {0}
BOM does not contain any stock item,Специфікація не містить жодного товару
Employee Skill Map,Карта співробітників навик
Marketing,Маркетинг
Row #{0}: Not allowed to change Supplier as Purchase Order already exists,"Рядок # {0}: Не дозволяється змінювати постачальника, оскільки замовлення на купівлю вже існує"
Maximum sample quantity that can be retained,"Максимальна кількість вибірки, яку можна зберегти"
Total Estimated Budget,Загальний розрахунковий бюджет
Standing Name,Постійна назва
Validate Enrolled Course for Students in Student Group,Підтвердження вступного курсу для студентів у студентській групі
From Date {0} cannot be after employee's relieving Date {1},Від дати {0} неможливо після дати звільнення співробітника {1}
"The total Issue / Transfer quantity {0} in Material Request {1}  \
							cannot be greater than requested quantity {2} for Item {3}",Загальна кількість випуску / передачі {0} у запиті матеріалу {1} не може перевищувати запитану кількість {2} для елемента {3}
Please select {0},Виберіть {0}
Default Customer Group,Група клієнтів за умовчанням
Debit in Company Currency,Дебет у валюті компанії
"The fallback series is ""SO-WOO-"".",Резервна серія - &quot;SO-WOO-&quot;.
Section Header,Заголовок розділу
Your Products or Services,Ваші продукти або послуги
Perennial,Багаторічна
Freight and Forwarding Charges,Вантажні та експедиційні збори
Last Purchase Price,Остання ціна покупки
Tax Assets,Податкові активи
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","Якщо вибране правило ціноутворення буде визначене як &quot;Rate&quot;, воно перезапише прайс-лист. Ставка ціни Правила є кінцевою ставкою, тому не слід застосовувати додаткову знижку. Таким чином, у транзакціях, таких як замовлення на купівлю, замовлення на купівлю тощо, він буде виведений у полі &quot;Оцінка&quot;, а не в полі &quot;Вартість тарифу&quot;."
Share Type,Тип спільного доступу
Soil Analysis,Аналіз грунту
Water Analysis Criteria,Критерії аналізу води
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,"Примітка: загальна кількість виділених листів {0} не повинна бути меншою, ніж вже затверджена літера {1} за період"
Deduction,Відрахування
You cannot restart a Subscription that is not cancelled.,"Неможливо перезапустити підписку, яка не скасована."
Employee Advances,Аванси співробітників
Provisional Profit / Loss (Credit),Тимчасовий прибуток / збиток (кредит)
Max Exemption Amount,Максимальна сума звільнення
TS-.YYYY.-,TS-.YYYY.-
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,"Різні UOM для пунктів призведуть до неправильного (загального) значення ваги нетто. Переконайтеся, що вага нетто кожного елемента знаходиться в одному UOM."
Supplier Quotation,Котирування постачальників
Auto re-order,Автоматичне повторне замовлення
Total Advance Amount,Загальна сума авансу
Row #{0}: Clearance date {1} cannot be before Cheque Date {2},Рядок # {0}: дата звільнення {1} не може бути до дати перевірки {2}
Can only make payment against unbilled {0},Можна здійснити платіж лише за нефароване {0}
Thumbnail,Мініатюра
Planned Qty,Планова кількість
Rates,Тарифи
Journal Entry for Scrap,Запис журналу для брухту
Voucher Detail No,Деталі ваучера №
Variant Based On cannot be changed,Неможливо змінити варіант на основі варіанта
Review Date,Дата перевірки
Biennial,Бієнале
Endpoints,Кінцеві точки
Plan,План
Year of Passing,Рік проходження
Total Tax,Загальний податок
Please enter default currency in Company Master,"Будь ласка, введіть валюту, яка змінюється за замовчуванням у компанії Master"
Processed Files,Оброблені файли
Is Earned Leave,Зароблений відпусток
Search Term Param Name,Термін пошуку імені Param
Time Sheets,Таблиці часу
Installation Time,Час установки
Templates of supplier scorecard variables.,Шаблони змінних показників постачальника.
"A Product or a Service that is bought, sold or kept in stock.","Продукт або послуга, які купуються, продаються або зберігаються на складі."
Closing (Opening + Total),Закриття (Відкриття + Всього)
Criteria Formula,Формула критеріїв
Support Analytics,Підтримка Analytics
Review and Action,Огляд і дії
"If the account is frozen, entries are allowed to restricted users.","Якщо обліковий запис заблоковано, записи дозволені для обмежених користувачів."
Amount After Depreciation,Сума після амортизації
Import Master Data,Імпорт основних даних
BOM {0} must be active,BOM {0} має бути активним
GST Sales Register,Реєстр продажів GST
Supplier Invoice Date cannot be greater than Posting Date,Дата рахунка-фактури постачальника не може перевищувати дату проводки
Manage your orders,Керуйте своїми замовленнями
Notify Supplier,Повідомити Постачальника
GSTR-2,GSTR-2
Credit Note Issued,Видано кредитну нотатку
This covers all scorecards tied to this Setup,"Це охоплює всі таблиці показників, пов&#39;язані з цією установкою"
Payment Order Type,Тип платіжного доручення
Parent Account,Батьківський обліковий запис
Unscheduled,Незаплановані
Issue Material,Матеріал випуску
Use Multi-Level BOM,Використовуйте багаторівневу специфікацію
Qty for {0},Кількість для {0}
Loan Repayment,Погашення кредиту
Major/Optional Subjects,Основні / необов&#39;язкові теми
Silt,Іл
Bank Guarantee Type,Тип банківської гарантії
"If disable, 'Rounded Total' field will not be visible in any transaction","Якщо вимкнути, поле &quot;Закруглене загальне&quot; не буде видно в жодній транзакції"
Min Amt,Min Amt
This is a root healthcare service unit and cannot be edited.,"Це основна служба охорони здоров&#39;я, яку не можна редагувати."
Set this if the customer is a Public Administration company.,"Встановіть це, якщо клієнт є компанією з державного управління."
Max benefits should be greater than zero to dispense benefits,"Максимальна вигода повинна бути більшою за нуль, щоб звільнити вигоди"
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order # {3}. Please update operation status via Job Card # {4},Рядок # {0}: Операція {1} не завершена для {2} кількості готової продукції в робочому замовленні № {3}. Оновіть стан операції за допомогою Job Card # {4}
Planned Start Date,Планована дата початку
Asset Maintenance,Обслуговування активів
Interested,Зацікавлені
Net Total (Company Currency),Чистий підсумок (валюта компанії)
Depends on Payment Days,Залежить від днів оплати
Taxes,Податки
Bank Account,Банківський рахунок
Section HTML,Розділ HTML
Packed Items,Упаковані товари
New {0} pricing rules are created,Створюються нові {0} правила ціноутворення
Achieved ({}),Досягнуто ({})
Investment Banking,Інвестиційний банкінг
Contract Terms and Conditions,Умови контракту
Fetch Data,Отримати дані
Default Item Group,Група за замовчуванням
Billing Hours,Час виставлення рахунків
Item Code for Suppliers,Код товару для постачальників
Leave application {0} already exists against the student {1},Залишити додаток {0} вже існує проти студента {1}
Margin Type,Тип маржі
Rejected Serial No,Відхилено серійний номер
Current Amount,Поточна сума
Setup default values for POS Invoices,Налаштування значень за замовчуванням для рахунків POS
Cost as on,Вартість як на
Project Update.,Оновлення проекту.
Root Type is mandatory,Тип коріння є обов&#39;язковим
Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,"Неможливо знайти курс обміну для {0} до {1} для ключової дати {2}. Будь ласка, створіть запис валютного обміну вручну"
{0}% Billed,{0}% виставлено рахунок
Overdue,Прострочена
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,"Кількість виробу, отриманого після виготовлення / перепакування з заданої кількості сировини"
Opening Invoice Creation Tool Item,Відкриття елемента інструменту створення рахунка-фактури
(Ca+Mg)/K,(Ca + Mg) / K
Include POS Transactions,Включити POS-операції
Received Amount (Company Currency),Отримана сума (валюта компанії)
"LocalStorage is full, did not save","LocalStorage є повним, не зберігає"
Chapter Member,Член глави
Certification Validity,Термін дії сертифікації
Asset Account,Обліковий запис активу
Suplier,Швидше
POS Closing Voucher Details,Деталі ваучера закриття POS
HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
Delivery Settings,Налаштування доставки
Receivables,Дебіторська заборгованість
Annual,Щорічний
Tax Rate,Ставка податку
Medical Coding,Медичне кодування
Total Quantity,Загальна кількість
Comprehensive Insurance,Комплексне страхування
Quantity and Rate,Кількість і швидкість
Max Amount Eligible,"Максимальна сума, яка підходить"
Employee Loan,Кредит працівників
Account Paid To,Рахунок оплачено
Single,Одномісний
Customer required for 'Customerwise Discount',Клієнту потрібно для знижки &quot;Customerwise&quot;
Advance Payments,Авансові платежі
"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.","Неможливо забезпечити доставку за допомогою серійного номера, оскільки елемент {0} додано разом із номером гарантії поставки та без нього"
Discharge Date,Дата розряду
Open Work Orders,Відкриті робочі замовлення
List of diseases detected on the field. When selected it'll automatically add a list of tasks to deal with the disease ,"Перелік захворювань, виявлених на полі. При виборі буде автоматично додано список завдань для вирішення проблеми"
All Lead (Open),Всі провідні (відкриті)
No Student Groups created.,Не створено жодних студентських груп.
Duplicate row {0} with same {1},Дублювати рядок {0} з тим самим {1}
Salary Details,Деталі заробітної плати
Invoice,Рахунок-фактура
Particulars,Особливості
Please set filter based on Item or Warehouse,Установіть фільтр на основі елемента або складу
Outstanding Amount,Заборгованість
Transactions can only be deleted by the creator of the Company,Операції можуть бути видалені лише творцем Компанії
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.","Для пунктів &quot;Bundle продукту&quot;, &quot;Склад&quot;, &quot;Серійний номер&quot; і &quot;Пакетний номер&quot; буде розглянуто з таблиці &quot;Пакувальний список&quot;. Якщо Warehouse і Batch No є однаковими для всіх предметів упаковки для будь-якого пункту &quot;Product Bundle&quot;, ці значення можуть бути введені в основну таблицю елементів, значення будуть скопійовані в таблицю &quot;Packing List&quot;."
Submitted Date,Дата подання
Send with Attachment,Надіслати з вкладенням
Account {0} does not exists,Обліковий запис {0} не існує
BOM No,Справ
Avg Daily Outgoing,Середні щоденні вихідні
Allergies,Алергії
Order/Quot %,Замовлення / квота%
Transporter Info,Інформація про транспортера
Please select the assessment group other than 'All Assessment Groups',"Будь ласка, виберіть групу оцінки, окрім &quot;Усі групи оцінки&quot;"
Payroll,Заробітна плата
Expense Amount,Сума витрат
Received On,Отримано On
Flight,Політ
Landed Cost Taxes and Charges,"Податки та збори, отримані від земельних коштів"
More than one selection for {0} not allowed,Більше одного вибору для {0} заборонено
Net Change in Equity,Чисті зміни в капіталі
Leaves has been granted sucessfully,Листя успішно видані
Expiry Date,Термін придатності
Working,Робота
This is based on transactions against this Patient. See timeline below for details,Це базується на операціях проти цього пацієнта. Докладніше див
Requested For,Запитаний для
All Sales Person,Всі торгові особи
Please set default account in Salary Component {0},Установіть обліковий запис за умовчанням у компоненті зарплати {0}
No products found,Не знайдено жодної продукції
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,Зарезервована кількість продукції: кількість сировини для виготовлення виробів.
Optional. This setting will be used to filter in various transactions.,Необов&#39;язково. Це налаштування буде використано для фільтрації в різних транзакціях.
Target Warehouse Address,Адреса цільового складу
Outward taxable supplies(zero rated),Зовнішні податкові поставки (з нульовим рейтингом)
Customer Address,Адреса клієнта
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
Asset {0} does not belong to company {1},Актив {0} не належить компанії {1}
Room Capacity,Місткість приміщення
Please select a batch,Виберіть пакет
Select Attribute Values,Виберіть значення атрибутів
Signatory Position,Позиція підписанта
Row {0}: Party Type and Party is required for Receivable / Payable account {1},Рядок {0}: тип учасника та сторона потрібні для облікового запису дебіторської / кредиторської заборгованості {1}
Production,Виробництво
Failed to setup post company fixtures,Не вдалося налаштувати прилади компанії
Communication log.,Журнал зв&#39;язку.
Enable Deferred Expense,Увімкнути відкладені витрати
Customer Contact Email,Контактна адреса клієнта
Collection Details,Деталі колекції
Stock Entry Child,Вхід дитини
No Quote,Немає котирування
"Sorry, Serial Nos cannot be merged","На жаль, послідовні номери не можна об&#39;єднати"
This is based on transactions against this Sales Person. See timeline below for details,Це базується на операціях проти цього Продавця. Докладніше див
Quiz,Вікторина
Delivered Qty,Доставлено кількість шт
Minimum Order Quantity,мінімальний обсяг замовлення
Warn Purchase Orders,Попереджати замовлення на купівлю
Role that is allowed to submit transactions that exceed credit limits set.,"Роль, яку дозволяють подавати операції, що перевищують встановлені ліміти кредиту."
Activity Name,Назва діяльності
UPC-A,UPC-A
Shopify Webhook Detail,Детальне оновлення WebHook
Variant Of,Варіант
Target warehouse is mandatory for row {0},Цільовий склад обов&#39;язковий для рядка {0}
Warranty,Гарантія
Guardian2 Email ID,ID електронної пошти Guardian2
