Pension Funds,연금 기금
Recipient Message And Payment Details,수취인 메시지 및 지불 세부 정보
Payment Terms Template Detail,지불 조건 템플릿 세부 정보
Select Quantity,수량 선택
Student Attendance,학생 출석
Automatically Set Serial Nos based on FIFO,FIFO를 기반으로하는 일련 번호 자동 설정
Available Qty,사용 가능한 수량
Get Invoices based on Filters,필터를 기반으로 청구서 받기
Default Workstation,기본 워크 스테이션
Salary Structure,급여 구조
Enable Attribute Filters,특성 필터 사용
Non Profit Member,비영리 회원
Material Request Plan Item,자재 요청 계획 항목
Add to Holidays,휴일에 추가하십시오
Limit Crossed,한도 초과
Transactions Annual History,거래 내역
Delete Company Transactions,회사 거래 삭제
To State,상태로
Department Stores,백화점
Inpatient Occupancy,입원 환자
Row {0}: Due Date cannot be before posting date,행 {0} : 만기일은 게시일 이전 일 수 없습니다.
Please set default customer in Restaurant Settings,레스토랑 설정에서 기본 고객을 설정하십시오.
 Group Roll No,그룹 롤 아니요
Please specify a valid Row ID for row {0} in table {1},{1} 테이블의 행 {0}에 유효한 행 ID를 지정하십시오.
To Employee,종업원에게
End of Life,삶의 끝
Sensitivity,감광도
Territory Targets,지역 타겟
"Skipping Leave Allocation for the following employees, as Leave Allocation records already exists against them. {0}",Leave Allocation 레코드가 이미 존재하므로 다음 직원에 대해서는 할당을 건너 뛰십시오. {0}
Delivered By Supplier,공급 업체가 제공
Plant Analysis,식물 분석
Expense account is mandatory for item {0},항목 {0}에는 비용 계정이 필요합니다.
Subcontracted Raw Materials To Be Transferred,외주 제작 된 원자재
Cashier Closing,출납원 폐쇄
Item {0} has already been returned,항목 {0}이 (가) 이미 반환되었습니다.
Child warehouse exists for this warehouse. You can not delete this warehouse.,이 창고에는 하위 창고가 있습니다. 이 창고를 삭제할 수 없습니다.
Diagnosis,진단
There is no leave period in between {0} and {1},{0}에서 {1} 사이에 휴가 기간이 없습니다.
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} 계정 {1}의 {2} {3}에 대한 예산은 {4}입니다. {5}를 초과합니다.
Asset Location,자산 위치
Please enter Difference Account,차이 계정을 입력하십시오.
Total Credit,총 학점
Name of Consultant,컨설턴트 이름
License Number,라이센스 번호
Program Enrollment Tool,프로그램 등록 도구
US,우리
Track this Sales Order against any Project,모든 판매 프로젝트에 대해이 판매 주문 추적
Authorization Settings,권한 부여 설정
Products,제작품
Profit and Loss Statement,손익 계산서
Rooms Booked,예약 된 방
EAN,EAN
Total Weight,총 무게
Travel,여행
Stock Ledger,주식 원장
Volunteer Name,자원 봉사자 이름
Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,GSTIN이 잘못되었습니다! GSTIN의 처음 2 자리 숫자는 주 번호 {0}과 일치해야합니다.
Report Date,보고서 날짜
Create Inter Company Journal Entry,회사 간판 항목 생성
Enough Parts to Build,충분한 부품을 만들어야합니다.
NPO-MEM-.YYYY.-,NPO-MEM- .YYYY.-
Cost of Issued Items,발행 된 물품의 원가
Treshold {0}% appears more than once,임계 값 {0} %가 두 번 이상 나타납니다.
Chapter Members,지부 회원들
Service Address,서비스 주소
Remark,말
Encounter Time,만남의 시간
Invoice Details,인보이스 세부 정보
"Further accounts can be made under Groups, but entries can be made against non-Groups",그룹에서 추가 계정을 만들 수 있지만 비 그룹스에 대해 항목을 만들 수 있습니다.
Stock Items,재고 품목
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},행 {0} # 할당 된 금액 {1}은 청구되지 않은 금액 {2}보다 클 수 없습니다.
Reqd Qty,요구 수량
Body Temperature,체온
Customer Group Name,고객 그룹 이름
Total allocated leaves are more than days in the period,할당 된 총 나뭇잎 수는 해당 기간의 일 이상입니다.
Section Cards,섹션 카드
Rules for adding shipping costs.,운송 비용 추가를위한 규칙.
Valid From,유효
Preferred Area for Lodging,숙박을위한 선호 구역
Absent,없는
Hide Currency Symbol,통화 기호 숨기기
Overwrite Salary Structure Amount,급여 구조 금액 덮어 쓰기
Is Subcontracted,외주 업체인가요?
Loan Amount cannot exceed Maximum Loan Amount of {0},대출 금액은 최대 대출 금액 {0}을 초과 할 수 없습니다.
BOM does not contain any stock item,BOM에는 재고 항목이 없습니다.
Employee Skill Map,직원 능력 맵
Marketing,마케팅
Row #{0}: Not allowed to change Supplier as Purchase Order already exists,행 # {0} : 구매 주문서가 이미 존재하므로 공급 업체를 변경할 수 없습니다
Maximum sample quantity that can be retained,보존 할 수있는 최대 샘플 양
Total Estimated Budget,총 예상 예산
Standing Name,서있는 이름
Validate Enrolled Course for Students in Student Group,학생 그룹의 학생들을위한 등록 된 과정 확인
From Date {0} cannot be after employee's relieving Date {1},{0} 날짜는 직원이 {{1} 날짜를 해고 한 후에는 사용할 수 없습니다.
"The total Issue / Transfer quantity {0} in Material Request {1}  \
							cannot be greater than requested quantity {2} for Item {3}",자재 요청 {1}의 총 이슈 / 이전 수량 {0}이 (가) 품목 {3}의 요청 수량 {2}보다 클 수 없습니다.
Please select {0},{0}을 (를) 선택하십시오.
Default Customer Group,기본 고객 그룹
Debit in Company Currency,회사 통화로 된 차변
"The fallback series is ""SO-WOO-"".",폴백 시리즈는 &quot;SO-WOO-&quot;입니다.
Section Header,섹션 헤더
Your Products or Services,제품 또는 서비스
Perennial,다년생의
Freight and Forwarding Charges,화물 및 포워딩 요금
Last Purchase Price,마지막 구매 가격
Tax Assets,세금 자산
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","&#39;가격&#39;에 대해 가격 결정 규칙을 선택한 경우 가격 목록을 덮어 씁니다. 가격 결정 률은 최종 요금이므로 더 이상의 할인은 적용되지 않습니다. 따라서 판매 주문, 구매 주문 등과 같은 거래에서는 &#39;가격 목록&#39;필드가 아닌 &#39;요율&#39;필드에서 가져옵니다."
Share Type,공유 유형
Soil Analysis,토양 분석
Water Analysis Criteria,물 분석 기준
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,참고 : {0} 할당 된 총 나뭇잎 수는 이미 승인 된 나뭇잎 {1}보다 작아야합니다
Deduction,공제
You cannot restart a Subscription that is not cancelled.,취소되지 않은 구독은 다시 시작할 수 없습니다.
Employee Advances,직원 진출
Provisional Profit / Loss (Credit),잠정 수익 / 손실 (여신)
Max Exemption Amount,최대 면제 금액
TS-.YYYY.-,TS- .YYYY.-
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,항목에 대한 UOM이 다를 경우 (총) 순중량 값이 잘못됩니다. 각 품목의 순중량이 동일한 UOM에 있는지 확인하십시오.
Supplier Quotation,공급 업체 견적
Auto re-order,자동 재주문
Total Advance Amount,총 대출 금액
Row #{0}: Clearance date {1} cannot be before Cheque Date {2},행 # {0} : 정리 날짜 {1}은 (는) 확인 날짜 {2} 이전 일 수 없습니다.
Can only make payment against unbilled {0},지불되지 않은 {0}에 대해서만 지불 할 수 있습니다.
Thumbnail,미리보기 이미지
Planned Qty,예정 수량
Rates,요금
Journal Entry for Scrap,스크랩에 대한 분개 항목
Voucher Detail No,바우처 세부 사항 없음
Variant Based On cannot be changed,변형 기준은 변경할 수 없습니다.
Review Date,검토 일
Biennial,비엔날레
Endpoints,종점
Plan,계획
Year of Passing,합격 연도
Total Tax,총 세금
Please enter default currency in Company Master,회사 마스터에 기본 통화를 입력하십시오.
Processed Files,처리 된 파일
Is Earned Leave,수입 남았 는가?
Search Term Param Name,검색 용어 매개 변수 이름
Time Sheets,시간표
Installation Time,설치 시간
Templates of supplier scorecard variables.,공급자 스코어 카드 변수의 템플릿.
"A Product or a Service that is bought, sold or kept in stock.","구입, 판매 또는 재고가있는 제품 또는 서비스."
Closing (Opening + Total),결산 (개회 + 총)
Criteria Formula,기준 수식
Support Analytics,지원 분석
Review and Action,검토 및 조치
"If the account is frozen, entries are allowed to restricted users.",계정이 고정되어 있으면 제한된 사용자에게 항목을 허용합니다.
Amount After Depreciation,감가 상각 후 금액
Import Master Data,마스터 데이터 가져 오기
BOM {0} must be active,BOM {0}이 (가) 활성화되어 있어야합니다.
GST Sales Register,GST 영업 등록
Supplier Invoice Date cannot be greater than Posting Date,공급 업체 송장 일자는 전기 일보다 클 수 없습니다.
Manage your orders,주문 관리
Notify Supplier,공급자에게 알린다.
GSTR-2,GSTR-2
Credit Note Issued,신용 메모 발급
This covers all scorecards tied to this Setup,여기에는이 설정에 연결된 모든 스코어 카드가 포함됩니다.
Payment Order Type,지불 주문 유형
Parent Account,학부모 계정
Unscheduled,예정되지 않은
Issue Material,이슈 재료
Use Multi-Level BOM,다단계 BOM 사용
Qty for {0},{0}의 수량
Loan Repayment,대출 상환
Major/Optional Subjects,전공 선택 과목
Silt,미사
Bank Guarantee Type,은행 보증 유형
"If disable, 'Rounded Total' field will not be visible in any transaction",사용 중지 된 경우 &#39;Rounded Total&#39;입력란은 거래에서 표시되지 않습니다.
Min Amt,민 암트
This is a root healthcare service unit and cannot be edited.,이것은 루트 의료 서비스 부서이며 편집 할 수 없습니다.
Set this if the customer is a Public Administration company.,고객이 공공 행정 회사 인 경우이 값을 설정하십시오.
Max benefits should be greater than zero to dispense benefits,최대 이익은 혜택을 분배하기 위해 0보다 커야합니다.
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order # {3}. Please update operation status via Job Card # {4},행 # {0} : 작업 주문 번호 {3}의 완제품의 {2} 수량에 대해 {1} 작업이 완료되지 않았습니다. 작업 카드 # {4}을 (를) 통해 작업 상태를 업데이트하십시오.
Planned Start Date,계획된 시작 날짜
Asset Maintenance,자산 관리
Interested,관심있는
Net Total (Company Currency),순 총액 (회사 통화)
Depends on Payment Days,지불 일에 달려있다.
Taxes,구실
Bank Account,은행 계좌
Section HTML,섹션 HTML
Packed Items,포장 된 품목
New {0} pricing rules are created,새로운 {0} 가격 규칙이 생성되었습니다.
Achieved ({}),달성 된 ({})
Investment Banking,투자 금융
Contract Terms and Conditions,계약 조건
Fetch Data,데이터 가져 오기
Default Item Group,기본 품목 그룹
Billing Hours,결제 시간
Item Code for Suppliers,공급자 품목 코드
Leave application {0} already exists against the student {1},학생 {1}에게 이미 {0} 신청서를 남깁니다.
Margin Type,여백 유형
Rejected Serial No,거부 된 일련 번호
Current Amount,현재 금액
Setup default values for POS Invoices,POS 송장의 기본값 설정
Cost as on,다음과 같은 비용
Project Update.,프로젝트 업데이트.
Root Type is mandatory,루트 유형은 필수 항목입니다.
Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,주요 날짜 {2}에 대해 {0}에서 {1}까지의 환율을 찾을 수 없습니다. 통화 기록을 수동으로 생성하십시오.
{0}% Billed,{0} 청구 된 비율
Overdue,기한 초과
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,주어진 양의 원료에서 제조 / 재 포장 한 후에 얻은 품목의 수량
Opening Invoice Creation Tool Item,개설 송장 생성 도구 항목
(Ca+Mg)/K,(Ca + Mg) / K
Include POS Transactions,POS 트랜잭션 포함
Received Amount (Company Currency),수령 금액 (회사 통화)
"LocalStorage is full, did not save",LocalStorage가 꽉 찼습니다. 저장하지 않았습니다.
Chapter Member,지부장
Certification Validity,인증 유효 기간
Asset Account,자산 계좌
Suplier,술병
POS Closing Voucher Details,POS 클로징 바우처 세부 정보
HLC-PMR-.YYYY.-,HLC-PMR- .YYYY.-
Delivery Settings,게재 설정
Receivables,미수금
Annual,일년생 식물
Tax Rate,세율
Medical Coding,의료 코딩
Total Quantity,총량
Comprehensive Insurance,종합 보험
Quantity and Rate,수량 및 비율
Max Amount Eligible,최대 금액 적격
Employee Loan,직원 대출
Account Paid To,지불 계정
Single,단일
Customer required for 'Customerwise Discount',&#39;고객 할인&#39;에 필요한 고객
Advance Payments,선급금
"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",\ Item {0}이 \ Serial 번호로 배달 보장 여부와 함께 추가되므로 일련 번호로 배송되지 못합니다.
Discharge Date,배출 날짜
Open Work Orders,작업 주문 열기
List of diseases detected on the field. When selected it'll automatically add a list of tasks to deal with the disease ,현장에서 발견 된 질병의 목록. 선택한 경우 질병을 처리 할 작업 목록이 자동으로 추가됩니다.
All Lead (Open),모든 리드 (열기)
No Student Groups created.,학생 그룹이 생성되지 않았습니다.
Duplicate row {0} with same {1},동일한 {1} 행이있는 {0} 행이 중복되었습니다.
Salary Details,급여 세부 정보
Invoice,송장
Particulars,상세
Please set filter based on Item or Warehouse,Item 또는 Warehouse를 기준으로 필터를 설정하십시오.
Outstanding Amount,미납금
Transactions can only be deleted by the creator of the Company,거래는 회사 작성자에 의해서만 삭제 될 수 있습니다.
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.","&#39;제품 번들&#39;품목의 경우 &#39;포장 목록&#39;표에서 창고, 일련 번호 및 배치 번호를 고려합니다. Warehouse와 Batch No가 &#39;Product Bundle&#39;항목의 모든 포장 항목에 대해 동일하면 해당 값을 기본 Item 테이블에 입력 할 수 있으며 값은 &#39;Packing List&#39;테이블에 복사됩니다."
Submitted Date,제출 날짜
Send with Attachment,첨부 파일과 함께 보내기
Account {0} does not exists,계정 {0}이 (가) 존재하지 않습니다.
BOM No,BOM 번호
Avg Daily Outgoing,평균 매일 보내는
Allergies,알레르기
Order/Quot %,주문 / 견적
Transporter Info,운송 정보
Please select the assessment group other than 'All Assessment Groups',&#39;모든 평가 그룹&#39;이외의 평가 그룹을 선택하십시오.
Payroll,급여
Expense Amount,비용 금액
Received On,받은 시간
Flight,비행
Landed Cost Taxes and Charges,상륙 비용 세금 및 수수료
More than one selection for {0} not allowed,{0}에 대한 하나 이상의 선택 사항이 허용되지 않습니다.
Net Change in Equity,자기 자본 변동
Leaves has been granted sucessfully,나뭇잎이 성공적으로 부여되었습니다.
Expiry Date,만료일
Working,일
This is based on transactions against this Patient. See timeline below for details,이것은이 환자와의 거래를 기반으로합니다. 자세한 내용은 아래 일정을 참조하십시오.
Requested For,요청한 대상
All Sales Person,모든 영업 사원
Please set default account in Salary Component {0},급여 구성 요소 {0}에 기본 계정을 설정하십시오.
No products found,제품이 없습니다.
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,생산을위한 예비 수량 : 제조 품목을 만들기위한 원자재 수량.
Optional. This setting will be used to filter in various transactions.,선택 과목. 이 설정은 다양한 트랜잭션을 필터링하는 데 사용됩니다.
Target Warehouse Address,대상 창고 주소
Outward taxable supplies(zero rated),외부 과세 대상 물품 (0 점)
Customer Address,고객 주소
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
Asset {0} does not belong to company {1},애셋 {0}이 (가) 회사 {1}에 속해 있지 않습니다.
Room Capacity,객실 용량
Please select a batch,일괄 처리를 선택하십시오.
Select Attribute Values,속성 값 선택
Signatory Position,서명 위치
Row {0}: Party Type and Party is required for Receivable / Payable account {1},행 {0} : 미수금 / 채무 계정 {1}에 파티 유형 및 파티가 필요합니다.
Production,생산
Failed to setup post company fixtures,사후 설비 설치를 설정하지 못했습니다.
Communication log.,통신 로그.
Enable Deferred Expense,지연된 비용 사용
Customer Contact Email,고객 연락 이메일
Collection Details,컬렉션 세부 정보
Stock Entry Child,입국 어린이
No Quote,견적 없음
"Sorry, Serial Nos cannot be merged",죄송합니다. 일련 번호는 병합 할 수 없습니다.
This is based on transactions against this Sales Person. See timeline below for details,이는이 판매원과의 거래를 기반으로합니다. 자세한 내용은 아래 일정을 참조하십시오.
Quiz,놀리다
Delivered Qty,배송 된 수량
Minimum Order Quantity,최소 주문 수량
Warn Purchase Orders,구매 주문 경고
Role that is allowed to submit transactions that exceed credit limits set.,여신 한도를 초과하는 거래를 제출하도록 허용 된 역할.
Activity Name,활동 이름
UPC-A,UPC-A
Shopify Webhook Detail,Shopify Webhook 세부 정보
Variant Of,변형
Target warehouse is mandatory for row {0},대상웨어 하우스는 행 {0}에 필수입니다.
Warranty,보증
Guardian2 Email ID,Guardian2 이메일 ID
Expense Claim Type,경비 청구 유형
Bank Balance,은행 잔고
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.",가격 결정 규칙은 일부 기준에 따라 가격리스트를 덮어 쓰거나 할인율을 정의하도록 만들어집니다.
Customer Group is Required in POS Profile,POS 프로파일에 고객 그룹이 필요합니다.
Applicable To (Employee),적용 대상 (직원)
Day Book Data,데이 북 데이터
Gross Profit / Loss,총 이익 / 손실
Credit Note Amount,여신 참고 금액
Payment,지불
Capacity Planning Error,용량 계획 오류
Prevent POs,PO 방지
Authorization Endpoint,권한 부여 엔드 포인트
Payment Gateway Account,지불 게이트웨이 계정
BOM Variance Report,BOM 차이 리포트
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,나머지 조직을 사용자로 추가하십시오. 주소록에 초대 된 고객을 추가하여 포털에 추가 할 수도 있습니다.
Employee Emails,직원 이메일
Any other details,기타 세부 정보
Inpatient Status,입원 환자 현황
Create Repayment Entry,상환 엔트리 생성
Scrap,한조각
Clinical Procedure,임상 절차
Hold Type,홀드 형
Process Day Book Data,데이 데이 데이터 처리
Fee Validity,요금 유효 기간
Create Fees,수수료 생성
Date Settings,날짜 설정
Operation Time,작업 시간
Value After Depreciation,감가 상각 후의 가치
Start date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,작업 <b>{0}</b> 의 시작 날짜는 <b>{1}</b> 예상 시작 날짜 <b>{2}</b> 보다 낮을 수 없습니다.
Remaining,남은
Lead Count,리드 카운트
The name of your company for which you are setting up this system.,이 시스템을 설치하려는 회사의 이름.
Out of AMC,AMC 외
"Job profile, qualifications required etc.","직업 프로필, 자격 요건 등"
Ship To State,배송지 국가
Basic Rate,기본 요율
Work End Date,작업 종료 날짜
Request for Raw Materials,원료 요청
Quality Goal.,품질 목표.
Show Open,쇼 열기
Attribute Name,속성 이름
Donor Type information.,기부자 유형 정보.
Is Transporter,트랜스 포터인가?
Maximum Loan Amount,최대 대출 금액
Email not found in default contact,기본 연락처에 이메일이 없습니다.
Booked,예약 됨
Partially Completed,부분적으로 완료 됨
Default Employee Advance Account,기본 직원 사전 계정
Allow Negative Balance,마이너스 잔액 허용
Assessment Plan Name,평가 계획 이름
Default Payment Terms Template,기본 지급 조건 템플릿
Add more items or open full form,항목을 더 추가하거나 전체 양식 열기
Work Summary for {0},{0}의 작업 요약
Academic Term,학기
Quantity and Amount,수량 및 금액
Target Warehouse Name,대상 창고 이름
Maximum Exempted Amount,최대 면제 금액
Sample Retention Warehouse,샘플 보관 창고
Discount Percentage,할인율
Company Description,회사 설명
Serial No {0} does not belong to Item {1},일련 번호 {0}이 (가) {1} 항목에 속해 있지 않습니다.
Scrap Warehouse,스크랩 창고
Chapter information.,장 정보.
) for {0},)에 대한 {0}
References,참고 문헌
Reserved Qty,예약 된 수량
Shift Type,시프트 유형
Delivery Stop,배달 중지
No Result to submit,제출할 결과가 없습니다.
Redemption,구속
Transferred,이전 됨
{0} has fee validity till {1},{0}은 (는) {1}까지 수수료 유효 기간이 있습니다.
All Student Admissions,모든 학생 입학
Address of Organizer,주최자의 주소
"Values of exempt, nil rated and non-GST inward supplies","면제, 무 정격 및 비 GST 내부 공급 가치"
Maintenance Visit {0} must be cancelled before cancelling this Sales Order,이 판매 주문을 취소하기 전에 유지 관리 방문 {0}을 취소해야합니다.
Stock Balance,주식 수지
Available Qty at From Warehouse,창고에서의 사용 가능 수량
Repack,Repack
Must be Whole Number,전체 숫자 여야합니다.
Credit limit has been crossed for customer {0} ({1}/{2}),고객 {0} ({1} / {2})의 신용 한도가 초과되었습니다.
Submitted orders can not be deleted,제출 된 주문은 삭제할 수 없습니다.
Hello,여보세요
Change,변화
Activity Cost exists for Employee {0} against Activity Type - {1},활동 유형 - {1}에 대해 직원 {0}에 대한 활동 비용이 있습니다.
Request for Quotation Item,견적 항목 요청
{0} entered twice in Item Tax,항목 세금에 {0}이 (가) 두 번 입력되었습니다.
Deduct Full Tax on Selected Payroll Date,선택한 급여 날짜에 전체 세금 공제
Select change amount account,변경 금액 계정 선택
Forum Posts,포럼 게시물
Expected Hrs,예상 근무 시간
Payment Plan,지불 계획
Earliest,가장 일찍
Enroll Students,학생 등록
Repeat Customer Revenue,고객 수익 반복
Date of Commencement,시작 날짜
Bank Name,은행 이름
December,12 월
Valid from date must be less than valid upto date,날짜 유효 기간은 날짜까지 유효해야합니다.
This is based on the attendance of this Employee,이것은이 직원의 출석을 기반으로합니다.
"If checked, the Home page will be the default Item Group for the website",이 옵션을 선택하면 홈 페이지가 웹 사이트의 기본 항목 그룹이됩니다.
Row Spacing UOM,줄 간격 UOM
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,&#39;승인 됨&#39;및 &#39;거부 됨&#39;상태의 신청 만 제출할 수 있습니다.
Import in Bulk,대량으로 가져 오기
Terms and Conditions Content,이용 약관 내용
Purchase Order Amount(Company Currency),구매 주문 금액 (회사 통화)
Hospital,병원
Stock Analytics,주식 분석
Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},항목 {0}의 판매율이 {1}보다 낮습니다. 판매율은 atleast 여야합니다 {2}.
Application of Funds (Assets),기금 (자산)의 신청
Templates of supplier standings.,공급 업체 순위의 템플릿.
HLC-PAT-.YYYY.-,HLC-PAT- .YYYY.-
Grant,부여
Price List Currency not selected,가격 목록 통화가 선택되지 않았습니다.
Total in words,총 단어 수
"If enabled, the system will post accounting entries for inventory automatically.",이 옵션을 사용하면 시스템에서 인벤토리에 대한 계정 항목을 자동으로 게시합니다.
BOM Item,BOM 항목
Scheduled Date,예정 날짜
Please enter Maintaince Details first,먼저 Maintaince Details를 입력하십시오.
Projected Quantity Formula,투영 된 수식
Supplier Scorecard Scoring Standing,공급 업체 스코어 카드 득점 대기
Row {0}: Please set the correct code on Mode of Payment {1},행 {0} : 결제 방법 {1}에 올바른 코드를 설정하십시오.
"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\
			amount",직원 {0}의 최대 이익이 이전 청구 금액의 {2}에 의해 {1}을 (를) 초과했습니다.
Employee status cannot be set to 'Left' as following employees are currently reporting to this employee:&nbsp;,다음 직원이 현재이 직원에게보고하고 있으므로 직원 상태를 &#39;왼쪽&#39;으로 설정할 수 없습니다.
Source Warehouse,출처 창고
Add Users,사용자 추가
Payment Tems,지불 기한
All Sales Partner Contact,모든 영업 파트너 연락처
Total(Amt),총 (Amt)
Payment Description,지불 설명
ZIP Code,우편 번호
Accumulated Values,누적 값
Intervals,간격
Training Events,교육 이벤트
Quantity and Description,수량 및 설명
Payment Type,지불 유형
The folio numbers are not matching,Folio 번호가 일치하지 않습니다.
ACC-CF-.YYYY.-,ACC-CF- .YYYY.-
{0} item found.,{0} 항목이 발견되었습니다.
Stock Ageing,재고 고령화
Mention if non-standard receivable account applicable,비표준 채권 계좌가 해당 될 경우 언급
Subcontracted Item To Be Received,외주 품목 수령
Synced With Hub,허브와 동기화 됨
To date can not be less than from date,날짜는 날짜보다 작을 수 없습니다.
Work Address,직장 주소
Total completed qty can not be greater than for quantity,총 완료 수량은 수량보다 클 수 없습니다.
POS Item Group,POS 품목 그룹
Company Description for website homepage,회사 설명 웹 사이트 홈페이지
Delivery Note Trends,납품서 동향
"Stopped Production Order cannot be cancelled, Unstop it first to cancel",생산 중지 된 주문을 취소 할 수 없습니다. 취소하려면 먼저 취소하십시오.
Current State,현재 주
Open Item {0},항목 열기 {0}
Batch-Wise Balance History,배치 - 현명한 균형 기록
Percentage Allocation,백분율 할당
One Sided,한쪽 편
Relation with Guardian2,Guardian2와의 관계
Disposal Date,처분 일
Opportunity Type,기회 유형
Cash Flow Mapping Template,현금 흐름 매핑 템플릿
Depreciation Options,감가 상각 옵션
Admission Start Date,입학 개시일
Update BOM Cost Automatically,BOM 비용 자동 갱신
Subscription Settings,구독 설정
CGST Amount,CGST 금액
Seller ID,판매자 ID
'To Case No.' cannot be less than 'From Case No.',&#39;사례 번호로&#39; &#39;사례 번호&#39;보다 작을 수 없습니다.
EDU-FSH-.YYYY.-,EDU-FSH-.YYYY.-
"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","두 레코드에서 다음과 같은 속성이 동일한 경우에만 병합이 가능합니다. 그룹, 루트 유형, 회사인가"
SMS Log,SMS 로그
Please specify either Quantity or Valuation Rate or both,Quantity 또는 Valuation Rate 또는 둘 다 지정하십시오.
Amount based on formula,공식에 근거한 금액
Transfer Qty,수량 이전
Cost Centers,코스트 센터
Batch is mandatory in row {0},배치는 {0} 행에서 필수 항목입니다.
Error in formula or condition: {0},수식 또는 조건 오류 : {0}
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",항목 요율에서 행 {0}에 세금을 포함 시키려면 {1} 행의 세금도 포함해야합니다.
Trial Balance (Simple),시산표 (단순)
Customer Contact,고객 연락처
Registered,등기
Gross Purchase Amount is mandatory,총 구매 금액은 필수 항목입니다.
Components,구성 요소
Promotional Scheme,프로모션 계획
Row #{0}: Account {1} does not belong to company {2},행 # {0} : 계정 {1}이 (가) 회사 {2}에 속해 있지 않습니다.
Against Doctype,Doctype 반대
Total flexible benefit component amount {0} should not be less than max benefits {1},총 탄력적 인 혜택 구성 요소 금액 {0}은 최대 이점보다 작아서는 안됩니다 {1}
From GSTIN,GSTIN에서
Return Against Sales Invoice,판매 송장에 대한 반품
Rename Attribute Value in Item Attribute.,항목 속성에서 속성 값의 이름을 바꿉니다.
Queued for updating latest price in all Bill of Materials. It may take a few minutes.,모든 BOM에서 최신 가격 업데이트 대기. 몇 분이 소요될 수 있습니다.
Please select a warehouse,창고를 선택하십시오.
Weight UOM,무게 UOM
Accounts Payable Summary,채무 요약
{0} against Sales Order {1},판매 주문 {1}에 대한 {0}
Payroll Employee Detail,급여 직원 세부 정보
Admission and Enrollment,입학 및 등록
Budget Amount,예산 금액
Account {0} does not match with Company {1} in Mode of Account: {2},계정 {0}이 (가) 계정 모드에서 회사 {1}과 (과) 일치하지 않습니다 : {2}
Please enter Receipt Document,영수증 문서를 입력하십시오.
Change the starting / current sequence number of an existing series.,기존 계열의 시작 / 현재 일련 번호를 변경하십시오.
Employee Lifecycle,직원 수명주기
For Quantity must be less than quantity {0},수량이 수량 {0}보다 적어야합니다.
Assessment Plan,평가 계획
Warranty Claim,품질 보증 요구
Date of Incorporation,설립 날짜
Double Declining Balance,더블 하락 저울
Validate Attendance,출석 확인
LP-,LP-
POS Customer Group,POS 고객 그룹
Qty to Deliver,전달 수량
Fiscal Year {0} is required,회계 연도 {0}이 (가) 필요합니다.
Employee Records to be created by,에 의해 생성되는 직원 기록
Depreciation Amount,감가 상각액
Gross Profit,매출 총 이익
Item Serial No,항목 일련 번호
Insurer,보험 회사
Buying Amount,구매 금액
Certificate Required,인증서 필요
Retention Bonus,회원 유지 보너스
Asset Naming Series,자산 명명 시리즈
Laboratory Settings,실험실 설정
Amount of Integrated Tax,통합 세액
Branch,분기
Required Date,필수 날짜
Returns,보고
Negotiation/Review,협상 / 검토
Stock Summary,주식 요약
From Date,날짜부터
"You can claim only an amount of {0}, the rest amount {1} should be in the application \
				as pro-rata component",{0}의 금액 만 청구 할 수 있으며 나머지 금액은 {1}이 (가) 비례 비율 요소 인 응용 프로그램에 있어야합니다.
A logical Warehouse against which stock entries are made.,재고가 기입되는 논리적 창고.
Difference Account,차이 계정
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,급여 전표를 제출하고 발생 분개를 생성합니다. 진행 하시겠습니까?
Manufacturers used in Items,품목에서 사용 된 제조자
