DocType: Accounting Period,Period Name,കാലാവധി നാമം
DocType: Contract,Fulfilment Details,നിർവ്വഹണ വിശദാംശങ്ങൾ
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.py,Pay {0} {1},{0} {1} പണമടയ്ക്കുക
DocType: Employee Onboarding,Activities,പ്രവർത്തനങ്ങൾ
DocType: Expense Claim Detail,Expense Date,ചിലവേറിയ തീയതി
DocType: Item,No of Months,മാസങ്ങളുടെ എണ്ണം
DocType: Item,Max Discount (%),മാക്സ് കിഴിവും (%)
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,Credit Days cannot be a negative number,ക്രെഡിറ്റ് ദിനങ്ങൾ ഒരു നെഗറ്റീവ് സംഖ്യയായിരിക്കരുത്
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Upload a statement,ഒരു പ്രസ്താവന അപ്‌ലോഡുചെയ്യുക
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Report this item,ഈ ഇനം റിപ്പോർട്ട് ചെയ്യുക
DocType: Purchase Invoice Item,Service Stop Date,സേവനം നിർത്തുക തീയതി
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Last Order Amount,കഴിഞ്ഞ ഓർഡർ തുക
DocType: Cash Flow Mapper,e.g Adjustments for:,ഉദാഹരണത്തിന് ഇവയ്ക്കുള്ള ക്രമീകരണങ്ങൾ:
apps/erpnext/erpnext/stock/doctype/item/item.py," {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} സാമ്പിൾ ബാച്ച് അടിസ്ഥാനമാക്കിയുള്ളതാണ്, ദയവായി സാമ്പിൾ ഇനത്തെ നിലനിർത്താൻ &#39;ബാച്ച് നോ&#39; പരിശോധിക്കുക"
DocType: Task,Is Milestone,Milestone ആണോ
DocType: Certification Application,Yet to appear,ഇനിയും ദൃശ്യമാകും
DocType: Delivery Stop,Email Sent To,അയച്ച ഇമെയിൽ
DocType: Job Card Item,Job Card Item,ജോബ് കാർഡ് ഇനം
DocType: Accounts Settings,Allow Cost Center In Entry of Balance Sheet Account,ബാലൻസ് ഷീറ്റിന്റെ എൻട്രിയിൽ കോസ്റ്റ് സെന്റർ അനുവദിക്കുക
apps/erpnext/erpnext/accounts/doctype/account/account.js,Merge with Existing Account,നിലവിലുള്ള അക്കൗണ്ട് ഉപയോഗിച്ച് ലയിപ്പിക്കുക
DocType: Budget,Warn,മുന്നറിയിപ്പുകൊടുക്കുക
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,All items have already been transferred for this Work Order.,ഈ വർക്ക് ഓർഡറിന് എല്ലാ ഇനങ്ങളും ഇതിനകം ട്രാൻസ്ഫർ ചെയ്തു.
DocType: Appraisal,"Any other remarks, noteworthy effort that should go in the records.","മറ്റേതെങ്കിലും പരാമർശമാണ്, റെക്കോർഡുകൾ ചെല്ലേണ്ടതിന്നു ശ്രദ്ധേയമാണ് ശ്രമം."
DocType: Bank Account,Company Account,കമ്പനി അക്കൗണ്ട്
DocType: Asset Maintenance,Manufacturing User,ണം ഉപയോക്താവ്
DocType: Purchase Invoice,Raw Materials Supplied,നൽകിയത് അസംസ്കൃത വസ്തുക്കൾ
DocType: Subscription Plan,Payment Plan,പേയ്മെന്റ് പ്ലാൻ
DocType: Bank Transaction,Series,സീരീസ്
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Currency of the price list {0} must be {1} or {2},വിലവിവരങ്ങളുടെ നാണയം {0} {1} അല്ലെങ്കിൽ {2} ആയിരിക്കണം
apps/erpnext/erpnext/config/accounting.py,Subscription Management,സബ്സ്ക്രിപ്ഷൻ മാനേജ്മെന്റ്
DocType: Appraisal,Appraisal Template,അപ്രൈസൽ ഫലകം
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Pin Code,കോഡ് പിൻ ചെയ്യുക
DocType: Soil Texture,Ternary Plot,ടെർണറി പ്ലോട്ട്
DocType: Amazon MWS Settings,Check this to enable a scheduled Daily synchronization routine via scheduler,ഷെഡ്യൂളർ വഴി ഒരു ഷെഡ്യൂൾ ചെയ്ത ഡെയ്ലി സിൻക്രൊണൈസേഷൻ പതിവ് പ്രവർത്തനക്ഷമമാക്കാൻ ഇത് ചെക്ക് ചെയ്യുക
DocType: Item Group,Item Classification,ഇനം തിരിക്കൽ
apps/erpnext/erpnext/templates/pages/home.html,Publications,പ്രസിദ്ധീകരണങ്ങൾ
DocType: Driver,License Number,ലൈസൻസ് നമ്പർ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Business Development Manager,ബിസിനസ് ഡെവലപ്മെന്റ് മാനേജർ
DocType: Maintenance Visit Purpose,Maintenance Visit Purpose,മെയിൻറനൻസ് സന്ദർശിക്കുക ഉദ്ദേശ്യം
DocType: Stock Entry,Stock Entry Type,സ്റ്റോക്ക് എൻട്രി തരം
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js,Invoice Patient Registration,ഇൻവോയ്സ് രോഗി രജിസ്ട്രേഷൻ
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.js,General Ledger,ജനറൽ ലെഡ്ജർ
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,To Fiscal Year,ധനകാര്യ വർഷം
apps/erpnext/erpnext/selling/doctype/campaign/campaign.js,View Leads,കാണുക നയിക്കുന്നു
DocType: Program Enrollment Tool,New Program,പുതിയ പ്രോഗ്രാം
DocType: Item Attribute Value,Attribute Value,ന്റെതിരച്ചറിവിനു്തെറ്റായധാര്മ്മികമൂല്യം
DocType: POS Closing Voucher Details,Expected Amount,പ്രതീക്ഷിക്കുന്ന തുക
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test_list.js,Create Multiple,ഒന്നിലധികം സൃഷ്ടിക്കുക
,Itemwise Recommended Reorder Level,Itemwise പുനഃക്രമീകരിക്കുക ലെവൽ ശുപാർശിത
DocType: Salary Detail,Salary Detail,ശമ്പള വിശദാംശം
DocType: Email Digest,New Purchase Invoice,പുതിയ വാങ്ങൽ ഇൻവോയ്സ്
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Please select {0} first,ആദ്യം {0} തിരഞ്ഞെടുക്കുക
apps/erpnext/erpnext/public/js/hub/marketplace.js,Added {0} users,{0} ഉപയോക്താക്കൾ ചേർത്തു
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Less Than Amount,തുകയേക്കാൾ കുറവ്
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","മൾട്ടി-ടയർ പരിപാടിയുടെ കാര്യത്തിൽ, കസ്റ്റമർമാർ ചെലവഴിച്ച തുക പ്രകാരം ബന്ധപ്പെട്ട ടീമിൽ ഓട്ടോ നിർണ്ണയിക്കും"
DocType: Appointment Type,Physician,വൈദ്യൻ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Batch {0} of Item {1} has expired.,ബാച്ച് {0} ഇനത്തിന്റെ {1} കാലഹരണപ്പെട്ടു.
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment_dashboard.py,Consultations,കൺസൾട്ടേഷനുകൾ
apps/erpnext/erpnext/manufacturing/report/bom_variance_report/bom_variance_report.py,Finished Good,നന്നായിരിക്കുന്നു
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, UOM, Qty and Dates.","വില ലിസ്റ്റ്, വിതരണക്കാരൻ / കസ്റ്റമർ, കറൻസി, ഇനം, UOM, ക്യൂട്ടി, തീയതി എന്നിവയെ അടിസ്ഥാനമാക്കി ഇനം വില പല തവണ ദൃശ്യമാകുന്നു."
DocType: Sales Invoice,Commission,കമ്മീഷൻ
DocType: Certification Application,Name of Applicant,അപേക്ഷകൻറെ പേര്
apps/erpnext/erpnext/config/manufacturing.py,Time Sheet for manufacturing.,നിർമാണ സമയം ഷീറ്റ്.
DocType: Quick Stock Balance,Quick Stock Balance,ദ്രുത സ്റ്റോക്ക് ബാലൻസ്
apps/erpnext/erpnext/templates/pages/cart.html,Subtotal,ആകെത്തുക
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,സ്റ്റോക്ക് ഇടപാടിനുശേഷം വ്യത്യാസമായ സ്വഭാവസവിശേഷത മാറ്റാനാവില്ല. ഇത് ചെയ്യുന്നതിന് നിങ്ങൾ ഒരു പുതിയ വസ്തു സൃഷ്ടിക്കേണ്ടി വരും.
apps/erpnext/erpnext/config/integrations.py,GoCardless SEPA Mandate,GoCardless SEPA മാൻഡേറ്റ്
DocType: Healthcare Practitioner,Charges,നിരക്കുകൾ
DocType: Production Plan,Get Items For Work Order,വർക്ക് ഓർഡർ ഇനങ്ങൾ നേടുക
DocType: Salary Detail,Default Amount,സ്ഥിരസ്ഥിതി തുക
DocType: Lab Test Template,Descriptive,വിവരണാത്മക
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Warehouse not found in the system,വെയർഹൗസ് സിസ്റ്റം കണ്ടെത്തിയില്ല
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Month's Summary,ഈ മാസം ചുരുക്കം
DocType: Quality Inspection Reading,Quality Inspection Reading,ക്വാളിറ്റി ഇൻസ്പെക്ഷൻ വായന
apps/erpnext/erpnext/stock/doctype/stock_settings/stock_settings.py,`Freeze Stocks Older Than` should be smaller than %d days.,`ഫ്രീസുചെയ്യുക സ്റ്റോക്കുകൾ പഴയ Than`% d ദിവസം കുറവായിരിക്കണം.
DocType: Tax Rule,Purchase Tax Template,വാങ്ങൽ നികുതി ഫലകം
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Earliest Age,ആദ്യകാല പ്രായം
apps/erpnext/erpnext/utilities/user_progress.py,Set a sales goal you'd like to achieve for your company.,നിങ്ങളുടെ കമ്പനിയ്ക്കായി നിങ്ങൾ നേടാൻ ആഗ്രഹിക്കുന്ന ഒരു സെയിൽ ഗോൾ സജ്ജമാക്കുക.
DocType: Quality Goal,Revision,പുനരവലോകനം
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Healthcare Services,ഹെൽത്ത് സർവീസസ്
,Project wise Stock Tracking,പ്രോജക്ട് ജ്ഞാനികൾ സ്റ്റോക്ക് ട്രാക്കിംഗ്
DocType: GST HSN Code,Regional,പ്രാദേശിക
apps/erpnext/erpnext/config/healthcare.py,Laboratory,ലബോറട്ടറി
DocType: UOM Category,UOM Category,UOM വിഭാഗം
DocType: Clinical Procedure Item,Actual Qty (at source/target),(ഉറവിടം / ലക്ഷ്യം ന്) യഥാർത്ഥ Qty
DocType: Item Customer Detail,Ref Code,റഫറൻസ് കോഡ്
DocType: Accounts Settings,Address used to determine Tax Category in transactions.,ഇടപാടുകളിൽ നികുതി വിഭാഗം നിർണ്ണയിക്കാൻ ഉപയോഗിക്കുന്ന വിലാസം.
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Customer Group is Required in POS Profile,POS പ്രൊഫൈലുകളിൽ ഉപഭോക്താവിന്റെ ഗ്രൂപ്പ് ആവശ്യമാണ്
DocType: HR Settings,Payroll Settings,ശമ്പളപ്പട്ടിക ക്രമീകരണങ്ങൾ
apps/erpnext/erpnext/config/accounting.py,Match non-linked Invoices and Payments.,നോൺ-ലിങ്ക്ഡ് ഇൻവോയ്സുകളും പേയ്മെൻറുകൾ ചേരു.
DocType: POS Settings,POS Settings,POS ക്രമീകരണങ്ങൾ
apps/erpnext/erpnext/templates/pages/cart.html,Place Order,സ്ഥല ഓർഡർ
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.js,Create Invoice,ഇൻവോയ്സ് സൃഷ്ടിക്കുക
DocType: Email Digest,New Purchase Orders,പുതിയ വാങ്ങൽ ഓർഡറുകൾ
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Root cannot have a parent cost center,റൂട്ട് ഒരു പാരന്റ് ചെലവ് കേന്ദ്രം പാടില്ല
DocType: POS Closing Voucher,Expense Details,ചെലവ് വിശദാംശങ്ങൾ
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Brand...,ബ്രാൻഡ് തിരഞ്ഞെടുക്കുക ...
apps/erpnext/erpnext/public/js/setup_wizard.js,Non Profit (beta),ലാഭേച്ഛയില്ലാത്ത (ബീറ്റ)
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Accumulated Depreciation as on,ഓൺ ആയി സൂക്ഷിക്കുന്നത് മൂല്യത്തകർച്ച
DocType: Employee Tax Exemption Category,Employee Tax Exemption Category,എംപ്ലോയീസ് ടാക്സ് എക്സംപ്ഷൻ വിഭാഗം
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Amount should not be less than zero.,തുക പൂജ്യത്തേക്കാൾ കുറവായിരിക്കരുത്.
DocType: Sales Invoice,C-Form Applicable,ബാധകമായ സി-ഫോം
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Operation Time must be greater than 0 for Operation {0},ഓപ്പറേഷൻ സമയം ഓപ്പറേഷൻ {0} വേണ്ടി 0 വലുതായിരിക്കണം
DocType: Support Search Source,Post Route String,പോസ്റ്റ് റൂട്ട് സ്ട്രിംഗ്
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Warehouse is mandatory,വെയർഹൗസ് നിർബന്ധമാണ്
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to create website,വെബ്സൈറ്റ് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
DocType: Soil Analysis,Mg/K,എം ജി / കെ
DocType: UOM Conversion Detail,UOM Conversion Detail,UOM പരിവർത്തന വിശദാംശം
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Admission and Enrollment,പ്രവേശനവും എൻറോൾമെന്റും
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Retention Stock Entry already created or Sample Quantity not provided,സൂക്ഷിക്കൽ സ്റ്റോക്ക് എൻട്രി ഇതിനകം സൃഷ്ടിച്ചു അല്ലെങ്കിൽ മാതൃകാ അളവ് നൽകിയിട്ടില്ല
DocType: Program,Program Abbreviation,പ്രോഗ്രാം സംഗ്രഹം
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Voucher (Consolidated),വൗച്ചർ പ്രകാരം ഗ്രൂപ്പ് (സംയോജിത)
DocType: HR Settings,Encrypt Salary Slips in Emails,ഇമെയിലുകളിൽ ശമ്പള സ്ലിപ്പുകൾ എൻക്രിപ്റ്റ് ചെയ്യുക
DocType: Question,Multiple Correct Answer,ഒന്നിലധികം ശരിയായ ഉത്തരം
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Charges are updated in Purchase Receipt against each item,വിചാരണ ഓരോ ഇനത്തിനും നേരെ പർച്ചേസ് രസീതിലെ അപ്ഡേറ്റ്
DocType: Warranty Claim,Resolved By,തന്നെയാണ പരിഹരിക്കപ്പെട്ട
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Discharge,ഷെഡ്യൂൾ ഷെഡ്യൂൾ ചെയ്യുക
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Cheques and Deposits incorrectly cleared,തെറ്റായി മായ്ച്ചു ചെക്കുകൾ ആൻഡ് നിക്ഷേപങ്ങൾ
DocType: Homepage Section Card,Homepage Section Card,ഹോം‌പേജ് വിഭാഗം കാർഡ്
,Amount To Be Billed,ബിൽ ചെയ്യേണ്ട തുക
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: You can not assign itself as parent account,അക്കൗണ്ട് {0}: നിങ്ങൾ പാരന്റ് അക്കൌണ്ട് സ്വയം നിശ്ചയിക്കാന് കഴിയില്ല
DocType: Purchase Invoice Item,Price List Rate,വില പട്ടിക റേറ്റ്
apps/erpnext/erpnext/utilities/activation.py,Create customer quotes,ഉപഭോക്തൃ ഉദ്ധരണികൾ സൃഷ്ടിക്കുക
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be after Service End Date,സർവീസ് അവസാന തീയതിക്കുശേഷം സേവന നിർത്തൽ തീയതി ആകരുത്
DocType: Item,"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","ഈ ഗോഡൗണിലെ ലഭ്യമാണ് സ്റ്റോക്ക് അടിസ്ഥാനമാക്കി &#39;കണ്ടില്ലേ, ഓഹരി ലെ &quot;&quot; സ്റ്റോക്കുണ്ട് &quot;കാണിക്കുക അല്ലെങ്കിൽ."
apps/erpnext/erpnext/config/manufacturing.py,Bill of Materials (BOM),വസ്തുക്കളുടെ ബിൽ (DEL)
DocType: Item,Average time taken by the supplier to deliver,ശരാശരി സമയം വിടുവിപ്പാൻ വിതരണക്കാരൻ എടുത്ത
DocType: Travel Itinerary,Check-in Date,ചെക്ക്-ഇൻ തീയതി
DocType: Sample Collection,Collected By,ശേഖരിച്ചത്
apps/erpnext/erpnext/education/doctype/assessment_plan/assessment_plan.js,Assessment Result,അസസ്മെന്റ് ഫലം
DocType: Hotel Room Package,Hotel Room Package,ഹോട്ടൽ റൂം പാക്കേജ്
DocType: Employee Transfer,Employee Transfer,എംപ്ലോയീസ് ട്രാൻസ്ഫർ
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Hours,മണിക്കൂറുകൾ
DocType: Project,Expected Start Date,പ്രതീക്ഷിച്ച ആരംഭ തീയതി
DocType: Purchase Invoice,04-Correction in Invoice,04-ഇൻവോയ്സിലെ തിരുത്തൽ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Work Order already created for all items with BOM,BOM- ൽ ഉള്ള എല്ലാ ഇനങ്ങൾക്കുമായി സൃഷ്ടിച്ച ഓർഡർ ഇതിനകം സൃഷ്ടിച്ചു
DocType: Bank Account,Party Details,പാർട്ടി വിശദാംശങ്ങൾ
apps/erpnext/erpnext/stock/doctype/item/item.js,Variant Details Report,വേരിയന്റ് വിശദാംശങ്ങൾ റിപ്പോർട്ട് ചെയ്യുക
DocType: Setup Progress Action,Setup Progress Action,സെറ്റപ്പ് പുരോഗതി ആക്ഷൻ
DocType: Course Activity,Video,വീഡിയോ
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Price List,വിലവിപണി വാങ്ങൽ
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Remove item if charges is not applicable to that item,ചാർജ് ആ ഇനത്തിനും ബാധകമായ എങ്കിൽ ഇനം നീക്കം
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Cancel Subscription,സബ്സ്ക്രിപ്ഷൻ റദ്ദാക്കുക
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Maintenance Status as Completed or remove Completion Date,മെയിന്റനന്റ് സ്റ്റാറ്റസ് പൂർത്തിയാക്കുക അല്ലെങ്കിൽ പൂർത്തിയാക്കൽ തീയതി നീക്കം ചെയ്യുക തിരഞ്ഞെടുക്കുക
DocType: Supplier,Default Payment Terms Template,സ്ഥിരസ്ഥിതി പേമെന്റ് നിബന്ധനകൾ ടെംപ്ലേറ്റ്
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Transaction currency must be same as Payment Gateway currency,ഇടപാട് കറൻസി പേയ്മെന്റ് ഗേറ്റ്വേ കറൻസി അതേ ആയിരിക്കണം
DocType: Payment Entry,Receive,സ്വീകരിക്കുക
DocType: Employee Benefit Application Detail,Earning Component,ഘടകം സമ്പാദിക്കുന്നു
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Items and UOMs,പ്രോസസ്സിംഗ് ഇനങ്ങളും UOM- കളും
apps/erpnext/erpnext/regional/italy/utils.py,Please set either the Tax ID or Fiscal Code on Company '%s',കമ്പനിയുടെ &#39;% s&#39; ൽ ടാക്സ് ഐഡി അല്ലെങ്കിൽ ധന കോഡ് സജ്ജമാക്കുക.
apps/erpnext/erpnext/templates/pages/rfq.html,Quotations: ,ഉദ്ധരണികൾ:
DocType: Contract,Partially Fulfilled,ഭാഗികമായി പൂരിപ്പിച്ചു
DocType: Maintenance Visit,Fully Completed,പൂർണ്ണമായി പൂർത്തിയാക്കി
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,"Special Characters except ""-"", ""#"", ""."", ""/"", ""{"" and ""}"" not allowed in naming series","&quot;-&quot;, &quot;#&quot;, &quot;.&quot;, &quot;/&quot;, &quot;{&quot;, &quot;}&quot; എന്നിവ ഒഴികെയുള്ള പ്രത്യേക പ്രതീകങ്ങൾ നാമകരണ ശ്രേണിയിൽ അനുവദനീയമല്ല"
DocType: Purchase Invoice Item,Is nil rated or exempted,റേറ്റുചെയ്തിട്ടില്ല അല്ലെങ്കിൽ ഒഴിവാക്കിയിരിക്കുന്നു
DocType: Employee,Educational Qualification,വിദ്യാഭ്യാസ യോഗ്യത
DocType: Workstation,Operating Costs,ഓപ്പറേറ്റിംഗ് വിലയും
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Currency for {0} must be {1},{0} {1} ആയിരിക്കണം വേണ്ടി കറൻസി
DocType: Shift Type,Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,ഈ ഷിഫ്റ്റിലേക്ക് നിയോഗിച്ചിട്ടുള്ള ജീവനക്കാർക്കായി &#39;എംപ്ലോയി ചെക്ക്ഇൻ&#39; അടിസ്ഥാനമാക്കി ഹാജർ അടയാളപ്പെടുത്തുക.
DocType: Asset,Disposal Date,തീർപ്പ് തീയതി
DocType: Service Level,Response and Resoution Time,പ്രതികരണവും പുനരാരംഭിക്കൽ സമയവും
DocType: Employee Leave Approver,Employee Leave Approver,ജീവനക്കാരുടെ അവധി Approver
apps/erpnext/erpnext/stock/doctype/item/item.py,Row {0}: An Reorder entry already exists for this warehouse {1},വരി {0}: ഒരു പുനഃക്രമീകരിക്കുക എൻട്രി ഇതിനകം ഈ വെയർഹൗസ് {1} നിലവിലുണ്ട്
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.js,Please enter the designation,പദവി നൽകുക
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py,"Cannot declare as lost, because Quotation has been made.","നഷ്ടപ്പെട്ട പോലെ ക്വട്ടേഷൻ വെളിപ്പെടുത്താമോ കാരണം, വർണ്ണിക്കും ചെയ്യാൻ കഴിയില്ല."
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Items for Raw Material Request,അസംസ്കൃത മെറ്റീരിയൽ അഭ്യർത്ഥനയ്ക്കുള്ള ഇനങ്ങൾ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,CWIP Account,CWIP അക്കൗണ്ട്
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Feedback,പരിശീലന പ്രതികരണം
apps/erpnext/erpnext/config/accounting.py,Tax Withholding rates to be applied on transactions.,ഇടപാടുകള്ക്ക് നികുതി പിന്വാങ്ങല് നിരക്കുകള്.
DocType: Supplier Scorecard Criteria,Supplier Scorecard Criteria,വിതരണക്കാരൻ സ്കോർകാർഡ് മാനദണ്ഡം
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Start Date and End Date for Item {0},ഇനം {0} ആരംഭ തീയതിയും അവസാന തീയതി തിരഞ്ഞെടുക്കുക
DocType: Maintenance Schedule,MAT-MSH-.YYYY.-,MAT-MSH- .YYYY.-
,Amount to Receive,സ്വീകരിക്കേണ്ട തുക
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},കോഴ്സ് വരി {0} ലെ നിർബന്ധമായും
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,From date can not be greater than than To date,തീയതി മുതൽ ഇന്നത്തേതിനേക്കാൾ വലുതായിരിക്കരുത്
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,To date cannot be before from date,ഇന്നുവരെ തീയതി മുതൽ മുമ്പ് ആകാൻ പാടില്ല
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Non GST Inward Supplies,ജിഎസ്ടി അല്ലാത്ത ആന്തരിക വിതരണങ്ങൾ
DocType: Employee Group Table,Employee Group Table,ജീവനക്കാരുടെ ഗ്രൂപ്പ് പട്ടിക
DocType: Packed Item,Prevdoc DocType,Prevdoc DocType
DocType: Cash Flow Mapper,Section Footer,വിഭാഗം അടിക്കുറിപ്പ്
apps/erpnext/erpnext/stock/doctype/item/item.js,Add / Edit Prices,എഡിറ്റ് വിലകൾ / ചേർക്കുക
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Employee Promotion cannot be submitted before Promotion Date ,പ്രമോഷൻ തീയതിക്ക് മുമ്പായി ജീവനക്കാർ പ്രമോഷൻ സമർപ്പിക്കാൻ കഴിയില്ല
DocType: Batch,Parent Batch,പാരന്റ് ബാച്ച്
DocType: Batch,Parent Batch,പാരന്റ് ബാച്ച്
DocType: Cheque Print Template,Cheque Print Template,ചെക്ക് പ്രിന്റ് ഫലകം
DocType: Salary Component,Is Flexible Benefit,ഫ്ലെക്സിബിൾ ബെനിഫിറ്റ്
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Chart of Cost Centers,ചെലവ് സെന്റേഴ്സ് ചാർട്ട്
DocType: Subscription Settings,Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,സബ്സ്ക്രിപ്ഷൻ റദ്ദാക്കുന്നതിന് മുമ്പായി ഇൻവോയ്സ് തീയതി കഴിഞ്ഞതിന് ശേഷമുള്ള ദിവസങ്ങൾ അല്ലെങ്കിൽ അടയ്ക്കപ്പെടാത്തതായി സബ്സ്ക്രിപ്ഷൻ അടയാളപ്പെടുത്തുന്നു
DocType: Clinical Procedure Template,Sample Collection,സാമ്പിൾ ശേഖരണം
,Requested Items To Be Ordered,ക്രമപ്പെടുത്തിയ അഭ്യർത്ഥിച്ചു ഇനങ്ങൾ
DocType: Price List,Price List Name,വില പട്ടിക പേര്
DocType: Delivery Stop,Dispatch Information,ഡിസ്പാച്ച് വിവരം
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from submitted document,സമർപ്പിച്ച പ്രമാണത്തിൽ നിന്ന് മാത്രമേ ഇ-വേ ബിൽ JSON സൃഷ്ടിക്കാൻ കഴിയൂ
DocType: Blanket Order,Manufacturing,ണം
,Ordered Items To Be Delivered,പ്രസവം ഉത്തരവിട്ടു ഇനങ്ങൾ
DocType: Account,Income,ആദായ
DocType: Industry Type,Industry Type,വ്യവസായം തരം
apps/erpnext/erpnext/templates/includes/cart.js,Something went wrong!,എന്തോ കുഴപ്പം സംഭവിച്ചു!
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Warning: Leave application contains following block dates,മുന്നറിയിപ്പ്: വിടുക അപേക്ഷ താഴെ ബ്ലോക്ക് തീയതി അടങ്ങിയിരിക്കുന്നു
DocType: Bank Statement Settings,Transaction Data Mapping,ഇടപാട് ഡാറ്റ മാപ്പിംഗ്
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Invoice {0} has already been submitted,സെയിൽസ് ഇൻവോയിസ് {0} ഇതിനകം സമർപ്പിച്ചു
DocType: Salary Component,Is Tax Applicable,നികുതി ബാധകമാണ്
DocType: Supplier Scorecard Scoring Criteria,Score,സ്കോർ
