Pension Funds,Пенсионные фонды
All the mandatory Task for employee creation hasn't been done yet.,Все обязательные задачи по созданию сотрудника еще не выполнены.
The minimum length between each plant in the field for optimum growth,Минимальная длина между каждым растением в поле для оптимального роста
Applicable on Purchase Order,Применимо к заказу на покупку
Receive at Warehouse,Получить на складе
Is Income Tax Expense,Является ли подоходный налог
Make Difference Entry,Внесите изменения
Total (Credit),Всего (Кредит)
The Brand,Бренд
Item 3,Пункт 3
Deferred Expense Account,Счет отложенных расходов
Accumulated Depreciation Amount,Накопленная сумма амортизации
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: МВЗ является обязательным для позиции {2}
No accounting entries for the following warehouses,Нет учетных записей для следующих складов
Please save first,"Пожалуйста, сохраните сначала"
Extra Small,Очень маленький
Assessment Group,Оценочная группа
UOM,UOM
Bills raised by Suppliers.,"Счета, выставленные поставщиками."
HR User,Пользователь HR
Profit for the year,Прибыль за год
Medical Code,Медицинский кодекс
Update bank payment dates with journals.,Обновите даты банковских платежей с помощью журналов.
Current Assets,Текущие активы
Row #{0}: Asset {1} does not belong to company {2},Строка # {0}: актив {1} не принадлежит компании {2}
Contact Person,Контактное лицо
{0} - {1} is not enrolled in the Batch {2},{0} - {1} не зарегистрирован в партии {2}
Holiday List Name,Название списка праздников
Collection Temperature ,Температура сбора
Manage Appointment Invoice submit and cancel automatically for Patient Encounter,"Управлять назначением счетов-фактур, отправлять и отменять автоматически для встречи с пациентом"
Claim Date,Дата претензии
Leave blank if the Supplier is blocked indefinitely,"Оставьте пустым, если Поставщик заблокирован на неопределенный срок"
Attendance From Date and Attendance To Date is mandatory,Посещаемость от даты и посещаемости до даты обязательна
Out of Warranty,По истечении гарантийного срока
Same item cannot be entered multiple times.,Один и тот же элемент не может быть введен несколько раз.
Select students manually for the Activity based Group,Выберите студентов вручную для группы на основе деятельности
Series Updated,Серия обновлена
Date Of Retirement,Дата выхода на пенсию
Please select Patient,"Пожалуйста, выберите пациента"
Straight Line,Прямая линия
No of Sent SMS,Нет отправленных SMS
GST Itemised Sales Register,GST Детализированный регистр продаж
Total advance amount cannot be greater than total sanctioned amount,"Общая сумма аванса не может превышать сумму, на которую наложены санкции"
Test Name,Название теста
Total Billing Amount (via Time Sheet),Общая сумма выставления счетов (через табель рабочего времени)
Quotation {0} is cancelled,Предложение {0} отменено
Clear values,Очистить значения
Traceability,прослеживаемость
Same Company is entered more than once,Одна и та же компания вводится более одного раза
Contact Name,Контактное лицо
Is Internal Customer,Внутренний клиент
Account Head,Начальник счета
Lower Income,Низкий доход
Start date should be less than end date for task {0},Дата начала должна быть меньше даты окончания задачи {0}
Customer Service,Обслуживание клиентов
Fee,плата
BOM {0} does not belong to Item {1},Спецификация {0} не принадлежит элементу {1}
Daily Work Summary Group,Сводная группа по ежедневной работе
Customizing Forms,Настройка форм
Cancel Material Visit {0} before cancelling this Warranty Claim,Отмена материала Посетите {0} перед отменой этой претензии по гарантии
Ignore Pricing Rule,Игнорировать правило ценообразования
Food,питание
Lost Reason Detail,Потерянная причина подробно
Customer Feedback,Обратная связь с клиентом
Warranty / AMC Details,Гарантия / AMC Подробнее
Opening Time,Время открытия
View a list of all the help videos,Просмотр списка всех видео справки
Party Account Currency,Валюта счета участника
Please select a field to edit from numpad,"Пожалуйста, выберите поле для редактирования из Numpad"
Assessment Plan Criteria,Критерии плана оценки
Item Fields,Поля предметов
Manage Sales Partners.,Управление партнерами по продажам.
"Cannot declare as lost, because Quotation has been made.","Невозможно объявить потерянным, потому что предложение составлено."
"Here you can maintain family details like name and occupation of parent, spouse and children","Здесь вы можете сохранить данные о семье, такие как имя и род занятий родителя, супруга и детей"
Shipping City,Город доставки
Update Items,Обновить элементы
Customer Ledger Summary,Сводная книга клиентов
B Positive,B Положительный
Accounting journal entries.,Записи бухгалтерского журнала.
Purchase Order Required,Требуется заказ на покупку
New Student Batch,Новая студенческая партия
Account Type,тип аккаунта
Fuel Type,Тип топлива
Email sent to {0},Письмо отправлено на {0}
Change Release Date,Изменить дату выпуска
Default BOM for {0} not found,Спецификация по умолчанию для {0} не найдена
HSN-wise-summary of outward supplies,HSN-wise-сводка внешних поставок
Appointments and Encounters,Назначения и встречи
Tax Withholding Category,Категория удержания налогов
Linked Doctype,Связанный Doctype
Cost of Goods Sold,Стоимость проданных товаров
Reading 3,Чтение 3
Group by Voucher,Группа по ваучеру
Delivered Items To Be Billed,Поставленные товары должны быть выставлены счета
Employee Transfer Details,Сведения о переводе сотрудника
Company registration numbers for your reference. Tax numbers etc.,Регистрационные номера компаний для вашей справки. Налоговые номера и т. Д.
Serial No {0} does not belong to Warehouse {1},Серийный номер {0} не принадлежит складу {1}
Del,Del
on,на
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Здесь вы можете определить все задачи, которые необходимо выполнить для этой культуры. Поле дня используется для указания дня, в который нужно выполнить задачу, 1 - 1-й день и т. Д."
Task,задача
Help HTML,Справка HTML
Dosage by time interval,Дозировка по временному интервалу
Batch Description,Описание партии
Please set associated account in Tax Withholding Category {0} against Company {1},Установите соответствующий аккаунт в категории удержания налогов {0} против компании {1}
Needs Analysis,Анализ потребностей
Allocated Leaves,Выделенные листья
Transaction Details,Детали транзакции
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Опубликуйте &quot;В наличии&quot; или &quot;Нет в наличии&quot; на хабе в зависимости от наличия на этом складе.
Company name not same,Название компании не совпадает
Employee Promotion cannot be submitted before Promotion Date ,Акция сотрудника не может быть подана до даты Акции
Not allowed to update stock transactions older than {0},Не разрешено обновлять сделки с акциями старше {0}
Start date should be less than end date for Item {0},Дата начала должна быть меньше даты окончания для элемента {0}
Create customer quotes,Создание цитат клиентов
Buying Settings,Настройки покупки
Restaurant Menu Item,Пункт меню ресторана
Calculate Total Score,Рассчитать общий балл
Issue Type,Тип проблемы
Start date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Дата начала задания <b>{0}</b> не может быть больше <b>{1}</b> ожидаемой даты окончания <b>{2}</b>
Balance Value,Балансовая стоимость
Groups,группы
Target warehouse in row {0} must be same as Work Order,Целевой склад в строке {0} должен совпадать с рабочим заданием
Serial Number: {0} is already referenced in Sales Invoice: {1},Серийный номер: {0} уже указан в счете на продажу: {1}
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Если Shopify не содержит клиента в заказе, то при синхронизации заказов система будет считать клиента по умолчанию для заказа."
Shopify Tax Account,Налоговый счет Shopify
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,"Пожалуйста, убедитесь, что вы действительно хотите удалить все транзакции для этой компании. Ваши основные данные останутся такими, как есть. Это действие не может быть отменено."
Auto Repeat Detail,Авто повтор деталей
Please supply the specified items at the best possible rates,"Пожалуйста, предоставьте указанные товары по лучшим ценам"
{0} in row {1},{0} в строке {1}
Job Card Time Log,Журнал учета рабочего времени
Patient Demographics,Пациент Демография
To Folio No,В фолио нет
Cash Flow from Operations,Денежный поток от операций
Allow Negative Stock,Разрешить отрицательный запас
None of the items have any change in quantity or value.,Ни один из предметов не имеет каких-либо изменений в количестве или стоимости.
Purchase Date,Дата покупки
Bank Statement Transaction Settings Item,Элемент настроек транзакции выписки по счету
BOM Stock Report,BOM Stock Report
Write Off,Списать
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Строка {0}: ожидаемая стоимость после срока полезного использования должна быть меньше суммы валовой покупки
Personal Bio,Персональная биография
Duplicate Entry. Please check Authorization Rule {0},"Двойная запись. Пожалуйста, проверьте Правило Авторизации {0}"
Employee {0} has already applied for {1} on {2} : ,Сотрудник {0} уже подал заявку на {1} в {2}:
Standard Selling,Стандартные продажи
Invoiced,Фактурная
User {0} already exists,Пользователь {0} уже существует
Profit and Loss,Прибыль и убыток
Diff Qty,Diff Qty
Written Down Value,Записанное значение
Opening Balance Equity,Начальный баланс эквити
April,апрель
Credit Limit,Кредитный лимит
Distribution,распределение
debit_note_amt,debit_note_amt
Inspected By,Проверено
Get Items from Product Bundle,Получить товары из комплекта продуктов
Employee Benefit Claim,Заявка на получение пособия
Clearance Date not mentioned,Дата оформления не указана
Default Receivable Account,Учетная запись по умолчанию
Check if it is a hydroponic unit,"Проверьте, является ли это гидропонной единицей"
Others,другие
Patient Appointment,Назначение пациента
AB Positive,AB Positive
Depreciation Date,Дата амортизации
Upcoming Calendar Events,Предстоящие события в календаре
"Appraisals, Expense Claims and Loans","Оценки, расходы и кредиты"
Create Student Batch,Создать студенческую партию
Travel Advance Required,Требуется предварительное путешествие
Orders released for production.,Заказы выпущены на производство.
Collection Rules,Правила сбора
Disable CWIP Accounting,Отключить учет CWIP
Item Code &gt; Item Group &gt; Brand,Код товара&gt; Группа товаров&gt; Марка
Section Based On,Раздел на основе
{0} already allocated for Employee {1} for period {2} to {3},{0} уже выделено для Сотрудника {1} на период {2} - {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Строка {0}: От времени и времени {1} перекрывается с {2}
Very Hyper,Очень гипер
Select the nature of your business.,Выберите характер вашего бизнеса.
Please select month and year,"Пожалуйста, выберите месяц и год"
Student Log,Студенческий журнал
Enable Checkout,Включить оформление заказа
Human Resources,Отдел кадров
Total Value Difference (Out - In),Разница в общей стоимости (Out-In)
Actual End Time,Фактическое время окончания
Setting up Taxes,Настройка налогов
Net Cash from Investing,Чистые денежные средства от инвестирования
Accounting Ledger,Бухгалтерская книга
Item Group Tree,Дерево группы товаров
'Total',&#39;Всего&#39;
Item 1,Элемент 1
Student Batches,Студенческие партии
"Attach .csv file with two columns, one for the old name and one for the new name","Прикрепите файл .csv с двумя столбцами, один для старого имени и один для нового имени"
outstanding_amount,outstanding_amount
Susceptible,восприимчивый
Total (Company Currency),Всего (валюта компании)
Website Content,Содержание сайта
Driving License Category,Категория водительских прав
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Строка № {0}: ожидаемая дата поставки не может быть раньше даты заказа на покупку
Make Payment,Производить оплату
Party Type is mandatory,Тип вечеринки обязателен
The fields From Shareholder and To Shareholder cannot be blank,Поля От акционера и Акционеру не могут быть пустыми
Quality Management,Управление качеством
Transfer Material Against,Передача материала против
Temporarily on Hold,Временно в ожидании
Connect Shopify with ERPNext,Подключите Shopify с ERPNext
Subtitle,подзаголовок
Loam,суглинок
Scrap Material Cost(Company Currency),Стоимость материала лома (валюта компании)
Delivery Note {0} must not be submitted,Накладная {0} не должна быть отправлена
Actual Start Date (via Time Sheet),Фактическая дата начала (через табель рабочего времени)
Delivery Date,Дата доставки
Item Shortage Report,Отчет о нехватке товаров
Price Determination,Определение цены
Retail & Wholesale,Розница Опт
Twice Daily,Дважды в день
Integrated Tax,Интегрированный налог
Deductions or Loss,Отчисления или убытки
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Фискальный режим является обязательным, любезно установите фискальный режим в компании {0}"
Time slots added,Добавлены временные интервалы
Leaves must be allocated in multiples of 0.5,"Листья должны быть распределены кратно 0,5"
Amount {0} {1} deducted against {2},Сумма {0} {1} вычтена из суммы {2}
Payment Reconciliation Payment,Согласование платежей
Template of terms or contract.,Шаблон условий или договора.
Barcodes,штрихкоды
Enrollment Date,Дата поступления на работу
Clear Table,Очистить таблицу
Setting up company,Создание компании
Free item code is not selected,Бесплатный код товара не выбран
Total Unpaid: {0},Всего неоплачено: {0}
Balance must be,Баланс должен быть
Default Bank Account,Банковский счет по умолчанию
Creating Fees,Создание сборов
Please select Qty against item {0},"Пожалуйста, выберите Кол-во против пункта {0}"
Do not confirm if appointment is created for the same day,"Не подтверждать, если встреча создана на тот же день"
Repaid/Closed,Возвращенный / Closed
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,"Строка {0}: {1} Серийные номера, необходимые для элемента {2}. Вы предоставили {3}."
Gain/Loss,Прибыль / убыток
Sales Invoice Payment,Оплата счета-фактуры
Payslip,листка
HSN,HSN
Request for quotation.,Запрос цен.
Procurement Tracker,Отслеживание закупок
Type of Proof,Тип доказательства
Vehicle Date,Дата автомобиля
Dispatch Settings,Настройки отправки
Dependencies,зависимости
Lost,Потерял
Replace BOM,Заменить спецификацию
Marital Status,Семейное положение
Enter retirement age in years,Введите пенсионный возраст в годах
No items listed,Нет предметов в списке
No data to export,Нет данных для экспорта
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,"Выберите «Перенести вперед», если вы также хотите включить балансовые листы за предыдущий финансовый год в этот финансовый год."
Opening Stock Balance,Открытие баланса акций
Leave Blocked,Оставить заблокированным
Asset Category is mandatory for Fixed Asset item,Категория актива является обязательной для элемента «Фиксированный актив»
Required By,Требуется
Add to Details,Добавить к деталям
Inactive Customers,Неактивные клиенты
Dosage,дозировка
Starting position from top edge,Начальная позиция от верхнего края
Appointment Duration (mins),Продолжительность встречи (мин)
Disable,запрещать
Purchase Orders to Receive,Заказы на покупку для получения
Productions Orders cannot be raised for:,Производственные заказы не могут быть получены для:
Ignore Employee Time Overlap,Игнорировать перекрытие рабочего времени
Trainings,Тренинги
Lost Reasons,Потерянные Причины
A Positive,Положительный
Reading 7,Чтение 7
Serial No,Серийный номер
Required Quantity,Необходимое количество
Parent Location,Родительское местоположение
Material Requests,Материальные Запросы
Material Transferred for Subcontract,Материал передан для субконтракта
Timing Detail,Деталь времени
Required On,Требуется на
Importing {0} of {1},Импорт {0} из {1}
Job Offer Term,Срок предложения работы
All Contact,Все контакты
Project Task,Задача проекта
Item Barcode,Штрих-код товара
Stock Levels,Уровни акций
Height (In Meter),Высота (в метрах)
Order Value,Ценность заказа
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Все транзакции продаж могут быть помечены для нескольких ** торговых представителей **, так что вы можете устанавливать и отслеживать цели."
You have already selected items from {0} {1},Вы уже выбрали элементы из {0} {1}
Get Suppliers,Получить поставщиков
Contribution (%),Вклад (%)
Cannot set a received RFQ to No Quote,Невозможно установить полученный RFQ в No Quote
Create Sales Order,Создать заказ клиента
Account: {0} can only be updated via Stock Transactions,Аккаунт: {0} может быть обновлен только через транзакции с акциями
{0} Request for {1},{0} Запрос на {1}
Please select a value for {0} quotation_to {1},"Пожалуйста, выберите значение для {0} quotation_to {1}"
Opportunity Date,Дата возможности
Next Steps,Следующие шаги
Training Feedback,Отзывы об обучении
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Всего праздников
Fertilizer Name,Название удобрения
House rented dates required for exemption calculation,"Даты аренды дома, необходимые для расчета освобождения"
Expiring Memberships,Срок действия членства
Supplier(s),Поставщик (ы)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Настройте серию нумерации для Посещаемости через Настройка&gt; Серия нумерации
To Rename,Переименовать
Contact Us,Связаться с нами
Cashier,Касса
Hour,Час
Show Latest Forum Posts,Показать последние сообщения на форуме
Distributor,дистрибьютор
"Please add the remaining benefits {0} to the application as \
				pro-rata component","Пожалуйста, добавьте оставшиеся преимущества {0} в приложение как компонент \ pro-rata"
Short Term Loan Account,Краткосрочный кредитный счет
Section Subtotal,Итого по разделу
Material Request to Purchase Order,Запрос материала для заказа на поставку
CESS Amount,Сумма CESS
Not authorized to edit frozen Account {0},Нет прав на редактирование замороженной учетной записи {0}
Expected Amount,Ожидаемая сумма
Default Price List,Прайс-лист по умолчанию
No Items selected for transfer,"Нет объектов, выбранных для передачи"
Payment Amount,Сумма оплаты
Assessment  Manager,Менеджер по оценке
Chemical,химикат
Assessment Reports,Отчеты об оценке
IV,IV
Academic,академический
Item {0} is not setup for Serial Nos. Check Item master,Элемент {0} не настроен для серийных номеров. Проверьте основной элемент
From State,От государства
Maximum Continuous Days Applicable,Максимальное количество непрерывных дней
Support Team.,Команда поддержки.
Please enter company name first,"Пожалуйста, сначала введите название компании"
Import Successful,Импорт успешен
Alternate Number,Альтернативный номер
All Departments,Все отделы
Make project from a template.,Сделать проект из шаблона.
Inter Company Order Reference,Inter Company Order Reference
Work Order {0} must be cancelled before cancelling this Sales Order,Рабочий заказ {0} должен быть отменен перед отменой этого Заказа на продажу
Employee Number,Число работников
Avg. Buying Rate,Avg. Скорость покупки
Capacity Planning For (Days),Планирование мощности на (дней)
From value must be less than to value in row {0},Значение должно быть меньше значения в строке {0}
Select BOM and Qty for Production,Выберите спецификацию и кол-во для производства
Price List Country,Прайс-лист Страна
Create Tax Template,Создать налоговый шаблон
Numeric Values,Числовые значения
Instructions,инструкции
Blanket Order Item,Оформление заказа
Commission rate cannot be greater than 100,Комиссия не может быть больше 100
Course Topic,Тема курса
This will restrict user access to other employee records,Это ограничит доступ пользователей к другим записям сотрудников
Please create Customer from Lead {0},"Пожалуйста, создайте клиента из Lead {0}"
Company Settings,Настройки компании
Vegetarian,вегетарианец
"An item exists with same name ({0}), please change the item group name or rename the item","Элемент существует с тем же именем ({0}), пожалуйста, измените имя группы элементов или переименуйте элемент"
Hotel Room Type,Тип номера отеля
Cash Flow,Денежный поток
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Платеж за {0} {1} не может быть больше неоплаченной суммы {2}
Achievement,Достижение
Add Multiple Tasks,Добавить несколько задач
Item Variant {0} already exists with same attributes,Вариант элемента {0} уже существует с такими же атрибутами
Invoice {0} no longer exists,Счет-фактура {0} больше не существует
Will also apply for variants unless overrridden,"Будет также применяться к вариантам, если не отменено"
Account,учетная запись
To Deliver,Доставлять
Customers Without Any Sales Transactions,Клиенты без каких-либо продаж
Against Document No,Против документа №
Content Masters,Мастера контента
Subscription Management,Управление подписками
Get customers from,Получить клиентов из
{0} Digest,{0} Дайджест
Reports to,Отчеты
Party Account,Партийный аккаунт
Schedule,График
Please enter ,"Пожалуйста, введите"
Channel Partner,Партнер канала
Invoiced Amount,Сумма выставленного счета
From Template,Из шаблона
Subscriptions,Подписки
Quantity to Make,"Количество, чтобы сделать"
Achieved,достигнутый
Contribution Amount,Сумма взноса
Fiscal Year,Отчетный год
Prevent RFQs,Предотвратить запрос предложений
Discount Received Account,Аккаунт получен со скидкой
 (Half Day),(Полдня)
Email Digest,Дайджест электронной почты
Crop,урожай
Profit & Loss,Потеря прибыли
Section Order,Раздел Заказ
Result Printed,Результат напечатан
Student Group,Студенческая группа
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Стандартный налоговый шаблон, который можно применять ко всем транзакциям покупки. Этот шаблон может содержать список заголовков налогов, а также других заголовков расходов, таких как «Доставка», «Страхование», «Обработка» и т. Д. *. Если есть ** Позиции **, которые имеют разные тарифы, они должны быть добавлены в таблицу ** Позиция налога ** в мастере ** Позиция **. #### Описание столбцов 1. Тип расчета: - Это может быть ** Чистая сумма ** (то есть сумма базовой суммы). - ** На предыдущей строке Всего / Сумма ** (для кумулятивных налогов или сборов). Если вы выберете эту опцию, налог будет применяться в процентах от предыдущей строки (в таблице налогов) к сумме или итоговой сумме. - ** Фактический ** (как уже упоминалось). 2. Глава счета: регистр счета, по которому будет зачислен этот налог. 3. Учетный отдел. Если налог / сбор представляет собой доход (например, отгрузка) или расходы, его необходимо зарегистрировать в отношении учетного центра. 4. Описание: описание налога (которое будет напечатано в счетах / предложениях). 5. Ставка: ставка налога. 6. Сумма: сумма налога. 7. Итого: кумулятивный итог на данный момент. 8. Введите строку: если на основе «Итога предыдущей строки» вы можете выбрать номер строки, который будет взят за основу для этого вычисления (по умолчанию используется предыдущая строка). 9. Рассмотрите Налог или Сбор за: В этом разделе вы можете указать, является ли налог / сбор только для оценки (не является частью общей суммы) или только для общей суммы (не добавляет стоимости к статье), или для обеих. 10. Добавить или удержать: хотите ли вы добавить или вычесть налог."
Connect to Quickbooks,Подключиться к Quickbooks
Root cannot be edited.,Корень не может быть отредактирован.
Engineer,инженер
Row #{0}: Item added,Строка № {0}: пункт добавлен
Eligibility and Details,Право и детали
Staffing Plan Detail,Детальный план персонала
Annual Income,Годовой доход
Subscription Section,Раздел подписки
Payment Days,Дни оплаты
Volunteer information.,Информация для волонтеров.
`Freeze Stocks Older Than` should be smaller than %d days.,&#39;Freeze Stocks Older Than&#39; должно быть меньше% d дней.
Select Fiscal Year,Выберите финансовый год
Total Amount,Итого
Non Profit,Некоммерческая
Cancel Invoice After Grace Period,Отменить счет после льготного периода
Loyalty Points,Очки лояльности
Set Target Warehouse,Установить целевой склад
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.","{0} в настоящее время имеет {1} оценочную карточку поставщика, и запросы к этому поставщику следует выдавать с осторожностью."
Check-in Date,Дата заезда
Round Off Account,Круглый счет
Warranty Period (Days),Гарантийный срок (дни)
Expense Claim Detail,Подробная информация о расходах
Program: ,Программа:
Patient Medical Record,Медицинская карта пациента
Action Description,Описание действия
Variant Based On,Вариант на основе
Brake Oil,Тормозное масло
Create User,Создать пользователя
Codification Table,Таблица кодификации
Optional,Необязательный
Show Leaves Of All Department Members In Calendar,Показать листья всех сотрудников отдела в календаре
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Не найден переданный элемент {0} в рабочем задании {1}, элемент не добавлен в записи запаса"
See all open tickets,Посмотреть все открытые билеты
Operations cannot be left blank,Операции нельзя оставлять пустыми
At least one mode of payment is required for POS invoice.,Для POS-счета требуется как минимум один способ оплаты.
Guardian1 Email ID,Идентификатор электронной почты Guardian1
Supplier delivers to Customer,Поставщик доставляет заказчику
Appointment Booked,Назначение забронировано
Target Warehouse,Целевой склад
Stale Days,Несвежие дни
Row {0}: Credit entry can not be linked with a {1},Строка {0}: запись о кредите не может быть связана с {1}
Healthcare Practitioner {0} not available on {1},Практикующий врач {0} недоступен {1}
All Customer Contact,Все контакты с клиентами
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Сохранить образец на основе партии, пожалуйста, проверьте Есть ли партия Нет, чтобы сохранить образец позиции"
Disc,диск
Make Accounting Entry For Every Stock Movement,Ввести учетную запись для каждого движения запаса
Check-out Date,Проверить дату
Fertilizer,удобрение
Default Tax Withholding Config,Конфигурация удержания налогов по умолчанию
Total Produced Qty,Всего произведено кол-во
Leave Period,Период отпуска
Payment request {0} created,Запрос на платеж {0} создан
UOM Conversion in Hours,UOM конвертация в часах
Avg. Selling Price List Rate,Avg. Прейскурант цен
Generate Material Requests (MRP) and Work Orders.,Генерация запросов материалов (ППМ) и рабочих заданий.
Account Balance,Баланс
Periodicity,периодичность
Medical Record,Медицинская запись
Execution,выполнение
Valuation Method,Метод оценки
{0} against Sales Invoice {1},{0} по счету-фактуре {1}
Pass,Проходить
Sales Partner Target,Цель партнера по продажам
Referring Practitioner,Направляющий практик
Expenses Included In Asset Valuation,"Расходы, включенные в оценку активов"
Publishing,Издательский
Sales Orders Detail,Деталь заказов на продажу
Total Deduction,Всего вычетов
EMI,EMI
Set prefix for numbering series on your transactions,Установить префикс для нумерации серий на ваших транзакциях
Journal Entries {0} are un-linked,Записи в журнале {0} не связаны
Other Reports,Другие отчеты
All items have already been invoiced,Все товары уже выставлены
Asset scrapped via Journal Entry {0},Актив списан через запись в журнале {0}
Prefered Email,Предпочитаемый адрес электронной почты
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Невозможно изменить метод оценки, поскольку существуют транзакции с некоторыми товарами, у которых нет собственного метода оценки."
Section Name,Название раздела
Packed Item,Упакованный товар
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: для {2} требуется сумма дебета или кредита
Submitting Salary Slips...,Отправка зарплатных квитанций ...
No Action,Бездействие
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Бюджет нельзя назначить для {0}, так как он не является счетом доходов или расходов"
Masters and Accounts,Мастера и Счета
Responsible Individual,Ответственный человек
Total Weightage of all Assessment Criteria must be 100%,Общий вес всех критериев оценки должен составлять 100%
An error occurred during the update process,Произошла ошибка в процессе обновления
Customer Name,имя покупателя
Amount should not be less than zero.,Сумма не должна быть меньше нуля.
Average Age,Средний возраст
Show Price,Показать цену
Program Enrollment Tool Student,Инструмент Зачисления в Программу Студент
Shipping State,Государство отгрузки
Please set Company,"Пожалуйста, укажите компанию"
Balance (Dr - Cr),Баланс (Dr - Cr)
Supply Type,Тип поставки
Create documents for sample collection,Создание документов для сбора образцов
Close Opportunity After Days,Закрыть возможность после нескольких дней
Ref Code,Код ссылки
Widowed,овдовевший
ERPNext Company,Компания ERPNext
Leave blank to use the standard Delivery Note format,"Оставьте пустым, чтобы использовать стандартный формат накладной"
Accepted Qty,Принятый Кол-во
Apply Rule On Brand,Применить правило на бренд
Show Availability Status,Показать статус доступности
Import Successfull,Импорт успешен
Soil Texture,Текстура почвы
No of Visits,Нет посещений
Qualitative Feedback,Качественная обратная связь
Response and Resoution Time,Время отклика и восстановления
Expiring On,Срок действия истекает
Scorecard Actions,Действия системы показателей
Stock Adjustment,Регулировка запасов
Health Care,Здравоохранение
No of Seats,Нет мест
Delete all the Transactions for this Company,Удалить все транзакции для этой компании
Lead Details,Привести детали
Default Service Level Agreement,Соглашение об уровне обслуживания по умолчанию
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Поля фильтра Строка # {0}: имя поля <b>{1}</b> должно иметь тип &quot;Link&quot; или &quot;Table MultiSelect&quot;
Suggestions,Предложения
Get from,Получить от
Tax Rule,Налоговое Правило
