DocType: Accounting Period,Period Name,সময়কালের নাম
apps/erpnext/erpnext/setup/doctype/company/company.js,Date of Commencement should be greater than Date of Incorporation,প্রবর্তনের তারিখ অন্তর্ভুক্তির তারিখের চেয়ে বেশি হওয়া উচিত
DocType: Contract,Signed On,স্বাক্ষরিত
DocType: Bank Account,Party Type,পার্টি শ্রেণী
DocType: Discounted Invoice,Discounted Invoice,ছাড়যুক্ত চালান
DocType: Payment Schedule,Payment Schedule,অর্থ প্রদানের সময়সূচী
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,No Employee found for the given employee field value. '{}': {},প্রদত্ত কর্মচারীর ক্ষেত্রের মানটির জন্য কোনও কর্মচারী পাওয়া যায় নি। &#39;{}&#39;: {
DocType: Item Attribute Value,Abbreviation,সংক্ষেপ
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry already exists,পেমেন্ট এণ্ট্রি আগে থেকেই আছে
DocType: Course Content,Quiz,ব্যঙ্গ
DocType: Subscription,Trial Period End Date,ট্রায়াল সময়কাল শেষ তারিখ
apps/erpnext/erpnext/setup/doctype/authorization_control/authorization_control.py,Not authroized since {0} exceeds limits,"{0} সীমা অতিক্রম করে, যেহেতু authroized না"
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Start entering data from here : ,এখান থেকে ডেটা প্রবেশ করা শুরু করুন:
DocType: Serial No,Asset Status,সম্পদ স্থিতি
DocType: Sales Invoice,Over Dimensional Cargo (ODC),ডাইমেনশনাল কার্গো ওভার (ওডিসি)
DocType: Restaurant Order Entry,Restaurant Table,রেস্টুরেন্ট টেবিল
DocType: Hotel Room,Hotel Manager,হোটেল ব্যবস্থাপক
apps/erpnext/erpnext/utilities/activation.py,Create Student Batch,ছাত্র ব্যাচ তৈরি করুন
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Set Tax Rule for shopping cart,শপিং কার্ট জন্য সেট করের রুল
DocType: Purchase Invoice,Taxes and Charges Added,কর ও চার্জ যোগ
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,হ্রাস সারি {0}: পরবর্তী অবচয় তারিখটি আগে উপলব্ধ নাও হতে পারে ব্যবহারের জন্য তারিখ
,Sales Funnel,বিক্রয় ফানেল
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation is mandatory,সমাহার বাধ্যতামূলক
DocType: Project,Task Progress,টাস্ক অগ্রগতি
apps/erpnext/erpnext/templates/includes/navbar/navbar_items.html,Cart,কার্ট
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_settings.py,Bank account {0} already exists and could not be created again,ব্যাংক অ্যাকাউন্ট {0} ইতিমধ্যে বিদ্যমান এবং আবার তৈরি করা যায়নি
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Missed,মিস মিস কল
DocType: Certified Consultant,GitHub ID,GitHub ID
DocType: Staffing Plan,Total Estimated Budget,মোট আনুমানিক বাজেট
,Qty to Transfer,স্থানান্তর করতে Qty
apps/erpnext/erpnext/config/selling.py,Quotes to Leads or Customers.,বিশালাকার বা গ্রাহকরা কোট.
DocType: Stock Settings,Role Allowed to edit frozen stock,ভূমিকা হিমায়িত শেয়ার সম্পাদনা করতে পারবেন
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Customer Groups,সকল গ্রাহকের গ্রুপ
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Accumulated Monthly,সঞ্চিত মাসিক
DocType: Attendance Request,On Duty,কাজে আছি
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} বাধ্যতামূলক. হয়তো মুদ্রা বিনিময় রেকর্ড {1} {2} করার জন্য তৈরি করা হয় না.
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py,Staffing Plan {0} already exist for designation {1},স্টাফিং প্ল্যান {0} ইতিমধ্যে পদায়ন জন্য বিদ্যমান {1}
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,Tax Template is mandatory.,ট্যাক্স টেমপ্লেট বাধ্যতামূলক.
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Last Issue,শেষ ইস্যু
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} does not exist,অ্যাকাউন্ট {0}: মূল অ্যাকাউন্ট {1} অস্তিত্ব নেই
DocType: Bank Account,Mask,মাস্ক
DocType: POS Closing Voucher,Period Start Date,সময়ের শুরু তারিখ
DocType: Purchase Invoice Item,Price List Rate (Company Currency),মূল্যতালিকা হার (কোম্পানি একক)
DocType: Products Settings,Products Settings,পণ্য সেটিংস
,Item Price Stock,আইটেম মূল্য স্টক
apps/erpnext/erpnext/config/retail.py,To make Customer based incentive schemes.,গ্রাহক ভিত্তিক উদ্দীপক প্রকল্পগুলি তৈরি করতে।
DocType: Lab Prescription,Test Created,টেস্ট তৈরি হয়েছে
DocType: Healthcare Settings,Custom Signature in Print,প্রিন্ট কাস্টম স্বাক্ষর
DocType: Account,Temporary,অস্থায়ী
DocType: Material Request Plan Item,Customer Provided,গ্রাহক সরবরাহ করেছেন
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Customer LPO No.,গ্রাহক এলপিও নম্বর
DocType: Amazon MWS Settings,Market Place Account Group,বাজার স্থান অ্যাকাউণ্ট গ্রুপ
DocType: Program,Courses,গতিপথ
DocType: Monthly Distribution Percentage,Percentage Allocation,শতকরা বরাদ্দ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Secretary,সম্পাদক
apps/erpnext/erpnext/regional/india/utils.py,House rented dates required for exemption calculation,ছাড়ের গণনা জন্য প্রয়োজন গৃহীত ভাড়া তারিখ
DocType: Global Defaults,"If disable, 'In Words' field will not be visible in any transaction","অক্ষম করেন, ক্ষেত্র কথার মধ্যে &#39;কোনো লেনদেনে দৃশ্যমান হবে না"
DocType: Quality Review Table,Quality Review Table,গুণ পর্যালোচনা সারণী
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,This action will stop future billing. Are you sure you want to cancel this subscription?,এই ক্রিয়া ভবিষ্যতের বিলিং বন্ধ করবে আপনি কি এই সদস্যতা বাতিল করতে চান?
DocType: Serial No,Distinct unit of an Item,একটি আইটেম এর স্বতন্ত্র ইউনিট
DocType: Supplier Scorecard Criteria,Criteria Name,ধাপ নাম
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.js,Please set Company,সেট করুন কোম্পানির
DocType: Procedure Prescription,Procedure Created,পদ্ধতি তৈরি
DocType: Pricing Rule,Buying,ক্রয়
apps/erpnext/erpnext/config/agriculture.py,Diseases & Fertilizers,রোগ ও সার
DocType: HR Settings,Employee Records to be created by,কর্মচারী রেকর্ড করে তৈরি করা
DocType: Inpatient Record,AB Negative,AB নেতিবাচক
DocType: POS Profile,Apply Discount On,Apply ছাড়ের উপর
DocType: Member,Membership Type,মেম্বারশিপ টাইপ
,Reqd By Date,Reqd তারিখ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Creditors,ঋণদাতাদের
DocType: Assessment Plan,Assessment Name,অ্যাসেসমেন্ট নাম
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Serial No is mandatory,সারি # {0}: সিরিয়াল কোন বাধ্যতামূলক
DocType: Purchase Taxes and Charges,Item Wise Tax Detail,আইটেম অনুযায়ী ট্যাক্স বিস্তারিত
DocType: Employee Onboarding,Job Offer,কাজের প্রস্তাব
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Abbreviation,ইনস্টিটিউট সমাহার
,Item-wise Price List Rate,আইটেম-জ্ঞানী মূল্য তালিকা হার
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Supplier Quotation,সরবরাহকারী উদ্ধৃতি
apps/erpnext/erpnext/config/support.py,Issue Priority.,অগ্রাধিকার ইস্যু।
DocType: Quotation,In Words will be visible once you save the Quotation.,আপনি উধৃতি সংরক্ষণ একবার শব্দ দৃশ্যমান হবে.
apps/erpnext/erpnext/utilities/transaction_base.py,Quantity ({0}) cannot be a fraction in row {1},পরিমাণ ({0}) সারিতে ভগ্নাংশ হতে পারে না {1}
DocType: Contract,Unsigned,অস্বাক্ষরিত
DocType: Selling Settings,Each Transaction,প্রতিটি লেনদেন
apps/erpnext/erpnext/stock/doctype/item/item.py,Barcode {0} already used in Item {1},বারকোড {0} ইতিমধ্যে আইটেম ব্যবহৃত {1}
DocType: Shift Type,The time before the shift end time when check-out is considered as early (in minutes).,শিফট সমাপ্তির আগে সময়টি যখন চেক-আউটকে তাড়াতাড়ি (মিনিটের মধ্যে) বিবেচনা করা হয়।
apps/erpnext/erpnext/config/selling.py,Rules for adding shipping costs.,শিপিং খরচ যোগ করার জন্য বিধি.
DocType: Hotel Room,Extra Bed Capacity,অতিরিক্ত বেড ক্যাপাসিটি
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Varaiance ,Varaiance
apps/erpnext/erpnext/config/hr.py,Performance,কর্মক্ষমতা
DocType: Item,Opening Stock,খোলা স্টক
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Customer is required,গ্রাহক প্রয়োজন বোধ করা হয়
DocType: Lab Test,Result Date,ফলাফল তারিখ
DocType: Purchase Order,To Receive,গ্রহণ করতে
DocType: Leave Period,Holiday List for Optional Leave,ঐচ্ছিক তালিকার জন্য হলিডে তালিকা
DocType: Item Tax Template,Tax Rates,করের হার
apps/erpnext/erpnext/utilities/user_progress.py,user@example.com,user@example.com
DocType: Asset,Asset Owner,সম্পদ মালিক
DocType: Item,Website Content,ওয়েবসাইট সামগ্রী
DocType: Bank Account,Integration ID,ইন্টিগ্রেশন আইডি
DocType: Purchase Invoice,Reason For Putting On Hold,ধরে রাখার জন্য কারণ রাখা
DocType: Employee,Personal Email,ব্যক্তিগত ইমেইল
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Variance,মোট ভেদাংক
DocType: Accounts Settings,"If enabled, the system will post accounting entries for inventory automatically.","সক্রিয় করা হলে, সিস্টেম স্বয়ংক্রিয়ভাবে পরিসংখ্যা জন্য অ্যাকাউন্টিং এন্ট্রি পোস্ট করতে হবে."
apps/erpnext/erpnext/accounts/doctype/bank_account/test_bank_account.py,BankAccount.validate_iban() accepted invalid IBAN {},BankAccount.uthorate_iban () অবৈধ আইবিএএন গ্রহণ করেছে accepted}
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Brokerage,দালালি
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Attendance for employee {0} is already marked for this day,কর্মচারী {0} জন্য এ্যাটেনডেন্স ইতিমধ্যে এই দিনের জন্য চিহ্নিত করা হয়
DocType: Work Order Operation,"in Minutes
Updated via 'Time Log'",মিনিটের মধ্যে &#39;টাইম ইন&#39; র মাধ্যমে আপডেট
DocType: Customer,From Lead,লিড
DocType: Amazon MWS Settings,Synch Orders,শঙ্কর আদেশগুলি
apps/erpnext/erpnext/config/manufacturing.py,Orders released for production.,আদেশ উৎপাদনের জন্য মুক্তি.
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Fiscal Year...,ফিস্ক্যাল বছর নির্বাচন ...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,POS Profile required to make POS Entry,পিওএস প্রোফাইল পিওএস এন্ট্রি করতে প্রয়োজন
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"Loyalty Points will be calculated from the spent done (via the Sales Invoice), based on collection factor mentioned.","আনুগত্য পয়েন্টগুলি খরচ করা হবে (বিক্রয় চালান মাধ্যমে), সংগ্রহ ফ্যাক্টর উপর ভিত্তি করে উল্লিখিত।"
DocType: Program Enrollment Tool,Enroll Students,শিক্ষার্থীরা তালিকাভুক্ত
DocType: Pricing Rule,Coupon Code Based,কুপন কোড ভিত্তিক
DocType: Company,HRA Settings,এইচআরএ সেটিংস
DocType: Homepage,Hero Section,হিরো বিভাগ
DocType: Employee Transfer,Transfer Date,তারিখ স্থানান্তর
DocType: Lab Test,Approved Date,অনুমোদিত তারিখ
apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py,Standard Selling,স্ট্যান্ডার্ড বিক্রি
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Atleast one warehouse is mandatory,অন্তত একটি গুদাম বাধ্যতামূলক
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit_type/healthcare_service_unit_type.py,"Configure Item Fields like UOM, Item Group, Description and No of Hours.","ইউওম, আইটেম গ্রুপ, বর্ণনা এবং ঘন্টাগুলির সংখ্যাগুলি যেমন আইটেম ক্ষেত্র কনফিগার করুন।"
DocType: Certification Application,Certification Status,সার্টিফিকেশন স্থিতি
apps/erpnext/erpnext/public/js/hub/marketplace.js,Marketplace,নগরচত্বর
DocType: Travel Itinerary,Travel Advance Required,ভ্রমণ অগ্রগতি প্রয়োজন
DocType: Subscriber,Subscriber Name,গ্রাহক নাম
DocType: Serial No,Out of Warranty,পাটা আউট
DocType: Bank Statement Transaction Settings Item,Mapped Data Type,ম্যাপেড ডেটা টাইপ
DocType: BOM Update Tool,Replace,প্রতিস্থাপন করা
apps/erpnext/erpnext/templates/includes/product_list.js,No products found.,কোন পণ্য পাওয়া যায় নি।
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,Publish More Items,আরও আইটেম প্রকাশ করুন
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Invoice {1},{0} বিক্রয় চালান বিপরীতে {1}
DocType: Antibiotic,Laboratory User,ল্যাবরেটরি ইউজার
DocType: Request for Quotation Item,Project Name,প্রকল্পের নাম
apps/erpnext/erpnext/regional/italy/utils.py,Please set the Customer Address,গ্রাহক ঠিকানা সেট করুন
DocType: Customer,Mention if non-standard receivable account,উল্লেখ অ স্ট্যান্ডার্ড প্রাপ্য তাহলে
DocType: Bank,Plaid Access Token,প্লেড অ্যাক্সেস টোকেন
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,Please add the remaining benefits {0} to any of the existing component,বিদ্যমান কম্পোনেন্টের যেকোনো একটিতে {1} অবশিষ্ট সুবিধার যোগ করুন
DocType: Journal Entry Account,If Income or Expense,আয় বা ব্যয় যদি
DocType: Course Topic,Course Topic,কোর্সের বিষয়
DocType: Bank Statement Transaction Entry,Matching Invoices,ম্যাচিং ইনভয়েসেস
DocType: Work Order,Required Items,প্রয়োজনীয় সামগ্রী
DocType: Stock Ledger Entry,Stock Value Difference,শেয়ার মূল্য পার্থক্য
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Item Row {0}: {1} {2} does not exist in above '{1}' table,আইটেম সারি {0}: {1} {2} উপরের &#39;{1}&#39; টেবিলে বিদ্যমান নেই
apps/erpnext/erpnext/config/help.py,Human Resource,মানব সম্পদ
DocType: Payment Reconciliation Payment,Payment Reconciliation Payment,পেমেন্ট পুনর্মিলন পরিশোধের
DocType: Disease,Treatment Task,চিকিত্সা কাজ
DocType: Payment Order Reference,Bank Account Details,ব্যাংক অ্যাকাউন্ট বিবরণী
DocType: Purchase Order Item,Blanket Order,কম্বল আদেশ
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.py,Repayment Amount must be greater than ,Ayণ পরিশোধের পরিমাণ অবশ্যই এর চেয়ে বেশি হতে হবে
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Tax Assets,ট্যাক্স সম্পদ
DocType: BOM Item,BOM No,BOM কোন
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Journal Entry {0} does not have account {1} or already matched against other voucher,জার্নাল এন্ট্রি {0} {1} বা ইতিমধ্যে অন্যান্য ভাউচার বিরুদ্ধে মিলেছে অ্যাকাউন্ট নেই
DocType: Item,Moving Average,চলন্ত গড়
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Benefit,সুবিধা
DocType: BOM Update Tool,The BOM which will be replaced,"প্রতিস্থাপন করা হবে, যা BOM"
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Electronic Equipments,ইলেকট্রনিক উপকরণ
DocType: Asset,Maintenance Required,রক্ষণাবেক্ষণ প্রয়োজন
DocType: Account,Debit,ডেবিট
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leaves must be allocated in multiples of 0.5,পাতার 0.5 এর গুণিতক বরাদ্দ করা আবশ্যক
DocType: Work Order,Operation Cost,অপারেশন খরচ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Identifying Decision Makers,সিদ্ধান্ত সৃষ্টিকর্তা চিহ্নিত করা
apps/erpnext/erpnext/selling/report/customer_credit_balance/customer_credit_balance.py,Outstanding Amt,বিশিষ্ট মাসিক
DocType: Sales Person,Set targets Item Group-wise for this Sales Person.,সেট লক্ষ্যমাত্রা আইটেমটি গ্রুপ-ভিত্তিক এই বিক্রয় ব্যক্তি.
DocType: Stock Settings,Freeze Stocks Older Than [Days],ফ্রিজ স্টক চেয়ে পুরোনো [দিন]
DocType: Payment Entry,Payment Ordered,প্রদান আদেশ
DocType: Asset Maintenance Team,Maintenance Team Name,রক্ষণাবেক্ষণ টিম নাম
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","দুই বা ততোধিক দামে উপরোক্ত অবস্থার উপর ভিত্তি করে পাওয়া যায়, অগ্রাধিকার প্রয়োগ করা হয়. ডিফল্ট মান শূন্য (ফাঁকা) যখন অগ্রাধিকার 0 থেকে 20 এর মধ্যে একটি সংখ্যা হয়. উচ্চতর সংখ্যা একই অবস্থার সঙ্গে একাধিক প্রাইসিং নিয়ম আছে যদি তা প্রাধান্য নিতে হবে."
apps/erpnext/erpnext/controllers/trends.py,Fiscal Year: {0} does not exists,অর্থবছরের: {0} না বিদ্যমান
DocType: Currency Exchange,To Currency,মুদ্রা
DocType: Leave Block List,Allow the following users to approve Leave Applications for block days.,নিম্নলিখিত ব্যবহারকারীদের ব্লক দিনের জন্য চলে যায় অ্যাপ্লিকেশন অনুমোদন করার অনুমতি দিন.
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Lifecycle,জীবনচক্র
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Payment Document Type,পেমেন্ট ডকুমেন্ট প্রকার
apps/erpnext/erpnext/controllers/selling_controller.py,Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},তার {1} আইটেমের জন্য হার বিক্রী {0} চেয়ে কম। বিক্রী হার কত হওয়া উচিত অন্তত {2}
DocType: Designation Skill,Skill,দক্ষতা
DocType: Subscription,Taxes,কর
DocType: Purchase Invoice Item,Weight Per Unit,ওজন প্রতি ইউনিট
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Paid and Not Delivered,প্রদত্ত এবং বিতরিত হয় নি
DocType: QuickBooks Migrator,Default Cost Center,ডিফল্ট খরচের কেন্দ্র
apps/erpnext/erpnext/www/all-products/index.html,Toggle Filters,ফিল্টারগুলি টগল করুন
apps/erpnext/erpnext/config/stock.py,Stock Transactions,শেয়ার লেনদেন
DocType: Budget,Budget Accounts,বাজেট হিসাব
DocType: Employee,Internal Work History,অভ্যন্তরীণ কাজের ইতিহাস
DocType: Bank Statement Transaction Entry,New Transactions,নতুন লেনদেন
DocType: Depreciation Schedule,Accumulated Depreciation Amount,সঞ্চিত অবচয় পরিমাণ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Private Equity,ব্যক্তিগত মালিকানা
DocType: Supplier Scorecard Variable,Supplier Scorecard Variable,সরবরাহকারী স্কোরকার্ড ভেরিয়েবল
DocType: Shift Type,Working Hours Threshold for Half Day,অর্ধ দিনের জন্য কার্যদিবসের সময়সীমা
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Please create purchase receipt or purchase invoice for the item {0},আইটেম {0} জন্য ক্রয় রশিদ বা ক্রয় বিনিময় তৈরি করুন
DocType: Job Card,Material Transferred,উপাদান স্থানান্তরিত
DocType: Employee Advance,Due Advance Amount,দরুন অগ্রিম পরিমাণ
DocType: Maintenance Visit,Customer Feedback,গ্রাহকের প্রতিক্রিয়া
DocType: Account,Expense,ব্যয়
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.js,Score cannot be greater than Maximum Score,স্কোর সর্বোচ্চ স্কোর চেয়ে অনেক বেশী হতে পারে না
DocType: Support Search Source,Source Type,উৎস প্রকার
DocType: Course Content,Course Content,কোর্স কন্টেন্ট
apps/erpnext/erpnext/utilities/user_progress.py,Customers and Suppliers,গ্রাহক এবং সরবরাহকারী
DocType: Item Attribute,From Range,পরিসর থেকে
DocType: BOM,Set rate of sub-assembly item based on BOM,বোমের উপর ভিত্তি করে উপ-সমাবেশের আইটেম সেট করুন
DocType: Inpatient Occupancy,Invoiced,invoiced
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,WooCommerce পণ্য
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Syntax error in formula or condition: {0},সূত্র বা অবস্থায় বাক্যগঠন ত্রুটি: {0}
apps/erpnext/erpnext/stock/utils.py,Item {0} ignored since it is not a stock item,এটা যেহেতু উপেক্ষা আইটেম {0} একটি স্টক আইটেমটি নয়
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.","একটি নির্দিষ্ট লেনদেনে প্রাইসিং নিয়ম প্রযোজ্য না করার জন্য, সমস্ত প্রযোজ্য দামে নিষ্ক্রিয় করা উচিত."
DocType: Payment Term,Day(s) after the end of the invoice month,চালান মাস শেষে পরে দিন (গুলি)
DocType: Assessment Group,Parent Assessment Group,পেরেন্ট অ্যাসেসমেন্ট গ্রুপ
DocType: Employee Checkin,Shift Actual End,শিফট আসল সমাপ্তি
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py,Jobs,জবস
,Sales Order Trends,বিক্রয় আদেশ প্রবণতা
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,The 'From Package No.' field must neither be empty nor it's value less than 1.,&#39;প্যাকেজ নং থেকে&#39; ক্ষেত্রটি খালি নাও হতে পারে না 1 এর থেকে কম মূল্য
DocType: Employee,Held On,অনুষ্ঠিত
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order_calendar.js,Production Item,উত্পাদনের আইটেম
,Employee Information,কর্মচারী তথ্য
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},{0} এ স্বাস্থ্যসেবা প্রদানকারী নেই
DocType: Stock Entry Detail,Additional Cost,অতিরিক্ত খরচ
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"Can not filter based on Voucher No, if grouped by Voucher","ভাউচার কোন উপর ভিত্তি করে ফিল্টার করতে পারবে না, ভাউচার দ্বারা গ্রুপকৃত যদি"
DocType: Quality Inspection,Incoming,ইনকামিং
apps/erpnext/erpnext/setup/doctype/company/company.js,Default tax templates for sales and purchase are created.,বিক্রয় এবং ক্রয় জন্য ডিফল্ট ট্যাক্স টেমপ্লেট তৈরি করা হয়।
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.py,Assessment Result record {0} already exists.,মূল্যায়ন ফলাফল রেকর্ড {0} ইতিমধ্যে বিদ্যমান।
DocType: Item,"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","উদাহরণ: ABCD। ##### যদি সিরিজ সেট করা থাকে এবং ব্যাচ নাম লেনদেনের ক্ষেত্রে উল্লেখ করা হয় না, তাহলে এই সিরিজের উপর ভিত্তি করে স্বয়ংক্রিয় ব্যাচ নম্বর তৈরি করা হবে। আপনি যদি সবসময় এই আইটেমটির জন্য ব্যাচ নংকে স্পষ্টভাবে উল্লেখ করতে চান, তবে এই ফাঁকা স্থানটি ছেড়ে দিন। দ্রষ্টব্য: এই সেটিং স্টক সেটিংসের নামকরণ সিরিজ প্রিফিক্সের উপর অগ্রাধিকার পাবে।"
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Outward taxable supplies(zero rated),বাহ্যিক করযোগ্য সরবরাহ (শূন্য রেটযুক্ত)
DocType: BOM,Materials Required (Exploded),উপকরণ (অপ্রমাণিত) প্রয়োজন
apps/erpnext/erpnext/buying/report/purchase_analytics/purchase_analytics.js,based_on,based_on
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Submit Review,পর্যালোচনা জমা দিন
DocType: Contract,Party User,পার্টি ব্যবহারকারী
apps/erpnext/erpnext/stock/report/total_stock_summary/total_stock_summary.py,Please set Company filter blank if Group By is 'Company',দয়া করে কোম্পানির ফাঁকা ফিল্টার সেট করুন যদি একদল &#39;কোম্পানি&#39; হল
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,Posting Date cannot be future date,পোস্টিং তারিখ ভবিষ্যতে তারিখে হতে পারে না
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Serial No {1} does not match with {2} {3},সারি # {0}: সিরিয়াল কোন {1} সঙ্গে মেলে না {2} {3}
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py,Please setup numbering series for Attendance via Setup &gt; Numbering Series,দয়া করে সেটআপ&gt; নম্বরিং সিরিজের মাধ্যমে উপস্থিতির জন্য সংখ্যায়ন সিরিজটি সেট করুন
DocType: Stock Entry,Target Warehouse Address,লক্ষ্য গুদাম ঠিকানা
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Casual Leave,নৈমিত্তিক ছুটি
DocType: Shift Type,The time before the shift start time during which Employee Check-in is considered for attendance.,শিফট শুরুর আগে যে সময়টিতে কর্মচারী চেক-ইন উপস্থিতির জন্য বিবেচিত হয়।
DocType: Agriculture Task,End Day,শেষ দিন
DocType: Batch,Batch ID,ব্যাচ আইডি
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Note: {0},উল্লেখ্য: {0}
DocType: Stock Settings,Action if Quality inspection is not submitted,মান পরিদর্শন জমা না দেওয়া হলে পদক্ষেপ
,Delivery Note Trends,হুণ্ডি প্রবণতা
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Week's Summary,এই সপ্তাহের সংক্ষিপ্ত
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,In Stock Qty,স্টক Qty ইন
,Daily Work Summary Replies,দৈনিক কাজ সারসংক্ষেপ উত্তর
DocType: Delivery Trip,Calculate Estimated Arrival Times,আনুমানিক আসন্ন টাইমস হিসাব করুন
apps/erpnext/erpnext/accounts/general_ledger.py,Account: {0} can only be updated via Stock Transactions,অ্যাকাউন্ট: {0} শুধুমাত্র স্টক লেনদেনের মাধ্যমে আপডেট করা যাবে
DocType: Student Group Creation Tool,Get Courses,কোর্স করুন
DocType: Tally Migration,ERPNext Company,ERPNext সংস্থা
DocType: Shopify Settings,Webhooks,Webhooks
DocType: Bank Account,Party,পার্টি
DocType: Healthcare Settings,Patient Name,রোগীর নাম
