Pension Funds,Pensionsmidler
Ignore Pricing Rule,Ignorer prissætningsregel
Food,Mad
Lost Reason Detail,Mistet årsag detaljer
Customer Feedback,Kunde feedback
Warranty / AMC Details,Garanti / AMC Detaljer
Opening Time,Åbningstid
View a list of all the help videos,Se en liste over alle hjælpevideoerne
Party Account Currency,Party Konto Valuta
Please select a field to edit from numpad,Vælg venligst et felt for at redigere fra numpad
Assessment Plan Criteria,Vurderingskriterier
Item Fields,Varefelter
Manage Sales Partners.,Administrer salgspartnere.
"Cannot declare as lost, because Quotation has been made.","Kan ikke erklære som tabt, fordi Citat er lavet."
"Here you can maintain family details like name and occupation of parent, spouse and children","Her kan du opretholde familieoplysninger som navn og besættelse af forældre, ægtefælle og børn"
Shipping City,Shipping City
Update Items,Opdater elementer
Customer Ledger Summary,Oversigt over kundeoversigt
B Positive,B positiv
Accounting journal entries.,Regnskabsposter.
Purchase Order Required,Indkøbsordre er påkrævet
New Student Batch,Ny Student Batch
Account Type,Kontotype
Fuel Type,Brændstoftype
Email sent to {0},E-mail sendt til {0}
Change Release Date,Skift Udgivelsesdato
Default BOM for {0} not found,Standard BOM for {0} ikke fundet
HSN-wise-summary of outward supplies,HSN-vis-opsummering af ydre forsyninger
Appointments and Encounters,Udnævnelser og møder
Tax Withholding Category,Skat tilbageholdende kategori
Linked Doctype,Tilknyttet doktype
Cost of Goods Sold,Udgifter til varer solgt
Reading 3,Læsning 3
Group by Voucher,Gruppe med Voucher
Delivered Items To Be Billed,"Leverede varer, der skal faktureres"
Employee Transfer Details,Overførselsoplysninger for medarbejdere
Company registration numbers for your reference. Tax numbers etc.,Virksomhedsregistreringsnumre til din reference. Skatnumre mv.
Serial No {0} does not belong to Warehouse {1},Serienummer {0} tilhører ikke lager {1}
Del,del
on,på
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Du kan definere alle de opgaver, der skal udføres for denne afgrøde her. Dagfeltet bruges til at nævne den dag, hvorpå opgaven skal udføres, 1 er 1. dag mv."
Task,Opgave
Help HTML,Hjælp HTML
Dosage by time interval,Dosering efter tidsinterval
Batch Description,Batch Beskrivelse
Please set associated account in Tax Withholding Category {0} against Company {1},Indstil tilknyttet konto i Skatholdigheds kategori {0} mod firma {1}
Needs Analysis,Behovsanalyse
Allocated Leaves,Tildelte blade
Transaction Details,overførselsdetaljer
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Udgiv &quot;På lager&quot; eller &quot;Ikke på lager&quot; på Hub baseret på lager tilgængelig på dette lager.
Company name not same,Virksomhedens navn er ikke det samme
Employee Promotion cannot be submitted before Promotion Date ,Medarbejderfremme kan ikke indsendes før Kampagnedato
Not allowed to update stock transactions older than {0},Ikke tilladt at opdatere lager transaktioner ældre end {0}
Start date should be less than end date for Item {0},Startdatoen skal være mindre end slutdato for punkt {0}
Create customer quotes,Opret kunde citater
Buying Settings,Købsindstillinger
Restaurant Menu Item,Restaurant menupunkt
Calculate Total Score,Beregn total score
Issue Type,Udstedelsestype
Start date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Startdato for opgave <b>{0}</b> kan ikke være større end <b>{1}</b> forventet slutdato <b>{2}</b>
Balance Value,Balanceværdi
Groups,grupper
Target warehouse in row {0} must be same as Work Order,Mållager i række {0} skal være det samme som Arbejdsordre
Serial Number: {0} is already referenced in Sales Invoice: {1},Serienummer: {0} er allerede refereret i salgsfaktura: {1}
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Hvis Shopify ikke indeholder en kunde i Bestil, så vil systemet overveje standardkunder for ordre, mens du synkroniserer Ordrer"
Shopify Tax Account,Shopify Skatkonto
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Vær sikker på at du virkelig vil slette alle transaktioner for dette firma. Dine stamdata forbliver som de er. Denne handling kan ikke fortrydes.
Auto Repeat Detail,Automatisk gentag detaljer
Please supply the specified items at the best possible rates,Angiv de angivne varer til de bedst mulige priser
{0} in row {1},{0} i række {1}
Job Card Time Log,Jobkort tidslog
Patient Demographics,Patient Demografi
To Folio No,Til Folio nr
Cash Flow from Operations,Pengestrøm fra driften
Allow Negative Stock,Tillad negativ lager
None of the items have any change in quantity or value.,Ingen af elementerne har nogen ændring i mængde eller værdi.
Purchase Date,Købsdato
Bank Statement Transaction Settings Item,Bankoversigt Transaktionsindstillinger Item
BOM Stock Report,BOM Stock Report
Write Off,Skrive af
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Række {0}: Forventet værdi efter brugbart liv skal være mindre end brutto købsbeløb
Personal Bio,Personlig Bio
Duplicate Entry. Please check Authorization Rule {0},Duplicate Entry. Kontroller venligst godkendelsesregel {0}
Employee {0} has already applied for {1} on {2} : ,Medarbejder {0} har allerede ansøgt om {1} på {2}:
Standard Selling,Standard Selling
Invoiced,faktureret
User {0} already exists,Bruger {0} eksisterer allerede
Profit and Loss,Fortjeneste og tab
Diff Qty,Diff Antal
Written Down Value,Skriftlig nedværdi
Opening Balance Equity,Åbningsbalance Egenkapital
April,April
Credit Limit,Kredit grænse
Distribution,Fordeling
debit_note_amt,debit_note_amt
Inspected By,Inspiceret af
Get Items from Product Bundle,Få varer fra produktpakke
Employee Benefit Claim,Ansættelsesfordel
Clearance Date not mentioned,Udløbsdato ikke nævnt
Default Receivable Account,Standard tilgodehavende konto
Check if it is a hydroponic unit,Kontroller om det er en hydroponisk enhed
Others,Andre
Patient Appointment,Patientavn
AB Positive,AB Positive
Depreciation Date,Afskrivningsdato
Upcoming Calendar Events,Kommende kalenderbegivenheder
"Appraisals, Expense Claims and Loans","Vurdering, Udgiftskrav og lån"
Create Student Batch,Opret Student Batch
Travel Advance Required,Krav til rejseudvikling
Orders released for production.,Ordrer udgivet til produktion.
Collection Rules,Indsamlingsregler
Disable CWIP Accounting,Deaktiver CWIP-regnskab
Item Code &gt; Item Group &gt; Brand,Varenummer&gt; Varegruppe&gt; Mærke
Section Based On,Sektion baseret på
{0} already allocated for Employee {1} for period {2} to {3},{0} allerede tildelt for Medarbejder {1} for periode {2} til {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Række {0}: Fra tid til tid af {1} overlapper med {2}
Very Hyper,Meget Hyper
Select the nature of your business.,Vælg arten af din virksomhed.
Please select month and year,Vælg venligst måned og år
Student Log,Student Log
Enable Checkout,Aktivér Checkout
Human Resources,Menneskelige ressourcer
Total Value Difference (Out - In),Total værdiforskel (Out-In)
Actual End Time,Faktisk sluttid
Setting up Taxes,Opsætning af skatter
Net Cash from Investing,Netto cash from Investing
Accounting Ledger,Regnskab Ledger
Item Group Tree,Vare gruppe træ
'Total',&#39;I alt&#39;
Item 1,Punkt 1
Student Batches,Studentbatcher
"Attach .csv file with two columns, one for the old name and one for the new name","Vedhæft .csv-fil med to kolonner, et for det gamle navn og et for det nye navn"
outstanding_amount,Utrolig mængde
Susceptible,modtagelig
Total (Company Currency),I alt (Virksomhedsvaluta)
Website Content,Website indhold
Driving License Category,Kørekort kategori
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Række nr. {0}: Forventet leveringsdato kan ikke være før købsdato
Make Payment,Foretag betaling
Party Type is mandatory,Party Type er obligatorisk
The fields From Shareholder and To Shareholder cannot be blank,Feltene fra aktionær og til aktionær kan ikke være tomme
Quality Management,Kvalitetsstyring
Transfer Material Against,Overfør materiale mod
Temporarily on Hold,Midlertidigt på hold
Connect Shopify with ERPNext,Tilslut Shopify med ERPNext
Subtitle,Undertekst
Loam,lerjord
Scrap Material Cost(Company Currency),Skrotmateriale omkostninger (Company Valuta)
Delivery Note {0} must not be submitted,Leveringsnotat {0} må ikke indsendes
Actual Start Date (via Time Sheet),Faktisk startdato (via tidsskrift)
Delivery Date,Leveringsdato
Item Shortage Report,Varefaldrapport
Price Determination,Prisfastsættelse
Retail & Wholesale,Detailhandel og engros
Twice Daily,To gange om dagen
Integrated Tax,Integreret Skat
Deductions or Loss,Fradrag eller tab
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Fiscal Regime er obligatorisk, bedes indstille skatteordningen i selskabet {0}"
Time slots added,Time slots tilføjet
Leaves must be allocated in multiples of 0.5,"Bladene skal fordeles i multipler på 0,5"
Amount {0} {1} deducted against {2},Beløb {0} {1} fratrukket {2}
Payment Reconciliation Payment,Betalingsafstemning Betaling
Template of terms or contract.,Skabelon af vilkår eller kontrakt.
Barcodes,Stregkoder
Enrollment Date,Tilmeldingsdato
Clear Table,Ryd tabel
Setting up company,Oprettelse af virksomhed
Free item code is not selected,Fri varekode er ikke valgt
Total Unpaid: {0},I alt ubetalt: {0}
Balance must be,Balancen skal være
Default Bank Account,Standard bankkonto
Creating Fees,Oprettelse af gebyrer
Please select Qty against item {0},Vælg venligst antal imod vare {0}
Do not confirm if appointment is created for the same day,"Bekræft ikke, om en aftale er oprettet for samme dag"
Repaid/Closed,Tilbagebetales / Lukket
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Række {0}: {1} Serienummer er påkrævet for punkt {2}. Du har angivet {3}.
Gain/Loss,Gevinst / Tab
Sales Invoice Payment,Salgsfaktura Betaling
Payslip,Lønseddel
HSN,HSN
Request for quotation.,Anmodning om tilbud.
Procurement Tracker,Indkøb Tracker
Type of Proof,Type bevis
Vehicle Date,Køretøjsdato
Dispatch Settings,Dispatch Settings
Dependencies,Afhængigheder
Lost,Faret vild
Replace BOM,Udskift BOM
Marital Status,Civilstand
Enter retirement age in years,Indtast pensionsalder i år
No items listed,Ingen emner opført
No data to export,Ingen data til eksport
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,"Vælg venligst Carry Forward, hvis du også vil medtage tidligere regnskabsårets saldo, forlader dette regnskabsår"
Opening Stock Balance,Åbning af lagerbalance
Leave Blocked,Forladet blokeret
Asset Category is mandatory for Fixed Asset item,Asset Category er obligatorisk for vareaktiver
Required By,Påkrævet af
Add to Details,Tilføj til detaljer
Inactive Customers,Inaktive kunder
Dosage,Dosis
Starting position from top edge,Startposition fra øverste kant
Appointment Duration (mins),Aftale Varighed (minutter)
Disable,Deaktiver
Purchase Orders to Receive,Indkøbsordrer til modtagelse
Productions Orders cannot be raised for:,Produktioner Ordrer kan ikke rejses for:
Ignore Employee Time Overlap,Ignorer medarbejdertidens overlapning
Trainings,kurser
Lost Reasons,Mistede grunde
A Positive,En positiv
Reading 7,Læsning 7
Serial No,Serienummer
Required Quantity,Nødvendig mængde
Parent Location,Forældre Placering
Material Requests,Materialeanmodninger
Material Transferred for Subcontract,Materialet overført til underentreprise
Timing Detail,Timing Detail
Required On,Påkrævet På
Importing {0} of {1},Importerer {0} af {1}
Job Offer Term,Jobtilbudsperiode
All Contact,Alle kontaktpersoner
Project Task,Projektopgave
Item Barcode,Vare Stregkode
Stock Levels,Lager niveauer
Height (In Meter),Højde (i meter)
Order Value,Ordreværdi
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Alle salgstransaktioner kan mærkes mod flere ** Salgsfolk **, så du kan indstille og overvåge mål."
You have already selected items from {0} {1},Du har allerede valgt elementer fra {0} {1}
Get Suppliers,Få leverandører
Contribution (%),Bidrag (%)
Cannot set a received RFQ to No Quote,Kan ikke indstille en modtaget RFQ til No Quote
Create Sales Order,Opret salgsordre
Account: {0} can only be updated via Stock Transactions,Konto: {0} kan kun opdateres via lagertransaktioner
{0} Request for {1},{0} Anmodning om {1}
Please select a value for {0} quotation_to {1},Vælg venligst en værdi for {0} citat_til {1}
Opportunity Date,Mulighed Dato
Next Steps,Næste skridt
Training Feedback,Uddannelse Feedback
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Samlede helligdage
Fertilizer Name,Gødningsnavn
House rented dates required for exemption calculation,Hus lejede datoer kræves for fritagelse beregning
Expiring Memberships,Udløber Medlemskaber
Supplier(s),Leverandør (er)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Venligst opsæt nummereringsserien for Tilstedeværelse via Opsætning&gt; Nummereringsserie
To Rename,At omdøbe
Contact Us,Kontakt os
Cashier,Kasserer
Hour,Time
Show Latest Forum Posts,Vis seneste forumindlæg
Distributor,Distributør
"Please add the remaining benefits {0} to the application as \
				pro-rata component",Tilføj de resterende fordele {0} til applikationen som \ pro-rata-komponent
Short Term Loan Account,Kortfristet lånekonto
Section Subtotal,Sektion Subtotal
Material Request to Purchase Order,Materialeanmodning til indkøbsordre
CESS Amount,CESS-beløb
Not authorized to edit frozen Account {0},Ikke autoriseret til at redigere frosne konto {0}
Expected Amount,Forventet beløb
Default Price List,Standard prisliste
No Items selected for transfer,Ingen emner valgt til overførsel
Payment Amount,Betalingsbeløb
Assessment  Manager,Bedømmelsesleder
Chemical,Kemisk
Assessment Reports,Evalueringsrapporter
IV,IV
Academic,Akademisk
Item {0} is not setup for Serial Nos. Check Item master,Element {0} er ikke konfigureret til serienummer. Kontroller elementmasteren
From State,Fra stat
Maximum Continuous Days Applicable,Maksimale kontinuerlige dage gældende
Support Team.,Støttegruppe.
Please enter company name first,Indtast venligst firmaets navn først
Import Successful,Import Succesfuld
Alternate Number,Alternativt nummer
All Departments,Alle afdelinger
Make project from a template.,Lav projekt fra en skabelon.
Inter Company Order Reference,Inter Company Order Reference
Work Order {0} must be cancelled before cancelling this Sales Order,"Arbejdsordren {0} skal annulleres, inden afbestillingen af denne salgsordre"
Employee Number,Medarbejdernummer
Avg. Buying Rate,Gennemsnitlig. Købspris
Capacity Planning For (Days),Kapacitet planlægning for (dage)
From value must be less than to value in row {0},Fra værdi skal være mindre end at værdi i række {0}
Select BOM and Qty for Production,Vælg BOM og antal til produktion
Price List Country,Prisliste Land
Create Tax Template,Opret skat skabelon
Numeric Values,Numeriske værdier
Instructions,Instruktioner
Blanket Order Item,Tæppe Bestillingsartikel
Commission rate cannot be greater than 100,Kommissionens sats kan ikke være større end 100
Course Topic,Kursus emne
This will restrict user access to other employee records,Dette vil begrænse brugeradgang til andre medarbejderposter
Please create Customer from Lead {0},Opret venligst kunde fra bly {0}
Company Settings,Firmaindstillinger
Vegetarian,Vegetarisk
"An item exists with same name ({0}), please change the item group name or rename the item","Et element eksisterer med samme navn ({0}), skal du ændre varegruppens navn eller omdøbe varen"
Hotel Room Type,Hotel Værelsestype
Cash Flow,Pengestrøm
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Betaling mod {0} {1} kan ikke være større end Udestående beløb {2}
Achievement,Præstation
Add Multiple Tasks,Tilføj flere opgaver
Item Variant {0} already exists with same attributes,Varevariant {0} eksisterer allerede med samme attributter
Invoice {0} no longer exists,Faktura {0} eksisterer ikke længere
Will also apply for variants unless overrridden,Vil også søge om varianter med mindre overrridden
Account,Konto
To Deliver,At levere
Customers Without Any Sales Transactions,Kunder uden salgstransaktioner
Against Document No,Mod dokument nr
Content Masters,Content Masters
Subscription Management,Abonnement Management
Get customers from,Få kunder fra
{0} Digest,{0} Digest
Reports to,Rapporterer til
Party Account,Party-konto
Schedule,Tidsplan
Please enter ,Kom ind
Channel Partner,Channel Partner
Invoiced Amount,Faktureret beløb
From Template,Fra skabelon
Subscriptions,Abonnementer
Quantity to Make,Mængde at lave
Achieved,Opnået
Contribution Amount,Bidragsbeløb
Fiscal Year,Skatteår
Prevent RFQs,Forebygg RFQs
Discount Received Account,Rabat modtaget konto
 (Half Day),(Halv dag)
Email Digest,Email Digest
Crop,Afgrøde
Profit & Loss,Resultat og tab
Section Order,Sektion Bestilling
Result Printed,Resultat trykt
Student Group,Studentgruppe
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standard skat skabelon, der kan anvendes på alle Køb Transaktioner. Denne skabelon kan indeholde en liste over skattehoveder og også andre udgiftshoveder som &quot;Shipping&quot;, &quot;Insurance&quot;, &quot;Handling&quot; etc. #### Bemærk Den skattesats, du definerer her, vil være standardskattesatsen for alle ** Elementer * *. Hvis der er ** Elementer **, der har forskellige satser, skal de tilføjes i ** Element Skat ** -tabellen i ** Element ** -masteren. #### Beskrivelse af kolonner 1. Beregningstype: - Dette kan være på ** Net Total ** (det er summen af basisbeløbet). - ** På tidligere række Total / Beløb ** (for kumulative skatter eller afgifter). Hvis du vælger denne indstilling, vil skatten blive anvendt som en procentdel af den forrige række (i skat tabel) beløb eller total. - ** Faktisk ** (som nævnt). 2. Kontochef: Kontoboksen, under hvilken denne skat vil blive reserveret 3. Omkostningscenter: Hvis skat / afgift er en indkomst (som forsendelse) eller udgift, skal den bookes mod et omkostningscenter. 4. Beskrivelse: Beskrivelse af skatten (som vil blive trykt i fakturaer / citater). 5. Rate: Skattesats. 6. Beløb: Skattebeløb. 7. I alt: Kumulative i alt til dette punkt. 8. Indtast række: Hvis du er baseret på &quot;Forrige række i alt&quot;, kan du vælge det række nummer, som vil blive taget som basis for denne beregning (standard er den forrige række). 9. Overvej skat eller afgift for: I dette afsnit kan du angive, om skat / afgift kun er beregnet til værdiansættelse (ikke en del af total) eller kun for total (ikke tilføjer værdi til varen) eller for begge. 10. Tilføj eller fradrag: Om du vil tilføje eller fradrage afgiften."
Connect to Quickbooks,Opret forbindelse til Quickbooks
Root cannot be edited.,Root kan ikke redigeres.
Engineer,Ingeniør
Row #{0}: Item added,Række # {0}: Element tilføjet
Eligibility and Details,Støtteberettigelse og detaljer
Staffing Plan Detail,Bemandingsplandetaljer
Annual Income,Årlige indkomst
Subscription Section,Abonnementsafdeling
Payment Days,Betalingsdage
Volunteer information.,Frivillig information.
`Freeze Stocks Older Than` should be smaller than %d days.,`Freeze Stocks Older Than` burde være mindre end% d dage.
Select Fiscal Year,Vælg Regnskabsår
Total Amount,Total beløb
Non Profit,Ikke fortjeneste
Cancel Invoice After Grace Period,Annuller faktura efter Grace Period
Loyalty Points,Loyalitetspoint
Set Target Warehouse,Indstil Target Warehouse
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.","{0} har for øjeblikket en {1} leverandør scorecard stående, og RFQs til denne leverandør bør udstedes med forsigtighed."
Check-in Date,Check-in dato
Round Off Account,Round Off-konto
Warranty Period (Days),Garantiperiode (dage)
Expense Claim Detail,Udgiftskrav detaljer
Program: ,Program:
Patient Medical Record,Patient Medical Record
Action Description,Handling Beskrivelse
Variant Based On,Variant baseret på
Brake Oil,Bremseolie
Create User,Opret bruger
Codification Table,Kodifikationstabel
Optional,Valgfri
Show Leaves Of All Department Members In Calendar,Vis blade af alle afdelingsmedlemmer i kalender
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Fandt ikke overført element {0} i Arbejdsordre {1}, varen blev ikke tilføjet i lagerindgang"
See all open tickets,Se alle åbne billetter
Operations cannot be left blank,Operationer kan ikke efterlades tomt
At least one mode of payment is required for POS invoice.,Der kræves mindst en betalingsform for POS-faktura.
Guardian1 Email ID,Guardian1 Email ID
Supplier delivers to Customer,Leverandør leverer til kunden
Appointment Booked,Aftale Reserveret
Target Warehouse,Target Warehouse
Stale Days,Forældede dage
Row {0}: Credit entry can not be linked with a {1},Række {0}: Kreditindtastning kan ikke knyttes til en {1}
Healthcare Practitioner {0} not available on {1},Healthcare Practitioner {0} ikke tilgængelig på {1}
All Customer Contact,Alle kundekontakter
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Behold prøve er baseret på batch, bedes du tjekke Har batch nr for at bevare prøveeksempel"
Disc,Disc
Make Accounting Entry For Every Stock Movement,Lav regnskab for hver lagerbevægelse
Check-out Date,Check-out dato
Fertilizer,Gødning
Default Tax Withholding Config,Standard Skatholdighedsconfig
Total Produced Qty,I alt produceret antal
Leave Period,Forladelsesperiode
Payment request {0} created,Betalingsanmodning {0} oprettet
UOM Conversion in Hours,UOM Konvertering i timer
Avg. Selling Price List Rate,Gennemsnitlig. Salgsprisliste
Generate Material Requests (MRP) and Work Orders.,Generer materialeanmodninger (MRP) og arbejdsordrer.
Account Balance,Kontosaldo
Periodicity,hyppighed
Medical Record,Medicinsk post
Execution,Udførelse
Valuation Method,Værdiansættelsesmetode
{0} against Sales Invoice {1},{0} imod salgsfaktura {1}
Pass,Passere
Sales Partner Target,Salgspartner mål
Referring Practitioner,Refererende udøver
Expenses Included In Asset Valuation,Udgifter inkluderet i Asset Valuation
Publishing,Forlagsvirksomhed
Sales Orders Detail,Salgsordrer Detail
Total Deduction,Samlet fradrag
EMI,EMI
Set prefix for numbering series on your transactions,Angiv præfiks for nummerering af serier på dine transaktioner
Journal Entries {0} are un-linked,Journalindlæg {0} er ikke forbundet
Other Reports,Andre rapporter
All items have already been invoiced,Alle varer er allerede faktureret
Asset scrapped via Journal Entry {0},Asset scrapped via Journal Entry {0}
Prefered Email,Foretrukken Email
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Kan ikke ændre værdiansættelsesmetode, da der er transaktioner mod nogle poster, der ikke har egen værdiansættelsesmetode"
Section Name,Afsnit Navn
Packed Item,Pakket vare
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Der kræves enten debit- eller kreditbeløb for {2}
Submitting Salary Slips...,Indsendelse af lønlister ...
No Action,Ingen handling
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Budgettet kan ikke tildeles til {0}, da det ikke er en indtægt eller udgiftskonto"
Masters and Accounts,Masters og konti
Responsible Individual,Ansvarlig person
Total Weightage of all Assessment Criteria must be 100%,Den samlede vægt af alle bedømmelseskriterier skal være 100%
An error occurred during the update process,Der opstod en fejl under opdateringsprocessen
Customer Name,Kundenavn
Amount should not be less than zero.,Beløbet bør ikke være mindre end nul.
Average Age,Gennemsnitsalder
Show Price,Vis pris
Program Enrollment Tool Student,Program tilmeldingsværktøj Student
Shipping State,Fragtstat
Please set Company,Angiv venligst firma
Balance (Dr - Cr),Balance (Dr - Cr)
Supply Type,Forsyningstype
Create documents for sample collection,Opret dokumenter til prøveindsamling
Close Opportunity After Days,Tæt mulighed efter dage
Ref Code,Ref Code
Widowed,enke
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,Lad være tomt for at bruge standardleveringsformatet
Accepted Qty,Godkendt antal
Apply Rule On Brand,Anvend regel på mærke
Show Availability Status,Vis tilgængelighed Status
Import Successfull,Import Successfull
Soil Texture,Jordstruktur
No of Visits,Antal besøg
Qualitative Feedback,Kvalitativ feedback
Response and Resoution Time,Response and Resoution Time
Expiring On,Udløbsdato
Scorecard Actions,Scorecard Actions
Stock Adjustment,Lagerjustering
Health Care,Sundhedsvæsen
No of Seats,Ingen pladser
Delete all the Transactions for this Company,Slet alle transaktionerne for dette firma
Lead Details,Bly detaljer
Default Service Level Agreement,Standard Service Level Agreement
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Filtreringsfelter række # {0}: Feltnavn <b>{1}</b> skal være af typen &quot;Link&quot; eller &quot;Table MultiSelect&quot;
Suggestions,Forslag
Get from,Få fra
Tax Rule,Skatteregler
Payment Order Status,Betalingsordre status
Duplicate entry,Duplicate entry
Example: Masters in Computer Science,Eksempel: Master i datalogi
Purchase Invoice Item,Køb faktura element
Non Profit Manager,Non Profit Manager
For Warehouse is required before Submit,For lager er påkrævet før indsendelse
Applicable To (User),Gælder for (Bruger)
Appraisal Goal,Vurderingsmål
Warn for new Purchase Orders,Advarer om nye indkøbsordrer
View Chart of Accounts,Se diagram over konti
Quotations: ,citater:
To Discuss,At diskutere
Reading 9,Læsning 9
Applicable To (Role),Gælder for (rolle)
Additional Notes,Ekstra Noter
{0} can not be negative,{0} kan ikke være negativ
Create Purchase Orders,Opret indkøbsordrer
Estimated Cost Per Position,Anslået pris pr. Position
Loan Name,Lånnavn
Set default mode of payment,Indstil standard betalingsform
Revision,Revision
Service Unit Type,Service Unit Type
Return Against Purchase Invoice,Retur mod købsfaktura
Generate Secret,Generer hemmelighed
Loyalty Program Collection,Loyalitetsprogramindsamling
Send mass SMS to your contacts,Send masse SMS til dine kontakter
Create Fee Schedule,Opret gebyrplan
File to Rename,Fil til at omdøbe
Timer exceeded the given hours.,Timeren oversteg de angivne timer.
ERPNext Account,ERPNæste konto
Item Supplier,Vare leverandør
Price List {0} is disabled or does not exist,Prisliste {0} er deaktiveret eller findes ikke
Deferred Revenue Account,Udskudt indtjeningskonto
Soil compositions do not add up to 100,Jordsammensætninger tilføjer ikke op til 100
Salary Slip Timesheet,Salary Slip Tidsskema
Warn,Advare
Email Notification Sent,E-mail-meddelelse sendt
Planned End Date,Planlagt slutdato
Quickbooks Company ID,Quickbooks Company ID
Warehouse cannot be changed for Serial No.,Lageret kan ikke ændres for serienummer
Rate of Interest (%) Yearly,Rentesats (%) Årlig
Cost of Scrapped Asset,Omkostninger til ophugget aktiv
Please set an Address on the Company '%s',Angiv en adresse på firmaet &#39;% s&#39;
Encounter Date,Encounter Date
Webhooks,Webhooks
Memebership Type Details,Memebership Type Detaljer
Resistant,Resistente
Hotel Room Package,Hotelværelsepakke
Contribution to Net Total,Bidrag til Net Total
"Reselect, if the chosen contact is edited after save","Vælg, hvis den valgte kontakt redigeres efter gem"
Employee Tax Exemption Sub Category,Beskatningsfritagelse for lønmodtager under kategori
Row {0}# Paid Amount cannot be greater than requested advance amount,Række {0} # Betalt beløb kan ikke være større end det ønskede forskudsbeløb
This value is used for pro-rata temporis calculation,Denne værdi anvendes til pro rata temporis beregning
Change Abbreviation,Skift forkortelse
Total Consumed Material Cost  (via Stock Entry),Samlet forbrugt materialeomkostning (via lagerindtastning)
Raw Materials Supplied,Leverede råvarer
Condition and Formula Help,Tilstand og formel Hjælp
Balance ({0}),Balance ({0})
Student ID: ,Studiekort:
New Leaves Allocated (In Days),Nye blade fordelt (i dage)
To Datetime,Til Datetime
Lab result datetime cannot be before testing datetime,Lab resultatet datetime kan ikke være før test af datetime
Please re-type company name to confirm,Venligst skriv virksomhedens navn igen for at bekræfte
Subscription Period,Abonnementsperiode
Position,Position
Sibling Details,Søskende Detaljer
Is Finance Cost Adjustment,Er økonomikostnadsjustering
Encounter Impression,Encounter Impression
N/A,N / A
Lab Technician,Laboratorie tekniker
"Item {0} is a template, please select one of its variants","Vare {0} er en skabelon, vælg venligst en af dens varianter"
How Pricing Rule is applied?,Hvordan prissætningsregel anvendes?
Email Digest Settings,Email Digest Settings
Inter Company Journal Entry,Inter Company Journal Entry
Create Delivery Trip,Opret leveringsrejse
Row # {0}: Serial No {1} does not match with {2} {3},Række nr. {0}: Serienummer {1} stemmer ikke overens med {2} {3}
Sales Order required for Item {0},Salgsordre påkrævet for vare {0}
Get Details From Declaration,Få detaljer fra erklæring
Support Hour Distribution,Support Time Distribution
Allow Account Creation Against Child Company,Tillad oprettelse af kontoen mod børneselskabet
Company Bank Account,Virksomhedens bankkonto
UK,UK
