DocType: Accounting Period,Period Name,Periode Naam
DocType: Supplier Scorecard,Per Month,Per maand
DocType: Education Settings,Make Academic Term Mandatory,Maak een academische termijn verplicht
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Quantity to Manufacture must be greater than 0.,Hoeveelheid voor fabricage moet groter dan 0 zijn.
apps/erpnext/erpnext/config/crm.py,Visit report for maintenance call.,Bezoek rapport voor onderhoud gesprek.
DocType: Stock Entry,Update Rate and Availability,Update snelheid en beschikbaarheid
DocType: Stock Settings,Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,Percentage dat u meer mag ontvangen of leveren dan de bestelde hoeveelheid. Bijvoorbeeld: Als u  100 eenheden heeft besteld en uw bandbreedte is 10% dan mag u 110 eenheden ontvangen.
DocType: Shopping Cart Settings,Show Contact Us Button,Toon contact knop
DocType: Loyalty Program,Customer Group,Klantengroep
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch ID (Optional),Nieuw batch-id (optioneel)
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch ID (Optional),Nieuw batch-id (optioneel)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Expense account is mandatory for item {0},Kostenrekening is verplicht voor artikel {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Release date must be in the future,Releasedatum moet in de toekomst liggen
DocType: BOM,Website Description,Website Beschrijving
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Equity,Netto wijziging in het eigen vermogen
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit_type/healthcare_service_unit_type.py,Not permitted. Please disable the Service Unit Type,Niet toegestaan. Schakel het type service-eenheid uit
apps/erpnext/erpnext/crm/doctype/lead/lead.py,"Email Address must be unique, already exists for {0}","E-mailadres moet uniek zijn, bestaat al voor {0}"
DocType: Serial No,AMC Expiry Date,AMC Vervaldatum
DocType: Asset,Receipt,Ontvangst
,Sales Register,Verkoopregister
DocType: Daily Work Summary Group,Send Emails At,Stuur e-mails
DocType: Quotation Lost Reason,Quotation Lost Reason,Reden verlies van Offerte
apps/erpnext/erpnext/accounts/doctype/sales_invoice/regional/india_list.js,Generate e-Way Bill JSON,Genereer e-Way Bill JSON
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Transaction reference no {0} dated {1},Transactiereferentie geen {0} van {1}
apps/erpnext/erpnext/setup/doctype/supplier_group/supplier_group.js,There is nothing to edit.,Er is niets om te bewerken .
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Form View,Formulierweergave
DocType: HR Settings,Expense Approver Mandatory In Expense Claim,Expense Approver Verplicht in onkostendeclaratie
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Summary for this month and pending activities,Samenvatting voor deze maand en in afwachting van activiteiten
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,Please set Unrealized Exchange Gain/Loss Account in Company {0},Stel een niet-gerealiseerde Exchange-winst / verliesrekening in in bedrijf {0}
apps/erpnext/erpnext/utilities/user_progress.py,"Add users to your organization, other than yourself.","Voeg gebruikers toe aan uw organisatie, behalve uzelf."
DocType: Customer Group,Customer Group Name,Klant Groepsnaam
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: Quantity not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),Rij {0}: hoeveelheid niet beschikbaar voor {4} in magazijn {1} op het moment van boeking ({2} {3})
apps/erpnext/erpnext/public/js/pos/pos.html,No Customers yet!,Nog geen klanten!
DocType: Quality Procedure Process,Link existing Quality Procedure.,Koppel bestaande kwaliteitsprocedures.
apps/erpnext/erpnext/config/hr.py,Loans,Leningen
DocType: Healthcare Service Unit,Healthcare Service Unit,Service-eenheid voor de gezondheidszorg
,Customer-wise Item Price,Klantgewijs Artikelprijs
apps/erpnext/erpnext/public/js/financial_statements.js,Cash Flow Statement,Kasstroomoverzicht
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,No material request created,Er is geen aanvraag voor een artikel gemaakt
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.py,Loan Amount cannot exceed Maximum Loan Amount of {0},Geleende bedrag kan niet hoger zijn dan maximaal bedrag van de lening van {0}
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,License,Licentie
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please remove this Invoice {0} from C-Form {1},Verwijder dit Invoice {0} van C-Form {1}
DocType: Leave Control Panel,Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Selecteer Carry Forward als u ook wilt opnemen vorige boekjaar uit balans laat dit fiscale jaar
DocType: GL Entry,Against Voucher Type,Tegen Voucher Type
DocType: Healthcare Practitioner,Phone (R),Telefoon (R)
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Invalid {0} for Inter Company Transaction.,Ongeldige {0} voor interbedrijfstransactie.
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Time slots added,Tijdslots toegevoegd
DocType: Products Settings,Attributes,Attributen
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Enable Template,Sjabloon inschakelen
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Please enter Write Off Account,Voer Afschrijvingenrekening in
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Last Order Date,Laatste Bestel Date
DocType: Accounts Settings,Unlink Advance Payment on Cancelation of Order,Vooruitbetaling bij annulering van bestelling ontkoppelen
DocType: Salary Component,Is Payable,Is betaalbaar
DocType: Inpatient Record,B Negative,B Negatief
DocType: Pricing Rule,Price Discount Scheme,Prijs kortingsregeling
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Maintenance Status has to be Cancelled or Completed to Submit,Onderhoudsstatus moet worden geannuleerd of voltooid om te verzenden
DocType: Amazon MWS Settings,US,ONS
DocType: Holiday List,Add Weekly Holidays,Wekelijkse feestdagen toevoegen
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Report Item,Meld item
DocType: Staffing Plan Detail,Vacancies,vacatures
DocType: Hotel Room,Hotel Room,Hotelkamer
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Account {0} does not belongs to company {1},Account {0} behoort niet tot bedrijf {1}
DocType: Homepage Section,Use this field to render any custom HTML in the section.,Gebruik dit veld om aangepaste HTML in de sectie te maken.
DocType: Leave Type,Rounding,ronding
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Numbers in row {0} does not match with Delivery Note,Serienummers in rij {0} komt niet overeen met bezorgingsnota
DocType: Employee Benefit Application,Dispensed Amount (Pro-rated),Beschikbaar bedrag (pro-rated)
DocType: Student,Guardian Details,Guardian Details
DocType: C-Form,C-Form,C-Form
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,Ongeldige GSTIN! De eerste 2 cijfers van GSTIN moeten overeenkomen met staatnummer {0}.
DocType: Agriculture Task,Start Day,Start dag
DocType: Vehicle,Chassis No,chassis Geen
DocType: Payment Entry,Initiated,Geïnitieerd
DocType: Production Plan Item,Planned Start Date,Geplande Startdatum
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select a BOM,Selecteer een stuklijst
DocType: Purchase Invoice,Availed ITC Integrated Tax,Beschikbaar in ITC Integrated Tax
apps/erpnext/erpnext/hr/doctype/loan/loan.js,Create Repayment Entry,Creëer terugbetaling
DocType: Purchase Order Item,Blanket Order Rate,Deken Besteltarief
,Customer Ledger Summary,Overzicht klantenboek
apps/erpnext/erpnext/hooks.py,Certification,certificaat
DocType: Bank Guarantee,Clauses and Conditions,Clausules en voorwaarden
DocType: Serial No,Creation Document Type,Aanmaken Document type
DocType: Amazon MWS Settings,ES,ES
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Get Invoices,Ontvang facturen
DocType: Leave Allocation,New Leaves Allocated,Nieuwe Verloven Toegewezen
apps/erpnext/erpnext/controllers/trends.py,Project-wise data is not available for Quotation,Projectgegevens zijn niet beschikbaar voor Offertes
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,End on,Eindigt op
DocType: Project,Expected End Date,Verwachte einddatum
DocType: Budget Account,Budget Amount,budget Bedrag
DocType: Donor,Donor Name,Donornaam
DocType: Journal Entry,Inter Company Journal Entry Reference,Inter Company Journal Entry Reference
DocType: Course,Topics,Onderwerpen
DocType: Tally Migration,Is Day Book Data Processed,Worden dagboekgegevens verwerkt
DocType: Appraisal Template,Appraisal Template Title,Beoordeling Template titel
apps/erpnext/erpnext/utilities/user_progress_utils.py,Commercial,commercieel
DocType: Patient,Alcohol Current Use,Alcohol Huidig Gebruik
DocType: Employee Tax Exemption Proof Submission,House Rent Payment Amount,Bedrag van de huursom van de huurwoning
DocType: Student Admission Program,Student Admission Program,Studenten toelating programma
DocType: Employee Tax Exemption Sub Category,Tax Exemption Category,Categorie BTW-vrijstelling
DocType: Payment Entry,Account Paid To,Rekening betaald aan
DocType: Subscription Settings,Grace Period,Genade periode
DocType: Item Alternative,Alternative Item Name,Alternatieve artikelnaam
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Parent Item {0} must not be a Stock Item,Ouder Item {0} moet een Stock Item niet
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note_list.js,Cannot create a Delivery Trip from Draft documents.,Kan geen bezorgreis maken vanuit conceptdocumenten.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Website Listing,Website Listing
apps/erpnext/erpnext/config/buying.py,All Products or Services.,Alle producten of diensten.
DocType: Email Digest,Open Quotations,Open offertes
apps/erpnext/erpnext/www/all-products/item_row.html,More Details,Meer details
DocType: Supplier Quotation,Supplier Address,Adres Leverancier
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} Budget voor Account {1} tegen {2} {3} is {4}. Het zal overschrijden tegen {5}
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,This feature is under development...,Deze functie is in ontwikkeling ...
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Creating bank entries...,Bankboekingen maken ...
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Out Qty,out Aantal
apps/erpnext/erpnext/buying/doctype/supplier/supplier.py,Series is mandatory,Reeks is verplicht
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Financial Services,Financiële Dienstverlening
DocType: Student Sibling,Student ID,student ID
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be greater than zero,Voor Hoeveelheid moet groter zijn dan nul
apps/erpnext/erpnext/config/projects.py,Types of activities for Time Logs,Soorten activiteiten voor Time Logs
DocType: Opening Invoice Creation Tool,Sales,Verkoop
DocType: Stock Entry Detail,Basic Amount,Basisbedrag
DocType: Training Event,Exam,tentamen
DocType: Email Campaign,Email Campaign,E-mail campagne
apps/erpnext/erpnext/public/js/hub/hub_call.js,Marketplace Error,Marktplaatsfout
DocType: Complaint,Complaint,Klacht
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Warehouse required for stock Item {0},Magazijn nodig voor voorraad Artikel {0}
DocType: Leave Allocation,Unused leaves,Ongebruikte afwezigheden
apps/erpnext/erpnext/patches/v11_0/create_department_records_for_each_company.py,All Departments,Alle afdelingen
DocType: Healthcare Service Unit,Vacant,Vrijgekomen
DocType: Patient,Alcohol Past Use,Alcohol voorbij gebruik
DocType: Fertilizer Content,Fertilizer Content,Kunstmestinhoud
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,No description,Geen beschrijving
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Cr,Cr
DocType: Tax Rule,Billing State,Billing State
DocType: Quality Goal,Monitoring Frequency,Monitoring frequentie
DocType: Share Transfer,Transfer,Verplaatsen
DocType: Quality Action,Quality Feedback,Kwaliteitsfeedback
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Work Order {0} must be cancelled before cancelling this Sales Order,Werkorder {0} moet worden geannuleerd voordat deze klantorder wordt geannuleerd
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Fetch exploded BOM (including sub-assemblies),Haal uitgeklapte Stuklijst op (inclusief onderdelen)
DocType: Authorization Rule,Applicable To (Employee),Van toepassing zijn op (Werknemer)
apps/erpnext/erpnext/controllers/accounts_controller.py,Due Date is mandatory,Vervaldatum is verplicht
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than received quantity,Kan hoeveelheid niet lager instellen dan ontvangen hoeveelheid
apps/erpnext/erpnext/controllers/item_variant.py,Increment for Attribute {0} cannot be 0,Toename voor Attribute {0} kan niet worden 0
DocType: Employee Benefit Claim,Benefit Type and Amount,Type en bedrag van het voordeel
DocType: Delivery Stop,Visited,Bezocht
apps/erpnext/erpnext/hotels/report/hotel_room_occupancy/hotel_room_occupancy.py,Rooms Booked,Kamers geboekt
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Ends On date cannot be before Next Contact Date.,Eindigt op datum kan niet eerder zijn dan volgende contactdatum.
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Batch Entries,Batchvermeldingen
DocType: Journal Entry,Pay To / Recd From,Betaal aan / Ontv van
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Unpublish Item,Publicatie ongedaan maken
DocType: Naming Series,Setup Series,Instellen Reeksen
DocType: Payment Reconciliation,To Invoice Date,Om factuurdatum
DocType: Bank Account,Contact HTML,Contact HTML
DocType: Support Settings,Support Portal,Ondersteuningsportal
apps/erpnext/erpnext/healthcare/doctype/healthcare_settings/healthcare_settings.py,Registration fee can not be Zero,Registratiekosten kunnen geen Zero zijn
DocType: Disease,Treatment Period,Behandelingsperiode
DocType: Travel Itinerary,Travel Itinerary,Reisplan
apps/erpnext/erpnext/education/api.py,Result already Submitted,Resultaat is al verzonden
apps/erpnext/erpnext/controllers/buying_controller.py,Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Gereserveerd magazijn is verplicht voor artikel {0} in geleverde grondstoffen
,Inactive Customers,inactieve klanten
DocType: Student Admission Program,Maximum Age,Maximum leeftijd
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Please wait 3 days before resending the reminder.,Wacht 3 dagen voordat je de herinnering opnieuw verzendt.
DocType: Landed Cost Voucher,Purchase Receipts,Aankoopfacturen
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,"Upload a bank statement, link or reconcile a bank account","Upload een bankafschrift, koppel of verzoen een bankrekening"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,How Pricing Rule is applied?,Hoe wordt de Prijsregel toegepast?
DocType: Stock Entry,Delivery Note No,Vrachtbrief Nr
DocType: Cheque Print Template,Message to show,Bericht om te laten zien
apps/erpnext/erpnext/public/js/setup_wizard.js,Retail,Retail
DocType: Student Attendance,Absent,Afwezig
DocType: Staffing Plan,Staffing Plan Detail,Personeelsplan Detail
DocType: Employee Promotion,Promotion Date,Promotiedatum
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Leave allocation %s is linked with leave application %s,Verloftoewijzing% s is gekoppeld aan verlofaanvraag% s
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Product Bundle,Product Bundle
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard.py,Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,Kan geen score beginnen bij {0}. Je moet een score hebben van 0 tot 100
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Invalid reference {1},Rij {0}: Invalid referentie {1}
apps/erpnext/erpnext/assets/doctype/location/location_tree.js,New Location,Nieuwe locatie
DocType: Purchase Invoice,Purchase Taxes and Charges Template,Aankoop en -heffingen Template
DocType: Additional Salary,Date on which this component is applied,Datum waarop dit onderdeel wordt toegepast
DocType: Subscription,Current Invoice Start Date,Huidige startdatum factuur
DocType: Designation Skill,Designation Skill,Benaming Vaardigheid
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Import of goods,Goederen importeren
DocType: Timesheet,TS-,TS-
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Ofwel debet of credit bedrag is vereist voor {2}
DocType: GL Entry,Remarks,Opmerkingen
DocType: Support Settings,Track Service Level Agreement,Volg Service Level Agreement
DocType: Hotel Room Amenity,Hotel Room Amenity,Hotel Room Amenity
DocType: Budget,Action if Annual Budget Exceeded on MR,Actie als de jaarlijkse begroting de MR overschrijdt
DocType: Course Enrollment,Course Enrollment,Cursusinschrijving
DocType: Payment Entry,Account Paid From,Account betaald uit
DocType: Purchase Order Item Supplied,Raw Material Item Code,Grondstof Artikelcode
DocType: Task,Parent Task,Oudertaak
DocType: Project,From Template,Van sjabloon
DocType: Journal Entry,Write Off Based On,Afschrijving gebaseerd op
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Print and Stationery,Print en stationaire
DocType: Stock Settings,Show Barcode Field,Show streepjescodeveld
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Send Supplier Emails,Stuur Leverancier Emails
DocType: Asset Movement,ACC-ASM-.YYYY.-,ACC-ASM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Salaris al verwerkt voor de periode tussen {0} en {1}, Laat aanvraagperiode kan niet tussen deze periode."
DocType: Fiscal Year,Auto Created,Auto gemaakt
apps/erpnext/erpnext/hr/doctype/employee_onboarding/employee_onboarding.py,Submit this to create the Employee record,Dien dit in om het werknemersrecord te creëren
DocType: Item Default,Item Default,Item Standaard
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Intra-State Supplies,Leveringen binnen de staat
DocType: Chapter Member,Leave Reason,Verlaat de Rede
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,IBAN is not valid,IBAN is niet geldig
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Invoice {0} no longer exists,Factuur {0} bestaat niet meer
DocType: Guardian Interest,Guardian Interest,Guardian Interest
DocType: Volunteer,Availability,Beschikbaarheid
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.py,Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Verlofaanvraag is gekoppeld aan verloftoekenningen {0}. Verlofaanvraag kan niet worden ingesteld als verlof zonder betaling
apps/erpnext/erpnext/config/retail.py,Setup default values for POS Invoices,Stel standaardwaarden in voor POS-facturen
DocType: Employee Training,Training,Opleiding
DocType: Project,Time to send,Tijd om te verzenden
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,This page keeps track of your items in which buyers have showed some interest.,Deze pagina houdt uw items bij waarin kopers enige interesse hebben getoond.
DocType: Timesheet,Employee Detail,werknemer Detail
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.py,Set warehouse for Procedure {0} ,Magazijn instellen voor procedure {0}
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,Guardian1 Email ID
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,Guardian1 Email ID
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Error: {0} is mandatory field,Fout: {0} is verplicht veld
DocType: Lab Prescription,Test Code,Testcode
apps/erpnext/erpnext/config/website.py,Settings for website homepage,Instellingen voor website homepage
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} is on hold till {1},{0} staat in de wacht totdat {1}
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,RFQs are not allowed for {0} due to a scorecard standing of {1},RFQ&#39;s zijn niet toegestaan voor {0} door een scorecard van {1}
apps/erpnext/erpnext/templates/pages/order.html,Make Purchase Invoice,Maak inkoopfactuur
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Used Leaves,Gebruikte bladeren
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,{0} Coupon used are {1}. Allowed quantity is exhausted,{0} Gebruikte coupon is {1}. Toegestane hoeveelheid is op
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Do you want to submit the material request,Wilt u het materiële verzoek indienen?
DocType: Job Offer,Awaiting Response,Wachten op antwoord
DocType: Course Schedule,EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Above,Boven
DocType: Support Search Source,Link Options,Link opties
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Total Amount {0},Totaalbedrag {0}
apps/erpnext/erpnext/controllers/item_variant.py,Invalid attribute {0} {1},Ongeldige eigenschap {0} {1}
DocType: Supplier,Mention if non-standard payable account,Noem als niet-standaard betaalbaar account
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.py,Please select the assessment group other than 'All Assessment Groups',Selecteer de beoordelingsgroep anders dan &#39;Alle beoordelingsgroepen&#39;
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Row {0}: Cost center is required for an item {1},Rij {0}: Kostencentrum is vereist voor een item {1}
DocType: Training Event Employee,Optional,facultatief
DocType: Salary Slip,Earning & Deduction,Verdienen &amp; Aftrek
DocType: Agriculture Analysis Criteria,Water Analysis,Water analyse
DocType: Sales Order,Skip Delivery Note,Afleverbon overslaan
DocType: Price List,Price Not UOM Dependent,Prijs niet UOM afhankelijk
apps/erpnext/erpnext/stock/doctype/item/item.js,{0} variants created.,{0} varianten gemaakt.
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,A Default Service Level Agreement already exists.,Er bestaat al een standaard Service Level Agreement.
DocType: Quality Objective,Quality Objective,Kwaliteitsdoelstelling
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Optional. This setting will be used to filter in various transactions.,Optioneel. Deze instelling wordt gebruikt om te filteren op diverse transacties .
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Valuation Rate is not allowed,Negatieve Waarderingstarief is niet toegestaan
DocType: Holiday List,Weekly Off,Wekelijks Vrij
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.js,Reload Linked Analysis,Reload Linked Analysis
DocType: Fiscal Year,"For e.g. 2012, 2012-13","Voor bijvoorbeeld 2012, 2012-13"
DocType: Purchase Order,Purchase Order Pricing Rule,Prijsregel inkooporder
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Provisional Profit / Loss (Credit),Voorlopige winst / verlies (Credit)
DocType: Sales Invoice,Return Against Sales Invoice,Terug Tegen Sales Invoice
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 5,Punt 5
DocType: Serial No,Creation Time,Aanmaaktijd
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Total Revenue,Totale omzet
DocType: Patient,Other Risk Factors,Andere risicofactoren
DocType: Sales Invoice,Product Bundle Help,Product Bundel Help
,Monthly Attendance Sheet,Maandelijkse Aanwezigheids Sheet
DocType: Homepage Section Card,Subtitle,subtitel
apps/erpnext/erpnext/hr/report/employee_advance_summary/employee_advance_summary.py,No record found,Geen record gevonden
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of Scrapped Asset,Kosten van Gesloopt Asset
DocType: Employee Checkin,OUT,UIT
apps/erpnext/erpnext/controllers/stock_controller.py,{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: kostenplaats is verplicht voor Artikel {2}
DocType: Vehicle,Policy No,beleid Geen
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get Items from Product Bundle,Krijg Items uit Product Bundle
DocType: Asset,Straight Line,Rechte lijn
DocType: Project User,Project User,project Gebruiker
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,spleet
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,spleet
DocType: Tally Migration,Master Data,Stamgegevens
DocType: Employee Transfer,Re-allocate Leaves,Bladeren opnieuw toewijzen
DocType: GL Entry,Is Advance,Is voorschot
apps/erpnext/erpnext/config/hr.py,Employee Lifecycle,Employee Lifecycle
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Attendance From Date and Attendance To Date is mandatory,Aanwezigheid Van Datum en Aanwezigheid Tot Datum zijn verplicht.
apps/erpnext/erpnext/controllers/buying_controller.py,Please enter 'Is Subcontracted' as Yes or No,Vul 'Is Uitbesteed' in als Ja of Nee
DocType: Item,Default Purchase Unit of Measure,Standaard aankoopeenheid van maatregel
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Laatste Communicatie Datum
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Laatste Communicatie Datum
DocType: Clinical Procedure Item,Clinical Procedure Item,Klinische procedure Item
DocType: Sales Team,Contact No.,Contact Nr
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Billing Address is same as Shipping Address,Factuuradres is hetzelfde als verzendadres
DocType: Bank Reconciliation,Payment Entries,betaling Entries
DocType: Location,Latitude,Breedtegraad
DocType: Work Order,Scrap Warehouse,Scrap Warehouse
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Magazijn vereist bij rij Nee {0}, stel het standaardmagazijn in voor het artikel {1} voor het bedrijf {2}"
DocType: Work Order,Check if material transfer entry is not required,Controleer of de invoer van materiaaloverdracht niet vereist is
DocType: Work Order,Check if material transfer entry is not required,Controleer of de invoer van materiaaloverdracht niet vereist is
DocType: Program Enrollment Tool,Get Students From,Krijgen studenten uit
apps/erpnext/erpnext/config/help.py,Publish Items on Website,Artikelen publiceren op de website
apps/erpnext/erpnext/utilities/activation.py,Group your students in batches,Groep uw leerlingen in batches
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be greater than unadjusted amount,Toegewezen bedrag kan niet groter zijn dan niet-aangepast bedrag
DocType: Authorization Rule,Authorization Rule,Autorisatie Rule
apps/erpnext/erpnext/projects/doctype/project/project.py,Status must be Cancelled or Completed,Status moet worden geannuleerd of voltooid
DocType: Sales Invoice,Terms and Conditions Details,Algemene Voorwaarden Details
DocType: Sales Invoice,Sales Taxes and Charges Template,Sales en -heffingen Template
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Total (Credit),Totaal (Credit)
DocType: Repayment Schedule,Payment Date,Betaaldatum
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch Qty,Nieuw aantal batches
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch Qty,Nieuw aantal batches
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Apparel & Accessories,Kleding & Toebehoren
apps/erpnext/erpnext/controllers/accounts_controller.py,Item quantity can not be zero,Artikelhoeveelheid kan niet nul zijn
