DocType: Accounting Period,Period Name,Periode Navn
DocType: Bank,Data Import Configuration,Dataimportkonfigurasjon
DocType: Asset Maintenance Task,Last Completion Date,Siste sluttdato
apps/erpnext/erpnext/accounts/report/inactive_sales_items/inactive_sales_items.js,Days Since Last Order,Dager siden siste Bestill
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To account must be a Balance Sheet account,Uttak fra kontoen må være en balansekonto
DocType: Asset,Naming Series,Navngi Series
DocType: Vital Signs,Coated,Coated
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Row {0}: Forventet verdi etter brukbart liv må være mindre enn brutto innkjøpsbeløp
apps/erpnext/erpnext/regional/italy/utils.py,Please set {0} for address {1},Angi {0} for adresse {1}
DocType: GoCardless Settings,GoCardless Settings,GoCardless Innstillinger
apps/erpnext/erpnext/controllers/stock_controller.py,Create Quality Inspection for Item {0},Lag kvalitetskontroll for varen {0}
DocType: Leave Block List,Leave Block List Name,La Block List Name
DocType: Certified Consultant,Certification Validity,Sertifiserings gyldighet
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Insurance Start date should be less than Insurance End date,Forsikring Startdatoen må være mindre enn Forsikring Sluttdato
DocType: Support Settings,Service Level Agreements,Avtaler om servicenivå
DocType: Shopping Cart Settings,Display Settings,Skjerminnstillinger
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Assets,Aksje Eiendeler
DocType: Restaurant,Active Menu,Aktiv meny
DocType: Accounting Dimension Detail,Default Dimension,Standard dimensjon
DocType: Target Detail,Target Qty,Target Antall
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Against Loan: {0},Mot lån: {0}
DocType: Shopping Cart Settings,Checkout Settings,Kasse Innstillinger
DocType: Student Attendance,Present,Present
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Delivery Note {0} must not be submitted,Levering Note {0} må ikke sendes inn
DocType: HR Settings,"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Lønnsslippen som sendes til den ansatte vil være passordbeskyttet, passordet vil bli generert basert på passordpolitikken."
apps/erpnext/erpnext/accounts/doctype/period_closing_voucher/period_closing_voucher.py,Closing Account {0} must be of type Liability / Equity,Lukke konto {0} må være av typen Ansvar / Egenkapital
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Slip of employee {0} already created for time sheet {1},Lønn Slip av ansattes {0} allerede opprettet for timeregistrering {1}
DocType: Vehicle Log,Odometer,Kilometerteller
DocType: Production Plan Item,Ordered Qty,Bestilte Antall
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is disabled,Element {0} er deaktivert
DocType: Stock Settings,Stock Frozen Upto,Stock Frozen Opp
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,BOM does not contain any stock item,BOM inneholder ikke lagervare
DocType: Chapter,Chapter Head,Kapittelhode
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Search for a payment,Søk etter en betaling
DocType: Payment Term,Month(s) after the end of the invoice month,Måned (e) etter slutten av faktura måneden
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Salary Structure should have flexible benefit component(s) to dispense benefit amount,Lønnsstruktur bør ha fleksible fordelskomponenter for å dispensere ytelsesbeløpet
apps/erpnext/erpnext/config/projects.py,Project activity / task.,Prosjektet aktivitet / oppgave.
DocType: Vital Signs,Very Coated,Veldig belagt
DocType: Salary Component,Only Tax Impact (Cannot Claim But Part of Taxable Income),Kun skattepåvirkning (kan ikke kreve men en del av skattepliktig inntekt)
DocType: Vehicle Log,Refuelling Details,Fylle drivstoff Detaljer
apps/erpnext/erpnext/agriculture/doctype/water_analysis/water_analysis.py,Lab result datetime cannot be before testing datetime,Lab-resultat datetime kan ikke være før testing av datetime
DocType: Delivery Trip,Use Google Maps Direction API to optimize route,Bruk Google Maps Direction API for å optimalisere ruten
DocType: POS Profile,Allow user to edit Discount,Tillat brukeren å redigere rabatt
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Get customers from,Få kunder fra
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per rules 42 & 43 of CGST Rules,I henhold til regel 42 og 43 i CGST-regler
DocType: Purchase Invoice Item,Include Exploded Items,Inkluder eksploderte elementer
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,"Buying must be checked, if Applicable For is selected as {0}","Kjøper må sjekkes, hvis dette gjelder for er valgt som {0}"
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Discount must be less than 100,Rabatt må være mindre enn 100
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Start Time can't be greater than or equal to End Time \
					for {0}.",Starttid kan ikke være større enn eller lik sluttid \ for {0}.
DocType: Shipping Rule,Restrict to Countries,Begrens til land
DocType: Shift Type,Alternating entries as IN and OUT during the same shift,Vekslende oppføringer som IN og UT under samme skift
DocType: Shopify Settings,Shared secret,Delt hemmelighet
DocType: Amazon MWS Settings,Synch Taxes and Charges,Synkeskatter og -kostnader
DocType: Purchase Invoice,Write Off Amount (Company Currency),Skriv Off Beløp (Selskap Valuta)
DocType: Sales Invoice Timesheet,Billing Hours,fakturerings~~POS=TRUNC Timer
DocType: Project,Total Sales Amount (via Sales Order),Total salgsbeløp (via salgsordre)
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Default BOM for {0} not found,Standard BOM for {0} ikke funnet
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,Startdato for regnskapsår bør være ett år tidligere enn sluttdato for regnskapsår
apps/erpnext/erpnext/stock/doctype/item/item.py,Row #{0}: Please set reorder quantity,Row # {0}: Vennligst sett omgjøring kvantitet
apps/erpnext/erpnext/public/js/pos/pos.html,Tap items to add them here,Trykk på elementer for å legge dem til her
DocType: Course Enrollment,Program Enrollment,program Påmelding
apps/erpnext/erpnext/controllers/item_variant.py,Rename Not Allowed,Gi nytt navn ikke tillatt
DocType: Share Transfer,To Folio No,Til Folio nr
DocType: Landed Cost Voucher,Landed Cost Voucher,Landed Cost Voucher
apps/erpnext/erpnext/config/accounting.py,Tax Category for overriding tax rates.,Skattekategori for overordnede skattesatser.
apps/erpnext/erpnext/public/js/queries.js,Please set {0},Vennligst sett {0}
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is inactive student,{0} - {1} er inaktiv student
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is inactive student,{0} - {1} er inaktiv student
DocType: Employee,Health Details,Helse Detaljer
DocType: Coupon Code,Coupon Type,Kupongtype
DocType: Leave Encashment,Encashable days,Klembare dager
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,To create a Payment Request reference document is required,For å opprette en betalingsforespørsel kreves referansedokument
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,To create a Payment Request reference document is required,For å opprette en betalingsforespørsel kreves referansedokument
DocType: Soil Texture,Sandy Clay,Sandy Clay
DocType: Grant Application,Assessment  Manager,Vurderingsleder
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Allocate Payment Amount,Fordele Betalingsbeløp
DocType: Subscription Plan,Subscription Plan,Abonnementsplan
DocType: Employee External Work History,Salary,Lønn
DocType: Serial No,Delivery Document Type,Levering dokumenttype
DocType: Sales Order,Partly Delivered,Delvis Leveres
DocType: Item Variant Settings,Do not update variants on save,Ikke oppdater varianter på lagre
DocType: Email Digest,Receivables,Fordringer
DocType: Lead Source,Lead Source,Lead Source
DocType: Customer,Additional information regarding the customer.,Ytterligere informasjon om kunden.
DocType: Quality Inspection Reading,Reading 5,Reading 5
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} er knyttet til {2}, men partikonto er {3}"
DocType: Bank Statement Settings Item,Bank Header,Bankoverskrift
apps/erpnext/erpnext/healthcare/doctype/sample_collection/sample_collection.js,View Lab Tests,Se labtester
DocType: Hub Users,Hub Users,Hub-brukere
DocType: Purchase Invoice,Y,Y
DocType: Maintenance Visit,Maintenance Date,Vedlikehold Dato
DocType: Purchase Invoice Item,Rejected Serial No,Avvist Serial No
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Year start date or end date is overlapping with {0}. To avoid please set company,År startdato eller sluttdato er overlappende med {0}. For å unngå vennligst sett selskap
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Please mention the Lead Name in Lead {0},Vennligst nevne Lead Name in Lead {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Start date should be less than end date for Item {0},Startdato skal være mindre enn sluttdato for Element {0}
DocType: Shift Type,Auto Attendance Settings,Innstillinger for automatisk deltagelse
DocType: Item,"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Eksempel:. ABCD ##### Hvis serien er satt og serienummer er ikke nevnt i transaksjoner, og deretter automatisk serienummer vil bli opprettet basert på denne serien. Hvis du alltid vil eksplisitt nevne Serial Nos for dette elementet. la dette stå tomt."
DocType: Upload Attendance,Upload Attendance,Last opp Oppmøte
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,BOM and Manufacturing Quantity are required,BOM og Industri Antall kreves
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 2,Aldring Range 2
DocType: SG Creation Tool Course,Max Strength,Max Strength
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Installing presets,Installere forhåndsinnstillinger
DocType: Fee Schedule,EDU-FSH-.YYYY.-,EDU-FSH-.YYYY.-
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,No Delivery Note selected for Customer {},Ingen leveringsnotering valgt for kunden {}
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Rows Added in {0},Rader lagt til i {0}
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Employee {0} has no maximum benefit amount,Medarbeider {0} har ingen maksimal ytelsesbeløp
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select Items based on Delivery Date,Velg elementer basert på leveringsdato
DocType: Grant Application,Has any past Grant Record,Har noen tidligere Grant Record
,Sales Analytics,Salgs Analytics
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Available {0},Tilgjengelig {0}
,Prospects Engaged But Not Converted,"Utsikter engasjert, men ikke konvertert"
,Prospects Engaged But Not Converted,"Utsikter engasjert, men ikke konvertert"
DocType: Manufacturing Settings,Manufacturing Settings,Produksjons Innstillinger
DocType: Quality Feedback Template Parameter,Quality Feedback Template Parameter,Parameter for tilbakemelding av kvalitet
apps/erpnext/erpnext/config/settings.py,Setting up Email,Sette opp e-post
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Mobile No,Guardian1 Mobile No
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Please enter default currency in Company Master,Skriv inn standardvaluta i selskapet Master
DocType: Stock Entry Detail,Stock Entry Detail,Stock Entry Detail
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Daily Reminders,Daglige påminnelser
apps/erpnext/erpnext/templates/pages/help.html,See all open tickets,Se alle åpne billetter
DocType: Brand,Brand Defaults,Standard for merkevare
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.js,Healthcare Service Unit Tree,Healthcare Service Unit Tree
DocType: Pricing Rule,Product,Produkt
DocType: Products Settings,Home Page is Products,Hjemme side er produkter
,Asset Depreciation Ledger,Asset Avskrivninger Ledger
DocType: Salary Structure,Leave Encashment Amount Per Day,Forlat innkjøpsbeløp per dag
DocType: Loyalty Program Collection,For how much spent = 1 Loyalty Point,For hvor mye brukt = 1 Lojalitetspoeng
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,Tax Rule Conflicts with {0},Skatteregel Konflikter med {0}
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,New Account Name,New Account Name
DocType: Purchase Invoice Item,Raw Materials Supplied Cost,Råvare Leveres Cost
DocType: Selling Settings,Settings for Selling Module,Innstillinger for å selge Module
DocType: Hotel Room Reservation,Hotel Room Reservation,Hotellrombestilling
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Customer Service,Kundeservice
DocType: BOM,Thumbnail,Thumbnail
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.py,No contacts with email IDs found.,Ingen kontakter med e-postadresser funnet.
DocType: Item Customer Detail,Item Customer Detail,Sak Customer Detalj
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Maximum benefit amount of employee {0} exceeds {1},Maksimal ytelsesbeløp for ansatt {0} overstiger {1}
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more than days in the period,Totalt tildelte bladene er mer enn dager i perioden
DocType: Linked Soil Analysis,Linked Soil Analysis,Koblet jordanalyse
DocType: Pricing Rule,Percentage,Prosentdel
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Item {0} must be a stock Item,Elementet {0} må være en lagervare
DocType: Manufacturing Settings,Default Work In Progress Warehouse,Standard Work In Progress Warehouse
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","Tidsplaner for {0} overlapper, vil du fortsette etter å ha hoppet over overlapte spor?"
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.js,Grant Leaves,Grant Leaves
DocType: Restaurant,Default Tax Template,Standardskattemall
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,{0} Students have been enrolled,{0} Studentene har blitt registrert
DocType: Fees,Student Details,Studentdetaljer
DocType: Woocommerce Settings,"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".",Dette er standard UOM som brukes til varer og salgsordrer. Fallback UOM er &quot;Nos&quot;.
DocType: Purchase Invoice Item,Stock Qty,Varenummer
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Ctrl+Enter to submit,Ctrl + Enter for å sende inn
DocType: Contract,Requires Fulfilment,Krever oppfyllelse
DocType: QuickBooks Migrator,Default Shipping Account,Standard fraktkonto
DocType: Loan,Repayment Period in Months,Nedbetalingstid i måneder
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Error: Not a valid id?,Feil: Ikke en gyldig id?
DocType: Naming Series,Update Series Number,Update-serien Nummer
DocType: Account,Equity,Egenkapital
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: &#39;Resultat&#39; type konto {2} ikke tillatt i Åpning Entry
DocType: Job Offer,Printing Details,Utskrift Detaljer
DocType: Task,Closing Date,Avslutningsdato
DocType: Sales Order Item,Produced Quantity,Produsert Antall
DocType: Item Price,Quantity  that must be bought or sold per UOM,Mengde som må kjøpes eller selges per UOM
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Engineer,Ingeniør
DocType: Promotional Scheme Price Discount,Max Amount,Maks beløp
DocType: Journal Entry,Total Amount Currency,Totalbeløp Valuta
DocType: Pricing Rule,Min Amt,Min Amt
DocType: Item,Is Customer Provided Item,Er kunden gitt varen
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Search Sub Assemblies,Søk Sub Assemblies
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Item Code required at Row No {0},Elementkode kreves ved Row Nei {0}
DocType: GST Account,SGST Account,SGST-konto
apps/erpnext/erpnext/utilities/user_progress.py,Go to Items,Gå til elementer
DocType: Sales Partner,Partner Type,Partner Type
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Actual,Faktiske
DocType: Restaurant Menu,Restaurant Manager,Restaurantsjef
DocType: Call Log,Call Log,Ring logg
DocType: Authorization Rule,Customerwise Discount,Customerwise Rabatt
apps/erpnext/erpnext/config/projects.py,Timesheet for tasks.,Timeregistrering for oppgaver.
DocType: Purchase Invoice,Against Expense Account,Mot regning
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Installation Note {0} has already been submitted,Installasjon Merk {0} har allerede blitt sendt
DocType: BOM,Raw Material Cost (Company Currency),Råvarekostnad (selskapets valuta)
apps/erpnext/erpnext/regional/india/utils.py,House rent paid days overlapping with {0},Husleie betalte dager som er overlappende med {0}
DocType: GSTR 3B Report,October,oktober
DocType: Bank Reconciliation,Get Payment Entries,Få Betalings Entries
DocType: Quotation Item,Against Docname,Mot Docname
DocType: SMS Center,All Employee (Active),All Employee (Active)
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Detailed Reason,Detaljert grunn
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,View Now,Vis nå
DocType: BOM,Raw Material Cost,Raw Material Cost
DocType: Woocommerce Settings,Woocommerce Server URL,Woocommerce Server URL
DocType: Item Reorder,Re-Order Level,Re-Order nivå
DocType: Additional Salary,Deduct Full Tax on Selected Payroll Date,Trekk fra for full skatt på valgt lønningsdato
DocType: Shopify Tax Account,Shopify Tax/Shipping Title,Shopify Skatt / Shipping Tittel
apps/erpnext/erpnext/projects/doctype/project/project.js,Gantt Chart,Gantt
DocType: Crop Cycle,Cycle Type,Syklus type
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Part-time,Deltid
DocType: Employee,Applicable Holiday List,Gjelder Holiday List
DocType: Employee,Cheque,Cheque
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Synchronize this account,Synkroniser denne kontoen
DocType: Training Event,Employee Emails,Medarbeider e-post
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated,Serien Oppdatert
apps/erpnext/erpnext/accounts/doctype/account/account.py,Report Type is mandatory,Rapporter Type er obligatorisk
DocType: Item,Serial Number Series,Serienummer Series
,Sales Partner Transaction Summary,Salgspartnertransaksjonssammendrag
apps/erpnext/erpnext/buying/utils.py,Warehouse is mandatory for stock Item {0} in row {1},Warehouse er obligatorisk for lager Element {0} i rad {1}
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Retail & Wholesale,Retail &amp; Wholesale
DocType: Issue,First Responded On,Først Svarte På
DocType: Website Item Group,Cross Listing of Item in multiple groups,Cross Notering av varen i flere grupper
DocType: Employee Tax Exemption Declaration,Other Incomes,Andre innkomster
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},Regnskapsår Startdato og regnskapsår sluttdato er allerede satt i regnskapsåret {0}
DocType: Projects Settings,Ignore User Time Overlap,Ignorer brukstidens overlapping
DocType: Accounting Period,Accounting Period,Regnskapsperiode
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date updated,Lagersalg oppdatert
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split Batch,Split Batch
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split Batch,Split Batch
DocType: Stock Settings,Batch Identification,Batchidentifikasjon
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,Successfully Reconciled,Vellykket Forsonet
DocType: Request for Quotation Supplier,Download PDF,Last ned PDF
DocType: Work Order,Planned End Date,Planlagt sluttdato
DocType: Shareholder,Hidden list maintaining the list of contacts linked to Shareholder,Skjult liste opprettholder listen over kontakter knyttet til Aksjonær
DocType: Exchange Rate Revaluation Account,Current Exchange Rate,Gjeldende valutakurs
DocType: Item,"Sales, Purchase, Accounting Defaults","Salg, kjøp, regnskapsstandarder"
DocType: Accounting Dimension Detail,Accounting Dimension Detail,Regnskapsdimensjon Detalj
apps/erpnext/erpnext/config/non_profit.py,Donor Type information.,Donor Type informasjon.
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} on Leave on {1},{0} på permisjon på {1}
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Available for use date is required,Tilgjengelig for bruk er nødvendig
DocType: Request for Quotation,Supplier Detail,Leverandør Detalj
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Error in formula or condition: {0},Feil i formel eller betingelse: {0}
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Invoiced Amount,Fakturert beløp
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Criteria weights must add up to 100%,Kriterievekter må legge opp til 100%
apps/erpnext/erpnext/education/doctype/course_schedule/course_schedule.js,Attendance,Oppmøte
apps/erpnext/erpnext/public/js/pos/pos.html,Stock Items,lager~~POS=TRUNC
DocType: Sales Invoice,Update Billed Amount in Sales Order,Oppdater fakturert beløp i salgsordre
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Contact Seller,Kontakt selger
DocType: BOM,Materials,Materialer
DocType: Leave Block List,"If not checked, the list will have to be added to each Department where it has to be applied.","Hvis ikke sjekket, vil listen må legges til hver avdeling hvor det må brukes."
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Posting date and posting time is mandatory,Konteringsdato og legger tid er obligatorisk
apps/erpnext/erpnext/config/buying.py,Tax template for buying transactions.,Skatt mal for å kjøpe transaksjoner.
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Please login as a Marketplace User to report this item.,Vennligst logg inn som Marketplace-bruker for å rapportere denne varen.
,Sales Partner Commission Summary,Sammendrag av salgspartnerkommisjonen
,Item Prices,Varepriser
DocType: Purchase Order,In Words will be visible once you save the Purchase Order.,I Ord vil være synlig når du lagrer innkjøpsordre.
DocType: Holiday List,Add to Holidays,Legg til helligdager
DocType: Woocommerce Settings,Endpoint,Endpoint
DocType: Period Closing Voucher,Period Closing Voucher,Periode Closing Voucher
DocType: Patient Encounter,Review Details,Gjennomgå detaljer
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shareholder does not belong to this company,Aksjonæren tilhører ikke dette firmaet
DocType: Dosage Form,Dosage Form,Doseringsform
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,Please set up the Campaign Schedule in the Campaign {0},Sett opp kampanjeplanen i kampanjen {0}
apps/erpnext/erpnext/config/buying.py,Price List master.,Prisliste mester.
DocType: Task,Review Date,Omtale Dato
DocType: BOM,Allow Alternative Item,Tillat alternativ gjenstand
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,Innkjøpskvittering har ingen varer som beholder prøve er aktivert for.
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Invoice Grand Total,Faktura Grand Total
DocType: Company,Series for Asset Depreciation Entry (Journal Entry),Serie for Asset Depreciation Entry (Journal Entry)
DocType: Membership,Member Since,Medlem siden
DocType: Purchase Invoice,Advance Payments,Forskudd
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Time logs are required for job card {0},Det kreves tidslogger for jobbkortet {0}
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Please select Healthcare Service,Vennligst velg Healthcare Service
DocType: Purchase Taxes and Charges,On Net Total,On Net Total
apps/erpnext/erpnext/controllers/item_variant.py,Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Verdi for Egenskap {0} må være innenfor området {1} til {2} i trinn på {3} for Element {4}
DocType: Pricing Rule,Product Discount Scheme,Produktrabattordning
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No issue has been raised by the caller.,Ingen spørsmål har blitt reist av innringeren.
DocType: Restaurant Reservation,Waitlisted,ventelisten
DocType: Employee Tax Exemption Declaration Category,Exemption Category,Fritakskategori
apps/erpnext/erpnext/accounts/doctype/account/account.py,Currency can not be changed after making entries using some other currency,Valuta kan ikke endres etter at oppføringer ved hjelp av en annen valuta
DocType: Shipping Rule,Fixed,fast
DocType: Vehicle Service,Clutch Plate,clutch Plate
DocType: Tally Migration,Round Off Account,Rund av konto
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Administrative Expenses,Administrative utgifter
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consulting,Consulting
DocType: Subscription Plan,Based on price list,Basert på prisliste
DocType: Customer Group,Parent Customer Group,Parent Kundegruppe
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from Sales Invoice,e-Way Bill JSON kan bare genereres fra salgsfaktura
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Maximum attempts for this quiz reached!,Maksimale forsøk for denne quizen nådd!
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Subscription,Abonnement
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Creation Pending,Avgiftskapasitet venter
DocType: Project Template Task,Duration (Days),Varighet (dager)
DocType: Appraisal Goal,Score Earned,Resultat tjent
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Notice Period,Oppsigelsestid
DocType: Asset Category,Asset Category Name,Asset Category Name
apps/erpnext/erpnext/setup/doctype/territory/territory.js,This is a root territory and cannot be edited.,Dette er en rot territorium og kan ikke redigeres.
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,New Sales Person Name,New Sales Person navn
DocType: Packing Slip,Gross Weight UOM,Bruttovekt målenheter
DocType: Employee Transfer,Create New Employee Id,Opprett nyansatt ID
apps/erpnext/erpnext/public/js/hub/components/item_publish_dialog.js,Set Details,Angi detaljer
apps/erpnext/erpnext/templates/pages/home.html,By {0},Av {0}
DocType: Travel Itinerary,Travel From,Reise fra
DocType: Asset Maintenance Task,Preventive Maintenance,Forebyggende vedlikehold
DocType: Delivery Note Item,Against Sales Invoice,Mot Salg Faktura
DocType: Purchase Invoice,07-Others,07-Andre
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please enter serial numbers for serialized item ,Vennligst skriv inn serienumre for serialisert element
DocType: Bin,Reserved Qty for Production,Reservert Antall for produksjon
DocType: Student Group Creation Tool,Leave unchecked if you don't want to consider batch while making course based groups. ,La være ukontrollert hvis du ikke vil vurdere batch mens du lager kursbaserte grupper.
DocType: Student Group Creation Tool,Leave unchecked if you don't want to consider batch while making course based groups. ,La være ukontrollert hvis du ikke vil vurdere batch mens du lager kursbaserte grupper.
DocType: Asset,Frequency of Depreciation (Months),Frekvens av Avskrivninger (måneder)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Credit Account,Credit konto
DocType: Landed Cost Item,Landed Cost Item,Landed Cost Element
apps/erpnext/erpnext/accounts/report/profitability_analysis/profitability_analysis.js,Show zero values,Vis nullverdier
DocType: BOM,Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Antall element oppnådd etter produksjon / nedpakking fra gitte mengder råvarer
DocType: Lab Test,Test Group,Testgruppe
DocType: Service Level Agreement,Entity,Entity
DocType: Payment Reconciliation,Receivable / Payable Account,Fordringer / gjeld konto
DocType: Delivery Note Item,Against Sales Order Item,Mot kundeordreposisjon
DocType: Company,Company Logo,Firmalogo
DocType: QuickBooks Migrator,Default Warehouse,Standard Warehouse
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Budget cannot be assigned against Group Account {0},Budsjettet kan ikke overdras mot gruppekonto {0}
