Pension Funds,Lífeyrissjóðir
Collection Rules,Safneglur
Disable CWIP Accounting,Gera óvinnufæran CWIP bókhald
Item Code &gt; Item Group &gt; Brand,Vörunúmer&gt; Liðurhópur&gt; Vörumerki
Section Based On,Kafla byggð á
{0} already allocated for Employee {1} for period {2} to {3},{0} úthlutað nú þegar fyrir starfsmann {1} fyrir tímabilið {2} til {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Rú {0}: Frá tímanum og tímanum {1} er skarast við {2}
Very Hyper,Mjög há
Select the nature of your business.,Veldu eðli fyrirtækis þíns.
Please select month and year,Vinsamlegast veldu mánuð og ár
Student Log,Námskrá
Enable Checkout,Virkja útskráninguna
Human Resources,Mannauður
Total Value Difference (Out - In),Heildargildisskilnaður (Out - In)
Actual End Time,Raunverulegur lokadagur
Setting up Taxes,Uppsetning Skattar
Net Cash from Investing,Nettó reiðufé frá fjárfestingu
Accounting Ledger,Bókhaldslýsing
Item Group Tree,Item Group Tree
'Total',&#39;Samtals&#39;
Item 1,Liður 1
Student Batches,Námsmat
"Attach .csv file with two columns, one for the old name and one for the new name","Hengdu við .csv skrá með tveimur dálkum, einn fyrir gamla nafnið og eitt fyrir nýtt nafn"
outstanding_amount,outstanding_amount
Susceptible,Næm
Total (Company Currency),Samtals (Gjaldmiðill félagsins)
Website Content,Innihald vefsvæðis
Driving License Category,Ökuskírteini Flokkur
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Row # {0}: Væntanlegur Afhendingardagur getur ekki verið fyrir Purchase Order Date
Make Payment,Borga
Party Type is mandatory,Party Type er skylt
The fields From Shareholder and To Shareholder cannot be blank,Reitirnir frá hluthafa og hluthöfum geta ekki verið auður
Quality Management,Gæðastjórnun
Transfer Material Against,Flytja efni gegn
Temporarily on Hold,Tímabundið í bið
Connect Shopify with ERPNext,Tengdu Shopify með ERPNext
Subtitle,Texti
Loam,Loam
Scrap Material Cost(Company Currency),Úrgangur Efni Kostnaður (Company Gjaldmiðill)
Actual Start Date (via Time Sheet),Raunverulegur upphafsdagur (með tímapunkti)
Delivery Date,Afhendingardagur
Item Shortage Report,Skortur á liðskorti
Price Determination,Verðsamanburður
Retail & Wholesale,Smásala og heildsölu
Twice Daily,Tvisvar á dag
Integrated Tax,Innbyggður skattur
Deductions or Loss,Frádráttur eða tap
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Fiscal Regime er skylt, vinsamlegast settu ríkisfjármálastjórn í félaginu {0}"
Time slots added,Tími rifa bætt við
Leaves must be allocated in multiples of 0.5,"Leyfi verður að úthluta í margfeldum 0,5"
Amount {0} {1} deducted against {2},Upphæð {0} {1} dregin frá {2}
Payment Reconciliation Payment,Greiðsla Sáttargjald
Template of terms or contract.,Sniðmát skilmála eða samnings.
Barcodes,Strikamerki
Enrollment Date,Skráningardagur
Clear Table,Hreinsa töflu
Setting up company,Uppsetning fyrirtækis
Free item code is not selected,Ókeypis hlutakóði er ekki valið
Total Unpaid: {0},Samtals ógreidd: {0}
Balance must be,Jafnvægi verður að vera
Default Bank Account,Sjálfgefin bankareikningur
Creating Fees,Búa til gjöld
Please select Qty against item {0},Vinsamlegast veldu Magn á hlut {0}
Do not confirm if appointment is created for the same day,Ekki staðfestu hvort skipun sé búin til fyrir sama dag
Repaid/Closed,Endurtekin / Lokað
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Row {0}: {1} Raðnúmer er krafist fyrir lið {2}. Þú hefur veitt {3}.
Gain/Loss,Hagnaður / tap
Sales Invoice Payment,Sala Reikningur Greiðsla
Payslip,Payslip
HSN,HSN
Request for quotation.,Beiðni um tilvitnun.
Procurement Tracker,Innkaup Tracker
Type of Proof,Gerð sönnunargagna
Vehicle Date,Ökutæki Dagsetning
Dispatch Settings,Sendingarstillingar
Dependencies,Ósjálfstæði
Lost,Týnt
Replace BOM,Skipta um BOM
Marital Status,Hjúskaparstaða
Enter retirement age in years,Sláðu inn eftirlaunaaldur á árum
No items listed,Engin atriði skráð
No data to export,Engin gögn til útflutnings
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Vinsamlegast veldu Flytja áfram ef þú vilt einnig að innihalda jafnvægi fyrri reikningsárs á þessu reikningsár
Opening Stock Balance,Opnun hlutabréfa
Leave Blocked,Leyfi lokað
Asset Category is mandatory for Fixed Asset item,Eignasamningur er skyltur fyrir fastan hlut
Required By,Required By
Add to Details,Bæta við upplýsingum
Inactive Customers,Óvirkir viðskiptavinir
Dosage,Skammtar
Starting position from top edge,Byrjunarstaða frá efstu brún
Appointment Duration (mins),Skipunartími (mín.)
Disable,Slökkva
Purchase Orders to Receive,Kaup pantanir til að fá
Productions Orders cannot be raised for:,Framleiðsla Pantanir má ekki hækka fyrir:
Ignore Employee Time Overlap,Hunsa starfsmenn tíma skarast
Trainings,Þjálfun
Lost Reasons,Lost Ástæður
A Positive,A Jákvæð
Reading 7,Lestur 7
Serial No,Raðnúmer
Required Quantity,Nauðsynleg Magn
Parent Location,Foreldri Location
Material Requests,Efnisbeiðnir
Material Transferred for Subcontract,Efni flutt fyrir undirverktaka
Timing Detail,Tímasetning smáatriði
Required On,Krafist á
Importing {0} of {1},Flytur inn {0} af {1}
Job Offer Term,Atvinnutími
All Contact,Allir tengiliðir
Project Task,Verkefni Verkefni
Item Barcode,Liður Strikamerki
Stock Levels,Stock Levels
Height (In Meter),Hæð (í metra)
Order Value,Panta gildi
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Öll söluviðskipti geta verið merkt gegn mörgum ** söluaðilum ** svo að þú getir stillt og fylgst með markmiðum.
You have already selected items from {0} {1},Þú hefur þegar valið hluti úr {0} {1}
Get Suppliers,Fáðu birgja
Contribution (%),Framlag (%)
Cannot set a received RFQ to No Quote,Ekki er hægt að stilla móttekið RFQ til neins vitna
Create Sales Order,Búðu til sölupöntun
Account: {0} can only be updated via Stock Transactions,Reikningur: {0} er aðeins hægt að uppfæra með hlutabréfaviðskiptum
{0} Request for {1},{0} Beiðni um {1}
Please select a value for {0} quotation_to {1},Vinsamlegast veldu gildi fyrir {0} tilvitnun_til {1}
Opportunity Date,Tækifæri Dagsetning
Next Steps,Næstu skref
Training Feedback,Þjálfun endurgjöf
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Samtals hátíðir
Fertilizer Name,Áburður Nafn
House rented dates required for exemption calculation,Hús leigt dagsetningar sem krafist er fyrir undanþágu útreikning
Expiring Memberships,Lokandi félagsskapur
Supplier(s),Birgir (s)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Vinsamlegast settu upp flokkunarnúmer fyrir þátttöku í gegnum uppsetningu&gt; númerakerfi
To Rename,Til að endurnefna
Contact Us,Hafðu samband við okkur
Cashier,Gjaldkeri
Hour,Klukkustund
Show Latest Forum Posts,Sýna nýjustu spjallþræðir
Distributor,Dreifingaraðili
"Please add the remaining benefits {0} to the application as \
				pro-rata component",Vinsamlegast bættu við eftirtalin kostir {0} í forritið sem \ pro-rata hluti
Short Term Loan Account,Skammtímalánslán
Section Subtotal,Kafla undirtals
Material Request to Purchase Order,Efni beiðni um innkaupapöntun
CESS Amount,CESS upphæð
Not authorized to edit frozen Account {0},Ekki heimilt að breyta frystum reikningi {0}
Expected Amount,Væntanlegt magn
Default Price List,Sjálfgefið verðskrá
No Items selected for transfer,Engin atriði valin til að flytja
Payment Amount,Greiðslu upphæð
Assessment  Manager,Matsstjóri
Chemical,Efni
Assessment Reports,Matsskýrslur
IV,IV
Academic,Academic
Item {0} is not setup for Serial Nos. Check Item master,Liður {0} er ekki uppsetning fyrir raðnúmer. Athugaðu hlutastjórann
From State,Frá ríki
Maximum Continuous Days Applicable,Hámarks samfelldir dagar sem gilda
Support Team.,Stuðningur Team.
Please enter company name first,Vinsamlegast sláðu inn nafn fyrirtækisins fyrst
Import Successful,Flytja inn árangri
Alternate Number,Varamaður númer
All Departments,Allar deildir
Make project from a template.,Gerðu verkefni úr sniðmáti.
Inter Company Order Reference,Tilvísunarfyrirmæli fyrirtækisins
Work Order {0} must be cancelled before cancelling this Sales Order,Vinnuskilyrðin {0} verður að vera aflýst áður en þú hættir þessari sölupöntun
Employee Number,Starfsmannanúmer
Avg. Buying Rate,Meðaltal Kaupgengi
Capacity Planning For (Days),Stærð skipulags fyrir (daga)
From value must be less than to value in row {0},Frá gildi verður að vera minna en að meta í röð {0}
Select BOM and Qty for Production,Veldu BOM og Magn fyrir framleiðslu
Price List Country,Verðskrá Land
Create Tax Template,Búðu til skattamát
Numeric Values,Tölfræðileg gildi
Instructions,Leiðbeiningar
Blanket Order Item,Teppi panta hlut
Commission rate cannot be greater than 100,Framkvæmdastjórnartíðni má ekki vera meiri en 100
Course Topic,Námskeiðsþema
This will restrict user access to other employee records,Þetta mun takmarka notanda aðgang að öðrum starfsmönnum færslum
Please create Customer from Lead {0},Vinsamlegast búðuðu viðskiptavini frá Lead {0}
Company Settings,Fyrirtæki Stillingar
Vegetarian,Grænmetisæta
"An item exists with same name ({0}), please change the item group name or rename the item","Hlutur er með sama nafni ({0}), vinsamlegast breyttu heiti hópsins eða endurnefna hlutinn"
Hotel Room Type,Hótel Herbergi
Cash Flow,Peningaflæði
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Greiðsla gegn {0} {1} getur ekki verið meiri en Framúrskarandi upphæð {2}
Achievement,Árangur
Add Multiple Tasks,Bæta við mörgum verkefnum
Item Variant {0} already exists with same attributes,Item Variant {0} er þegar með sömu eiginleika
Invoice {0} no longer exists,Reikningur {0} er ekki lengur til staðar
Will also apply for variants unless overrridden,Mun einnig sækja um afbrigði nema overrridden
Account,Reikningur
To Deliver,Að skila
Customers Without Any Sales Transactions,Viðskiptavinir án söluviðskipta
Against Document No,Gegnum skjal nr
Content Masters,Content Masters
Subscription Management,Áskriftarstefna
Get customers from,Fáðu viðskiptavini frá
{0} Digest,{0} Digest
Reports to,Skýrslur til
Party Account,Party reikningur
Schedule,Stundaskrá
Please enter ,Gjörðu svo vel að koma inn
Channel Partner,Channel Partner
Invoiced Amount,Innheimt upphæð
From Template,Frá sniðmáti
Subscriptions,Áskriftir
Quantity to Make,Magn til að gera
Achieved,Náð
Contribution Amount,Framlagsmagn
Fiscal Year,Fjárhagsár
Prevent RFQs,Hindra RFQs
Discount Received Account,Afsláttur mótteknar reikningur
 (Half Day),(Hálfur dagur)
Email Digest,Email Digest
Crop,Skera
Profit & Loss,Hagnaður og tap
Section Order,Kafla fyrirmæli
Result Printed,Niðurstaða prentuð
Student Group,Nemendahópur
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standard skatta sniðmát sem hægt er að beita öllum kaupum viðskiptum. Þetta sniðmát getur innihaldið lista yfir skatthausa og einnig aðra kostnaðartól eins og &quot;Shipping&quot;, &quot;Insurance&quot;, &quot;Handling&quot; osfrv. #### Athugaðu Skatthlutfallið sem þú skilgreinir hér verður staðlað skatthlutfall fyrir alla ** Atriði * *. Ef það eru ** Atriði ** sem hafa mismunandi verð, verða þau að vera bætt við ** Item Tax ** töflunni í ** Item ** Master. #### Lýsing á dálkum 1. Útreikningur: - Þetta getur verið á ** Nettó Samtals ** (það er summan af grunnfjárhæð). - ** Á fyrri röð Heildar / Fjárhæðir ** (fyrir uppsafnaða skatta eða gjöld). Ef þú velur þennan valkost verður skatturinn beittur sem hundraðshluti af fyrri röðinni (í skattafundinum) upphæð eða heildar. - ** Raunveruleg ** (eins og nefnt er). 2. Reikningsstjóri: Reikningsbókhald þar sem þessi skattur verður bókaður 3. Kostnaðurarmiðstöð: Ef skatturinn / gjaldið er tekjur (eins og sendingarkostnaður) eða kostnaður þarf hann að bóka á kostnaðarmiðstöð. 4. Lýsing: Lýsing á skatti (sem verður prentuð í reikninga / vitna). 5. Hlutfall: Skatthlutfall. 6. Fjárhæð: Skattfjárhæð. 7. Samtals: Uppsöfnuð samtals að þessum tímapunkti. 8. Sláðu inn línu: Ef miðað er við &quot;Fyrra Röð Samtals&quot; getur þú valið röðarnúmerið sem verður tekið sem grunn fyrir þessa útreikning (sjálfgefið er fyrri röðin). 9. Skoðaðu skatt eða gjald fyrir: Í þessum kafla er hægt að tilgreina hvort skatturinn / gjaldið sé aðeins til að meta (ekki hluti af heildar) eða aðeins fyrir heildar (bætir ekki við verðmæti vörunnar) eða bæði. 10. Bæta við eða draga frá: Hvort sem þú vilt bæta við eða draga frá skattinum."
Connect to Quickbooks,Tengstu við Quickbooks
Root cannot be edited.,Ekki er hægt að breyta rótum.
Engineer,Verkfræðingur
Row #{0}: Item added,Row # {0}: Liður bætt við
Eligibility and Details,Hæfi og upplýsingar
Staffing Plan Detail,Starfsmannaáætlun
Annual Income,Árleg innkoma
Subscription Section,Áskriftarspurning
Payment Days,Greiðsludagur
Volunteer information.,Sjálfboðaliðarupplýsingar.
`Freeze Stocks Older Than` should be smaller than %d days.,`Freeze Stocks Older Than` ætti að vera minni en% d daga.
Select Fiscal Year,Veldu reikningsár
Total Amount,Heildarupphæð
Non Profit,Hagnaður
Cancel Invoice After Grace Period,Hætta við innheimtu eftir náðartíma
Loyalty Points,Hollusta stig
Set Target Warehouse,Setja Target Warehouse
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} stendur nú með {1} birgjarritkorti og skal gefin út varúðarráðstafanir til þessarar birgis með varúð.
Check-in Date,Innritunardagur
Round Off Account,Round Off Account
Warranty Period (Days),Ábyrgðartímabil (dagar)
Expense Claim Detail,Kostnaður kröfu smáatriði
Program: ,Forrit:
Patient Medical Record,Sjúkratryggingaskrá
Action Description,Aðgerð Lýsing
Variant Based On,Variant Byggt á
Brake Oil,Brake Oil
Create User,Búa til notanda
Codification Table,Codification Tafla
Optional,Valfrjálst
Show Leaves Of All Department Members In Calendar,Sýna blöð allra deildarmanna í dagatalinu
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Fann ekki framseldan hlut {0} í vinnuskilaboðum {1}, hluturinn var ekki bættur í vörulista"
See all open tickets,Sjáðu alla opna miða
Operations cannot be left blank,Ekki er hægt að skila rekstri
At least one mode of payment is required for POS invoice.,Að minnsta kosti ein greiðslukerfi er krafist fyrir POS reikning.
Guardian1 Email ID,Forráðamaður1 Netfang
Supplier delivers to Customer,Birgir skilar til viðskiptavina
Appointment Booked,Skipun Bókað
Target Warehouse,Target Warehouse
Stale Days,Breyttar dagar
Row {0}: Credit entry can not be linked with a {1},Row {0}: Ekki er víst að tengja inntaka með {1}
Healthcare Practitioner {0} not available on {1},Heilbrigðisstarfsmaður {0} er ekki í boði á {1}
All Customer Contact,Allir viðskiptavinir hafa samband
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Halda sýn er byggð á lotu, vinsamlegast athugaðu Hefur Hópur nr. Til að halda sýnishorn af hlut"
Disc,Diskur
Make Accounting Entry For Every Stock Movement,Gerðu bókhald fyrir hverja lagerhreyfingu
Check-out Date,Útskráningardagur
Fertilizer,Áburður
Default Tax Withholding Config,Sjálfgefin skattgreiðsla
Total Produced Qty,Heildarframleiðsla
Leave Period,Leyfi
Payment request {0} created,Greiðslubeiðni {0} búið til
UOM Conversion in Hours,UOM viðskipti í klukkustundum
Avg. Selling Price List Rate,Meðaltal Selja Verðskrá Rate
Generate Material Requests (MRP) and Work Orders.,Búðu til efnisbeiðnir (MRP) og vinnuskilaboð.
Account Balance,Staða reiknings
Periodicity,Tímabil
Medical Record,Læknisskýrsla
Execution,Framkvæmd
Valuation Method,Verðmatsaðferð
{0} against Sales Invoice {1},{0} gegn sölufé {1}
Pass,Pass
Sales Partner Target,Velta samstarfsaðila
Referring Practitioner,Tilvísun sérfræðingur
Expenses Included In Asset Valuation,Útgjöld innifalinn í eignatryggingu
Publishing,Útgáfa
Sales Orders Detail,Tilkynningar um sölupantanir
Total Deduction,Heildar frádráttur
EMI,EMI
Set prefix for numbering series on your transactions,Setja forskeyti fyrir númeraröð á viðskiptum þínum
Journal Entries {0} are un-linked,Dagbókarfærslur {0} eru ekki tengdir
Other Reports,Aðrar skýrslur
All items have already been invoiced,Öll atriði hafa þegar verið innheimt
Asset scrapped via Journal Entry {0},Eignir skaftað í gegnum Journal Entry {0}
Prefered Email,Forgangs Email
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Ekki er hægt að breyta matunaraðferð, þar sem viðskipti eiga sér stað gegn sumum hlutum sem ekki hafa eigin matunaraðferð"
Section Name,Section Name
Packed Item,Pakkað atriði
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Hvorugt skuldfærslu- eða lánsfjárhæð er krafist fyrir {2}
Submitting Salary Slips...,Sendi launakort ...
No Action,Engin aðgerð
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Ekki er hægt að úthluta fjárhagsáætlun gegn {0}, þar sem það er ekki tekjutekjur eða kostnaðarreikningur"
Masters and Accounts,Meistarar og reikningar
Responsible Individual,Ábyrgur einstaklingur
Total Weightage of all Assessment Criteria must be 100%,Heildarþyngd allra matsskilyrða skal vera 100%
An error occurred during the update process,Villa kom upp við uppfærsluferlið
Customer Name,Nafn viðskiptavinar
Amount should not be less than zero.,Magn ætti ekki að vera minna en núll.
Average Age,Meðalaldur
Show Price,Sýna verð
Program Enrollment Tool Student,Forritaskráningstæki Nemandi
Shipping State,Shipping State
Please set Company,Vinsamlegast settu fyrirtækið
Balance (Dr - Cr),Jafnvægi (Dr - Cr)
Supply Type,Framboð Tegund
Create documents for sample collection,Búðu til skjöl til að safna sýni
Close Opportunity After Days,Lokað tækifæri eftir daga
Ref Code,Ref Code
Widowed,Ekkja
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,Skildu eftir auða til að nota venjulegt afhendingarnúmerið
Accepted Qty,Fjöldi samþykktra
Apply Rule On Brand,Notaðu reglu á vörumerki
Show Availability Status,Sýna stöðu stöðu
Import Successfull,Innflutningur tókst vel
Soil Texture,Jarðvegur áferð
No of Visits,Fjöldi heimsókna
Qualitative Feedback,Eigin viðbrögð
Response and Resoution Time,Svörun og afgreiðslutími
Expiring On,Rennur út á
Scorecard Actions,Stigataflar
Stock Adjustment,Verðlagning á lager
Health Care,Heilbrigðisþjónusta
No of Seats,Nei sæti
Delete all the Transactions for this Company,Eyða öllum viðskiptum fyrir þetta fyrirtæki
Lead Details,Upplýsingar um blý
Default Service Level Agreement,Sjálfgefið þjónustustigarsamningur
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Sía reitir Row # {0}: Fieldname <b>{1}</b> verður að vera af gerð &quot;Link&quot; eða &quot;Table MultiSelect&quot;
Suggestions,Tillögur
Get from,Komdu frá
Tax Rule,Skattaregla
Payment Order Status,Staða greiðslufyrirmæla
Duplicate entry,Afrit innganga
Example: Masters in Computer Science,Dæmi: Meistarar í tölvunarfræði
Purchase Invoice Item,Purchase Invoice Item
Non Profit Manager,Non Profit Manager
For Warehouse is required before Submit,Fyrir vöruhús er krafist fyrir sendingu
Applicable To (User),Gildandi til (notandi)
Appraisal Goal,Matarmarkmið
Warn for new Purchase Orders,Varið við nýjar innkaupapantanir
View Chart of Accounts,Skoða töflu reikninga
Quotations: ,Tilvitnanir:
To Discuss,Að ræða
Reading 9,Lestur 9
Applicable To (Role),Gildir til (hlutverk)
Additional Notes,Viðbótarupplýsingar
{0} can not be negative,{0} getur ekki verið neikvætt
Create Purchase Orders,Búðu til innkaupapantanir
Estimated Cost Per Position,Áætlaður kostnaður á hverja stöðu
Loan Name,Nafn lán
Set default mode of payment,Stilltu sjálfgefið greiðsluaðferð
Revision,Endurskoðun
Service Unit Type,Tegund þjónustunnar
Return Against Purchase Invoice,Return Against Purchase Invoice
Generate Secret,Búa til leyndarmál
Loyalty Program Collection,Hollusta Program Collection
Send mass SMS to your contacts,Sendu massaskeyti til tengiliða þinnar
Create Fee Schedule,Búðu til gjaldskrá
File to Rename,Skrá til að endurnefna
Timer exceeded the given hours.,Niðurteljari fór yfir tiltekin klukkustundir.
ERPNext Account,ERPNext reikningur
Item Supplier,Vara Birgir
Price List {0} is disabled or does not exist,Verðskrá {0} er óvirk eða er ekki til
Deferred Revenue Account,Frestað tekjuskattur
Soil compositions do not add up to 100,Jarðvegssamsetningar bæta ekki upp að 100
Salary Slip Timesheet,Launasala
Warn,Varið
Email Notification Sent,Email tilkynning send
Planned End Date,Áætlað lokadagur
Quickbooks Company ID,Quickbooks félagsauðkenni
Warehouse cannot be changed for Serial No.,Ekki er hægt að breyta vörugeymslunni fyrir raðnúmer
Rate of Interest (%) Yearly,Vextir (%) Árlega
Cost of Scrapped Asset,Kostnaður við slitinn eign
Please set an Address on the Company '%s',Vinsamlegast settu inn heimilisfang á fyrirtæki &#39;% s&#39;
Encounter Date,Fundur Dagsetning
Webhooks,Webhooks
Memebership Type Details,Upplýsingar um upplýsingar um upplifun
Resistant,Þola
Hotel Room Package,Hótel herbergi pakki
Contribution to Net Total,Framlag til Net Samtals
"Reselect, if the chosen contact is edited after save","Veldu aftur, ef valinn tengiliður er breytt eftir að vista"
Employee Tax Exemption Sub Category,Undanþága frá starfsmanni skattfrelsis
Row {0}# Paid Amount cannot be greater than requested advance amount,Row {0} # Greiddur upphæð getur ekki verið meiri en óskað eftir upphæð
This value is used for pro-rata temporis calculation,Þetta gildi er notað til að reikna tímabundið útreikning
Change Abbreviation,Breyta skammstöfun
Total Consumed Material Cost  (via Stock Entry),Heildarkostnaður neysluverðs (í gegnum vöruskipti)
Raw Materials Supplied,Hráefni fylgir
Condition and Formula Help,Skilyrði og Formúlu Hjálp
Balance ({0}),Jafnvægi ({0})
Student ID: ,Námsmaður:
New Leaves Allocated (In Days),Nýjar blöð úthlutað (í dögum)
To Datetime,Til Datetime
Lab result datetime cannot be before testing datetime,Lab niðurstaða datetime getur ekki verið fyrir prófunartíma
Please re-type company name to confirm,Vinsamlegast sláðu aftur nafn fyrirtækisins til að staðfesta
Subscription Period,Áskriftartímabil
Position,Staða
Sibling Details,Systkini upplýsingar
Is Finance Cost Adjustment,Er fjármálakostnaður aðlögun
Encounter Impression,Fundur birtingar
N/A,N / A
Lab Technician,Lab Tæknimaður
"Item {0} is a template, please select one of its variants","Vara {0} er sniðmát, vinsamlegast veldu eitt af afbrigði þess"
How Pricing Rule is applied?,Hvernig er regla um verðlagningu sett?
Email Digest Settings,Email Digest Stillingar
Inter Company Journal Entry,Inter Company Journal Entry
Create Delivery Trip,Búðu til afhendunarferð
Row # {0}: Serial No {1} does not match with {2} {3},Row # {0}: Raðnúmer {1} passar ekki við {2} {3}
Sales Order required for Item {0},Sölupöntun sem krafist er fyrir lið {0}
Get Details From Declaration,Fáðu upplýsingar frá yfirlýsingu
Support Hour Distribution,Stuðningstími Dreifing
Allow Account Creation Against Child Company,Leyfa reikningssköpun gegn börnum
Company Bank Account,Fyrirtækjabankareikningur
UK,Bretland
Procedure Steps,Málsmeðferð
Normal Test Items,Venjuleg prófunaratriði
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Liður {0}: Raðanlegt magn {1} má ekki vera minni en lágmarksfjöldi {2} (skilgreint í lið).
Not in Stock,Ekki á lager
Cart,Körfu
Course Activity,Námskeiðsverkefni
Thank you for your business!,Takk fyrir viðskiptin!
Against Journal Entry {0} is already adjusted against some other voucher,Against Journal Entry {0} er nú þegar stillt á móti öðrum voucher
Bill Date,Reikningsdagur
Please enter Write Off Account,Vinsamlegast sláðu inn Skrifa reikning
Biotechnology,Líftækni
Setup your Institute in ERPNext,Skipulagðu stofnunina þína í ERPNext
Item {0} does not exist,Vara {0} er ekki til
Asset Maintenance Log,Birgðasali
Settings for Accounts,Stillingar fyrir reikninga
Reference Document Name,Tilvísunarnúmer
"If blank, parent Warehouse Account or company default will be considered","Ef um er að ræða tómt, foreldraverkefnisreikning eða fyrirtæki sjálfgefið verður að íhuga"
Rate Of Materials Based On,Hlutfall efna sem byggjast á
Container,Ílát
Available slots,Lausar rifa
Max Attempts,Max tilraunir
Cash Flow Statement,Sjóðstreymi
Redeem Against,Innleysa gegn
Offline POS Name,Ónettengt POS-nafn
ISO 8601 standard,ISO 8601 staðall
Deduct,Tregðu
C-Form Invoice Detail,C-Form Reikningsupplýsingar
Net Change in Inventory,Hrein breyting á birgðum
Depreciation Amount during the period,Afskriftir Fjárhæðir á tímabilinu
App Type,App Tegund
Blog Subscriber,Blogg áskrifandi
[Error],[Villa]
Active Menu,Virkur valmynd
Transactions against the company already exist! ,Viðskipti gegn félaginu eru þegar til!
Sales Partner and Commission,Söluaðili og framkvæmdastjórn
Goals cannot be empty,Markmið getur ekki verið tómt
Warehouses,Vöruhús
Detected Diseases,Uppgötvaðir sjúkdómar
Enter the Bank Guarantee Number before submittting.,Sláðu inn bankareikningsnúmerið áður en þú sendir það inn.
Processing Items and UOMs,Vinnsla Atriði og UOMs
Is a Subscription,Er áskrift
Download as Json,Sækja sem Json
Appointment Analytics,Ráðstefna Analytics
Inspection Type,Skoðunartegund
Sales Taxes and Charges,Söluskattar og gjöld
Health Insurance Provider,Sjúkratryggingafélag
This is a root item group and cannot be edited.,Þetta er hópur hóps og er ekki hægt að breyta.
Projected Qty Formula,Áætluð Magn Formúla
Payment Order Reference,Greiðslumiðill
Tree Type,Tré tegund
Default Costing Rate,Sjálfgefið kostnaðarverð
Constipated,Hægðatregða
Default Amount,Sjálfgefin upphæð
Budget List,Fjárhagsáætlunarlisti
Awaiting Response,Bíða eftir svari
Variant creation has been queued.,Variant sköpun hefur verið í biðstöðu.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","Magn {0} sem þegar er krafist fyrir hluti {1}, \ stilla magnið sem er jafn eða hærra en {2}"
Please add the remaining benefits {0} to any of the existing component,Vinsamlegast bættu við eftirtalin kostir {0} við einhvern af núverandi hluti
Odometer,Odometer
Transaction currency must be same as Payment Gateway currency,Viðskiptargjald verður að vera eins og Greiðslugátt gjaldmiðill
"For an item {0}, quantity must be negative number",Fyrir hlut {0} skal magn vera neikvætt númer
Payroll Date,Launardagsetning
Mode of payment is required to make a payment,Greiðslumáta er nauðsynlegt til að greiða
Materials,Efni
Against Sales Order,Gegn söluskilningi
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Gegn sölutilboðum
Goals,Markmið
ERPNext User,ERPNext User
Available Leaves,Lausar blöð
Root Account must be a group,Rót reikningur verður að vera hópur
Email Reminders will be sent to all parties with email contacts,Email Áminningar verða sendar öllum aðilum með tengiliðum í tölvupósti
Select Type...,Veldu tegund ...
Workstation Working Hour,Vinnustöð Vinnutími
Analytics,Analytics
Maintenance Role,Viðhald Hlutverk
Terms and Conditions Template,Skilmálar og skilyrði Sniðmát
