DocType: Accounting Period,Period Name,Numele perioadei
DocType: Tax Rule,Purchase Tax Template,Achiziționa Format fiscală
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Earliest Age,Cea mai timpurie vârstă
apps/erpnext/erpnext/utilities/user_progress.py,Set a sales goal you'd like to achieve for your company.,Stabiliți un obiectiv de vânzări pe care doriți să-l atingeți pentru compania dvs.
DocType: Quality Goal,Revision,Revizuire
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Healthcare Services,Servicii pentru sanatate
,Project wise Stock Tracking,Proiect înțelept Tracking Stock
DocType: GST HSN Code,Regional,Regional
apps/erpnext/erpnext/config/healthcare.py,Laboratory,Laborator
DocType: UOM Category,UOM Category,Categoria UOM
DocType: Clinical Procedure Item,Actual Qty (at source/target),Cant. efectivă (la sursă/destinaţie)
DocType: Item Customer Detail,Ref Code,Cod de Ref
DocType: Accounts Settings,Address used to determine Tax Category in transactions.,Adresa folosită pentru determinarea categoriei fiscale în tranzacții.
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Customer Group is Required in POS Profile,Grupul de clienți este solicitat în profilul POS
DocType: HR Settings,Payroll Settings,Setări de salarizare
apps/erpnext/erpnext/config/accounting.py,Match non-linked Invoices and Payments.,Potrivesc Facturi non-legate și plăți.
DocType: POS Settings,POS Settings,Setări POS
apps/erpnext/erpnext/templates/pages/cart.html,Place Order,Locul de comandă
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.js,Create Invoice,Creați factură
DocType: Email Digest,New Purchase Orders,Noi comenzi de aprovizionare
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Root cannot have a parent cost center,Rădăcină nu poate avea un centru de cost părinte
DocType: POS Closing Voucher,Expense Details,Detalii de cheltuieli
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Brand...,Selectați Marca ...
apps/erpnext/erpnext/public/js/setup_wizard.js,Non Profit (beta),Nonprofit (beta)
apps/erpnext/erpnext/portal/doctype/products_settings/products_settings.py,"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Rândul câmpurilor de filtrare # {0}: Numele de câmp <b>{1}</b> trebuie să fie de tipul &quot;Link&quot; sau &quot;MultiSelect de tabel&quot;
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Accumulated Depreciation as on,Amortizarea ca pe acumulat
DocType: Employee Tax Exemption Category,Employee Tax Exemption Category,Angajament categoria de scutire fiscală
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Amount should not be less than zero.,Suma nu trebuie să fie mai mică de zero.
DocType: Sales Invoice,C-Form Applicable,Formular-C aplicabil
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Operation Time must be greater than 0 for Operation {0},Funcționarea timp trebuie să fie mai mare decât 0 pentru funcționare {0}
DocType: Support Search Source,Post Route String,Postați șirul de rută
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Warehouse is mandatory,Depozitul este obligatoriu
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to create website,Eroare la crearea site-ului
DocType: Soil Analysis,Mg/K,Mg / K
DocType: UOM Conversion Detail,UOM Conversion Detail,Detaliu UOM de conversie
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Admission and Enrollment,Admitere și înscriere
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Retention Stock Entry already created or Sample Quantity not provided,Reținerea stocului de stocare deja creată sau Cantitatea de eșantion care nu a fost furnizată
DocType: Program,Program Abbreviation,Abreviere de program
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Voucher (Consolidated),Grup după Voucher (Consolidat)
DocType: HR Settings,Encrypt Salary Slips in Emails,Criptați diapozitive de salariu în e-mailuri
DocType: Question,Multiple Correct Answer,Răspuns corect multiplu
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Charges are updated in Purchase Receipt against each item,Tarifele sunt actualizate în Primirea cumparare pentru fiecare articol
DocType: Warranty Claim,Resolved By,Rezolvat prin
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Discharge,Programați descărcarea
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Cheques and Deposits incorrectly cleared,Cecuri și Depozite respingă incorect
DocType: Homepage Section Card,Homepage Section Card,Pagina de secțiune Card de secțiune
,Amount To Be Billed,Suma care trebuie plătită
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: You can not assign itself as parent account,Contul {0}: nu puteți atribui contului în sine calitatea de cont părinte
DocType: Purchase Invoice Item,Price List Rate,Lista de prețuri Rate
apps/erpnext/erpnext/utilities/activation.py,Create customer quotes,Creați citate client
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be after Service End Date,Dată de încetare a serviciului nu poate fi după Data de încheiere a serviciului
DocType: Item,"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","Arata ""Pe stoc"" sau ""nu este pe stoc"", bazat pe stoc disponibil în acest depozit."
apps/erpnext/erpnext/config/manufacturing.py,Bill of Materials (BOM),Lista de materiale (BOM)
DocType: Item,Average time taken by the supplier to deliver,Timpul mediu luate de către furnizor de a livra
DocType: Travel Itinerary,Check-in Date,Data înscrierii
DocType: Sample Collection,Collected By,Colectată de
apps/erpnext/erpnext/education/doctype/assessment_plan/assessment_plan.js,Assessment Result,Rezultatul evaluării
DocType: Hotel Room Package,Hotel Room Package,Pachetul de camere hotel
DocType: Employee Transfer,Employee Transfer,Transfer de angajați
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Hours,Ore
DocType: Project,Expected Start Date,Data de Incepere Preconizata
DocType: Purchase Invoice,04-Correction in Invoice,04-Corectură în Factură
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Work Order already created for all items with BOM,Ordin de lucru deja creat pentru toate articolele cu BOM
DocType: Bank Account,Party Details,Party Detalii
apps/erpnext/erpnext/stock/doctype/item/item.js,Variant Details Report,Varianta Detalii raport
DocType: Setup Progress Action,Setup Progress Action,Acțiune de instalare progresivă
DocType: Course Activity,Video,Video
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Price List,Achiziționarea listei de prețuri
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Remove item if charges is not applicable to that item,Eliminați element cazul în care costurile nu se aplică în acest element
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Cancel Subscription,Anulează Abonament
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Maintenance Status as Completed or remove Completion Date,Selectați Stare de întreținere ca Completat sau eliminați Data de finalizare
DocType: Supplier,Default Payment Terms Template,Șablonul Termenii de plată standard
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Transaction currency must be same as Payment Gateway currency,Moneda de tranzacție trebuie să fie aceeași ca și de plată Gateway monedă
DocType: Payment Entry,Receive,Primește
DocType: Employee Benefit Application Detail,Earning Component,Componenta câștigurilor
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Items and UOMs,Prelucrare elemente și UOM-uri
apps/erpnext/erpnext/regional/italy/utils.py,Please set either the Tax ID or Fiscal Code on Company '%s',Vă rugăm să setați ID-ul fiscal sau Codul fiscal pe compania „% s”
apps/erpnext/erpnext/templates/pages/rfq.html,Quotations: ,Cotațiile:
DocType: Contract,Partially Fulfilled,Parțial îndeplinite
DocType: Maintenance Visit,Fully Completed,Finalizat
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,"Special Characters except ""-"", ""#"", ""."", ""/"", ""{"" and ""}"" not allowed in naming series","Caractere speciale, cu excepția &quot;-&quot;, &quot;#&quot;, &quot;.&quot;, &quot;/&quot;, &quot;{&quot; Și &quot;}&quot; nu sunt permise în numirea seriei"
DocType: Purchase Invoice Item,Is nil rated or exempted,Este nul sau scutit
DocType: Employee,Educational Qualification,Detalii Calificare de Învățământ
DocType: Workstation,Operating Costs,Costuri de operare
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Currency for {0} must be {1},Moneda pentru {0} trebuie să fie {1}
DocType: Shift Type,Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,Marcați prezența pe baza „Verificării angajaților” pentru angajații repartizați în această schimbă.
DocType: Asset,Disposal Date,eliminare Data
DocType: Service Level,Response and Resoution Time,Timpul de Răspuns și Resursiune
DocType: Employee Leave Approver,Employee Leave Approver,Aprobator Concediu Angajat
apps/erpnext/erpnext/stock/doctype/item/item.py,Row {0}: An Reorder entry already exists for this warehouse {1},Rând {0}: O intrare de Comandă există deja pentru acest depozit {1}
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.js,Please enter the designation,Vă rugăm să introduceți desemnarea
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py,"Cannot declare as lost, because Quotation has been made.","Nu se poate declara pierdut, pentru că Oferta a fost realizata."
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Items for Raw Material Request,Articole pentru cererea de materii prime
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,CWIP Account,Contul CWIP
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Feedback,Feedback formare
apps/erpnext/erpnext/config/accounting.py,Tax Withholding rates to be applied on transactions.,Ratele de reținere fiscală aplicabile tranzacțiilor.
DocType: Supplier Scorecard Criteria,Supplier Scorecard Criteria,Criteriile Scorecard pentru furnizori
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Start Date and End Date for Item {0},Vă rugăm să selectați data de început și Data de final pentru postul {0}
DocType: Maintenance Schedule,MAT-MSH-.YYYY.-,MAT-MSH-.YYYY.-
,Amount to Receive,Suma de primit
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},"Desigur, este obligatorie în rândul {0}"
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,From date can not be greater than than To date,De la data nu poate fi mai mare decât până în prezent
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,To date cannot be before from date,Până în prezent nu poate fi înainte de data
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Non GST Inward Supplies,Consumabile interioare non-GST
DocType: Employee Group Table,Employee Group Table,Tabelul grupului de angajați
DocType: Packed Item,Prevdoc DocType,Prevdoc Doctype
DocType: Cash Flow Mapper,Section Footer,Secțiunea Footer
apps/erpnext/erpnext/stock/doctype/item/item.js,Add / Edit Prices,Adăugați / editați preturi
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Employee Promotion cannot be submitted before Promotion Date ,Promovarea angajaților nu poate fi depusă înainte de data promoției
DocType: Batch,Parent Batch,Lotul părinte
DocType: Batch,Parent Batch,Lotul părinte
DocType: Cheque Print Template,Cheque Print Template,Format Imprimare Cec
DocType: Salary Component,Is Flexible Benefit,Este benefică flexibilă
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Chart of Cost Centers,Diagramă Centre de Cost
DocType: Subscription Settings,Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,Numărul de zile după expirarea datei facturii înainte de a anula abonamentul sau marcarea abonamentului ca neplătit
DocType: Clinical Procedure Template,Sample Collection,Colectie de mostre
,Requested Items To Be Ordered,Articole solicitate de comandat
DocType: Price List,Price List Name,Lista de prețuri Nume
DocType: Delivery Stop,Dispatch Information,Informații despre expediere
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from submitted document,e-Way Bill JSON poate fi generat numai din documentul trimis
DocType: Blanket Order,Manufacturing,Producţie
,Ordered Items To Be Delivered,Comandat de elemente pentru a fi livrate
DocType: Account,Income,Venit
DocType: Industry Type,Industry Type,Industrie Tip
apps/erpnext/erpnext/templates/includes/cart.js,Something went wrong!,Ceva a mers prost!
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Warning: Leave application contains following block dates,Atenție: Lăsați aplicație conține următoarele date de bloc
DocType: Bank Statement Settings,Transaction Data Mapping,Transaction Data Mapping
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Invoice {0} has already been submitted,Factură de vânzări {0} a fost deja prezentat
DocType: Salary Component,Is Tax Applicable,Taxa este aplicabilă
DocType: Supplier Scorecard Scoring Criteria,Score,Scor
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} does not exist,Anul fiscal {0} nu există
DocType: Asset Maintenance Log,Completion Date,Data Finalizare
DocType: Purchase Invoice Item,Amount (Company Currency),Sumă (monedă companie)
DocType: Program,Is Featured,Este prezentat
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Fetching...,... Fetching
DocType: Agriculture Analysis Criteria,Agriculture User,Utilizator agricol
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Valid till date cannot be before transaction date,Valabil până la data nu poate fi înainte de data tranzacției
apps/erpnext/erpnext/stock/stock_ledger.py,{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,{0} unități de {1} necesare în {2} pe {3} {4} pentru {5} pentru a finaliza această tranzacție.
DocType: Fee Schedule,Student Category,Categoria de student
DocType: Announcement,Student,Student
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.js,Stock quantity to start procedure is not available in the warehouse. Do you want to record a Stock Transfer,Procedura privind cantitatea de stocare nu este disponibilă în depozit. Doriți să înregistrați un transfer de stoc
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,New {0} pricing rules are created,Sunt create noi {0} reguli de preț
DocType: Shipping Rule,Shipping Rule Type,Tipul regulii de transport
apps/erpnext/erpnext/utilities/user_progress.py,Go to Rooms,Mergeți la Camere
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,"Company, Payment Account, From Date and To Date is mandatory","Compania, contul de plată, de la data și până la data este obligatorie"
DocType: Company,Budget Detail,Detaliu buget
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Please enter message before sending,Vă rugăm să introduceți mesajul înainte de trimitere
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting up company,Înființarea companiei
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","Dintre livrările prezentate la punctul 3.1 (a) de mai sus, detaliile livrărilor inter-statale aduse persoanelor care nu sunt înregistrate, persoanelor impozabile în componență și deținătorilor UIN"
DocType: Education Settings,Enable LMS,Activați LMS
DocType: Purchase Invoice,DUPLICATE FOR SUPPLIER,DUPLICATE PENTRU FURNIZOR
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,Please save the report again to rebuild or update,Vă rugăm să salvați raportul din nou pentru a reconstrui sau actualiza
DocType: Service Level Agreement,Response and Resolution Time,Timp de răspuns și rezolvare
DocType: Asset,Custodian,Custode
apps/erpnext/erpnext/config/retail.py,Point-of-Sale Profile,Profil Punct-de-Vânzare
apps/erpnext/erpnext/agriculture/doctype/soil_texture/soil_texture.py,{0} should be a value between 0 and 100,{0} ar trebui să fie o valoare cuprinsă între 0 și 100
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Payment of {0} from {1} to {2},Plata pentru {0} de la {1} la {2}
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward supplies liable to reverse charge (other than 1 & 2 above),Livrări interne susceptibile de încărcare inversă (altele decât 1 și 2 de mai sus)
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount(Company Currency),Suma comenzii de cumpărare (moneda companiei)
DocType: Chart of Accounts Importer,Import Chart of Accounts from a csv file,Importați Graficul de conturi dintr-un fișier csv
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Unsecured Loans,Creditele negarantate
DocType: Cost Center,Cost Center Name,Nume Centrul de Cost
DocType: Student,B+,B +
DocType: HR Settings,Max working hours against Timesheet,Max ore de lucru împotriva Pontaj
DocType: Shift Type,Strictly based on Log Type in Employee Checkin,Strict bazat pe tipul de jurnal în verificarea angajaților
DocType: Maintenance Schedule Detail,Scheduled Date,Data programată
DocType: SMS Center,Messages greater than 160 characters will be split into multiple messages,Mesaje mai mari de 160 de caractere vor fi împărțite în mai multe mesaje
DocType: Purchase Receipt Item,Received and Accepted,Primit și Acceptat
,GST Itemised Sales Register,Registrul de vânzări detaliat GST
DocType: Staffing Plan,Staffing Plan Details,Detaliile planului de personal
DocType: Soil Texture,Silt Loam,Silt Loam
,Serial No Service Contract Expiry,Serial Nu Service Contract de expirare
DocType: Employee Health Insurance,Employee Health Insurance,Angajarea Asigurărilor de Sănătate
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You cannot credit and debit same account at the same time,"Nu puteți credit și de debit același cont, în același timp,"
DocType: Vital Signs,Adults' pulse rate is anywhere between 50 and 80 beats per minute.,Rata pulsului adulților este între 50 și 80 de bătăi pe minut.
DocType: Naming Series,Help HTML,Ajutor HTML
DocType: Student Group Creation Tool,Student Group Creation Tool,Instrumentul de creare a grupului de student
DocType: Item,Variant Based On,Varianta Bazat pe
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Total weightage assigned should be 100%. It is {0},Weightage total alocat este de 100%. Este {0}
DocType: Loyalty Point Entry,Loyalty Program Tier,Program de loialitate
apps/erpnext/erpnext/utilities/user_progress.py,Your Suppliers,Furnizorii dumneavoastră
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Cannot set as Lost as Sales Order is made.,Nu se poate seta pierdut deoarece se intocmeste comandă de vânzări.
DocType: Request for Quotation Item,Supplier Part No,Furnizor de piesa
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for hold: ,Motivul de reținere:
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',Nu se poate deduce atunci când este categoria de &quot;evaluare&quot; sau &quot;Vaulation și Total&quot;
apps/erpnext/erpnext/public/js/hub/components/reviews.js,Anonymous,Anonim
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Received From,Primit de la
DocType: Lead,Converted,Transformat
DocType: Item,Has Serial No,Are nr. de serie
DocType: Stock Entry Detail,PO Supplied Item,PO Articol furnizat
DocType: Employee,Date of Issue,Data Problemei
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","În conformitate cu Setările de cumpărare, dacă este necesară achiziția == &#39;YES&#39;, atunci pentru a crea factura de cumpărare, utilizatorul trebuie să creeze primul chitanță pentru elementul {0}"
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Row #{0}: Set Supplier for item {1},Row # {0}: Set Furnizor de produs {1}
DocType: Global Defaults,Default Distance Unit,Unitatea de distanță standard
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: Hours value must be greater than zero.,Rândul {0}: Valoarea ore trebuie să fie mai mare decât zero.
apps/erpnext/erpnext/stock/doctype/item/item.py,Website Image {0} attached to Item {1} cannot be found,Site-ul Image {0} atașat la postul {1} nu poate fi găsit
DocType: Asset,Assets,Active
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Computer,Computer
DocType: Item,List this Item in multiple groups on the website.,Listeaza acest articol in grupuri multiple de pe site-ul.\
DocType: Subscription,Current Invoice End Date,Data de încheiere a facturii actuale
DocType: Payment Term,Due Date Based On,Data de bază bazată pe
apps/erpnext/erpnext/healthcare/doctype/patient/patient.py,Please set default customer group and territory in Selling Settings,Vă rugăm să setați grupul de clienți și teritoriul implicit în Setări de vânzare
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} does not exist,{0} {1} nu există
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please check Multi Currency option to allow accounts with other currency,Vă rugăm să verificați Multi opțiune de valuta pentru a permite conturi cu altă valută
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item: {0} does not exist in the system,Postul: {0} nu există în sistemul
apps/erpnext/erpnext/accounts/doctype/account/account.py,You are not authorized to set Frozen value,Nu esti autorizat pentru a configura valoarea Congelat
DocType: Payment Reconciliation,Get Unreconciled Entries,Ia nereconciliate Entries
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Employee {0} is on Leave on {1},Angajatul {0} este activat Lăsați pe {1}
apps/erpnext/erpnext/hr/doctype/loan/loan.py,No repayments selected for Journal Entry,Nu sunt selectate rambursări pentru înscrierea în Jurnal
DocType: Purchase Invoice,GST Category,Categoria GST
DocType: Payment Reconciliation,From Invoice Date,De la data facturii
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Budgets,Bugete
DocType: Invoice Discounting,Disbursed,debursate
DocType: Healthcare Settings,Laboratory Settings,Setări de laborator
DocType: Clinical Procedure,Service Unit,Unitate de service
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Successfully Set Supplier,Setați cu succes furnizorul
DocType: Leave Encashment,Leave Encashment,Lasă încasări
apps/erpnext/erpnext/public/js/setup_wizard.js,What does it do?,Ce face?
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.py,Tasks have been created for managing the {0} disease (on row {1}),S-au creat sarcini pentru gestionarea bolii {0} (pe rândul {1})
DocType: Crop,Byproducts,produse secundare
apps/erpnext/erpnext/stock/doctype/batch/batch.js,To Warehouse,La Depozit
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,All Student Admissions,Toate Admitere Student
,Average Commission Rate,Rată de comision medie
DocType: Share Balance,No of Shares,Numărul de acțiuni
DocType: Taxable Salary Slab,To Amount,La suma
apps/erpnext/erpnext/stock/doctype/item/item.py,'Has Serial No' can not be 'Yes' for non-stock item,'Are numãr de serie' nu poate fi 'Da' pentru articolele care nu au stoc
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Select Status,Selectați Stare
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance can not be marked for future dates,Prezenţa nu poate fi consemnată pentru date viitoare
DocType: Support Search Source,Post Description Key,Post Descriere cheie
DocType: Pricing Rule,Pricing Rule Help,Regula de stabilire a prețurilor de ajutor
DocType: School House,House Name,Numele casei
DocType: Fee Schedule,Total Amount per Student,Suma totală pe student
DocType: Opportunity,Sales Stage,Stadiu Vânzări
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Customer PO,PO de client
DocType: Purchase Taxes and Charges,Account Head,Titularul Contului
DocType: Company,HRA Component,Componenta HRA
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Electrical,Electric
apps/erpnext/erpnext/utilities/activation.py,Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,"Adăugați restul organizației dvs. ca utilizatori. Puteți, de asemenea, invita Clienții în portal prin adăugarea acestora din Contacte"
DocType: Stock Entry,Total Value Difference (Out - In),Diferența Valoarea totală (Out - In)
DocType: Employee Checkin,Location / Device ID,Locație / ID dispozitiv
DocType: Grant Application,Requested Amount,Suma solicitată
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Exchange Rate is mandatory,Row {0}: Cursul de schimb este obligatoriu
DocType: Invoice Discounting,Bank Charges Account,Cont de taxe bancare
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.py,User ID not set for Employee {0},ID-ul de utilizator nu este setat pentru Angajat {0}
DocType: Vehicle,Vehicle Value,Valoarea vehiculului
DocType: Crop Cycle,Detected Diseases,Au detectat bolile
DocType: Stock Entry,Default Source Warehouse,Depozit Sursa Implicit
DocType: Item,Customer Code,Cod client
DocType: Bank,Data Import Configuration,Configurarea importului de date
DocType: Asset Maintenance Task,Last Completion Date,Ultima dată de finalizare
apps/erpnext/erpnext/accounts/report/inactive_sales_items/inactive_sales_items.js,Days Since Last Order,Zile de la ultima comandă
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To account must be a Balance Sheet account,Debit la contul trebuie să fie un cont de bilanț
DocType: Asset,Naming Series,Naming Series
DocType: Vital Signs,Coated,Acoperit
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Rând {0}: Valoarea așteptată după viața utilă trebuie să fie mai mică decât suma brută de achiziție
apps/erpnext/erpnext/regional/italy/utils.py,Please set {0} for address {1},Vă rugăm să setați {0} pentru adresa {1}
DocType: GoCardless Settings,GoCardless Settings,Setări GoCardless
apps/erpnext/erpnext/controllers/stock_controller.py,Create Quality Inspection for Item {0},Creați inspecție de calitate pentru articol {0}
DocType: Leave Block List,Leave Block List Name,Denumire Lista Concedii Blocate
DocType: Certified Consultant,Certification Validity,Valabilitatea Certificare
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Insurance Start date should be less than Insurance End date,Asigurare Data de pornire ar trebui să fie mai mică de asigurare Data terminării
DocType: Support Settings,Service Level Agreements,Acorduri privind nivelul serviciilor
DocType: Shopping Cart Settings,Display Settings,Display Settings
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Assets,Active Stoc
DocType: Restaurant,Active Menu,Meniul activ
DocType: Accounting Dimension Detail,Default Dimension,Dimensiunea implicită
DocType: Target Detail,Target Qty,Țintă Cantitate
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Against Loan: {0},Împotriva împrumutului: {0}
DocType: Shopping Cart Settings,Checkout Settings,setările checkout pentru
DocType: Student Attendance,Present,Prezenta
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Delivery Note {0} must not be submitted,Nota de Livrare {0} nu trebuie sa fie introdusa
DocType: HR Settings,"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Fișa de salariu trimisă către angajat va fi protejată prin parolă, parola va fi generată pe baza politicii de parolă."
apps/erpnext/erpnext/accounts/doctype/period_closing_voucher/period_closing_voucher.py,Closing Account {0} must be of type Liability / Equity,Contul {0} de închidere trebuie să fie de tip răspunderii / capitaluri proprii
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Slip of employee {0} already created for time sheet {1},Salariu de alunecare angajat al {0} deja creat pentru foaie de timp {1}
DocType: Vehicle Log,Odometer,Contorul de kilometraj
DocType: Production Plan Item,Ordered Qty,Ordonat Cantitate
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is disabled,Postul {0} este dezactivat
DocType: Stock Settings,Stock Frozen Upto,Stoc Frozen Până la
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,BOM does not contain any stock item,BOM nu conține nici un element de stoc
DocType: Chapter,Chapter Head,Capitolul Cap
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Search for a payment,Căutați o plată
DocType: Payment Term,Month(s) after the end of the invoice month,Luna (luni) după sfârșitul lunii facturii
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Salary Structure should have flexible benefit component(s) to dispense benefit amount,Structura salariilor ar trebui să aibă componente flexibile pentru beneficiu pentru a renunța la suma beneficiilor
