Pension Funds,Emeklilik fonları
Min Doc Count,Min. Doküman Sayısı
Item {0} must be a non-stock item,{0} kalemi stokta olmayan bir öğe olmalı
Merge Account,Hesabı Birleştir
Convert to Group,Gruba Dönüştür
"Already set default in pos profile {0} for user {1}, kindly disabled default","{1} kullanıcısı için {0} pos profilinde zaten varsayılan olarak ayarlandı, lütfen varsayılan olarak devre dışı bırakıldı"
Companies,şirketler
Minutes to First Response for Opportunity,Fırsat için İlk Müdahale için Dakikalar
Hotel Room Amenity,Otel Odası
Invoices for Costumers.,Müşteri Faturaları.
No Staffing Plans found for this Designation,Bu Atama için Kadro Planları bulunamadı
Current BOM,Güncel Malzeme Listesi
Casual Leave,Rahat bırakın
Cost Updated,Maliyet Güncelleniyor
One customer can be part of only single Loyalty Program.,Bir müşteri yalnızca tek bir Sadakat Programının parçası olabilir.
Cannot cancel transaction for Completed Work Order.,Tamamlanan İş Emri için işlem iptal edilemiyor.
Grant Application Details ,Hibe Başvuru Detayları
Apply Additional Discount On,Ek İndirim Uygula Açık
Sales Partner Commission Summary,Satış Ortağı Komisyonu Özeti
Order Type must be one of {0},"Sipariş Türü, {0} &#39;dan biri olmalı"
Payment Entry already exists,Ödeme Girişi zaten var
No Work Orders created,Hiçbir İş Emri oluşturulmadı
Grading Scale,Notlandırma ölçeği
Marketing Expenses,Pazarlama giderleri
Next Contact Date cannot be in the past,Bir sonraki İrtibat Tarihi geçmişte olamaz
Webhooks Details,Web Kancaları Detayları
Authorization Rule,Yetkilendirme Kuralı
Volunteer Type information.,Gönüllü Türü bilgisi.
This is the number of the last created transaction with this prefix,"Bu, bu ön ek ile oluşturulan son işlemin numarasıdır"
Indicator Color,Gösterge rengi
Copy Fields to Variant,Alanları Varyant&#39;a Kopyala
Sandy Loam,Sandy Loam
From date can not be less than employee's joining date,Bu tarihten itibaren çalışanın katılma tarihinden daha az olamaz.
Allow multiple Sales Orders against a Customer's Purchase Order,Müşterinin Satınalma Siparişine Karşı Birden Çok Satış Siparişine İzin Verin
PDC/LC,PDC / LC
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Eğer kontrol edilirse, vergi miktarı Baskı Oranı / Baskı Tutarı&#39;na önceden dahil edilmiş olarak kabul edilir."
Date is repeated,Tarih tekrarlandı
Party Information,Parti Bilgisi
Debtors ({0}),Borçlular ({0})
To date can not greater than employee's relieving date,Bugüne kadar çalışanın rahatlama tarihinden daha büyük olamaz
Employees Email Id,Çalışanların E-posta Kimliği
Update Price from Shopify To ERPNext Price List,Shopify&#39;dan ERPNext Fiyat Listesine Güncelleme Fiyatı
Default Medical Code Standard,Varsayılan Tıbbi Kod Standardı
Tax Account,Vergi Hesabı
Total Paid Amt,Ödenen Toplam Tutar
Website Specifications,Web sitesi özellikleri
"From a supplier under composition scheme, Exempt and Nil rated","Kompozisyon şeması altındaki bir tedarikçiden, Muaf ve Nil Puanı"
"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Katılımı güncellemek ister misiniz? <br> Şimdiki: {0} \ <br> Yok: {1}
Employee (optional),Çalışan (isteğe bağlı)
Supplier Invoice Details,Tedarikçi Fatura Detayları
Customer {0} is created.,{0} müşterisi yaratıldı.
Default Cost of Goods Sold Account,Satılan Malın Varsayılan Maliyeti
{0} Number {1} already used in account {2},{0} {1} numarası zaten {2} hesabında kullanılmış.
Default Account,Varsayılan hesap
Disable Rounded Total,Yuvarlak Toplamı Devre Dışı Bırak
Signee,altına imza atanları
End Date cannot be before Start Date.,"Bitiş Tarihi, Başlangıç Tarihinden önce olamaz."
Warehouses with existing transaction can not be converted to group.,Mevcut işlemi olan depolar gruba dönüştürülemez.
Both Warehouse must belong to same Company,Her iki Depo da aynı Şirkete ait olmalıdır
Against Document Detail No,Belge Ayrıntısına Karşı Hayır
Please set {0},Lütfen {0} olarak ayarlayın
Please select prefix first,Lütfen önce ön eki seçin
Managing Subcontracting,Taşeronluk Yönetimi
Projects User,Projeler Kullanıcısı
Supplier Scorecard Variable,Tedarikçi Puan Kartı Değişkeni
Item Group Name,Ürün Grubu Adı
Applicable on Material Request,Malzeme Talebine Uygulanabilir
Search APIs,API’leri ara
Overproduction Percentage For Sales Order,Satış Siparişinde Aşırı Üretim Yüzdesi
Specifications,Özellikler
Supplied Items,Tedarik Edilen Öğeler
Select Employees,Çalışanları Seç
Select interest income account in loan {0},Borçtaki faiz geliri hesabını seçin {0}
All items have already been transferred for this Work Order.,Bu İş Emri için tüm kalemler zaten aktarılmıştır.
Payment Details,Ödeme detayları
Printing and Branding,Baskı ve Markalaşma
HTML / Banner that will show on the top of product list.,Ürün listesinin başında gösterilecek HTML / Banner.
Sales Payment Summary,Satış Ödeme Özeti
Is Flexible Benefit,Esnek Fayda mı
IGST Account,IGST Hesabı
Checkout Settings,Ödeme Ayarları
Please set Fiscal Code for the customer '%s',Lütfen müşterinin Mali Kodunu &#39;% s&#39; olarak ayarlayın
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Aylık Dağıtım ** işinizde mevsimsellik varsa, Bütçe / Hedefi aylara dağıtmanıza yardımcı olur."
Students,Öğrenciler
Expense Claim {0} already exists for the Vehicle Log,Araç Günlüğü için Gider Talebi {0} zaten var
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Seçilirse, bu bileşende belirtilen veya hesaplanan değer, kazançlara veya kesintilere katkıda bulunmayacaktır. Bununla birlikte, bu değere eklenebilecek veya düşülebilen diğer bileşenler tarafından referans verilebilir."
Please enter repayment Amount,Lütfen geri ödeme tutarını girin
Is Opening Entry,Giriş Açıyor
Set New Release Date,Yeni Yayın Tarihi Ayarla
Expenses Included In Valuation,Değerlemeye Dahil Edilen Giderler
Serial Numbers,Seri numaraları
Deductions,Kesintiler
Supplier-Wise Sales Analytics,Tedarikçi-Akıllı Satış Analizi
February,Şubat
For Employee,Çalışan için
Actual Delivery Date,Gerçek teslim tarihi
Sales Partner Name,Satış Ortağı Adı
Depreciation Row {0}: Depreciation Start Date is entered as past date,Amortisman Satırı {0}: Amortisman Başlangıç Tarihi geçmiş tarih olarak girildi
Regional,Bölgesel
Lead is an Organization,Kurşun bir organizasyondur
Please select Charge Type first,Lütfen önce Ücret Tipini seçin
Accepted Quantity,Kabul edilen miktar
DE,DE
Search Results,arama sonuçları
Default Buying Cost Center,Varsayılan Alış Maliyet Merkezi
Include Non Stock Items,Stok Dışı Kalemleri Dahil Et
AB+,AB +
Upload Attendance,Seyirci Yükle
Drug Code,İlaç Kodu
Please enable Applicable on Booking Actual Expenses,Lütfen Rezervasyon Gerçek Masraflar Üzerindeki Uygulanabilirliği etkinleştirin
Chargeble,chargeble
Supply Raw Materials,Hammadde Tedarik
Item-wise Price List Rate,Öğe-Fiyat Listesi
BOM,BOM
Readings,Okumalar
Error while processing deferred accounting for {0},{0} için ertelenmiş muhasebe işlenirken hata oluştu
Please set either the Tax ID or Fiscal Code on Company '%s',Lütfen &#39;% s&#39; Şirketine Vergi Kimlik veya Mali Kodunu ayarlayın
Add Serial No,Seri No Ekle
Avg. Selling Rate,Ort. Satış oranı
payment_url,payment_url
Excise Page Number,Özel Sayfa Numarası
Sales Partner Target Variance based on Item Group,Ürün Grubuna Göre Satış Ortağı Hedef Varyansı
Naming Series Prefix,Seri Öneki Adlandırma
Workstation,İş İstasyonu
Task Weight,Görev Ağırlığı
Annual Billing: {0},Yıllık Faturalandırma: {0}
You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,{0} Mali Yılı&#39;nı silemezsiniz. Global Ayarlar&#39;da Mali Yıl {0} varsayılan olarak ayarlanmıştır
No Customers yet!,Henüz müşteri yok!
Enable Perpetual Inventory,Sürekli Envanteri Etkinleştir
Potential Sales Deal,Potansiyel Satış Anlaşması
Excise Invoice,ÖTV faturası
Supplier Scorecard,Tedarikçi Puan Kartı
Travel To,Seyahat
Mark Attendance,Mark Seyirci
Difference,fark
Small,Küçük
Work Order Item,İş Emri Öğesi
Sales and Returns,Satışlar ve İadeler
Monthly Distribution,Aylık Dağıtım
Quality Action,Kaliteli eylem
Work-in-Progress Warehouse,Devam Eden Çalışma Deposu
Dividends Paid,Temettü ödemesi
New Academic Year,Yeni Akademik Yıl
Name and Employee ID,İsim ve Çalışan Kimliği
Generate Invoice At Beginning Of Period,Dönem Başında Fatura Yaratın
Minimum Order Qty,Minimum Sipariş Miktarı
Block Holidays on important days.,Önemli günlerde tatilleri engelleyin.
Documentation,belgeleme
Alternative Item Code,Alternatif Ürün Kodu
Partner website,Ortak web sitesi
Applicant,Başvuru sahibi
"Single for results which require only a single input, result UOM and normal value 
<br>
Compound for results which require multiple input fields with corresponding event names, result UOMs and normal values
<br>
Descriptive for tests which have multiple result components and corresponding result entry fields. 
<br>
Grouped for test templates which are a group of other test templates.
<br>
No Result for tests with no results. Also, no Lab Test is created. e.g.. Sub Tests for Grouped results.","Yalnızca tek bir giriş gerektiren sonuçlar için tek, sonuç UOM ve normal değer <br> Karşılık gelen olay adları, sonuç UOM&#39;leri ve normal değerler içeren birden fazla giriş alanı gerektiren sonuçlar için bileşik <br> Birden fazla sonuç bileşenine ve karşılık gelen sonuç giriş alanlarına sahip testler için tanımlayıcı. <br> Diğer test şablonları grubu olan test şablonları için gruplandırılmıştır. <br> Sonuç bulunmayan testler için sonuç yok. Ayrıca, hiçbir Lab Test oluşturulmamıştır. Örneğin. Gruplandırılmış sonuçlar için Alt Testler."
Please mention Round Off Cost Center in Company,Lütfen şirketteki Yuvarlama Maliyet Merkezini belirtiniz.
Delivery Notes {0} must be cancelled before cancelling this Sales Order,Bu Müşteri Siparişini iptal etmeden önce {0} Teslimat Notları iptal edilmelidir
Show on Website,Web sitesinde göster
Shipping Address Name,Teslimat Adresi Adı
Drug,İlaç
{0} {1} is closed,{0} {1} kapalı
Medical History,Tıbbi geçmiş
Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,Aboneliği iptal etmeden veya aboneliği ödenmemiş olarak işaretlemeden önce fatura tarihinden sonraki gün sayısı
Installation Note {0} has already been submitted,{0} Yükleme Notu çoktan gönderildi
Family,Aile
Updated via 'Time Log',&#39;Zaman Günlüğü&#39; ile güncellendi
Sample Size,Örnek boyut
Reference Number,Referans numarası
UOM Conversion Detail,UOM Dönüşüm Ayrıntısı
Opening Accumulated Depreciation must be less than equal to {0},Birikmiş Amortisman Açma {0} &#39;a eşit olmamalıdır
Antibiotic Name,Antibiyotik adı
"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",Aşağıdaki tabloda sadece &quot;Onaylı&quot; statüsüne sahip Öğrenci Başvuru Sahibi seçilecektir.
% Progress,% İlerleme
UOM Category,UOM Kategorisi
Publish Items on Website,Öğeleri Web Sitesinde Yayınla
Meetup Embed HTML,Meetup HTML&#39;yi Göm
Please select Party Type first,Lütfen önce Parti Tipini seçiniz
Repayment Start Date,Geri Ödeme Başlama Tarihi
Not authroized since {0} exceeds limits,{0} limitleri aştığı için yetkilendirilmedi
Procedure Created,Oluşturulan Prosedür
Serial No Warranty Expiry,Seri No Garanti Süresi Sona Erdi
Against Supplier Invoice {0} dated {1},{1} tarihli {0} Tedarikçi Faturasına karşı
Change POS Profile,POS Profilini Değiştir
Create Lead,Kurşun Yarat
Default Customer,Varsayılan müşteri
Supplier Invoice No,Tedarikçi Fatura No
Mixed Conditions,Karışık Koşullar
"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".","Bu, öğeler ve Satış siparişleri için kullanılan varsayılan UOM&#39;dir. Geri dönüş UOM&#39;si &quot;Nos&quot;."
Mute Email,E-postayı kapat
Item 2,Madde 2
Tax Withholding rates to be applied on transactions.,İşlemlerde uygulanacak Vergi Stopaj oranları.
Strength,kuvvet
{0} units of {1} needed in {2} to complete this transaction.,Bu işlemi tamamlamak için {2} &#39;de {1} birime {1} ihtiyaç duyuldu.
Backflush Raw Materials of Subcontract Based On,Fason Üretime Dayalı Geri Dönüş Hammaddeleri
Customer,Müşteri
"If enabled, field Academic Term will be Mandatory in Program Enrollment Tool.","Etkinleştirilirse, Program Kayıt Aracı&#39;nda Akademik Terim alanı zorunlu olacaktır."
"For Batch based Student Group, the Student Batch will be validated for every Student from the Program Enrollment.","Toplu Tabanlı Öğrenci Grubu için, Öğrenci Kaydı, Program Kaydındaki her Öğrenci için doğrulanır."
Topics,Başlıklar
Row #{0}: Please set reorder quantity,Satır # {0}: Lütfen sipariş miktarını ayarlayın
Linked Location,Bağlantılı Konum
Batch number is mandatory for Item {0},{0} Maddesi için parti numarası zorunludur
Not permitted for {0},{0} için izin verilmiyor
{0} {1} is fully billed,{0} {1} tamamen faturalandırılmış
Inward,içe doğru
See All Articles,Tüm Makalelere Bakın
Payment Entry,Ödeme girişi
Recipient Message And Payment Details,Alıcı Mesajı ve Ödeme Detayları
Payment Terms Template Detail,Ödeme Koşulları Şablon Ayrıntısı
Select Quantity,Miktarı seçiniz
Student Attendance,Öğrenci Seyirci
Automatically Set Serial Nos based on FIFO,FIFO&#39;ya Göre Seri Numaraları Otomatik Olarak Ayarla
Available Qty,Mevcut Adet
Get Invoices based on Filters,Filtrelere Dayalı Faturaları Al
Default Workstation,Varsayılan iş istasyonu
Salary Structure,Maaş yapısı
Enable Attribute Filters,Öznitelik Filtrelerini Etkinleştir
Non Profit Member,Kar Amacı Gütmeyen Üye
Material Request Plan Item,Malzeme Talep Planı Öğesi
Add to Holidays,Tatil ekle
Limit Crossed,Sınırı geçti
Transactions Annual History,İşlemler Yıllık Tarihçesi
Delete Company Transactions,Şirket İşlemlerini Sil
To State,Devlete
Department Stores,Mağazalar
Inpatient Occupancy,Yatan Hasta Kapasitesi
Row {0}: Due Date cannot be before posting date,"{0} Satırı: Son Tarih, gönderim tarihinden önce olamaz"
Please set default customer in Restaurant Settings,Lütfen Restoran Ayarlarında varsayılan müşteriyi ayarlayın
 Group Roll No,Grup Rulo No
Please specify a valid Row ID for row {0} in table {1},Lütfen {1} tablosundaki {0} satırı için geçerli bir Satır Kimliği belirtin
To Employee,Çalışanlara
End of Life,Hayatın sonu
Sensitivity,Duyarlılık
Territory Targets,Bölge Hedefleri
"Skipping Leave Allocation for the following employees, as Leave Allocation records already exists against them. {0}","Aşağıdaki çalışanlar için Ayrılma Ayrımı Atlama, Ayrılma Ayrılma kayıtları zaten onlara göre. {0}"
Delivered By Supplier,Tedarikçi Tarafından Teslim Edildi
Plant Analysis,Tesis Analizi
Expense account is mandatory for item {0},{0} kalemi için gider hesabı zorunludur
Subcontracted Raw Materials To Be Transferred,Taşınacak Hammadde Aktarılacak
Cashier Closing,Kasiyer Kapanışı
Item {0} has already been returned,{0} öğesi zaten iade edildi
Child warehouse exists for this warehouse. You can not delete this warehouse.,Bu depo için çocuk deposu bulunmaktadır. Bu depoyu silemezsiniz.
Diagnosis,Teşhis
There is no leave period in between {0} and {1},{0} ve {1} arasında izin süresi yoktur.
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{2} &#39;ye karşı {0} hesabı için {0} Bütçe {3} {4}&#39; dir. {5} değerini aşacak
Asset Location,Varlığın Yeri
Please enter Difference Account,Lütfen Fark Hesabı girin
Total Credit,Toplam kredi
Name of Consultant,Danışmanın Adı
License Number,Lisans numarası
Program Enrollment Tool,Program Kayıt Aracı
US,BİZE
Track this Sales Order against any Project,Bu Satış Siparişini herhangi bir Projeye Göre İzleyin
Authorization Settings,Yetkilendirme Ayarları
Products,Ürünler
Profit and Loss Statement,Kar ve zarar tablosu
Rooms Booked,Oda rezervasyonu
EAN,EAN
Total Weight,Toplam ağırlık
Travel,Seyahat
Stock Ledger,Hisse senedi defteri
Volunteer Name,Gönüllü Adı
Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,Geçersiz GSTIN! GSTIN&#39;in ilk 2 hanesi {0} durum numarası ile eşleşmelidir.
Report Date,Rapor Tarihi
Create Inter Company Journal Entry,Şirketler Arası Dergi Girişi Oluşturma
Enough Parts to Build,Oluşturulacak Parçaları
NPO-MEM-.YYYY.-,NPO-MEM-.YYYY.-
Cost of Issued Items,İhraç Edilen Malların Maliyeti
Treshold {0}% appears more than once,{0}% eşiği bir kereden fazla görünüyor
Chapter Members,Bölüm Üyeleri
Service Address,Hizmet adresi
Remark,düşünce
Encounter Time,Karşılaşma Saati
Invoice Details,Fatura detayları
"Further accounts can be made under Groups, but entries can be made against non-Groups","Gruplar altında başka hesaplar yapılabilir, ancak Grup olmayanlara karşı girişler yapılabilir."
Stock Items,Stok eşyaları
Reqd Qty,Req Adet
Body Temperature,Vücut ısısı
Customer Group Name,Müşteri Grubu Adı
Total allocated leaves are more than days in the period,Tahsis edilen toplam izin süreleri günden daha fazladır
Section Cards,Bölüm Kartları
Rules for adding shipping costs.,Nakliye masrafı ekleme kuralları.
Valid From,Kadar geçerli
Preferred Area for Lodging,Konaklama için Tercih Edilen Alan
Absent,Yok
Hide Currency Symbol,Para Birimi Simgesini Gizle
Overwrite Salary Structure Amount,Üzerine Maaş Yapısı Tutarı
Is Subcontracted,Taşeronluk mu
Loan Amount cannot exceed Maximum Loan Amount of {0},Kredi Tutarı {0} Maksimum Kredi Tutarını aşamaz.
BOM does not contain any stock item,BOM herhangi bir hisse senedi içermiyor
Employee Skill Map,Çalışan Beceri Haritası
Marketing,Pazarlama
Row #{0}: Not allowed to change Supplier as Purchase Order already exists,Satır # {0}: Satınalma Siparişi zaten mevcut olduğu için Tedarikçiyi değiştiremez
Maximum sample quantity that can be retained,Alıkonulabilecek maksimum numune miktarı
Total Estimated Budget,Toplam Tahmini Bütçe
Standing Name,Ayakta adı
Validate Enrolled Course for Students in Student Group,Öğrenci Grubundaki Öğrenciler İçin Kayıtlı Kursu Doğrulayın
From Date {0} cannot be after employee's relieving Date {1},"{0} tarihinden itibaren, çalışanın rahatlamasının ardından {1} tarihi olamaz"
"The total Issue / Transfer quantity {0} in Material Request {1}  \
							cannot be greater than requested quantity {2} for Item {3}","{1} \ Malzeme Talebindeki {0} Toplam Sayı / Transfer Miktarı, {3} Maddesi için istenen {2} miktarından büyük olamaz"
Please select {0},Lütfen {0} seçin
Default Customer Group,Varsayılan Müşteri Grubu
Debit in Company Currency,Şirket Para Birimi İçinde Borç
"The fallback series is ""SO-WOO-"".",Geri dönüş serisi &quot;SO-WOO-&quot;.
Section Header,Bölüm başlığı
Your Products or Services,Ürün veya Servisleriniz
Perennial,uzun ömürlü
Freight and Forwarding Charges,Navlun ve Yönlendirme Ücretleri
Last Purchase Price,Son Satın Alma Fiyatı
Tax Assets,Vergi Varlıkları
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","&#39;Fiyat&#39; için seçilen Fiyatlandırma Kuralı yapılırsa, Fiyat Listesinin üzerine yazacaktır. Fiyatlandırma Kural oranı son orandır, bu nedenle başka bir indirim yapılmamalıdır. Bu nedenle, Satış Emri, Satınalma Emri vb. İşlemlerde, &#39;Fiyat Listesi Oranı&#39; yerine &#39;Ücret&#39; alanına getirilir."
Share Type,Paylaşım Türü
Soil Analysis,Zemin Analizi
Water Analysis Criteria,Su Analiz Kriterleri
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,"Not: Tahsis edilen toplam {0} izinleri, dönem için önceden onaylanmış izinlerden {1} daha az olmamalıdır"
Deduction,kesinti
You cannot restart a Subscription that is not cancelled.,İptal edilmeyen bir Aboneliği yeniden başlatamazsınız.
Employee Advances,Çalışan Gelişmeleri
Provisional Profit / Loss (Credit),Geçici Kar / Zarar (Kredi)
Max Exemption Amount,Maksimum Muafiyet Tutarı
TS-.YYYY.-,TS-.YYYY.-
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,"Öğeler için farklı UOM, yanlış (Toplam) Net Ağırlık değerine yol açacaktır. Her bir öğenin Net Ağırlığının aynı UOM&#39;da olduğundan emin olun."
Supplier Quotation,Tedarikçi Teklifi
Auto re-order,Otomatik yeniden sipariş
Total Advance Amount,Toplam Avans Tutarı
Row #{0}: Clearance date {1} cannot be before Cheque Date {2},Satır # {0}: {1} gümrükleme tarihi {2} Kontrol Tarihinden önce olamaz
Can only make payment against unbilled {0},Sadece {0} faturasına ödeme yapılmaz
Thumbnail,başparmak tırnağı
Planned Qty,Planlanan Adet
Rates,Oranlar
Journal Entry for Scrap,Hurdaya Günlük Girdi
Voucher Detail No,Kupon Detayı Yok
Variant Based On cannot be changed,Temel Varyant değiştirilemez
Review Date,Gözden geçirme tarihi
Biennial,iki yıllık
Endpoints,Endpoints
Plan,Plan
Year of Passing,Geçen yıl
Total Tax,Toplam vergi
Please enter default currency in Company Master,Lütfen Şirket Master’da varsayılan para birimini girin
Processed Files,İşlenmiş Dosyalar
Is Earned Leave,İzin Kazanıldı
Search Term Param Name,Arama Terimi Param Adı
Time Sheets,Zaman çizelgeleri
Installation Time,Kurulum zamanı
Templates of supplier scorecard variables.,Tedarikçi puan kartı değişkenlerinin şablonları.
"A Product or a Service that is bought, sold or kept in stock.","Satın alınan, satılan veya stokta tutulan bir Ürün veya Hizmet."
Closing (Opening + Total),Kapanış (Açılış + Toplam)
Criteria Formula,Ölçüt Formülü
Support Analytics,Destek Analitiği
Review and Action,İnceleme ve İşlem
"If the account is frozen, entries are allowed to restricted users.","Hesap donmuşsa, girişleri kısıtlı kullanıcılara izin verilir."
Amount After Depreciation,Amortisman Sonrası Tutar
Import Master Data,Ana Verileri İçe Aktar
BOM {0} must be active,BOM {0} aktif olmalı
GST Sales Register,GST Satış Kayıt
Supplier Invoice Date cannot be greater than Posting Date,"Tedarikçi Fatura Tarihi, Gönderme Tarihinden daha büyük olamaz"
Manage your orders,Siparişlerinizi yönetin
Notify Supplier,Tedarikçi bildir
GSTR-2,GSTR-2
Credit Note Issued,Verilen Kredi Notu
This covers all scorecards tied to this Setup,"Bu, bu Kuruluma bağlı tüm puan kartlarını kapsar"
Payment Order Type,Ödeme Emri Türü
Parent Account,ebeveyn hesabı
Unscheduled,programda olmayan
Issue Material,Sayı Malzemesi
Use Multi-Level BOM,Çok Düzeyli Malzeme Listesi kullanın
Qty for {0},{0} için miktar
Loan Repayment,Kredi geri ödeme
Major/Optional Subjects,Ana / Seçmeli Konular
Silt,alüvyon
Bank Guarantee Type,Banka Garanti Türü
"If disable, 'Rounded Total' field will not be visible in any transaction","Devre dışı bırakılırsa, &#39;Yuvarlanan Toplam&#39; alanı hiçbir işlemde görünmez"
Min Amt,Min Amt
This is a root healthcare service unit and cannot be edited.,Bu bir kök sağlık hizmeti birimidir ve düzenlenemez.
Set this if the customer is a Public Administration company.,Müşteri bir Kamu İdaresi şirketiyse bunu ayarlayın.
Max benefits should be greater than zero to dispense benefits,Faydaları dağıtmak için azami fayda sıfırdan büyük olmalıdır
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order # {3}. Please update operation status via Job Card # {4},Satır # {0}: {2} İş Emri # {3} &#39;te işlenmiş malların miktarı için {1} işlemi tamamlanmadı. Lütfen işlem durumunu İş Kartı # {4} ile güncelleyin
Planned Start Date,Planlanan Başlangıç Tarihi
Asset Maintenance,Varlık Bakımı
Interested,Ilgilenen
Net Total (Company Currency),Net Toplam (Şirket Para Birimi)
Depends on Payment Days,Ödeme Günlerine bağlıdır
Taxes,Vergiler
Bank Account,Banka hesabı
Section HTML,Bölüm HTML
Packed Items,Paketlenmiş Öğeler
New {0} pricing rules are created,Yeni {0} fiyatlandırma kuralları oluşturuldu
Achieved ({}),Elde Edildi ({})
Investment Banking,Yatırım bankacılığı
Contract Terms and Conditions,Sözleşme Şartları ve Koşulları
Fetch Data,Veriyi getir
Default Item Group,Varsayılan Öğe Grubu
Billing Hours,Fatura saatleri
Item Code for Suppliers,Tedarikçiler için Ürün Kodu
Leave application {0} already exists against the student {1},"{0} uygulamasından ayrıl, {1} adlı öğrenciye karşı zaten var"
Margin Type,Marj Tipi
Rejected Serial No,Reddedilen Seri No
Current Amount,Mevcut Tutar
Setup default values for POS Invoices,POS Faturaları için varsayılan değerleri ayarlama
Cost as on,Tarihinde olduğu gibi maliyet
Project Update.,Proje Güncellemesi.
Root Type is mandatory,Kök Tipi zorunludur
Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,{2} anahtar tarihi için {0} ila {1} döviz kuru bulunamadı. Lütfen el ile bir Döviz Değişimi kaydı oluşturun
{0}% Billed,{0}% Faturalandırıldı
Overdue,vadesi geçmiş
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Verilen hammadde miktarlarından üretim / yeniden paketleme sonrası elde edilen mal miktarı
Opening Invoice Creation Tool Item,Fatura Oluşturma Aracı Öğesini Açma
(Ca+Mg)/K,"(Mg + Ca) / K,"
Include POS Transactions,POS İşlemlerini Dahil Et
Received Amount (Company Currency),Alınan Tutar (Şirket Para Birimi)
"LocalStorage is full, did not save","LocalStorage dolu, kaydetmedi"
Chapter Member,Bölüm Üyesi
Certification Validity,Sertifika Geçerliliği
Asset Account,Duran Varlık Hesabı
Suplier,suplier
POS Closing Voucher Details,POS Kapanış Kuponu Ayrıntıları
HLC-PMR-.YYYY.-,HLC-FTR-.YYYY.-
Delivery Settings,Teslimat ayarları
Receivables,Alacaklar
Annual,Yıllık
Tax Rate,Vergi oranı
Medical Coding,Tıbbi Kodlama
Total Quantity,Toplam miktar
Comprehensive Insurance,Kapsamlı Sigorta
Quantity and Rate,Miktar ve Oran
Max Amount Eligible,Uygun Maksimum Tutar
Employee Loan,Çalışan Kredisi
Account Paid To,Hesabına Ödenen
Single,Tek
Customer required for 'Customerwise Discount',&#39;Müşteri Tabanlı İndirim&#39; için gereken müşteri
Advance Payments,Peşin Ödemeler
"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",\ Seri {0} olarak Seri No ile teslim yapıldığından emin olamazsınız.
Discharge Date,Deşarj tarihi
Open Work Orders,İş emirlerini aç
List of diseases detected on the field. When selected it'll automatically add a list of tasks to deal with the disease ,"Sahada tespit edilen hastalıkların listesi. Seçildiğinde, hastalıkla başa çıkmak için otomatik olarak bir görev listesi ekler"
All Lead (Open),Tüm Kurşun (Açık)
No Student Groups created.,Hiçbir Öğrenci Grubu oluşturulmadı.
Duplicate row {0} with same {1},Yinelenen satır {0} ile aynı {1}
Salary Details,Maaş Detayları
Invoice,Fatura
Particulars,Ayrıntılar
Please set filter based on Item or Warehouse,Lütfen Öğeyi veya Depoyu temel alarak filtre ayarlayın
Outstanding Amount,Ödenmemiş Miktar
Transactions can only be deleted by the creator of the Company,İşlemler yalnızca Şirketin yaratıcısı tarafından silinebilir
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.","&#39;Ürün Paketi&#39; ürünleri için &#39;Paket Listesi&#39; tablosundan Depo, Seri No ve Parti No dikkate alınacaktır. Depo ve Parti No, herhangi bir &#39;Ürün Paketi&#39; öğesinin tüm paketleme öğeleri için aynıysa, bu değerler ana Öğe tablosuna girilebilir, değerler &#39;Paket Listesi&#39; tablosuna kopyalanır."
Submitted Date,Gönderme Tarihi
Send with Attachment,Eklenti ile gönder
Account {0} does not exists,{0} hesabı mevcut değil
BOM No,BOM Hayır
Avg Daily Outgoing,Ortalama Günlük Giden
Allergies,Alerjiler
Order/Quot %,Sipariş / Teklif%
Transporter Info,Taşıyıcı Bilgisi
