Pension Funds,Pensioenfonds
Auto Repeat Detail,Outo Herhaal Detail
Please supply the specified items at the best possible rates,Verskaf asseblief die gespesifiseerde items teen die beste moontlike tariewe
{0} in row {1},{0} in ry {1}
Job Card Time Log,Werkkaart Tydlog
Patient Demographics,Pasiënt Demografie
To Folio No,Na Folio No
Cash Flow from Operations,Kontantvloei uit bedrywighede
Allow Negative Stock,Laat negatiewe voorraad toe
None of the items have any change in quantity or value.,Geen van die items het enige verandering in hoeveelheid of waarde nie.
Purchase Date,Aankoop datum
Bank Statement Transaction Settings Item,Bankstaat Transaksieinstellings Item
BOM Stock Report,BOM Voorraad Verslag
Write Off,Afskryf
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Ry {0}: Verwagte waarde na nuttige lewe moet minder wees as bruto aankoopbedrag
Personal Bio,Persoonlike Bio
Employee {0} has already applied for {1} on {2} : ,Werknemer {0} het reeds aansoek gedoen vir {1} op {2}:
Standard Selling,Standaardverkope
Invoiced,gefaktureer
User {0} already exists,Gebruiker {0} bestaan reeds
Profit and Loss,Wins en Verlies
Diff Qty,Diff Hoeveelheid
Written Down Value,Geskrewe af waarde
Opening Balance Equity,Openingsaldo-ekwiteit
April,April
Credit Limit,Krediet limiet
Distribution,verspreiding
debit_note_amt,debit_note_amt
Inspected By,Geinspekteer deur
Get Items from Product Bundle,Kry Items van Produk Bundel
Employee Benefit Claim,Werknemersvoordeel-eis
Clearance Date not mentioned,Uitsluitingsdatum nie genoem nie
Default Receivable Account,Verstek ontvangbare rekening
Check if it is a hydroponic unit,Kyk of dit &#39;n hidroponiese eenheid is
Others,ander
Patient Appointment,Pasiënt Aanstelling
AB Positive,AB Positief
Depreciation Date,Depresiasie Datum
Upcoming Calendar Events,Komende kalendergebeure
"Appraisals, Expense Claims and Loans","Toekennings, koste eise en lenings"
Create Student Batch,Skep Studentejoernaal
Travel Advance Required,Vereis reisvoordeel
Orders released for production.,Bestellings vrygestel vir produksie.
Collection Rules,Versameling Reëls
Disable CWIP Accounting,Deaktiveer CWIP Rekeningkunde
Item Code &gt; Item Group &gt; Brand,Item Kode&gt; Itemgroep&gt; Handelsmerk
Section Based On,Afdeling Gebaseer Op
{0} already allocated for Employee {1} for period {2} to {3},{0} reeds toegeken vir Werknemer {1} vir periode {2} tot {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Ry {0}: Van tyd tot tyd van {1} oorvleuel met {2}
Very Hyper,Baie Hyper
Select the nature of your business.,Kies die aard van jou besigheid.
Please select month and year,Kies asseblief maand en jaar
Student Log,Studentelog
Enable Checkout,Aktiveer Checkout
Human Resources,Menslike hulpbronne
Total Value Difference (Out - In),Totale waardeverskil (Uit - In)
Actual End Time,Werklike Eindtyd
Setting up Taxes,Belasting opstel
Net Cash from Investing,Netto kontant uit belegging
Accounting Ledger,Rekeningkunde Grootboek
Item Group Tree,Itemgroep Boom
'Total',&#39;Totale&#39;
Item 1,Item 1
Student Batches,Studente Joernale
"Attach .csv file with two columns, one for the old name and one for the new name","Heg .csv-lêer met twee kolomme, een vir die ou naam en een vir die nuwe naam"
outstanding_amount,uitstaande bedrag
Susceptible,vatbaar
Total (Company Currency),Totaal (Maatskappy Geld)
Website Content,Webwerf inhoud
Driving License Category,Bestuurslisensie Kategorie
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Ry # {0}: Verwagte afleweringsdatum kan nie voor Aankoopdatum wees nie
Make Payment,Maak betaling
Party Type is mandatory,Party Tipe is verpligtend
The fields From Shareholder and To Shareholder cannot be blank,Die velde van aandeelhouer en aandeelhouer kan nie leeg wees nie
Quality Management,Gehalte bestuur
Transfer Material Against,Oordragsmateriaal teen
Temporarily on Hold,Tydelik op hou
Connect Shopify with ERPNext,Koppel Shopify met ERPNext
Subtitle,Subtitle
Loam,leem
Scrap Material Cost(Company Currency),Skrootmateriaal Koste (Maatskappy Geld)
Delivery Note {0} must not be submitted,Afleweringsnotasie {0} moet nie ingedien word nie
Actual Start Date (via Time Sheet),Werklike Aanvangsdatum (via Tydblad)
Delivery Date,Afleweringsdatum
Item Shortage Report,Item kortverslag
Price Determination,Prysbepaling
Retail & Wholesale,Kleinhandel en Groothandel
Twice Daily,Twee keer per dag
Integrated Tax,Geïntegreerde Belasting
Deductions or Loss,Aftrekkings of verlies
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Fiskale Regime is verpligtend, stel asseblief die fiskale regime in die maatskappy {0}"
Time slots added,Tydgleuwe bygevoeg
Leaves must be allocated in multiples of 0.5,Blare moet in veelvoude van 0.5 toegeken word
Amount {0} {1} deducted against {2},Bedrag {0} {1} afgetrek teen {2}
Payment Reconciliation Payment,Betaalversoening Betaling
Template of terms or contract.,Sjabloon van terme of kontrak.
Barcodes,barcodes
Enrollment Date,Inskrywingsdatum
Clear Table,Duidelike tabel
Setting up company,Opstel van maatskappy
Free item code is not selected,Gratis item kode is nie gekies nie
Total Unpaid: {0},Totaal Onbetaald: {0}
Balance must be,Saldo moet wees
Default Bank Account,Verstekbankrekening
Creating Fees,Fooie skep
Please select Qty against item {0},Kies asseblief hoeveelheid teen item {0}
Do not confirm if appointment is created for the same day,Moenie bevestig of aanstelling vir dieselfde dag geskep is nie
Repaid/Closed,Terugbetaal / gesluit
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Ry {0}: {1} Reeksnommers word benodig vir item {2}. U het {3} verskaf.
Gain/Loss,Wins / verlies
Sales Invoice Payment,Verkope faktuur betaling
Payslip,Betaalstrokie
HSN,HSN
Request for quotation.,Versoek vir kwotasie.
Procurement Tracker,Aankoop Tracker
Type of Proof,Soort bewys
Vehicle Date,Voertuigdatum
Dispatch Settings,Versending instellings
Dependencies,afhanklikhede
Lost,verloor
Replace BOM,Vervang BOM
Marital Status,Huwelikstatus
Enter retirement age in years,Gee aftree-ouderdom in jare
No items listed,Geen items gelys nie
No data to export,Geen data om te eksporteer nie
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,"Kies asseblief Carry Forward as u ook die vorige fiskale jaar se balans wil insluit, verlaat na hierdie fiskale jaar"
Opening Stock Balance,Opening Voorraadbalans
Leave Blocked,Verlaat geblokkeer
Asset Category is mandatory for Fixed Asset item,Bate-kategorie is verpligtend vir vaste bate-item
Required By,Vereis deur
Add to Details,Voeg by Besonderhede
Inactive Customers,Onaktiewe kliënte
Dosage,dosis
Starting position from top edge,Beginposisie van boonste rand
Appointment Duration (mins),Aanstelling Tydsduur (mins)
Disable,afskakel
Purchase Orders to Receive,Aankooporders om te ontvang
Productions Orders cannot be raised for:,Produksies Bestellings kan nie opgewek word vir:
Ignore Employee Time Overlap,Ignoreer werknemersydsoorlap
Trainings,opleiding
Lost Reasons,Verlore redes
A Positive,&#39;N positiewe
Reading 7,Lees 7
Serial No,Serienommer
Required Quantity,Vereiste hoeveelheid
Parent Location,Ouer Plek
Material Requests,Materiële Versoeke
Material Transferred for Subcontract,Materiaal oorgedra vir subkontrakteur
Timing Detail,Tydsberekening
Required On,Vereis Aan
Importing {0} of {1},Voer {0} van {1} in
Job Offer Term,Werksbydrae
All Contact,Alle Kontak
Project Task,Projektaak
Item Barcode,Item Barcode
Stock Levels,Voorraadvlakke
Height (In Meter),Hoogte (In meter)
Order Value,Bestelwaarde
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Alle verkoops transaksies kan gemerk word teen verskeie ** Verkope Persone ** sodat u teikens kan stel en monitor.
You have already selected items from {0} {1},Jy het reeds items gekies van {0} {1}
Get Suppliers,Kry Verskaffers
Contribution (%),Bydrae (%)
Cannot set a received RFQ to No Quote,Kan nie &#39;n RFQ vir geen kwotasie opstel nie
Create Sales Order,Skep verkoopsbestelling
Account: {0} can only be updated via Stock Transactions,Rekening: {0} kan slegs deur voorraadtransaksies opgedateer word
{0} Request for {1},{0} Versoek vir {1}
Please select a value for {0} quotation_to {1},Kies asseblief &#39;n waarde vir {0} kwotasie_ tot {1}
Opportunity Date,Geleentheid Datum
Next Steps,Volgende stappe
Training Feedback,Opleiding Terugvoer
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Totale vakansiedae
Fertilizer Name,Kunsmis Naam
House rented dates required for exemption calculation,Huis gehuurde datums benodig vir vrystelling berekening
Expiring Memberships,Vervaldatums
Supplier(s),Verskaffers)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Stel asseblief nommersreeks vir Bywoning via Setup&gt; Numbering Series
To Rename,Om hernoem te word
Contact Us,Kontak Ons
Cashier,kassier
Hour,Uur
Show Latest Forum Posts,Wys Laaste Forum Posts
Distributor,verspreider
"Please add the remaining benefits {0} to the application as \
				pro-rata component",Voeg asseblief die oorblywende voordele {0} by die program as \ pro-rata-komponent
Short Term Loan Account,Korttermynleningsrekening
Section Subtotal,Afdeling Subtotaal
Material Request to Purchase Order,Materiaal Versoek om aankoop bestelling
CESS Amount,CESS Bedrag
Not authorized to edit frozen Account {0},Nie gemagtig om gevriesde rekening te redigeer nie {0}
Expected Amount,Verwagte bedrag
Default Price List,Standaard pryslys
No Items selected for transfer,Geen items gekies vir oordrag nie
Payment Amount,Betalingsbedrag
Assessment  Manager,Assesseringsbestuurder
Chemical,chemiese
Assessment Reports,Assesseringsverslae
IV,IV
Academic,akademiese
Item {0} is not setup for Serial Nos. Check Item master,Item {0} is nie opgestel vir Serial Nos. Check Item Master
From State,Uit staat
Maximum Continuous Days Applicable,Maksimum Deurlopende Dae Toepaslik
Support Team.,Ondersteuningspan.
Please enter company name first,Voer asseblief die maatskappy se naam eerste in
Import Successful,Suksesvol invoer
Alternate Number,Alternatiewe Nommer
All Departments,Alle Departemente
Make project from a template.,Maak projek uit &#39;n sjabloon.
Inter Company Order Reference,Inter-maatskappy-bestellingsverwysing
Work Order {0} must be cancelled before cancelling this Sales Order,Werkorder {0} moet gekanselleer word voordat hierdie verkoopbestelling gekanselleer word
Employee Number,Werknemernommer
Avg. Buying Rate,Gem. Koopkoers
Capacity Planning For (Days),Kapasiteitsbeplanning vir (Dae)
From value must be less than to value in row {0},Van waarde moet minder wees as om in ry {0} te waardeer.
Select BOM and Qty for Production,Kies BOM en hoeveelheid vir produksie
Price List Country,Pryslys Land
Create Tax Template,Skep belasting sjabloon
Numeric Values,Numeriese waardes
Instructions,instruksies
Blanket Order Item,Kombuis Bestel Item
Commission rate cannot be greater than 100,Kommissie koers kan nie groter as 100
Course Topic,Kursus Onderwerp
This will restrict user access to other employee records,Dit sal gebruikers toegang tot ander werknemer rekords beperk
Please create Customer from Lead {0},Skep asseblief die kliënt van die lood {0}
Company Settings,Maatskappyinstellings
Vegetarian,Vegetariese
"An item exists with same name ({0}), please change the item group name or rename the item","&#39;N Item bestaan met dieselfde naam ({0}), verander asseblief die itemgroepnaam of hernoem die item"
Hotel Room Type,Hotel Kamer Type
Cash Flow,Kontantvloei
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Betaling teen {0} {1} kan nie groter wees as Uitstaande bedrag nie {2}
Achievement,prestasie
Add Multiple Tasks,Voeg verskeie take by
Item Variant {0} already exists with same attributes,Item Variant {0} bestaan reeds met dieselfde eienskappe
Invoice {0} no longer exists,Faktuur {0} bestaan nie meer nie
Will also apply for variants unless overrridden,Sal ook aansoek doen vir variante tensy dit oortree word
Account,rekening
To Deliver,Om af te lewer
Customers Without Any Sales Transactions,Kliënte sonder enige verkoopstransaksies
Against Document No,Teen dokumentnr
Content Masters,Inhoud Meesters
Subscription Management,Subskripsiebestuur
Get customers from,Kry kliënte van
{0} Digest,{0} Digest
Reports to,Verslae aan
Party Account,Party rekening
Schedule,skedule
Please enter ,Kom asseblief in
Channel Partner,Kanaalmaat
Invoiced Amount,Gefaktureerde bedrag
From Template,Van Sjabloon
Subscriptions,subskripsies
Quantity to Make,Hoeveelheid om te maak
Achieved,bereik
Contribution Amount,Bydrae Bedrag
Fiscal Year,Fiskale jaar
Prevent RFQs,Voorkom RFQs
Discount Received Account,Korting ontvang rekening
 (Half Day),(Halwe dag)
Email Digest,Email Digest
Crop,oes
Profit & Loss,Winsverlies
Section Order,Afdeling bestelling
Result Printed,Resultaat gedruk
Student Group,Studentegroep
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standaard belasting sjabloon wat toegepas kan word op alle aankoop transaksies. Hierdie sjabloon bevat &#39;n lys van belastingkoppe en ander uitgawes soos &quot;Versending&quot;, &quot;Versekering&quot;, &quot;Hantering&quot; ens. #### Nota Die belastingkoers wat u hier definieer, sal die standaardbelastingkoers vir almal wees ** Items * *. As daar ** Items ** is wat verskillende tariewe het, moet hulle bygevoeg word in die ** Item Belasting ** tabel in die ** Item **-meester. #### Beskrywing van Kolomme 1. Berekeningstipe: - Dit kan wees op ** Netto Totaal ** (dit is die som van basiese bedrag). - ** Op Vorige Ry Totaal / Bedrag ** (vir kumulatiewe belasting of heffings). As u hierdie opsie kies, sal die belasting toegepas word as &#39;n persentasie van die vorige ry (in die belastingtabel) bedrag of totaal. - ** Werklike ** (soos genoem). 2. Rekeninghoof: Die rekeninggrootboek waaronder hierdie belasting geboekstaaf sal word. 3. Kosprys: Indien die belasting / heffing &#39;n inkomste (soos gestuur) of koste is, moet dit teen &#39;n Kostepunt bespreek word. 4. Beskrywing: Beskrywing van die belasting (wat in fakture / aanhalings gedruk sal word). 5. Tarief: Belastingkoers. 6. Bedrag: Belastingbedrag. 7. Totaal: Kumulatiewe totaal tot hierdie punt. 8. Voer ry: As gebaseer op &quot;Vorige ry Total&quot;, kan jy die rynommer kies wat as basis vir hierdie berekening geneem sal word (standaard is die vorige ry). 9. Oorweeg belasting of koste vir: In hierdie afdeling kan u spesifiseer of die belasting / heffing slegs vir waardasie (nie &#39;n deel van die totaal) of slegs vir totale (nie waarde vir die item is nie) of vir beide. 10. Voeg of Trek: Of jy die belasting wil byvoeg of aftrek."
Connect to Quickbooks,Koppel aan Vinnige boeke
Root cannot be edited.,Wortel kan nie geredigeer word nie.
Engineer,ingenieur
Row #{0}: Item added,Ry # {0}: Item bygevoeg
Eligibility and Details,Geskiktheid en besonderhede
Staffing Plan Detail,Personeelplanbesonderhede
Annual Income,Jaarlikse inkomste
Subscription Section,Subskripsie afdeling
Payment Days,Betalingsdae
Volunteer information.,Vrywillige inligting.
`Freeze Stocks Older Than` should be smaller than %d days.,`Vries voorraad ouer as` moet kleiner wees as% d dae.
Select Fiscal Year,Kies Fiskale Jaar
Total Amount,Totale bedrag
Non Profit,Nie-winsgewend
Cancel Invoice After Grace Period,Kanselleer faktuur na grasietydperk
Loyalty Points,Loyaliteitspunte
Set Target Warehouse,Stel Target Warehouse
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} het tans &#39;n {1} Verskaffer Scorecard en RFQs aan hierdie verskaffer moet met omsigtigheid uitgereik word.
Check-in Date,Incheckdatum
Round Off Account,Round Off Account
Warranty Period (Days),Garantie Periode (Dae)
Expense Claim Detail,Koste eis Detail
Program: ,program:
Patient Medical Record,Pasiënt Mediese Rekord
Action Description,Aksie Beskrywing
Variant Based On,Variant gebaseer op
Brake Oil,Remolie
Create User,Skep gebruiker
Codification Table,Kodifikasietabel
Optional,opsioneel
Show Leaves Of All Department Members In Calendar,Toon blare van alle Departementslede in die Jaarboek
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Het nie oorgedra item {0} in Werkorder {1} gevind nie, die item is nie in Voorraadinskrywing bygevoeg nie"
See all open tickets,Sien alle oop kaartjies
Operations cannot be left blank,Operasies kan nie leeg gelaat word nie
At least one mode of payment is required for POS invoice.,Ten minste een wyse van betaling is nodig vir POS faktuur.
Guardian1 Email ID,Guardian1 E-pos ID
Supplier delivers to Customer,Verskaffer lewer aan die kliënt
Appointment Booked,Aanstelling geboekstaaf
Target Warehouse,Teiken Warehouse
Stale Days,Stale Days
Row {0}: Credit entry can not be linked with a {1},Ry {0}: Kredietinskrywing kan nie gekoppel word aan &#39;n {1}
Healthcare Practitioner {0} not available on {1},Gesondheidsorgpraktisyn {0} nie beskikbaar op {1}
All Customer Contact,Alle kliënte kontak
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item",{0} Behou Voorbeeld is gebaseer op joernaal. Kontroleer asseblief Het joernaal nr om monster van item te behou
Disc,skyf
Make Accounting Entry For Every Stock Movement,Maak Rekeningkundige Inskrywing Vir Elke Voorraadbeweging
Check-out Date,Check-out datum
Fertilizer,kunsmis
Default Tax Withholding Config,Standaard Belasting Weerhouding Config
Total Produced Qty,Totale vervaardigde hoeveelheid
Leave Period,Verlofperiode
Payment request {0} created,Betaling Versoek {0} geskep
UOM Conversion in Hours,UOM Gesprek in ure
Avg. Selling Price List Rate,Gem. Verkooppryslys
Generate Material Requests (MRP) and Work Orders.,Genereer Materiaal Versoeke (MRP) en Werkorders.
Account Balance,Rekening balans
Periodicity,periodisiteit
Medical Record,Mediese rekord
Execution,Uitvoering
Valuation Method,Waardasie metode
{0} against Sales Invoice {1},{0} teen Verkoopsfaktuur {1}
Pass,Pass
Sales Partner Target,Verkoopsvennoteiken
Referring Practitioner,Verwysende Praktisyn
Expenses Included In Asset Valuation,Uitgawes ingesluit in batewaarde
Publishing,Publishing
Sales Orders Detail,Verkoopsbestellingsbesonderhede
Total Deduction,Totale aftrekking
EMI,EMI
Set prefix for numbering series on your transactions,Stel voorvoegsel vir nommersreeks op u transaksies
Journal Entries {0} are un-linked,Joernaalinskrywings {0} is nie gekoppel nie
Other Reports,Ander verslae
All items have already been invoiced,Alle items is reeds gefaktureer
Asset scrapped via Journal Entry {0},Bate geskrap via Joernaal Inskrywing {0}
Prefered Email,Voorkeur-e-pos
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Kan nie die waarderingsmetode verander nie, aangesien daar transaksies is teen sekere items wat nie sy eie waarderingsmetode het nie"
Section Name,Afdeling Naam
Packed Item,Gepakte item
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Beide debiet- of kredietbedrag word benodig vir {2}
Submitting Salary Slips...,Inlewering van salarisstrokies ...
No Action,Geen aksie
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Begroting kan nie teen {0} toegewys word nie, aangesien dit nie &#39;n Inkomste- of Uitgawe-rekening is nie"
Masters and Accounts,Meesters en Rekeninge
Responsible Individual,Verantwoordelike Individu
Total Weightage of all Assessment Criteria must be 100%,Totale Gewig van alle Assesseringskriteria moet 100% wees.
An error occurred during the update process,&#39;N Fout het voorgekom tydens die opdateringsproses
Customer Name,Kliënt naam
Amount should not be less than zero.,Bedrag moet nie minder as nul wees nie.
Average Age,Gemiddelde ouderdom
Show Price,Wys prys
Program Enrollment Tool Student,Program Inskrywingshulpmiddel Student
Shipping State,Versendstaat
Please set Company,Stel asseblief die Maatskappy in
Balance (Dr - Cr),Saldo (Dr - Cr)
Supply Type,Voorsieningstipe
Create documents for sample collection,Skep dokumente vir monsterversameling
Close Opportunity After Days,Sluit geleentheid na dae
Ref Code,Ref Code
Widowed,weduwee
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,Los leeg om die standaard afleweringsnotasformaat te gebruik
Accepted Qty,Geaccepteerde hoeveelheid
Apply Rule On Brand,Pas Rule on Brand toe
Show Availability Status,Wys Beskikbaarheid Status
Import Successfull,Sukses invoer
Soil Texture,Grondstruktuur
No of Visits,Aantal besoeke
Qualitative Feedback,Kwalitatiewe terugvoer
Response and Resoution Time,Reaksie en Resoution Time
Expiring On,Verlenging Aan
Scorecard Actions,Scorecard aksies
Stock Adjustment,Voorraadaanpassing
Health Care,Gesondheidssorg
No of Seats,Aantal plekke
Delete all the Transactions for this Company,Verwyder al die transaksies vir hierdie maatskappy
Lead Details,Loodbesonderhede
Default Service Level Agreement,Verstek Diensvlakooreenkoms
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Filtreer Veldreeks # {0}: Veldnaam <b>{1}</b> moet van die tipe &quot;Link&quot; of &quot;Table MultiSelect&quot; wees.
Suggestions,voorstelle
Get from,Kry van
Tax Rule,Belastingreël
Payment Order Status,Betaal bestellings status
Duplicate entry,Duplikaatinskrywing
Example: Masters in Computer Science,Byvoorbeeld: Meesters in Rekenaarwetenskap
Purchase Invoice Item,Aankoop faktuur item
Non Profit Manager,Nie-winsgewende bestuurder
For Warehouse is required before Submit,Vir die pakhuis is nodig om voor te dien
Applicable To (User),Toepaslik op (Gebruiker)
Appraisal Goal,Evalueringsdoel
Warn for new Purchase Orders,Waarsku vir nuwe aankoopbestellings
View Chart of Accounts,Sien grafiek van rekeninge
Quotations: ,kwotasies:
To Discuss,Om te bespreek
Reading 9,Lees 9
Applicable To (Role),Toepasbaar op (Rol)
Additional Notes,Bykomende notas
{0} can not be negative,{0} kan nie negatief wees nie
Create Purchase Orders,Skep bestellings
Estimated Cost Per Position,Geskatte koste per posisie
Loan Name,Lening Naam
Set default mode of payment,Stel verstek wyse van betaling
Revision,hersiening
Service Unit Type,Diens Eenheidstipe
Return Against Purchase Invoice,Keer terug teen aankoopfaktuur
Generate Secret,Genereer Geheime
Loyalty Program Collection,Lojaliteitsprogramversameling
Send mass SMS to your contacts,Stuur massa-SMS na jou kontakte
Create Fee Schedule,Skep fooi skedule
File to Rename,Lêer om hernoem te word
Timer exceeded the given hours.,Timer het die gegewe ure oorskry.
ERPNext Account,ERPNext Account
Item Supplier,Item Verskaffer
Price List {0} is disabled or does not exist,Pryslys {0} is gedeaktiveer of bestaan nie
Deferred Revenue Account,Uitgestelde Inkomsterekening
Soil compositions do not add up to 100,Grondsamestellings voeg nie tot 100 by nie
Salary Slip Timesheet,Salaris Slip Timesheet
Warn,waarsku
Email Notification Sent,E-pos kennisgewing gestuur
Planned End Date,Beplande Einddatum
Quickbooks Company ID,Quickbooks Maatskappy ID
Warehouse cannot be changed for Serial No.,Pakhuis kan nie vir reeksnommer verander word nie.
Rate of Interest (%) Yearly,Rentekoers (%) Jaarliks
Cost of Scrapped Asset,Koste van geskrap Bate
Please set an Address on the Company '%s',Stel asseblief &#39;n adres op die maatskappy &#39;% s&#39;
Encounter Date,Ontmoeting Datum
Webhooks,Webhooks
Memebership Type Details,Memebership Tipe Besonderhede
Resistant,bestand
Hotel Room Package,Hotel Kamer Pakket
Contribution to Net Total,Bydrae tot netto totaal
"Reselect, if the chosen contact is edited after save","Herstel, as die gekose kontak na redigeer geredigeer word"
Employee Tax Exemption Sub Category,Werknemersbelastingvrystelling Subkategorie
Row {0}# Paid Amount cannot be greater than requested advance amount,Ry {0} # Betaalbedrag kan nie groter wees as gevraagde voorskotbedrag nie
This value is used for pro-rata temporis calculation,Hierdie waarde word gebruik vir pro rata temporis berekening
Change Abbreviation,Verander Afkorting
Total Consumed Material Cost  (via Stock Entry),Totale verbruikte materiaalkoste (via voorraadinskrywing)
Raw Materials Supplied,Grondstowwe verskaf
Condition and Formula Help,Toestand en Formule Hulp
Balance ({0}),Saldo ({0})
Student ID: ,Studente ID:
New Leaves Allocated (In Days),Nuwe blare toegeken (in dae)
To Datetime,Tot Dattyd
Lab result datetime cannot be before testing datetime,Lab resultaat datetime kan nie wees voordat die datetime word getoets
Please re-type company name to confirm,Voer asseblief die maatskappy se naam weer in om te bevestig
Subscription Period,Intekening Periode
Position,posisie
Sibling Details,Sibling Besonderhede
Is Finance Cost Adjustment,Is Finansieringskoste-aanpassing
Encounter Impression,Encounter Impression
N/A,N / A
Lab Technician,Lab tegnikus
"Item {0} is a template, please select one of its variants","Item {0} is &#39;n sjabloon, kies asseblief een van sy variante"
How Pricing Rule is applied?,Hoe prysreël word toegepas?
Email Digest Settings,Email Digest Settings
Inter Company Journal Entry,Intermaatskappy Joernaal Inskrywing
Create Delivery Trip,Skep leweringstoer
Row # {0}: Serial No {1} does not match with {2} {3},Ry # {0}: Rekordnommer {1} stem nie ooreen met {2} {3}
Sales Order required for Item {0},Verkoopsbestelling benodig vir item {0}
Get Details From Declaration,Kry besonderhede uit verklaring
Support Hour Distribution,Ondersteuning Uurverspreiding
Allow Account Creation Against Child Company,Laat rekeningskepping teen kindermaatskappy toe
Company Bank Account,Maatskappybankrekening
UK,Verenigde Koninkryk
Procedure Steps,Prosedure stappe
Normal Test Items,Normale toetsitems
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Item {0}: Bestelde hoeveelheid {1} kan nie minder wees as die minimum bestelvlak {2} (gedefinieer in Item).
Not in Stock,Nie in voorraad nie
Cart,wa
Course Activity,Kursusaktiwiteit
Thank you for your business!,Dankie vir u besigheid!
Against Journal Entry {0} is already adjusted against some other voucher,Teen Joernaal Inskrywing {0} is reeds aangepas teen &#39;n ander koerant
Bill Date,Rekening Datum
Please enter Write Off Account,Voer asseblief &#39;Skryf &#39;n rekening in
Biotechnology,biotegnologie
Setup your Institute in ERPNext,Stel jou Instituut op in ERPNext
Item {0} does not exist,Item {0} bestaan nie
Asset Maintenance Log,Asset Maintenance Log
Settings for Accounts,Instellings vir rekeninge
Reference Document Name,Verwysings dokument naam
"If blank, parent Warehouse Account or company default will be considered","As leeg, sal ouer-warehouse rekening of maatskappy standaard oorweeg word"
Rate Of Materials Based On,Mate van materiaal gebaseer op
Container,houer
Available slots,Beskikbare spasies
Max Attempts,Max pogings
Cash Flow Statement,Kontantvloeistaat
Redeem Against,Onthou Teen
Offline POS Name,Vanlyn POS-naam
ISO 8601 standard,ISO 8601 standaard
Deduct,aftrek
C-Form Invoice Detail,C-vorm faktuur besonderhede
Net Change in Inventory,Netto verandering in voorraad
Depreciation Amount during the period,Waardevermindering Bedrag gedurende die tydperk
App Type,App Type
Blog Subscriber,Blog intekenaar
[Error],[Fout]
Active Menu,Aktiewe kieslys
Transactions against the company already exist! ,Transaksies teen die maatskappy bestaan reeds!
Sales Partner and Commission,Verkoopsvennoot en Kommissie
Goals cannot be empty,Doelwitte kan nie leeg wees nie
Warehouses,pakhuise
Detected Diseases,Gevonde Siektes
Enter the Bank Guarantee Number before submittting.,Voer die Bank Waarborgnommer in voordat u ingedien word.
Processing Items and UOMs,Behandeling van items en UOM&#39;s
Is a Subscription,Is &#39;n inskrywing
Download as Json,Laai af as Json
Appointment Analytics,Aanstelling Analytics
Inspection Type,Inspeksietipe
Sales Taxes and Charges,Verkoopsbelasting en heffings
Health Insurance Provider,Gesondheidsversekeringsverskaffer
This is a root item group and cannot be edited.,Dit is &#39;n wortel-item groep en kan nie geredigeer word nie.
Projected Qty Formula,Geprojekteerde Hoeveelheid Formule
Payment Order Reference,Betaling Bestelling Verwysing
Tree Type,Boomstipe
Default Costing Rate,Verstek kostekoers
Constipated,hardlywig
Default Amount,Verstekbedrag
Budget List,Begrotingslys
Awaiting Response,In afwagting van antwoord
