DocType: Accounting Period,Period Name,دورانیہ کا نام
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Less Than Amount,رقم سے کم
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",کثیر درجے کے پروگرام کے معاملے میں، صارفین اپنے اخراجات کے مطابق متعلقہ درجے کو خود کار طریقے سے تفویض کریں گے
DocType: Appointment Type,Physician,ڈاکٹر
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Batch {0} of Item {1} has expired.,آئٹم کے بیچ {0} {1} ختم ہو گیا ہے.
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment_dashboard.py,Consultations,مشاورت
apps/erpnext/erpnext/manufacturing/report/bom_variance_report/bom_variance_report.py,Finished Good,ختم ہوا
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, UOM, Qty and Dates.",قیمت کی قیمت، قیمت کی فہرست، سپلائر / کسٹمر، کرنسی، آئٹم، UOM، مقدار اور تاریخوں پر مبنی ایک سے زیادہ مرتبہ ظاہر ہوتا ہے.
DocType: Sales Invoice,Commission,کمیشن
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0} ({1}) کام کی آرڈر {3} میں منصوبہ بندی کی مقدار ({2}) سے زیادہ نہیں ہوسکتا ہے.
DocType: Certification Application,Name of Applicant,درخواست گزار کا نام
apps/erpnext/erpnext/config/manufacturing.py,Time Sheet for manufacturing.,مینوفیکچرنگ کے لئے وقت شیٹ.
DocType: Quick Stock Balance,Quick Stock Balance,فوری اسٹاک بیلنس
apps/erpnext/erpnext/templates/pages/cart.html,Subtotal,ذیلی کل
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,سٹاک ٹرانزیکشن کے بعد مختلف خصوصیات کو تبدیل نہیں کر سکتے ہیں. ایسا کرنا آپ کو نیا آئٹم بنانا ہوگا.
apps/erpnext/erpnext/config/integrations.py,GoCardless SEPA Mandate,GoCardless SEPA مینڈیٹ
DocType: Healthcare Practitioner,Charges,چارجز
DocType: Production Plan,Get Items For Work Order,کام آرڈر کے لئے اشیاء حاصل کریں
DocType: Salary Detail,Default Amount,پہلے سے طے شدہ رقم
DocType: Lab Test Template,Descriptive,تشریحی
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Warehouse not found in the system,گودام کے نظام میں نہیں ملا
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Month's Summary,اس ماہ کے خلاصے
DocType: Quality Inspection Reading,Quality Inspection Reading,معیار معائنہ پڑھنا
apps/erpnext/erpnext/stock/doctype/stock_settings/stock_settings.py,`Freeze Stocks Older Than` should be smaller than %d days.,`جھروکے سٹاکس پرانے Than`٪ d دن سے چھوٹا ہونا چاہئے.
DocType: Tax Rule,Purchase Tax Template,ٹیکس سانچہ خریداری
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Earliest Age,ابتدائی عمر۔
apps/erpnext/erpnext/utilities/user_progress.py,Set a sales goal you'd like to achieve for your company.,آپ کی کمپنی کے لئے حاصل کرنے کے لئے ایک فروخت کا مقصد مقرر کریں.
DocType: Quality Goal,Revision,نظرثانی
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Healthcare Services,صحت کی خدمات
,Project wise Stock Tracking,پروجیکٹ وار اسٹاک ٹریکنگ
DocType: GST HSN Code,Regional,علاقائی
apps/erpnext/erpnext/config/healthcare.py,Laboratory,لیبارٹری
DocType: UOM Category,UOM Category,UOM زمرہ
DocType: Clinical Procedure Item,Actual Qty (at source/target),(ماخذ / ہدف میں) اصل مقدار
DocType: Item Customer Detail,Ref Code,ممبران کوڈ
DocType: Accounts Settings,Address used to determine Tax Category in transactions.,لین دین میں ٹیکس کیٹیگری کا تعی Addressن کرنے کے لئے استعمال کیا جانے والا پتہ۔
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Customer Group is Required in POS Profile,پی ایس او پروفائل میں کسٹمر گروپ کی ضرورت ہے
DocType: HR Settings,Payroll Settings,پے رول کی ترتیبات
apps/erpnext/erpnext/config/accounting.py,Match non-linked Invoices and Payments.,غیر منسلک انوائس اور ادائیگی ملاپ.
DocType: POS Settings,POS Settings,پوزیشن کی ترتیبات
apps/erpnext/erpnext/templates/pages/cart.html,Place Order,حکم صادر کریں
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.js,Create Invoice,انوائس بنائیں۔
DocType: Email Digest,New Purchase Orders,نئی خریداری کے آرڈر
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Root cannot have a parent cost center,روٹ والدین لاگت مرکز نہیں کر سکتے ہیں
DocType: POS Closing Voucher,Expense Details,اخراجات کی تفصیلات۔
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Brand...,منتخب برانڈ ہے ...
apps/erpnext/erpnext/public/js/setup_wizard.js,Non Profit (beta),غیر منافع بخش (بیٹا)
apps/erpnext/erpnext/portal/doctype/products_settings/products_settings.py,"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",فلٹر قطعہ قطاروں کی قطار # {0}: فیلڈ کا نام <b>{1}</b> &quot;لنک&quot; یا &quot;ٹیبل ملٹی سلیکٹ&quot; کی قسم کا ہونا چاہئے
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Accumulated Depreciation as on,کے طور پر ہراس جمع
DocType: Employee Tax Exemption Category,Employee Tax Exemption Category,ملازم ٹیکس چھوٹ زمرہ
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Amount should not be less than zero.,رقم صفر سے کم نہیں ہونی چاہئے۔
DocType: Sales Invoice,C-Form Applicable,سی فارم لاگو
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Operation Time must be greater than 0 for Operation {0},آپریشن کے وقت کے آپریشن کے لئے زیادہ سے زیادہ 0 ہونا ضروری ہے {0}
DocType: Support Search Source,Post Route String,روٹ سٹرنگ پوسٹ کریں
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Warehouse is mandatory,گودام لازمی ہے
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to create website,ویب سائٹ بنانے میں ناکام
DocType: Soil Analysis,Mg/K,MG / K
DocType: UOM Conversion Detail,UOM Conversion Detail,UOM تبادلوں تفصیل
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Admission and Enrollment,داخلہ اور اندراج۔
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Retention Stock Entry already created or Sample Quantity not provided,رکنیت اسٹاک انٹری نے پہلے ہی تشکیل یا نمونہ مقدار فراہم نہیں کی
DocType: Program,Program Abbreviation,پروگرام کا مخفف
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Voucher (Consolidated),گروپ بذریعہ واؤچر (مستحکم)
DocType: HR Settings,Encrypt Salary Slips in Emails,ای میلز میں تنخواہ سلپ خفیہ کریں۔
DocType: Question,Multiple Correct Answer,متعدد درست جواب۔
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Charges are updated in Purchase Receipt against each item,چارجز ہر شے کے خلاف خریداری کی رسید میں اپ ڈیٹ کیا جاتا ہے
DocType: Warranty Claim,Resolved By,کی طرف سے حل
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Discharge,شیڈول ڈسچارج
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Cheques and Deposits incorrectly cleared,چیک اور ڈپازٹس غلط کی منظوری دے دی
DocType: Homepage Section Card,Homepage Section Card,مرکزی صفحہ سیکشن کارڈ۔
,Amount To Be Billed,بل ادا کرنے کی رقم
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: You can not assign itself as parent account,اکاؤنٹ {0}: آپ والدین کے اکاؤنٹ کے طور پر خود کی وضاحت نہیں کر سکتے ہیں
DocType: Purchase Invoice Item,Price List Rate,قیمت کی فہرست شرح
apps/erpnext/erpnext/utilities/activation.py,Create customer quotes,کسٹمر کی قیمت درج بنائیں
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be after Service End Date,سروس کی روک تھام تاریخ سروس کے اختتام کی تاریخ کے بعد نہیں ہوسکتی ہے
DocType: Item,"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",&quot;اسٹاک میں&quot; یا اس گودام میں دستیاب اسٹاک کی بنیاد پر &quot;نہیں اسٹاک میں&quot; دکھائیں.
apps/erpnext/erpnext/config/manufacturing.py,Bill of Materials (BOM),مواد کے بل (BOM)
DocType: Item,Average time taken by the supplier to deliver,سپلائر کی طرف سے اٹھائے اوسط وقت فراہم کرنے کے لئے
DocType: Travel Itinerary,Check-in Date,چیک میں تاریخ
DocType: Sample Collection,Collected By,کی طرف سے جمع
apps/erpnext/erpnext/education/doctype/assessment_plan/assessment_plan.js,Assessment Result,تشخیص کے نتائج
DocType: Hotel Room Package,Hotel Room Package,ہوٹل کمرہ پیکیج
DocType: Employee Transfer,Employee Transfer,ملازمت کی منتقلی
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Hours,گھنٹے
DocType: Project,Expected Start Date,متوقع شروع کرنے کی تاریخ
DocType: Purchase Invoice,04-Correction in Invoice,انوائس میں 04-اصلاح
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Work Order already created for all items with BOM,کام آرڈر پہلے ہی BOM کے ساتھ تمام اشیاء کے لئے تیار کیا
DocType: Bank Account,Party Details,پارٹی کی تفصیلات
apps/erpnext/erpnext/stock/doctype/item/item.js,Variant Details Report,مختلف تفصیلات کی رپورٹ
DocType: Setup Progress Action,Setup Progress Action,سیٹ اپ ترقی ایکشن
DocType: Course Activity,Video,ویڈیو
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Price List,قیمت کی فہرست خریدنا
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Remove item if charges is not applicable to that item,الزامات اس شے پر لاگو نہیں ہے تو ہم شے کو ہٹا دیں
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Cancel Subscription,سبسکرائب کریں منسوخ کریں
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Maintenance Status as Completed or remove Completion Date,براہ کرم مکمل طور پر بحالی کی حیثیت کا انتخاب کریں یا ختم ہونے کی تاریخ کو ہٹائیں
DocType: Supplier,Default Payment Terms Template,پہلے سے طے شدہ ادائیگی کی شرائط سانچہ
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Transaction currency must be same as Payment Gateway currency,ٹرانزیکشن کی کرنسی ادائیگی کے گیٹ وے کرنسی کے طور پر ایک ہی ہونا چاہیے
DocType: Payment Entry,Receive,وصول
DocType: Employee Benefit Application Detail,Earning Component,آمدنی اجزاء
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Items and UOMs,پروسیسنگ آئٹمز اور UOMs۔
apps/erpnext/erpnext/regional/italy/utils.py,Please set either the Tax ID or Fiscal Code on Company '%s',براہ کرم کمپنی کے٪ s پر ٹیکس کی شناخت یا مالی کوڈ متعین کریں۔
apps/erpnext/erpnext/templates/pages/rfq.html,Quotations: ,کوٹیشن:
DocType: Contract,Partially Fulfilled,جزوی طور پر مکمل
DocType: Maintenance Visit,Fully Completed,مکمل طور پر مکمل
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,"Special Characters except ""-"", ""#"", ""."", ""/"", ""{"" and ""}"" not allowed in naming series",&quot;-&quot; ، &quot;#&quot; ، &quot;.&quot; ، &quot;/&quot; ، &quot;{&quot; اور &quot;}&quot; سوائے خصوصی حروف کی نام بندی سیریز میں اجازت نہیں ہے
DocType: Purchase Invoice Item,Is nil rated or exempted,نیل ریٹیڈ یا مستثنیٰ ہے۔
DocType: Employee,Educational Qualification,تعلیمی اہلیت
DocType: Workstation,Operating Costs,آپریٹنگ اخراجات
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Currency for {0} must be {1},{0} کیلئے کرنسی ہونا ضروری ہے {1}
DocType: Shift Type,Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,اس شفٹ میں تفویض کردہ ملازمین کے لئے &#39;ملازمین چیکن&#39; پر مبنی حاضری کو نشان زد کریں۔
DocType: Asset,Disposal Date,ڈسپوزل تاریخ
DocType: Service Level,Response and Resoution Time,جواب اور ردعمل کا وقت۔
DocType: Employee Leave Approver,Employee Leave Approver,ملازم کی رخصت کی منظوری دینے والا
apps/erpnext/erpnext/stock/doctype/item/item.py,Row {0}: An Reorder entry already exists for this warehouse {1},صف {0}: ایک ترتیب اندراج پہلے ہی اس گودام کے لئے موجود ہے {1}
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.js,Please enter the designation,برائےکرم عہدہ درج کریں۔
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py,"Cannot declare as lost, because Quotation has been made.",کوٹیشن بنا دیا گیا ہے کیونکہ، کے طور پر کھو نہیں بتا سکتے.
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Items for Raw Material Request,خام مال کی درخواست کے لئے اشیا
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,CWIP Account,CWIP اکاؤنٹ
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Feedback,ٹریننگ کی رائے
apps/erpnext/erpnext/config/accounting.py,Tax Withholding rates to be applied on transactions.,ٹرانزیکشن پر ٹیکس کو ہٹانے کی قیمتوں پر لاگو کیا جائے گا.
DocType: Supplier Scorecard Criteria,Supplier Scorecard Criteria,سپلائر اسکور کارڈ معیار
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Start Date and End Date for Item {0},شے کے لئے شروع کرنے کی تاریخ اور اختتام تاریخ کا انتخاب کریں براہ کرم {0}
DocType: Maintenance Schedule,MAT-MSH-.YYYY.-,MAT-MSH -YYYY-
,Amount to Receive,وصول کرنے کی رقم۔
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},قطار {0} کورس لازمی ہے
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,From date can not be greater than than To date,تاریخ سے آج کی تاریخ سے زیادہ نہیں ہوسکتی ہے۔
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,To date cannot be before from date,تاریخ کی تاریخ کی طرف سے پہلے نہیں ہو سکتا
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Non GST Inward Supplies,غیر جی ایس ٹی اندرونی فراہمی۔
DocType: Employee Group Table,Employee Group Table,ملازم گروپ ٹیبل۔
DocType: Packed Item,Prevdoc DocType,Prevdoc DOCTYPE
DocType: Cash Flow Mapper,Section Footer,سیکشن فوٹر
apps/erpnext/erpnext/stock/doctype/item/item.js,Add / Edit Prices,/ ترمیم قیمتیں شامل
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Employee Promotion cannot be submitted before Promotion Date ,ملازمت فروغ فروغ کی تاریخ سے پہلے جمع نہیں کیا جا سکتا
DocType: Batch,Parent Batch,والدین بیچ
DocType: Batch,Parent Batch,والدین بیچ
DocType: Cheque Print Template,Cheque Print Template,چیک پرنٹ سانچہ
DocType: Salary Component,Is Flexible Benefit,لچکدار فائدہ ہے
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Chart of Cost Centers,لاگت کے مراکز کا چارٹ
DocType: Subscription Settings,Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,رکنیت کو منسوخ کرنے سے قبل یا رقم ادا کرنے کے بعد انوائس کی تاریخ میں ناکام ہوگیا ہے
DocType: Clinical Procedure Template,Sample Collection,نمونہ مجموعہ
,Requested Items To Be Ordered,درخواست کی اشیاء حکم دیا جائے گا
DocType: Price List,Price List Name,قیمت کی فہرست کا نام
DocType: Delivery Stop,Dispatch Information,ڈسپلے کی معلومات
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from submitted document,ای وے بل JSON صرف پیش کی گئی دستاویز سے تیار کیا جاسکتا ہے۔
DocType: Blanket Order,Manufacturing,مینوفیکچرنگ
,Ordered Items To Be Delivered,کو حکم دیا اشیاء فراہم کرنے کے لئے
DocType: Account,Income,انکم
DocType: Industry Type,Industry Type,صنعت کی قسم
apps/erpnext/erpnext/templates/includes/cart.js,Something went wrong!,کچھ غلط ہو گیا!
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Warning: Leave application contains following block dates,انتباہ: چھوڑ درخواست مندرجہ ذیل بلاک تاریخوں پر مشتمل ہے
DocType: Bank Statement Settings,Transaction Data Mapping,ٹرانزیکشن ڈیٹا میپنگ
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Invoice {0} has already been submitted,انوائس {0} پہلے ہی پیش کیا گیا ہے فروخت
DocType: Salary Component,Is Tax Applicable,ٹیکس قابل اطلاق ہے
DocType: Supplier Scorecard Scoring Criteria,Score,اسکور
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} does not exist,مالی سال {0} موجود نہیں ہے
DocType: Asset Maintenance Log,Completion Date,تکمیل کی تاریخ
DocType: Purchase Invoice Item,Amount (Company Currency),رقم (کمپنی کرنسی)
DocType: Program,Is Featured,نمایاں ہے۔
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Fetching...,بازیافت کر رہا ہے…
DocType: Agriculture Analysis Criteria,Agriculture User,زراعت کا صارف
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Valid till date cannot be before transaction date,تاریخ تک ٹرانزیکشن کی تاریخ سے پہلے درست نہیں ہوسکتا ہے
apps/erpnext/erpnext/stock/stock_ledger.py,{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,{0} {1} میں ضرورت {2} پر {3} {4} کو {5} اس ٹرانزیکشن مکمل کرنے کے یونٹوں.
DocType: Fee Schedule,Student Category,Student کی قسم
DocType: Announcement,Student,طالب علم
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.js,Stock quantity to start procedure is not available in the warehouse. Do you want to record a Stock Transfer,اسٹاک کی مقدار شروع کرنے کے لئے گودام میں دستیاب نہیں ہے. کیا آپ اسٹاک ٹرانسمیشن ریکارڈ کرنا چاہتے ہیں
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,New {0} pricing rules are created,نئے {0} قیمتوں کے تعین کے قواعد تشکیل دیئے گئے ہیں۔
DocType: Shipping Rule,Shipping Rule Type,شپنگ کی قسم
apps/erpnext/erpnext/utilities/user_progress.py,Go to Rooms,کمرے میں جاؤ
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,"Company, Payment Account, From Date and To Date is mandatory",کمپنی، ادائیگی کا اکاؤنٹ، تاریخ اور تاریخ سے لازمی ہے
DocType: Company,Budget Detail,بجٹ تفصیل
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Please enter message before sending,بھیجنے سے پہلے پیغام درج کریں
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting up company,کمپنی قائم کرنا۔
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders",مندرجہ بالا 3.1 (a) میں دکھایا گیا سپلائی میں ، غیر رجسٹرڈ افراد ، تشکیل ٹیکس قابل افراد اور UIN ہولڈرز کو بین ریاستی فراہمی کی تفصیلات
DocType: Education Settings,Enable LMS,LMS کو فعال کریں۔
DocType: Purchase Invoice,DUPLICATE FOR SUPPLIER,سپلائر کے لئے نقل
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,Please save the report again to rebuild or update,دوبارہ تعمیر یا اپ ڈیٹ کرنے کے لئے براہ کرم رپورٹ کو دوبارہ محفوظ کریں
DocType: Service Level Agreement,Response and Resolution Time,جواب اور حل کا وقت۔
DocType: Asset,Custodian,نگران
apps/erpnext/erpnext/config/retail.py,Point-of-Sale Profile,پوائنٹ کے فروخت پروفائل
apps/erpnext/erpnext/agriculture/doctype/soil_texture/soil_texture.py,{0} should be a value between 0 and 100,{0} 0 اور 100 کے درمیان ایک قدر ہونا چاہئے
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Payment of {0} from {1} to {2},{1} سے {1} سے {2} تک ادائیگی
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward supplies liable to reverse charge (other than 1 & 2 above),ریورس چارج کے لئے اندر کی فراہمی ذمہ دار ہے (اوپر 1 اور 2 کے علاوہ)
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount(Company Currency),خریداری آرڈر کی رقم (کمپنی کرنسی)
DocType: Chart of Accounts Importer,Import Chart of Accounts from a csv file,CSV فائل سے اکاؤنٹس کا چارٹ درآمد کریں۔
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Unsecured Loans,امائبھوت قرض
DocType: Cost Center,Cost Center Name,لاگت مرکز نام
DocType: Student,B+,B +
DocType: HR Settings,Max working hours against Timesheet,میکس Timesheet خلاف کام کے گھنٹوں
DocType: Shift Type,Strictly based on Log Type in Employee Checkin,ملازم چیک ان میں سختی سے لاگ ان کی بنیاد پر۔
DocType: Maintenance Schedule Detail,Scheduled Date,تخسوچت تاریخ
DocType: SMS Center,Messages greater than 160 characters will be split into multiple messages,160 حروف سے زیادہ پیغامات سے زیادہ پیغامات میں تقسیم کیا جائے گا
DocType: Purchase Receipt Item,Received and Accepted,موصول ہوئی ہے اور قبول کر لیا
,GST Itemised Sales Register,GST آئٹمائزڈ سیلز رجسٹر
DocType: Staffing Plan,Staffing Plan Details,اسٹافنگ پلان کی تفصیلات
DocType: Soil Texture,Silt Loam,Silt Loam
,Serial No Service Contract Expiry,سیریل کوئی خدمات کا معاہدہ ختم ہونے کی
DocType: Employee Health Insurance,Employee Health Insurance,ملازم ہیلتھ انشورنس
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You cannot credit and debit same account at the same time,آپ کے کریڈٹ اور ایک ہی وقت میں ایک ہی اکاؤنٹ سے ڈیبٹ نہیں کر سکتے ہیں
DocType: Vital Signs,Adults' pulse rate is anywhere between 50 and 80 beats per minute.,بالغوں کے پلس کی شرح فی منٹ 50 سے 80 برتن فی منٹ ہے.
DocType: Naming Series,Help HTML,مدد ایچ ٹی ایم ایل
DocType: Student Group Creation Tool,Student Group Creation Tool,طالب علم گروپ کی تخلیق کا آلہ
DocType: Item,Variant Based On,ویرینٹ بنیاد پر
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Total weightage assigned should be 100%. It is {0},100٪ ہونا چاہئے تفویض کل اہمیت. یہ {0}
DocType: Loyalty Point Entry,Loyalty Program Tier,وفاداری پروگرام ٹائر
apps/erpnext/erpnext/utilities/user_progress.py,Your Suppliers,اپنے سپلائرز
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Cannot set as Lost as Sales Order is made.,سیلز آرڈر بنایا گیا ہے کے طور پر کھو کے طور پر مقرر کر سکتے ہیں.
DocType: Request for Quotation Item,Supplier Part No,پردایک حصہ نہیں
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for hold: ,انعقاد کی وجہ:
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',زمرہ &#39;تشخیص&#39; یا &#39;Vaulation اور کل&#39; کے لیے ہے جب کٹوتی نہیں کی جا سکتی
apps/erpnext/erpnext/public/js/hub/components/reviews.js,Anonymous,گمنام
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Received From,کی طرف سے موصول
DocType: Lead,Converted,تبدیل
DocType: Item,Has Serial No,سیریل نہیں ہے
DocType: Stock Entry Detail,PO Supplied Item,پی او فراہم کردہ آئٹم
DocType: Employee,Date of Issue,تاریخ اجراء
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}",خریدنے کی ترتیبات کے مطابق اگر خریداری کی ضرورت ہو تو == &#39;YES&#39;، پھر خریداری انوائس کی تخلیق کے لۓ، صارف کو شے کے لئے سب سے پہلے خریداری رسید بنانے کی ضرورت ہے {0}
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Row #{0}: Set Supplier for item {1},صف # {0}: شے کے لئے مقرر پردایک {1}
DocType: Global Defaults,Default Distance Unit,ڈیفالٹ فاصلہ یونٹ
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: Hours value must be greater than zero.,صف {0}: گھنٹے قدر صفر سے زیادہ ہونا چاہیے.
apps/erpnext/erpnext/stock/doctype/item/item.py,Website Image {0} attached to Item {1} cannot be found,ویب سائٹ تصویری {0} آئٹم {1} سے منسلک نہیں مل سکتا
DocType: Asset,Assets,اثاثہ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Computer,کمپیوٹر
DocType: Item,List this Item in multiple groups on the website.,ویب سائٹ پر ایک سے زیادہ گروہوں میں اس شے کی فہرست.
DocType: Subscription,Current Invoice End Date,موجودہ انوائس اختتام کی تاریخ
DocType: Payment Term,Due Date Based On,کی وجہ سے تاریخ کی بنیاد پر
apps/erpnext/erpnext/healthcare/doctype/patient/patient.py,Please set default customer group and territory in Selling Settings,بیچنے والے ترتیبات میں ڈیفالٹ کسٹمر گروپ اور علاقہ مقرر کریں
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} does not exist,{0} {1} کا کوئی وجود نہیں
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please check Multi Currency option to allow accounts with other currency,دوسری کرنسی کے ساتھ اکاؤنٹس کی اجازت دینے ملٹی کرنسی آپشن کو چیک کریں براہ مہربانی
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item: {0} does not exist in the system,آئٹم: {0} نظام میں موجود نہیں ہے
apps/erpnext/erpnext/accounts/doctype/account/account.py,You are not authorized to set Frozen value,آپ منجمد قیمت مقرر کرنے کی اجازت نہیں ہے
DocType: Payment Reconciliation,Get Unreconciled Entries,Unreconciled لکھے حاصل
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Employee {0} is on Leave on {1},ملازم {0} چھوڑ دو {2}
apps/erpnext/erpnext/hr/doctype/loan/loan.py,No repayments selected for Journal Entry,جرنل اندراج کیلئے کوئی ادائیگی نہیں کی گئی
DocType: Purchase Invoice,GST Category,جی ایس ٹی زمرہ۔
DocType: Payment Reconciliation,From Invoice Date,انوائس کی تاریخ سے
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Budgets,بجٹ
DocType: Invoice Discounting,Disbursed,منایا
DocType: Healthcare Settings,Laboratory Settings,لیبارٹری کی ترتیبات
DocType: Clinical Procedure,Service Unit,سروس یونٹ
