DocType: Accounting Period,Period Name,Názov obdobia
apps/erpnext/erpnext/education/doctype/course_schedule/course_schedule.js,Attendance,Účast
apps/erpnext/erpnext/public/js/pos/pos.html,Stock Items,Položky zásob
DocType: Sales Invoice,Update Billed Amount in Sales Order,Aktualizovať faktúrovanú čiastku v objednávke predaja
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Contact Seller,Kontaktovať predajcu
DocType: BOM,Materials,Materiály
DocType: Leave Block List,"If not checked, the list will have to be added to each Department where it has to be applied.","Pokud není zatrženo, seznam bude muset být přidány ke každé oddělení, kde má být použit."
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Posting date and posting time is mandatory,Datum a čas zadání je povinný
apps/erpnext/erpnext/config/buying.py,Tax template for buying transactions.,Daňové šablona pro nákup transakcí.
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Please login as a Marketplace User to report this item.,"Ak chcete nahlásiť túto položku, prihláste sa ako používateľ Marketplace."
,Sales Partner Commission Summary,Zhrnutie provízie obchodného partnera
,Item Prices,Ceny Položek
DocType: Purchase Order,In Words will be visible once you save the Purchase Order.,"Ve slovech budou viditelné, jakmile uložíte objednávce."
DocType: Holiday List,Add to Holidays,Pridať do sviatkov
DocType: Woocommerce Settings,Endpoint,Endpoint
DocType: Period Closing Voucher,Period Closing Voucher,Období Uzávěrka Voucher
DocType: Patient Encounter,Review Details,Prehľad podrobností
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shareholder does not belong to this company,Akcionár nepatrí k tejto spoločnosti
DocType: Dosage Form,Dosage Form,Dávkovací formulár
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,Please set up the Campaign Schedule in the Campaign {0},Nastavte kampaň v kampani {0}
apps/erpnext/erpnext/config/buying.py,Price List master.,Ceník master.
DocType: Task,Review Date,Review Datum
DocType: BOM,Allow Alternative Item,Povoliť alternatívnu položku
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,"Potvrdenie o kúpe nemá žiadnu položku, pre ktorú je povolená vzorka ponechania."
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Invoice Grand Total,Celková faktúra
DocType: Company,Series for Asset Depreciation Entry (Journal Entry),Séria pre odpisy majetku (záznam v účte)
DocType: Membership,Member Since,Členom od
DocType: Purchase Invoice,Advance Payments,Zálohové platby
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Time logs are required for job card {0},Pre kartu práce sú potrebné denníky času {0}
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Please select Healthcare Service,Vyberte prosím službu zdravotnej starostlivosti
DocType: Purchase Taxes and Charges,On Net Total,On Net Celkem
apps/erpnext/erpnext/controllers/item_variant.py,Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Hodnota atribútu {0} musí byť v rozmedzí od {1} až {2} v krokoch po {3} pre item {4}
DocType: Pricing Rule,Product Discount Scheme,Schéma zľavy na výrobok
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No issue has been raised by the caller.,Volajúci nenastolil žiadny problém.
DocType: Restaurant Reservation,Waitlisted,poradovníka
DocType: Employee Tax Exemption Declaration Category,Exemption Category,Kategória výnimky
apps/erpnext/erpnext/accounts/doctype/account/account.py,Currency can not be changed after making entries using some other currency,Mena nemôže byť zmenený po vykonaní položky pomocou inej mene
DocType: Shipping Rule,Fixed,fixné
DocType: Vehicle Service,Clutch Plate,kotúč spojky
DocType: Tally Migration,Round Off Account,Zaokrúhliť účet
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Administrative Expenses,Administrativní náklady
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consulting,Consulting
DocType: Subscription Plan,Based on price list,Na základe cenníka
DocType: Customer Group,Parent Customer Group,Parent Customer Group
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from Sales Invoice,E-Way Bill JSON môže byť generovaný iba z predajnej faktúry
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Maximum attempts for this quiz reached!,Dosiahli ste maximálny počet pokusov o tento test!
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Subscription,predplatné
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Creation Pending,Tvorba poplatkov čaká
DocType: Project Template Task,Duration (Days),Trvanie (dni)
DocType: Appraisal Goal,Score Earned,Skóre Zasloužené
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Notice Period,Výpovedná Lehota
DocType: Asset Category,Asset Category Name,Asset názov kategórie
apps/erpnext/erpnext/setup/doctype/territory/territory.js,This is a root territory and cannot be edited.,To je kořen území a nelze upravovat.
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,New Sales Person Name,Meno Nová Sales Osoba
DocType: Packing Slip,Gross Weight UOM,Hrubá Hmotnosť MJ
DocType: Employee Transfer,Create New Employee Id,Vytvoriť nové číslo zamestnanca
apps/erpnext/erpnext/public/js/hub/components/item_publish_dialog.js,Set Details,Nastavte podrobnosti
apps/erpnext/erpnext/templates/pages/home.html,By {0},Do {0}
DocType: Travel Itinerary,Travel From,Cestovanie z
DocType: Asset Maintenance Task,Preventive Maintenance,Preventívna údržba
DocType: Delivery Note Item,Against Sales Invoice,Proti prodejní faktuře
DocType: Purchase Invoice,07-Others,07-Iné
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please enter serial numbers for serialized item ,Zadajte sériové čísla pre sériovú položku
DocType: Bin,Reserved Qty for Production,Vyhradené Množstvo pre výrobu
DocType: Student Group Creation Tool,Leave unchecked if you don't want to consider batch while making course based groups. ,"Ponechajte nezačiarknuté, ak nechcete zohľadňovať dávku pri zaradení do skupín."
DocType: Student Group Creation Tool,Leave unchecked if you don't want to consider batch while making course based groups. ,"Ponechajte nezačiarknuté, ak nechcete zohľadňovať dávku pri zaradení do skupín."
DocType: Asset,Frequency of Depreciation (Months),Frekvencia odpisy (mesiace)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Credit Account,Úverový účet
DocType: Landed Cost Item,Landed Cost Item,Přistálo nákladovou položkou
apps/erpnext/erpnext/accounts/report/profitability_analysis/profitability_analysis.js,Show zero values,Ukázat nulové hodnoty
DocType: BOM,Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Množství položky získané po výrobě / přebalení z daných množství surovin
DocType: Lab Test,Test Group,Testovacia skupina
DocType: Service Level Agreement,Entity,bytosť
DocType: Payment Reconciliation,Receivable / Payable Account,Účet pohľadávok/záväzkov
DocType: Delivery Note Item,Against Sales Order Item,Proti položce přijaté objednávky
DocType: Company,Company Logo,Logo spoločnosti
DocType: QuickBooks Migrator,Default Warehouse,Predvolený sklad
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Budget cannot be assigned against Group Account {0},Rozpočet nemôže byť priradená na skupinový účet {0}
DocType: Shopping Cart Settings,Show Price,Zobraziť cenu
DocType: Healthcare Settings,Patient Registration,Registrácia pacienta
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Please enter parent cost center,"Prosím, zadejte nákladové středisko mateřský"
DocType: Delivery Note,Print Without Amount,Tisknout bez Částka
apps/erpnext/erpnext/accounts/report/asset_depreciation_ledger/asset_depreciation_ledger.py,Depreciation Date,odpisy Dátum
,Work Orders in Progress,Pracovné príkazy v procese
DocType: Customer Credit Limit,Bypass Credit Limit Check,Kontrola obtokového úverového limitu
DocType: Issue,Support Team,Tým podpory
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,Expiry (In Days),Doba použiteľnosti (v dňoch)
DocType: Appraisal,Total Score (Out of 5),Celkové skóre (Out of 5)
DocType: Student Attendance Tool,Batch,Šarža
DocType: Support Search Source,Query Route String,Dotaz reťazca trasy
DocType: Tally Migration,Day Book Data,Údaje o dennej knihe
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Update rate as per last purchase,Miera aktualizácie podľa posledného nákupu
DocType: Donor,Donor Type,Typ darcu
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Auto repeat document updated,Dokument bol aktualizovaný automaticky
apps/erpnext/erpnext/stock/doctype/item/item.js,Balance,Zostatok
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please select the Company,Vyberte spoločnosť
DocType: Employee Checkin,Skip Auto Attendance,Preskočiť automatickú účasť
DocType: BOM,Job Card,Pracovná karta
DocType: Room,Seating Capacity,Počet miest na sedenie
DocType: Issue,ISS-,ISS-
DocType: Item,Is Non GST,Nie je GST
DocType: Lab Test Groups,Lab Test Groups,Laboratórne testovacie skupiny
apps/erpnext/erpnext/config/accounting.py,Profitability,Ziskovosť
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,Party Type and Party is mandatory for {0} account,Typ strany a strana je povinný pre účet {0}
DocType: Project,Total Expense Claim (via Expense Claims),Total Expense Claim (via Expense nárokov)
DocType: GST Settings,GST Summary,Súhrn GST
apps/erpnext/erpnext/hr/doctype/daily_work_summary_group/daily_work_summary_group.py,Please enable default incoming account before creating Daily Work Summary Group,Pred vytvorením dennej skupinovej pracovnej skupiny aktivujte predvolený prichádzajúci účet
DocType: Assessment Result,Total Score,Konečné skóre
DocType: Crop Cycle,ISO 8601 standard,ISO 8601
DocType: Journal Entry,Debit Note,Debit Note
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,You can only redeem max {0} points in this order.,V tomto poradí môžete uplatniť maximálne {0} body.
DocType: Expense Claim,HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,Please enter API Consumer Secret,Zadajte zákaznícke tajomstvo služby API
DocType: Stock Entry,As per Stock UOM,Podľa skladovej MJ
apps/erpnext/erpnext/stock/doctype/batch/batch_list.js,Not Expired,Neuplynula
DocType: Student Log,Achievement,úspech
DocType: Asset,Insurer,poisťovateľ
DocType: Batch,Source Document Type,Zdrojový typ dokumentu
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,Following course schedules were created,Boli vytvorené rozvrhy kurzov
DocType: Employee Onboarding,Employee Onboarding,Zamestnanec na palube
DocType: Journal Entry,Total Debit,Celkem Debit
DocType: Travel Request Costing,Sponsored Amount,Sponzorovaná čiastka
DocType: Manufacturing Settings,Default Finished Goods Warehouse,Predvolený sklad hotových výrobkov
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient,Vyberte pacienta
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Sales Person,Predajca
DocType: Hotel Room Package,Amenities,Vybavenie
DocType: Accounts Settings,Automatically Fetch Payment Terms,Automaticky načítať platobné podmienky
DocType: QuickBooks Migrator,Undeposited Funds Account,Účet neukladaných finančných prostriedkov
DocType: Coupon Code,Uses,použitie
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Multiple default mode of payment is not allowed,Nie je povolený viacnásobný predvolený spôsob platby
DocType: Sales Invoice,Loyalty Points Redemption,Vernostné body Vykúpenie
,Appointment Analytics,Aplikácia Analytics
DocType: Lead,Blog Subscriber,Blog Subscriber
DocType: Guardian,Alternate Number,Alternatívne Number
DocType: Assessment Plan Criteria,Maximum Score,maximálny počet bodov
apps/erpnext/erpnext/config/settings.py,Create rules to restrict transactions based on values.,Vytvoření pravidla pro omezení transakce na základě hodnot.
DocType: Cash Flow Mapping Accounts,Cash Flow Mapping Accounts,Zúčtovanie peňažných tokov
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py, Group Roll No,Skupina Roll Nie
DocType: Quality Goal,Revision and Revised On,Revízia a revízia dňa
DocType: Batch,Manufacturing Date,Dátum výroby
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Creation Failed,Vytvorenie poplatku zlyhalo
DocType: Opening Invoice Creation Tool,Create Missing Party,Vytvoriť chýbajúcu stranu
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Budget,Celkový rozpočet
DocType: Student Group Creation Tool,Leave blank if you make students groups per year,"Nechajte prázdne, ak robíte študentské skupiny ročne"
DocType: Student Group Creation Tool,Leave blank if you make students groups per year,"Nechajte prázdne, ak robíte študentské skupiny ročne"
DocType: HR Settings,"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Pokud je zaškrtnuto, Total no. pracovních dnů bude zahrnovat dovolenou, a to sníží hodnotu platu za každý den"
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to add Domain,Nepodarilo sa pridať doménu
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the Item.","Ak chcete povoliť príjem / doručenie, aktualizujte položku „Príjem a príjem zásielok“ v nastaveniach zásob alebo v položke."
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,"Apps using current key won't be able to access, are you sure?","Aplikácie používajúce aktuálny kľúč nebudú mať prístup, určite?"
DocType: Subscription Settings,Prorate,kľúčovanie
DocType: Purchase Invoice,Total Advance,Total Advance
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Template Code,Zmena kódu šablóny
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Termínovaný Dátum ukončenia nesmie byť starší ako Počiatočný dátum doby platnosti. Opravte dáta a skúste to znova.
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot Count,Počet kvót
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot Count,Počet kvót
DocType: Bank Statement Transaction Entry,Bank Statement,Výpis z bankového účtu
DocType: Employee Benefit Claim,Max Amount Eligible,Maximálna výška oprávnenia
,BOM Stock Report,BOM Reklamné Report
DocType: Communication Medium,"If there is no assigned timeslot, then communication will be handled by this group","Ak nie je priradený žiadny časový rozvrh, komunikácia bude uskutočnená touto skupinou"
DocType: Stock Reconciliation Item,Quantity Difference,Množstvo Rozdiel
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Supplier &gt; Supplier Type,Dodávateľ&gt; Typ dodávateľa
DocType: Opportunity Item,Basic Rate,Základná sadzba
DocType: GL Entry,Credit Amount,Výška úveru
,Electronic Invoice Register,Elektronický register faktúr
DocType: Cheque Print Template,Signatory Position,signatár Position
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Set as Lost,Nastaviť ako Nezískané
DocType: Timesheet,Total Billable Hours,Celkovo zúčtované hodiny
DocType: Subscription,Number of days that the subscriber has to pay invoices generated by this subscription,"Počet dní, ktoré musí účastník zaplatiť faktúry generované týmto odberom"
DocType: Employee Benefit Application Detail,Employee Benefit Application Detail,Podrobnosti o žiadosti o zamestnanecké benefity
apps/erpnext/erpnext/accounts/print_format/payment_receipt_voucher/payment_receipt_voucher.html,Payment Receipt Note,Doklad o zaplatení Note
apps/erpnext/erpnext/selling/doctype/customer/customer_dashboard.py,This is based on transactions against this Customer. See timeline below for details,To je založené na transakciách proti tomuto zákazníkovi. Pozri časovú os nižšie podrobnosti
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Create Material Request,Vytvoriť požiadavku na materiál
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Dátumy začiatku a ukončenia, ktoré nie sú v platnom období mzdy, sa nedajú vypočítať {0}"
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Riadok {0}: Pridelená suma {1} musí byť menší ako alebo sa rovná sume zaplatení výstavného {2}
DocType: Program Enrollment Tool,New Academic Term,Nový akademický termín
,Course wise Assessment Report,Priebežná hodnotiaca správa
DocType: Customer Feedback Template,Customer Feedback Template,Spätná väzba od zákazníka
DocType: Purchase Invoice,Availed ITC State/UT Tax,Využil daň z ITC štátu / UT
DocType: Tax Rule,Tax Rule,Daňové Pravidlo
DocType: Selling Settings,Maintain Same Rate Throughout Sales Cycle,Udržovat stejná sazba po celou dobu prodejního cyklu
apps/erpnext/erpnext/hub_node/api.py,Please login as another user to register on Marketplace,Prihláste sa ako iný používateľ na registráciu v službe Marketplace
DocType: Manufacturing Settings,Plan time logs outside Workstation Working Hours.,Naplánujte čas protokoly mimo Workstation pracovných hodín.
apps/erpnext/erpnext/public/js/pos/pos.html,Customers in Queue,Zákazníci vo fronte
DocType: Driver,Issuing Date,Dátum vydania
DocType: Procedure Prescription,Appointment Booked,Schôdza rezervovaná
DocType: Student,Nationality,národnosť
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Configure,konfigurácia
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Submit this Work Order for further processing.,Odošlite túto objednávku na ďalšie spracovanie.
,Items To Be Requested,Položky se budou vyžadovat
DocType: Company,Allow Account Creation Against Child Company,Povoliť vytvorenie účtu proti dcérskej spoločnosti
DocType: Company,Company Info,Informácie o spoločnosti
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select or add new customer,Vyberte alebo pridajte nového zákazníka
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Cost center is required to book an expense claim,Nákladové stredisko je nutné rezervovať výdavkov nárok
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Application of Funds (Assets),Aplikace fondů (aktiv)
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,This is based on the attendance of this Employee,To je založené na účasti základu tohto zamestnanca
DocType: Payment Request,Payment Request Type,Typ žiadosti o platbu
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,Mark Attendance,Označenie účasti
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Debit Account,Debetný účet
DocType: Fiscal Year,Year Start Date,Dátom začiatku roka
DocType: Additional Salary,Employee Name,Meno zamestnanca
DocType: Restaurant Order Entry Item,Restaurant Order Entry Item,Položka objednávky reštaurácie
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,{0} bank transaction(s) created and {1} errors,Počet vytvorených bankových transakcií: {0} a {1} chýb
DocType: Purchase Invoice,Rounded Total (Company Currency),Zaoblený Total (Company Měna)
apps/erpnext/erpnext/accounts/doctype/account/account.py,Cannot covert to Group because Account Type is selected.,"Nelze skryté do skupiny, protože je požadovaný typ účtu."
DocType: Quiz,Max Attempts,Max Pokusy
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has been modified. Please refresh.,{0} {1} bol zmenený. Prosím aktualizujte.
DocType: Leave Block List,Stop users from making Leave Applications on following days.,Přestaňte uživatelům provádět Nechat aplikací v následujících dnech.
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","V prípade neobmedzeného uplynutia platnosti Vernostných bodov, ponechajte dobu trvania expirácie prázdnu alebo 0."
DocType: Asset Maintenance Team,Maintenance Team Members,Členovia tímu údržby
DocType: Loyalty Point Entry,Purchase Amount,suma nákupu
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved \
											to fullfill Sales Order {2}","Nie je možné dodať sériové číslo {0} položky {1}, pretože je rezervované \ na plnenie zákazky odberateľa {2}"
DocType: Quotation,SAL-QTN-.YYYY.-,SAL-QTN-.YYYY.-
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,Supplier Quotation {0} created,Dodávateľ Cien {0} vytvoril
apps/erpnext/erpnext/accounts/report/financial_statements.py,End Year cannot be before Start Year,Koniec roka nemôže byť pred uvedením do prevádzky roku
DocType: Employee Benefit Application,Employee Benefits,Zamestnanecké benefity
apps/erpnext/erpnext/projects/report/billing_summary.py,Employee ID,zamestnanecké ID
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packed quantity must equal quantity for Item {0} in row {1},Balené množstvo se musí rovnať množstvu pre položku {0} v riadku {1}
DocType: Work Order,Manufactured Qty,Vyrobeno Množství
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares don't exist with the {0},Akcie neexistujú pri {0}
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Select Difference Account,Vyberte rozdielny účet
DocType: Sales Partner Type,Sales Partner Type,Typ obchodného partnera
DocType: Shopify Webhook Detail,Webhook ID,Webhook ID
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Invoice Created,Vytvorená faktúra
DocType: Asset,Out of Order,Mimo prevádzky
DocType: Purchase Receipt Item,Accepted Quantity,Schválené Množstvo
DocType: Projects Settings,Ignore Workstation Time Overlap,Ignorovať prekrytie pracovnej doby
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set a default Holiday List for Employee {0} or Company {1},Prosím nastaviť predvolené Holiday List pre zamestnancov {0} alebo {1} Company
apps/erpnext/erpnext/accounts/party.py,{0}: {1} does not exists,{0}: {1} neexistuje
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Batch Numbers,Vyberte dávkové čísla
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To GSTIN,Na GSTIN
apps/erpnext/erpnext/config/accounting.py,Bills raised to Customers.,Faktúry zákazníkom
DocType: Healthcare Settings,Invoice Appointments Automatically,Automatické zadanie faktúr
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Project Id,ID projektu
DocType: Salary Component,Variable Based On Taxable Salary,Premenná založená na zdaniteľnom platu
DocType: Company,Basic Component,Základná zložka
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},"Riadok č {0}: Čiastka nemôže byť väčšia ako Čakajúci Suma proti Expense nároku {1}. Do doby, než množstvo je {2}"
DocType: Patient Service Unit,Medical Administrator,Zdravotnícky administrátor
DocType: Assessment Plan,Schedule,Plán
DocType: Account,Parent Account,Nadřazený účet
apps/erpnext/erpnext/hr/doctype/salary_structure_assignment/salary_structure_assignment.py,Salary Structure Assignment for Employee already exists,Priradenie štruktúry platov pre zamestnanca už existuje
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Available,K dispozici
DocType: Quality Inspection Reading,Reading 3,Čtení 3
DocType: Stock Entry,Source Warehouse Address,Adresa zdrojového skladu
DocType: GL Entry,Voucher Type,Voucher Type
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Future Payments,Budúce platby
DocType: Amazon MWS Settings,Max Retry Limit,Maximálny limit opakovania
apps/erpnext/erpnext/accounts/page/pos/pos.js,Price List not found or disabled,Ceník nebyl nalezen nebo zakázán
DocType: Content Activity,Last Activity ,Posledná aktivita
DocType: Student Applicant,Approved,Schválený
DocType: Pricing Rule,Price,Cena
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Employee relieved on {0} must be set as 'Left',"Zamestnanec uvoľnený na {0} musí byť nastavený ako ""Opustil"""
DocType: Guardian,Guardian,poručník
apps/erpnext/erpnext/support/doctype/issue/issue.js,All communications including and above this shall be moved into the new Issue,Všetky komunikácie vrátane a nad nimi sa presunú do nového čísla
DocType: Salary Detail,Tax on additional salary,Daň z dodatočného platu
DocType: Item Alternative,Item Alternative,Položka Alternatíva
DocType: Healthcare Settings,Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,"Predpokladané výnosové účty, ktoré sa použijú, ak nie sú stanovené v zdravotníckom praktickom lekári na vyúčtovanie poplatkov za schôdzku."
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Total contribution percentage should be equal to 100,Celkové percento príspevku by sa malo rovnať 100
DocType: Opening Invoice Creation Tool,Create missing customer or supplier.,Vytvorte chýbajúceho zákazníka alebo dodávateľa.
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Appraisal {0} created for Employee {1} in the given date range,Posouzení {0} vytvořil pro zaměstnance {1} v daném časovém období
DocType: Academic Term,Education,Vzdelanie
DocType: Payroll Entry,Salary Slips Created,Vytvorené platobné pásky
DocType: Inpatient Record,Expected Discharge,Očakávané vybitie
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Del,del
DocType: Selling Settings,Campaign Naming By,Pomenovanie kampane podľa
DocType: Employee,Current Address Is,Aktuálna adresa je
apps/erpnext/erpnext/utilities/user_progress.py,Monthly Sales Target (,Mesačný cieľ predaja (
apps/erpnext/erpnext/templates/includes/projects/project_tasks.html,modified,modifikovaný
DocType: Travel Request,Identification Document Number,Identifikačné číslo dokladu
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Optional. Sets company's default currency, if not specified.","Voliteľné. Nastaví východiskovej mene spoločnosti, ak nie je uvedené."
DocType: Sales Invoice,Customer GSTIN,Zákazník GSTIN
DocType: Crop Cycle,List of diseases detected on the field. When selected it'll automatically add a list of tasks to deal with the disease ,"Zoznam chorôb zistených v teréne. Po výbere bude automaticky pridaný zoznam úloh, ktoré sa budú týkať tejto choroby"
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 1,Kus 1
apps/erpnext/erpnext/assets/report/fixed_asset_register/fixed_asset_register.py,Asset Id,ID majetku
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.js,This is a root healthcare service unit and cannot be edited.,Jedná sa o koreňovú službu zdravotnej starostlivosti a nemožno ju upraviť.
DocType: Asset Repair,Repair Status,Stav opravy
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Requested Qty: Quantity requested for purchase, but not ordered.","Požadované množství: Množství požádalo o koupi, ale nenařídil."
,Subcontracted Item To Be Received,"Subdodávaná položka, ktorá sa má prijať"
apps/erpnext/erpnext/public/js/event.js,Add Sales Partners,Pridať obchodných partnerov
apps/erpnext/erpnext/config/accounting.py,Accounting journal entries.,Zápisy v účetním deníku.
DocType: Travel Request,Travel Request,Žiadosť o cestu
DocType: Payment Reconciliation,System will fetch all the entries if limit value is zero.,"Ak je limitná hodnota nula, systém načíta všetky záznamy."
DocType: Delivery Note Item,Available Qty at From Warehouse,K dispozícii Množstvo na Od Warehouse
apps/erpnext/erpnext/hr/doctype/department_approver/department_approver.py,Please select Employee Record first.,"Prosím, vyberte zamestnanca záznam prvý."
apps/erpnext/erpnext/hr/doctype/attendance_request/attendance_request.py,Attendance not submitted for {0} as it is a Holiday.,"Účasť sa nepredložila za {0}, pretože ide o dovolenku."
DocType: POS Profile,Account for Change Amount,Účet pre zmenu Suma
DocType: QuickBooks Migrator,Connecting to QuickBooks,Pripojenie k aplikácii QuickBooks
DocType: Exchange Rate Revaluation,Total Gain/Loss,Celkový zisk / strata
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Create Pick List,Vytvoriť zoznam
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Riadok {0}: Party / Account nezhoduje s {1} / {2} do {3} {4}
DocType: Employee Promotion,Employee Promotion,Podpora zamestnancov
DocType: Maintenance Team Member,Maintenance Team Member,Člen tímu údržby
