DocType: Accounting Period,Period Name,Periodo pavadinimas
apps/erpnext/erpnext/config/selling.py,Rules for adding shipping costs.,Taisyklės pridedant siuntimo išlaidas.
DocType: Hotel Room,Extra Bed Capacity,Papildomos lovos talpa
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Varaiance ,Varaiance
apps/erpnext/erpnext/config/hr.py,Performance,Spektaklis
DocType: Item,Opening Stock,atidarymo sandėlyje
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Customer is required,Klientas turi
DocType: Lab Test,Result Date,Rezultato data
DocType: Purchase Order,To Receive,Gauti
DocType: Leave Period,Holiday List for Optional Leave,Atostogų sąrašas pasirinktinai
DocType: Item Tax Template,Tax Rates,Mokesčių tarifai
apps/erpnext/erpnext/utilities/user_progress.py,user@example.com,user@example.com
DocType: Asset,Asset Owner,Turto savininkas
DocType: Item,Website Content,Svetainės turinys
DocType: Bank Account,Integration ID,Integracijos ID
DocType: Purchase Invoice,Reason For Putting On Hold,Prisilietimo priežastys
DocType: Employee,Personal Email,Asmeniniai paštas
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Variance,Iš viso Dispersija
DocType: Accounts Settings,"If enabled, the system will post accounting entries for inventory automatically.","Jei įjungta, sistema bus po apskaitos įrašus inventoriaus automatiškai."
apps/erpnext/erpnext/accounts/doctype/bank_account/test_bank_account.py,BankAccount.validate_iban() accepted invalid IBAN {},„BankAccount.validate_iban“) priėmė netinkamą IBAN {}
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Brokerage,tarpininkavimas
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Attendance for employee {0} is already marked for this day,Lankomumas už {0} darbuotojas jau yra pažymėtas šiai dienai
DocType: Work Order Operation,"in Minutes
Updated via 'Time Log'",minutėmis Atnaujinta per &quot;Time Prisijungti&quot;
DocType: Customer,From Lead,nuo švino
DocType: Amazon MWS Settings,Synch Orders,Sinchronizuoti užsakymus
apps/erpnext/erpnext/config/manufacturing.py,Orders released for production.,Užsakymai išleido gamybai.
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Fiscal Year...,Pasirinkite fiskalinių metų ...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,POS Profile required to make POS Entry,"POS profilis reikalaujama, kad POS įrašą"
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"Loyalty Points will be calculated from the spent done (via the Sales Invoice), based on collection factor mentioned.",Lojalumo taškai bus skaičiuojami iš panaudoto atlikto (per pardavimo sąskaitą) remiantis nurodytu surinkimo faktoriumi.
DocType: Program Enrollment Tool,Enroll Students,stoti Studentai
DocType: Pricing Rule,Coupon Code Based,Kupono kodas pagrįstas
DocType: Company,HRA Settings,HRA nustatymai
DocType: Homepage,Hero Section,Herojaus skyrius
DocType: Employee Transfer,Transfer Date,Persiuntimo data
DocType: Lab Test,Approved Date,Patvirtinta data
apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py,Standard Selling,Standartinė Parduodami
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Atleast one warehouse is mandatory,Atleast vienas sandėlis yra privalomas
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit_type/healthcare_service_unit_type.py,"Configure Item Fields like UOM, Item Group, Description and No of Hours.","Konfigūruoti elemento laukus, pvz., UOM, elementų grupę, aprašymą ir valandų skaičių."
DocType: Certification Application,Certification Status,Sertifikavimo būsena
apps/erpnext/erpnext/public/js/hub/marketplace.js,Marketplace,Marketplace
DocType: Travel Itinerary,Travel Advance Required,Reikalinga kelionė
DocType: Subscriber,Subscriber Name,Prenumeratos pavadinimas
DocType: Serial No,Out of Warranty,Iš Garantija
DocType: Bank Statement Transaction Settings Item,Mapped Data Type,Įrašytas duomenų tipas
DocType: BOM Update Tool,Replace,pakeisti
apps/erpnext/erpnext/templates/includes/product_list.js,No products found.,Nėra prekių nerasta.
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,Publish More Items,Paskelbkite daugiau elementų
apps/erpnext/erpnext/support/doctype/issue/issue.py,This Service Level Agreement is specific to Customer {0},Ši paslaugų lygio sutartis yra konkreti klientui {0}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Invoice {1},{0} prieš pardavimo sąskaita-faktūra {1}
DocType: Antibiotic,Laboratory User,Laboratorijos naudotojas
DocType: Request for Quotation Item,Project Name,projekto pavadinimas
apps/erpnext/erpnext/regional/italy/utils.py,Please set the Customer Address,Prašome nustatyti kliento adresą
DocType: Customer,Mention if non-standard receivable account,"Nurodyk, jei gautina nestandartinis sąskaita"
DocType: Bank,Plaid Access Token,Plaid Access Token
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,Please add the remaining benefits {0} to any of the existing component,Pridėkite likusią naudą {0} bet kuriai iš esamų komponentų
DocType: Journal Entry Account,If Income or Expense,Jei pajamos ar sąnaudos
DocType: Course Topic,Course Topic,Kurso tema
DocType: Bank Statement Transaction Entry,Matching Invoices,Atitinkančios sąskaitos faktūros
DocType: Work Order,Required Items,Reikalingi daiktai
DocType: Stock Ledger Entry,Stock Value Difference,Akcijų vertės skirtumas
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Item Row {0}: {1} {2} does not exist in above '{1}' table,Lentelėje aukščiau &quot;{1}&quot; eilutė {0}: {1} {2} nėra
apps/erpnext/erpnext/config/help.py,Human Resource,Žmogiškasis išteklis
DocType: Payment Reconciliation Payment,Payment Reconciliation Payment,Mokėjimo Susitaikymas Mokėjimo
DocType: Disease,Treatment Task,Gydymo užduotis
DocType: Payment Order Reference,Bank Account Details,Banko sąskaitos duomenys
DocType: Purchase Order Item,Blanket Order,Antklodžių ordinas
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.py,Repayment Amount must be greater than ,Grąžinimo suma turi būti didesnė nei
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Tax Assets,mokesčio turtas
DocType: BOM Item,BOM No,BOM Nėra
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Journal Entry {0} does not have account {1} or already matched against other voucher,Žurnalo įrašą {0} neturi paskyros {1} arba jau suderinta su kitų kuponą
DocType: Item,Moving Average,slenkamasis vidurkis
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Benefit,Nauda
DocType: BOM Update Tool,The BOM which will be replaced,BOM kuris bus pakeistas
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Electronic Equipments,Elektroniniai įrengimai
DocType: Asset,Maintenance Required,Reikalinga techninė priežiūra
DocType: Account,Debit,debetas
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leaves must be allocated in multiples of 0.5,"Lapai turi būti skiriama kartotinus 0,5"
DocType: Work Order,Operation Cost,operacijos išlaidas
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Identifying Decision Makers,Sprendimų priėmėjų nustatymas
apps/erpnext/erpnext/selling/report/customer_credit_balance/customer_credit_balance.py,Outstanding Amt,neįvykdyti Amt
DocType: Sales Person,Set targets Item Group-wise for this Sales Person.,Nustatyti tikslai punktas grupė-protingas šiam Pardavimų asmeniui.
DocType: Stock Settings,Freeze Stocks Older Than [Days],Freeze Atsargos senesnis nei [diena]
DocType: Payment Entry,Payment Ordered,Mokėjimas užsakytas
DocType: Asset Maintenance Team,Maintenance Team Name,Techninės priežiūros komandos pavadinimas
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Jei du ar daugiau Kainodaros taisyklės yra rasta remiantis pirmiau minėtų sąlygų, pirmenybė taikoma. Prioritetas yra skaičius nuo 0 iki 20, o numatytoji reikšmė yra nulis (tuščias). Didesnis skaičius reiškia, kad jis bus viršesnės jei yra keli kainodaros taisyklės, kurių pačiomis sąlygomis."
apps/erpnext/erpnext/controllers/trends.py,Fiscal Year: {0} does not exists,Fiskalinė Metai: {0} neegzistuoja
DocType: Currency Exchange,To Currency,valiutos
DocType: Leave Block List,Allow the following users to approve Leave Applications for block days.,Leiskite šie vartotojai patvirtinti Leave Paraiškos bendrosios dienų.
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Lifecycle,Gyvenimo ciklas
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Payment Document Type,Mokėjimo dokumento tipas
apps/erpnext/erpnext/controllers/selling_controller.py,Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},Pardavimo normą punkto {0} yra mažesnis nei {1}. Pardavimo kursas turėtų būti atleast {2}
apps/erpnext/erpnext/controllers/selling_controller.py,Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},Pardavimo normą punkto {0} yra mažesnis nei {1}. Pardavimo kursas turėtų būti atleast {2}
DocType: Designation Skill,Skill,Įgūdžiai
DocType: Subscription,Taxes,Mokesčiai
DocType: Purchase Invoice Item,Weight Per Unit,Svoris vienetui
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Paid and Not Delivered,Mokama ir nepareiškė
DocType: QuickBooks Migrator,Default Cost Center,Numatytasis Kaina centras
apps/erpnext/erpnext/www/all-products/index.html,Toggle Filters,Perjungti filtrus
apps/erpnext/erpnext/config/stock.py,Stock Transactions,Akcijų sandoriai
DocType: Budget,Budget Accounts,Biudžetinėse sąskaitose
DocType: Employee,Internal Work History,Vidaus darbo istoriją
DocType: Bank Statement Transaction Entry,New Transactions,Nauji sandoriai
DocType: Depreciation Schedule,Accumulated Depreciation Amount,Sukauptas nusidėvėjimas suma
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Private Equity,Private Equity &quot;
DocType: Supplier Scorecard Variable,Supplier Scorecard Variable,Tiekėjo rezultatų kortelės kintamasis
DocType: Shift Type,Working Hours Threshold for Half Day,Pusvalandžio darbo valandų slenkstis
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Please create purchase receipt or purchase invoice for the item {0},Prašome sukurti pirkimo kvitą arba pirkimo sąskaitą už prekę {0}
DocType: Job Card,Material Transferred,Medžiaga perduota
DocType: Employee Advance,Due Advance Amount,Preliminari suma
DocType: Maintenance Visit,Customer Feedback,Klientų Atsiliepimai
DocType: Account,Expense,išlaidos
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.js,Score cannot be greater than Maximum Score,Rezultatas gali būti ne didesnis nei maksimalus įvertinimas
DocType: Support Search Source,Source Type,šaltinio tipas
DocType: Course Content,Course Content,Kurso turinys
apps/erpnext/erpnext/utilities/user_progress.py,Customers and Suppliers,Klientai ir tiekėjai
DocType: Item Attribute,From Range,nuo spektrui
DocType: BOM,Set rate of sub-assembly item based on BOM,Nustatykite komponento surinkimo greitį pagal BOM
DocType: Inpatient Occupancy,Invoiced,Sąskaitos faktūros
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,„WooCommerce“ produktai
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Syntax error in formula or condition: {0},Sintaksės klaida formulei ar būklės: {0}
apps/erpnext/erpnext/stock/utils.py,Item {0} ignored since it is not a stock item,"Prekė {0} ignoruojami, nes tai nėra sandėlyje punktas"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.","Norėdami netaikoma kainodaros taisyklė konkrečiu sandoriu, visos taikomos kainodaros taisyklės turi būti išjungta."
DocType: Payment Term,Day(s) after the end of the invoice month,Diena (-os) po sąskaitos faktūros mėnesio pabaigos
DocType: Assessment Group,Parent Assessment Group,Tėvų vertinimas Grupė
DocType: Employee Checkin,Shift Actual End,„Shift“ tikroji pabaiga
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py,Jobs,Darbas
,Sales Order Trends,Pardavimų užsakymų tendencijos
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,The 'From Package No.' field must neither be empty nor it's value less than 1.,&quot;Iš paketo Nr.&quot; laukas negali būti tuščias ir jo vertė yra mažesnė nei 1.
DocType: Employee,Held On,vyks
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order_calendar.js,Production Item,Gamybos punktas
,Employee Information,Darbuotojų Informacija
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},Sveikatos priežiūros specialistas nėra {0}
DocType: Stock Entry Detail,Additional Cost,Papildoma Kaina
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"Can not filter based on Voucher No, if grouped by Voucher","Negali filtruoti pagal lakšto, jei grupuojamas kuponą"
DocType: Quality Inspection,Incoming,įeinantis
apps/erpnext/erpnext/setup/doctype/company/company.js,Default tax templates for sales and purchase are created.,Sukuriami numatyti mokesčių šablonai pardavimui ir pirkimui.
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.py,Assessment Result record {0} already exists.,Vertinimo rezultatų įrašas {0} jau egzistuoja.
DocType: Item,"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","Pavyzdys: ABCD. #####. Jei serijos yra nustatytos ir partijos Nr nėra minimi sandoriuose, tada automatinis partijos numeris bus sukurtas pagal šią seriją. Jei visada norite aiškiai paminėti šios prekės partiją, palikite tuščią. Pastaba: šis nustatymas bus pirmenybė prieš vardų serijos prefiksą, esantį atsargų nustatymuose."
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Outward taxable supplies(zero rated),Išorės apmokestinamosios prekės (nulis įvertintas)
DocType: BOM,Materials Required (Exploded),"Medžiagų, reikalingų (Išpjovinė)"
apps/erpnext/erpnext/buying/report/purchase_analytics/purchase_analytics.js,based_on,pagrįstas_on
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Submit Review,Pateikite apžvalgą
DocType: Contract,Party User,Partijos vartotojas
apps/erpnext/erpnext/stock/report/total_stock_summary/total_stock_summary.py,Please set Company filter blank if Group By is 'Company',"Prašome nustatyti Įmonės filtruoti tuščias, jei Grupuoti pagal tai &quot;kompanija&quot;"
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,Posting Date cannot be future date,Siunčiamos data negali būti ateitis data
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Serial No {1} does not match with {2} {3},Eilutės # {0}: Serijos Nr {1} nesutampa su {2} {3}
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py,Please setup numbering series for Attendance via Setup &gt; Numbering Series,Prašome nustatyti numeracijos serijas lankymui per sąranką&gt; Numeravimo serijos
DocType: Stock Entry,Target Warehouse Address,Target Warehouse Address
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Casual Leave,Laisvalaikio atostogos
DocType: Shift Type,The time before the shift start time during which Employee Check-in is considered for attendance.,"Laikas prieš pamainos pradžios laiką, per kurį svarstomas darbuotojų registravimasis į lankomumą."
DocType: Agriculture Task,End Day,Pabaiga diena
DocType: Batch,Batch ID,Serija ID
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Note: {0},Pastaba: {0}
DocType: Stock Settings,Action if Quality inspection is not submitted,"Veiksmas, jei nepateikiama kokybės patikra"
,Delivery Note Trends,Važtaraštis tendencijos
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Week's Summary,Šios savaitės suvestinė
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,In Stock Qty,Sandėlyje Kiekis
,Daily Work Summary Replies,Dienos darbo santraukos atsakymai
DocType: Delivery Trip,Calculate Estimated Arrival Times,Apskaičiuokite numatytą atvykimo laiką
apps/erpnext/erpnext/accounts/general_ledger.py,Account: {0} can only be updated via Stock Transactions,Sąskaita: {0} gali būti atnaujintas tik per vertybinių popierių sandorių
DocType: Student Group Creation Tool,Get Courses,Gauk kursai
DocType: Tally Migration,ERPNext Company,„ERPNext Company“
DocType: Shopify Settings,Webhooks,Webhooks
DocType: Bank Account,Party,šalis
DocType: Healthcare Settings,Patient Name,Paciento vardas
DocType: Variant Field,Variant Field,Variantas laukas
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Target Location,Tikslinė vieta
DocType: Sales Order,Delivery Date,Pristatymo data
DocType: Opportunity,Opportunity Date,galimybė data
DocType: Employee,Health Insurance Provider,Sveikatos draudimo paslaugų teikėjas
DocType: Service Level,Holiday List (ignored during SLA calculation),Atostogų sąrašas (nepaisomas skaičiuojant SLA)
DocType: Products Settings,Show Availability Status,Rodyti statuso prieinamumą
DocType: Purchase Receipt,Return Against Purchase Receipt,Grįžti Prieš pirkimo kvito
DocType: Water Analysis,Person Responsible,Atsakingas asmuo
DocType: Request for Quotation Item,Request for Quotation Item,Užklausimas punktas
DocType: Purchase Order,To Bill,Bill
DocType: Material Request,% Ordered,% Užsakytas
DocType: Education Settings,"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.","Kursą, pagrįstą studentų grupės, kurso bus patvirtintas kiekvienas studentas iš užprogramuoto kursai programoje registraciją."
DocType: Employee Grade,Employee Grade,Darbuotojų vertinimas
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Piecework,vienetinį
DocType: GSTR 3B Report,June,Birželio mėn
DocType: Share Balance,From No,Iš Nr
DocType: Shift Type,Early Exit Grace Period,Ankstyvasis išėjimo lengvatinis laikotarpis
DocType: Task,Actual Time (in Hours),Tikrasis laikas (valandomis)
DocType: Employee,History In Company,Istorija Company
DocType: Customer,Customer Primary Address,Pirminis kliento adresas
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Connected,Skambutis sujungtas
apps/erpnext/erpnext/config/crm.py,Newsletters,Naujienų prenumerata
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Reference No.,Nuoroda ne.
DocType: Drug Prescription,Description/Strength,Aprašymas / stiprumas
apps/erpnext/erpnext/config/hr.py,Energy Point Leaderboard,„Energy Point“ suvestinė
DocType: Bank Statement Transaction Entry,Create New Payment/Journal Entry,Sukurkite naują mokestį / žurnalo įrašą
DocType: Certification Application,Certification Application,Sertifikavimo paraiška
DocType: Leave Type,Is Optional Leave,Neprivaloma palikti
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Declare Lost,Paskelbkite prarastą
DocType: Share Balance,Is Company,Yra kompanija
DocType: Pricing Rule,Same Item,Ta pati prekė
DocType: Stock Ledger Entry,Stock Ledger Entry,Akcijų Ledgeris įrašas
DocType: Quality Action Resolution,Quality Action Resolution,Kokybės veiksmų sprendimas
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} on Half day Leave on {1},{0} per pusę dienos Išeiti {1}
DocType: Department,Leave Block List,Palikite Blokuoti sąrašas
DocType: Purchase Invoice,Tax ID,Mokesčių ID
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item {0} is not setup for Serial Nos. Column must be blank,Prekė {0} nėra setup Serijos Nr. Skiltis turi būti tuščias
apps/erpnext/erpnext/regional/india/utils.py,Either GST Transporter ID or Vehicle No is required if Mode of Transport is Road,"Jei transporto būdas yra kelias, nereikia pateikti GST vežėjo ID arba transporto priemonės numerio"
DocType: Accounts Settings,Accounts Settings,Sąskaitos Nustatymai
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Approve,patvirtinti
DocType: Loyalty Program,Customer Territory,Klientų teritorija
DocType: Email Digest,Sales Orders to Deliver,Pardavimo užsakymai pristatyti
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Number of new Account, it will be included in the account name as a prefix","Naujos sąskaitos numeris, jis bus įtrauktas į sąskaitos pavadinimą kaip prefiksą"
DocType: Maintenance Team Member,Team Member,Komandos narys
DocType: GSTR 3B Report,Invoices with no Place Of Supply,Sąskaitos faktūros be pristatymo vietos
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,No Result to submit,Nėra rezultato pateikti
DocType: Customer,Sales Partner and Commission,Pardavimų partneris ir Komisija
DocType: Loan,Rate of Interest (%) / Year,Palūkanų norma (%) / metus
,Project Quantity,Projektų Kiekis
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","Viso {0} visoms prekėms yra lygus nuliui, gali būti, jūs turėtumėte pakeisti &quot;Paskirstyti mokesčius pagal&quot;"
apps/erpnext/erpnext/hr/utils.py,To date can not be less than from date,Šiandien negali būti mažiau nei nuo datos
DocType: Opportunity,To Discuss,Diskutuoti
apps/erpnext/erpnext/stock/stock_ledger.py,{0} units of {1} needed in {2} to complete this transaction.,{0} vienetai {1} reikia {2} užbaigti šį sandorį.
DocType: Loan Type,Rate of Interest (%) Yearly,Palūkanų norma (%) Metinės
apps/erpnext/erpnext/config/quality_management.py,Quality Goal.,Kokybės tikslas.
DocType: Support Settings,Forum URL,Forumo URL
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Temporary Accounts,Laikinosios sąskaitos
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Source Location is required for the asset {0},Turto šaltiniui reikalinga šaltinio vieta {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Black,Juodas
DocType: BOM Explosion Item,BOM Explosion Item,BOM sprogimo punktas
DocType: Shareholder,Contact List,Kontaktų sarašas
DocType: Account,Auditor,auditorius
DocType: Project,Frequency To Collect Progress,"Dažnumas, siekiant surinkti pažangą"
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items produced,{0} daiktai gaminami
apps/erpnext/erpnext/utilities/user_progress.py,Learn More,Sužinoti daugiau
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,{0} is not added in the table,{0} lentelė neįtraukta
DocType: Payment Entry,Party Bank Account,Vakarėlio banko sąskaita
DocType: Cheque Print Template,Distance from top edge,Atstumas nuo viršutinio krašto
DocType: POS Closing Voucher Invoices,Quantity of Items,Daiktų skaičius
apps/erpnext/erpnext/stock/get_item_details.py,Price List {0} is disabled or does not exist,Kainų sąrašas {0} yra išjungtas arba neegzistuoja
DocType: Purchase Invoice,Return,sugrįžimas
DocType: Account,Disable,išjungti
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Mode of payment is required to make a payment,mokėjimo būdas turi atlikti mokėjimą
DocType: Task,Pending Review,kol apžvalga
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,"Edit in full page for more options like assets, serial nos, batches etc.","Visame puslapyje redaguokite daugiau pasirinkčių, pvz., Turto, serijos numerių, siuntų ir pan."
DocType: Leave Type,Maximum Continuous Days Applicable,Taikomos maksimalios tęstinės dienos
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 4,4 senėjimo diapazonas
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is not enrolled in the Batch {2},{0} - {1} nėra įtraukti į Seriją {2}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,"Asset {0} cannot be scrapped, as it is already {1}","Turto {0} negali būti sunaikintas, nes jis jau yra {1}"
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Cheques Required,Reikalingi čekiai
DocType: Task,Total Expense Claim (via Expense Claim),Bendras išlaidų pretenzija (per expense punktą)
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Absent,Pažymėti Nėra
DocType: Job Applicant Source,Job Applicant Source,Darbo ieškančiojo šaltinis
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,IGST Amount,IGST suma
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to setup company,Nepavyko sukonfiguruoti įmonę
DocType: Asset Repair,Asset Repair,Turto remontas
DocType: Warehouse,Warehouse Type,Sandėlio tipas
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},Eilutės {0}: Valiuta BOM # {1} turi būti lygus pasirinkta valiuta {2}
DocType: Journal Entry Account,Exchange Rate,Valiutos kursas
DocType: Patient,Additional information regarding the patient,Papildoma informacija apie pacientą
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Sales Order {0} is not submitted,Pardavimų užsakymų {0} nebus pateiktas
DocType: Homepage,Tag Line,Gairė linija
DocType: Fee Component,Fee Component,mokestis komponentas
apps/erpnext/erpnext/config/hr.py,Fleet Management,laivyno valdymo
apps/erpnext/erpnext/config/agriculture.py,Crops & Lands,Augalai ir žemės sklypai
DocType: Shift Type,Enable Exit Grace Period,Įgalinti lengvatinį laikotarpį
DocType: Cheque Print Template,Regular,reguliarus
DocType: Fertilizer,Density (if liquid),Tankis (jei skystis)
apps/erpnext/erpnext/education/doctype/course/course.py,Total Weightage of all Assessment Criteria must be 100%,Iš viso weightage visų vertinimo kriterijai turi būti 100%
DocType: Purchase Order Item,Last Purchase Rate,Paskutinis užsakymo kaina
DocType: GSTR 3B Report,August,Rugpjūtis
DocType: Account,Asset,Turtas
DocType: Quality Goal,Revised On,Peržiūrėta
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock cannot exist for Item {0} since has variants,Akcijų negali egzistuoti už prekę {0} nes turi variantus
DocType: Healthcare Practitioner,Mobile,Mobilus
DocType: Issue,Reset Service Level Agreement,Iš naujo nustatyti paslaugų lygio sutartį
,Sales Person-wise Transaction Summary,Pardavimų Asmuo išmintingas Sandorio santrauka
DocType: Training Event,Contact Number,Kontaktinis telefono numeris
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouse {0} does not exist,Sandėlių {0} neegzistuoja
DocType: Cashier Closing,Custody,Globa
DocType: Employee Tax Exemption Proof Submission Detail,Employee Tax Exemption Proof Submission Detail,Darbuotojų mokesčio išimties įrodymo pateikimo detalės
DocType: Monthly Distribution,Monthly Distribution Percentages,Mėnesio Paskirstymo Procentai
apps/erpnext/erpnext/stock/doctype/batch/batch.py,The selected item cannot have Batch,Pasirinktas elementas negali turėti Serija
DocType: Delivery Note,% of materials delivered against this Delivery Note,% medžiagų pristatyta pagal šią Pristatymo Pažymą
DocType: Asset Maintenance Log,Has Certificate,Turi sertifikatą
DocType: Project,Customer Details,klientų informacija
apps/erpnext/erpnext/regional/report/irs_1099/irs_1099.js,Print IRS 1099 Forms,Spausdinti IRS 1099 formas
DocType: Asset,Check if Asset requires Preventive Maintenance or Calibration,"Patikrinkite, ar turtui reikalinga profilaktinė priežiūra ar kalibravimas"
apps/erpnext/erpnext/public/js/setup_wizard.js,Company Abbreviation cannot have more than 5 characters,Įmonės santrumpa negali būti daugiau nei 5 simboliai
DocType: Employee,Reports to,Pranešti
,Unpaid Expense Claim,Nemokamos išlaidų Pretenzija
DocType: Payment Entry,Paid Amount,sumokėta suma
apps/erpnext/erpnext/utilities/user_progress.py,Explore Sales Cycle,Naršyti pardavimo ciklą
DocType: Assessment Plan,Supervisor,vadovas
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Retention Stock Entry,Saugojimo atsargos įrašas
,Available Stock for Packing Items,Turimas sandėlyje pakuoti prekės
