Pension Funds,Mirovinski fondovi
The minimum length between each plant in the field for optimum growth,Minimalna duljina između svakog postrojenja u polju za optimalan rast
Applicable on Purchase Order,Primjenjivo na narudžbenici
Receive at Warehouse,Primajte na skladištu
Is Income Tax Expense,Je porez na dohodak
Make Difference Entry,Unos razlika
Total (Credit),Ukupno (kredit)
The Brand,Brand
Item 3,Tačka 3
Deferred Expense Account,Odloženi rashodni račun
Accumulated Depreciation Amount,Iznos akumulirane amortizacije
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Mjesto troška je obavezno za stavku {2}
No accounting entries for the following warehouses,Nema računovodstvenih unosa za sljedeća skladišta
Please save first,Prvo spremite
Extra Small,Ekstra malo
Assessment Group,Grupa za procjenu
UOM,UOM
Bills raised by Suppliers.,Računi koje prikupljaju dobavljači.
HR User,Korisnik HR-a
Profit for the year,Dobit za godinu
Medical Code,Medicinski kod
Update bank payment dates with journals.,Ažurirajte datume plaćanja u bankama pomoću časopisa.
Current Assets,Trenutna imovina
Row #{0}: Asset {1} does not belong to company {2},Redak {{0}: Svojstvo {1} ne pripada tvrtki {2}
Contact Person,Osoba za kontakt
{0} - {1} is not enrolled in the Batch {2},{0} - {1} nije prijavljen u skupni {2}
Holiday List Name,Naziv popisa praznika
Collection Temperature ,Temperatura prikupljanja
Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Upravljajte dostavnicom za naplatu i automatski otkazuj za Pacijentov susret
Claim Date,Datum polaganja prava
Leave blank if the Supplier is blocked indefinitely,Ostavite prazno ako je dobavljač blokiran na neodređeno vrijeme
Attendance From Date and Attendance To Date is mandatory,Sudjelovanje od datuma i nazočnosti do datuma je obavezno
Out of Warranty,van garancije
Same item cannot be entered multiple times.,Ista stavka se ne može unijeti više puta.
Select students manually for the Activity based Group,Ručno odaberite učenike za grupu temeljenu na aktivnostima
Series Updated,Serija je ažurirana
Date Of Retirement,Datum odlaska u mirovinu
Please select Patient,Odaberite Pacijent
Straight Line,Ravna crta
No of Sent SMS,Broj poslanih SMS-ova
GST Itemised Sales Register,GST Detaljan prodajni registar
Total advance amount cannot be greater than total sanctioned amount,Ukupni iznos predujma ne može biti veći od ukupnog iznosa sankcije
Test Name,Ime testa
Total Billing Amount (via Time Sheet),Ukupni iznos naplate (putem vremenskog lista)
Quotation {0} is cancelled,Poništena je ponuda {0}
Clear values,Očisti vrijednosti
Traceability,sljedivost
Same Company is entered more than once,Ista tvrtka unosi se više puta
Contact Name,Ime kontakta
Is Internal Customer,Je li interni korisnik
Account Head,Voditelj računa
Lower Income,Niži dohodak
Start date should be less than end date for task {0},Datum početka treba biti manji od završnog datuma za zadatak {0}
Customer Service,Služba za korisnike
Fee,Pristojba
BOM {0} does not belong to Item {1},BOM {0} ne pripada stavci {1}
Daily Work Summary Group,Dnevna grupa sažetka rada
Customizing Forms,Prilagođavanje obrazaca
Cancel Material Visit {0} before cancelling this Warranty Claim,Otkazati materijal Posjetite {0} prije poništavanja ovog zahtjeva za jamstvom
Ignore Pricing Rule,Zanemari pravilo cijena
Food,Hrana
Lost Reason Detail,Detalji izgubljenog razloga
Customer Feedback,Povratne informacije korisnika
Warranty / AMC Details,Pojedinosti o jamstvu / AMC-u
Opening Time,Vrijeme otvaranja
View a list of all the help videos,Pogledajte popis svih videozapisa pomoći
Party Account Currency,Valuta računa stranke
Please select a field to edit from numpad,Odaberite polje za uređivanje iz numeričke tipkovnice
Assessment Plan Criteria,Kriteriji plana procjene
Item Fields,Polja stavke
Manage Sales Partners.,Upravljanje prodajnim partnerima.
"Cannot declare as lost, because Quotation has been made.",Nije moguće proglasiti izgubljenim jer je napravljena ponuda.
"Here you can maintain family details like name and occupation of parent, spouse and children","Ovdje možete održavati obiteljske detalje kao što su ime i zanimanje roditelja, supružnika i djece"
Shipping City,Grad dostave
Update Items,Ažuriraj stavke
Customer Ledger Summary,Sažetak knjige
B Positive,B Pozitivno
Accounting journal entries.,Računovodstveni unosi u dnevnik.
Purchase Order Required,Potrebna je narudžbenica
New Student Batch,Nova studentska serija
Account Type,Vrsta računa
Fuel Type,Vrsta goriva
Email sent to {0},E-pošta poslana na {0}
Change Release Date,Promijeni datum izdavanja
Default BOM for {0} not found,Zadana sastavnica za {0} nije pronađena
HSN-wise-summary of outward supplies,HSN-mudar sažetak vanjskih zaliha
Appointments and Encounters,Sastanci i susreti
Tax Withholding Category,Kategorija zadržavanja poreza
Linked Doctype,Povezani Doctype
Cost of Goods Sold,Troškovi prodane robe
Reading 3,Čitanje 3
Group by Voucher,Grupirajte po vaučeru
Delivered Items To Be Billed,Isporučene stavke za naplatu
Employee Transfer Details,Detalji prijenosa zaposlenika
Company registration numbers for your reference. Tax numbers etc.,Registracijski brojevi tvrtke za svoju referencu. Porezni brojevi itd.
Serial No {0} does not belong to Warehouse {1},Serijski broj {0} ne pripada Warehouseu {1}
Del,del
on,na
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Ovdje možete definirati sve zadatke koje je potrebno provesti za ovaj usjev. Dansko polje koristi se za navođenje dana u kojem je potrebno izvršiti zadatak, 1 je prvi dan itd."
Task,Zadatak
Help HTML,Pomoć HTML-a
Dosage by time interval,Doziranje prema vremenskom intervalu
Batch Description,Opis serije
Please set associated account in Tax Withholding Category {0} against Company {1},Postavite pridruženi račun u kategoriji zadržavanja poreza {0} protiv tvrtke {1}
Needs Analysis,Analiza potreba
Allocated Leaves,Dodijeljeni listovi
Transaction Details,detalji transakcije
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Objavi &quot;Na zalihi&quot; ili &quot;Nije na zalihi&quot; na Hub na temelju zaliha dostupnih u ovom skladištu.
Company name not same,Naziv tvrtke nije isti
Employee Promotion cannot be submitted before Promotion Date ,Promocija zaposlenika ne može se podnijeti prije datuma promocije
Not allowed to update stock transactions older than {0},Nije dopušteno ažuriranje transakcija zalihama starije od {0}
Start date should be less than end date for Item {0},Datum početka treba biti manji od datuma završetka za stavku {0}
Create customer quotes,Izradite ponude korisnika
Buying Settings,Postavke kupnje
Restaurant Menu Item,Stavka izbornika restorana
Calculate Total Score,Izračunajte ukupni rezultat
Issue Type,Vrsta problema
Start date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Datum početka zadatka <b>{0}</b> ne može biti veći od <b>{1}</b> očekivanog datuma završetka <b>{2}</b>
Balance Value,Vrijednost bilance
Groups,grupe
Target warehouse in row {0} must be same as Work Order,Ciljno skladište u retku {0} mora biti jednako radnom nalogu
Serial Number: {0} is already referenced in Sales Invoice: {1},Serijski broj: {0} već je naveden u dostavnici: {1}
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Ako Shopify ne sadrži klijenta u narudžbi, tada će tijekom sinkronizacije narudžbi sustav uzeti u obzir zadanog klijenta za narudžbu"
Shopify Tax Account,Shopify Porezni račun
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Provjerite jeste li doista željeli izbrisati sve transakcije za tu tvrtku. Vaši glavni podaci ostaju onakvi kakvi jesu. Ta se radnja ne može poništiti.
Auto Repeat Detail,Pojedinosti automatskog ponavljanja
Please supply the specified items at the best possible rates,Navedite navedene artikle po najboljoj mogućoj cijeni
{0} in row {1},{0} u retku {1}
Job Card Time Log,Dnevnik radnog vremena
Patient Demographics,Demografija pacijenata
To Folio No,Za Folio br
Cash Flow from Operations,Novčani tijek iz poslovanja
Allow Negative Stock,Dopusti negativnu zalihu
None of the items have any change in quantity or value.,Nijedna stavka nema nikakve promjene u količini ili vrijednosti.
Purchase Date,Datum kupnje
Bank Statement Transaction Settings Item,Stavka postavki transakcije bankovnog izvoda
BOM Stock Report,BOM izvješće o zalihama
Write Off,Otpisati
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Redak {0}: Očekivana vrijednost nakon korisnog vijeka trajanja mora biti manja od bruto iznosa kupnje
Personal Bio,Osobni Bio
Duplicate Entry. Please check Authorization Rule {0},Dvostruki unos. Provjerite Pravilo autorizacije {0}
Employee {0} has already applied for {1} on {2} : ,Zaposlenik {0} već se prijavio za {1} dana {2}:
Standard Selling,Standardna prodaja
Invoiced,fakturirana
User {0} already exists,Korisnik {0} već postoji
Profit and Loss,Dobit i gubitak
Diff Qty,Količina dif
Written Down Value,Zabilježena vrijednost
Opening Balance Equity,Početni kapital
April,travanj
Credit Limit,Kreditno ograničenje
Distribution,Distribucija
debit_note_amt,debit_note_amt
Inspected By,Pregledao
Get Items from Product Bundle,Nabavite stavke iz skupa proizvoda
Employee Benefit Claim,Zahtjev za naknadu zaposlenog
Clearance Date not mentioned,Datum odobrenja nije naveden
Default Receivable Account,Račun zadanih potraživanja
Check if it is a hydroponic unit,Provjerite je li to hidroponska jedinica
Others,Drugi
Patient Appointment,Imenovanje pacijenta
AB Positive,AB Pozitivno
Depreciation Date,Datum amortizacije
Upcoming Calendar Events,Nadolazeći kalendarski događaji
"Appraisals, Expense Claims and Loans","Procjene, potraživanja troškova i zajmovi"
Create Student Batch,Stvorite Studentski paket
Travel Advance Required,Potreban je predujam putovanja
Orders released for production.,Narudžbe izdane za proizvodnju.
Collection Rules,Pravila prikupljanja
Disable CWIP Accounting,Onemogući CWIP računovodstvo
Item Code &gt; Item Group &gt; Brand,Šifra artikla&gt; Grupa proizvoda&gt; Marka
Section Based On,Odjeljak na temelju
{0} already allocated for Employee {1} for period {2} to {3},{0} je već dodijeljen zaposleniku {1} za razdoblje {2} do {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Redak {0}: od vremena do vremena od {1} preklapa se s {2}
Very Hyper,Vrlo hiper
Select the nature of your business.,Odaberite prirodu svog poslovanja.
Please select month and year,Odaberite mjesec i godinu
Student Log,Studentski dnevnik
Enable Checkout,Omogući Checkout
Human Resources,Ljudski resursi
Total Value Difference (Out - In),Razlika ukupne vrijednosti (Out - In)
Actual End Time,Stvarno vrijeme završetka
Setting up Taxes,Postavljanje poreza
Net Cash from Investing,Neto novac od ulaganja
Accounting Ledger,Knjigovodstvena knjiga
Item Group Tree,Stablo grupe stavki
'Total',„Ukupna”
Item 1,Stavka 1
Student Batches,Studentske serije
"Attach .csv file with two columns, one for the old name and one for the new name","Priložite .csv datoteku s dva stupca, jedan za staro ime i jedan za novi naziv"
outstanding_amount,preostali iznos
Susceptible,Osjetljiv
Total (Company Currency),Ukupno (valuta tvrtke)
Website Content,Sadržaj web-lokacije
Driving License Category,Kategorija vozačke dozvole
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Redak # {0}: Očekivani datum isporuke ne može biti prije datuma narudžbe
Make Payment,Izvršiti plaćanje
Party Type is mandatory,Tip stranke je obavezan
The fields From Shareholder and To Shareholder cannot be blank,Polja Od dioničara i dioničara ne mogu biti prazna
Quality Management,Upravljanje kvalitetom
Transfer Material Against,Prijenos materijala protiv
Temporarily on Hold,Privremeno na čekanju
Connect Shopify with ERPNext,Povežite Shopify s ERPNext
Subtitle,Titl
Loam,Ilovača
Scrap Material Cost(Company Currency),Trošak materijala bilješke (valuta tvrtke)
Delivery Note {0} must not be submitted,Napomena o isporuci {0} ne smije biti poslana
Actual Start Date (via Time Sheet),Stvarni datum početka (putem vremenskog lista)
Delivery Date,Datum dostave
Item Shortage Report,Izvješće o manjku stavke
Price Determination,Određivanje cijena
Retail & Wholesale,Maloprodaja i veleprodaja
Twice Daily,Dvaput dnevno
Integrated Tax,Integrirani porez
Deductions or Loss,Odbijanja ili gubitak
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","Fiskalni režim je obvezan, ljubazno odredite fiskalni režim u tvrtki {0}"
Time slots added,Dodani su vremenski termini
Leaves must be allocated in multiples of 0.5,"Lišće se mora rasporediti u višekratnicima od 0,5"
Amount {0} {1} deducted against {2},Iznos {0} {1} odbijen od {2}
Payment Reconciliation Payment,Plaćanje usklađivanja plaćanja
Template of terms or contract.,Predložak uvjeta ili ugovora.
Barcodes,Bar kodovi
Enrollment Date,Datum upisa
Clear Table,Obriši tablicu
Setting up company,Uspostavljanje tvrtke
Free item code is not selected,Kôd besplatne stavke nije odabran
Total Unpaid: {0},Ukupno neplaćeno: {0}
Balance must be,Stanje mora biti
Default Bank Account,Zadani bankovni račun
Creating Fees,Stvaranje naknada
Please select Qty against item {0},Odaberite Količina od stavke {0}
Do not confirm if appointment is created for the same day,Nemojte potvrditi je li sastanak kreiran za isti dan
Repaid/Closed,Otplaćuje / Zatvoreno
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Redak {0}: {1} Serijski brojevi potrebni za stavku {2}. Dali ste {3}.
Gain/Loss,Dobit / Gubitak
Sales Invoice Payment,Plaćanje dostavnice
Payslip,Payslip
HSN,HSN
Request for quotation.,Zahtjev za ponudu.
Procurement Tracker,Praćenje nabave
Type of Proof,Vrsta dokazivanja
Vehicle Date,Datum vozila
Dispatch Settings,Postavke slanja
Dependencies,ovisnosti
Lost,izgubljen
Replace BOM,Zamijenite BOM
Marital Status,Bračni status
Enter retirement age in years,Upisati dob za umirovljenje u godinama
No items listed,Nema stavki na popisu
No data to export,Nema podataka za izvoz
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Odaberite Proslijedi ako želite uključiti saldo prethodne fiskalne godine u ovu fiskalnu godinu
Opening Stock Balance,Početno stanje zaliha
Leave Blocked,Ostavite blokirane
Asset Category is mandatory for Fixed Asset item,Kategorija imovine obavezna je za stavku Fiksni materijal
Required By,Potrebno od
Add to Details,Dodaj u pojedinosti
Inactive Customers,Neaktivni klijenti
Dosage,doza
Starting position from top edge,Početni položaj s gornjeg ruba
Appointment Duration (mins),Trajanje sastanka (min)
Disable,onesposobiti
Purchase Orders to Receive,Nalozi za kupnju za primanje
Productions Orders cannot be raised for:,Narudžbe produkcija ne mogu se podići za:
Ignore Employee Time Overlap,Zanemari preklapanje vremena zaposlenika
Trainings,treninzi
Lost Reasons,Izgubljeni razlozi
A Positive,Pozitivno
Reading 7,Čitanje 7
Serial No,Serijski broj
Required Quantity,Potrebna količina
Parent Location,Lokacija roditelja
Material Requests,Zahtjevi materijala
Material Transferred for Subcontract,Materijal prenesen za podugovaranje
Timing Detail,Detalj vremena
Required On,Obavezno uključeno
Importing {0} of {1},Uvoz {0} od {1}
Job Offer Term,Trajanje ponude za posao
All Contact,Svi kontakti
Project Task,Zadatak projekta
Item Barcode,Stavka Barkod
Stock Levels,Razine zaliha
Height (In Meter),Visina (u metru)
Order Value,Vrijednost narudžbe
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Sve prodajne transakcije mogu biti označene na više ** prodajnih osoba **, tako da možete postaviti i nadzirati ciljeve."
You have already selected items from {0} {1},Već ste odabrali stavke iz {0} {1}
Get Suppliers,Nabavite dobavljače
Contribution (%),Doprinos (%)
Cannot set a received RFQ to No Quote,Nije moguće postaviti primljeni RFQ na No Quote
Create Sales Order,Stvorite prodajni nalog
Account: {0} can only be updated via Stock Transactions,Račun: {0} može se ažurirati samo putem transakcija dionicama
{0} Request for {1},{0} Zahtjev za {1}
Please select a value for {0} quotation_to {1},Odaberite vrijednost za {0} quotation_to {1}
Opportunity Date,Datum mogućnosti
Next Steps,Sljedeći koraci
Training Feedback,Povratne informacije o obuci
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Ukupno blagdana
Fertilizer Name,Naziv gnojiva
House rented dates required for exemption calculation,Datumi iznajmljivanja kuće potrebni za izračun izuzeća
Expiring Memberships,Ističe članstva
Supplier(s),Dobavljač (s)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Postavite nizove brojeva za nazočnost putem postavke&gt; Brojčane serije
To Rename,Za promjenu naziva
Contact Us,Kontaktirajte nas
Cashier,Blagajnik
Hour,Sat
Show Latest Forum Posts,Prikaži najnovije postove foruma
Distributor,Distributer
"Please add the remaining benefits {0} to the application as \
				pro-rata component",Molimo dodajte preostale koristi {0} aplikaciji kao proporcionalnu komponentu
Short Term Loan Account,Kratkoročni kreditni račun
Section Subtotal,Podzbroj odjeljka
Material Request to Purchase Order,Zahtjev za materijal za narudžbenicu
CESS Amount,Iznos CESS
Not authorized to edit frozen Account {0},Nije ovlašten za uređivanje zamrznutog računa {0}
Expected Amount,Očekivani iznos
Default Price List,Zadani cjenik
No Items selected for transfer,Nema stavki odabranih za prijenos
Payment Amount,Iznos plaćanja
Assessment  Manager,Voditelj procjene
Chemical,kemijski
Assessment Reports,Izvješća o procjeni
IV,IV
Academic,Akademski
Item {0} is not setup for Serial Nos. Check Item master,Stavka {0} nije postavljena za serijske brojeve
From State,Od države
Maximum Continuous Days Applicable,Primjenjivi maksimalni kontinuirani dani
Support Team.,Tim podrške.
Please enter company name first,Najprije unesite naziv tvrtke
Import Successful,Uvoz je uspješan
Alternate Number,Alternativni broj
All Departments,Svi odjeli
Make project from a template.,Izradite projekt iz predloška.
Inter Company Order Reference,Interna referenca za narudžbe poduzeća
Work Order {0} must be cancelled before cancelling this Sales Order,Radni nalog {0} mora biti otkazan prije otkazivanja ovog prodajnog naloga
Employee Number,Broj zaposlenika
Avg. Buying Rate,Prosječni. Stopa kupnje
Capacity Planning For (Days),Planiranje kapaciteta za (dane)
From value must be less than to value in row {0},Iz vrijednosti mora biti manje od vrijednosti u retku {0}
Select BOM and Qty for Production,Odaberite BOM i količinu za proizvodnju
Price List Country,Cjenik država
Create Tax Template,Izradi predložak poreza
Numeric Values,Brojčane vrijednosti
Instructions,instrukcije
Blanket Order Item,Po narudžbi
Commission rate cannot be greater than 100,Stopa provizije ne može biti veća od 100
Course Topic,Tema tečaja
This will restrict user access to other employee records,To će ograničiti korisnički pristup drugim zapisima zaposlenika
Please create Customer from Lead {0},Izradite klijenta s Lead {0}
Company Settings,Postavke tvrtke
Vegetarian,Vegetarijanac
"An item exists with same name ({0}), please change the item group name or rename the item","Stavka postoji s istim imenom ({0}), promijenite naziv grupe stavki ili preimenujte stavku"
Hotel Room Type,Vrsta hotelske sobe
Cash Flow,Protok novca
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Plaćanje za {0} {1} ne može biti veće od nepodmirenog iznosa {2}
Achievement,dostignuće
Add Multiple Tasks,Dodaj više zadataka
Item Variant {0} already exists with same attributes,Stavka Variant {0} već postoji s istim atributima
Invoice {0} no longer exists,Faktura {0} više ne postoji
Will also apply for variants unless overrridden,"Primjenjivat će se i za varijante, osim ako su prebrze"
Account,Račun
To Deliver,Dostaviti
Customers Without Any Sales Transactions,Kupci bez prodajnih transakcija
Against Document No,Protiv dokumenta br
Content Masters,Sadržaji majstora sadržaja
Subscription Management,Upravljanje pretplatama
Get customers from,Nabavite klijente
{0} Digest,{0} Sažetak
Reports to,Izvješća
Party Account,Račun stranke
Schedule,Raspored
Please enter ,Molim uđite
Channel Partner,Partner kanala
Invoiced Amount,Fakturirani iznos
From Template,Iz predloška
Subscriptions,Pretplate
Quantity to Make,Količina za izradu
Achieved,Ostvareni
Contribution Amount,Iznos doprinosa
Fiscal Year,Fiskalna godina
Prevent RFQs,Spriječite RFQ-ove
Discount Received Account,Račun primljenih popusta
 (Half Day),(Pola dana)
Email Digest,Digest e-pošte
Crop,Usjev
Profit & Loss,Gubitak profita
Section Order,Redoslijed odjeljaka
Result Printed,Ispis rezultata
Student Group,Studentska grupa
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standardni predložak poreza koji se može primijeniti na sve transakcije kupnje. Ovaj predložak može sadržavati popis poreznih glava i ostalih glava za troškove kao što su &quot;otprema&quot;, &quot;osiguranje&quot;, &quot;rukovanje&quot; itd. *. Ako postoje ** stavke ** koje imaju različite stope, one se moraju dodati u tablicu ** Porez na stavku ** u masteru ** Stavka **. #### Opis stupaca 1. Vrsta izračuna: - Može biti na ** Neto ukupno ** (tj. Zbroj osnovnog iznosa). - ** Na prethodnom redu Ukupan / Iznos ** (za kumulativne poreze ili naknade). Ako odaberete ovu opciju, porez će se primijeniti kao postotak od prethodnog retka (u poreznoj tablici) ili u ukupnom iznosu. - ** Stvarno ** (kao što je spomenuto). 2. Voditelj računa: Knjigovodstvena knjiga prema kojoj će se ovaj porez rezervirati 3. Mjesto troška: Ako je porez / naknada prihod (kao što je otprema) ili trošak, potrebno ga je knjižiti na mjesto troška. 4. Opis: Opis poreza (koji će se ispisati u fakturama / navodnicima). 5. Stopa: Stopa poreza. 6. Iznos: Iznos poreza. 7. Ukupno: ukupni zbroj do ove točke. 8. Upišite redak: Ako je na temelju &quot;Prethodni redak ukupno&quot; možete odabrati broj retka koji će se uzeti kao osnova za ovaj izračun (zadani je prethodni redak). 9. Razmotrite porez ili naknadu za: U ovom odjeljku možete odrediti je li porez / naknada samo za vrednovanje (ne dio ukupnog iznosa) ili samo za ukupni iznos (ne dodaje vrijednost stavci) ili za oboje. 10. Dodajte ili oduzmite: želite li dodati ili odbiti porez."
Connect to Quickbooks,Spojite se na QuickBooks
Root cannot be edited.,Root se ne može uređivati.
Engineer,Inženjer
Row #{0}: Item added,Redak # {0}: stavka je dodana
Eligibility and Details,Podobnost i pojedinosti
Staffing Plan Detail,Detalj o kadrovskom planu
Annual Income,Godišnji prihod
Subscription Section,Odjeljak pretplate
Payment Days,Dani plaćanja
Volunteer information.,Informacije o volonterima.
`Freeze Stocks Older Than` should be smaller than %d days.,&quot;Zamrzavanje zaliha starijih od&quot; trebalo bi biti manje od% d dana.
Select Fiscal Year,Odaberite fiskalnu godinu
Total Amount,Ukupni iznos
Non Profit,Neprofitna
Cancel Invoice After Grace Period,Otkazivanje dostavnice nakon razdoblja mirovanja
Loyalty Points,Bodovi vjernosti
Set Target Warehouse,Postavite ciljno skladište
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.","{0} trenutno ima {1} status dobavljača rezultata, a upit za ovaj dobavljač trebao bi biti izdan s oprezom."
Check-in Date,Datum prijave
Round Off Account,Račun zaokruživanja
Warranty Period (Days),Razdoblje jamstva (dani)
Expense Claim Detail,Pojedinosti o potraživanju troškova
Program: ,Program:
Patient Medical Record,Medicinski karton pacijenta
Action Description,Opis radnje
Variant Based On,Varijanta na temelju
Brake Oil,Ulje kočnice
Create User,Izradite korisnika
Codification Table,Kodifikacijska tablica
Optional,neobavezan
Show Leaves Of All Department Members In Calendar,Pokaži lišće svih članova Odjela u kalendaru
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Nije pronađena prenesena stavka {0} u radnom nalogu {1}, stavka koja nije dodana u unos dionica"
See all open tickets,Pogledajte sve otvorene ulaznice
Operations cannot be left blank,Operacije se ne mogu ostaviti prazne
At least one mode of payment is required for POS invoice.,Za POS račun potrebno je barem jedan način plaćanja.
Guardian1 Email ID,ID e-pošte skrbnika1
Supplier delivers to Customer,Dobavljač dostavlja Kupcu
Appointment Booked,Imenovanje rezervirano
Target Warehouse,Ciljno skladište
Stale Days,Ustajao dani
Row {0}: Credit entry can not be linked with a {1},Redak {0}: unos kredita ne može se povezati s {1}
Healthcare Practitioner {0} not available on {1},Zdravstveni radnik {0} nije dostupan na {1}
All Customer Contact,Svi kontakti s kupcima
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Zadržavanje uzorka temelji se na seriji, provjerite Ima li serijski broj da zadrži uzorak stavke"
Disc,disk
Make Accounting Entry For Every Stock Movement,Napravite unos za svako kretanje dionica
Check-out Date,Datum odjave
Fertilizer,gnojivo
Default Tax Withholding Config,Zadana konfiguracija za uskraćivanje poreza
Total Produced Qty,Ukupna proizvedena količina
Leave Period,Razdoblje napuštanja
Payment request {0} created,Napravljen je zahtjev za plaćanje {0}
UOM Conversion in Hours,UOM konverzija u satima
Avg. Selling Price List Rate,Prosječni. Cijena prodajne cijene
Generate Material Requests (MRP) and Work Orders.,Generirajte zahtjeve materijala (MRP) i radne naloge.
Account Balance,Stanje na računu
Periodicity,Periodičnost
Medical Record,Medicinski zapis
Execution,Izvršenje
Valuation Method,Metoda vrednovanja
{0} against Sales Invoice {1},{0} protiv dostavnice za prodaju {1}
Pass,Proći
Sales Partner Target,Ciljana prodajnog partnera
Referring Practitioner,Stručnjak za upućivanje
Expenses Included In Asset Valuation,Rashodi su uključeni u procjenu imovine
Publishing,Objavljivanje
Sales Orders Detail,Pojedinosti prodajnih naloga
Total Deduction,Ukupno oduzimanje
EMI,EMI
Set prefix for numbering series on your transactions,Postavite prefiks za serije brojeva na svojim transakcijama
Journal Entries {0} are un-linked,Unosi dnevnika {0} nisu povezani
Other Reports,Druga izvješća
All items have already been invoiced,Sve su stavke već fakturirane
Asset scrapped via Journal Entry {0},Imovina ukinuta putem unosa dnevnika {0}
Prefered Email,Preferirana e-pošta
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",Nije moguće promijeniti način procjene jer postoje transakcije s nekim stavkama koje nemaju vlastitu metodu procjene
Section Name,Naziv odjeljka
Packed Item,Pakirana stavka
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Za iznos od {2} potreban je debitni ili kreditni iznos
Submitting Salary Slips...,Slanje popisa plaća ...
No Action,Nema akcije
"Budget cannot be assigned against {0}, as it's not an Income or Expense account",Proračun se ne može dodijeliti prema {0} jer nije račun prihoda ili rashoda
Masters and Accounts,Majstori i računi
Responsible Individual,Odgovorna osoba
Total Weightage of all Assessment Criteria must be 100%,Ukupna težina svih kriterija procjene mora biti 100%
An error occurred during the update process,Došlo je do pogreške tijekom postupka ažuriranja
Customer Name,Ime kupca
Amount should not be less than zero.,Iznos ne smije biti manji od nule.
Average Age,Prosječna dob
Show Price,Prikaži cijenu
Program Enrollment Tool Student,Alat za prijavu programa za studente
Shipping State,Država isporuke
Please set Company,Postavite tvrtku
Balance (Dr - Cr),Stanje (Dr - Cr)
Supply Type,Vrsta napajanja
Create documents for sample collection,Izradite dokumente za prikupljanje uzoraka
Close Opportunity After Days,Zatvori priliku nakon dana
Ref Code,Ref Code
Widowed,udovički
ERPNext Company,Tvrtka ERPNext
Leave blank to use the standard Delivery Note format,Ostavite prazno za korištenje standardnog oblika isporuke
Accepted Qty,Prihvaćeno Kol
Apply Rule On Brand,Primijeni pravilo na robnu marku
Show Availability Status,Prikaži status dostupnosti
Import Successfull,Uspješan uvoz
Soil Texture,Tekstura tla
No of Visits,Broj posjeta
Qualitative Feedback,Kvalitativne povratne informacije
Response and Resoution Time,Vrijeme odgovora i rezultati
Expiring On,Ističe
Scorecard Actions,Akcije Scorecard
Stock Adjustment,Prilagodba zaliha
Health Care,Zdravstvena zaštita
No of Seats,Broj sjedala
Delete all the Transactions for this Company,Izbrišite sve transakcije za ovu tvrtku
Lead Details,Detalji o vodstvu
Default Service Level Agreement,Uobičajeni ugovor o razini usluge
