DocType: Accounting Period,Period Name,Όνομα περιόδου
DocType: Stock Settings,Show Barcode Field,Εμφάνιση Barcode πεδίο
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Send Supplier Emails,Αποστολή Emails Προμηθευτής
DocType: Asset Movement,ACC-ASM-.YYYY.-,ACC-ASM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Μισθός ήδη υποβάλλονται σε επεξεργασία για χρονικό διάστημα από {0} και {1}, Αφήστε περίοδος εφαρμογής δεν μπορεί να είναι μεταξύ αυτού του εύρους ημερομηνιών."
DocType: Fiscal Year,Auto Created,Δημιουργήθηκε αυτόματα
apps/erpnext/erpnext/hr/doctype/employee_onboarding/employee_onboarding.py,Submit this to create the Employee record,Υποβάλετε αυτό για να δημιουργήσετε την εγγραφή του υπαλλήλου
DocType: Item Default,Item Default,Προεπιλογή στοιχείου
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Intra-State Supplies,Ενδοκράτους
DocType: Chapter Member,Leave Reason,Αφήστε τον λόγο
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,IBAN is not valid,Το IBAN δεν είναι έγκυρο
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Invoice {0} no longer exists,Το τιμολόγιο {0} δεν υπάρχει πλέον
DocType: Guardian Interest,Guardian Interest,Guardian Ενδιαφέροντος
DocType: Volunteer,Availability,Διαθεσιμότητα
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.py,Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Αφήστε την εφαρμογή συνδέεται με την άδεια {0}. Αφήστε την εφαρμογή δεν μπορεί να οριστεί ως άδεια χωρίς αμοιβή
apps/erpnext/erpnext/config/retail.py,Setup default values for POS Invoices,Ρυθμίστε τις προεπιλεγμένες τιμές για τα τιμολόγια POS
DocType: Employee Training,Training,Εκπαίδευση
DocType: Project,Time to send,Ώρα για αποστολή
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,This page keeps track of your items in which buyers have showed some interest.,Αυτή η σελίδα παρακολουθεί τα αντικείμενα στα οποία οι αγοραστές έχουν δείξει ενδιαφέρον.
DocType: Timesheet,Employee Detail,Λεπτομέρεια των εργαζομένων
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.py,Set warehouse for Procedure {0} ,Ορίστε αποθήκη για τη διαδικασία {0}
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,Όνομα ταυτότητας ηλεκτρονικού ταχυδρομείου Guardian1
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Error: {0} is mandatory field,Σφάλμα: Το πεδίο {0} είναι υποχρεωτικό πεδίο
DocType: Lab Prescription,Test Code,Κωδικός δοκιμής
apps/erpnext/erpnext/config/website.py,Settings for website homepage,Ρυθμίσεις για την ιστοσελίδα αρχική σελίδα
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} is on hold till {1},{0} είναι σε αναμονή μέχρι την {1}
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,RFQs are not allowed for {0} due to a scorecard standing of {1},Οι RFQ δεν επιτρέπονται για {0} λόγω μίας κάρτας αποτελεσμάτων {1}
apps/erpnext/erpnext/templates/pages/order.html,Make Purchase Invoice,Δημιούργησε τιμολόγιο αγοράς
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Used Leaves,Χρησιμοποιημένα φύλλα
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,{0} Coupon used are {1}. Allowed quantity is exhausted,{0} Το κουπόνι που χρησιμοποιείται είναι {1}. Η επιτρεπόμενη ποσότητα έχει εξαντληθεί
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Do you want to submit the material request,Θέλετε να υποβάλετε το αίτημα υλικού
DocType: Job Offer,Awaiting Response,Αναμονή Απάντησης
DocType: Course Schedule,EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Above,Παραπάνω
DocType: Support Search Source,Link Options,Επιλογές συνδέσμου
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Total Amount {0},Συνολικό ποσό {0}
apps/erpnext/erpnext/controllers/item_variant.py,Invalid attribute {0} {1},Μη έγκυρο χαρακτηριστικό {0} {1}
DocType: Supplier,Mention if non-standard payable account,Αναφέρετε εάν ο μη τυποποιημένος πληρωτέος λογαριασμός
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.py,Please select the assessment group other than 'All Assessment Groups',"Παρακαλώ επιλέξτε την ομάδα αξιολόγησης, εκτός από τις &quot;Όλες οι ομάδες αξιολόγησης&quot;"
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Row {0}: Cost center is required for an item {1},Σειρά {0}: Απαιτείται κέντρο κόστους για ένα στοιχείο {1}
DocType: Training Event Employee,Optional,Προαιρετικός
DocType: Salary Slip,Earning & Deduction,Κέρδος και έκπτωση
DocType: Agriculture Analysis Criteria,Water Analysis,Ανάλυση Νερού
DocType: Sales Order,Skip Delivery Note,Παράλειψη σημείωσης παράδοσης
DocType: Price List,Price Not UOM Dependent,Τιμή δεν εξαρτάται από UOM
apps/erpnext/erpnext/stock/doctype/item/item.js,{0} variants created.,{0} δημιουργήθηκαν παραλλαγές.
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,A Default Service Level Agreement already exists.,Υπάρχει ήδη συμβατική συμφωνία επιπέδου υπηρεσιών.
DocType: Quality Objective,Quality Objective,Στόχος ποιότητας
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Optional. This setting will be used to filter in various transactions.,Προαιρετικό. Αυτή η ρύθμιση θα χρησιμοποιηθεί για το φιλτράρισμα σε διάφορες συναλλαγές.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Valuation Rate is not allowed,Δεν επιτρέπεται αρνητική τιμή αποτίμησης
DocType: Holiday List,Weekly Off,Εβδομαδιαίες αργίες
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.js,Reload Linked Analysis,Ανανέωση συνδεδεμένης ανάλυσης
DocType: Fiscal Year,"For e.g. 2012, 2012-13","Για παράδειγμα το 2012, 2012-13"
DocType: Purchase Order,Purchase Order Pricing Rule,Κανόνες τιμολόγησης παραγγελίας
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Provisional Profit / Loss (Credit),Προσωρινά κέρδη / ζημιές (πίστωση)
DocType: Sales Invoice,Return Against Sales Invoice,Επιστροφή Ενάντια Τιμολόγιο Πώλησης
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 5,Στοιχείο 5
DocType: Serial No,Creation Time,Χρόνος δημιουργίας
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Total Revenue,Σύνολο εσόδων
DocType: Patient,Other Risk Factors,Άλλοι παράγοντες κινδύνου
DocType: Sales Invoice,Product Bundle Help,Προϊόν Βοήθεια Bundle
,Monthly Attendance Sheet,Μηνιαίο δελτίο συμμετοχής
DocType: Homepage Section Card,Subtitle,Υπότιτλος
apps/erpnext/erpnext/hr/report/employee_advance_summary/employee_advance_summary.py,No record found,Δεν βρέθηκαν εγγραφές
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of Scrapped Asset,Το κόστος των αποσυρόμενων Ενεργητικού
DocType: Employee Checkin,OUT,ΕΞΩ
apps/erpnext/erpnext/controllers/stock_controller.py,{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Tο κέντρο κόστους είναι υποχρεωτικό για το είδος {2}
DocType: Vehicle,Policy No,Πολιτική Όχι
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get Items from Product Bundle,Πάρετε τα στοιχεία από Bundle Προϊόν
DocType: Asset,Straight Line,Ευθεία
DocType: Project User,Project User,Ο χρήστης του έργου
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,Σπλιτ
DocType: Tally Migration,Master Data,Βασικά δεδομένα
DocType: Employee Transfer,Re-allocate Leaves,Ανακατανομή των φύλλων
DocType: GL Entry,Is Advance,Είναι προκαταβολή
apps/erpnext/erpnext/config/hr.py,Employee Lifecycle,Κύκλος ζωής του εργαζόμενου
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Attendance From Date and Attendance To Date is mandatory,Η συμμετοχή από και μέχρι είναι απαραίτητη
apps/erpnext/erpnext/controllers/buying_controller.py,Please enter 'Is Subcontracted' as Yes or No,Παρακαλώ εισάγετε τιμή στο πεδίο 'υπεργολαβία' ναι ή όχι
DocType: Item,Default Purchase Unit of Measure,Προεπιλεγμένη μονάδα αγοράς μέτρου
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Τελευταία ημερομηνία επικοινωνίας
DocType: Clinical Procedure Item,Clinical Procedure Item,Στοιχείο κλινικής διαδικασίας
DocType: Sales Team,Contact No.,Αριθμός επαφής
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Billing Address is same as Shipping Address,Η διεύθυνση χρέωσης είναι ίδια με τη διεύθυνση αποστολής
DocType: Bank Reconciliation,Payment Entries,Ενδείξεις πληρωμής
DocType: Location,Latitude,Γεωγραφικό πλάτος
DocType: Work Order,Scrap Warehouse,Άχρηστα Αποθήκη
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Απαιτείται αποθήκη στη σειρά αριθ. {0}, ρυθμίστε την προεπιλεγμένη αποθήκη για το στοιχείο {1} για την εταιρεία {2}"
DocType: Work Order,Check if material transfer entry is not required,Ελέγξτε αν δεν απαιτείται εγγραφή μεταφοράς υλικού
DocType: Program Enrollment Tool,Get Students From,Πάρτε φοιτητές από
apps/erpnext/erpnext/config/help.py,Publish Items on Website,Δημοσιεύστε Αντικείμενα στην ιστοσελίδα
apps/erpnext/erpnext/utilities/activation.py,Group your students in batches,Ομάδα μαθητές σας σε παρτίδες
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be greater than unadjusted amount,Το κατανεμηθέν ποσό δεν μπορεί να είναι μεγαλύτερο από το μη διορθωμένο ποσό
DocType: Authorization Rule,Authorization Rule,Κανόνας εξουσιοδότησης
apps/erpnext/erpnext/projects/doctype/project/project.py,Status must be Cancelled or Completed,Η κατάσταση πρέπει να ακυρωθεί ή να ολοκληρωθεί
DocType: Sales Invoice,Terms and Conditions Details,Λεπτομέρειες όρων και προϋποθέσεων
DocType: Sales Invoice,Sales Taxes and Charges Template,Φόρους επί των πωλήσεων και Χρεώσεις Πρότυπο
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Total (Credit),Συνολική (πίστωση)
DocType: Repayment Schedule,Payment Date,Ημερομηνία πληρωμής
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch Qty,Νέα ποσότητα παρτίδας
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Apparel & Accessories,Ένδυση & αξεσουάρ
apps/erpnext/erpnext/controllers/accounts_controller.py,Item quantity can not be zero,Η ποσότητα του στοιχείου δεν μπορεί να είναι μηδέν
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve weighted score function. Make sure the formula is valid.,Δεν ήταν δυνατή η επίλυση της σταθμισμένης λειτουργίας βαθμολογίας. Βεβαιωθείτε ότι ο τύπος είναι έγκυρος.
DocType: Invoice Discounting,Loan Period (Days),Περίοδος δανείου (ημέρες)
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Purchase Order Items not received on time,Στοιχεία παραγγελίας που δεν παραλήφθηκαν εγκαίρως
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Number of Order,Αριθμός παραγγελίας
DocType: Item Group,HTML / Banner that will show on the top of product list.,ΗΤΜΛ / banner που θα εμφανιστούν στην κορυφή της λίστας των προϊόντων.
DocType: Shipping Rule,Specify conditions to calculate shipping amount,Καθορίστε τις συνθήκες για τον υπολογισμό του κόστους αποστολής
DocType: Program Enrollment,Institute's Bus,Bus του Ινστιτούτου
DocType: Accounts Settings,Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Ο ρόλος επιτρέπεται να καθορίζει παγωμένους λογαριασμούς & να επεξεργάζετε παγωμένες καταχωρήσεις
DocType: Supplier Scorecard Scoring Variable,Path,Μονοπάτι
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Cannot convert Cost Center to ledger as it has child nodes,"Δεν είναι δυνατή η μετατροπή του κέντρου κόστους σε καθολικό, όπως έχει κόμβους-παιδιά"
DocType: Production Plan,Total Planned Qty,Συνολική προγραμματισμένη ποσότητα
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Transactions already retreived from the statement,Οι συναλλαγές έχουν ήδη ανατραπεί από τη δήλωση
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Opening Value,Αξία ανοίγματος
DocType: Salary Component,Formula,Τύπος
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Serial #,Σειριακός αριθμός #
DocType: Material Request Plan Item,Required Quantity,Απαιτούμενη ποσότητα
DocType: Lab Test Template,Lab Test Template,Πρότυπο δοκιμής εργαστηρίου
apps/erpnext/erpnext/accounts/doctype/accounting_period/accounting_period.py,Accounting Period overlaps with {0},Η περίοδος λογιστικής επικαλύπτεται με {0}
apps/erpnext/erpnext/setup/doctype/company/company.py,Sales Account,Λογαριασμός πωλήσεων
DocType: Purchase Invoice Item,Total Weight,Συνολικό βάρος
DocType: Pick List Item,Pick List Item,Επιλογή στοιχείου λίστας
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Commission on Sales,Προμήθεια επί των πωλήσεων
DocType: Job Offer Term,Value / Description,Αξία / Περιγραφή
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Σειρά # {0}: Asset {1} δεν μπορεί να υποβληθεί, είναι ήδη {2}"
DocType: Tax Rule,Billing Country,Χρέωση Χώρα
DocType: Purchase Order Item,Expected Delivery Date,Αναμενόμενη ημερομηνία παράδοσης
DocType: Restaurant Order Entry,Restaurant Order Entry,Είσοδος Παραγγελίας Εστιατορίου
apps/erpnext/erpnext/accounts/general_ledger.py,Debit and Credit not equal for {0} #{1}. Difference is {2}.,Χρεωστικών και Πιστωτικών δεν είναι ίση για {0} # {1}. Η διαφορά είναι {2}.
DocType: Clinical Procedure Item,Invoice Separately as Consumables,Τιμολόγιο χωριστά ως αναλώσιμα
DocType: Budget,Control Action,Δράση ελέγχου
DocType: Asset Maintenance Task,Assign To Name,Αναθέστε στο όνομα
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Entertainment Expenses,Δαπάνες ψυχαγωγίας
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open Item {0},Ανοικτή Θέση {0}
DocType: Asset Finance Book,Written Down Value,Γραπτή τιμή κάτω
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Sales Invoice {0} must be cancelled before cancelling this Sales Order,Το τιμολόγιο πώλησης {0} πρέπει να ακυρωθεί πριν από την ακύρωση αυτής της παραγγελίας πώλησης
DocType: Clinical Procedure,Age,Ηλικία
DocType: Sales Invoice Timesheet,Billing Amount,Ποσό Χρέωσης
DocType: Cash Flow Mapping,Select Maximum Of 1,Επιλέξτε Μέγιστο 1
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,Invalid quantity specified for item {0}. Quantity should be greater than 0.,Ορίστηκε μη έγκυρη ποσότητα για το είδος {0}. Η ποσότητα αυτή θα πρέπει να είναι μεγαλύτερη από 0.
DocType: Company,Default Employee Advance Account,Προκαθορισμένος λογαριασμός προκαταβολών προσωπικού
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Search Item (Ctrl + i),Στοιχείο αναζήτησης (Ctrl + i)
DocType: C-Form,ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be deleted,Ο λογαριασμός με υπάρχουσα συναλλαγή δεν μπορεί να διαγραφεί
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Why do think this Item should be removed?,Γιατί πιστεύω ότι αυτό το στοιχείο θα πρέπει να καταργηθεί;
DocType: Vehicle,Last Carbon Check,Τελευταία Carbon Έλεγχος
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Legal Expenses,Νομικές δαπάνες
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select quantity on row ,Παρακαλούμε επιλέξτε ποσότητα σε σειρά
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Work Order {0}: job card not found for the operation {1},Παραγγελία εργασίας {0}: δεν βρέθηκε κάρτα εργασίας για τη λειτουργία {1}
DocType: Purchase Invoice,Posting Time,Ώρα αποστολής
DocType: Timesheet,% Amount Billed,Ποσό που χρεώνεται%
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Telephone Expenses,Δαπάνες τηλεφώνου
DocType: Sales Partner,Logo,Λογότυπο
DocType: Naming Series,Check this if you want to force the user to select a series before saving. There will be no default if you check this.,"Ελέγξτε αυτό, αν θέλετε να αναγκάσει τον χρήστη να επιλέξει μια σειρά πριν από την αποθήκευση. Δεν θα υπάρξει καμία προεπιλογή αν επιλέξετε αυτό."
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Serial No {0},Δεν βρέθηκε είδος με σειριακός αριθμός {0}
DocType: Email Digest,Open Notifications,Ανοίξτε Ειδοποιήσεις
DocType: Payment Entry,Difference Amount (Company Currency),Διαφορά Ποσό (Εταιρεία νομίσματος)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Direct Expenses,Άμεσες δαπάνες
DocType: Pricing Rule Detail,Child Docname,Παιδικό Έγγραφο
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,New Customer Revenue,Νέα έσοδα πελατών
apps/erpnext/erpnext/config/support.py,Service Level.,Επίπεδο υπηρεσιών.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Travel Expenses,Έξοδα μετακίνησης
DocType: Maintenance Visit,Breakdown,Ανάλυση
DocType: Travel Itinerary,Vegetarian,Χορτοφάγος
DocType: Patient Encounter,Encounter Date,Ημερομηνία συνάντησης
DocType: Work Order,Update Consumed Material Cost In Project,Ενημέρωση κόστους κατανάλωσης υλικού στο έργο
apps/erpnext/erpnext/controllers/accounts_controller.py,Account: {0} with currency: {1} can not be selected,Ο λογαριασμός: {0} με το νόμισμα: {1} δεν μπορεί να επιλεγεί
DocType: Bank Statement Transaction Settings Item,Bank Data,Στοιχεία τράπεζας
DocType: Purchase Receipt Item,Sample Quantity,Ποσότητα δείγματος
DocType: Bank Guarantee,Name of Beneficiary,Όνομα δικαιούχου
DocType: Manufacturing Settings,"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Ενημέρωση κόστους BOM αυτόματα μέσω Scheduler, με βάση το τελευταίο ποσοστό αποτίμησης / τιμοκαταλόγου / τελευταίο ποσοστό αγοράς πρώτων υλών."
DocType: Supplier,SUP-.YYYY.-,SUP-.YYYY.-
,BOM Items and Scraps,Είδη και αποκόμματα BOM
DocType: Bank Reconciliation Detail,Cheque Date,Ημερομηνία επιταγής
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} does not belong to company: {2},Ο λογαριασμός {0}: γονικός λογαριασμός {1} δεν ανήκει στην εταιρεία: {2}
apps/erpnext/erpnext/setup/doctype/company/company.js,Successfully deleted all transactions related to this company!,Διαγράφηκε επιτυχώς όλες τις συναλλαγές που σχετίζονται με αυτή την εταιρεία!
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,As on Date,Ως ημερομηνία για
DocType: Additional Salary,HR,HR
DocType: Course Enrollment,Enrollment Date,εγγραφή Ημερομηνία
DocType: Healthcare Settings,Out Patient SMS Alerts,Ειδοποιήσεις SMS ασθενούς
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Probation,Επιτήρηση
DocType: Company,Sales Settings,Ρυθμίσεις πωλήσεων
DocType: Program Enrollment Tool,New Academic Year,Νέο Ακαδημαϊκό Έτος
DocType: Supplier Scorecard,Load All Criteria,Φορτώστε όλα τα κριτήρια
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Return / Credit Note,Επιστροφή / Πιστωτική Σημείωση
DocType: Stock Settings,Auto insert Price List rate if missing,Αυτόματη ένθετο ποσοστό Τιμοκατάλογος αν λείπει
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Paid Amount,Συνολικό καταβεβλημένο ποσό
DocType: GST Settings,B2C Limit,Όριο B2C
DocType: Job Card,Transferred Qty,Μεταφερόμενη ποσότητα
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,The selected payment entry should be linked with a creditor bank transaction,Η επιλεγμένη καταχώρηση πληρωμής θα πρέπει να συνδέεται με συναλλαγή τραπεζικής πιστωτή
DocType: POS Closing Voucher,Amount in Custody,Ποσό στην επιμέλεια
apps/erpnext/erpnext/config/help.py,Navigating,Πλοήγηση
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.js,Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Η πολιτική κωδικού πρόσβασης δεν μπορεί να περιέχει κενά ή ταυτόχρονα παύλες. Η μορφή θα αναδιαρθρωθεί αυτόματα
DocType: Quotation Item,Planning,Προγραμματισμός
DocType: Salary Component,Depends on Payment Days,Εξαρτάται από τις ημέρες πληρωμής
DocType: Contract,Signee,Signee
DocType: Share Balance,Issued,Εκδόθηκε
DocType: Loan,Repayment Start Date,Ημερομηνία έναρξης επιστροφής
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Student Activity,Δραστηριότητα σπουδαστών
apps/erpnext/erpnext/accounts/report/purchase_register/purchase_register.py,Supplier Id,ID προμηθευτή
DocType: Payment Request,Payment Gateway Details,Πληρωμή Gateway Λεπτομέρειες
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Quantity should be greater than 0,Ποσότητα θα πρέπει να είναι μεγαλύτερη από 0
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,Price or product discount slabs are required,Απαιτούνται πλακίδια τιμών ή προϊόντων
DocType: Journal Entry,Cash Entry,Καταχώρηση μετρητών
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,Child nodes can be only created under 'Group' type nodes,κόμβοι παιδί μπορεί να δημιουργηθεί μόνο με κόμβους τύπου «Όμιλος»
DocType: Attendance Request,Half Day Date,Μισή Μέρα Ημερομηνία
DocType: Academic Year,Academic Year Name,Όνομα Ακαδημαϊκού Έτους
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} not allowed to transact with {1}. Please change the Company.,Δεν επιτρέπεται  {0} συναλλαγή με {1}. Κάντε αλλαγή Εταιρίας
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_sub_category/employee_tax_exemption_sub_category.py,Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Το μέγιστο ποσό απαλλαγής δεν μπορεί να είναι μεγαλύτερο από το μέγιστο ποσό απαλλαγής {0} της φορολογικής απαλλαγής κατηγορίας {1}
DocType: Sales Partner,Contact Desc,Περιγραφή επαφής
DocType: Email Digest,Send regular summary reports via Email.,"Αποστολή τακτικών συνοπτικών εκθέσεων, μέσω email."
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Please set default account in Expense Claim Type {0},Παρακαλούμε να ορίσετε προεπιλεγμένο λογαριασμό στο Εξόδων αξίωση Τύπος {0}
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Available Leaves,Διαθέσιμα φύλλα
DocType: Assessment Result,Student Name,ΟΝΟΜΑ ΜΑΘΗΤΗ
DocType: Hub Tracked Item,Item Manager,Θέση Διευθυντή
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Payroll Payable,Μισθοδοσία Πληρωτέο
DocType: GSTR 3B Report,April,Απρίλιος
DocType: Plant Analysis,Collection Datetime,Ώρα συλλογής
DocType: Asset Repair,ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
DocType: Work Order,Total Operating Cost,Συνολικό κόστος λειτουργίας
apps/erpnext/erpnext/controllers/selling_controller.py,Note: Item {0} entered multiple times,Σημείωση : το σημείο {0} εισήχθηκε πολλαπλές φορές
apps/erpnext/erpnext/config/buying.py,All Contacts.,Όλες οι επαφές.
DocType: Accounting Period,Closed Documents,Κλειστά έγγραφα
DocType: Healthcare Settings,Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Διαχειριστείτε την υποβολή και την αυτόματη ακύρωση του τιμολογίου για την συνάντηση ασθενών
apps/erpnext/erpnext/config/website.py,Add cards or custom sections on homepage,Προσθέστε κάρτες ή προσαρμοσμένες ενότητες στην αρχική σελίδα
DocType: Patient Appointment,Referring Practitioner,Αναφερόμενος ιατρός
apps/erpnext/erpnext/public/js/setup_wizard.js,Company Abbreviation,Συντομογραφία εταιρείας
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} does not exist,Ο χρήστης {0} δεν υπάρχει
DocType: Payment Term,Day(s) after invoice date,Ημέρα (ες) μετά την ημερομηνία τιμολόγησης
apps/erpnext/erpnext/setup/doctype/company/company.js,Date of Commencement should be greater than Date of Incorporation,Η ημερομηνία έναρξης θα πρέπει να είναι μεγαλύτερη από την ημερομηνία της ενσωμάτωσης
DocType: Contract,Signed On,Έχει ενεργοποιηθεί
DocType: Bank Account,Party Type,Τύπος συμβαλλόμενου
DocType: Discounted Invoice,Discounted Invoice,Εκπτωτικό Τιμολόγιο
DocType: Payment Schedule,Payment Schedule,ΠΡΟΓΡΑΜΜΑ ΠΛΗΡΩΜΩΝ
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,No Employee found for the given employee field value. '{}': {},Κανένας υπάλληλος δεν βρέθηκε για την δεδομένη αξία τομέα των εργαζομένων. &#39;{}&#39;: {}
DocType: Item Attribute Value,Abbreviation,Συντομογραφία
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry already exists,Έναρξη πληρωμής υπάρχει ήδη
DocType: Course Content,Quiz,Κουίζ
DocType: Subscription,Trial Period End Date,Ημερομηνία λήξης της δοκιμαστικής περιόδου
apps/erpnext/erpnext/setup/doctype/authorization_control/authorization_control.py,Not authroized since {0} exceeds limits,Δεν επιτρέπεται δεδομένου ότι το {0} υπερβαίνει τα όρια
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Start entering data from here : ,Αρχίστε να εισάγετε δεδομένα από εδώ:
DocType: Serial No,Asset Status,Κατάσταση περιουσιακών στοιχείων
