DocType: Accounting Period,Period Name,Název období
DocType: Naming Series,Select Transaction,Vybrat Transaction
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Please enter Approving Role or Approving User,Zadejte Schvalování role nebo Schvalování Uživatel
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,Service Level Agreement with Entity Type {0} and Entity {1} already exists.,Dohoda o úrovni služeb s typem entity {0} a entitou {1} již existuje.
DocType: Journal Entry,Write Off Entry,Odepsat Vstup
DocType: BOM,Rate Of Materials Based On,Ocenění materiálů na bázi
DocType: Education Settings,"If enabled, field Academic Term will be Mandatory in Program Enrollment Tool.","Je-li zapnuto, pole Akademický termín bude povinné v nástroji pro zápis programu."
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Values of exempt, nil rated and non-GST inward supplies","Hodnoty osvobozených, nulových a nemateriálních vstupních dodávek"
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,Uncheck all,Zrušte všechny
DocType: Purchase Taxes and Charges,On Item Quantity,Množství položky
DocType: POS Profile,Terms and Conditions,Podmínky
DocType: Asset,Booked Fixed Asset,Rezervovaný majetek
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,To Date should be within the Fiscal Year. Assuming To Date = {0},"Chcete-li data by měla být v rámci fiskálního roku. Za předpokladu, že To Date = {0}"
DocType: Employee,"Here you can maintain height, weight, allergies, medical concerns etc","Zde můžete upravovat svou výšku, váhu, alergie, zdravotní problémy atd"
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Creating Accounts...,Vytváření účtů ...
DocType: Leave Block List,Applies to Company,Platí pro firmy
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot cancel because submitted Stock Entry {0} exists,"Nelze zrušit, protože existuje skladový záznam {0}"
DocType: Loan,Disbursement Date,výplata Datum
DocType: Service Level Agreement,Agreement Details,Podrobnosti dohody
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,Start Date of Agreement can't be greater than or equal to End Date.,Datum zahájení dohody nesmí být větší nebo rovno Datum ukončení.
DocType: BOM Update Tool,Update latest price in all BOMs,Aktualizujte nejnovější cenu všech kusovníků
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Done,Hotový
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js,Medical Record,Zdravotní záznam
DocType: Vehicle,Vehicle,Vozidlo
DocType: Purchase Invoice,In Words,Slovy
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,To date needs to be before from date,K dnešnímu dni musí být před datem
apps/erpnext/erpnext/accounts/doctype/bank_guarantee/bank_guarantee.py,Enter the name of the bank or lending institution before submittting.,Před zasláním zadejte název banky nebo instituce poskytující úvěr.
apps/erpnext/erpnext/hr/doctype/training_result/training_result.py,{0} must be submitted,{0} musí být odesláno
DocType: POS Profile,Item Groups,Položka Skupiny
DocType: Company,Standard Working Hours,Standardní pracovní doba
DocType: Sales Order Item,For Production,Pro Výrobu
DocType: Payment Request,payment_url,payment_url
DocType: Exchange Rate Revaluation Account,Balance In Account Currency,Zůstatek v měně účtu
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please add a Temporary Opening account in Chart of Accounts,Přidejte účet dočasného otevírání do Účtovacího plánu
DocType: Customer,Customer Primary Contact,Primární kontakt zákazníka
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Opp/Lead %,Opp / Olovo%
DocType: Bank Guarantee,Bank Account Info,Informace o bankovním účtu
DocType: Bank Guarantee,Bank Guarantee Type,Typ bankovní záruky
apps/erpnext/erpnext/accounts/doctype/bank_account/test_bank_account.py,BankAccount.validate_iban() failed for valid IBAN {},BankAccount.validate_iban () selhala pro platný IBAN {}
DocType: Payment Schedule,Invoice Portion,Fakturační část
,Asset Depreciations and Balances,Asset Odpisy a zůstatků
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} transferred from {2} to {3},Množství {0} {1} převedena z {2} na {3}
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0} nemá plán zdravotnických pracovníků. Přidejte jej do programu Master of Health Practitioner
DocType: Sales Invoice,Get Advances Received,Získat přijaté zálohy
DocType: Email Digest,Add/Remove Recipients,Přidat / Odebrat příjemce
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.js,"To set this Fiscal Year as Default, click on 'Set as Default'","Chcete-li nastavit tento fiskální rok jako výchozí, klikněte na tlačítko ""Nastavit jako výchozí"""
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Amount of TDS Deducted,Částka odečtená z TDS
DocType: Production Plan,Include Subcontracted Items,Zahrnout subdodávané položky
apps/erpnext/erpnext/projects/doctype/project/project.py,Join,Připojit
apps/erpnext/erpnext/stock/report/stock_projected_qty/stock_projected_qty.py,Shortage Qty,Nedostatek Množství
DocType: Purchase Invoice,Input Service Distributor,Distributor vstupních služeb
apps/erpnext/erpnext/stock/doctype/item/item.py,Item variant {0} exists with same attributes,Bod varianta {0} existuje s stejné atributy
DocType: Loan,Repay from Salary,Splatit z platu
DocType: Exotel Settings,API Token,API Token
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Requesting payment against {0} {1} for amount {2},Požadovala vyplacení proti {0} {1} na částku {2}
DocType: Additional Salary,Salary Slip,Výplatní páska
apps/erpnext/erpnext/support/doctype/issue/issue.py,Allow Resetting Service Level Agreement from Support Settings.,Povolit resetování dohody o úrovni služeb z nastavení podpory.
DocType: Lead,Lost Quotation,ztratil Citace
apps/erpnext/erpnext/utilities/user_progress.py,Student Batches,Studentské dávky
DocType: Pricing Rule,Margin Rate or Amount,Margin sazbou nebo pevnou částkou
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,'To Date' is required,"""Datum DO"" je povinné"
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Actual Qty: Quantity available in the warehouse.,Skutečné množ.: Množství k dispozici ve skladu.
DocType: Packing Slip,"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Generování balení pásky pro obaly mají být dodány. Používá se k oznámit číslo balíku, obsah balení a jeho hmotnost."
DocType: Sales Invoice Item,Sales Order Item,Prodejní objednávky Item
DocType: Salary Slip,Payment Days,Platební dny
DocType: Stock Settings,Convert Item Description to Clean HTML,Převést položku Popis k vyčištění HTML
DocType: Patient,Dormant,Spící
DocType: Payroll Entry,Deduct Tax For Unclaimed Employee Benefits,Odpočítte daň za nevyžádané zaměstnanecké výhody
DocType: Salary Slip,Total Interest Amount,Celková částka úroků
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouses with child nodes cannot be converted to ledger,Sklady s podřízené uzly nelze převést do hlavní účetní knihy
DocType: BOM,Manage cost of operations,Správa nákladů na provoz
DocType: Accounts Settings,Stale Days,Stale Days
DocType: Travel Itinerary,Arrival Datetime,Čas příjezdu
DocType: Tax Rule,Billing Zipcode,Fakturační PSČ
DocType: Attendance,HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
DocType: Crop,Row Spacing UOM,Rozložení řádků UOM
DocType: Assessment Result Detail,Assessment Result Detail,Posuzování Detail Výsledek
DocType: Employee Education,Employee Education,Vzdělávání zaměstnanců
DocType: Service Day,Workday,Pracovní den
apps/erpnext/erpnext/setup/doctype/terms_and_conditions/terms_and_conditions.py,At least one of the Applicable Modules should be selected,Měl by být vybrán alespoň jeden z příslušných modulů
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate item group found in the item group table,Duplicitní skupinu položek uvedeny v tabulce na položku ve skupině
apps/erpnext/erpnext/config/quality_management.py,Tree of Quality Procedures.,Postupy stromové kvality.
apps/erpnext/erpnext/public/js/controllers/transaction.js,It is needed to fetch Item Details.,"Je třeba, aby přinesla Detaily položky."
DocType: Fertilizer,Fertilizer Name,Jméno hnojiva
DocType: Salary Slip,Net Pay,Net Pay
DocType: Cash Flow Mapping Accounts,Account,Účet
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} has already been received,Pořadové číslo {0} již obdržel
,Requested Items To Be Transferred,Požadované položky mají být převedeny
DocType: Expense Claim,Vehicle Log,jízd
DocType: Sales Invoice,Is Discounted,Je sleva
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on Actual,Akce při překročení akumulovaného měsíčního rozpočtu na skutečné
DocType: Salary Component,Create Separate Payment Entry Against Benefit Claim,Vytvoření odděleného zadání platby proti nároku na dávku
DocType: Vital Signs,Presence of a fever (temp &gt; 38.5 °C/101.3 °F or sustained temp &gt; 38 °C/100.4 °F),"Přítomnost horečky (teplota&gt; 38,5 ° C nebo trvalá teplota&gt; 38 ° C / 100,4 ° F)"
DocType: Customer,Sales Team Details,Podrobnosti prodejní tým
apps/erpnext/erpnext/accounts/page/pos/pos.js,Delete permanently?,Smazat trvale?
DocType: Expense Claim,Total Claimed Amount,Celkem žalované částky
apps/erpnext/erpnext/config/crm.py,Potential opportunities for selling.,Potenciální příležitosti pro prodej.
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,{} is an invalid Attendance Status.,{} je neplatný stav účasti.
DocType: Shareholder,Folio no.,Číslo folia
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Invalid {0},Neplatný {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sick Leave,Zdravotní dovolená
DocType: Email Digest,Email Digest,Email Digest
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,"As raw materials projected quantity is more than required quantity, there is no need to create material request.
			Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox","Vzhledem k tomu, že plánované množství surovin je více než požadované množství, není třeba vytvářet požadavky na materiál. Chcete-li přesto požádat o materiál, laskavě zaškrtněte políčko <b>Ignorovat existující předpokládané množství</b>"
DocType: Delivery Note,Billing Address Name,Jméno Fakturační adresy
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Department Stores,Obchodní domy
,Item Delivery Date,Datum dodání položky
DocType: Selling Settings,Sales Update Frequency,Frekvence aktualizace prodeje
DocType: Production Plan,Material Requested,Požadovaný materiál
DocType: Warehouse,PIN,KOLÍK
DocType: Bin,Reserved Qty for sub contract,Vyhrazené množství pro subdodávky
DocType: Patient Service Unit,Patinet Service Unit,Patinet Service Unit
DocType: Sales Invoice,Base Change Amount (Company Currency),Základna Změna Částka (Company měna)
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,No accounting entries for the following warehouses,Žádné účetní záznamy pro následující sklady
apps/erpnext/erpnext/shopping_cart/cart.py,Only {0} in stock for item {1},Pouze {0} skladem pro položku {1}
DocType: Account,Chargeable,Vyměřovací
DocType: Company,Change Abbreviation,Změna zkratky
DocType: Contract,Fulfilment Details,Úplné podrobnosti
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.py,Pay {0} {1},Platit {0} {1}
DocType: Employee Onboarding,Activities,Aktivity
DocType: Expense Claim Detail,Expense Date,Datum výdaje
DocType: Item,No of Months,Počet měsíců
DocType: Item,Max Discount (%),Max sleva (%)
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,Credit Days cannot be a negative number,Dny úvěrů nemohou být záporné číslo
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Upload a statement,Nahrajte prohlášení
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Report this item,Nahlásit tuto položku
DocType: Purchase Invoice Item,Service Stop Date,Datum ukončení služby
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Last Order Amount,Částka poslední objednávky
DocType: Cash Flow Mapper,e.g Adjustments for:,např. Úpravy pro:
apps/erpnext/erpnext/stock/doctype/item/item.py," {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Zachovat vzorek je založen na dávce, zkontrolujte prosím, zda je číslo dávky zadrženo vzorku položky"
DocType: Task,Is Milestone,Je milník
DocType: Certification Application,Yet to appear,Přesto se objeví
DocType: Delivery Stop,Email Sent To,E-mailem odeslaným
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,Salary Structure not found for employee {0} and date {1},Struktura platu nebyla nalezena pro zaměstnance {0} a datum {1}
DocType: Job Card Item,Job Card Item,Položka karty Job Card
DocType: Accounts Settings,Allow Cost Center In Entry of Balance Sheet Account,Umožnit nákladovému středisku při zadávání účtu bilance
apps/erpnext/erpnext/accounts/doctype/account/account.js,Merge with Existing Account,Sloučit se stávajícím účtem
DocType: Budget,Warn,Varovat
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,All items have already been transferred for this Work Order.,Všechny položky byly již převedeny pro tuto pracovní objednávku.
DocType: Appraisal,"Any other remarks, noteworthy effort that should go in the records.","Jakékoli jiné poznámky, pozoruhodné úsilí, které by měly jít v záznamech."
DocType: Bank Account,Company Account,Firemní účet
DocType: Asset Maintenance,Manufacturing User,Výroba Uživatel
DocType: Purchase Invoice,Raw Materials Supplied,Dodává suroviny
DocType: Subscription Plan,Payment Plan,Platebni plan
DocType: Bank Transaction,Series,Série
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Currency of the price list {0} must be {1} or {2},Měna ceníku {0} musí být {1} nebo {2}
apps/erpnext/erpnext/config/accounting.py,Subscription Management,Řízení předplatného
DocType: Appraisal,Appraisal Template,Posouzení Template
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Pin Code,K označení kódu
DocType: Soil Texture,Ternary Plot,Ternary Plot
DocType: Amazon MWS Settings,Check this to enable a scheduled Daily synchronization routine via scheduler,"Zaškrtněte toto, chcete-li zapnout naplánovaný program Denní synchronizace prostřednictvím plánovače"
DocType: Item Group,Item Classification,Položka Klasifikace
apps/erpnext/erpnext/templates/pages/home.html,Publications,Publikace
DocType: Driver,License Number,Číslo licence
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Business Development Manager,Business Development Manager
DocType: Maintenance Visit Purpose,Maintenance Visit Purpose,Maintenance Visit Účel
DocType: Stock Entry,Stock Entry Type,Typ položky skladu
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js,Invoice Patient Registration,Fakturační registrace pacienta
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.js,General Ledger,Hlavní Účetní Kniha
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,To Fiscal Year,Do fiskálního roku
apps/erpnext/erpnext/selling/doctype/campaign/campaign.js,View Leads,Zobrazit Vodítka
DocType: Program Enrollment Tool,New Program,nový program
DocType: Item Attribute Value,Attribute Value,Hodnota atributu
DocType: POS Closing Voucher Details,Expected Amount,Očekávaná částka
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test_list.js,Create Multiple,Vytvořit více
,Itemwise Recommended Reorder Level,Itemwise Doporučené Změna pořadí Level
apps/erpnext/erpnext/hr/utils.py,Employee {0} of grade {1} have no default leave policy,Zaměstnanec {0} z platové třídy {1} nemá žádnou výchozí politiku dovolené
DocType: Salary Detail,Salary Detail,plat Detail
DocType: Email Digest,New Purchase Invoice,Nová nákupní faktura
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Please select {0} first,"Prosím, nejprve vyberte {0}"
apps/erpnext/erpnext/public/js/hub/marketplace.js,Added {0} users,Přidali jsme {0} uživatele
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Less Than Amount,Méně než částka
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",V případě víceúrovňového programu budou zákazníci automaticky přiděleni danému vrstvě podle svých vynaložených nákladů
DocType: Appointment Type,Physician,Lékař
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Batch {0} of Item {1} has expired.,Šarže {0} položky {1} vypršela.
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment_dashboard.py,Consultations,Konzultace
apps/erpnext/erpnext/manufacturing/report/bom_variance_report/bom_variance_report.py,Finished Good,Hotovo dobrá
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, UOM, Qty and Dates.","Položka Cena se objeví několikrát na základě Ceníku, Dodavatele / Zákazníka, Měny, Položky, UOM, Množství a Dat."
DocType: Sales Invoice,Commission,Provize
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0} ({1}) nemůže být větší než plánované množství ({2}) v pracovní objednávce {3}
DocType: Certification Application,Name of Applicant,Jméno žadatele
apps/erpnext/erpnext/config/manufacturing.py,Time Sheet for manufacturing.,Čas list pro výrobu.
DocType: Quick Stock Balance,Quick Stock Balance,Rychlá bilance zásob
apps/erpnext/erpnext/templates/pages/cart.html,Subtotal,mezisoučet
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,"Vlastnosti Variantu nelze změnit po transakci akcií. Budete muset vytvořit novou položku, abyste to udělali."
apps/erpnext/erpnext/config/integrations.py,GoCardless SEPA Mandate,GoCardless SEPA mandát
DocType: Healthcare Practitioner,Charges,Poplatky
DocType: Production Plan,Get Items For Work Order,Získat položky pro pracovní objednávku
DocType: Salary Detail,Default Amount,Výchozí částka
DocType: Lab Test Template,Descriptive,Popisný
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Warehouse not found in the system,Sklad nebyl nalezen v systému
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Month's Summary,Tento měsíc je shrnutí
DocType: Quality Inspection Reading,Quality Inspection Reading,Kvalita Kontrola Reading
apps/erpnext/erpnext/stock/doctype/stock_settings/stock_settings.py,`Freeze Stocks Older Than` should be smaller than %d days.,`Zmrazit zásoby starší než` by mělo být nižší než %d dnů.
DocType: Tax Rule,Purchase Tax Template,Spotřební daň šablony
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Earliest Age,Nejstarší věk
apps/erpnext/erpnext/utilities/user_progress.py,Set a sales goal you'd like to achieve for your company.,"Nastavte cíl prodeje, který byste chtěli dosáhnout pro vaši společnost."
DocType: Quality Goal,Revision,Revize
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Healthcare Services,Zdravotnické služby
,Project wise Stock Tracking,Sledování zboží dle projektu
DocType: GST HSN Code,Regional,Regionální
apps/erpnext/erpnext/config/healthcare.py,Laboratory,Laboratoř
DocType: UOM Category,UOM Category,Kategorie UOM
DocType: Clinical Procedure Item,Actual Qty (at source/target),Skutečné množství (u zdroje/cíle)
DocType: Item Customer Detail,Ref Code,Ref Code
DocType: Accounts Settings,Address used to determine Tax Category in transactions.,Adresa použitá k určení daňové kategorie v transakcích.
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Customer Group is Required in POS Profile,Zákaznická skupina je vyžadována v POS profilu
DocType: HR Settings,Payroll Settings,Nastavení Mzdové
apps/erpnext/erpnext/config/accounting.py,Match non-linked Invoices and Payments.,Zápas Nepropojený fakturách a platbách.
DocType: POS Settings,POS Settings,Nastavení POS
apps/erpnext/erpnext/templates/pages/cart.html,Place Order,Objednat
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.js,Create Invoice,Vytvořit fakturu
DocType: Email Digest,New Purchase Orders,Nové vydané objednávky
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Root cannot have a parent cost center,Root nemůže mít rodič nákladové středisko
DocType: POS Closing Voucher,Expense Details,Podrobnosti výdaje
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Brand...,Select Brand ...
apps/erpnext/erpnext/public/js/setup_wizard.js,Non Profit (beta),Neziskové (beta)
apps/erpnext/erpnext/portal/doctype/products_settings/products_settings.py,"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Řádek č. Filtru: {0}: Název pole <b>{1}</b> musí být typu &quot;Link&quot; nebo &quot;Table MultiSelect&quot;
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Accumulated Depreciation as on,Oprávky i na
DocType: Employee Tax Exemption Category,Employee Tax Exemption Category,Kategorie osvobození od zaměstnanců
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Amount should not be less than zero.,Částka by neměla být menší než nula.
DocType: Sales Invoice,C-Form Applicable,C-Form Použitelné
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Operation Time must be greater than 0 for Operation {0},Čas operace musí být větší než 0 pro operaci {0}
DocType: Support Search Source,Post Route String,Přidat řetězec trasy
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Warehouse is mandatory,Sklad je povinné
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to create website,Nepodařilo se vytvořit webové stránky
DocType: Soil Analysis,Mg/K,Mg / K
DocType: UOM Conversion Detail,UOM Conversion Detail,UOM konverze Detail
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Admission and Enrollment,Vstup a zápis
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Retention Stock Entry already created or Sample Quantity not provided,Záznam již vytvořeného záznamu o skladování nebo neposkytnuté množství vzorku
DocType: Program,Program Abbreviation,Program Zkratka
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Voucher (Consolidated),Seskupit podle poukázky (konsolidované)
DocType: HR Settings,Encrypt Salary Slips in Emails,Zašifrujte výplatní pásky do e-mailů
DocType: Question,Multiple Correct Answer,Více správných odpovědí
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Charges are updated in Purchase Receipt against each item,Poplatky jsou aktualizovány v dokladu o koupi na každou položku
DocType: Warranty Claim,Resolved By,Vyřešena
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Discharge,Plán výtoku
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Cheques and Deposits incorrectly cleared,Šeky a Vklady nesprávně vymazány
DocType: Homepage Section Card,Homepage Section Card,Karta sekce domovské stránky
,Amount To Be Billed,Částka k vyúčtování
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: You can not assign itself as parent account,Účet {0}: nelze přiřadit sebe jako nadřazený účet
DocType: Purchase Invoice Item,Price List Rate,Ceník Rate
apps/erpnext/erpnext/utilities/activation.py,Create customer quotes,Vytvořit citace zákazníků
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be after Service End Date,Datum ukončení služby nemůže být po datu ukončení služby
DocType: Item,"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","Zobrazit ""Skladem"" nebo ""Není skladem"" na základě skladem k dispozici v tomto skladu."
apps/erpnext/erpnext/config/manufacturing.py,Bill of Materials (BOM),Bill of Materials (BOM)
DocType: Item,Average time taken by the supplier to deliver,Průměrná doba pořízena dodavatelem dodat
DocType: Travel Itinerary,Check-in Date,Datum příjezdu
DocType: Sample Collection,Collected By,Shromážděno podle
apps/erpnext/erpnext/education/doctype/assessment_plan/assessment_plan.js,Assessment Result,Hodnocení výsledků
DocType: Hotel Room Package,Hotel Room Package,Hotelový balíček
DocType: Employee Transfer,Employee Transfer,Zaměstnanecký převod
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Hours,Hodiny
DocType: Project,Expected Start Date,Očekávané datum zahájení
DocType: Purchase Invoice,04-Correction in Invoice,04 - oprava faktury
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Work Order already created for all items with BOM,Pracovní zakázka již vytvořena pro všechny položky s kusovníkem
DocType: Bank Account,Party Details,Party Podrobnosti
apps/erpnext/erpnext/stock/doctype/item/item.js,Variant Details Report,Zpráva Variant Podrobnosti
DocType: Setup Progress Action,Setup Progress Action,Pokročilé nastavení
DocType: Course Activity,Video,Video
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Price List,Nákupní ceník
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Remove item if charges is not applicable to that item,Odebrat pokud poplatků není pro tuto položku
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Cancel Subscription,Zrušit předplatné
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Maintenance Status as Completed or remove Completion Date,Zvolte Stav údržby jako Dokončené nebo odeberte datum dokončení
DocType: Supplier,Default Payment Terms Template,Výchozí šablony platebních podmínek
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Transaction currency must be same as Payment Gateway currency,Měna transakce musí být stejná jako platební brána měnu
DocType: Payment Entry,Receive,Příjem
DocType: Employee Benefit Application Detail,Earning Component,Zisková složka
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Items and UOMs,Zpracování položek a UOM
apps/erpnext/erpnext/regional/italy/utils.py,Please set either the Tax ID or Fiscal Code on Company '%s',Zadejte prosím daňové identifikační číslo nebo daňový kód společnosti &#39;% s&#39;
apps/erpnext/erpnext/templates/pages/rfq.html,Quotations: ,citace:
DocType: Contract,Partially Fulfilled,Částečně splněno
DocType: Maintenance Visit,Fully Completed,Plně Dokončeno
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,"Special Characters except ""-"", ""#"", ""."", ""/"", ""{"" and ""}"" not allowed in naming series","Zvláštní znaky kromě &quot;-&quot;, &quot;#&quot;, &quot;.&quot;, &quot;/&quot;, &quot;{&quot; A &quot;}&quot; nejsou v názvových řadách povoleny"
DocType: Purchase Invoice Item,Is nil rated or exempted,Není hodnocen nebo osvobozen od daně
DocType: Employee,Educational Qualification,Vzdělávací Kvalifikace
DocType: Workstation,Operating Costs,Provozní náklady
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Currency for {0} must be {1},Měna pro {0} musí být {1}
DocType: Shift Type,Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,Označte účast na základě „Kontrola zaměstnanců“ u zaměstnanců přiřazených k této změně.
DocType: Asset,Disposal Date,Likvidace Datum
DocType: Service Level,Response and Resoution Time,Doba odezvy a resoution
DocType: Employee Leave Approver,Employee Leave Approver,Zaměstnanec Leave schvalovač
apps/erpnext/erpnext/stock/doctype/item/item.py,Row {0}: An Reorder entry already exists for this warehouse {1},Row {0}: Položka Změna pořadí již pro tento sklad existuje {1}
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.js,Please enter the designation,Zadejte označení
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py,"Cannot declare as lost, because Quotation has been made.","Nelze prohlásit za ztracený, protože citace byla provedena."
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Items for Raw Material Request,Položky pro požadavek na suroviny
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,CWIP Account,CWIP účet
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Feedback,Trénink Feedback
apps/erpnext/erpnext/config/accounting.py,Tax Withholding rates to be applied on transactions.,"Sazby daně ze zadržených daní, které se použijí na transakce."
DocType: Supplier Scorecard Criteria,Supplier Scorecard Criteria,Kritéria dodavatele skóre karty
