Pension Funds,年金基金
Material Transferred for Subcontract,外注に対して転送される品目
Timing Detail,タイミング詳細
Required On,必須オン
Importing {0} of {1},{1}の{0}をインポートしています
Job Offer Term,求人期間
All Contact,すべての連絡先
Project Task,プロジェクト課題
Item Barcode,商品バーコード
Stock Levels,在庫レベル
Height (In Meter),身長（メートル）
Order Value,オーダー値
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,すべてのセールストランザクションは、ターゲットを設定および監視できるように、複数の**セールスパーソン**に対してタグ付けできます。
You have already selected items from {0} {1},{0}からアイテムを選択しました{1}
Get Suppliers,サプライヤーを取得する
Contribution (%),貢献度（％）
Cannot set a received RFQ to No Quote,受信した見積依頼を見積もりに設定できません
Create Sales Order,受注を作成
Account: {0} can only be updated via Stock Transactions,アカウント：{0}は株式取引を通じてのみ更新できます
{0} Request for {1},{0} {1}へのリクエスト
Please select a value for {0} quotation_to {1},{0} quotation_to {1}の値を選択してください
Opportunity Date,案件日
Next Steps,次のステップ
Training Feedback,トレーニングフィードバック
ACC-PINV-.YYYY.-,ACC-PINV -YYYY-
Total Holidays,総休日
Fertilizer Name,肥料名
House rented dates required for exemption calculation,免除の計算に必要な家のレンタル日
Expiring Memberships,期限切れのメンバーシップ
Supplier(s),サプライヤー）
Please setup numbering series for Attendance via Setup &gt; Numbering Series,[設定]&gt; [採番シリーズ]で出席用の採番シリーズを設定してください。
To Rename,名前を変更する
Contact Us,お問い合わせ
Cashier,レジ
Hour,時
Show Latest Forum Posts,最新のフォーラム投稿を表示
Distributor,配給業者
"Please add the remaining benefits {0} to the application as \
				pro-rata component",残りのメリット{0}を\ pro-rataコンポーネントとしてアプリケーションに追加してください
Short Term Loan Account,短期ローン口座
Section Subtotal,小計セクション
Material Request to Purchase Order,購買発注への品目請求
CESS Amount,CESS金額
Not authorized to edit frozen Account {0},凍結アカウント{0}を編集する権限がありません
Expected Amount,予想額
Default Price List,デフォルト価格表
No Items selected for transfer,転送用に選択されたアイテムはありません
Payment Amount,支払金額
Assessment  Manager,評価マネージャ
Chemical,化学薬品
Assessment Reports,評価レポート
IV,IV
Academic,学術
Item {0} is not setup for Serial Nos. Check Item master,シリアル番号にアイテム{0}が設定されていませんチェックアイテムマスター
From State,州から
Maximum Continuous Days Applicable,適用可能な最大連続日数
Support Team.,支援チーム。
Please enter company name first,最初に会社名を入力してください
Import Successful,インポート成功
Alternate Number,代替番号
All Departments,すべての部署
Make project from a template.,テンプレートからプロジェクトを作成します。
Inter Company Order Reference,会社間オーダー参照
Work Order {0} must be cancelled before cancelling this Sales Order,この販売注文をキャンセルする前に作業注文{0}をキャンセルする必要があります
Employee Number,従業員番号
Avg. Buying Rate,平均購入レート
Capacity Planning For (Days),キャパシティプランニング（日数）
From value must be less than to value in row {0},開始値は、行{0}の値より小さくなければなりません
Select BOM and Qty for Production,生産用のBOMと数量を選択する
Price List Country,価格表国
Create Tax Template,税テンプレートを作成
Numeric Values,数値
Instructions,説明書
Blanket Order Item,一括注文商品
Commission rate cannot be greater than 100,手数料率は100を超えることはできません
Course Topic,コーストピック
This will restrict user access to other employee records,これにより、他の従業員レコードへのユーザーアクセスが制限されます
Please create Customer from Lead {0},リード{0}から顧客を作成してください
Company Settings,会社の設定
Vegetarian,ベジタリアン
"An item exists with same name ({0}), please change the item group name or rename the item",同じ名前（{0}）のアイテムが存在します。アイテムグループ名を変更するか、アイテムの名前を変更してください
Hotel Room Type,ホテルの部屋タイプ
Cash Flow,現金流量
Payment against {0} {1} cannot be greater than Outstanding Amount {2},{0} {1}に対する支払いは未払い額{2}より大きくすることはできません
Achievement,成果
Add Multiple Tasks,複数のタスクを追加する
Item Variant {0} already exists with same attributes,アイテムバリアント{0}は既に同じ属性で存在します
Invoice {0} no longer exists,請求書{0}は存在しません
Will also apply for variants unless overrridden,過激派でない限り、亜種にも適用されます
Account,アカウント
To Deliver,配信する
Customers Without Any Sales Transactions,販売取引のない顧客
Against Document No,文書番号に対して
Content Masters,コンテンツマスター
Subscription Management,購読管理
Get customers from,から顧客を獲得する
{0} Digest,{0}ダイジェスト
Reports to,に報告する
Party Account,パーティー口座
Schedule,スケジュール
Please enter ,入ってください
Channel Partner,チャネルパートナー
Invoiced Amount,請求額
From Template,テンプレートから
Subscriptions,購読
Quantity to Make,作る量
Achieved,達成した
Contribution Amount,寄付金額
Fiscal Year,会計年度
Prevent RFQs,RFQを防止する
Discount Received Account,割引受領アカウント
 (Half Day),（半日）
Email Digest,メールダイジェスト
Crop,切り抜き
Profit & Loss,利益損失
Section Order,セクション順
Result Printed,印刷結果
Student Group,学生グループ
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.",すべての購入取引に適用できる標準税テンプレート。このテンプレートには、納税者の一覧と、 &quot;Shipping&quot;、 &quot;Insurance&quot;、 &quot;Handling&quot;などのその他の経費の件名の一覧を含めることができます。 *。料金が異なる**アイテム**がある場合は、**アイテム**マスターの**アイテム税**表に追加する必要があります。 ####列の説明1.計算タイプ： - これは** Net Total **（基本額の合計です）に設定できます。 -  **前の行の合計/金額**（累積税金または請求額用）。このオプションを選択すると、税は前の行（税テーブル内）の金額または合計に対する割合として適用されます。 -  **実際の**（前述のとおり） 2.アカウントヘッド：この税が予約されるアカウント元帳3.コストセンター：税/請求が所得（配送料など）または経費である場合は、コストセンターに対して予約する必要があります。 4.説明：税の説明（請求書/見積書に印刷されます）。 5.料金：税率です。金額：税額。 7.合計：この時点までの累積合計。 8. Enter Row： &quot;Previous Row Total&quot;に基づいている場合は、この計算の基準となる行番号を選択できます（デフォルトは前の行です）。 9.課税または請求対象の考慮：このセクションでは、課税/請求が評価のみ（合計の一部ではない）、合計のみ（明細に値を追加しない）、またはその両方であるかを指定できます。 10.追加または控除：税を追加または控除するかどうか。
Connect to Quickbooks,クイックブックに接続する
Root cannot be edited.,ルートは編集できません。
Engineer,エンジニア
Row #{0}: Item added,行＃{0}：項目が追加されました
Eligibility and Details,資格と詳細
Staffing Plan Detail,人員配置計画の詳細
Annual Income,年収
Subscription Section,購読セクション
Payment Days,支払い日数
Volunteer information.,ボランティア情報
`Freeze Stocks Older Than` should be smaller than %d days.,「より古いストックの凍結」は％d日より小さいはずです。
Select Fiscal Year,会計年度を選択
Total Amount,合計金額
Non Profit,非営利団体
Cancel Invoice After Grace Period,猶予期間後に請求書をキャンセル
Loyalty Points,ロイヤリティポイント
Set Target Warehouse,目標倉庫の設定
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0}は現在{1}サプライヤスコアカードを保持しています。このサプライヤへの見積依頼は慎重に発行する必要があります。
Check-in Date,チェックイン日
Round Off Account,四捨五入アカウント
Warranty Period (Days),保証期間（日数）
Expense Claim Detail,経費請求の詳細
Program: ,プログラム：
Patient Medical Record,患者カルテ
Action Description,アクション説明
Variant Based On,に基づくバリアント
Brake Oil,ブレーキオイル
Create User,ユーザーを作成
Codification Table,コード化表
Optional,オプション
Show Leaves Of All Department Members In Calendar,カレンダーにすべての部門メンバーの葉を表示する
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry",作業指示{1}に転送済みのアイテム{0}が見つかりませんでした。アイテムは在庫エントリに追加されていません
See all open tickets,オープンチケットをすべて見る
Operations cannot be left blank,操作を空白のままにすることはできません
At least one mode of payment is required for POS invoice.,POS請求書には少なくとも1つの支払い方法が必要です。
Guardian1 Email ID,Guardian1の電子メールID
Supplier delivers to Customer,サプライヤが顧客に納入
Appointment Booked,予約した予定
Target Warehouse,対象倉庫
Stale Days,失効日
Row {0}: Credit entry can not be linked with a {1},行{0}：クレジット入力は{1}とリンクできません
Healthcare Practitioner {0} not available on {1},医療関係者{0}は{1}で利用できません
All Customer Contact,すべての顧客連絡先
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item",{0}保持サンプルはバッチに基づいています。アイテムのサンプルを保持するには、[バッチなし]をチェックしてください。
Disc,ディスク
Make Accounting Entry For Every Stock Movement,在庫移動ごとに会計エントリを作成します。
Check-out Date,チェックアウト日
Fertilizer,肥料
Default Tax Withholding Config,デフォルトの源泉徴収設定
Total Produced Qty,総生産数量
Leave Period,期間を残す
Payment request {0} created,支払い請求{0}が作成されました
UOM Conversion in Hours,時間単位でのUOM変換
Avg. Selling Price List Rate,平均販売価格表レート
Generate Material Requests (MRP) and Work Orders.,資材要求（MRP）と作業指示書を生成します。
Account Balance,勘定残高
Periodicity,周期性
Medical Record,医療記録
Execution,実行
Valuation Method,評価方法
{0} against Sales Invoice {1},売上請求書{1}に対する{0}
Pass,パス
Sales Partner Target,セールスパートナターゲット
Referring Practitioner,担当医
Expenses Included In Asset Valuation,資産評価に含まれる費用
Publishing,出版
Sales Orders Detail,販売注文の詳細
Total Deduction,総控除
EMI,EMI
Set prefix for numbering series on your transactions,あなたの取引の番号付けシリーズのための接頭辞を設定してください
Journal Entries {0} are un-linked,ジャーナル項目{0}はリンクされていません
Other Reports,その他の報告
All items have already been invoiced,すべての商品は既に請求済みです
Asset scrapped via Journal Entry {0},仕訳入力{0}で廃棄された資産
Prefered Email,好きなメールアドレス
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",独自の評価方法を持たない一部の項目に対する取引があるため、評価方法を変更することはできません。
Section Name,セクション名
Packed Item,梱包品
{0} {1}: Either debit or credit amount is required for {2},{0} {1}：{2}には借方または貸方の金額が必要です
Submitting Salary Slips...,給与明細を送信しています...
No Action,何もしない
"Budget cannot be assigned against {0}, as it's not an Income or Expense account",収入口座または経費口座ではないため、予算を{0}に割り当てることはできません
Masters and Accounts,マスターとアカウント
Responsible Individual,担当者
Total Weightage of all Assessment Criteria must be 100%,すべての評価基準の総重量は100％でなければなりません
An error occurred during the update process,更新処理中にエラーが発生しました
Customer Name,顧客名
Amount should not be less than zero.,金額はゼロより小さくてはいけません。
Average Age,平均年齢
Show Price,価格を表示
Program Enrollment Tool Student,プログラム登録ツール学生
Shipping State,発送状況
Please set Company,会社を設定してください
Balance (Dr - Cr),バランス（Dr  -  Cr）
Supply Type,供給タイプ
Create documents for sample collection,サンプル収集用の文書を作成する
Close Opportunity After Days,数日後に商談を閉じる
Ref Code,参照コード
Widowed,未亡人
ERPNext Company,ERPネクストカンパニー
Leave blank to use the standard Delivery Note format,標準の納品書形式を使用するには、空白のままにします。
Accepted Qty,受け入れ数量
Apply Rule On Brand,ブランドにルールを適用
Show Availability Status,在庫状況を表示する
Import Successfull,インポート成功
Soil Texture,土壌のテクスチャ
No of Visits,訪問数
Qualitative Feedback,定性的フィードバック
Response and Resoution Time,応答時間と休憩時間
Expiring On,期限切れ
Scorecard Actions,スコアカードの操作
Stock Adjustment,在庫調整
Health Care,健康管理
No of Seats,座席数
Delete all the Transactions for this Company,この会社のすべての取引を削除します
Lead Details,リード詳細
Default Service Level Agreement,デフォルトのサービスレベル契約
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",フィルター・フィールド行＃{0}：フィールド名<b>{1}</b>はタイプ &quot;Link&quot;または &quot;Table MultiSelect&quot;でなければなりません
Suggestions,提案
Get from,から取得
Tax Rule,税法
Payment Order Status,支払い注文状況
Duplicate entry,重複エントリ
Example: Masters in Computer Science,例：コンピュータサイエンスの修士
Purchase Invoice Item,請求書アイテムの購入
Non Profit Manager,非営利マネージャー
For Warehouse is required before Submit,倉庫の場合は送信前に必要です
Applicable To (User),対象（ユーザー）
Appraisal Goal,評価目標
Warn for new Purchase Orders,新規購入注文を警告する
View Chart of Accounts,勘定科目表を見る
Quotations: ,名言集
To Discuss,話し合う
Reading 9,読んで9
Applicable To (Role),対象（ロール）
Additional Notes,その他の注意事項
{0} can not be negative,{0}を負にすることはできません
Create Purchase Orders,購買発注の登録
Estimated Cost Per Position,ポジションごとの推定費用
Loan Name,ローン名
Set default mode of payment,デフォルトの支払い方法を設定する
Revision,リビジョン
Service Unit Type,サービスユニットの種類
Return Against Purchase Invoice,購入請求書に対する返品
Generate Secret,秘密を生成する
Loyalty Program Collection,ロイヤルティプログラムコレクション
Send mass SMS to your contacts,連絡先に大量のSMSを送信する
Create Fee Schedule,料金表を作成する
File to Rename,名前を変更するファイル
Timer exceeded the given hours.,タイマーが指定時間を超えました。
ERPNext Account,ERPNextアカウント
Item Supplier,品目サプライヤ
Price List {0} is disabled or does not exist,価格表{0}が無効か、存在しません
Deferred Revenue Account,繰延収益勘定
Soil compositions do not add up to 100,土壌組成は100まで追加されません
Salary Slip Timesheet,給与明細タイムシート
Warn,警告する
Email Notification Sent,送信されたEメール通知
Planned End Date,計画終了日
Quickbooks Company ID,クイックブック会社ID
Warehouse cannot be changed for Serial No.,シリアル番号の倉庫は変更できません
Rate of Interest (%) Yearly,利率（％）年間
Cost of Scrapped Asset,廃棄資産の原価
Please set an Address on the Company '%s',会社 &#39;％s&#39;に住所を設定してください
Encounter Date,出会い日
Webhooks,ウェブフック
Memebership Type Details,メンバーシップの種類詳細
Resistant,抵抗力がある
Hotel Room Package,ホテルルームパッケージ
Contribution to Net Total,純合計への貢献
"Reselect, if the chosen contact is edited after save",選択した連絡先が保存後に編集されている場合は、もう一度選択します。
Employee Tax Exemption Sub Category,従業員免税サブカテゴリー
Row {0}# Paid Amount cannot be greater than requested advance amount,行{0}＃支払金額は、要求された前払い金額を超えることはできません
This value is used for pro-rata temporis calculation,この値は比例配分計算に使用されます。
Change Abbreviation,略語の変更
Total Consumed Material Cost  (via Stock Entry),総消費品目原価（在庫入力による）
Raw Materials Supplied,供給された原料
Condition and Formula Help,条件と式のヘルプ
Balance ({0}),残高（{0}）
Student ID: ,学生証：
New Leaves Allocated (In Days),割り当てられた新しい葉（日数）
To Datetime,日時へ
Lab result datetime cannot be before testing datetime,ラボ結果の日時は日時のテスト前にすることはできません
Please re-type company name to confirm,確認するために会社名を再入力してください
Subscription Period,購読期間
Position,ポジション
Sibling Details,兄弟詳細
Is Finance Cost Adjustment,財務コスト調整
Encounter Impression,出会いの印象
N/A,該当なし
Lab Technician,検査技師
"Item {0} is a template, please select one of its variants",アイテム{0}はテンプレートです。バリアントの1つを選択してください
How Pricing Rule is applied?,価格設定ルールはどのように適用されますか？
Email Digest Settings,電子メールダイジェスト設定
Inter Company Journal Entry,会社間仕訳入力
Create Delivery Trip,配達旅行を作成する
Row # {0}: Serial No {1} does not match with {2} {3},行＃{0}：シリアル番号{1}が{2} {3}と一致しません
Sales Order required for Item {0},商品{0}に受注が必要です
Get Details From Declaration,宣言から詳細を取得
Support Hour Distribution,サポート時間配分
Allow Account Creation Against Child Company,子会社に対するアカウント作成を許可する
Company Bank Account,会社の銀行口座
UK,英国
Procedure Steps,手順ステップ
Normal Test Items,通常のテスト項目
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,品目{0}：注文された数量{1}は、最小注文数量{2}（品目で定義）より小さくてはいけません。
Not in Stock,在庫にありません
Cart,カート
Course Activity,コース活動
Thank you for your business!,お買い上げくださってありがとうございます！
Against Journal Entry {0} is already adjusted against some other voucher,仕訳入力に対して{0}はすでに他のバウチャーに対して調整されています
Bill Date,請求日
Please enter Write Off Account,口座振替を入力してください
Biotechnology,バイオテクノロジー
Setup your Institute in ERPNext,ERPNextであなたの研究所を設立する
Item {0} does not exist,項目{0}は存在しません
Asset Maintenance Log,資産管理ログ
Settings for Accounts,アカウントの設定
Reference Document Name,参照文書名
"If blank, parent Warehouse Account or company default will be considered",空白の場合、親倉庫口座または会社のデフォルトが考慮されます。
Rate Of Materials Based On,に基づく材料の割合
Container,容器
Available slots,利用可能なスロット
Max Attempts,最大試行回数
Cash Flow Statement,キャッシュフロー計算書
Redeem Against,に対して交換する
Offline POS Name,オフラインPOS名
ISO 8601 standard,ISO 8601規格
Deduct,控除
C-Form Invoice Detail,Cフォーム請求書詳細
Net Change in Inventory,在庫の純変動
Depreciation Amount during the period,期間中の減価償却額
App Type,アプリの種類
Blog Subscriber,ブログ購読者
[Error],[エラー]
Active Menu,アクティブメニュー
Transactions against the company already exist! ,会社に対する取引はすでに存在します。
Sales Partner and Commission,セールスパートナーとコミッション
Goals cannot be empty,目標は空にできません
Warehouses,倉庫
Detected Diseases,検出された病気
Enter the Bank Guarantee Number before submittting.,送信する前に銀行保証番号を入力してください。
Processing Items and UOMs,処理アイテムとUOM
Is a Subscription,購読です
Download as Json,Jsonとしてダウンロード
Appointment Analytics,予定の分析
Inspection Type,検査タイプ
Sales Taxes and Charges,売上税および請求
Health Insurance Provider,健康保険プロバイダー
This is a root item group and cannot be edited.,これはルート項目グループであり、編集できません。
Projected Qty Formula,予測数量計算式
Payment Order Reference,支払注文の参照
Tree Type,木の種類
Default Costing Rate,デフォルト原価計算率
Constipated,便秘
Default Amount,デフォルト金額
Budget List,予算リスト
Awaiting Response,応答待ち
Variant creation has been queued.,バリアント作成がキューに入れられました。
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}",コンポーネント{1}に対してすでに{0}の金額が請求されています。{2}以上の金額を設定してください
Please add the remaining benefits {0} to any of the existing component,既存のコンポーネントのいずれかに残りのメリット{0}を追加してください
Odometer,オドメーター
Transaction currency must be same as Payment Gateway currency,取引通貨はPayment Gateway通貨と同じでなければなりません
"For an item {0}, quantity must be negative number",品目{0}の場合、数量は負数でなければなりません
Payroll Date,給与計算日
Mode of payment is required to make a payment,支払い方法は支払いをするために必要です
Materials,材料
Against Sales Order,受注に対して
PUR-SQTN-.YYYY.-,PUR-SQTN -YYYY-
Against Sales Order Item,受注明細に対して
Goals,目標
ERPNext User,ERP次のユーザー
Available Leaves,利用できる葉
Root Account must be a group,ルートアカウントはグループでなければなりません
Email Reminders will be sent to all parties with email contacts,電子メールリマインダは、電子メール連絡先とともにすべての関係者に送信されます。
Select Type...,タイプを選択
Workstation Working Hour,ワークステーション勤務時間
Analytics,アナリティクス
Maintenance Role,メンテナンスの役割
Terms and Conditions Template,利用規約テンプレート
Fee Schedule Program,料金スケジュールプログラム
Course {0} does not exist.,コース{0}は存在しません。
Make Timesheet,タイムシートを作る
Production Plan Item,生産計画明細
Total Student,総学生
From Package No.,パッケージ番号から
Shipping Address,お届け先の住所
Clutch Plate,クラッチプレート
Row #{0}: Asset {1} does not linked to Item {2},行＃{0}：資産{1}は項目{2}にリンクされていません
Stock Entry {0} created,在庫エントリ{0}が作成されました
Purchase Order Date,発注日
Company currencies of both the companies should match for Inter Company Transactions.,両社の会社通貨は、会社間取引に一致する必要があります。
Shortage Qty,不足数量
Marked Attendance,著しい出席
System will notify to increase or decrease quantity or amount ,システムは数量または数量を増減するよう通知します
Cosmetics,化粧品
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,保存する前にユーザーにシリーズの選択を強制する場合は、これをチェックします。これをチェックするとデフォルトはありません。
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,このロールを持つユーザーは、固定アカウントを設定したり、固定アカウントに対するアカウントエントリを作成/変更することができます。
Total Claimed Amount,総請求金額
Unable to find Time Slot in the next {0} days for Operation {1},操作{1}の次の{0}日にタイムスロットが見つかりません
Wrapping up,まとめ
You can only renew if your membership expires within 30 days,あなたの会員資格が30日以内に失効する場合にのみ更新することができます
Value must be between {0} and {1},値は{0}と{1}の間でなければなりません
Sales Partner Transaction Summary,販売パートナー取引サマリー
Maintenance Manager Name,メンテナンスマネージャ名
It is needed to fetch Item Details.,商品詳細を取得する必要があります。
This is based on stock movement. See {0} for details,これは在庫移動に基づいています。詳しくは{0}を参照してください
Appointment,予約
Please enter {0} first,最初に{0}を入力してください
BOM #{0}: Raw material cannot be same as main Item,BOM＃{0}：原材料を主要品目と同じにすることはできません
Following accounts might be selected in GST Settings:,GST設定で次のアカウントが選択されている可能性があります。
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,このフィールドには任意の有効なBootstrap 4マークアップを使用できます。それはあなたの商品ページに表示されます。
Incoming Rate,着信レート
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,売掛金割引アカウント
Tally Debtors Account,集計債務者アカウント
Has any past Grant Record,過去の助成金記録があります
Amount in Custody,預り金額
Interval,間隔
Parent Warehouse,親倉庫
Auto Material Requests Generated,自動資材依頼の生成
Row {0}: Quality Inspection rejected for item {1},行{0}：品質検査が品目{1}に対して拒否されました
Additional Details,追加の詳細
Sales Partner Type,販売パートナタイプ
"Select BOM, Qty and For Warehouse",BOM、数量、および倉庫用
Maintenance Type,メンテナンスの種類
Use this field to render any custom HTML in the section.,このフィールドを使用して、セクション内のカスタムHTMLをレンダリングします。
"Appointment cancelled, Please review and cancel the invoice {0}",予定がキャンセルされました。請求書を確認してキャンセルしてください{0}
Time Sheet List,タイムシート一覧
{0} against Bill {1} dated {2},日付{2}の請求書{1}に対する{0}
For Company,会社の方へ
Linked Soil Analysis,リンク土壌分析
Day to Send,送る日
Is Tax Applicable,税金はかかりますか
Purchase Order number required for Item {0},品目{0}に必要な発注番号
Tax Rates,税率
Help Results for,のヘルプ結果
Student Admission,学生の入学
Skill,スキル
Budget Account,予算アカウント
Create New Employee Id,新しい従業員IDを作成する
Goods and Services Tax (GST India),物品サービス税（GSTインド）
Creating Salary Slips...,給与明細を作成中...
Employee Skill,従業員のスキル
Apply Rule On Item Code,商品コードにルールを適用
'Update Stock' can not be checked because items are not delivered via {0},アイテムが{0}経由で配信されていないため、 &#39;在庫の更新&#39;を確認できません
Stock Entry,在庫エントリー
House rent paid days overlapping with {0},家賃の支払日数が{0}と重複しています
Current Address Is,現在の住所は
Analyst,アナリスト
No records found in the Payment table,Paymentテーブルにレコードが見つかりません
Sales Orders to Deliver,出荷する受注
Units of Measure,測定単位
Block Days,ブロック日数
Quantity must not be more than {0},数量は{0}以下でなければなりません
Add Items,アイテムを追加する
Taxes and Charges Added (Company Currency),追加された税金と手数料（会社の通貨）
Currency Exchange Settings,通貨交換設定
From Amount,金額から
Warehouse is mandatory,倉庫は必須です
Add Students,学生を追加する
Account Paid From,支払ったアカウント
Marked Attendance HTML,マーク付き出席HTML
Item {0} has been disabled,アイテム{0}は無効になっています
Amount In Figure,図中の金額
Cannot produce more Item {0} than Sales Order quantity {1},受注数量{1}より多くの商品{0}を生産できません
Return,戻る
The selected item cannot have Batch,選択した商品にはバッチを設定できません
Print IRS 1099 Forms,IRS 1099フォームを印刷する
'Update Stock' cannot be checked for fixed asset sale,「在庫の更新」で固定資産売却を確認することはできません
Depreciation Schedule,減価償却スケジュール
Shipping rule not applicable for country {0},配送規則は国{0}には適用されません
Time at which materials were received,資料を受け取った時刻
Billing Country,請求先国
Sales Order,販売注文
Value missing,値がありません
Stores,お店
New Balance In Base Currency,基本通貨でのニューバランス
Price List,価格表
Invalid {0}: {1},無効な{0}：{1}
Article,記事
The name of the institute for which you are setting up this system.,このシステムを設定している機関の名前。
A Product,製品
Crop Name,作物名
'From Date' is required,「開始日」は必須です
Please select a BOM,BOMを選択してください
Travel Itinerary,旅行予定
Birthday Reminder,誕生日のお知らせ
Pair,ペア
Item Price added for {0} in Price List {1},価格表{1}の{0}に追加された商品価格
Validate Applied Rule,適用ルールを検証
Job Card Item,求人カード項目
Company Tagline for website homepage,ウェブサイトホームページの会社用キャッチフレーズ
Round Off Cost Center,丸め原価センタ
Criteria Weight,基準ウェイト
Depreciation Schedules,減価償却スケジュール
Claim Amount,請求額
Discounts,割引
Shipping Rule Conditions,配送ルールの条件
Cancelation Date,キャンセル日
Party Bank Account,パーティー銀行口座
New Cost Center Name,新しい原価センタ名
Max Amount,最大額
After payment completion redirect user to selected page.,支払い完了後、ユーザーを選択したページにリダイレクトします。
Total Loan Repayment,ローン返済総額
To Fiscal Year,会計年度へ
Return Against Delivery Note,納品書に対する返品
"Edit in full page for more options like assets, serial nos, batches etc.",資産、シリアル番号、バッチなどのその他のオプションについては、フルページで編集してください。
Allocate Payment Amount,支払い金額を割り当てる
Row # {0}: Returned Item {1} does not exists in {2} {3},行＃{0}：返されたアイテム{1}は{2} {3}に存在しません
Enrolling students,在籍中の学生
Allow user to edit Price List Rate in transactions,ユーザーが取引の価格表レートを編集できるようにする
Please select the document type first,最初に文書タイプを選択してください
Hotel Room Reservation,ホテル予約
Researcher,研究者
{0} {1} is frozen,{0} {1}はフリーズしています
Item Code cannot be changed for Serial No.,シリアル番号の項目コードは変更できません
Total Taxes and Charges (Company Currency),税金と総費用（会社の通貨）
Tax Rule Conflicts with {0},税規則が{0}と競合します
Year End Date,年末年始
Create Leads,リードを作成
Show zero values,ゼロ値を表示
Employee Onboarding,従業員のオンボーディング
Period End Date,期間終了日
Sales Opportunities by Source,ソース別販売機会
The first Leave Approver in the list will be set as the default Leave Approver.,リストの最初のLeave ApproverがデフォルトのLeave Approverとして設定されます。
POS Settings,POS設定
All Accounts,全アカウント
Hotel Manager,ホテルマネージャー
With Items,アイテムあり
Is Advance,前進です
Membership Status,会員ステータス
Sales campaigns.,セールスキャンペーン
Default BOM not found for Item {0} and Project {1},品目{0}およびプロジェクト{1}のデフォルトBOMが見つかりません
Encashment Threshold Days,エンハンスメントしきい値日数
Items Filter,アイテムフィルター
{0} is on hold till {1},{0}は{1}まで保留されています
Invoice Separately as Consumables,消耗品としての請求書
Days Until Due,期限までの日数
Show Completed,完了を表示
Bank Statement Transaction Entry Report,銀行取引明細書取引入力レポート
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,行＃{0}：レートは{1}：{2}と同じである必要があります（{3} / {4}）
HLC-CPR-.YYYY.-,HLC-CPR-YYYY-
Healthcare Service Items,医療サービス項目
No records found,レコードが見つかりません
Ageing Range 3,エイジングレンジ3
Blood Pressure,血圧
Target On,ターゲットオン
All Healthcare Service Units,すべての医療サービス部門
Mandatory field - Program,必須項目 - プログラム
Timer,タイマー
Set {0} in asset category {1} or company {2},資産カテゴリー{1}または会社{2}に{0}を設定してください
Bank Header,銀行ヘッダー
Not eligible for the admission in this program as per DOB,DOBによると、このプログラムへの入学資格はありません
Assessment Criteria Group,評価基準グループ
Is Correct,正しい
user@example.com,user@example.com
Parent Department,親部
Employee Internal Work History,従業員の社内勤務歴
Warn POs,POに警告する
Offer Date,オファー日
Product Bundle Help,製品バンドルのヘルプ
Stock Reconciliation,在庫調整
Accounting Entry for Stock,在庫の会計入力
"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",予定が{0}と重複しています。 <br> {1}は{3}の{2}でスケジュールされ、{4}分の期間があります。
Warehouses with child nodes cannot be converted to ledger,子ノードを持つ倉庫は元帳に変換できません
Projects Manager,プロジェクトマネージャ
End time cannot be before start time,終了時刻を開始時刻より前にすることはできません
UOM Name,UOM名
BMI,BMI
Hours,時間
Amount {0} {1} {2} {3},金額{0} {1} {2} {3}
Supplier Ledger Summary,サプライヤ元帳の概要
