Pension Funds,Fundusze emerytalne
Opening Balance,Bilans otwarcia
'From Date' must be after 'To Date',„From Date” musi być po „To Date”
Total Amount {0},Łączna kwota {0}
Evaluation Date,Data oceny
"""Customer Provided Item"" cannot be Purchase Item also",„Przedmiotem dostarczonym przez klienta” nie może być również przedmiot zakupu
Grand Total,Łączna suma
New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},Nowy limit kredytowy jest niższy niż bieżąca zaległa kwota dla klienta. Limit kredytu musi być co najmniej {0}
Only {0} in stock for item {1},Tylko {0} w magazynie dla przedmiotu {1}
Bank / Cash Account,Rachunek bankowy / gotówkowy
Task weight cannot be negative,Waga zadania nie może być ujemna
Creation Date,Data utworzenia
Finished Good,Skończony dobrze
Manage Sample Collection,Zarządzaj kolekcją próbek
Unable to find DocType {0},Nie można znaleźć DocType {0}
Item Weight Details,Szczegóły wagi produktu
Modes of Payment,Tryby płatności
Series List for this Transaction,Lista serii dla tej transakcji
Produce,Produkować
API consumer key,Klucz konsumenta API
Reading 2,Czytanie 2
Driving License Categories,Kategorie prawa jazdy
Asset Repair,Naprawa zasobów
Exchange Rate Revaluation,Przeszacowanie kursu wymiany
Warehouse Contact Info,Informacje kontaktowe magazynu
Request for Quotation Supplier,Zapytanie o dostawcę oferty
Costing,Analiza cen
Fixed Assets,Środki trwałe
Ref SQ,Ref SQ
Total Earning,Całkowite zarobki
From No,Od Nie
Payment Reconciliation Invoice,Faktura do uzgodnienia płatności
Taxes and Charges Added,Dodano podatki i opłaty
Consider Tax or Charge for,Rozważ podatek lub opłatę
Authorized Value,Autoryzowana wartość
Received From,Otrzymane od
Warehouse {0} does not exist,Magazyn {0} nie istnieje
Sales Team,Zespół sprzedaży
Stock UOM,Stock UOM
Installation Date,Data instalacji
New Quotations,Nowe oferty
Ordered Qty,Zamówiona ilość
Minutes to First Response for Issues,Protokoły do pierwszej odpowiedzi w przypadku problemów
Refuelling Details,Szczegóły dotyczące tankowania
Targets,Cele
Settings for Buying Module,Ustawienia modułu zakupów
Purchase Order {0} is not submitted,Zamówienie zakupu {0} nie zostało złożone
Material Request {0} submitted.,Wysłano żądanie materiałowe {0}.
Posting date and posting time is mandatory,Data publikacji i czas publikacji są obowiązkowe
{} of {},{} z {}
Lab Routine,Procedura laboratoryjna
Payment Failed. Please check your GoCardless Account for more details,Płatność nie powiodła się. Sprawdź szczegóły swojego konta GoCardless
Row {0}:Start Date must be before End Date,Wiersz {0}: data rozpoczęcia musi być przed datą zakończenia
LMS Activity,Aktywność LMS
Next Depreciation Date,Następna data amortyzacji
Appointment Reminder,Przypomnienie o spotkaniu
Cost Center Name,Nazwa miejsca powstawania kosztów
Margin Rate or Amount,Marża lub kwota
Clinical Procedure Consumable Item,Materiał użytkowy Procedura kliniczna
Manual,podręcznik
Raw Materials cannot be blank.,Surowce nie mogą być puste.
Please enter Cost Center,Wprowadź Centrum kosztów
Source DocType,Źródło DocType
Parent Assessment Group,Parent Assessment Group
Accepted Warehouse,Zaakceptowany magazyn
Discount and Margin,Rabat i marża
Student and Guardian Contact Details,Dane kontaktowe ucznia i opiekuna
Buying,Kupowanie
Present,Obecny
Member Since,Członek od
Use for Shopping Cart,Użyj do koszyka
Loan Account,Konto kredytowe
All the mandatory Task for employee creation hasn't been done yet.,Wszystkie obowiązkowe zadania tworzenia pracowników nie zostały jeszcze wykonane.
The minimum length between each plant in the field for optimum growth,Minimalna długość między każdą rośliną w polu dla optymalnego wzrostu
Applicable on Purchase Order,Dotyczy zamówienia
Receive at Warehouse,Odbierz w magazynie
Is Income Tax Expense,Czy koszt podatku dochodowego
Make Difference Entry,Wprowadź różnicę
Total (Credit),Całkowity kredyt)
The Brand,Marka
Item 3,Pozycja 3
Deferred Expense Account,Rachunek odroczonych kosztów
Accumulated Depreciation Amount,Skumulowana kwota amortyzacji
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Miejsce powstawania kosztów jest obowiązkowe dla przedmiotu {2}
No accounting entries for the following warehouses,Brak wpisów księgowych dla następujących magazynów
Please save first,Zapisz najpierw
Extra Small,Bardzo mały
Assessment Group,Grupa oceniająca
UOM,UOM
Bills raised by Suppliers.,Rachunki podniesione przez dostawców.
HR User,Użytkownik HR
Profit for the year,Zysk za rok
Medical Code,Kodeks medyczny
Update bank payment dates with journals.,Aktualizuj daty płatności bankowych za pomocą czasopism.
Current Assets,Aktywa bieżące
Row #{0}: Asset {1} does not belong to company {2},Wiersz # {0}: Zasób {1} nie należy do firmy {2}
Contact Person,Osoba kontaktowa
{0} - {1} is not enrolled in the Batch {2},{0} - {1} nie jest zarejestrowany w partii {2}
Holiday List Name,Nazwa listy urlopowej
Collection Temperature ,Temperatura zbierania
Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Zarządzaj zgłoszeniem faktury terminowej i anuluj automatycznie dla Spotkania pacjenta
Claim Date,Data roszczenia
Leave blank if the Supplier is blocked indefinitely,"Pozostaw puste, jeśli dostawca jest zablokowany na czas nieokreślony"
Attendance From Date and Attendance To Date is mandatory,Obecność od daty i obecność na randce jest obowiązkowa
Out of Warranty,poza gwarancją
Same item cannot be entered multiple times.,Tego samego elementu nie można wprowadzić wielokrotnie.
Select students manually for the Activity based Group,Wybierz uczniów ręcznie dla grupy opartej na aktywności
Series Updated,Seria zaktualizowana
Date Of Retirement,Data przejścia na emeryturę
Please select Patient,Wybierz pacjenta
Straight Line,Linia prosta
No of Sent SMS,Liczba wysłanych wiadomości SMS
GST Itemised Sales Register,GST Itemized Sales Register
Total advance amount cannot be greater than total sanctioned amount,Całkowita kwota zaliczki nie może być większa niż całkowita kwota sankcji
Test Name,Nazwa testu
Total Billing Amount (via Time Sheet),Łączna kwota fakturowania (za pomocą karty czasu)
Quotation {0} is cancelled,Oferta {0} została anulowana
Clear values,Wyczyść wartości
Traceability,Identyfikowalność
Same Company is entered more than once,Ta sama firma jest wprowadzana więcej niż raz
Contact Name,Nazwa Kontaktu
Is Internal Customer,Czy jest klientem wewnętrznym
Account Head,Szef konta
Lower Income,Niższy przychód
Start date should be less than end date for task {0},Data rozpoczęcia powinna być mniejsza niż data zakończenia dla zadania {0}
Customer Service,Obsługa klienta
Fee,Opłata
BOM {0} does not belong to Item {1},LM {0} nie należy do elementu {1}
Daily Work Summary Group,Grupa dziennych podsumowań pracy
Customizing Forms,Dostosowywanie formularzy
Cancel Material Visit {0} before cancelling this Warranty Claim,Anuluj wizytę materiałową {0} przed anulowaniem roszczenia gwarancyjnego
Ignore Pricing Rule,Ignoruj regułę cenową
Food,jedzenie
Lost Reason Detail,Szczegóły utraconego powodu
Customer Feedback,Opinie klientów
Warranty / AMC Details,Gwarancja / szczegóły AMC
Opening Time,Czas otwarcia
View a list of all the help videos,Wyświetl listę wszystkich filmów pomocy
Party Account Currency,Waluta konta strony
Please select a field to edit from numpad,Wybierz pole do edycji z klawiatury numerycznej
Assessment Plan Criteria,Kryteria planu oceny
Item Fields,Pola przedmiotów
Manage Sales Partners.,Zarządzaj partnerami handlowymi.
"Cannot declare as lost, because Quotation has been made.","Nie można ogłosić utraty, ponieważ oferta została wyceniona."
"Here you can maintain family details like name and occupation of parent, spouse and children","Tutaj możesz zachować szczegóły rodziny, takie jak nazwisko i zawód rodzica, małżonka i dzieci"
Shipping City,Miasto wysyłkowe
Update Items,Aktualizuj elementy
Customer Ledger Summary,Podsumowanie księgi klienta
B Positive,B Dodatni
Accounting journal entries.,Pozycje dziennika księgowego.
Purchase Order Required,Wymagane zamówienie zakupu
New Student Batch,Nowa partia studencka
Account Type,typ konta
Fuel Type,Typ paliwa
Email sent to {0},E-mail wysłany do {0}
Change Release Date,Zmień datę wydania
Default BOM for {0} not found,Nie znaleziono domyślnej specyfikacji materiałowej dla {0}
HSN-wise-summary of outward supplies,HSN-podsumowanie podsumowania dostaw zewnętrznych
Appointments and Encounters,Spotkania i spotkania
Tax Withholding Category,Kategoria potrącania podatku
Linked Doctype,Połączony Doctype
Cost of Goods Sold,Koszt sprzedanych towarów
Reading 3,Czytanie 3
Group by Voucher,Grupuj według Vouchera
Delivered Items To Be Billed,Dostarczone przedmioty do rozliczenia
Employee Transfer Details,Szczegóły transferu pracowników
Company registration numbers for your reference. Tax numbers etc.,Numery rejestracyjne firmy w celach informacyjnych. Numery podatkowe itp.
Serial No {0} does not belong to Warehouse {1},Numer seryjny {0} nie należy do hurtowni {1}
Del,Del
on,na
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Tutaj możesz zdefiniować wszystkie zadania, które należy wykonać dla tej uprawy. Pole dnia jest używane do wskazania dnia, w którym zadanie musi zostać wykonane, 1 to dzień 1 itd."
Task,Zadanie
Help HTML,Pomoc HTML
Dosage by time interval,Dawkowanie według przedziału czasu
Batch Description,Opis partii
Please set associated account in Tax Withholding Category {0} against Company {1},Ustaw powiązane konto w kategorii potrącenia podatku {0} przeciwko firmie {1}
Needs Analysis,Analiza potrzeb
Allocated Leaves,Przydzielone liście
Transaction Details,szczegóły transakcji
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Opublikuj „W magazynie” lub „Nie w magazynie” na Hub na podstawie zapasów dostępnych w tym magazynie.
Company name not same,Nazwa firmy nie jest taka sama
Employee Promotion cannot be submitted before Promotion Date ,Promocji pracownika nie można przesłać przed datą promocji
Not allowed to update stock transactions older than {0},Nie wolno aktualizować transakcji giełdowych starszych niż {0}
Start date should be less than end date for Item {0},Data rozpoczęcia powinna być krótsza niż data zakończenia dla elementu {0}
Create customer quotes,Utwórz oferty dla klientów
Buying Settings,Ustawienia zakupu
Restaurant Menu Item,Pozycja menu restauracji
Calculate Total Score,Oblicz całkowity wynik
Issue Type,typ problemu
Start date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Data rozpoczęcia zadania <b>{0}</b> nie może być większa niż <b>{1}</b> oczekiwana data zakończenia <b>{2}</b>
Balance Value,Wartość bilansowa
Groups,Grupy
Target warehouse in row {0} must be same as Work Order,Magazyn docelowy w wierszu {0} musi być taki sam jak zlecenie robocze
Serial Number: {0} is already referenced in Sales Invoice: {1},Numer seryjny: {0} jest już przywoływany w fakturze sprzedaży: {1}
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Jeśli Shopify nie zawiera klienta w Zamówieniu, to podczas synchronizowania Zamówień system rozważy domyślnego klienta dla zamówienia"
Shopify Tax Account,Shopify Tax Account
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,"Upewnij się, że naprawdę chcesz usunąć wszystkie transakcje dla tej firmy. Twoje dane podstawowe pozostaną bez zmian. Ta akcja nie może zostać cofnięta."
Auto Repeat Detail,Auto powtarzanie szczegółów
Please supply the specified items at the best possible rates,Proszę podać określone produkty po najlepszych możliwych cenach
{0} in row {1},{0} w wierszu {1}
Job Card Time Log,Dziennik czasu pracy karty
Patient Demographics,Dane demograficzne pacjenta
To Folio No,Do folio nie
Cash Flow from Operations,Przepływy pieniężne z operacji
Allow Negative Stock,Zezwalaj na negatywne zapasy
None of the items have any change in quantity or value.,Żaden z elementów nie ma żadnych zmian w ilości ani wartości.
Purchase Date,Data zakupu
Bank Statement Transaction Settings Item,Pozycja ustawień wyciągu bankowego
BOM Stock Report,Raport zapasów BOM
Write Off,Odpisać
Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount,Wiersz {0}: oczekiwana wartość po okresie użyteczności musi być mniejsza niż kwota zakupu brutto
Personal Bio,Osobiste Bio
Duplicate Entry. Please check Authorization Rule {0},Zduplikowana wartość. Sprawdź regułę autoryzacji {0}
Employee {0} has already applied for {1} on {2} : ,Pracownik {0} złożył już wniosek o {1} w dniu {2}:
Standard Selling,Sprzedaż standardowa
Invoiced,Fakturowane
User {0} already exists,Użytkownik {0} już istnieje
Profit and Loss,Zysk i strata
Diff Qty,Diff Qty
Written Down Value,Zapisana wartość
Opening Balance Equity,Kapitał własny otwarcia
April,kwiecień
Credit Limit,Limit kredytu
Distribution,Dystrybucja
debit_note_amt,debit_note_amt
Inspected By,Sprawdzone przez
Get Items from Product Bundle,Pobierz przedmioty z pakietu produktów
Employee Benefit Claim,Roszczenie o świadczenie pracownicze
Clearance Date not mentioned,Data niewymieniona
Default Receivable Account,Domyślne konto należności
Check if it is a hydroponic unit,"Sprawdź, czy jest to jednostka hydroponiczna"
Others,Inni
Patient Appointment,Spotkanie z pacjentem
AB Positive,AB Positive
Depreciation Date,Data amortyzacji
Upcoming Calendar Events,Nadchodzące wydarzenia kalendarzowe
"Appraisals, Expense Claims and Loans","Wyceny, roszczenia i pożyczki"
Create Student Batch,Utwórz Partię Ucznia
Travel Advance Required,Wymagana zaliczka na podróż
Orders released for production.,Zamówienia dopuszczone do produkcji.
Collection Rules,Zasady zbiórki
Disable CWIP Accounting,Wyłącz księgowość CWIP
Item Code &gt; Item Group &gt; Brand,Kod towaru&gt; Grupa produktów&gt; Marka
Section Based On,Sekcja na podstawie
{0} already allocated for Employee {1} for period {2} to {3},{0} już przydzielony pracownikowi {1} na okres {2} do {3}
Row {0}: From Time and To Time of {1} is overlapping with {2},Wiersz {0}: od czasu do czasu {1} pokrywa się z {2}
Very Hyper,Bardzo hiper
Select the nature of your business.,Wybierz charakter swojej firmy.
Please select month and year,Wybierz miesiąc i rok
Student Log,Dziennik ucznia
Enable Checkout,Włącz usługę Checkout
Human Resources,Zasoby ludzkie
Total Value Difference (Out - In),Różnica wartości całkowitej (Out-In)
Actual End Time,Rzeczywisty czas zakończenia
Setting up Taxes,Konfigurowanie podatków
Net Cash from Investing,Środki pieniężne netto z inwestycji
Accounting Ledger,Księga rachunkowa
Item Group Tree,Drzewo grupy elementów
'Total',&#39;Całkowity&#39;
Item 1,Przedmiot 1
Student Batches,Partie studenckie
"Attach .csv file with two columns, one for the old name and one for the new name","Dołącz plik .csv z dwiema kolumnami, jedną dla starej nazwy i jedną dla nowej nazwy"
outstanding_amount,outstanding_amount
Susceptible,Podatny
Total (Company Currency),Razem (waluta firmy)
Website Content,Zawartość strony internetowej
Driving License Category,Kategoria prawa jazdy
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Wiersz # {0}: Oczekiwana data dostawy nie może być wcześniejsza niż data zamówienia
Make Payment,Dokonać płatności
Party Type is mandatory,Typ imprezy jest obowiązkowy
The fields From Shareholder and To Shareholder cannot be blank,Pola Od akcjonariusza i Akcjonariusza nie mogą być puste
Quality Management,Zarządzanie jakością
Transfer Material Against,Materiał transferowy przeciwko
Temporarily on Hold,Tymczasowo wstrzymany
Connect Shopify with ERPNext,Połącz Shopify z ERPNext
Subtitle,Podtytuł
Loam,Ił
Scrap Material Cost(Company Currency),Koszt materiału złomowego (waluta firmy)
Delivery Note {0} must not be submitted,Uwaga dotycząca dostawy {0} nie może zostać przesłana
Actual Start Date (via Time Sheet),Rzeczywista data rozpoczęcia (za pomocą karty czasu)
Delivery Date,Data dostarczenia
Item Shortage Report,Raport o braku towaru
Price Determination,Ustalanie cen
Retail & Wholesale,Sprzedaż detaliczna i hurtowa
Twice Daily,Dwa razy dziennie
Integrated Tax,Zintegrowany podatek
Deductions or Loss,Potrącenia lub straty
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","System fiskalny jest obowiązkowy, uprzejmie ustal system podatkowy w firmie {0}"
Time slots added,Dodano przedziały czasowe
Leaves must be allocated in multiples of 0.5,"Liście muszą być przydzielone w wielokrotności 0,5"
Amount {0} {1} deducted against {2},Kwota {0} {1} potrącona przeciwko {2}
Payment Reconciliation Payment,Rozliczenie płatności Płatność
Template of terms or contract.,Szablon warunków lub umowy.
Barcodes,Kody kreskowe
Enrollment Date,Data rejestracji
Clear Table,Wyczyść tabelę
Setting up company,Zakładanie firmy
Free item code is not selected,Kod wolnego przedmiotu nie jest wybrany
Total Unpaid: {0},Całkowita niezapłacona kwota: {0}
Balance must be,Musi być równowaga
Default Bank Account,Domyślne konto bankowe
Creating Fees,Tworzenie opłat
Please select Qty against item {0},Wybierz Ilość względem pozycji {0}
Do not confirm if appointment is created for the same day,"Nie potwierdzaj, czy spotkanie zostało utworzone na ten sam dzień"
Repaid/Closed,Spłacony / Zamknięty
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Wiersz {0}: {1} Numery seryjne wymagane dla pozycji {2}. Podałeś {3}.
Gain/Loss,Zysk / Strata
Sales Invoice Payment,Płatność faktury sprzedaży
Payslip,Odcinek wypłaty
HSN,HSN
Request for quotation.,Zapytanie ofertowe.
Procurement Tracker,Śledzenie zamówień
Type of Proof,Rodzaj dowodu
Vehicle Date,Data pojazdu
Dispatch Settings,Ustawienia wysyłki
Dependencies,Zależności
Lost,Stracony
Replace BOM,Zastąp BOM
Marital Status,Stan cywilny
Enter retirement age in years,Wprowadź wiek emerytalny w latach
No items listed,Brak pozycji na liście
No data to export,Brak danych do eksportu
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,"Wybierz Carry Forward, jeśli chcesz również uwzględnić poprzednie saldo roku obrachunkowego w tym roku podatkowym"
Opening Stock Balance,Saldo początkowe
Leave Blocked,Zostaw zablokowane
Asset Category is mandatory for Fixed Asset item,Kategoria aktywów jest obowiązkowa dla pozycji Środki trwałe
Required By,Wymagane przez
Add to Details,Dodaj do szczegółów
Inactive Customers,Klienci nieaktywni
Dosage,Dawkowanie
Starting position from top edge,Pozycja wyjściowa od górnej krawędzi
Appointment Duration (mins),Czas spotkania (min)
Disable,Wyłączyć
Purchase Orders to Receive,Zamówienia zakupu do odbioru
Productions Orders cannot be raised for:,Produkcje Zamówienia nie można składać za:
Ignore Employee Time Overlap,Ignoruj nakładanie się czasu pracownika
Trainings,Szkolenia
Lost Reasons,Przegrane przyczyny
A Positive,Pozytywne
Reading 7,Czytanie 7
Serial No,Numer seryjny
Required Quantity,Wymagana ilość
Parent Location,Lokalizacja rodziców
Material Requests,Żądania materiałów
Material Transferred for Subcontract,Materiał przeniesiony na podwykonawstwo
Timing Detail,Szczegóły synchronizacji
Required On,Wymagane Włączone
Importing {0} of {1},Importowanie {0} z {1}
Job Offer Term,Termin oferty pracy
All Contact,Wszystko Kontakt
Project Task,Zadanie projektowe
Item Barcode,Kod kreskowy przedmiotu
Stock Levels,Poziomy zapasów
Height (In Meter),Wysokość (w metrze)
Order Value,Wartość zamówienia
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Wszystkie transakcje sprzedaży mogą być oznaczone wieloma osobami ** sprzedaży, dzięki czemu można ustawić i monitorować cele."
You have already selected items from {0} {1},Wybrałeś już elementy z {0} {1}
Get Suppliers,Uzyskaj dostawców
Contribution (%),Wkład (%)
Cannot set a received RFQ to No Quote,Nie można ustawić odebranego zapytania ofertowego na Brak wyceny
Create Sales Order,Utwórz zlecenie sprzedaży
Account: {0} can only be updated via Stock Transactions,Konto: {0} można zaktualizować tylko za pomocą transakcji giełdowych
{0} Request for {1},{0} Wniosek o {1}
Please select a value for {0} quotation_to {1},Wybierz wartość dla {0} quotation_to {1}
Opportunity Date,Data szansy
Next Steps,Następne kroki
Training Feedback,Opinie o szkoleniu
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
Total Holidays,Razem święta
Fertilizer Name,Nazwa nawozu
House rented dates required for exemption calculation,Daty wynajmu domu wymagane do obliczenia zwolnienia
Expiring Memberships,Wygasające członkostwo
Supplier(s),Dostawca (y)
Please setup numbering series for Attendance via Setup &gt; Numbering Series,Proszę ustawić serię numeracji dla Obecności poprzez Ustawienia&gt; Seria numerowania
To Rename,Aby zmienić nazwę
Contact Us,Skontaktuj się z nami
Cashier,Kasjer
Hour,Godzina
Show Latest Forum Posts,Pokaż najnowsze posty na forum
Distributor,Dystrybutor
"Please add the remaining benefits {0} to the application as \
				pro-rata component",Dodaj pozostałe korzyści {0} do aplikacji jako komponent proporcjonalny
Short Term Loan Account,Konto pożyczki krótkoterminowej
Section Subtotal,Suma częściowa
Material Request to Purchase Order,Żądanie materiałów do zamówienia zakupu
CESS Amount,CESS Kwota
Not authorized to edit frozen Account {0},Nie masz uprawnień do edycji zamrożonego konta {0}
Expected Amount,Oczekiwana kwota
Default Price List,Cennik domyślny
No Items selected for transfer,Nie wybrano elementów do przesłania
Payment Amount,Wielkość płatności
Assessment  Manager,Menedżer oceny
Chemical,Chemiczny
Assessment Reports,Raporty z oceny
IV,IV
Academic,Akademicki
Item {0} is not setup for Serial Nos. Check Item master,Pozycja {0} nie jest ustawiona dla numerów seryjnych. Sprawdź element główny
From State,Z państwa
Maximum Continuous Days Applicable,Maksymalne ciągłe dni
Support Team.,Grupa wsparcia.
Please enter company name first,Najpierw wprowadź nazwę firmy
Import Successful,Import zakończony sukcesem
Alternate Number,Alternatywny numer
All Departments,Wszystkie departamenty
Make project from a template.,Utwórz projekt z szablonu.
Inter Company Order Reference,Informacje o zamówieniach między firmami
Work Order {0} must be cancelled before cancelling this Sales Order,Zlecenie pracy {0} musi zostać anulowane przed anulowaniem tego zlecenia sprzedaży
Employee Number,Numer pracownika
Avg. Buying Rate,Śr. Cena zakupu
Capacity Planning For (Days),Planowanie zdolności na (dni)
From value must be less than to value in row {0},Wartość Od musi być mniejsza niż wartość w wierszu {0}
Select BOM and Qty for Production,Wybierz BOM i ilość dla produkcji
Price List Country,Kraj Cennik
Create Tax Template,Utwórz szablon podatku
Numeric Values,Wartości liczbowe
Instructions,Instrukcje
Blanket Order Item,Pozycja zamówienia Koc
Commission rate cannot be greater than 100,Stawka prowizji nie może być większa niż 100
Course Topic,Temat kursu
This will restrict user access to other employee records,Spowoduje to ograniczenie dostępu użytkowników do innych rekordów pracowników
Please create Customer from Lead {0},Utwórz klienta z Lead {0}
Company Settings,Ustawienia firmy
Vegetarian,Wegetariański
"An item exists with same name ({0}), please change the item group name or rename the item","Przedmiot istnieje pod tą samą nazwą ({0}), zmień nazwę grupy przedmiotów lub zmień nazwę elementu"
Hotel Room Type,Rodzaj pokoju hotelowego
Cash Flow,Przepływ środków pieniężnych
Payment against {0} {1} cannot be greater than Outstanding Amount {2},Płatność za {0} {1} nie może być większa niż zaległa kwota {2}
Achievement,Osiągnięcie
Add Multiple Tasks,Dodaj wiele zadań
Item Variant {0} already exists with same attributes,Wariant elementu {0} już istnieje z tymi samymi atrybutami
Invoice {0} no longer exists,Faktura {0} już nie istnieje
Will also apply for variants unless overrridden,"Dotyczy również wariantów, chyba że zostanie przekroczony"
Account,Konto
To Deliver,Dostarczyć
Customers Without Any Sales Transactions,Klienci bez żadnych transakcji sprzedaży
Against Document No,Przeciwko dokumentowi nr
Content Masters,Mistrzowie treści
Subscription Management,Zarządzanie subskrypcją
Get customers from,Odbierz klientów
{0} Digest,{0} Przegląd
Reports to,Raporty do
Party Account,Konto Party
Schedule,Harmonogram
Please enter ,Wpisz
Channel Partner,Współpracownik dystrybucyjny
Invoiced Amount,Kwota zafakturowana
From Template,Z szablonu
Subscriptions,Subskrypcje
Quantity to Make,Ilość do zrobienia
Achieved,Osiągnięty
Contribution Amount,Kwota wkładu
Fiscal Year,Rok podatkowy
Prevent RFQs,Zapobiegaj zapytaniom
Discount Received Account,Konto otrzymane z rabatem
 (Half Day),(Połowa dnia)
Email Digest,Podsumowanie wiadomości e-mail
Crop,Przyciąć
Profit & Loss,Zysk i strata
Section Order,Kolejność sekcji
Result Printed,Wynik wydrukowany
Student Group,Grupa Studentów
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standardowy szablon podatku, który można zastosować do wszystkich transakcji zakupu. Ten szablon może zawierać listę głów podatkowych, a także inne głowice wydatków, takie jak „Wysyłka”, „Ubezpieczenie”, „Obsługa” itp. #### Uwaga Stawka podatku, którą tutaj zdefiniujesz, będzie stawką standardową dla wszystkich ** Pozycji * *. Jeśli istnieją ** przedmioty **, które mają różne stawki, muszą zostać dodane w tabeli ** Podatek od przedmiotów ** w tytule ** Przedmiot **. #### Opis kolumn 1. Typ kalkulacji: - Może być na ** Suma netto ** (czyli suma kwoty podstawowej). - ** W przypadku poprzedniej sumy wierszy / kwoty ** (dla skumulowanych podatków lub opłat). Jeśli wybierzesz tę opcję, podatek zostanie zastosowany jako procent kwoty poprzedniego wiersza (w tabeli podatkowej) kwoty lub sumy. - ** Rzeczywisty ** (jak wspomniano). 2. Kierownik rachunku: księga rachunkowa, w ramach której podatek zostanie zaksięgowany 3. Miejsce powstawania kosztów: Jeśli podatek / opłata jest dochodem (np. Wysyłka) lub wydatkiem, należy go zarezerwować w miejscu powstawania kosztów. 4. Opis: opis podatku (który zostanie wydrukowany w fakturach / ofertach). 5. Stawka: Stawka podatku. 6. Kwota: kwota podatku. 7. Suma: Łączna suma do tego punktu. 8. Wpisz wiersz: Jeśli opiera się na „Poprzedni wiersz sumy”, możesz wybrać numer wiersza, który zostanie przyjęty jako podstawa do tego obliczenia (domyślnie jest to poprzedni wiersz). 9. Zastanów się nad podatkiem lub opłatą za: W tej sekcji możesz określić, czy podatek / opłata dotyczy wyłącznie wyceny (a nie części całości) czy tylko całości (nie dodaje wartości do przedmiotu) lub obu. 10. Dodaj lub odlicz: Czy chcesz dodać lub odliczyć podatek."
Connect to Quickbooks,Połącz z Quickbookami
Root cannot be edited.,Korzenia nie można edytować.
Engineer,Inżynier
Row #{0}: Item added,Wiersz # {0}: element dodany
Eligibility and Details,Uprawnienia i szczegóły
Staffing Plan Detail,Szczegółowy plan personelu
Annual Income,Roczny dochód
Subscription Section,Sekcja subskrypcji
Payment Days,Dni płatności
Volunteer information.,Informacje dla wolontariuszy.
`Freeze Stocks Older Than` should be smaller than %d days.,`Zamrożenie zapasów starsze niż` powinno być mniejsze niż% d dni.
Select Fiscal Year,Wybierz rok podatkowy
Total Amount,Łączna kwota
Non Profit,Non Profit
Cancel Invoice After Grace Period,Anuluj fakturę po zakończeniu okresu rozliczeniowego
Loyalty Points,Punkty lojalnościowe
Set Target Warehouse,Ustaw magazyn docelowy
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.","{0} ma obecnie {1} pozycję karty wyników dostawcy, a zapytania do tego dostawcy powinny być wydawane z ostrożnością."
Check-in Date,Sprawdź w terminie
Round Off Account,Konto zaokrąglone
Warranty Period (Days),Okres gwarancji (dni)
Expense Claim Detail,Szczegółowe informacje o żądaniach wydatków
Program: ,Program:
Patient Medical Record,Dokumentacja medyczna pacjenta
Action Description,Opis działania
Variant Based On,Wariant na podstawie
Brake Oil,Olej hamulcowy
Create User,Stwórz użytkownika
Codification Table,Tabela kodyfikacyjna
Optional,Opcjonalny
Show Leaves Of All Department Members In Calendar,Pokaż liście wszystkich członków działu w kalendarzu
