DocType: Accounting Period,Period Name,Nama Periode
DocType: Item Default,Item Default,Default Barang
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Intra-State Supplies,Persediaan Antar Negara
DocType: Chapter Member,Leave Reason,Tinggalkan Alasan
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,IBAN is not valid,IBAN tidak valid
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Invoice {0} no longer exists,Faktur {0} tidak ada lagi
DocType: Guardian Interest,Guardian Interest,wali Tujuan
DocType: Volunteer,Availability,Tersedianya
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.py,Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Aplikasi cuti dikaitkan dengan alokasi cuti {0}. Aplikasi cuti tidak dapat ditetapkan sebagai cuti tanpa membayar
apps/erpnext/erpnext/config/retail.py,Setup default values for POS Invoices,Tetapkan nilai default untuk Faktur POS
DocType: Employee Training,Training,Latihan
DocType: Project,Time to send,Saatnya mengirim
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,This page keeps track of your items in which buyers have showed some interest.,Halaman ini melacak barang-barang Anda di mana pembeli telah menunjukkan minat.
DocType: Timesheet,Employee Detail,Detil karyawan
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.py,Set warehouse for Procedure {0} ,Atur gudang untuk Prosedur {0}
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Email ID,ID Email Guardian1
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Error: {0} is mandatory field,Kesalahan: {0} adalah bidang wajib
DocType: Lab Prescription,Test Code,Kode uji
apps/erpnext/erpnext/config/website.py,Settings for website homepage,Pengaturan untuk homepage website
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} is on hold till {1},{0} ditahan sampai {1}
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,RFQs are not allowed for {0} due to a scorecard standing of {1},RFQ tidak diizinkan untuk {0} karena kartu skor berdiri dari {1}
apps/erpnext/erpnext/templates/pages/order.html,Make Purchase Invoice,Membuat Purchase Invoice
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Used Leaves,Cuti Yang Telah Digunakan
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,{0} Coupon used are {1}. Allowed quantity is exhausted,{0} Kupon yang digunakan adalah {1}. Kuantitas yang diizinkan habis
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Do you want to submit the material request,Apakah Anda ingin mengirimkan permintaan materi
DocType: Job Offer,Awaiting Response,Menunggu Respon
DocType: Course Schedule,EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Above,Di atas
DocType: Support Search Source,Link Options,Opsi Tautan
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Total Amount {0},Jumlah Total {0}
apps/erpnext/erpnext/controllers/item_variant.py,Invalid attribute {0} {1},atribut tidak valid {0} {1}
DocType: Supplier,Mention if non-standard payable account,Sebutkan jika akun hutang non-standar
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.py,Please select the assessment group other than 'All Assessment Groups',Harap pilih kelompok penilaian selain &#39;Semua Kelompok Penilaian&#39;
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Row {0}: Cost center is required for an item {1},Baris {0}: Pusat biaya diperlukan untuk item {1}
DocType: Training Event Employee,Optional,Pilihan
DocType: Salary Slip,Earning & Deduction,Earning & Pengurangan
DocType: Agriculture Analysis Criteria,Water Analysis,Analisis air
DocType: Sales Order,Skip Delivery Note,Lewati Catatan Pengiriman
DocType: Price List,Price Not UOM Dependent,Harga Tidak Tergantung UOM
apps/erpnext/erpnext/stock/doctype/item/item.js,{0} variants created.,{0} varian dibuat.
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,A Default Service Level Agreement already exists.,Perjanjian Tingkat Layanan Default sudah ada.
DocType: Quality Objective,Quality Objective,Tujuan Kualitas
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Optional. This setting will be used to filter in various transactions.,Opsional. Pengaturan ini akan digunakan untuk menyaring dalam berbagai transaksi.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Valuation Rate is not allowed,Tingkat Penilaian negatif tidak diperbolehkan
DocType: Holiday List,Weekly Off,Weekly Off
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.js,Reload Linked Analysis,Reload Linked Analysis
DocType: Fiscal Year,"For e.g. 2012, 2012-13","Untuk misalnya 2012, 2012-13"
DocType: Purchase Order,Purchase Order Pricing Rule,Aturan Harga Pesanan Pembelian
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Provisional Profit / Loss (Credit),Laba Provisional / Rugi (Kredit)
DocType: Sales Invoice,Return Against Sales Invoice,Retur Terhadap Faktur Penjualan
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 5,Butir 5
DocType: Serial No,Creation Time,Waktu Pembuatan
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Total Revenue,Total Pendapatan
DocType: Patient,Other Risk Factors,Faktor Risiko Lainnya
DocType: Sales Invoice,Product Bundle Help,Bantuan Bundel Produk
,Monthly Attendance Sheet,Lembar Kehadiran Bulanan
DocType: Homepage Section Card,Subtitle,Subtitle
apps/erpnext/erpnext/hr/report/employee_advance_summary/employee_advance_summary.py,No record found,Tidak ada catatan ditemukan
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of Scrapped Asset,Biaya Asset dibatalkan
DocType: Employee Checkin,OUT,DI LUAR
apps/erpnext/erpnext/controllers/stock_controller.py,{0} {1}: Cost Center is mandatory for Item {2},"{0} {1}: ""Pusat Biaya"" adalah wajib untuk Item {2}"
DocType: Vehicle,Policy No,Kebijakan Tidak ada
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get Items from Product Bundle,Dapatkan Barang-barang dari Bundel Produk
DocType: Asset,Straight Line,Garis lurus
DocType: Project User,Project User,proyek Pengguna
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Split,Membagi
DocType: Tally Migration,Master Data,Data master
DocType: Employee Transfer,Re-allocate Leaves,Alokasi Ulang Cuti
DocType: GL Entry,Is Advance,Apakah Muka
apps/erpnext/erpnext/config/hr.py,Employee Lifecycle,Siklus Hidup Karyawan
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Attendance From Date and Attendance To Date is mandatory,Kehadiran Dari Tanggal dan Kehadiran Sampai Tanggal adalah wajib
apps/erpnext/erpnext/controllers/buying_controller.py,Please enter 'Is Subcontracted' as Yes or No,Entrikan 'Apakah subkontrak' sebagai Ya atau Tidak
DocType: Item,Default Purchase Unit of Measure,Unit Pembelian Default
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.py,Last Communication Date,Tanggal Komunikasi Terakhir
DocType: Clinical Procedure Item,Clinical Procedure Item,Item Prosedur Klinis
DocType: Sales Team,Contact No.,Hubungi Nomor
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Billing Address is same as Shipping Address,Alamat Penagihan sama dengan Alamat Pengiriman
DocType: Bank Reconciliation,Payment Entries,Entries pembayaran
DocType: Location,Latitude,Lintang
DocType: Work Order,Scrap Warehouse,Gudang memo
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Gudang yang diperlukan di Baris Tidak {0}, setel gudang default untuk item {1} untuk perusahaan {2}"
DocType: Work Order,Check if material transfer entry is not required,Periksa apakah entri pemindahan material tidak diperlukan
DocType: Program Enrollment Tool,Get Students From,Dapatkan Siswa Dari
apps/erpnext/erpnext/config/help.py,Publish Items on Website,Publikasikan Produk di Website
apps/erpnext/erpnext/utilities/activation.py,Group your students in batches,Kelompok siswa Anda dalam batch
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be greater than unadjusted amount,Jumlah yang dialokasikan tidak boleh lebih besar dari jumlah yang tidak disesuaikan
DocType: Authorization Rule,Authorization Rule,Regulasi Autorisasi
apps/erpnext/erpnext/projects/doctype/project/project.py,Status must be Cancelled or Completed,Status harus Dibatalkan atau Diselesaikan
DocType: Sales Invoice,Terms and Conditions Details,Syarat dan Ketentuan Detail
DocType: Sales Invoice,Sales Taxes and Charges Template,Penjualan Pajak dan Biaya Template
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Total (Credit),Total (Kredit)
DocType: Repayment Schedule,Payment Date,Tanggal pembayaran
apps/erpnext/erpnext/stock/doctype/batch/batch.js,New Batch Qty,Baru Batch Qty
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Apparel & Accessories,Pakaian & Aksesoris
apps/erpnext/erpnext/controllers/accounts_controller.py,Item quantity can not be zero,Kuantitas barang tidak boleh nol
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve weighted score function. Make sure the formula is valid.,Tidak dapat memecahkan fungsi skor tertimbang. Pastikan rumusnya benar.
DocType: Invoice Discounting,Loan Period (Days),Periode Pinjaman (Hari)
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Purchase Order Items not received on time,Item Pesanan Pembelian tidak diterima tepat waktu
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Number of Order,Jumlah Order
DocType: Item Group,HTML / Banner that will show on the top of product list.,HTML / Banner yang akan muncul di bagian atas daftar produk.
DocType: Shipping Rule,Specify conditions to calculate shipping amount,Tentukan kondisi untuk menghitung jumlah pengiriman
DocType: Program Enrollment,Institute's Bus,Bus Institut
DocType: Accounts Settings,Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Peran Diizinkan Set Beku Account & Edit Frozen Entri
DocType: Supplier Scorecard Scoring Variable,Path,Jalan
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Cannot convert Cost Center to ledger as it has child nodes,Tidak dapat mengkonversi Pusat Biaya untuk buku karena memiliki node anak
DocType: Production Plan,Total Planned Qty,Total Rencana Qty
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Transactions already retreived from the statement,Transaksi sudah diambil dari pernyataan
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Opening Value,Nilai pembukaan
DocType: Salary Component,Formula,Rumus
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Serial #,Serial #
DocType: Material Request Plan Item,Required Quantity,Kuantitas yang Diperlukan
DocType: Lab Test Template,Lab Test Template,Lab Test Template
apps/erpnext/erpnext/accounts/doctype/accounting_period/accounting_period.py,Accounting Period overlaps with {0},Periode Akuntansi tumpang tindih dengan {0}
apps/erpnext/erpnext/setup/doctype/company/company.py,Sales Account,Akun penjualan
DocType: Purchase Invoice Item,Total Weight,Berat keseluruhan
DocType: Pick List Item,Pick List Item,Pilih Item Daftar
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Commission on Sales,Komisi Penjualan
DocType: Job Offer Term,Value / Description,Nilai / Keterangan
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Row # {0}: Aset {1} tidak dapat disampaikan, itu sudah {2}"
DocType: Tax Rule,Billing Country,Negara Penagihan
DocType: Purchase Order Item,Expected Delivery Date,Diharapkan Pengiriman Tanggal
DocType: Restaurant Order Entry,Restaurant Order Entry,Entri Pemesanan Restoran
apps/erpnext/erpnext/accounts/general_ledger.py,Debit and Credit not equal for {0} #{1}. Difference is {2}.,Debit dan Kredit tidak sama untuk {0} # {1}. Perbedaan adalah {2}.
DocType: Clinical Procedure Item,Invoice Separately as Consumables,Invoice secara terpisah sebagai Consumable
DocType: Budget,Control Action,Tindakan Kontrol
DocType: Asset Maintenance Task,Assign To Name,Berikan nama
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Entertainment Expenses,Beban Hiburan
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open Item {0},Terbuka Barang {0}
DocType: Asset Finance Book,Written Down Value,Nilai Tertulis
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Sales Invoice {0} must be cancelled before cancelling this Sales Order,Faktur Penjualan {0} harus dibatalkan sebelum membatalkan Sales Order ini
DocType: Clinical Procedure,Age,Usia
DocType: Sales Invoice Timesheet,Billing Amount,Jumlah Penagihan
DocType: Cash Flow Mapping,Select Maximum Of 1,Pilih Maksimum 1
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,Invalid quantity specified for item {0}. Quantity should be greater than 0.,Kuantitas tidak valid untuk item {0}. Jumlah harus lebih besar dari 0.
DocType: Company,Default Employee Advance Account,Akun uang muka karyawan
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Search Item (Ctrl + i),Search Item (Ctrl + i)
DocType: C-Form,ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be deleted,Akun dengan transaksi yang ada tidak dapat dihapus
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Why do think this Item should be removed?,Mengapa menurut Anda Barang ini harus dihapus?
DocType: Vehicle,Last Carbon Check,Terakhir Carbon Periksa
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Legal Expenses,Beban Legal
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select quantity on row ,Silakan pilih kuantitas pada baris
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Work Order {0}: job card not found for the operation {1},Perintah Kerja {0}: kartu kerja tidak ditemukan untuk operasi {1}
DocType: Purchase Invoice,Posting Time,Posting Waktu
DocType: Timesheet,% Amount Billed,% Jumlah Ditagih
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Telephone Expenses,Beban Telepon
DocType: Sales Partner,Logo,Logo
DocType: Naming Series,Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Periksa ini jika Anda ingin untuk memaksa pengguna untuk memilih seri sebelum menyimpan. Tidak akan ada default jika Anda memeriksa ini.
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Serial No {0},Tidak ada Stok Barang dengan Serial No {0}
DocType: Email Digest,Open Notifications,Terbuka Pemberitahuan
DocType: Payment Entry,Difference Amount (Company Currency),Perbedaan Jumlah (Perusahaan Mata Uang)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Direct Expenses,Beban Langsung
DocType: Pricing Rule Detail,Child Docname,Docname anak
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,New Customer Revenue,Pendapatan Pelanggan Baru
apps/erpnext/erpnext/config/support.py,Service Level.,Tingkat Layanan.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Travel Expenses,Biaya Perjalanan
DocType: Maintenance Visit,Breakdown,Rincian
DocType: Travel Itinerary,Vegetarian,Vegetarian
DocType: Patient Encounter,Encounter Date,Tanggal Pertemuan
DocType: Work Order,Update Consumed Material Cost In Project,Perbarui Biaya Bahan Konsumsi Dalam Proyek
apps/erpnext/erpnext/controllers/accounts_controller.py,Account: {0} with currency: {1} can not be selected,Account: {0} dengan mata uang: {1} tidak dapat dipilih
DocType: Bank Statement Transaction Settings Item,Bank Data,Data Bank
DocType: Purchase Receipt Item,Sample Quantity,Jumlah sampel
DocType: Bank Guarantee,Name of Beneficiary,Nama Penerima Manfaat
DocType: Manufacturing Settings,"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Perbarui biaya BOM secara otomatis melalui Penjadwalan, berdasarkan hitungan penilaian / daftar harga / hitungan pembelian bahan baku terakhir."
DocType: Supplier,SUP-.YYYY.-,SUP-.YYYY.-
,BOM Items and Scraps,BOM Item dan Memo
DocType: Bank Reconciliation Detail,Cheque Date,Cek Tanggal
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} does not belong to company: {2},Akun {0}: akun Induk {1} bukan milik perusahaan: {2}
apps/erpnext/erpnext/setup/doctype/company/company.js,Successfully deleted all transactions related to this company!,Berhasil dihapus semua transaksi yang terkait dengan perusahaan ini!
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,As on Date,Seperti pada Tanggal
DocType: Additional Salary,HR,HR
DocType: Course Enrollment,Enrollment Date,tanggal pendaftaran
DocType: Healthcare Settings,Out Patient SMS Alerts,SMS Pemberitahuan Pasien Luar
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Probation,Percobaan
DocType: Company,Sales Settings,Pengaturan Penjualan
DocType: Program Enrollment Tool,New Academic Year,Baru Tahun Akademik
DocType: Supplier Scorecard,Load All Criteria,Muat Semua Kriteria
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Return / Credit Note,Nota Retur / Kredit
DocType: Stock Settings,Auto insert Price List rate if missing,Insert auto tingkat Daftar Harga jika hilang
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Paid Amount,Jumlah Total Dibayar
DocType: GST Settings,B2C Limit,Batas B2C
DocType: Job Card,Transferred Qty,Ditransfer Qty
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,The selected payment entry should be linked with a creditor bank transaction,Entri pembayaran yang dipilih harus dikaitkan dengan transaksi bank kreditor
DocType: POS Closing Voucher,Amount in Custody,Jumlah dalam Penahanan
apps/erpnext/erpnext/config/help.py,Navigating,Menjelajahi
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.js,Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Kebijakan kata sandi tidak boleh mengandung spasi atau tanda hubung simultan. Format akan direstrukturisasi secara otomatis
DocType: Quotation Item,Planning,Perencanaan
DocType: Salary Component,Depends on Payment Days,Tergantung pada Hari Pembayaran
DocType: Contract,Signee,Signee
DocType: Share Balance,Issued,Diterbitkan
DocType: Loan,Repayment Start Date,Tanggal Mulai Pembayaran Kembali
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Student Activity,Kegiatan Siswa
apps/erpnext/erpnext/accounts/report/purchase_register/purchase_register.py,Supplier Id,Supplier Id
DocType: Payment Request,Payment Gateway Details,Pembayaran Detail Gateway
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Quantity should be greater than 0,Kuantitas harus lebih besar dari 0
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,Price or product discount slabs are required,Diperlukan harga atau potongan diskon produk
DocType: Journal Entry,Cash Entry,Entri Kas
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,Child nodes can be only created under 'Group' type nodes,node anak hanya dapat dibuat di bawah &#39;Grup&#39; Jenis node
DocType: Attendance Request,Half Day Date,Tanggal Setengah Hari
DocType: Academic Year,Academic Year Name,Nama Tahun Akademis
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} not allowed to transact with {1}. Please change the Company.,{0} tidak diizinkan bertransaksi dengan {1}. Harap ubah Perusahaan.
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_sub_category/employee_tax_exemption_sub_category.py,Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Jumlah Pembebasan Maks. Tidak boleh lebih dari jumlah pembebasan maksimum {0} dari Kategori Pembebasan Pajak {1}
DocType: Sales Partner,Contact Desc,Contact Info
DocType: Email Digest,Send regular summary reports via Email.,Mengirim laporan ringkasan berkala melalui Email.
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Please set default account in Expense Claim Type {0},Silakan set account default di Beban Klaim Jenis {0}
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Available Leaves,Cuti Yang Tersedia
DocType: Assessment Result,Student Name,Nama siswa
DocType: Hub Tracked Item,Item Manager,Item Manajer
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Payroll Payable,Payroll Hutang
DocType: GSTR 3B Report,April,April
DocType: Plant Analysis,Collection Datetime,Koleksi Datetime
DocType: Asset Repair,ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
DocType: Work Order,Total Operating Cost,Total Biaya Operasional
apps/erpnext/erpnext/controllers/selling_controller.py,Note: Item {0} entered multiple times,Catatan: Stok Barang {0} masuk beberapa kali
apps/erpnext/erpnext/config/buying.py,All Contacts.,Semua Kontak.
DocType: Accounting Period,Closed Documents,Dokumen Tertutup
DocType: Healthcare Settings,Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Kelola submisi Invoice Janji Pasien dan batalkan secara otomatis Pertemuan Pasien
apps/erpnext/erpnext/config/website.py,Add cards or custom sections on homepage,Tambahkan kartu atau bagian khusus di beranda
DocType: Patient Appointment,Referring Practitioner,Merujuk Praktisi
apps/erpnext/erpnext/public/js/setup_wizard.js,Company Abbreviation,Singkatan Perusahaan
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} does not exist,Pengguna {0} tidak ada
DocType: Payment Term,Day(s) after invoice date,Hari setelah tanggal faktur
apps/erpnext/erpnext/setup/doctype/company/company.js,Date of Commencement should be greater than Date of Incorporation,Tanggal Mulai harus lebih besar dari Tanggal Pendirian
DocType: Contract,Signed On,Masuk
DocType: Bank Account,Party Type,Type Partai
DocType: Discounted Invoice,Discounted Invoice,Faktur Diskon
DocType: Payment Schedule,Payment Schedule,Jadwal pembayaran
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,No Employee found for the given employee field value. '{}': {},Karyawan tidak ditemukan untuk nilai bidang karyawan yang diberikan. &#39;{}&#39;: {}
DocType: Item Attribute Value,Abbreviation,Singkatan
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry already exists,Masuk pembayaran sudah ada
DocType: Course Content,Quiz,Ulangan
DocType: Subscription,Trial Period End Date,Tanggal Akhir Periode Uji Coba
apps/erpnext/erpnext/setup/doctype/authorization_control/authorization_control.py,Not authroized since {0} exceeds limits,Tidak Authroized sejak {0} melebihi batas
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Start entering data from here : ,Mulai memasukkan data dari sini:
DocType: Serial No,Asset Status,Status Aset
DocType: Sales Invoice,Over Dimensional Cargo (ODC),Over Dimensional Cargo (ODC)
DocType: Restaurant Order Entry,Restaurant Table,Meja restoran
DocType: Hotel Room,Hotel Manager,Manajer hotel
apps/erpnext/erpnext/utilities/activation.py,Create Student Batch,Buat Gelombang Mahasiswa
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Set Tax Rule for shopping cart,Set Peraturan Pajak untuk keranjang belanja
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.py,There are no vacancies under staffing plan {0},Tidak ada lowongan di bawah rencana kepegawaian {0}
DocType: Purchase Invoice,Taxes and Charges Added,Pajak dan Biaya Ditambahkan
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Depreciation Row {0}: Next Depreciation Date tidak boleh sebelum Tersedia-untuk-digunakan Tanggal
,Sales Funnel,Penjualan Saluran
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation is mandatory,Singkatan wajib diisi
DocType: Project,Task Progress,tugas Kemajuan
apps/erpnext/erpnext/templates/includes/navbar/navbar_items.html,Cart,Troli
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_settings.py,Bank account {0} already exists and could not be created again,Rekening bank {0} sudah ada dan tidak dapat dibuat lagi
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Missed,Panggilan tidak terjawab
DocType: Certified Consultant,GitHub ID,ID GitHub
DocType: Staffing Plan,Total Estimated Budget,Estimasi Total Anggaran
,Qty to Transfer,Kuantitas untuk ditransfer
apps/erpnext/erpnext/config/selling.py,Quotes to Leads or Customers.,Penawaran terhadap Prospek atau Pelanggan
DocType: Stock Settings,Role Allowed to edit frozen stock,Peran diizinkan mengedit persediaan dibekukan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Customer Groups,Semua Kelompok Pelanggan
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Accumulated Monthly,Akumulasi Bulanan
DocType: Attendance Request,On Duty,Sedang bertugas
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} adalah wajib. Mungkin data Kurs Mata Uang tidak dibuat untuk {1} sampai {2}.
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py,Staffing Plan {0} already exist for designation {1},Rencana Kepegawaian {0} sudah ada untuk penunjukan {1}
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,Tax Template is mandatory.,Template pajak adalah wajib.
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Goods are already received against the outward entry {0},Barang sudah diterima dengan entri keluar {0}
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Last Issue,Isu Terakhir
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} does not exist,Akun {0}: akun Induk {1} tidak ada
DocType: Bank Account,Mask,Topeng
DocType: POS Closing Voucher,Period Start Date,Tanggal Mulai Periode
DocType: Purchase Invoice Item,Price List Rate (Company Currency),Daftar Harga Rate (Perusahaan Mata Uang)
DocType: Products Settings,Products Settings,Pengaturan produk
,Item Price Stock,Stok Harga Barang
apps/erpnext/erpnext/config/retail.py,To make Customer based incentive schemes.,Untuk membuat skema insentif berbasis Pelanggan.
DocType: Lab Prescription,Test Created,Uji coba
DocType: Healthcare Settings,Custom Signature in Print,Tanda Tangan Khusus di Cetak
DocType: Account,Temporary,Sementara
DocType: Material Request Plan Item,Customer Provided,Pelanggan Disediakan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Customer LPO No.,Nomor Pokok Pelanggan
DocType: Amazon MWS Settings,Market Place Account Group,Kelompok Akun Market Place
DocType: Program,Courses,Kursus
DocType: Monthly Distribution Percentage,Percentage Allocation,Persentase Alokasi
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Secretary,Sekretaris
apps/erpnext/erpnext/regional/india/utils.py,House rented dates required for exemption calculation,Tanggal sewa rumah yang diperlukan untuk perhitungan pengecualian
DocType: Global Defaults,"If disable, 'In Words' field will not be visible in any transaction","Jika menonaktifkan, &#39;Dalam Kata-kata&#39; bidang tidak akan terlihat di setiap transaksi"
DocType: Quality Review Table,Quality Review Table,Tabel Tinjauan Kualitas
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,This action will stop future billing. Are you sure you want to cancel this subscription?,Tindakan ini akan menghentikan penagihan di masa mendatang. Anda yakin ingin membatalkan langganan ini?
DocType: Serial No,Distinct unit of an Item,Unit berbeda Item
DocType: Supplier Scorecard Criteria,Criteria Name,Nama kriteria
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.js,Please set Company,Harap set Perusahaan
DocType: Procedure Prescription,Procedure Created,Prosedur Dibuat
