Pension Funds,የጡረታ ፈንዶች
Connect to Quickbooks,ወደ ጆርፈርስ ዎች ያገናኙ
Root cannot be edited.,Root ሊስተካከል አይችልም.
Engineer,መሐንዲስ
Row #{0}: Item added,ረድፍ # {0}: ንጥል ታክሏል
Eligibility and Details,ብቁነት እና ዝርዝሮች
Staffing Plan Detail,የሰራተኛ እቅድ ዝርዝር
Annual Income,አመታዊ ገቢ
Subscription Section,የምዝገባ ክፍል
Payment Days,የክፍያ ቀናቶች
Volunteer information.,የፈቃደኛ መረጃ.
`Freeze Stocks Older Than` should be smaller than %d days.,«ከዕድሜ በላይ የሆኑ እቃዎችን የቆሸሸ» ከ% d ቀኖች ያነሰ መሆን አለበት.
Select Fiscal Year,የበጀት ዓመት ይምረጡ
Total Amount,አጠቃላይ ድምሩ
Non Profit,ለትርፍ ያልተቋቋመ
Cancel Invoice After Grace Period,ከግድግዳ ጊዜ በኋላ የተቆረጠ ክፍያ መጠየቂያ ካርዱን ሰርዝ
Loyalty Points,የታማኝነት ነጥቦች
Set Target Warehouse,ዒላማው መጋዘን ያዘጋጁ
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} በአሁኑ ጊዜ {1} የአቅጣጫ ጠቋሚ የመቁጠሪያ መለያ ቆሟል እናም በዚህ አቅራቢ ውስጥ ያሉ RFQ ዎችን በጥንቃቄ ማስቀመጥ አለበት.
Check-in Date,ተመዝግቦ መግቢያ ቀን
Round Off Account,ያለፉ መለያ
Warranty Period (Days),የዋስትና ጊዜ (ቀናት)
Expense Claim Detail,የወጪ ማሳሰቢያ ዝርዝር
Program: ,ፕሮግራም:
Patient Medical Record,ታካሚ የሕክምና መዝገብ
Action Description,የእርምጃ መግለጫ
Variant Based On,በመነሻ ላይ ልዩነት
Brake Oil,የፍሬን ዘይት
Create User,ተጠቃሚ ፍጠር
Codification Table,የማጣቀሻ ሰንጠረዥ
Optional,አማራጭ
Show Leaves Of All Department Members In Calendar,በቀን መቁጠሪያ ውስጥ የሁሉም የመጓጓዣ አባላት ቅጠሎች ያሳዩ
See all open tickets,ሁሉንም የተከፈቱ ትኬቶች ይመልከቱ
Operations cannot be left blank,ክዋኔዎች ባዶ መተው አይቻልም
At least one mode of payment is required for POS invoice.,ቢያንስ አንድ የክፍያ መንገድ ለኤምኤቢ ደረሰኝ ያስፈልጋል.
Guardian1 Email ID,Guardian1 የኢሜይል መታወቂያ
Supplier delivers to Customer,አቅራቢ ለደንበኞች ይሰጣል
Appointment Booked,ቀጠሮ ተይዟል
Target Warehouse,ዒላማ መጋዘን
Stale Days,የቆዳ ቀናቶች
Row {0}: Credit entry can not be linked with a {1},ረድፍ {0}: የብድር ምዝገባ ከ {1}
Healthcare Practitioner {0} not available on {1},የጤና እንክብካቤ ባለሙያ {0} በ {1} ላይ አይገኝም
All Customer Contact,ሁሉም የደንበኛ ግንኙነት
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} ናሙና ጠብቅ በቡድን ላይ የተመሠረተ ነው, እባክዎን የንጥል ናሙና ለመያዝ ጨቅላ ቁጥር ኖት ይፈትሹ"
Disc,ዲስክ
Make Accounting Entry For Every Stock Movement,ለያንዳንዱ አክሲዮን ማካለል (Accounting Entry) ያድርጉ
Check-out Date,የምርጫ ቀን
Fertilizer,ማዳበሪያ
Default Tax Withholding Config,ነባሪ የግብር መያዣ ውቅር
Total Produced Qty,ጠቅላላ የተጣራ ብዛት
Leave Period,ጊዜውን ይተው
Payment request {0} created,የክፍያ ጥያቄ {0} ተፈጥሯል
UOM Conversion in Hours,የ UOM በ &quot;ሰዓት&quot; መለወጥ
Avg. Selling Price List Rate,አማካይ የዋጋ ዝርዝር ዋጋ
Generate Material Requests (MRP) and Work Orders.,ቁሳዊ ጥያቄዎችን (MRP) እና የስራ ትዕዛዞች ይፍጠሩ.
Account Balance,የሂሳብ ሚዛን
Periodicity,ወቅታዊነት
Medical Record,የህክምና መዝገብ
Execution,አፈፃፀም
Valuation Method,የግምገማ ዘዴ
{0} against Sales Invoice {1},{0} ከሽያጭ ደረሰኝ {1}
Pass,ማለፊያ
Sales Partner Target,የሽያጭ አጋርነት ዒላማ
Referring Practitioner,የሕግ አስተርጓሚን መጥቀስ
Expenses Included In Asset Valuation,ወጪዎች በ Asset Valuation ውስጥ ተካተዋል
Publishing,ማተም
Sales Orders Detail,የሽያጭ ትዕዛዞች ዝርዝር
Total Deduction,አጠቃላይ ድምር
EMI,ኢሜ
Set prefix for numbering series on your transactions,በግብዣዎችዎ ላይ የቁጥር ተከታታይነት ቅድመ ቅጥያዎችን ያዘጋጁ
Journal Entries {0} are un-linked,የጆርናል ኢሜይሎች {0} አልተገናኙም
Other Reports,ሌሎች ሪፖርቶች
All items have already been invoiced,ሁሉም ንጥሎች አስቀድመው የተከፈለባቸው ናቸው
Asset scrapped via Journal Entry {0},በጆርናል ምዝገባ {0} ውስጥ የተተወ ንብረት
Prefered Email,የተመረጠ ኢሜይል
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",የእራሱ የዋጋ ዘዴ ባልተከተመባቸው አንዳንድ ግብይቶች ላይ እንደመሆኑ መጠን የግምገማ ዘዴን መለወጥ አይቻልም
Section Name,የክፍል ስም
Packed Item,የታሸገ እቃ
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: ለ {2} የሂሳብ ማስያዣ ወይም የብድር መጠን ያስፈልጋል {
Submitting Salary Slips...,ደመወዝ መጨመር ...
No Action,ምንም እርምጃ የለም
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","በጀቱ {0} ላይ አይከፈለም, የገቢ ወይም የወጪ ሒሳብ ስላልሆነ"
Masters and Accounts,ማስተሮች እና አካውንት
Responsible Individual,ኃላፊነት ያለበት ግለሰብ
Total Weightage of all Assessment Criteria must be 100%,የሁሉም የግምገማ መስፈርት አጠቃላይ ክብደት 100%
An error occurred during the update process,በማዘመን ሂደቱ ጊዜ ስህተት ተከስቷል
Customer Name,የደንበኛ ስም
Amount should not be less than zero.,መጠን ከዜሮ ያነሰ መሆን የለበትም.
Average Age,አማካይ ዕድሜ
Show Price,ዋጋ አሳይ
Program Enrollment Tool Student,ፕሮግራም የመመዝገቢያ መሳሪያ ተማሪ
Shipping State,የጭነት ሁኔታ
Please set Company,እባክዎ ኩባንያ ያዘጋጁ
Balance (Dr - Cr),ቀሪ (ዶክተር - ክሬ)
Supply Type,የምርት ዓይነት
Create documents for sample collection,ለ ናሙና ስብስብ ሰነዶችን ይፍጠሩ
Close Opportunity After Days,ከዕለት ተዕለት አጋጣሚዎች አቅም ይዝጉ
Ref Code,የማመሳከሪያ ኮድ
Widowed,ባለቤቷ
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,በመደበኛ የአከፋፈል ቅርጸት ፎርሙላ ለመጠቀም ባዶውን ይተዉት
Accepted Qty,ተቀባይነት ያለው ጥምር
Apply Rule On Brand,በብራንድ ላይ ህግን ይተግብሩ
Show Availability Status,ተገኝነት ሁኔታን አሳይ
Import Successfull,የተሳካ አስገባ
Soil Texture,የአፈር ስሪት
No of Visits,የጎብኝዎች ብዛት
Qualitative Feedback,ጥራት ያለው ግብረመልስ
Response and Resoution Time,የምላሽ እና የመመለሻ ጊዜ
Expiring On,ጊዜው የሚያልፍበት
Scorecard Actions,የውጤት ካርድ ድርጊቶች
Stock Adjustment,የአክሲዮን ማስተካከያ
Health Care,የጤና ጥበቃ
No of Seats,የት መቀመጫዎች ቁጥር
Delete all the Transactions for this Company,የዚህን ኩባንያ ሁሉም እንቅስቃሴዎች ሰርዝ
Lead Details,የሚመሩ ዝርዝሮች
Default Service Level Agreement,ነባሪ የአገልግሎት ደረጃ ስምምነት
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",ማጣሪያ መስኮች ሩብ # {0}: የመስክ ስም <b>{1}</b> ከ &quot;አገናኝ&quot; ወይም &quot;ሰንጠረዥ ብዙ መምረጥ&quot; አይነት መሆን አለበት.
Suggestions,ጥቆማዎች
Get from,ከ የመጣ
Tax Rule,የግብር መመሪያ
Payment Order Status,የክፍያ ትዕዛዝ ሁኔታ
Duplicate entry,የተባዛ ግቤት
Example: Masters in Computer Science,ምሳሌ: በሳይጅ ሳይንስ ውስጥ ማስተሮች
Purchase Invoice Item,የግዢ ደረሰኝ ንጥል
Non Profit Manager,የጥቅመ-ዓለም ስራ አስኪያጅ
For Warehouse is required before Submit,ከማስገባት በፊት የመጋዘን ሁኔታ ያስፈልጋል
Applicable To (User),የሚመለከተው ለ (ተጠቃሚ)
Appraisal Goal,የግምገማ ውጤት
Warn for new Purchase Orders,ለአዲስ የግዢ ትዕዛዞች ያስጠንቅቁ
View Chart of Accounts,የመለያዎች ሰንጠረዥ ይመልከቱ
Quotations: ,ጥቅሶች:
To Discuss,ለመወያየት
Reading 9,ንባብ 9
Applicable To (Role),የሚመለከተው ለ (ሚና)
Additional Notes,ተጨማሪ ማስታወሻዎች
{0} can not be negative,{0} አሉታዊ መሆን አይችልም
Create Purchase Orders,የግዢ ትዕዛዞችን ፍጠር
Estimated Cost Per Position,በግምት በአንድ ግምት ይከፈለዋል
Loan Name,የብድር ስም
Set default mode of payment,ነባሪ የክፍያ ስልትን ያዘጋጁ
Revision,ክለሳ
Service Unit Type,የአገልግሎት አይ ጠቅላላ ምድብ
Return Against Purchase Invoice,በግዢ ደረሰኝ ላይ ይመልሱ
Generate Secret,ሚስጥራዊ አፍልቅ
Loyalty Program Collection,የታማኝነት ፕሮግራም ስብስብ
Send mass SMS to your contacts,ለዕውቂያዎችዎ አጭር የፅሁፍ መልዕክት ይላኩ
Create Fee Schedule,የክፍያ ዕቅድ ማውጣት
File to Rename,ዳግም ለመለወጥ ፋይል
Timer exceeded the given hours.,የሰዓት ቆጣሪ ከተሰጠባቸው ሰዓቶች አልፏል.
ERPNext Account,ERPNext መለያ
Item Supplier,የንጥል አቅራቢ
Price List {0} is disabled or does not exist,የዋጋ ዝርዝር {0} ተሰናክሏል ወይም የለም
Deferred Revenue Account,የተዘገዘ የገቢ መለያ
Soil compositions do not add up to 100,የአፈር አጣቢዎች እስከ 100 ድረስ አይጨምሩም
Salary Slip Timesheet,የደመወዝ ወረቀት ጊዜ ሰሌዳ
Warn,ማስጠንቀቂያ
Email Notification Sent,የኢሜይል ማሳወቂያ ተልኳል
Planned End Date,የታቀደ መጨረሻ ቀን
Quickbooks Company ID,Quickbooks የኩባንያ መታወቂያ
Warehouse cannot be changed for Serial No.,ለ &quot;Serial No.&quot; መጋዘን መለወጥ አይችልም.
Rate of Interest (%) Yearly,የፍላጎት መጠን (%) ዓመታዊ
Cost of Scrapped Asset,የተጣራ እሴት ዋጋ
Please set an Address on the Company '%s',እባክዎ በኩባንያው ላይ &#39;% s&#39; ላይ አድራሻ ያዘጋጁ
Encounter Date,የግብዣ ቀን
Webhooks,ዌብሆች
Memebership Type Details,የማስታወሻ አይነት አይነት ዝርዝሮች
Resistant,መቋቋም የሚችል
Hotel Room Package,የሆቴል ክፍት ጥቅል
Contribution to Net Total,የጠቅላላ ድምር አስተዋጽኦ
"Reselect, if the chosen contact is edited after save","የተመረጠውን ይምረጡ, የተመረጠው እውቂያ ከተቀመጡ በኋላ አርትዕ ከተደረገ"
Employee Tax Exemption Sub Category,የሰራተኞች የግብር ነጻነት ንዑስ ምድብ
Row {0}# Paid Amount cannot be greater than requested advance amount,ረድፍ {0} # የተከፈለበት መጠን ከተጠየቀው የቅድመ ክፍያ መጠን በላይ መሆን አይችልም
This value is used for pro-rata temporis calculation,ይህ ዋጋ ለፕሮሮታ የጊዜያዊ ስሌት ጥቅም ላይ ይውላል
Change Abbreviation,ምህፃረ ቃላትን ይቀይሩ
Total Consumed Material Cost  (via Stock Entry),ጠቅላላ የዋጋ ቁሳቁስ ወጪ (በቅጥፈት መግቢያ በኩል)
Raw Materials Supplied,ጥሬ ዕቃዎች አቅርቦት
Condition and Formula Help,ሁኔታ እና ቀመር እገዛ
Balance ({0}),ቀሪ ({0})
Student ID: ,የተማሪ መታወቂያ:
New Leaves Allocated (In Days),አዲስ ቅጠሎች የተመደቡ (በጊዜ ውስጥ)
To Datetime,ወደ ጊዜ
Lab result datetime cannot be before testing datetime,የላብራቶሪ የውጤት ዘመን የቆይታ ጊዜ ከመስጠቱ በፊት ሊሆን አይችልም
Please re-type company name to confirm,እባክዎ ለማረጋገጥ የቡድን ስም ይተይቡ
Subscription Period,የደንበኝነት ምዝገባ ጊዜ
Position,ቦታ
Sibling Details,የወንድም እህት ዝርዝሮች
Is Finance Cost Adjustment,የገንዘብ ወጪ ማስተካከያ ነው
Encounter Impression,የግጥሚያ ስሜት ገጠመኝ
N/A,N / A
Lab Technician,ላብራቶሪ ቴክኒሽያ
"Item {0} is a template, please select one of its variants","ንጥል {0} አብነት ነው, እባክዎ አንዱን የእሱን ልዩነቶች ይምረጡ"
How Pricing Rule is applied?,የዋጋ ተመን እንዴት ተግባራዊ ይሆናል?
Email Digest Settings,የኢሜል አጭር መግለጫ ቅንጅቶች
Inter Company Journal Entry,ኢንተርናሽናል ኩባንያ የጆርናል ምዝገባ
Create Delivery Trip,የትዕዛዝ ጉዞን ይፍጠሩ
Row # {0}: Serial No {1} does not match with {2} {3},ረድፍ # {0}: መለያ ቁጥር {1} ከ {2} {3} ጋር አይዛመድም
Sales Order required for Item {0},የሽያጭ ትዕዛዝ ለንጥል {0} ያስፈልጋል
Get Details From Declaration,ከመግለጫ ዝርዝሮች ያግኙ
Support Hour Distribution,የድጋፍ ሰአቶች ስርጭት
Allow Account Creation Against Child Company,በህፃናት ሆስፒታል ላይ የመለያ ፈጠራን ይፍቀዱ
Company Bank Account,የኩባንያ ባንክ ሂሳብ
UK,ዩኬ
Procedure Steps,የአሠራር ሂደት
Normal Test Items,መደበኛ የተሞሉ ንጥሎች
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,ንጥል {0}: የታዘዘ qty {1} ከዝቅተኛ ቅደም-ተከተል qty {2} (በንጥል ላይ የተቀመጠ) ሊያንስ አይችልም.
Not in Stock,በማከማቻ ውስጥ የለም
Cart,ጋሪ
Course Activity,የኮርስ እንቅስቃሴ
Thank you for your business!,ለንግድዎ እናመሰግናለን!
Against Journal Entry {0} is already adjusted against some other voucher,በጆርናል ምዝገባ {0} ላይ ከተመዘገበው ሌላ ቫውቸር ጋር አብሮ ተስተካክሏል
Bill Date,የክፍያ ቀን
Please enter Write Off Account,እባክዎ ጻፍ ጻፍ ያስገቡ
Biotechnology,ባዮቴክኮሎጂ
Setup your Institute in ERPNext,በ ERPNext ተቋምዎን ተቋም ያዘጋጁ
Item {0} does not exist,እሴት {0} አይገኝም
Asset Maintenance Log,የንብረት ጥገና ማስታወሻ
Settings for Accounts,መለያዎች ቅንጅቶች
Reference Document Name,የማጣቀሻ ሰነድ ስም
"If blank, parent Warehouse Account or company default will be considered","ክፍት ከሆነ, የወላጅ መጋዘን ሂሳብ ወይም የኩባንያው ነባሪ ይሆናል"
Rate Of Materials Based On,በ ላይ የተመሰረቱ መሳሪያዎች ደረጃ አሰጣጥ
Container,ኮንቴይነር
Available slots,ሊገኙ የሚችሉ ቦታዎች
Max Attempts,ከፍተኛ ሙከራዎች
Cash Flow Statement,የገቢ ወጪ የሒሳብ ሰነድ
Redeem Against,በተቃራኒው ተከላካይ
Offline POS Name,የመስመር ውጭ POS ስም
ISO 8601 standard,የ ISO 8601 ደረጃ
Deduct,ያውቅ
C-Form Invoice Detail,የ C-Form ደረሰኝ ዝርዝር
Net Change in Inventory,በንብረቶች ላይ የተጣራ ለውጥ
Depreciation Amount during the period,በጊዜ ውስጥ ያለው የዋጋ ቅናሽ
App Type,የመተግበሪያ ዓይነት
Blog Subscriber,የብሎግ ተመዝጋቢ
[Error],[ስህተት]
Active Menu,ገባሪ ምናሌ
Transactions against the company already exist! ,በኩባንያው ላይ የሚደረግ ግብይት አስቀድሞም ይገኛል!
Sales Partner and Commission,የሽያጭ አጋርነት እና ኮሚሽን
Goals cannot be empty,ግቦች ባዶ መሆን አይችሉም
Warehouses,መጋዘኖች
Detected Diseases,የተገኙ በሽታዎች
Enter the Bank Guarantee Number before submittting.,ከማቅረብ በፊት የባንክ ዋስትና ቁጥር ቁጥርን ያስገቡ.
Processing Items and UOMs,ንጥረ ነገሮችን እና UOM ኦች በማካሄድ ላይ
Is a Subscription,ምዝገባ ነው
Download as Json,እንደ Json አውርድ
Appointment Analytics,የቀመር ትንታኔ
Inspection Type,የምርመራ አይነት
Sales Taxes and Charges,የሽያጭ ግብር እና ዋጋዎች
Health Insurance Provider,የጤና መድን ዋስትና አቅራቢ
This is a root item group and cannot be edited.,ይህ የንዑስ ንጥል ምድብ ነው እና አርትዖት ሊደረግበት አይችልም.
Projected Qty Formula,የታቀደው Qty Formula
Payment Order Reference,የክፍያ ትዕዛዝ ማጣቀሻ
Tree Type,የዛፍ ዓይነት
Default Costing Rate,ነባሪ ስርዓት ዋጋ
Constipated,ተለዋዋጭ
Default Amount,ነባሪ መጠን
Budget List,የበጀት ዝርዝር
Awaiting Response,ምላሽ በመጠባበቅ ላይ
Variant creation has been queued.,ተለዋጭ ፍጥረት ተሰልፏል.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","ለ {1} የይገባኛል ጥያቄው ቀድሞውኑ {0} ተጠይቆ, &lt;ከ {2}"
Please add the remaining benefits {0} to any of the existing component,እባክዎ የቀረውን ጥቅማጥቅሞችን {0} ወደ አሁን ካለ ማንኛውም አካል ያክሉ
Odometer,ኦዶሜትር
Transaction currency must be same as Payment Gateway currency,የግብይት ምንዛሬ እንደ Payment Gateway የገንዘብ ምንነት መሆን አለበት
"For an item {0}, quantity must be negative number","ለአንድ ንጥል {0}, ቁጥሩ አሉታዊ ቁጥር መሆን አለበት"
Payroll Date,የደመወዝ ቀን
Mode of payment is required to make a payment,ክፍያ ለመፈጸም የክፍያ ዘዴ ያስፈልጋል
Materials,ቁሶች
Against Sales Order,በሽያጭ ትእዛዝ ላይ
PUR-SQTN-.YYYY.-,PUR-SQTN-yYYYY.-
Against Sales Order Item,የሽያጭ ግብይት ትዕዛዝን ይቃወም
Goals,ግቦች
ERPNext User,ERPNext User
Available Leaves,የሚገኝ ቅጠሎች
Root Account must be a group,የመለያ መለያው ቡድን መሆን አለበት
Email Reminders will be sent to all parties with email contacts,የኢሜይል አስታዋሾች በኢሜይል እውቅያዎች ለሁሉም ወገኖች ይላካሉ
Select Type...,ዓይነት ምረጥ ...
Workstation Working Hour,የስራ ሰዓት መስሪያ ቤት ሰዓት
Analytics,ትንታኔዎች
Maintenance Role,የጥገና ሚና
Terms and Conditions Template,የአጠቃቀም ደንቦች እና ሁኔታዎች
Fee Schedule Program,የክፍያ መርሐግብር ፕሮግራም
Course {0} does not exist.,ኮርስ {0} የለም.
Make Timesheet,የሰዓት ሰንጠረዥ ይስሩ
Production Plan Item,የምርት ዕቅድ ዕቃ
Total Student,ጠቅላላ ተማሪ
From Package No.,ከጥቅል ቁጥር
Shipping Address,የመላኪያ አድራሻ
Clutch Plate,ክላች ፕሌይ
Row #{0}: Asset {1} does not linked to Item {2},ረድፍ # {0}: ንብረት {1} ከአርእስት {2} ጋር አልተገናኘም
Stock Entry {0} created,የገበያ ምልልስ {0} ተፈጥሯል
Purchase Order Date,የግዢ ትዕዛዝ ቀን
Company currencies of both the companies should match for Inter Company Transactions.,ኩባንያዎች ሁለቱም ኩባንያዎች ከ Inter Company Transactions ጋር መጣጣም ይኖርባቸዋል.
Shortage Qty,እጥርጥር እ
Marked Attendance,ምልክት የተደረገበት ተገኝቶ
System will notify to increase or decrease quantity or amount ,ስርዓቱ ብዛት ወይም መጠን ለመጨመር ወይም ለማሳነስ ያሳውቃል
Cosmetics,ኮስሜቲክስ
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,ተጠቃሚውን ከማስቀመጥዎ በፊት ተከታታይን እንዲመርጥ ለማስገደድ ከፈለጉ ይህንን ያረጋግጡ. ይህንን ቢያረጋግጡ ምንም ነባሪ አይኖርም.
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,በዚህ ተግባር ውስጥ ያሉ ተጠቃሚዎች የታሰሩ መለያዎችን እንዲያቀናብሩ እና በቀዝቃዛ መለያዎች የሂሳብ መለያዎች እንዲፈጥሩ / እንዲቀይሩ ተፈቅዶላቸዋል
Total Claimed Amount,አጠቃላይ የይገባኛል ጥያቄ መጠን
Unable to find Time Slot in the next {0} days for Operation {1},ለክንሽን {1} በቀጣይ {0} ቀናት ውስጥ የሰዓት ማስገቢያ ማግኘት አልተቻለም
Wrapping up,ማጠራቀሚያ
You can only renew if your membership expires within 30 days,አባልነትዎ በ 30 ቀናት ውስጥ የሚያልቅ ከሆነ ብቻ መታደስ የሚችሉት
Value must be between {0} and {1},እሴት በ {0} እና በ {1} መካከል መሆን አለበት
Sales Partner Transaction Summary,የሽያጭ ደንበኛ ግብይት ማጠቃለያ
Maintenance Manager Name,የጥገና አስተዳዳሪ ስም
It is needed to fetch Item Details.,የዝርዝር ዝርዝሮችን ለማግኘት አስፈላጊ ነው.
This is based on stock movement. See {0} for details,ይህ በምክንያት እንቅስቃሴ ላይ የተመሰረተ ነው. ለዝርዝሮች {0} ይመልከቱ
Appointment,ቀጠሮ
Please enter {0} first,እባክዎ መጀመሪያ {0} ያስገቡ
BOM #{0}: Raw material cannot be same as main Item,እሴት # {0}: ጥሬ እቃው እንደ ዋናው አይነት ተመሳሳይ መሆን አይችልም
Following accounts might be selected in GST Settings:,መለያዎችን መከተል በ GST ቅንብሮች ውስጥ ሊመረጥ ይችላል:
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,በዚህ መስክ ላይ ማንኛውም ትክክለኛ የ Bootstrap 4 markup መጠቀም ይችላሉ. በእርስዎ የንጥር ገጽ ላይ ይታያል.
Incoming Rate,ገቢ ገቢ
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,ተቀናሽ ሂሳብ የተከፈለ ሂሳቦች
Tally Debtors Account,የ Tally Debtors Account
Has any past Grant Record,ማናቸውም የተመላሽ ገንዘብ መዝገብ አለው
Amount in Custody,መጠን በቁጥጥር ሥር
Interval,የጊዜ ክፍተት
Parent Warehouse,የወላጅ መጋዘን
Auto Material Requests Generated,የመኪና ጥያቄዎች ጥያቄዎች ተፈጥረዋል
Row {0}: Quality Inspection rejected for item {1},ረድፍ {0}: ጥራት ማጣሪያ ለንጥል {1} አይቀበልም
Additional Details,ተጨማሪ ዝርዝሮች
Sales Partner Type,የሽያጭ አጋርነት አይነት
"Select BOM, Qty and For Warehouse","BOM, Qty እና Warehouse የሚለውን ይምረጡ"
Maintenance Type,የጥገና አይነት
Use this field to render any custom HTML in the section.,በክፍል ውስጥ ማንኛውንም ብጁ ኤችቲኤምኤል ለመስጠት ይህንን መስክ ይጠቀሙ.
"Appointment cancelled, Please review and cancel the invoice {0}","ቀጠሮ ተሰርዟል, እባክዎ የክፍያ መጠየቂያ {0} ን ይከልሱ እና ይተዉት"
Time Sheet List,የሰዓት ዝርዝር ዝርዝር
{0} against Bill {1} dated {2},{0} ከ Bill {1} ጋር በተቃራኒ {2} ላይ
For Company,ለኩባንያው
Linked Soil Analysis,የተገናኙ የአፈር ትንታኔ
Day to Send,ለመላክ ቀን
Is Tax Applicable,ግብር ተከባሪ ነው
Purchase Order number required for Item {0},ለንጥል {0} የግዢ ትዕዛዝ ቁጥር ያስፈልጋል
Tax Rates,የግብር ተመኖች
Help Results for,የእርዳታ ውጤቶች ለ
Student Admission,የተማሪ መግቢያ
Skill,ችሎታ
Budget Account,የበጀት መለያ
Create New Employee Id,አዲስ የተቀጣሪ መለያ ይፍጠሩ
Goods and Services Tax (GST India),የሸቀጥ እና የአገልግሎት ግብር (GST India)
Creating Salary Slips...,የደመወዝ ወረቀቶችን በመፍጠር ...
Employee Skill,የሰራተኛ ችሎታ
Apply Rule On Item Code,በምግብ ኮድ ደንብ ተግብር
'Update Stock' can not be checked because items are not delivered via {0},ንጥሎች በ {0} ላይ ስላልተላለፉ «አዘምን» አዘምን መመርመር አይቻልም
Stock Entry,የገበያ ግቢ
House rent paid days overlapping with {0},በ {0} የተጣራ ዋጋ የሚከፈልበት የቤት ኪራይ
Current Address Is,የአሁኑ አድራሻ
Analyst,ትንታኔ
No records found in the Payment table,በክፍያ ሠንጠረዥ ውስጥ ምንም መዛግብት አልተገኙም
Sales Orders to Deliver,የሚሸጡ የሽያጭ ትእዛዞች
Units of Measure,መለኪያዎች
Block Days,የእግድ ቀናት
Add Items,ንጥሎችን አክል
Taxes and Charges Added (Company Currency),ግብሮችን እና ክፍያዎች ተጨምረዋል (ኩባንያ የገንዘብ ምንዛሬ)
Currency Exchange Settings,የምንዛሬ ልወጣ ቅንብሮች
From Amount,ከመጠን
Warehouse is mandatory,መጋዘን ግዴታ ነው
Add Students,ተማሪዎች አክል
Account Paid From,ሂሳብ የሚከፈልበት ከ
Marked Attendance HTML,ምልክት የተደረገባቸው ኤችቲኤምኤል
Item {0} has been disabled,ንጥል {0} ተሰናክሏል
Amount In Figure,በስዕል ውስጥ በቁጥር
Cannot produce more Item {0} than Sales Order quantity {1},ከ &lt;የሽያጭ ትእዛዝ ግዢ ቅንስ ብዛት &lt;{0} ተጨማሪ የ &lt;{&gt;} ውጤት ማምጣት አይቻልም {1}
Return,ተመለስ
The selected item cannot have Batch,የተመረጠው ንጥል ባች ሊኖረው አይችልም
Print IRS 1099 Forms,IRS 1099 ቅፆችን አትም
'Update Stock' cannot be checked for fixed asset sale,&#39;የዘመነ አክሲዮን&#39; ለወቅታዊ የንብረት ሽያጭ መፈረም አይቻልም
Depreciation Schedule,የቋሚ ቅደም ተከተል መርሃግብር
Shipping rule not applicable for country {0},የመላኪያ ደንቡ ለአገር አይተገበርም {0}
Time at which materials were received,ምን ዓይነት ቁሳቁሶች እንደተቀበሉ
Billing Country,የክፍያ መጠየቂያ ሀገር
Sales Order,የሽያጭ ትእዛዝ
Value missing,እሴት ይጎድላል
Stores,መደብሮች
New Balance In Base Currency,በመሠረታዊ ልውውጥ ውስጥ አዲስ ሚዛን
Price List,የዋጋ ዝርዝር
Invalid {0}: {1},ልክ ያልሆነ {0}: {1}
Article,አንቀጽ
The name of the institute for which you are setting up this system.,ይህንን ስርዓት የሚያዋቅሩት የቢሮው ስም.
A Product,ምርት
Crop Name,ከርክም ስም
'From Date' is required,&#39;ከዘመን&#39; ያስፈልጋል
Please select a BOM,እባክዎን BOM ይምረጡ
Travel Itinerary,የጉዞ አቅጣጫን
Birthday Reminder,የልደት ቀን አስታዋሽ
Pair,አጣምር
Item Price added for {0} in Price List {1},የዋጋ ዝርዝር {0} በዝርዝር ዋጋ ውስጥ {0}
Validate Applied Rule,የተተገበረ ደንብ አረጋግጥ
Job Card Item,የስራ ካርድ ንጥል
Company Tagline for website homepage,የኩባንያ የመለያ መጻፊያ መስመር ለድር ጣቢያ ገፅ መነሻ ገጽ
Round Off Cost Center,ቅናሽ ዋጋ ወጪ ማዕከል
Criteria Weight,መስፈርት ክብደት
Depreciation Schedules,ትርፍ ትርዒት
Claim Amount,የይገባኛል መጠን
Discounts,ቅናሾች
Shipping Rule Conditions,የማጓጓዣ ደንብ ሁኔታዎች
Cancelation Date,የተሻረበት ቀን
Party Bank Account,የፓርቲ ባንክ ሂሳብ
New Cost Center Name,አዲስ ዋጋ ሴንተር ስም
Max Amount,ከፍተኛ መጠን
After payment completion redirect user to selected page.,የክፍያ ማጠናቀቅ ተጠቃሚውን ወደ የተመረጠው ገጽ ይለውጣል.
Total Loan Repayment,ጠቅላላ ብድር ክፍያ
